"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","種類","山系","面積","最高峰","最高標高","所在海域","事業主体","海岸線長","開館","外部リンク","開山","国","閉山","水系","場所","延長"
"中央構造線","[046中央構造線（大鹿村）長野] 1885年（ 明治 18年）に ハインリッヒ・エドムント・ナウマン によりその概念が提唱され、1917年（ 大正 6年）に矢部長克によって構造線の概念が規定された  。中央構造線を境に北側（大陸側）を西南日本の 内帯 (Inner Zone)、南側（海溝側）を西南日本の 外帯 (Outer Zone) と呼んで区別している   。一部は 活断層 である  。","https://ja.wikipedia.org/wiki/中央構造線","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"神岡鉱山","[047神岡鉱山岐阜] 神岡鉱山 (かみおかこうざん)は、 岐阜県 飛騨市 （旧 吉城郡 神岡町 ）にある 亜鉛 ・ 鉛 ・ 銀 ・ 石灰 鉱山 。 2001年 6月に 亜鉛 ・ 鉛 ・ 銀 の採掘を中止した。","https://ja.wikipedia.org/wiki/神岡鉱山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯36度20分55.8秒東経137度17分42.7秒","岐阜県飛騨市（旧・吉城郡神岡町）","","","","","","","","","","","","","720年","日本","2001年6月","","",""
"根尾谷断層","[048根尾谷断層岐阜] 根尾谷断層 （ねおだにだんそう）は、 岐阜県 本巣市 根尾地域を中心とする 活断層 である。市内の水鳥（みどり）地区の断層崖は国指定の 特別天然記念物 に指定されている。1891年に起きた 濃尾地震 の地震断層であり、 日本最大の地震断層 である  。地質学的にも貴重である。","https://ja.wikipedia.org/wiki/根尾谷断層","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度37分00秒 東経136度37分11秒","","","","","","","","","","","","","","","","","","",""
"飛水峡","[049飛水峡・上麻生礫岩岐阜] 飛水峡 （ひすいきょう）は、 岐阜県 加茂郡 七宗町 から 加茂郡 白川町 までの全長約12キロメートルにわたる 峡谷     。","https://ja.wikipedia.org/wiki/飛水峡","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度32分18.77秒 東経137度7分40.34秒","","","","","","","","","","","","","","","","","","",""
"丹那断層","[050丹那断層静岡] 丹那断層 （たんな だんそう）は、日本の 東海地方 、 静岡県 の 伊豆半島 北東部にある 断層 。 箱根山 南麓から 函南町 の 丹那盆地 を通り、南の 伊豆市 内旧 修善寺町 域へ伸びる30 km ほどの 北伊豆断層帯 を代表するものである。 1980年代 前半の発掘調査により、過去6000年から7000年の間に小さな活動も含めて9回の断層活動のあったことが確認されており  、およそ700年から1000年の周期で巨大地震を起こすと考えられている。","https://ja.wikipedia.org/wiki/丹那断層","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度5分47.8秒 東経139度1分3.3秒","","","","","","","","","","","","","","","","","","",""
"大崩海岸","[051大崩海岸静岡] 大崩海岸 （おおくずれかいがん）は、 駿河湾 沿いの 静岡市 駿河区 石部から 焼津市 浜当目にかけて続く急崖の海岸。延長は約4km。地名は崩落が多いことに由来する。","https://ja.wikipedia.org/wiki/大崩海岸","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度54分0秒 東経138度20分58秒","","","","","","","","","","","","","","","","","","",""
"鳳来寺山","[052鳳来寺山愛知] 鳳来寺山 （ほうらいじさん）は、 愛知県 新城市 鳳来寺にある 山 である。","https://ja.wikipedia.org/wiki/鳳来寺山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度58分58.51秒東経137度34分57.36秒","日本愛知県新城市鳳来寺","北緯34度58分58.51秒東経137度34分57.36秒﻿ / ﻿北緯34.9829194度 東経137.5826000度﻿ /34.9829194; 137.5826000﻿ (鳳来寺山)座標:北緯34度58分58.51秒東経137度34分57.36秒﻿ / ﻿北緯34.9829194度 東経137.5826000度﻿ /34.9829194; 137.5826000﻿ (鳳来寺山)","695m","","","","","","","","","","","","","","","",""
"月出の中央構造線","[053中央構造線（月出）三重] 月出の中央構造線 （つきでのちゅうおうこうぞうせん）は、 三重県 松阪市 飯高町月出にある、大規模な 中央構造線 の 露頭 。 月出露頭 （つきでろとう）とも言う  。","https://ja.wikipedia.org/wiki/月出の中央構造線","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度26分18秒 東経136度11分23秒","","","","","","","","","","","","","","","","","","",""
"石山寺","[054石山寺珪灰石滋賀] 石山寺 （いしやまでら）は、 滋賀県 大津市 石山寺にある 東寺真言宗 の 大本山 の 寺院 。 山号 は石光山。 本尊 は如意輪観世音菩薩（ 如意輪観音 ）、 開山 は 良弁 。 西国三十三所 観音霊場第13番札所となっている。","https://ja.wikipedia.org/wiki/石山寺","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度57分37.51秒東経135度54分20.25秒","滋賀県大津市石山寺1丁目1-1","北緯34度57分37.51秒東経135度54分20.25秒﻿ / ﻿北緯34.9604194度 東経135.9056250度﻿ /34.9604194; 135.9056250座標:北緯34度57分37.51秒東経135度54分20.25秒﻿ / ﻿北緯34.9604194度 東経135.9056250度﻿ /34.9604194; 135.9056250","","","","","","","","","","","","良弁","","","","",""
"天橋立","[055天橋立京都] 天橋立 （あまのはしだて）は、 京都府 宮津市 の 宮津湾 と 内海 の 阿蘇海 を南北に隔てる全長3.6 キロメートル の湾口 砂州  。 日本三景 の一つであり    、 2013年 の観光入込客数は178万1900人と 京都市 を除いた京都府内の観光地で第1位である  。","https://ja.wikipedia.org/wiki/天橋立","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度34分9.7秒 東経135度11分29.5秒","","","","","","","","","","","","","","","","","","",""
"玄武洞","[056玄武洞兵庫] 玄武洞 （げんぶどう）は、 兵庫県 豊岡市 赤石の 円山川 東岸にある 洞窟 ・ 絶壁 。","https://ja.wikipedia.org/wiki/玄武洞","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度35分18.36秒 東経134度48分17.74秒","","","","","","","","","","","","","","","","","","",""
"生野銀山","[057生野鉱山兵庫] 生野銀山 （いくのぎんざん）は、 兵庫県 朝来市 （ 但馬国 ）に開かれていた 戦国時代 から近代にかけての日本有数の 銀山 である。","https://ja.wikipedia.org/wiki/生野銀山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度10分18.04秒東経134度49分10.74秒","兵庫県朝来郡生野町（現：朝来市）","","","","","","","","","","","","","807年","日本","1973年3月22日","","",""
"野島断層","[058六甲－淡路断層系兵庫] 野島断層 （のじまだんそう）は、 兵庫県 淡路市 にある 活断層 。一部が保存され 文部科学省 によって 天然記念物 に指定されている。","https://ja.wikipedia.org/wiki/野島断層","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度32分58秒 東経134度56分15秒","","","","","","","","","","","","","","","","","","",""
"玉置山","[059玉置山奈良] 玉置山 （たまきさん）は、 奈良県 吉野郡 十津川村 にある 山 。 大峰山系 の最南端で標高1,076.4メートル、主に 石英斑岩 で形成される  。","https://ja.wikipedia.org/wiki/玉置山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度55分36秒東経135度49分54秒","日本奈良県吉野郡十津川村","北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.92667度 東経135.83167度﻿ /33.92667; 135.83167座標:北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.92667度 東経135.83167度﻿ /33.92667; 135.83167","1,076.4m","","大峰山系","","","","","","","","","","","","","",""
"鳥取砂丘","[060鳥取砂丘鳥取] 鳥取砂丘 （とっとりさきゅう）は、 鳥取県 鳥取市 の 日本海 海岸 に広がる広大な砂礫地で、代表的な海岸 砂丘 である。 山陰海岸国立公園 の特別保護地区に指定されており、南北2.4km, 東西16kmに広がる  。観光可能な 砂丘 としては日本最大で、一般に立ち入れない場所も含めると 青森県 下北郡 東通村 の 猿ヶ森砂丘 に次ぐ規模を誇る。 1955年 （昭和30年）に国の 天然記念物 に、 2007年 （平成19年）に 日本の地質百選 に選定された。 伯耆大山 と並んで鳥取県のシンボルの一つとされている。","https://ja.wikipedia.org/wiki/鳥取砂丘","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度32分33秒 東経134度13分49秒","","","","","","","","","","","","","","","","","","",""
"島前","[061隠岐島前カルデラ島根] 島前 （どうぜん）は、 日本 の 島根県 ・ 隠岐諸島 のうち西側の有人3島及び周辺の 無人島 により構成される群島。東側の主島である 島後 と対を為す。有人3島を特に指した 島前三島 （どうぜんさんとう）という呼称も存在する。","https://ja.wikipedia.org/wiki/島前","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"石見銀山","[062石見銀山島根] ","https://ja.wikipedia.org/wiki/石見銀山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度06分46秒 東経132度26分06秒","","","","","","529.17 ha（緩衝地域 3,134 ha）","","","","","","","","","","","","",""
"羅生門 (鍾乳洞)","[063羅生門岡山] 羅生門 （らしょうもん）は、 岡山県 新見市 草間にある、陥没 ドリーネ 群中の巨大な 天然橋 と 鍾乳洞 である。","https://ja.wikipedia.org/wiki/羅生門_(鍾乳洞)","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度56分19秒 東経133度33分36秒","","","","","","","","","","","","","","","","","","",""
"久井・矢野の岩海","[064久井の岩海広島] 久井・矢野の岩海 （くい・やののがんかい）は、「久井の岩海」と「矢野の岩海」の2つの岩海帯の総称名。1964年に国の 天然記念物 に指定された。","https://ja.wikipedia.org/wiki/久井・矢野の岩海","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"須佐ホルンフェルス","[065須佐ホルンフェルス山口] 須佐ホルンフェルス (すさホルンフェルス)は、 山口県 萩市 須佐高山にある変成岩地形。 日本の地質百選 の一つ   。本来は須佐の高山にある変成岩地形全体を指すが、主に観光ガイド等では「須佐ホルンフェルス大断層」や「須佐ホルンフェルス大断崖」等と呼ばれ、須佐ホルンフェルスの一部で 海食崖 である畳岩を指して、須佐ホルンフェルスと紹介されていることが多い。","https://ja.wikipedia.org/wiki/須佐ホルンフェルス","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度38分50.7秒 東経131度35分46秒","","","","","","","","","","","","","","","","","","",""
"秋吉台","[066秋吉台・秋芳洞山口] 秋吉台 （あきよしだい）は、 山口県 美祢市 中・東部に広がる日本最大の カルスト台地 。北東方向に約16km、北西方向に約6kmの広がりを有し、台地上の総面積54 km 2 、石灰岩の分布（沖積面下の潜在部を含む）総面積93km 2 、台地面の標高180〜420mである。","https://ja.wikipedia.org/wiki/秋吉台","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度14分32秒 東経131度17分54秒","","","","","","","","","","","","","","","","","","",""
"讃岐岩","[068サヌカイト香川] 讃岐岩 （さぬきがん、sanukite、 サヌカイト ）は、名称のもとである 香川県 坂出市 国分台周辺や 大阪府 と 奈良県 の境にある 二上山 周辺で採取される非常に緻密な 古銅輝石 安山岩 。固いもので叩くと高く澄んだ音がするので、 カンカン石 とも呼ばれる。","https://ja.wikipedia.org/wiki/讃岐岩","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"砥部衝上断層","[069砥部衝上断層愛媛] 砥部衝上断層 （とべしょうじょうだんそう）は、 愛媛県 伊予郡 砥部町 岩谷口の 砥部川 中流域にある 中央構造線 の 露頭 。昭和13年に「国の 天然記念物 」に指定されており、「 日本の地質百選 」にも選定されている。   。","https://ja.wikipedia.org/wiki/砥部衝上断層","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度43分56.6秒 東経132度47分44.3秒","","","","","","","","","","","","","","","","","","",""
"龍河洞","[070龍河洞高知] 龍河洞 （りゅうがどう）は、 四国 中部の 高知県 香美市 に存在する 鍾乳洞 である。 日本三大鍾乳洞 の1つに数えられる。 1934年 （昭和9年）に国の 天然記念物 および国の 史跡 に指定された。 2007年 （平成19年）には 日本の地質百選 ）に選定されている。","https://ja.wikipedia.org/wiki/龍河洞","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度36分11.39秒 東経133度44分42.64秒","","","","","","","","","","","","","","","","","","",""
"横倉山 (高知県)","[071横倉山・佐川高知] 横倉山 （よこくらやま）は、 高知県 高岡郡 越知町 にある 標高 800mの 山 。 四国百名山 では高知市周辺の山に分類されており、山頂には横倉宮がある歴史と伝説の山である  。 横倉山県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/横倉山_(高知県)","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度32分9秒東経133度12分28秒","高知県高岡郡越知町","北緯33度32分9秒東経133度12分28秒﻿ / ﻿北緯33.53583度 東経133.20778度﻿ /33.53583; 133.20778","800m","","四国山地","","","","","","","","","","","","","",""
"雲仙岳","[073雲仙長崎] 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯32度45分41秒東経130度17分56秒","長崎県島原市、南島原市、雲仙市","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","1,483m","成層火山・溶岩ドーム（活火山ランクA）","","","","","","","","","","","","","","",""
"阿蘇山","[074阿蘇熊本] 阿蘇山 （あそさん）は、 日本 の 九州 中央部、 熊本県 阿蘇地方に位置する 火山 。 カルデラ を伴う大型の 複成火山 であり、 活火山 である。","https://ja.wikipedia.org/wiki/阿蘇山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯32度53分3秒東経131度6分14秒","日本熊本県","北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389座標:北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389","","複成火山(活火山ランクA)","","","高岳（1,592m）","","","","","","","","","","","",""
"御所浦白亜紀資料館","[075御所浦熊本] 1997年に御所浦に分布する 白亜紀 の 地層 から天草で初めてとなる恐竜化石や日本最大級の肉食恐竜の 歯 化石などが発見されたことから、同年7月、御所浦島開発総合センター（現 御所浦地区コミュニティセンター）内に開設。恐竜や アンモナイト 、 貝類 の化石など、約1,000点を常設展示している。","https://ja.wikipedia.org/wiki/御所浦白亜紀資料館","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯32度20分15.2秒東経130度20分16.6秒","〒866-0313熊本県天草市御所浦町御所浦4310-5","北緯32度20分15.2秒東経130度20分16.6秒﻿ / ﻿北緯32.337556度 東経130.337944度﻿ /32.337556; 130.337944座標:北緯32度20分15.2秒東経130度20分16.6秒﻿ / ﻿北緯32.337556度 東経130.337944度﻿ /32.337556; 130.337944","","","","","","","","天草市","","1997年7月","天草市立御所浦白亜紀資料館","","","","","",""
"万年山","[076玖珠二重メサ大分] 万年山 （はねやま）は、 大分県 日田市 、 玖珠郡 玖珠町 、 九重町 にまたがり、 耶馬日田英彦山 国定公園 に含まれる 標高 1,140.3mの 山 である。","https://ja.wikipedia.org/wiki/万年山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度13分41秒東経131度07分59秒","大分県玖珠郡玖珠町","北緯33度13分41秒東経131度07分59秒﻿ / ﻿北緯33.22806度 東経131.13306度﻿ /33.22806; 131.13306座標:北緯33度13分41秒東経131度07分59秒﻿ / ﻿北緯33.22806度 東経131.13306度﻿ /33.22806; 131.13306","1,140.3m","メサ","","","","","","","","","","","","","","",""
"青島 (宮崎県)","[077青島宮崎] 青島 （あおしま）は、 宮崎県 宮崎市 の南東部海岸付近にある周囲860m、面積約4.4 ha 、高さ約6mの 島 。 陸繋島 になりつつある。対岸は 青島海岸 と呼ばれ、 青島海水浴場 などを含む一大観光地になっている。青島と青島海岸とは弥生橋によって結ばれている。","https://ja.wikipedia.org/wiki/青島_(宮崎県)","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯31度48分18.8秒東経131度28分33.2秒","日本宮崎県","","","","","0.044km²","","6m","太平洋（日向灘）","","0.86km","","","","","","","",""
"霧島山","[079霧島火山群鹿児島] 霧島山 （きりしまやま）は、 九州 南部の 宮崎県 と 鹿児島県 県境付近に広がる 火山 群の総称であり、 霧島連山 、 霧島連峰 、 霧島山地 あるいは 霧島火山群 とも呼ばれる。最高峰の 韓国岳 （標高1,700m）と、 霊峰 高千穂峰 （標高1,574m   ）の間や周辺に山々が連なって 山塊 を成している。","https://ja.wikipedia.org/wiki/霧島山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯31度56分03秒東経130度51分42秒","日本宮崎県・鹿児島県","北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.93417度 東経130.86167度﻿ /31.93417; 130.86167座標:北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.93417度 東経130.86167度﻿ /31.93417; 130.86167","","成層火山(活火山ランクB)","","","韓国岳（1,700m）","","","","","","","","","","","",""
"桜島","[080桜島鹿児島] 桜島 （さくらじま）は、 日本 の 九州 南部、 鹿児島県 の 鹿児島湾 （錦江湾）にある東西約12km、南北約10 km、周囲約55 km、面積約77km 2  の 火山 。かつては 島 であったが、 1914年 （ 大正 3年）の噴火により、 鹿児島市 の対岸の 大隅半島 と 陸続き になった         。","https://ja.wikipedia.org/wiki/桜島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯31度35分19秒東経130度39分17秒","日本鹿児島県鹿児島市","北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)座標:北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)","1,117m","成層火山（活火山ランクA）","独立峰","","","","","","","","","","","","","",""
"屋久島","[081屋久島鹿児島] 屋久島 （やくしま）は、 鹿児島県 の 大隅半島 佐多岬 南南西約60 km の海上に位置する 島 。 熊毛郡 屋久島町 に属し、近隣の 種子島 や 口永良部島 などと共に 大隅諸島 を形成する。南方に位置する トカラ列島 や 奄美群島 などとともに 南西諸島 を構成する。","https://ja.wikipedia.org/wiki/屋久島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","日本鹿児島県熊毛郡屋久島町","","","","","504.88km²","宮之浦岳","1,936m","東シナ海","","","","","","","","","",""
"奥武島 (沖縄県久米島町)","[082奥武島の畳石沖縄] 奥武島 （おうじま）は、 久米島 の東800m沖合にある 島 。 沖縄県 島尻郡 久米島町 に属する。周囲約2km   。","https://ja.wikipedia.org/wiki/奥武島_(沖縄県久米島町)","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯26度20分19秒東経126度49分41秒","日本・沖縄県島尻郡久米島町","","","","","0.63km²","","15m","東シナ海","","3.4km","","","","","","","",""
"大東諸島","[083大東隆起環礁沖縄] 大東諸島 （だいとうしょとう）は、 沖縄諸島 の東部にある 島嶼 群。 北大東島 、 南大東島 および 無人島 の 沖大東島 とその付近の 西南西小島 、 南西小島 から成る。行政区分は、北大東島及び沖大東島が 沖縄県 島尻郡 北大東村 、南大東島が同郡 南大東村 である。","https://ja.wikipedia.org/wiki/大東諸島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯24度30分 - 26度00分東経131度00分","","","","","","43.67 km2(16.86 sq mi)","南大東島（座標）","75 m (246 ft)","","","","","","","","","","太平洋",""
"アポイ岳","[084アポイ岳と高山植物群落北海道] アポイ岳 （アポイだけ）は、 北海道 様似郡 様似町 かつ 日高山脈 支稜線西南端に位置し、 一等三角点 （点名「冬島」）で標高810.5mの 山 である。","https://ja.wikipedia.org/wiki/アポイ岳","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯42度06分28秒東経143度01分32秒","日本北海道様似郡様似町","北緯42度06分28秒東経143度01分32秒﻿ / ﻿北緯42.10778度 東経143.02556度﻿ /42.10778; 143.02556座標:北緯42度06分28秒東経143度01分32秒﻿ / ﻿北緯42.10778度 東経143.02556度﻿ /42.10778; 143.02556","810.5m","","日高山脈","","","","","","","","","","","","","",""
"霧多布湿原","[085霧多布湿原北海道] 霧多布湿原 （きりたっぷしつげん）は 北海道 厚岸郡 浜中町 にある 湿原 で 厚岸道立自然公園 に含まれる。面積は3,168haで、 釧路湿原 、 別寒辺牛川流域湿原 、 根釧原野 湿原群、 サロベツ原野 に次いで国内5番目の広さである  。春（6月）から秋（9月）まで、さまざまな花が咲き湿原を彩り、 花の湿原 とも呼ばれる。","https://ja.wikipedia.org/wiki/霧多布湿原","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯43度5分1秒 東経145度4分50秒","","","","","","","","","","","","","","","","","","",""
"オンネトー","[086オンネトー湯の滝北海道] オンネトー は、 北海道 足寄郡 足寄町 東部・ 阿寒摩周国立公園 内にある 湖 である。名前は アイヌ語 で「年老いた沼」あるいは「大きな沼」の意味である。","https://ja.wikipedia.org/wiki/オンネトー","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯43度23分04.5秒東経143度58分11.7秒","日本北海道（十勝総合振興局）","北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ /43.384583; 143.969917座標:北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ /43.384583; 143.969917","","","","0.23km2","","","","","","","","","","","","",""
"十和田湖","[087十和田湖・奥入瀬渓谷青森] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","","","","61.11km2","","","","","","","","","","","","",""
"大船渡の中古生界 (存在しないページ)","[088大船渡の中古生界岩手]","https://ja.wikipedia.org/w/index.php?title=大船渡の中古生界&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"久慈層群と琥珀 (存在しないページ)","[089久慈層群と琥珀岩手]","https://ja.wikipedia.org/w/index.php?title=久慈層群と琥珀&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"荒砥沢ダム","[090荒砥沢ダムの上流崩壊地宮城] 荒砥沢ダム （あらとざわダム）は 宮城県 栗原市 、 一級河川 ・ 北上川 水系 二迫川 に建設された ダム である。","https://ja.wikipedia.org/wiki/荒砥沢ダム","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯38度53分07秒東経140度51分26秒","","北緯38度53分07秒東経140度51分26秒﻿ / ﻿北緯38.88528度 東経140.85722度﻿ /38.88528; 140.85722","","","","","","","","農林水産省東北農政局","","","","","","","","",""
"豊川油田 (存在しないページ)","[091豊川油田秋田]","https://ja.wikipedia.org/w/index.php?title=豊川油田&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"千屋断層","[092千屋断層秋田] 千屋断層 （せんやだんそう）は、 秋田県 仙北郡 美郷町 にある 断層 （逆断層）。 仙北平野 の東側、 奥羽山脈 の麓に南北に走る断層で、 横手盆地東縁断層帯 の一角をなす。 1896年 （明治29年） 8月31日 に発生した 陸羽地震 で一部が地表に露頭した。現在露頭部分は風化が進みほとんど目にすることができなくなった。 1984年 （昭和59年） 3月10日 秋田県の 天然記念物 に、 1995年 （平成7年） 2月14日 国の天然記念物に指定された。","https://ja.wikipedia.org/wiki/千屋断層","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯39度27分48.42秒 東経140度36分6.88秒","","","","","","","","","","","","","","","","","","",""
"五浦海岸","[093五浦海岸茨城] 五浦海岸 （いづらかいがん  ）は、 茨城県 北茨城市 大津町五浦にある 海岸 、 景勝地 。 花園花貫県立自然公園 に属する。「 関東 の 松島 」の異名を持つ  。 岡倉天心旧宅・庭園及び大五浦・小五浦 の一部として 国 の 登録記念物 に登録されている  。","https://ja.wikipedia.org/wiki/五浦海岸","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大谷石","[094大谷石栃木] 大谷石 （おおやいし）は 軽石 凝灰岩 で、 栃木県 宇都宮市 北西部の大谷町付近一帯で採掘される 石材 である  。柔らかく加工がしやすいことから、古くから 外壁 や 土蔵 などの 建材 として使用されてきた  。","https://ja.wikipedia.org/wiki/大谷石","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"塩原湖成層と木の葉石","[095塩原湖成層と木の葉石栃木] 塩原湖成層 （しおばらこせいそう）は活火山 高原山 の 塩原カルデラ 内にできた東西約6km、南北3kmの三日月型の塩原化石湖（または古塩原湖）の湖底に堆積した堆積物の地層を指し、その塩原湖成層から検出される木の葉などの化石を 木の葉石 （このはいし）という。","https://ja.wikipedia.org/wiki/塩原湖成層と木の葉石","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
