"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","外部リンク","事業主体","専門分野","管理運営","正式名称","延床面積","アクセス","前身","館長","ウェブサイト","愛称","建物設計","来館者数","開設","英語名称","略称"
"福井県自然保護センター観察棟 (存在しないページ)","[ 福井県自然保護センター観察棟 - 福井県大野市 - 口径80cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=福井県自然保護センター観察棟&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"長野市立博物館","[ 長野市立博物館 - 長野県長野市 - 口径40cm反射式望遠鏡] 長野市立博物館 （ながのしりつはくぶつかん）は、 長野県 長野市 小島田町にある長野市立の 博物館 。 博物館法 に基づく 総合博物館 で、 長野盆地 を中心とする地域の自然と人とのかかわりを究明し、新しい時代の文化創造の拠点とすることを目的とする。","https://ja.wikipedia.org/wiki/長野市立博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度35分29.6秒東経138度11分16.5秒","〒381-2212長野県長野市小島田町1414　八幡原史跡公園内   標高=350m","北緯36度35分29.6秒東経138度11分16.5秒﻿ / ﻿北緯36.591556度 東経138.187917度﻿ /36.591556; 138.187917座標:北緯36度35分29.6秒東経138度11分16.5秒﻿ / ﻿北緯36.591556度 東経138.187917度﻿ /36.591556; 138.187917","1981年9月23日","長野市立博物館","","","長野市","","","","","","","","","","","",""
"うすだスタードーム","[ うすだスタードーム - 長野県佐久市 - 口径60cm反射式望遠鏡] うすだスタードーム は、 長野県 佐久市 臼田にある 公開天文台 。正式名称は 佐久市天体観測施設 （さくしてんたいかんそくしせつ）である  。","https://ja.wikipedia.org/wiki/うすだスタードーム","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度11分34秒東経138度25分45秒","長野県佐久市臼田3113-1","","","","","","","","","","","","https://www.city.saku.nagano.jp/star-dome/","","","","1996年11月29日 (1996-11-29)","",""
"宇宙航空研究開発機構","[ 宇宙航空研究開発機構宇宙科学研究所臼田宇宙空間観測所 - 長野県佐久市 - 64m電波望遠鏡] 内閣府 ・ 総務省 ・ 文部科学省 ・ 経済産業省 が共同して所管し、国立研究開発法人格の組織では最大規模である。","https://ja.wikipedia.org/wiki/宇宙航空研究開発機構","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度40分43.3秒東経139度33分31.4秒","日本〒182-8522東京都調布市深大寺東町七丁目44番地1北緯35度40分43.3秒東経139度33分31.4秒﻿ / ﻿北緯35.678694度 東経139.558722度﻿ /35.678694; 139.558722","","","","","","","国立研究開発法人宇宙航空研究開発機構","","","宇宙科学研究所（ISAS）航空宇宙技術研究所（NAL）宇宙開発事業団（NASDA）","","https://www.jaxa.jp","","","","","Japan Aerospace Exploration Agency","JAXA（ジャクサ）"
"野辺山宇宙電波観測所","[ 国立天文台野辺山宇宙電波観測所 - 長野県南佐久郡南牧村 - 45m電波望遠鏡他] 2015年3月までは太陽電波観測を担当する野辺山太陽電波観測所（NSRO, Nobeyama Solar Radio Observatory）が同じ敷地内に設置されていた。同観測所の廃止後、一部の観測機器が宇宙電波観測所に移行されている。","https://ja.wikipedia.org/wiki/野辺山宇宙電波観測所","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度56分27.6秒 東経138度28分12.8秒","","","","","","","","","","","","","","","","","","",""
"野辺山宇宙電波観測所","[ 国立天文台野辺山太陽電波観測所 - 長野県南佐久郡南牧村 - 太陽電波望遠鏡他] 2015年3月までは太陽電波観測を担当する野辺山太陽電波観測所（NSRO, Nobeyama Solar Radio Observatory）が同じ敷地内に設置されていた。同観測所の廃止後、一部の観測機器が宇宙電波観測所に移行されている。","https://ja.wikipedia.org/wiki/野辺山宇宙電波観測所","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度56分27.6秒 東経138度28分12.8秒","","","","","","","","","","","","","","","","","","",""
"おんたけ休暇村","[ おんたけ休暇村天文館 - 長野県木曽郡王滝村 - 口径60cm反射式望遠鏡、20cm屈折式望遠鏡] おんたけ休暇村 （おんたけきゅうかむら）は、 長野県 木曽郡 王滝村 に位置する 名古屋市 公営 の 休暇村 である。","https://ja.wikipedia.org/wiki/おんたけ休暇村","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度51分25秒東経137度32分30秒","〒397-0201長野県木曽郡王滝村3159-25","北緯35度51分25秒東経137度32分30秒﻿ / ﻿北緯35.85694度 東経137.54167度﻿ /35.85694; 137.54167座標:北緯35度51分25秒東経137度32分30秒﻿ / ﻿北緯35.85694度 東経137.54167度﻿ /35.85694; 137.54167","","","","","","名古屋市民御岳休暇村","","","","","","","","","","",""
"東京大学大学院理学系研究科附属天文学教育研究センター","[ 東京大学大学院理学系研究科附属天文学教育研究センター木曾観測所 - 長野県木曽郡木曽町 - 口径105cmシュミット式望遠鏡] 東京大学大学院理学系研究科附属 天文学教育研究センター （とうきょうだいがくだいがくいんりがくけいけんきゅうかふぞく てんもんがくきょういく - 、英称： Institute of Astronomy, Faculty of Science, University of Tokyo ）は、 東京大学大学院理学系研究科 の附属施設の一つで、東京大学内において 天文学 に関連する観測的研究を行っている。国内外に木曽観測所（ 長野県 上松町 ）、望遠鏡、天文台を所有している。","https://ja.wikipedia.org/wiki/東京大学大学院理学系研究科附属天文学教育研究センター","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"銀河ドーム (存在しないページ)","[ 銀河ドーム - 長野県上伊那郡中川村 - 口径30cmカセグレン式反射望遠鏡]","https://ja.wikipedia.org/w/index.php?title=銀河ドーム&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"京都大学大学院理学研究科附属飛騨天文台","[ 京都大学大学院理学研究科附属飛騨天文台 - 岐阜県高山市 - 口径60cmドームレス望遠鏡他] 飛騨天文台 （ひだてんもんだい）とは、 岐阜県 高山市 に所在する 天文台 である。大雨見山の山上にある。","https://ja.wikipedia.org/wiki/京都大学大学院理学研究科附属飛騨天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯36度15分14秒 東経137度18分18.5秒","","","","","","","","","","","","","","","","","","",""
"岐阜市科学館","[ 岐阜市科学館 - 岐阜県岐阜市 - 口径50cm反射式望遠鏡] 岐阜市科学館 （ぎふしかがくかん、Gifu City Science Museum）は、 岐阜県 岐阜市 にある、 岐阜市 が運営する公共の 科学館 である。","https://ja.wikipedia.org/wiki/岐阜市科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度24分14.04秒東経136度43分51.23秒","〒500-8701岐阜県岐阜市本荘3456-41","北緯35度24分14.04秒東経136度43分51.23秒﻿ / ﻿北緯35.4039000度 東経136.7308972度﻿ /35.4039000; 136.7308972座標:北緯35度24分14.04秒東経136度43分51.23秒﻿ / ﻿北緯35.4039000度 東経136.7308972度﻿ /35.4039000; 136.7308972","1980年（昭和55年）5月1日","岐阜市科学館","岐阜市","科学館","岐阜市","","4,559.32m2","","岐阜市少年科学センター","近藤 央","","","岬建築事務所","","","",""
"岐阜天文台","[ 岐阜天文台 - 岐阜県岐阜市 - 口径25cm屈折式望遠鏡] 岐阜天文台 （ぎふてんもんだい）は、 岐阜県 岐阜市 （旧 羽島郡 柳津町 ）にある民間 天文台 。公益財団法人岐阜天文台が運営する。","https://ja.wikipedia.org/wiki/岐阜天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度21分35.83秒 東経136度42分17.05秒","","","","","","","","","","","","","","","","","","",""
"各務原市少年自然の家","[ 各務原市少年自然の家 - 岐阜県各務原市 - 口径15cm屈折式望遠鏡] 各務原市少年自然の家 （かかみがはらししょうねんしぜんのいえ）は、 岐阜県 各務原市 に位置する、野外 社会教育施設 （ 少年自然の家 ）。","https://ja.wikipedia.org/wiki/各務原市少年自然の家","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度23分8.4秒 東経136度55分38秒","","","","","","","","","","","","","","","","","","",""
"ハートピア安八","[ ハートピア安八 - 岐阜県安八郡安八町 - 口径70cm反射式望遠鏡] ハートピア安八 （ハートピアあんぱち）は、 岐阜県 安八郡 安八町 にある 公共施設 である。","https://ja.wikipedia.org/wiki/ハートピア安八","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度20分8.2秒 東経136度39分50秒","","","","","","","","","","","","","","","","","","",""
"三の倉市民の里","[ 三の倉市民の里 地球村 - 岐阜県多治見市 - 口径15cm屈折式望遠鏡] 三の倉市民の里 （さんのくらしみんのさと）は、 岐阜県 多治見市 にある野外教育施設。通称 地球村 。 三の倉市民の里「地球村」 と表記されることが多い。管理運営は公益財団法人多治見市文化振興事業団が行っている  。","https://ja.wikipedia.org/wiki/三の倉市民の里","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度18分48.6秒 東経137度5分13.1秒","","","","","","","","","","","","","","","","","","",""
"西美濃天文台","[ 西美濃天文台 - 岐阜県揖斐郡揖斐川町 - 口径50cm反射式望遠鏡] 西美濃天文台 （にしみのてんもんだい）は、 岐阜県 揖斐郡 揖斐川町 （旧 藤橋村 ）にある 天文台 。揖斐川町が運営、管理する。","https://ja.wikipedia.org/wiki/西美濃天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"月光天文台","[ 月光天文台 - 静岡県田方郡函南町 - 口径50cm反射式望遠鏡、20cm屈折式望遠鏡] 公益財団法人 国際文化交友会 が運営する公開天文台で、プラネタリウムや地学資料館を併設する。正式名称は「公益財団法人 国際文化交友会　月光天文台」  。","https://ja.wikipedia.org/wiki/月光天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度07分43秒東経138度59分33秒","静岡県田方郡函南町桑原1308-222","","","","","","","","","","","","www.gekkou.or.jp","","","","1957年 (1957)","",""
"星の広場天文台","[ 星の広場天文台 - 静岡県静岡市 - 口径41cm反射式望遠鏡] 星の広場天文台 （ほしのひろばてんもんだい）は、 静岡県 静岡市 清水区 の船越堤公園の中にある 天文台 。","https://ja.wikipedia.org/wiki/星の広場天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度59分53秒東経138度27分52秒","〒424-0861静岡県静岡市清水区船越堤公園内","北緯34度59分53秒東経138度27分52秒﻿ / ﻿北緯34.99811度 東経138.46433度﻿ /34.99811; 138.46433座標:北緯34度59分53秒東経138度27分52秒﻿ / ﻿北緯34.99811度 東経138.46433度﻿ /34.99811; 138.46433","1986年（昭和61年）11月","星の広場天文台","静岡県静岡市","天文学","静岡県天文研究会","","","","","","","","","","","",""
"岩崎一彰","[ 岩崎一彰・宇宙美術館 　(2016年9月閉館) - 静岡県伊東市 - 口径61cm反射式望遠鏡] 岩崎 一彰 （いわさき かずあき、本名： 岩崎 敏二 ）は、日本の産業デザイナー、天体精密画家。日本では宇宙美術分野の第一人者として知られる。静岡県に「宇宙美術館」を設立し、 天文台 及び プラネタリウム も運営、天文学の普及・広報なども行っている。","https://ja.wikipedia.org/wiki/岩崎一彰","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ディスカバリーパーク焼津","[ ディスカバリーパーク焼津 - 静岡県焼津市 - 口径80cm反射式望遠鏡] ディスカバリーパーク焼津天文科学館 （ディスカバリーパークやいづてんもんかがくかん）は 静岡県 焼津市 田尻にある 天文科学館 。「ディスカバリーパーク焼津」の一つ。名誉館長は 漫画家 の 松本零士  。","https://ja.wikipedia.org/wiki/ディスカバリーパーク焼津","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度49分22.1秒東経138度19分53.6秒","〒425-0052静岡県焼津市田尻2968-1","北緯34度49分22.1秒東経138度19分53.6秒﻿ / ﻿北緯34.822806度 東経138.331556度﻿ /34.822806; 138.331556座標:北緯34度49分22.1秒東経138度19分53.6秒﻿ / ﻿北緯34.822806度 東経138.331556度﻿ /34.822806; 138.331556","2004年（平成16年）4月17日","ディスカバリーパーク焼津天文科学館","焼津市ディスカバリーパーク焼津","宇宙・天文学・科学についての展示","公益財団法人焼津市振興公社","","2,828平方メートル","","","","","ときめき遊星館","","","","",""
"浜松市天文台","[ 浜松市天文台 - 静岡県浜松市 - 口径20cm屈折式望遠鏡] 浜松市天文台 （はままつしてんもんだい）は、 静岡県 浜松市 南区 福島町242-1にある 天文台 である。施設は浜松市五島協働センターと併設されており、3階、4階が天文台となっている。  ","https://ja.wikipedia.org/wiki/浜松市天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度39分48.3秒東経137度46分08.6秒","〒430-0836静岡県浜松市南区福島町242-1","北緯34度39分48.3秒東経137度46分08.6秒﻿ / ﻿北緯34.663417度 東経137.769056度﻿ /34.663417; 137.769056","1982年3月15日","浜松市天文台","静岡県浜松市","天文学","","","360.54m2","","","","","","","14,000人（2003年度）","","",""
"スカイワードあさひ","[ スカイワードあさひ - 愛知県尾張旭市 - 口径50cm反射式望遠鏡] スカイワードあさひ は 愛知県 尾張旭市 にある公共施設。","https://ja.wikipedia.org/wiki/スカイワードあさひ","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度13分14.8秒東経137度1分44.4秒","〒488-0883愛知県尾張旭市城山町長池下4517−1","","","","尾張旭市","","コニックス株式会社（2009年4月〜）","","","","","","","","","","","",""
"名古屋市科学館","[ 名古屋市科学館 - 愛知県名古屋市 - 口径65cm反射式望遠鏡] 名古屋市科学館 （なごやしかがくかん）は、 愛知県 名古屋市 中区 の 白川公園 （芸術と科学の杜）内にある市立の 科学館 。市政70周年の記念事業の一環として建設された。","https://ja.wikipedia.org/wiki/名古屋市科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度9分54.09秒東経136度53分58.62秒","〒460-0008愛知県名古屋市中区栄2-17-1","北緯35度9分54.09秒東経136度53分58.62秒﻿ / ﻿北緯35.1650250度 東経136.8996167度﻿ /35.1650250; 136.8996167座標:北緯35度9分54.09秒東経136度53分58.62秒﻿ / ﻿北緯35.1650250度 東経136.8996167度﻿ /35.1650250; 136.8996167","1962年11月3日","http://www.ncsm.city.nagoya.jp/","名古屋市","科学","教育委員会事務局科学館","名古屋市科学館","22,551.32m2","","","纐纈 満","","","名古屋市建設局プラネタリウム:日建設計、名古屋市住宅都市局営繕部","","","",""
"半田空の科学館","[ 半田空の科学館 - 愛知県半田市 - 口径30cm反射式望遠鏡] 半田空の科学館 （はんだそらのかがくかん）は、 愛知県 半田市 にある 地球 や 宇宙 に関する 科学館 である。","https://ja.wikipedia.org/wiki/半田空の科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度53分29.14秒東経136度54分47.05秒","〒475-0928愛知県半田市桐ヶ丘4-210","北緯34度53分29.14秒東経136度54分47.05秒﻿ / ﻿北緯34.8914278度 東経136.9130694度﻿ /34.8914278; 136.9130694座標:北緯34度53分29.14秒東経136度54分47.05秒﻿ / ﻿北緯34.8914278度 東経136.9130694度﻿ /34.8914278; 136.9130694","1985年（昭和60年）11月10日","半田空の科学館","半田市","地球、宇宙","アクティオ株式会社","半田空の科学館","2,277.53m2","","","池田昇","","","","","","",""
"尾鷲市立天文科学館","[ 尾鷲市立天文科学館 - 三重県尾鷲市 - 口径81cm反射式望遠鏡] 尾鷲市立天文科学館 （おわせしりつてんもんかがくかん）は 三重県 尾鷲市 の中心にある中村山公園に建つ 天文学 をテーマとする 博物館 相当施設。","https://ja.wikipedia.org/wiki/尾鷲市立天文科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度4分20.6秒東経136度11分34.9秒","〒519-3616　三重県尾鷲市中村町10-41　","北緯34度4分20.6秒東経136度11分34.9秒﻿ / ﻿北緯34.072389度 東経136.193028度﻿ /34.072389; 136.193028","1990年10月25日","公式サイト","尾鷲市","天文学","尾鷲市教育委員会生涯学習課","尾鷲市立天文科学館","248.45m2","JR尾鷲駅より約300m","","","","","","","","",""
"ダイニックアストロパーク天究館","[ ダイニックアストロパーク天究館 - 滋賀県犬上郡多賀町 - 口径60cm反射式望遠鏡] ダイニックアストロパーク天究館 （だいにっくあすとろぱーくてんきゅうかん）とは、 滋賀県 犬上郡 多賀町 にある数少ない民間の公開 天文台 。あるいは、繊維製品メーカー ダイニック の天文分野に関する 社会還元事業 の名称。","https://ja.wikipedia.org/wiki/ダイニックアストロパーク天究館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度12分40.8秒 東経136度18分16.7秒","","","","","","","","","","","","","","","","","","",""
"綾部市天文館パオ","[ 綾部市天文館パオ - 京都府綾部市 - 口径95cm反射式望遠鏡] 綾部市天文館パオ （あやべしてんもんかんパオ）は、 京都府 綾部市 里町にある 天文館 である。","https://ja.wikipedia.org/wiki/綾部市天文館パオ","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"京都大学","[ 京都大学理学系研究科附属花山天文台 - 京都府京都市 - 口径45cm屈折式望遠鏡、口径70cmシロースタット型太陽望遠鏡、口径18cm屈折式望遠鏡] 京都大学は、日本で2番目に創設された 帝国大学 たる京都帝国大学の流れを汲んでいる 国立大学 で、入試においては 東京大学 に次ぐ日本トップクラスの難関大学である。精神的な基盤として、京都大学では「自由の学風」を謳っている。また、 西部講堂 のロックコンサートなどに代表される京都地区における文化発信地としての役割も担ってきた。","https://ja.wikipedia.org/wiki/京都大学","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度1分34秒東経135度46分51秒","","","","","","","","","","","","","https://www.kyoto-u.ac.jp/ja","","","","","",""
"丹波天文館 (存在しないページ)","[ 丹波天文館 - 京都府船井郡京丹波町 - 口径50cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=丹波天文館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"京都産業大学","[ 京都産業大学神山天文台 - 京都府京都市 - 口径130cm反射式望遠鏡] 1965年 、 荒木俊馬 （初代総長、 物理学者 、 天文学者 ）が 上賀茂 神山 （ 京都市北区 ）に創設した大学である。 経済学部 、 理学部 の２学部が設置され、 1967年 には 経営学部 、 法学部 、 外国語学部 を増設、開学から3年という異例のスピードで総合大学に発展した（1969年時点で在学者数は1万人を越えている）。荒木は大学名の産業を「むすびわざ」と説き、「新しい業（わざ）を産（む）すぶ＝新たな価値を生み出す」という期待を込めている。 産学連携 が アカデミズム に反するという時代に「産業」を掲げ、異分野との交流や連携を積極的に推し進めてきた。1960年代後半には世界最速の 大型コンピュータ を導入、日本の大学では初となる 計算機科学科 を設置するなど、 情報 分野にも力を注いでいたことから「情報の京産大」とも謳われた。 その後も 工学部 （1989年）、 文化学部 （2000年）、 コンピュータ理工学部 （2008年）、 総合生命科学部 （2012年）、 現代社会学部 （2017年）、 情報理工学部 （2018年）、 国際関係学部 （2019年）が設置されている。1980年代には私立の総合大学がキャンパスを都市部から郊外へとその機能を分散させる中、同大学では開学以来、大学機能の一拠点化（一拠点総合大学）を貫いている。2020年現在、大学（10学部、10研究科）、附属幼稚園（ 京都市山科区 ）、附属中学校・高等学校（ 京都市中京区 ）を擁する総合学園である。","https://ja.wikipedia.org/wiki/京都産業大学","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度04分13秒 東経135度45分30秒","","","","","","","","","","","","","https://www.kyoto-su.ac.jp","","","","","",""
"アクトパル宇治","[ アクトパル宇治 - 京都府宇治市 - 口径25cm屈折式望遠鏡] アクトパル宇治 （アクトパルうじ）は、 京都府 宇治市 の総合 野外活動 施設である。","https://ja.wikipedia.org/wiki/アクトパル宇治","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"大阪市立科学館","[ 大阪市立科学館 - 大阪府大阪市 - 口径50cm反射式望遠鏡] 大阪市立科学館 （おおさかしりつかがくかん）は、 大阪市 北区 中之島 にある 科学館 。テーマは「宇宙とエネルギー」。","https://ja.wikipedia.org/wiki/大阪市立科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度41分28.7秒東経135度29分29.7秒","〒530-0005大阪府大阪市北区中之島4-2-1","北緯34度41分28.7秒東経135度29分29.7秒﻿ / ﻿北緯34.691306度 東経135.491583度﻿ /34.691306; 135.491583座標:北緯34度41分28.7秒東経135度29分29.7秒﻿ / ﻿北緯34.691306度 東経135.491583度﻿ /34.691306; 135.491583","1989年10月7日","","大阪市","科学","(地独)大阪市博物館機構(2019年3月までは(公財)大阪科学振興協会)","","","","大阪市立電気科学館","","","","","","","",""
"LICはびきの (存在しないページ)","[ LICはびきの - 大阪府羽曳野市 - 口径40cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=LICはびきの&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"堺市教育文化センター","[ ソフィア・堺 - 大阪府堺市 - 口径60cm反射式望遠鏡] 堺市教育文化センター （さかいしきょういくぶんかセンター）は 堺市 中区 にある教育、学習に関する総合施設（ 多目的ホール ）である。愛称は『 ソフィア・堺 』 指定管理者制度 により、 JTB コミニケーションズグループが運営している。","https://ja.wikipedia.org/wiki/堺市教育文化センター","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度32分1.7秒 東経135度29分29.2秒","","","","","","","","","","","","","","","","","","",""
"善兵衛ランド","[ 善兵衛ランド - 大阪府貝塚市 - 口径60cm反射式望遠鏡] 善兵衛ランド （ぜんべえランド）は、 大阪府 貝塚市 にある 天文台 兼 博物館 。名称は 江戸時代 の 望遠鏡 製作者である 岩橋善兵衛 にちなむ  。","https://ja.wikipedia.org/wiki/善兵衛ランド","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度24分22.4秒東経135度23分18秒","〒597-0105大阪府貝塚市三ツ松216","北緯34度24分22.4秒東経135度23分18秒﻿ / ﻿北緯34.406222度 東経135.38833度﻿ /34.406222; 135.38833","1992年","http://www.city.kaizuka.lg.jp/zenbe/","貝塚市","天文","","貝塚市立善兵衛ランド","","水間鉄道水間線・三ヶ山口駅下車","","","","","","","","",""
"兵庫県立大学","[ 兵庫県立大学西はりま天文台 - 兵庫県佐用郡佐用町 - 口径200cm反射式望遠鏡、 口径60cm反射式望遠鏡] 兵庫県立大学は2004年に誕生した大学である。かつて兵庫県に存在した、旧 神戸商科大学 ・旧 姫路工業大学 ・旧 兵庫県立看護大学 の3大学が統合された。前身校はそれぞれ 関西 ではよく知られた大学であったが、 第二次世界大戦 後は伝統を異にして発展した経緯から、大学としての一体感は醸成途上にある。 公立大学 としては、日本有数の歴史・日本最大級の規模を誇る。","https://ja.wikipedia.org/wiki/兵庫県立大学","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度40分41.7秒東経135度03分7.6秒","","","","","","","","","","","","","https://www.u-hyogo.ac.jp/","","","","","",""
"猪名川天文台 (存在しないページ)","[ 猪名川天文台 - 兵庫県川辺郡猪名川町 - 口径50cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=猪名川天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"にしわき経緯度地球科学館","[ にしわき経緯度地球科学館 - 兵庫県西脇市 - 口径81cm反射式望遠鏡] にしわき経緯度地球科学館 （にしわきけいいどちきゅうかがくかん）は、 兵庫県 西脇市 の 東経135度線 （ 日本標準時子午線 ）、 北緯35度線 の交点にある「地球・宇宙」をテーマにした西脇市立の 科学館 。愛称「 テラ・ドーム 」。 1992年 に開館した。","https://ja.wikipedia.org/wiki/にしわき経緯度地球科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度0分0.0秒東経134度59分55.8秒","〒677-0039日本兵庫県西脇市上比延町334-2","北緯35度0分0.0秒東経134度59分55.8秒﻿ / ﻿北緯35.000000度 東経134.998833度﻿ /35.000000; 134.998833","1992年","http://www.nishiwaki-cs.or.jp/terra/","西脇市","「地球・宇宙」をテーマにした科学館","西脇市","にしわき経緯度地球科学館","","","","","","テラ・ドーム","","","","",""
"星の子館","[ 星の子館 - 兵庫県姫路市 - 口径90cm反射式望遠鏡] 星の子館 （ほしのこやかた）は、 兵庫県 姫路市 にある宿泊型の 科学 系 児童館 である。設計は 安藤忠雄 で   、 1992年 に開館した。 天文台 施設に口径90センチ 反射望遠鏡 があることで知られる。","https://ja.wikipedia.org/wiki/星の子館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度51分9.8秒東経134度37分43.1秒","〒671-2222日本兵庫県姫路市青山1470番地24","北緯34度51分9.8秒東経134度37分43.1秒﻿ / ﻿北緯34.852722度 東経134.628639度﻿ /34.852722; 134.628639","1992年5月1日","https://ssl.himeji-hoshinoko.jp/","","","","","","","","","","","","","","",""
"神戸市立青少年科学館","[ 神戸市立青少年科学館 - 兵庫県神戸市 - 口径25cm屈折式望遠鏡] 神戸市立青少年科学館 （こうべしりつせいしょうねんかがくかん）は、 兵庫県 神戸市 中央区 の ポートアイランド にある 科学館 。愛称は バンドー神戸青少年科学館 。","https://ja.wikipedia.org/wiki/神戸市立青少年科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度39分58秒 東経135度13分07秒","〒650-0046兵庫県神戸市中央区港島中町7-7-6","","1984年4月29日、新館1989年","","神戸市","","SFG神戸（指定管理者）","神戸市立青少年科学館","12,380m2","","","","","バンドー神戸青少年科学館","","","","",""
"明石市立天文科学館","[ 明石市立天文科学館 - 兵庫県明石市 - 口径40cm反射式望遠鏡] 明石市立天文科学館 （あかししりつてんもんかがくかん）は、 兵庫県 明石市 にある、 日本標準時 子午線 上に建つ「時と宇宙」をテーマとした 博物館 。","https://ja.wikipedia.org/wiki/明石市立天文科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度38分57.82秒東経135度0分5.32秒","〒673-0877兵庫県明石市人丸町2番6号","北緯34度38分57.82秒東経135度0分5.32秒﻿ / ﻿北緯34.6493944度 東経135.0014778度﻿ /34.6493944; 135.0014778座標:北緯34度38分57.82秒東経135度0分5.32秒﻿ / ﻿北緯34.6493944度 東経135.0014778度﻿ /34.6493944; 135.0014778","1960年（昭和35年）6月10日","http://www.am12.jp/","明石市","天文学","","","","山陽電気鉄道人丸前駅徒歩約2分JR西日本明石駅徒歩約15分","","","","","","","","",""
"大塔コスミックパーク星のくに (存在しないページ)","[ 大塔コスミックパーク星のくに - 奈良県五條市 - 口径45cm反射式望遠鏡、口径40cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=大塔コスミックパーク星のくに&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
