"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","面積","総人口","人口密度","地方","都道府県","市町村コード","法人番号","隣接自治体","市長","所在地","外部リンク","市の花","市の木","市の鳥","特記事項","他のシンボル","市の歌","市の花木"
"坂井市","[345福井県18210坂井市209.7431136.064.9%66473.735.1%] 坂井市 （さかいし）は、 福井県 の北部に位置する 市 である。","https://ja.wikipedia.org/wiki/坂井市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度10分1秒東経136度13分53.2秒","日本","209.67km2","88,022人（推計人口、2021年6月1日）","420人/km2","中部地方、北陸地方","福井県","18210-9","8000020182109","福井市、あわら市、勝山市、吉田郡永平寺町石川県：加賀市","坂本憲男","〒919-0592福井県坂井市坂井町下新庄第1号1番地北緯36度10分1秒東経136度13分53.2秒﻿ / ﻿北緯36.16694度 東経136.231444度﻿ /36.16694; 136.231444座標:北緯36度10分1秒東経136度13分53.2秒﻿ / ﻿北緯36.16694度 東経136.231444度﻿ /36.16694; 136.231444","公式ウェブサイト","ユリ","サクラ","カモメ","坂井市の地域自治区（2006年3月20日合併前の旧町境界と同じ）1.三国町, 2.丸岡町, 3.春江町, 4.坂井町","","",""
"高岡市","[346富山県16202高岡市209.6821142.968.2%1,20567.132.0%] 高岡市 （たかおかし）は、 富山県 北西部の 市 である   。県庁所在地である 富山市 に次ぐ富山県第2の都市で、県西部（呉西）の中心都市である。","https://ja.wikipedia.org/wiki/高岡市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度45分14.6秒東経137度1分32.4秒","日本","209.57km2","165,405人（推計人口、2021年6月1日）","789人/km2","中部地方、北陸地方","富山県","16202-7","9000020162027","氷見市、砺波市、小矢部市、射水市石川県：河北郡津幡町、羽咋郡宝達志水町","高橋正樹","〒933-8601富山県高岡市広小路7番50号北緯36度45分14.6秒東経137度1分32.4秒﻿ / ﻿北緯36.754056度 東経137.025667度﻿ /36.754056; 137.025667座標:北緯36度45分14.6秒東経137度1分32.4秒﻿ / ﻿北緯36.754056度 東経137.025667度﻿ /36.754056; 137.025667","公式ウェブサイト","かたかご（カタクリ）","つまま（タブノキ）","","","","","さくら（サクラ属）"
"赤磐市","[347岡山県33213赤磐市209.420677.837.2%555130.762.4%] 赤磐市 （あかいわし）は、 岡山県 中南部に位置する 市 。","https://ja.wikipedia.org/wiki/赤磐市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度45分19.3秒東経134度1分7.6秒","日本","209.36km2","42,233人（推計人口、2021年6月1日）","202人/km2","中国地方、山陽地方中国・四国地方","岡山県","33213-5","7000020332135","岡山市、備前市、久米郡久米南町、美咲町、和気郡和気町","友實武則","〒709-0898岡山県赤磐市下市344番地北緯34度45分19.3秒東経134度1分7.6秒﻿ / ﻿北緯34.755361度 東経134.018778度﻿ /34.755361; 134.018778﻿ (赤磐市)座標:北緯34度45分19.3秒東経134度1分7.6秒﻿ / ﻿北緯34.755361度 東経134.018778度﻿ /34.755361; 134.018778﻿ (赤磐市)市庁舎位置","公式ウェブサイト","桃、桜","松","","","","",""
"和歌山市","[348和歌山県30201和歌山市208.81,744146.470.1%2,48861.629.5%] 和歌山市 （わかやまし）は、 和歌山県 の北部に位置する都市。和歌山県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/和歌山市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度13分49.3秒東経135度10分14.7秒","日本","208.84km2","355,454人（推計人口、2021年6月1日）","1,702人/km2","近畿地方","和歌山県","30201-5","6000020302015","和歌山県:海南市、紀の川市、岩出市大阪府:阪南市、泉南郡岬町兵庫県:洲本市（紀淡海峡を挟んで）","尾花正啓","〒640-8511和歌山県和歌山市七番丁23番地北緯34度13分49.3秒東経135度10分14.7秒﻿ / ﻿北緯34.230361度 東経135.170750度﻿ /34.230361; 135.170750座標:北緯34度13分49.3秒東経135度10分14.7秒﻿ / ﻿北緯34.230361度 東経135.170750度﻿ /34.230361; 135.170750市庁舎位置","公式ウェブサイト","ツツジ","クスノキ","","","","",""
"みどり市","[349群馬県10212みどり市208.424442.320.3%1,204166.679.9%] みどり市 （みどりし）は 群馬県 東部に位置する 市 である。群馬県内では 1958年 （ 昭和 33年）の 安中市 以来、48年ぶりに誕生した市である。","https://ja.wikipedia.org/wiki/みどり市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度23分41.3秒東経139度16分52.1秒","日本","208.42km2","48,990人（推計人口、2021年6月1日）","235人/km2","関東地方","群馬県","10212-1","2000020102121","桐生市、伊勢崎市、太田市、沼田市栃木県：佐野市、鹿沼市、日光市","須藤昭男","〒379-2395（笠懸庁舎）群馬県みどり市笠懸町鹿2952北緯36度23分41.3秒東経139度16分52.1秒﻿ / ﻿北緯36.394806度 東経139.281139度﻿ /36.394806; 139.281139座標:北緯36度23分41.3秒東経139度16分52.1秒﻿ / ﻿北緯36.394806度 東経139.281139度﻿ /36.394806; 139.281139〒376-0192（大間々庁舎）群馬県みどり市大間々町大間々1511〒376-0397（東支所）群馬県みどり市東町花輪205-2〒376-0101（教育庁舎）群馬県みどり市大間々町大間々235-6","公式ウェブサイト","カタクリ、キク","サクラ（ソメイヨシノ）","キジ","","","",""
"伊勢市","[350三重県24203伊勢市208.461498.547.3%1,298109.652.6%] 伊勢市 （いせし）は、 三重県 南東部 に位置する 都市 である。","https://ja.wikipedia.org/wiki/伊勢市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度29分15秒東経136度42分33.5秒","日本","208.35km2","122,478人（推計人口、2021年3月1日）","588人/km2","東海地方、近畿地方","三重県","24203-9","5000020242039","鳥羽市、志摩市、度会郡南伊勢町、度会町、玉城町、多気郡明和町","鈴木健一","〒516-0037三重県伊勢市岩渕一丁目7番29号北緯34度29分15秒東経136度42分33.5秒﻿ / ﻿北緯34.48750度 東経136.709306度﻿ /34.48750; 136.709306座標:北緯34度29分15秒東経136度42分33.5秒﻿ / ﻿北緯34.48750度 東経136.709306度﻿ /34.48750; 136.709306市庁舎位置","公式ウェブサイト","オヤネザクラ","オガタマノキ","","","","",""
"鉾田市","[351茨城県08234鉾田市207.6232151.573.0%31849.723.9%] 鉾田市 （ほこたし）は、 茨城県 南東部の 鹿行 地域にある 市 。","https://ja.wikipedia.org/wiki/鉾田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度9分31.2秒東経140度30分59.1秒","日本","207.61km2","45,560人（推計人口、2021年6月1日）","219人/km2","関東地方","茨城県","08234-1","8000020082341","鹿嶋市、行方市、小美玉市、東茨城郡茨城町、大洗町","岸田一夫","〒311-1592茨城県鉾田市鉾田1444-1北緯36度9分31.2秒東経140度30分59.1秒﻿ / ﻿北緯36.158667度 東経140.516417度﻿ /36.158667; 140.516417","公式ウェブサイト","ヒマワリ","サクラ","ウグイス","","","",""
"東根市","[352山形県06211東根市206.923173.835.7%647131.863.7%] 東根市 （ひがしねし）は、 山形県 中央東部にある人口約4万8千人の 市 。平成27年（ 2015年 ）現在、県内で最も人口が増加している市町村である  。 サクランボ や リンゴ をはじめとする果樹の栽培が盛んで、サクランボの生産量は全国の市町村で1位。サクランボの主要品種である「佐藤錦（さとうにしき）」は東根市で作出された。また、焼き 麩 の生産量は日本一である  。","https://ja.wikipedia.org/wiki/東根市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯38度25分52.7秒東経140度23分27.9秒","日本","206.94km2","47,777人（推計人口、2021年6月1日）","231人/km2","東北地方","山形県","06211-1","9000020062111","尾花沢市、村山市、天童市、山形市、西村山郡河北町宮城県仙台市","土田正剛","〒999-3795山形県東根市中央一丁目1番1号北緯38度25分52.7秒東経140度23分27.9秒﻿ / ﻿北緯38.431306度 東経140.391083度﻿ /38.431306; 140.391083","東根市の公式サイト","サクランボ","ケヤキ","","","","",""
"大垣市","[353岐阜県21202大垣市206.677497.847.4%1,634108.852.7%] 大垣市 （おおがきし）は、 岐阜県 の 西濃 地方に位置する 市 。","https://ja.wikipedia.org/wiki/大垣市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度21分33.7秒東経136度36分46.3秒","日本","206.57km2","157,821人（推計人口、2021年6月1日）","764人/km2","中部地方、東海地方","岐阜県","21202-4","6000020212024","岐阜市、羽島市、瑞穂市、安八郡安八町、神戸町、輪之内町、不破郡垂井町、関ケ原町、揖斐郡池田町、養老郡養老町滋賀県：米原市、犬上郡多賀町三重県：いなべ市","石田仁","〒503-8601岐阜県大垣市丸の内二丁目29番地北緯35度21分33.7秒東経136度36分46.3秒﻿ / ﻿北緯35.359361度 東経136.612861度﻿ /35.359361; 136.612861座標:北緯35度21分33.7秒東経136度36分46.3秒﻿ / ﻿北緯35.359361度 東経136.612861度﻿ /35.359361; 136.612861","公式ウェブサイト","サツキ","クスノキ","","","","",""
"四日市市","[354三重県24202四日市市206.41,507177.185.8%1,75628.613.9%] 四日市市 （よっかいちし）は、 三重県 北部（ 北勢 ）に位置する 市 。 名古屋都市圏 （ 中京圏 ）に含まれる。","https://ja.wikipedia.org/wiki/四日市市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度57分54.1秒東経136度37分27.9秒","日本","206.44km2","304,944人（推計人口、2021年3月1日）","1,477人/km2","東海地方、近畿地方","三重県","24202-1","6000020242021","桑名市、鈴鹿市、いなべ市、三重郡朝日町、川越町、菰野町、員弁郡東員町滋賀県甲賀市","森智広","〒510-8601三重県四日市市諏訪町1番5号北緯34度57分54.1秒東経136度37分27.9秒﻿ / ﻿北緯34.965028度 東経136.624417度﻿ /34.965028; 136.624417座標:北緯34度57分54.1秒東経136度37分27.9秒﻿ / ﻿北緯34.965028度 東経136.624417度﻿ /34.965028; 136.624417","公式ウェブサイト","サルビア","クスノキ","ユリカモメ","","","",""
"豊後高田市","[355大分県44209豊後高田市206.211186.441.9%265117.957.1%] 豊後高田市 （ぶんごたかだし）は、 大分県 北部に位置する 市 。","https://ja.wikipedia.org/wiki/豊後高田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度33分26.1秒東経131度26分40.5秒","日本","206.24km2","21,834人（推計人口、2021年6月1日）","106人/km2","九州地方","大分県","44209-7","9000020442097","宇佐市、杵築市、国東市","佐々木敏夫","〒879-0692大分県豊後高田市御玉114北緯33度33分26.1秒東経131度26分40.5秒﻿ / ﻿北緯33.557250度 東経131.444583度﻿ /33.557250; 131.444583座標:北緯33度33分26.1秒東経131度26分40.5秒﻿ / ﻿北緯33.557250度 東経131.444583度﻿ /33.557250; 131.444583","公式ウェブサイト","コスモス","柿","","市役所のデータは高田庁舎のもの","","",""
"稲敷市","[356茨城県08229稲敷市205.8208161.278.3%26616.37.9%] 稲敷市 （いなしきし）は、 茨城県 の 県南地域 に位置する 市 である。","https://ja.wikipedia.org/wiki/稲敷市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度57分23.5秒東経140度19分26.2秒","日本","205.81km2","38,616人（推計人口、2021年6月1日）","188人/km2","関東地方","茨城県","08229-5","4000020082295","潮来市、龍ケ崎市、牛久市、稲敷郡阿見町、美浦村、河内町千葉県：香取市、香取郡神崎町","筧信太郎","〒300-0595茨城県稲敷市犬塚1570番地1北緯35度57分23.5秒東経140度19分26.2秒﻿ / ﻿北緯35.956528度 東経140.323944度﻿ /35.956528; 140.323944","公式ウェブサイト","菊","桜","ウグイス","","","",""
"西之表市","[357鹿児島県46213西之表市205.77880.739.2%198120.758.7%] 西之表市 （にしのおもてし）は、 鹿児島県 の南部、 大隅諸島 の 種子島 北部にある 市 。","https://ja.wikipedia.org/wiki/西之表市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯30度43分56.8秒東経130度59分49.3秒","日本","205.66km2","14,601人（推計人口、2021年6月1日）","71人/km2","九州地方","鹿児島県","46213-6","1000020462136","熊毛郡中種子町","八板俊輔","〒891-3193鹿児島県西之表市西之表7612番地北緯30度43分56.8秒東経130度59分49.3秒﻿ / ﻿北緯30.732444度 東経130.997028度﻿ /30.732444; 130.997028﻿ (西之表市)座標:北緯30度43分56.8秒東経130度59分49.3秒﻿ / ﻿北緯30.732444度 東経130.997028度﻿ /30.732444; 130.997028﻿ (西之表市)","公式ウェブサイト","テッポウユリ","アコウ","","","","",""
"富津市","[358千葉県12226富津市205.522280.739.3%565124.660.6%] 富津市 （ふっつし）は、 千葉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/富津市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度18分14.7秒東経139度51分25.3秒","日本","205.53km2","42,030人（推計人口、2021年6月1日）","204人/km2","関東地方","千葉県","12226-2","8000020122262","君津市、鴨川市安房郡：鋸南町※以下、海上を隔てて隣接神奈川県：横須賀市","高橋恭市","〒293-8506千葉県富津市下飯野2443北緯35度18分14.7秒東経139度51分25.3秒﻿ / ﻿北緯35.304083度 東経139.857028度﻿ /35.304083; 139.857028","公式ウェブサイト","ツツジ","サクラ","","","","",""
"筑西市","[359茨城県08227筑西市205.3509195.695.3%53513.06.3%] 筑西市 （ちくせいし）は、 茨城県 の 県西地域 北部に位置する 市 である。","https://ja.wikipedia.org/wiki/筑西市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度18分25.5秒東経139度58分59.3秒","日本","205.30km2","99,375人（推計人口、2021年6月1日）","484人/km2","関東地方","茨城県","08227-9","4000020082279","結城市、下妻市、つくば市、桜川市、結城郡八千代町栃木県：小山市、真岡市","須藤茂","〒308-8616茨城県筑西市丙360番地北緯36度18分25.5秒東経139度58分59.3秒﻿ / ﻿北緯36.307083度 東経139.983139度﻿ /36.307083; 139.983139","公式ウェブサイト","梨の花・コスモス","桜","つばめ","","","",""
"宮古島市","[360沖縄県47214宮古島市204.2251171.984.2%29832.315.8%] 宮古島市 （みやこじまし）は、 宮古列島 に位置する 沖縄県 第9の都市。","https://ja.wikipedia.org/wiki/宮古島市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","","日本","204.20km2","52,213人（推計人口、2021年6月1日）","256人/km2","九州地方、沖縄地方","沖縄県","47214-0","4000020472140","なし","座喜味一幸","〒906-8501沖縄県宮古島市平良字西里1140番地宮古島市庁舎","公式ウェブサイト（日本語）","ブーゲンビリア（市花）デイゴ（市花木）","ガジュマル","","","市鳥：サシバ市魚：タカサゴ（グルクン）市蝶：オオゴマダラ市貝：スイジガイ","",""
"岐阜市","[361岐阜県21201岐阜市203.61,998143.870.6%2,82860.629.8%] 岐阜市 （ぎふし）は、 岐阜県 の中南部に位置する 市 。岐阜県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/岐阜市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度25分23.6秒東経136度45分38.8秒","日本","203.60km2","401,180人（推計人口、2021年6月1日）","1,970人/km2","中部地方、東海地方","岐阜県","21201-6","6000020212016","大垣市、関市、山県市、本巣市、瑞穂市、羽島市、各務原市、羽島郡笠松町、岐南町、本巣郡北方町","柴橋正直","〒500-8701岐阜県岐阜市司町40番地1北緯35度25分23.6秒東経136度45分38.8秒﻿ / ﻿北緯35.423222度 東経136.760778度﻿ /35.423222; 136.760778座標:北緯35度25分23.6秒東経136度45分38.8秒﻿ / ﻿北緯35.423222度 東経136.760778度﻿ /35.423222; 136.760778市庁舎位置","公式ウェブサイト","サルビア","つぶらじい","","","","",""
"飯山市","[362長野県20213飯山市202.410682.440.7%260124.661.6%] 飯山市 （いいやまし）は、 長野県 の北東部にある 市 。","https://ja.wikipedia.org/wiki/飯山市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度51分5.9秒東経138度21分55.9秒","日本","202.43km2（境界未定部分あり）","19,197人（推計人口、2021年6月1日）","94.8人/km2","中部地方、甲信越地方、信越地方","長野県","20213-4","4000020202134","中野市、下高井郡木島平村、野沢温泉村、上水内郡信濃町、下水内郡栄村新潟県：妙高市、上越市","足立正則","〒389-2292長野県飯山市大字飯山1110-1北緯36度51分5.9秒東経138度21分55.9秒﻿ / ﻿北緯36.851639度 東経138.365528度﻿ /36.851639; 138.365528座標:北緯36度51分5.9秒東経138度21分55.9秒﻿ / ﻿北緯36.851639度 東経138.365528度﻿ /36.851639; 138.365528","公式ウェブサイト","ユキツバキ","ブナ","","面積は、栄村との間に境界未定部分があるため参考値。","","",""
"笛吹市","[363山梨県19211笛吹市201.934583.641.4%832118.258.5%] 笛吹市 （ふえふきし）は、 山梨県 にある 市 。 国中地方 に含まれ、 甲府盆地 の東寄りに位置する  。2006年度のモモ収穫量は22,900トン、ぶどう収穫量は14,400トンであり、いずれも自治体別では全国1位だった。このことから、2005年（平成17年）10月12日には「 桃 ・ ぶどう 日本一の郷」を  、2013年（平成25年）4月には「日本一 桃源郷 」を宣言している  。","https://ja.wikipedia.org/wiki/笛吹市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度38分50.3秒東経138度38分23秒","日本","201.92km2","67,326人（推計人口、2021年6月1日）","333人/km2","中部地方、甲信越地方","山梨県","19211-2","3000020192112","甲府市、山梨市、大月市、甲州市、南都留郡富士河口湖町","山下政樹","〒406-8510山梨県笛吹市石和町市部777番地北緯35度38分50.3秒東経138度38分23秒﻿ / ﻿北緯35.647306度 東経138.63972度﻿ /35.647306; 138.63972﻿ (笛吹市)座標:北緯35度38分50.3秒東経138度38分23秒﻿ / ﻿北緯35.647306度 東経138.63972度﻿ /35.647306; 138.63972﻿ (笛吹市)笛吹市役所本庁舎（2014年3月撮影）","公式ウェブサイト","バラ","モモ","オオルリ","","","",""
"魚津市","[364富山県16204魚津市200.621478.038.9%550123.861.7%] 魚津市 （うおづし）は、 富山県 の東部に位置する 市 である。","https://ja.wikipedia.org/wiki/魚津市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度49分38.3秒東経137度24分33秒","日本","200.61km2","40,117人（推計人口、2021年6月1日）","200人/km2","中部地方、北陸地方","富山県","16204-3","9000020162043","黒部市、滑川市、中新川郡上市町","村椿晃","〒937-8555富山県魚津市釈迦堂1丁目10番1号北緯36度49分38.3秒東経137度24分33秒﻿ / ﻿北緯36.827306度 東経137.40917度﻿ /36.827306; 137.40917","公式ウェブサイト","カノコユリ","マツ","","","","","ツツジ"
"相馬市","[365福島県07209相馬市197.819591.246.1%423100.650.8%] 相馬市 （そうまし）は、 福島県 浜通り の北部に位置する 市 。 太平洋 沿岸の都市で、 松川浦 や 相馬野馬追 で有名である。 宮城県 に隣接しており、 仙台大都市圏 にも含まれている。","https://ja.wikipedia.org/wiki/相馬市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度47分48秒東経140度55分10.7秒","日本","197.79km2","36,606人（推計人口、2021年6月1日）","185人/km2","東北地方","福島県","07209-5","7000020072095","南相馬市、伊達市、相馬郡新地町、飯舘村宮城県伊具郡丸森町","立谷秀淸","〒976-8601福島県相馬市中村字北町63-3北緯37度47分48秒東経140度55分10.7秒﻿ / ﻿北緯37.79667度 東経140.919639度﻿ /37.79667; 140.919639相馬市役所の外観写真","公式ウェブサイト","春：サクラ、夏：ハマナス、秋：キキョウ、冬：サザンカ","クロマツ","ウグイス","","","",""
"村山市","[366山形県06208村山市197.012591.246.3%271108.054.8%] 村山市 （むらやまし）は、 山形県 中央部にある人口約2万3千人の 市 。旧 北村山郡 及び 西村山郡 の一部。","https://ja.wikipedia.org/wiki/村山市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯38度29分0秒東経140度22分49秒","日本","196.98km2","22,119人（推計人口、2021年6月1日）","112人/km2","東北地方","山形県","06208-1","5000020062081","寒河江市、東根市、尾花沢市、河北町、大石田町、大蔵村、舟形町","志布隆夫","〒995-8666山形県村山市中央一丁目3番6号北緯38度29分0秒東経140度22分49秒﻿ / ﻿北緯38.48333度 東経140.38028度﻿ /38.48333; 140.38028座標:北緯38度29分0秒東経140度22分49秒﻿ / ﻿北緯38.48333度 東経140.38028度﻿ /38.48333; 140.38028","公式ウェブサイト","バラ","アカマツ","","","","",""
"彦根市","[367滋賀県25202彦根市196.957772.736.9%1,56425.412.9%] 彦根市 （ひこねし）は、 滋賀県 東部に所在する 市 。滋賀県東部の中心となる 都市 である。","https://ja.wikipedia.org/wiki/彦根市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度16分27.7秒東経136度15分35秒","日本","196.87km2","112,910人（推計人口、2021年6月1日）","574人/km2","近畿地方","滋賀県","25202-6","9000020252026","米原市、東近江市、犬上郡多賀町、甲良町、豊郷町、愛知郡愛荘町","和田裕行","〒522-8501滋賀県彦根市元町4番2号北緯35度16分27.7秒東経136度15分35秒﻿ / ﻿北緯35.274361度 東経136.25972度﻿ /35.274361; 136.25972座標:北緯35度16分27.7秒東経136度15分35秒﻿ / ﻿北緯35.274361度 東経136.25972度﻿ /35.274361; 136.25972","公式ウェブサイト","はなしょうぶ","たちばな","","","","",""
"府中市 (広島県)","[368広島県34208府中市195.820544.022.5%910148.175.6%] 府中市 （ふちゅうし）は、 広島県 の南東部に位置する 市 である。 備後都市圏 を構成する市の一つであり、広島県 福山市 のベッドタウンの色彩が強い。","https://ja.wikipedia.org/wiki/府中市_(広島県)","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度34分5.9秒東経133度14分10.9秒","日本","195.75km2","36,316人（推計人口、2021年6月1日）","186人/km2","中国地方、山陽地方中国・四国地方","広島県","34208-4","7000020342084","福山市、三次市、尾道市、庄原市、世羅郡世羅町、神石郡神石高原町","小野申人","〒726-8601広島県府中市府川町315番地北緯34度34分5.9秒東経133度14分10.9秒﻿ / ﻿北緯34.568306度 東経133.236361度﻿ /34.568306; 133.236361﻿ (府中市)座標:北緯34度34分5.9秒東経133度14分10.9秒﻿ / ﻿北緯34.568306度 東経133.236361度﻿ /34.568306; 133.236361﻿ (府中市)市庁舎位置","公式ウェブサイト","あじさい","さくら","","","","",""
"武雄市","[369佐賀県41206武雄市195.425192.147.1%533104.753.6%] 武雄市 （たけおし）は、 佐賀県 の西部に位置する 市 。 武雄温泉 には 辰野金吾 設計の楼門（国の 重要文化財 ）がある。","https://ja.wikipedia.org/wiki/武雄市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度11分37.3秒東経130度1分8.7秒","日本","195.40km2","47,476人（推計人口、2021年6月1日）","243人/km2","九州地方","佐賀県","41206-6","1000020412066","多久市、唐津市、伊万里市、嬉野市、杵島郡白石町、大町町、西松浦郡有田町長崎県東彼杵郡波佐見町","小松政","〒843-8639佐賀県武雄市武雄町大字昭和12番地30北緯33度11分37.3秒東経130度1分8.7秒﻿ / ﻿北緯33.193694度 東経130.019083度﻿ /33.193694; 130.019083座標:北緯33度11分37.3秒東経130度1分8.7秒﻿ / ﻿北緯33.193694度 東経130.019083度﻿ /33.193694; 130.019083","公式ウェブサイト","ツツジ","クスノキ","","","-","",""
"御殿場市","[370静岡県22215御殿場市194.945284.543.4%1,04279.340.7%] 御殿場市 （ごてんばし）は、 静岡県 東部に位置する人口約8.6万人の 市 。 富士山 周辺・ 箱根 観光への交通拠点となっている高原 都市 である。 標高 が高いことから気候は冷涼で 降水量 が多い。","https://ja.wikipedia.org/wiki/御殿場市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度18分31.3秒東経138度56分4.6秒","日本","194.90km2","85,992人（推計人口、2021年6月1日）","441人/km2","中部地方、東海地方","静岡県","22215-1","1000020222151","裾野市、富士宮市、富士市、駿東郡小山町神奈川県:足柄下郡箱根町","若林洋平","〒412-8601静岡県御殿場市萩原483番地北緯35度18分31.3秒東経138度56分4.6秒﻿ / ﻿北緯35.308694度 東経138.934611度﻿ /35.308694; 138.934611座標:北緯35度18分31.3秒東経138度56分4.6秒﻿ / ﻿北緯35.308694度 東経138.934611度﻿ /35.308694; 138.934611","公式ウェブサイト","富士桜","ケヤキ","クロツグミ","","","",""
"鈴鹿市","[371三重県24207鈴鹿市194.51,010158.481.5%1,24035.718.3%] 鈴鹿市 （すずかし）は、 三重県 の中北部に位置する人口約20万の 市 である。市の キャッチコピー は「さぁ、きっともっと鈴鹿。海あり、山あり、匠の技あり」  。","https://ja.wikipedia.org/wiki/鈴鹿市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度52分55.1秒東経136度35分3秒","日本","194.46km2","195,330人（推計人口、2021年3月1日）","1,004人/km2","東海地方、近畿地方","三重県","24207-1","5000020242071","四日市市、津市、亀山市滋賀県甲賀市","末松則子","〒513-8701三重県鈴鹿市神戸一丁目18番18号北緯34度52分55.1秒東経136度35分3秒﻿ / ﻿北緯34.881972度 東経136.58417度﻿ /34.881972; 136.58417﻿ (鈴鹿市)座標:北緯34度52分55.1秒東経136度35分3秒﻿ / ﻿北緯34.881972度 東経136.58417度﻿ /34.881972; 136.58417﻿ (鈴鹿市)","公式ウェブサイト","サツキ","ケヤキ","","","","",""
"伊予市","[372愛媛県38210伊予市194.418980.141.2%460115.159.2%] 伊予市 （いよし）は、 愛媛県 の 中予地方 に位置する 市 。 中予地方 の最西に位置する。","https://ja.wikipedia.org/wiki/伊予市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度45分26.8秒東経132度42分13.2秒","日本","194.44km2","34,857人（推計人口、2021年6月1日）","179人/km2","四国地方中国・四国地方","愛媛県","38210-8","5000020382108","大洲市、喜多郡内子町、伊予郡松前町、砥部町","武智邦典","〒799-3193愛媛県伊予市米湊820番地北緯33度45分26.8秒東経132度42分13.2秒﻿ / ﻿北緯33.757444度 東経132.703667度﻿ /33.757444; 132.703667座標:北緯33度45分26.8秒東経132度42分13.2秒﻿ / ﻿北緯33.757444度 東経132.703667度﻿ /33.757444; 132.703667","公式ウェブサイト","菜の花","メタセコイア","なし","NTT市外局番：全域で089","","",""
"藤枝市","[373静岡県22214藤枝市194.1740101.552.3%1,41592.647.7%] 藤枝市 （ふじえだし）は、 静岡県 中部に位置する 市 。","https://ja.wikipedia.org/wiki/藤枝市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度52分2.7秒東経138度15分27.8秒","日本","194.06km2","141,031人（推計人口、2021年6月1日）","727人/km2","中部地方、東海地方","静岡県","22214-3","1000020222143","静岡市、焼津市、島田市","北村正平","〒426-8722静岡県藤枝市岡出山一丁目11番1号北緯34度52分2.7秒東経138度15分27.8秒﻿ / ﻿北緯34.867417度 東経138.257722度﻿ /34.867417; 138.257722座標:北緯34度52分2.7秒東経138度15分27.8秒﻿ / ﻿北緯34.867417度 東経138.257722度﻿ /34.867417; 138.257722","公式ウェブサイト","フジ","マツ","ウグイス","","","",""
