"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","種類","管理者","統計年度","発着数","面積","開港","公式サイト","旅客数","貨物取扱量","最高標高","所在海域","海岸線長","所属諸島","都道府県","係留施設数","最高峰","コンテナ数"
"節を編集: 兵庫県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=23","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"神戸港","[神戸港] 神戸港 （こうべこう）は、 兵庫県 神戸市 にある 港湾 。 港湾法 上の 国際戦略港湾 に指定されている。 日本の主要な国際貿易港（五大港）の一つで、 スーパー中枢港湾 の指定を 大阪港 と共に受けている。 1868年 1月1日 （ 慶応 3年 12月7日 ）に開港。","https://ja.wikipedia.org/wiki/神戸港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度40分39.17秒東経135度13分36.97秒","兵庫県神戸市","日本","国際戦略港湾（港湾法）旧スーパー中枢港湾（政令指定）","神戸市","2019年","6,634隻（外航）24,671隻（内航）","","1868年（慶応3年）","","","5,151万トン（外貿）4,249万トン（内貿）","","","","","","233","","218万TEU（外貿）68万TEU(内貿)"
"姫路港","[姫路港] 姫路港 （ひめじこう）は、 兵庫県 姫路市 に位置する 港湾 。港湾管理者は 兵庫県 である。 港湾法 上の 国際拠点港湾 に指定されており、 関西地方における、 海運 や 物流 、 貿易 の重要拠点である。また、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/姫路港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","兵庫県姫路市","日本","国際拠点港湾","","","","","1846年","","","","","","","","","","",""
"尼崎西宮芦屋港","[尼崎西宮芦屋港] 尼崎西宮芦屋港 （あまがさきにしのみやあしやこう）は、 兵庫県 尼崎市 ・ 西宮市 ・ 芦屋市 にわたる 重要港湾 である。港湾管理者は兵庫県。","https://ja.wikipedia.org/wiki/尼崎西宮芦屋港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"東播磨港","[東播磨港] 東播磨港 （ひがしはりまこう）は、 兵庫県 明石市 ・ 加古郡 播磨町 ・ 加古川市 ・ 高砂市 に跨る 港湾 である。 港湾法 上の 重要港湾 に指定されている。 1963年 （ 昭和 38年） 11月 にそれまでの二見港・別府港・高砂港・伊保港・曽根港を統合する形で開港。","https://ja.wikipedia.org/wiki/東播磨港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度42分36.57秒東経134度50分30.52秒","兵庫県（明石市・加古郡播磨町・加古川市・高砂市）","日本","重要港湾（港湾法）","兵庫県","2018年","1,022隻（外航）13,623隻（内航）","","1963年（昭和38年）11月","","","2,070万トン（外貿）1,546万トン（内貿）","","","","","","25","","3,593（内貿）"
"明石港","[明石港] 明石港 （あかしこう）は、 兵庫県 明石市 にある 港湾 。管理者は兵庫県。 地方港湾   。","https://ja.wikipedia.org/wiki/明石港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度38分42.1秒東経134度59分26.1秒","兵庫県明石市","日本","地方港湾","兵庫県","","","","1622年（元和8年）","","","","","","","","","","",""
"岩屋港","[岩屋港] 岩屋港 （いわやこう）は、 兵庫県 淡路市 岩屋（ 淡路島 ）にある 港湾 。管理者は兵庫県。 地方港湾   。","https://ja.wikipedia.org/wiki/岩屋港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度35分25.5秒東経135度1分14.3秒","兵庫県淡路市岩屋","日本","地方港湾","兵庫県","","","","","","","","","","","","","","",""
"洲本港","[洲本港] 洲本港 （すもとこう）は、 兵庫県 洲本市 海岸通一丁目にある 兵庫県 管理の 地方港湾 である。2020年3月現在、定期運航している旅客航路はない。","https://ja.wikipedia.org/wiki/洲本港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度20分49.89秒東経134度54分1.03秒","兵庫県洲本市海岸通一丁目11-1（ポートターミナル）","日本","地方港湾港則法適用港","兵庫県","2010年（平成22年）","127（貨客船）208（貨物）24,236（その他）","","","","","28,220t","","","","","","","",""
"津居山港 (存在しないページ)","[津居山港]","https://ja.wikipedia.org/w/index.php?title=津居山港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"柴山港","[柴山港] 柴山港 （しばやまこう）は 兵庫県 美方郡 香美町 の 香住海岸 に在る 地方港湾 。 避難港 にも指定されているほど、 海岸線 が入り組んだ形をしており、天然の良港として知られている。","https://ja.wikipedia.org/wiki/柴山港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"江井ヶ島港","[江井ヶ島港] 江井ヶ島港 （えいがしまこう）は、 兵庫県 明石市 大久保町江井島にある 港湾 。管理者は兵庫県。 地方港湾   。","https://ja.wikipedia.org/wiki/江井ヶ島港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度40分29.1秒東経134度54分37.6秒","兵庫県明石市大久保町江井島","日本","地方港湾","兵庫県","","","","","","","","","","","","","","",""
"相生港","[相生港] 相生港 （あいおいこう）は、 兵庫県 相生市 にある 地方港湾 。港湾管理者は兵庫県。 港則法 の適用港である。 統計法 に基づく港湾調査規則では乙種港湾に分類されている。","https://ja.wikipedia.org/wiki/相生港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度47分8.2秒東経134度27分55.9秒","兵庫県相生市","日本","地方港湾","兵庫県","2015年度","453隻（908,607総トン）","","","","354人","","","","","","","","",""
"赤穂港 (存在しないページ)","[赤穂港]","https://ja.wikipedia.org/w/index.php?title=赤穂港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"由良港 (兵庫県)","[由良港] 由良港 （ゆらこう）は 淡路島 の南東端、 兵庫県 洲本市 にある兵庫県管理  の 地方港湾 である。 紀淡海峡 の淡路島側にある港。","https://ja.wikipedia.org/wiki/由良港_(兵庫県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度17分20.24秒東経134度56分51.67秒","兵庫県洲本市","日本","地方港湾港則法適用港","兵庫県","2008年","129","","","","","17,877t","","","","","","","",""
"阿万港 (存在しないページ)","[阿万港]","https://ja.wikipedia.org/w/index.php?title=阿万港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"福良港","[福良港] 福良港 （ふくらこう）は 鳴門海峡 に面した 淡路島 の南端、 兵庫県 南あわじ市 にある兵庫県管理  の 地方港湾 である。","https://ja.wikipedia.org/wiki/福良港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度15分19.98秒東経134度43分9.14秒","兵庫県南あわじ市","日本","地方港湾港則法適用港","兵庫県","2008年","2,032（客船）270（貨物）","","","","26.4万人","178,000t","","","","","","","",""
"都志港 (存在しないページ)","[都志港]","https://ja.wikipedia.org/w/index.php?title=都志港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"湊港 (存在しないページ)","[湊港]","https://ja.wikipedia.org/w/index.php?title=湊港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"郡家 (淡路市)","[郡家港] 郡家 （ぐんげ）は、 兵庫県 淡路市 の 大字 。 2011年 10月1日 現在の 人口 は1,038人  。 郵便番号 656-1511。","https://ja.wikipedia.org/wiki/郡家_(淡路市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","日本","","","","","","","","","","","","","","兵庫県","","",""
"室津","[室津港] 約2000年前、 神武天皇 の東征先導役が室津に港を建設したといわれる。藻振ノ鼻（室津半島先端部）と 金ヶ崎 （たつの市・ 相生市 境）で囲まれた室津湾の、さらに東側奥にあることから、「室の如く静かな津」ということで「室の泊」と呼ばれたのがその名の始まりと伝えられる。『 播磨国風土記 』に、「コノ泊、風ヲ防グコト室ノゴトシ 故ニ因リテ名ヲナス」と記されているように三方を山に囲まれ天然の良港であった。 奈良時代 には 行基 によって「 摂播五泊 」（河尻（ 尼崎 ）、 大輪田泊 （ 兵庫 ）、 魚住泊 （ 明石 ）、韓（ 的形 ）、室津）の一つとされ、海上と陸上交通の要衝として「室津千軒」と呼ばれるほど栄えた  。","https://ja.wikipedia.org/wiki/室津","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度45分56.7秒東経134度30分20.1秒","兵庫県揖保郡室津村（大字なし）","日本","","","","","","","","","","","","","","兵庫県","","",""
"竹野港 (存在しないページ)","[竹野港]","https://ja.wikipedia.org/w/index.php?title=竹野港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"家島港","[家島港] 家島港 （いえしまこう）は、 兵庫県 姫路市 家島町真浦（ 家島 ）にある 港湾 。管理者は兵庫県。 地方港湾   。","https://ja.wikipedia.org/wiki/家島港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度40分42.9秒東経134度31分55.1秒","兵庫県姫路市家島町真浦","日本","地方港湾","兵庫県","2014年","35,132隻","","","","456,837人","87,934フレート・トン","","","","","","","",""
"坂越","[坂越港] 坂越 （さこし）は 兵庫県 赤穂市 東部の 坂越湾 に面する 港町 。 都市景観大賞（ 都市景観100選 ）にも選ばれた伝統的建造物群による古い町並みと、 秦河勝 聖域の島、 生島 （国の 天然記念物 、 瀬戸内海国立公園 特別保護地区 、 ひょうごの森百選 ）を包むように広がる美しい坂越湾の眺望で知られる。 播州 赤穂産『坂越の かき 』の養殖生産地である。","https://ja.wikipedia.org/wiki/坂越","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度46分7.9秒 東経134度25分0.2秒","","日本","","","","","","","","","","","","","","兵庫県","","",""
"浦港 (兵庫県) (存在しないページ)","[浦港]","https://ja.wikipedia.org/w/index.php?title=浦港_(兵庫県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"津井 (南あわじ市)","[津井港] 津井 （つい）は、 兵庫県 南あわじ市 の 町丁 。 2014年 3月末現在の 人口 は1,515人  。 郵便番号 は656-0341。本項ではかつて同区域に存在した 三原郡 津井村 （ついむら）についても記す。","https://ja.wikipedia.org/wiki/津井_(南あわじ市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度19分04.4秒 東経134度41分34.4秒","","日本","","","","","","","","","","","","","","兵庫県","","",""
"江井港 (存在しないページ)","[江井港]","https://ja.wikipedia.org/w/index.php?title=江井港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"古池港 (存在しないページ)","[古池港]","https://ja.wikipedia.org/w/index.php?title=古池港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"津名港","[津名港] 津名港 （つなこう）は、 兵庫県 淡路市 志筑（ 淡路島 ）にある 地方港湾   。管理者は兵庫県。佐野港区、志筑港区、塩田港区から成り、志筑川と宝珠川が注ぐ。現在航路はなく、ターミナルビルはバスターミナルとして利用されている。","https://ja.wikipedia.org/wiki/津名港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度26分2.19秒東経134度54分39.48秒","兵庫県淡路市志筑","日本","地方港湾","兵庫県","2011年度","11733隻","","","","","","","","","","","","",""
"山田港 (存在しないページ)","[山田港]","https://ja.wikipedia.org/w/index.php?title=山田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"淡路交流の翼港 (存在しないページ)","[淡路交流の翼港]","https://ja.wikipedia.org/w/index.php?title=淡路交流の翼港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"古茂江港 (存在しないページ)","[古茂江港]","https://ja.wikipedia.org/w/index.php?title=古茂江港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 和歌山県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=24","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"和歌山下津港","[和歌山下津港] 和歌山下津港 （わかやましもつこう）は、 和歌山県 和歌山市 ・ 海南市 ・ 有田市 にわたる 港湾 である。港湾管理者は和歌山県。 港湾法 上の 国際拠点港湾 （旧・特定重要港湾）、 港則法 上の 特定港 に指定されている。 和歌山平野 を流れる 紀ノ川 河口の 和歌山湾 から、有田市内を流れる 有田川 河口の 紀伊水道 にかけてに立地している。 第二次世界大戦 当時から重要な軍港であった。","https://ja.wikipedia.org/wiki/和歌山下津港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","和歌山県和歌山市・海南市・有田市","日本","国際拠点港湾","","","","","","","","","","","","","","","",""
"日高港","[日高港] 日高港 （ひだかこう）は、 和歌山県 御坊市 と 美浜町 またがる 港湾 である。 1950年 （昭和25年）  に 港湾法 に基き 地方港湾 に指定、 1983年 （昭和58年） 10月4日 に 重要港湾 に指定される。港湾管理者は和歌山県。","https://ja.wikipedia.org/wiki/日高港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大川港 (存在しないページ)","[大川港]","https://ja.wikipedia.org/w/index.php?title=大川港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"加太港 (存在しないページ)","[加太港]","https://ja.wikipedia.org/w/index.php?title=加太港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯浅広港 (存在しないページ)","[湯浅広港]","https://ja.wikipedia.org/w/index.php?title=湯浅広港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"由良港 (和歌山県)","[由良港] 由良港 （ゆらこう）は、 和歌山県 日高郡 由良町 および 日高町 にまたがる 港湾 である。 1953年 （昭和28年） 8月1日 に 地方港湾 に指定される。港湾管理者は和歌山県で、 避難港 にも指定されている。","https://ja.wikipedia.org/wiki/由良港_(和歌山県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度57分30.7秒東経135度6分38秒","和歌山県日高郡由良町、日高町","日本","地方港湾","和歌山県","2015年度","2,344隻（3,649,076総トン）","","","和歌山県","","","","","","","","","",""
"文里港 (存在しないページ)","[文里港]","https://ja.wikipedia.org/w/index.php?title=文里港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"日置港 (存在しないページ)","[日置港]","https://ja.wikipedia.org/w/index.php?title=日置港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"袋港 (存在しないページ)","[袋港]","https://ja.wikipedia.org/w/index.php?title=袋港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"古座港 (存在しないページ)","[古座港]","https://ja.wikipedia.org/w/index.php?title=古座港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"浦神港 (存在しないページ)","[浦神港]","https://ja.wikipedia.org/w/index.php?title=浦神港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"勝浦港 (存在しないページ)","[勝浦港]","https://ja.wikipedia.org/w/index.php?title=勝浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇久井港 (存在しないページ)","[宇久井港]","https://ja.wikipedia.org/w/index.php?title=宇久井港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"紀伊大島","[大島港] 紀伊大島 （きいおおしま）は 和歌山県 東牟婁郡 串本町 の沖合い約1.8 kmの海上に浮かぶ面積およそ9.68 km 2  、周囲28km  を誇る和歌山県下最大の 島 である。元来より大島と呼ばれてきたが、全国的に大島の名を持つ土地は数多く、それらとの区別のため「紀伊」を冠し「紀伊大島」と呼ばれる。また、串本大島とも呼ばれる。人口はおよそ2,000人で、和歌山県で唯一の 離島振興対策実施地域 ともなっていた。 台風 銀座でもあり 1890年 には、日本とトルコの友好関係のきっかけとなった エルトゥールル号遭難事件 が当島の沖で発生した。","https://ja.wikipedia.org/wiki/紀伊大島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度28分05秒東経135度49分41秒","日本・和歌山県","","","","","","9.68km²","","","","","171.2m","太平洋","28.0km","","","","",""
"新宮港 (存在しないページ)","[新宮港]","https://ja.wikipedia.org/w/index.php?title=新宮港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 鳥取県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=25","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥取港","[鳥取港] 鳥取港 （とっとりこう）は、 鳥取県 鳥取市 の 港湾 。鳥取市の北西約6km、 千代川 の河口に位置する。 1953年 （昭和28年）に 地方港湾 に指定され、 1975年 （昭和50年）4月に 重要港湾 に指定されたが、現在、国際定期航路は有していない。","https://ja.wikipedia.org/wiki/鳥取港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","鳥取県鳥取市","日本","地方港湾","鳥取県","2015年度","829隻（357,102総トン）","486ha","","鳥取県","92人","","","","","","","","",""
"田後港 (存在しないページ)","[田後港]","https://ja.wikipedia.org/w/index.php?title=田後港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"米子港","[米子港] 米子港 （よなごこう）は、 鳥取県 米子市 にある 地方港湾 。港湾管理者は鳥取県。","https://ja.wikipedia.org/wiki/米子港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯35度25分51.2秒東経133度19分7.7秒","鳥取県米子市灘町","日本","地方港湾","鳥取県","2015年度","79隻（37,551総トン）","254 ha","1952年12月1日（地方港湾指定）","鳥取県","","","","","","","","","",""
"赤碕港 (存在しないページ)","[赤碕港]","https://ja.wikipedia.org/w/index.php?title=赤碕港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"逢坂港 (存在しないページ)","[逢坂港]","https://ja.wikipedia.org/w/index.php?title=逢坂港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小浜港 (鳥取県) (存在しないページ)","[小浜港]","https://ja.wikipedia.org/w/index.php?title=小浜港_(鳥取県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"石脇港 (存在しないページ)","[石脇港]","https://ja.wikipedia.org/w/index.php?title=石脇港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊成港 (存在しないページ)","[豊成港]","https://ja.wikipedia.org/w/index.php?title=豊成港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"中浜港 (存在しないページ)","[中浜港]","https://ja.wikipedia.org/w/index.php?title=中浜港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 鳥取県・島根県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=26","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"境港 (港湾)","[境港] 境港 （さかいこう）は、 鳥取県 境港市 （港湾区域が一部 島根県 松江市 にまたがる）にある、 港湾 である。 港湾法 上の 重要港湾 で、港湾管理者は鳥取県・島根県が設立する 一部事務組合 （ 特別地方公共団体 ）の境港管理組合。市の名称は さかいみなと であるため、港の名称もこのように呼ばれることがあるが、港の公的な呼称は さかいこう である  。","https://ja.wikipedia.org/wiki/境港_(港湾)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯35度32分44.7秒東経133度13分20.8秒","鳥取県境港市（港湾区域が一部島根県松江市にまたがる）","日本","","境港管理組合","2009","","","","http://www.sakai-port.com/","","3,218,453トン","","","","","","52バース","",""
"節を編集: 島根県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=27","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜田港","[浜田港] 浜田港 （はまだこう）は、 島根県 浜田市 にある 港湾 。港湾管理者は島根県で、 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。 地元では浜田漁港と区別するために 商港 とも呼ばれている。","https://ja.wikipedia.org/wiki/浜田港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"西郷港","[西郷港] 西郷港 （さいごうこう）は、 島根県 隠岐郡 隠岐の島町 （旧 西郷町 ）にある 日本 の 重要港湾 。港湾管理者は島根県。 隠岐諸島 ・ 島後島 と本土を接続する玄関口としての機能を有している他、 漁港漁場整備法 では第3種 漁港 に指定されている。","https://ja.wikipedia.org/wiki/西郷港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","島根県隠岐郡隠岐の島町","日本","重要港湾","島根県","","2,473 (2011年)","","","","278,563人 (2011年)","299,126トン (2011年)","","","","","","","",""
"三隅港 (存在しないページ)","[三隅港]","https://ja.wikipedia.org/w/index.php?title=三隅港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"安来港 (存在しないページ)","[安来港]","https://ja.wikipedia.org/w/index.php?title=安来港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"七類港","[七類港] 七類港 （しちるいこう）は、 島根県 松江市 美保関町 にある 日本 の 地方港湾 。港湾管理者は島根県。","https://ja.wikipedia.org/wiki/七類港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯35度34分17.2秒 東経133度13分47.8秒","島根県松江市美保関町","日本","地方港湾","島根県","","","195 ha","1953年7月10日（港湾区域認可）","島根県 港湾空港課 - 七類港","","","","","","","","","",""
"河下港 (存在しないページ)","[河下港]","https://ja.wikipedia.org/w/index.php?title=河下港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"久手港 (存在しないページ)","[久手港]","https://ja.wikipedia.org/w/index.php?title=久手港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"江津港 (存在しないページ)","[江津港]","https://ja.wikipedia.org/w/index.php?title=江津港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"益田港 (存在しないページ)","[益田港]","https://ja.wikipedia.org/w/index.php?title=益田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"松江港","[松江港] 松江港 （まつえこう）は、 島根県 松江市 にある 地方港湾 。港湾管理者は島根県。 港則法 の適用港である。 統計法 に基づく港湾調査規則では乙種港湾に分類されている。","https://ja.wikipedia.org/wiki/松江港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯35度27分58秒東経133度3分57秒","島根県松江市","日本","地方港湾","島根県","2015年度","1,802隻（144,438総トン）","1,055 ha","","島根県","36,320人","","","","","","","","",""
"知々井港 (存在しないページ)","[知々井港]","https://ja.wikipedia.org/w/index.php?title=知々井港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
