"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","種類","面積","時代","完成","発掘期間","関係考古学者","全長","幅","分類","駐車場","バリアフリー","公式サイト","Hidden","Hidden","Hidden","Hidden","Hidden"
"大谷場東貝塚 (存在しないページ)","[大谷場東貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=大谷場東貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太田窪貝塚 (存在しないページ)","[太田窪貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=太田窪貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"井沼方貝塚 (存在しないページ)","[井沼方貝塚（さいたま市緑区）]","https://ja.wikipedia.org/w/index.php?title=井沼方貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"馬場小室貝塚 (存在しないページ)","[馬場小室貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=馬場小室貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北宿貝塚 (存在しないページ)","[北宿貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=北宿貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山崎貝塚 (埼玉県) (存在しないページ)","[山崎貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=山崎貝塚_(埼玉県)&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大古里貝塚 (存在しないページ)","[大古里貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=大古里貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南中丸貝塚 (存在しないページ)","[南中丸貝塚（さいたま市見沼区）]","https://ja.wikipedia.org/w/index.php?title=南中丸貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中川貝塚 (存在しないページ)","[中川貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=中川貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八雲貝塚 (存在しないページ)","[八雲貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=八雲貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"代山貝塚 (存在しないページ)","[代山貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=代山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"真福寺貝塚","[真福寺貝塚（さいたま市岩槻区）(国指定史跡)] 真福寺貝塚 （しんぷくじかいづか）は、 埼玉県 さいたま市 岩槻区 城南 3丁目に所在する 縄文時代 後期から晩期の 集落 跡で、 貝塚 と 泥炭 層からなる。泥炭層は 真福寺泥炭層遺跡 とも呼ばれている。","https://ja.wikipedia.org/wiki/真福寺貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度56分26.5秒 東経139度42分26.9秒","","","","","","","","","","","","","","","","","","",""
"小谷場貝塚 (存在しないページ)","[小谷場貝塚（川口市）]","https://ja.wikipedia.org/w/index.php?title=小谷場貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安行猿貝貝塚 (存在しないページ)","[安行猿貝貝塚（〃）]","https://ja.wikipedia.org/w/index.php?title=安行猿貝貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新郷貝塚","[新郷貝塚（〃）] 新郷貝塚 （しんごうかいづか）は、 埼玉県 川口市 東貝塚にある 縄文時代 後期の 貝塚 で、埼玉県指定 史跡 （大正12年3月31日）である。","https://ja.wikipedia.org/wiki/新郷貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度50分06.8秒 東経139度45分47.8秒","","","","","","","","","","","","","","","","","","",""
"関山貝塚","[関山貝塚（蓮田市）] 関山貝塚 （せきやまかいづか）は、 埼玉県 蓮田市 関山 一丁目周辺に所在する 縄文時代 前期、約6500年前の 貝塚 で、 関東地方 の縄文前期の土器 型式 関山式 の 標式遺跡 である。","https://ja.wikipedia.org/wiki/関山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度59分23.9秒 東経139度38分47.3秒","","","","","","","","","","","","","","","","","","",""
"黒浜貝塚","[黒浜貝塚（〃）(国指定史跡)] 黒浜貝塚 （くろはまかいづか）は、 埼玉県 蓮田市 黒浜にある 貝塚 群および 環状集落 遺跡 。 元荒川 の左岸、同川と 綾瀬川 に囲まれた標高16メートル、現在の水田面との比高差7メートルないし8メートルの 北足立台地 （大宮台地）の縁辺に立地する 縄文時代 前期から中期に相当する時期の13か所の群小貝塚の総称である。","https://ja.wikipedia.org/wiki/黒浜貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度59分32.3秒 東経139度39分44.5秒","","","","","","","","","","","","","","","","","","",""
"小仙波貝塚 (存在しないページ)","[小仙波貝塚（川越市）]","https://ja.wikipedia.org/w/index.php?title=小仙波貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺尾貝塚 (存在しないページ)","[寺尾貝塚（川越市）]","https://ja.wikipedia.org/w/index.php?title=寺尾貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水子貝塚","[水子貝塚（富士見市）((国指定史跡)] 水子貝塚 （みずこかいづか）は、 埼玉県 富士見市 にある 貝塚 および 環状集落 の 遺跡 。国の 史跡 に指定されており、 水子貝塚公園 として整備されている。","https://ja.wikipedia.org/wiki/水子貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度50分43.8秒 東経139度33分40.3秒","","","","","","","","","","","","","","","","","","",""
"上福岡貝塚 (存在しないページ)","[上福岡貝塚（ふじみ野市）]","https://ja.wikipedia.org/w/index.php?title=上福岡貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"栄光院貝塚 (存在しないページ)","[栄光院貝塚（松伏町）]","https://ja.wikipedia.org/w/index.php?title=栄光院貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吹上貝塚 (存在しないページ)","[吹上貝塚（和光市）]","https://ja.wikipedia.org/w/index.php?title=吹上貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野田貝塚","[野田貝塚(野田市)(県指定史跡)] 野田貝塚 （のだかいづか  ）は、 千葉県 野田市 清水にある 縄文時代 後期の 貝塚 。別名は清水貝塚。1936年7月17日、千葉県指定史跡となった  。","https://ja.wikipedia.org/wiki/野田貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山崎貝塚 (千葉県)","[山崎貝塚（野田市）(国指定史跡)] 山崎貝塚 （やまざきかいづか）は、 千葉県 野田市 山崎貝塚町 にある、 縄文時代 中期から晩期にかけての 馬蹄 型 貝塚 である  。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/山崎貝塚_(千葉県)","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度55分19.7秒 東経139度53分38.6秒","","","","","","","","","","","","","","","","","","",""
"堀之内貝塚","[堀之内貝塚（市川市）(国指定史跡)] 堀之内貝塚 （ほりのうちかいづか）は、 千葉県 市川市 堀之内 にある 縄文時代 後期から晩期の 貝塚 および 環状集落 の 遺跡 。国の 史跡 に指定されている  。縄文時代後期前葉の標式土器型式である「堀之内式」の 標式遺跡 として知られている  。","https://ja.wikipedia.org/wiki/堀之内貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度45分33.6秒 東経139度54分37.9秒","","","","","","","","","","","","","","","","","","",""
"姥山貝塚","[姥山貝塚（市川市）(国指定史跡)] 姥山貝塚 （うばやまかいづか）は、 千葉県 市川市 柏井町 一丁目にある 縄文時代 中期から後期にかけての 貝塚 を伴う 環状集落 の 遺跡 。 大柏川 左岸の標高約24メートルの台地上に広がった東西130メートル・南北120メートルの南に開口した 馬蹄形 の貝塚である。現在は、 姥山貝塚公園 として整備され、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/姥山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度44分14.7秒 東経139度57分54.1秒","","","","","","","","","","","","","","","","","","",""
"曽谷貝塚","[曽谷貝塚（市川市）(国指定史跡)] 曾谷貝塚 （そやかいづか）は、 千葉県 市川市 曽谷 二丁目にある 縄文時代 中期末から後期末にかけての 貝塚 および 環状集落 の 遺跡 。縄文時代後期末の土器型式である 曾谷式 の 標式遺跡 で、国の 史跡 に指定されている   。貝塚形成以前の縄文前期にあたる 土層 からも 遺構 が検出されており、集落としてはその時期からの歴史を有する。","https://ja.wikipedia.org/wiki/曽谷貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度44分49.45秒 東経139度56分6.91秒","","","","","","","","","","","","","","","","","","",""
"取掛西貝塚 (存在しないページ)","[取掛西貝塚（船橋市）]","https://ja.wikipedia.org/w/index.php?title=取掛西貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飛ノ台貝塚","[飛ノ台貝塚（船橋市）] 飛ノ台貝塚 （とびのだいかいづか）は、 千葉県 船橋市 海神 にある 縄文時代 早期の 貝塚 。船橋市指定 史跡 。同貝塚は 1932年 （昭和7年）に発見され、日本で初めて 炉穴 （煮炊きなどを行う簡易な 竃 のようなもの）が発見されたことで重要な 遺跡 として注目された。","https://ja.wikipedia.org/wiki/飛ノ台貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度42分37.6秒 東経139度58分28.2秒","","","","","","","","","","","","","","","","","","",""
"藤崎堀込貝塚 (存在しないページ)","[藤崎堀込貝塚(習志野市)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=藤崎堀込貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加曽利貝塚","[加曽利貝塚（千葉市若葉区）(国の特別史跡)] 加曽利貝塚 （かそりかいづか）は、 千葉県 千葉市 若葉区 桜木8丁目にある 縄文時代 の 貝塚 および 環状集落 の 遺跡 である。日本最大級の貝塚であり、学史上でも著名な 標式遺跡 としても知られる。 1971年 （ 昭和 46年）に北貝塚が、 1977年 （昭和52年）に南貝塚が国の 史跡 に指定され、 2017年 （ 平成 29年）に国の 特別史跡 に指定された。北貝塚のE地点の 土器 は、縄文中期後半の 加曽利E式 、南貝塚のB地点の土器は、縄文後期後半の 加曽利B式 として 編年 の指標となる土器と位置づけられている。","https://ja.wikipedia.org/wiki/加曽利貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度37分24秒東経140度9分53秒","千葉県千葉市若葉区桜木8丁目","30.2 m","環状集落・貝塚","","","","","","","","","","","","","","","",""
"荒屋敷貝塚","[荒屋敷貝塚（千葉市若葉区）(国指定史跡)] 縄文時代 中期から後期にかけて形成された 貝塚 とされる。草刈場貝塚や台門貝塚とともに貝塚町貝塚群に含まれる。異表記ないしは別称として、新屋敷貝塚・千葉貝塚・貝塚町貝塚・あらひき（あらしき）貝塚がある。貝層部は環状に近い 馬蹄形 であり、南北約150m・東西約160mの範囲に広がっている  。遺跡の中には 貯蔵穴 と推定される ピット 群や 竪穴住居 群も確認されている  。","https://ja.wikipedia.org/wiki/荒屋敷貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度37分20.33秒 東経140度8分41.82秒","","","","","","","","","","","","","","","","","","",""
"花輪貝塚","[花輪貝塚（千葉市若葉区）(国指定史跡)] 花輪貝塚 （はなわかいづか）は、 千葉県 千葉市 若葉区 加曽利町 にある 貝塚 遺跡。2006年7月28日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/花輪貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度36分54秒 東経140度09分39秒","","","","","","","","","","","","","","","","","","",""
"東寺山貝塚 (存在しないページ)","[東寺山貝塚(千葉市若葉区)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=東寺山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月ノ木貝塚","[月ノ木貝塚（千葉市中央区）(国指定史跡)] 月ノ木貝塚 （つきのきかいづか）は、 千葉県 千葉市 中央区 仁戸名町 にある 貝塚 遺跡。1978年3月16日に一部範囲が 国史跡 に指定され、2006年7月28日に一部範囲が国史跡に追加された。","https://ja.wikipedia.org/wiki/月ノ木貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度35分43秒 東経140度09分28秒","","","","","","","","","","","","","","","","","","",""
"犢橋貝塚","[犢橋貝塚（千葉市花見川区）(国指定史跡)] 犢橋貝塚 （こてはしかいづか）は、 千葉市 花見川区 さつきが丘 にある 縄文時代 後期を中心とする大型の 貝塚 を含む集落跡。国の 史跡 。","https://ja.wikipedia.org/wiki/犢橋貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度39分47.4秒 東経140度5分48.6秒","","","","","","","","","","","","","","","","","","",""
"園生貝塚","[園生貝塚（千葉市稲毛区）] 園生貝塚 （そんのうかいづか）は、 千葉県 千葉市 稲毛区 の 園生町 内にある 縄文時代 の 貝塚 遺跡 。","https://ja.wikipedia.org/wiki/園生貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度38分23.3秒 東経140度06分42.5秒","","","","","","","","","","","","","","","","","","",""
"長谷部貝塚 (存在しないページ)","[長谷部貝塚(千葉市緑区)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=長谷部貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上座貝塚 (存在しないページ)","[上座貝塚(佐倉市)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=上座貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山野貝塚","[山野貝塚(袖ヶ浦市)(国指定史跡)] 山野貝塚 （さんやかいづか）は、 千葉県 袖ケ浦市 飯富にある 縄文時代 後期の 貝塚 遺跡  。南北約110メートル、東西約140メートルに及ぶ大型の貝塚であり、千葉県南部では最大級である  。","https://ja.wikipedia.org/wiki/山野貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度25分43秒 東経139度59分38秒","","","","","","","","","","","","","","","","","","",""
"阿玉台貝塚","[阿玉台貝塚（香取市）(国指定史跡)] 阿玉台貝塚 （あたまだいかいづか、おたまだいかいづか）は、 千葉県 香取市 阿玉台にある 縄文時代 の貝塚  。 1968年 5月2日、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/阿玉台貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度49分02秒 東経140度37分40秒","","","","","","","","","","","","","","","","","","",""
"良文貝塚","[良文貝塚（香取市）(国指定史跡)] 利根川 下流 域で最大規模の 貝塚 で、標高約40メートルの下総 台地 に立地し、東西約250メートル、南北約100メートルの範囲に字海ノ内・羽ノ内・台畑・榎谷などの地域の大小9箇所に分布する貝塚群の総称である。 1930年 （ 昭和 5年） 2月 に 国の史跡 に指定された。なお、「 良文 」とはこの地区の市町村合併以前の旧村名である。","https://ja.wikipedia.org/wiki/良文貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度48分55.1秒 東経140度38分30.5秒","","","","","","","","","","","","","","","","","","",""
"下小野貝塚 (存在しないページ)","[下小野貝塚(香取市)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=下小野貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西の城貝塚 (存在しないページ)","[西の城貝塚(神崎町)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=西の城貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"余山貝塚 (存在しないページ)","[余山貝塚（銚子市）]","https://ja.wikipedia.org/w/index.php?title=余山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山武姥山貝塚","[山武姥山貝塚（横芝光町）] 山武姥山貝塚 （さんぶうばやまかいづか）は、 千葉県 山武郡 横芝光町 姥山にある 縄文時代 中期から晩期にかけての 貝塚 で、縄文晩期の姥山式（姥山 α' β' γ' δ' 式） 土器 の 標式遺跡 である。 市川市 の 姥山貝塚 と区別するため、「山武姥山貝塚」と呼ばれる。","https://ja.wikipedia.org/wiki/山武姥山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度40分08.4秒 東経140度26分39.9秒","","","","","","","","","","","","","","","","","","",""
"鉈切洞穴 (存在しないページ)","[鉈切洞穴(館山市)(県指定史跡)]","https://ja.wikipedia.org/w/index.php?title=鉈切洞穴&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大森貝塚","[大森貝塚（大田区・品川区）] 大森貝塚 （おおもりかいづか）は、 東京都 品川区 ・ 大田区 にある 縄文時代 後期-末期の 貝塚 。「モース貝塚」とも。","https://ja.wikipedia.org/wiki/大森貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度35分26.8秒 東経139度43分45.0秒","","","","","","","","","","","","","","","","","","",""
"中里貝塚","[中里貝塚（北区）] 中里貝塚 （なかざとかいづか）は、 東京都 北区 上中里 にある 貝塚 。国の 史跡 に指定されている。 縄文時代 の「水産加工場」と大々的に報道された。隣接する用地に中里遺跡がある。","https://ja.wikipedia.org/wiki/中里貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度44分40.1秒 東経139度45分15.6秒","","","","","","","","","","","","","","","","","","",""
"西ケ原貝塚 (存在しないページ)","[西ケ原貝塚（北区）]","https://ja.wikipedia.org/w/index.php?title=西ケ原貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊沢貝塚 (存在しないページ)","[豊沢貝塚（渋谷区）]","https://ja.wikipedia.org/w/index.php?title=豊沢貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊皿子貝塚","[伊皿子貝塚（港区）] 貝層の下からは貝塚より古い時代の 土器 、貝層の上からも縄文時代晩期の土器、さらに 弥生時代 以降の 遺構 も見つかり、この地には貝塚を形成した時期だけでなく長い期間、人の営みがあったことがわかる。貝塚の上下から違う時代の 遺物 も発見されていることからそれらも合わせて伊皿子貝塚遺跡ともいう。貝塚遺跡そのものは 日本電信電話公社 （現・NTT）のビル建設に伴い完全に破壊されたが、ビル建設前の1978年から1979年にかけて1年半に及ぶ本格的な 発掘調査 が行われ、剥離保存された貝層断面が近くの三田台公園に伊皿子貝塚遺跡として復元・展示されているほか港区立港郷土資料館には伊皿子貝塚の貝層断面や出土品が展示されている。","https://ja.wikipedia.org/wiki/伊皿子貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度38分30秒 東経139度44分24秒","","","","","","","","","","","","","","","","","","",""
"西久保八幡貝塚","[西久保八幡貝塚（港区）] 西久保八幡貝塚 （にしくぼはちまんかいづか）は、 東京都 港区 虎ノ門 5丁目の 西久保八幡神社 境内にある 縄文時代 の 貝塚 。東京都 指定文化財 （ 史跡 ）。","https://ja.wikipedia.org/wiki/西久保八幡貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度39分41.41秒 東経139度44分33.38秒","","","","","","","","","","","","","","","","","","",""
"本村町貝塚 (存在しないページ)","[本村町貝塚（港区）]","https://ja.wikipedia.org/w/index.php?title=本村町貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸山貝塚 (存在しないページ)","[丸山貝塚（港区）]","https://ja.wikipedia.org/w/index.php?title=丸山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東山貝塚","[東山貝塚（目黒区）] 東山貝塚遺跡 （ひがしやまかいづかいせき）は、 東京都 目黒区 東山 の目黒台北側斜面一帯（目黒区東山二丁目から三丁目にかけての一帯）に存在する 旧石器時代 、 縄文時代 早期、縄文時代中期から後期、晩期および 弥生時代 後期、 古墳時代 の 遺跡 である。 東山貝塚 ないしは 東山遺跡 として言及されることが多い。目黒区遺跡番号は8  。","https://ja.wikipedia.org/wiki/東山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度38分57.8秒 東経139度41分07.6秒","","","","","","","","","","","","","","","","","","",""
"お茶の水貝塚","[お茶の水貝塚(文京区)] お茶の水貝塚 （おちゃのみずかいづか）は、 東京都 文京区 湯島 、現在の 東京医科歯科大学 キャンパスおよびその周辺にある 縄文 前期から晩期までの 縄文土器 がみつかる 貝塚 。","https://ja.wikipedia.org/wiki/お茶の水貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度42分05.3秒 東経139度45分50.0秒","","","","","","","","","","","","","","","","","","",""
"菊名貝塚","[菊名貝塚（横浜市港北区）] 菊名貝塚 （きくなかいづか）は、 神奈川県 横浜市 港北区 菊名 （旧小字宮谷）の宮谷貝塚や 鶴見区 上の宮 （かみのみや）、鶴見区 東寺尾 に点在する貝塚群の総称である。","https://ja.wikipedia.org/wiki/菊名貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度30分40.2秒 東経139度38分12.8秒","","","","","","","","","","","","","","","","","","",""
"三ツ沢貝塚","[三ツ沢貝塚（横浜市神奈川区）] 三ツ沢貝塚 （みつざわかいづか/みつさわかいづか）は 神奈川県 横浜市 神奈川区 沢渡、同区 三ツ沢東町 、同区 三ツ沢南町 にまたがって所在する 縄文時代 中期から後期を主体とする 貝塚 。 横浜市登録地域文化財 の 地域史跡 に登録されている  。","https://ja.wikipedia.org/wiki/三ツ沢貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度28分20.9秒 東経139度36分39.3秒","","","","","","","","","","","","","","","","","","",""
"元町貝塚","[元町貝塚（横浜市中区）] 元町貝塚 （もとまちかいづか）は、 横浜市 中区 山手町 97の アメリカ山公園 地下にある 縄文時代 中期の 貝塚 。横浜市指定 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/元町貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度26分29.4秒 東経139度39分06.3秒","","","","","","","","","","","","","","","","","","",""
"山手貝塚","[山手貝塚（横浜市中区）] 山手貝塚 （やまてかいづか）は、 横浜市 中区 山手町 に所在する 縄文時代 の 貝塚 。","https://ja.wikipedia.org/wiki/山手貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度26分17.9秒 東経139度39分08.1秒","","","","","","","","","","","","","","","","","","",""
"笹山貝塚 (存在しないページ)","[笹山貝塚（横浜市保土ケ谷区）]","https://ja.wikipedia.org/w/index.php?title=笹山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
