"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"藤浪駅","藤浪駅（ふじなみえき・名鉄津島線）","https://ja.wikipedia.org/wiki/藤浪駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度11分20秒東経136度44分20秒","津島線","10.2 km（須ヶ口起点）","名古屋鉄道","高架駅","1914年（大正3年）1月23日[1]","相対式 2面2線","愛知県愛西市諏訪町中島367番地北緯35度11分20秒東経136度44分20秒﻿ / ﻿北緯35.18889度 東経136.73889度﻿ /35.18889; 136.73889座標:北緯35度11分20秒東経136度44分20秒﻿ / ﻿北緯35.18889度 東経136.73889度﻿ /35.18889; 136.73889","","TB  06 ","","","4,797人/日-2019年-","","","","","","",""
"藤並駅","藤並駅（ふじなみえき・西日本旅客鉄道紀勢本線）","https://ja.wikipedia.org/wiki/藤並駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","W紀勢本線（きのくに線）","347.3km（亀山起点）新宮から167.1 km","西日本旅客鉄道（JR西日本）*","地上駅（橋上駅）","1926年（大正15年）8月8日[1]","2面2線","","業務委託駅みどりの券売機プラス設置駅","","ナミ","1,261人/日（降車客含まず）-2019年-","","","","","","","",""
"藤根駅","藤根駅（ふじねえき・東日本旅客鉄道北上線）","https://ja.wikipedia.org/wiki/藤根駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯39度18分3.51秒東経141度2分23.34秒","■北上線","8.4 km（北上起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）3月25日[1]","2面2線","岩手県北上市和賀町藤根18地割9北緯39度18分3.51秒東経141度2分23.34秒座標:北緯39度18分3.51秒 東経141度2分23.34秒","無人駅[2]","","チネ","158人/日（降車客含まず）-2017年-","","","","","","","",""
"富士根駅","富士根駅（ふじねえき・東海旅客鉄道身延線）","https://ja.wikipedia.org/wiki/富士根駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度12分19秒東経138度38分8秒","CC身延線","8.0 km（富士起点）","東海旅客鉄道（JR東海）","地上駅","1913年（大正2年）7月20日","1面2線","静岡県富士市天間782北緯35度12分19秒東経138度38分8秒","駅員無配置駅","CC  04 ","フネ","452人/日（降車客含まず）-2019年-","","","","","","","",""
"藤野駅","藤野駅（ふじのえき）","https://ja.wikipedia.org/wiki/藤野駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度36分57秒東経139度9分9秒","■■中央本線","56.0km（新宿起点）東京から66.3 km","東日本旅客鉄道（JR東日本）","地上駅","1943年（昭和18年）7月15日[1]","1面2線[1]","神奈川県相模原市緑区小渕1698北緯35度36分57秒東経139度9分9秒﻿ / ﻿北緯35.61583度 東経139.15250度﻿ /35.61583; 139.15250﻿ (藤野駅)","業務委託駅","JC26","フノ","2,151人/日（降車客含まず）-2019年-","","","","","","","",""
"藤の牛島駅","藤の牛島駅（ふじのうしじまえき）","https://ja.wikipedia.org/wiki/藤の牛島駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度58分48.78秒東経139度46分39.90秒","■野田線（東武アーバンパークライン）","17.8 km（大宮起点）","東武鉄道","地上駅","1930年（昭和5年）10月1日","2面2線","埼玉県春日部市牛島1576北緯35度58分48.78秒東経139度46分39.90秒﻿ / ﻿北緯35.9802167度 東経139.7777500度﻿ /35.9802167; 139.7777500座標:北緯35度58分48.78秒東経139度46分39.90秒﻿ / ﻿北緯35.9802167度 東経139.7777500度﻿ /35.9802167; 139.7777500","業務委託駅*1931年（昭和6年）牛島駅から改称。","TD11","フマ","","7,141人/日-2019年-","","","","","","",""
"藤ノ木駅","藤ノ木駅（ふじのきえき）","https://ja.wikipedia.org/wiki/藤ノ木駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度53分36.33秒東経130度46分54.62秒","JE筑豊本線[1]（若松線）","2.9 km（若松起点）","九州旅客鉄道（JR九州）[1]","地上駅","1944年（昭和19年）8月12日[2][3]","2面2線[2]","北九州市若松区赤島町[2]1-37北緯33度53分36.33秒東経130度46分54.62秒﻿ / ﻿北緯33.8934250度 東経130.7818389度﻿ /33.8934250; 130.7818389﻿ (藤ノ木駅)","無人駅駅集中管理システム（Smart Support Station）採用[1]北九州市内駅","JE  05 ","ノキ","282人/日（降車客含まず）-2016年-","559人/日-2016年-","","","","","","",""
"富士宮駅","富士宮駅（ふじのみやえき）","https://ja.wikipedia.org/wiki/富士宮駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度13分17秒東経138度36分55秒","CC身延線","10.7 km（富士起点）","東海旅客鉄道（JR東海）","地上駅（橋上駅）","1913年（大正2年）7月20日","2面3線","静岡県富士宮市中央町16-1北緯35度13分17秒東経138度36分55秒","駅長配置駅（管理駅）JR全線きっぷうりば有*1942年に大宮町駅から改称。","CC  06 ","ノミ","2,394人/日（降車客含まず）-2019年-","","","","","","","",""
"藤森駅","藤森駅（ふじのもりえき）","https://ja.wikipedia.org/wiki/藤森駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度57分24.39秒東経135度46分12.23秒","■京阪本線","43.3 km（淀屋橋起点）","京阪電気鉄道","地上駅","1910年（明治43年）4月15日","2面2線","京都市伏見区深草極楽町764番地北緯34度57分24.39秒東経135度46分12.23秒﻿ / ﻿北緯34.9567750度 東経135.7700639度﻿ /34.9567750; 135.7700639﻿ (藤森駅*)","*1941年に師団前駅から改称無人駅（自動券売機有）","KH  32","藤（駅名略称方式）","","12,281人/日-2019年-","","","","","","",""
"富士フイルム前駅","富士フイルム前駅（ふじフイルムまええき）","https://ja.wikipedia.org/wiki/富士フイルム前駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度19分3.6秒東経139度6分32.0秒","■大雄山線","9.1 km（小田原起点）","伊豆箱根鉄道","地上駅","1956年（昭和31年）8月13日","単式　1面1線","神奈川県南足柄市狩野60-1北緯35度19分3.6秒東経139度6分32.0秒﻿ / ﻿北緯35.317667度 東経139.108889度﻿ /35.317667; 139.108889座標:北緯35度19分3.6秒東経139度6分32.0秒﻿ / ﻿北緯35.317667度 東経139.108889度﻿ /35.317667; 139.108889","","ID11","","663人/日（降車客含まず）-2019年-","1,309[1]人/日-2019年-","","","","","","",""
"富士松駅","富士松駅（ふじまつえき）","https://ja.wikipedia.org/wiki/富士松駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度1分47秒東経137度0分59.4秒","名古屋本線","46.6 km（豊橋起点）","名古屋鉄道","地上駅","1923年（大正12年）4月1日","相対式 2面2線","愛知県刈谷市今川町一丁目805北緯35度1分47秒東経137度0分59.4秒﻿ / ﻿北緯35.02972度 東経137.016500度﻿ /35.02972; 137.016500座標:北緯35度1分47秒東経137度0分59.4秒﻿ / ﻿北緯35.02972度 東経137.016500度﻿ /35.02972; 137.016500","1952年3月1日今川駅から改称。無人駅","NH  21 ","","","3,478人/日-2019年[1]-","","","","","","",""
"伏見駅 (京都府)","伏見駅 (京都府)（ふしみえき・近鉄京都線）","https://ja.wikipedia.org/wiki/伏見駅_(京都府)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度56分46.36秒東経135度45分40.56秒","B京都線","4.9 km（京都起点）","近畿日本鉄道（近鉄）","高架駅","1928年（昭和3年）11月15日","2面2線","京都市伏見区深草柴田屋敷町79北緯34度56分46.36秒東経135度45分40.56秒﻿ / ﻿北緯34.9462111度 東経135.7612667度﻿ /34.9462111; 135.7612667座標:北緯34度56分46.36秒東経135度45分40.56秒﻿ / ﻿北緯34.9462111度 東経135.7612667度﻿ /34.9462111; 135.7612667",""," B06 ","フシミ","","（全日）8,213人/日-2019年-","","","","","","",""
"伏見駅 (愛知県)","伏見駅 (愛知県)（ふしみえき・名古屋市営地下鉄東山線・鶴舞線）","https://ja.wikipedia.org/wiki/伏見駅_(愛知県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度10分9秒東経136度53分51秒","東山線","8.0 km（高畑起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1957年（昭和32年）11月15日[2]","各2面2線（計4面4線）","名古屋市中区錦二丁目16-24北緯35度10分9秒東経136度53分51秒﻿ / ﻿北緯35.16917度 東経136.89750度﻿ /35.16917; 136.89750座標:北緯35度10分9秒東経136度53分51秒﻿ / ﻿北緯35.16917度 東経136.89750度﻿ /35.16917; 136.89750","*1966年に伏見町駅から改称。","H09","","49,937人/日（降車客含まず）-2019年-","104,526[1]人/日-2019年-","","","","","","",""
"富士見駅","富士見駅（ふじみえき）","https://ja.wikipedia.org/wiki/富士見駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■中央本線","182.9 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1904年（明治37年）12月21日[1]","2面3線[1]","","業務委託駅みどりの窓口有[1]標高：955.2 m[1][2]","","フミ[1]","861人/日（降車客含まず）-2019年-","","","","","","","",""
"伏見稲荷駅","伏見稲荷駅（ふしみいなりえき）","https://ja.wikipedia.org/wiki/伏見稲荷駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度58分7.54秒東経135度46分9.58秒","■京阪本線","44.6 km（淀屋橋起点）","京阪電気鉄道","地上駅","1910年（明治43年）4月15日","2面2線","京都市伏見区深草一坪町33番地北緯34度58分7.54秒東経135度46分9.58秒﻿ / ﻿北緯34.9687611度 東経135.7693278度﻿ /34.9687611; 135.7693278﻿ (伏見稲荷駅)座標:北緯34度58分7.54秒東経135度46分9.58秒﻿ / ﻿北緯34.9687611度 東経135.7693278度﻿ /34.9687611; 135.7693278﻿ (伏見稲荷駅)","","KH  34","伏稲（駅名略称方式）","","13,314人/日-2019年-","稲荷駅**（JR奈良線）","","","","","",""
"富士見ヶ丘駅","富士見ヶ丘駅（ふじみがおかえき）","https://ja.wikipedia.org/wiki/富士見ヶ丘駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度41分5.3秒東経139度36分25.7秒","■井の頭線","9.4 km（渋谷起点）","京王電鉄","地上駅（橋上駅）","1933年（昭和8年）8月1日","1面2線","東京都杉並区久我山五丁目1番25号北緯35度41分5.3秒東経139度36分25.7秒﻿ / ﻿北緯35.684806度 東経139.607139度﻿ /35.684806; 139.607139座標:北緯35度41分5.3秒東経139度36分25.7秒﻿ / ﻿北緯35.684806度 東経139.607139度﻿ /35.684806; 139.607139","","IN13","","","13,958人/日-2019年-","","","","","","",""
"富士見台駅","富士見台駅（ふじみだいえき）","https://ja.wikipedia.org/wiki/富士見台駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度44分9.3秒東経139度37分48秒","■池袋線","8.3km（池袋起点）小竹向原から4.9 km","西武鉄道","高架駅[1]","1925年（大正14年）3月15日","1面2線","東京都練馬区貫井三丁目7番4号北緯35度44分9.3秒東経139度37分48秒﻿ / ﻿北緯35.735917度 東経139.63000度﻿ /35.735917; 139.63000座標:北緯35度44分9.3秒東経139度37分48秒﻿ / ﻿北緯35.735917度 東経139.63000度﻿ /35.735917; 139.63000","","SI08","","","27,936人/日-2019年-","","","","","","",""
"富士見町駅 (神奈川県)","富士見町駅 (神奈川県)（ふじみちょうえき・湘南モノレール江の島線）","https://ja.wikipedia.org/wiki/富士見町駅_(神奈川県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度20分43.7秒東経139度31分45.5秒","■江の島線","0.9 km（大船起点）","湘南モノレール","高架駅","1970年（昭和45年）3月7日[1]","2面2線","神奈川県鎌倉市台北緯35度20分43.7秒東経139度31分45.5秒﻿ / ﻿北緯35.345472度 東経139.529306度﻿ /35.345472; 139.529306﻿ (富士見町駅)座標:北緯35度20分43.7秒東経139度31分45.5秒﻿ / ﻿北緯35.345472度 東経139.529306度﻿ /35.345472; 139.529306﻿ (富士見町駅)","無人駅","SMR2","","2,246人/日（降車客含まず）-2018年-","","","","","","","",""
"富士見町駅 (鳥取県)","富士見町駅 (鳥取県)（ふじみちょうえき・西日本旅客鉄道境線）","https://ja.wikipedia.org/wiki/富士見町駅_(鳥取県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度26分5.31秒東経133度20分11.15秒","C境線","1.5 km（米子起点）","西日本旅客鉄道（JR西日本）","地上駅","1987年（昭和62年）11月1日[2][3]","1面1線[1]","鳥取県米子市冨士見町170北緯35度26分5.31秒東経133度20分11.15秒座標:北緯35度26分5.31秒 東経133度20分11.15秒","無人駅[1]（自動券売機 有）","","フミ","","306人/日-2018年-","","","","","","",""
"ふじみ野駅","ふじみ野駅（ふじみのえき）","https://ja.wikipedia.org/wiki/ふじみ野駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度51分38.9秒東経139度31分23.1秒","■東上本線","24.2 km（池袋起点）","東武鉄道","地上駅","1993年（平成5年）11月15日[1]","2面4線","埼玉県富士見市ふじみ野東一丁目26-1北緯35度51分38.9秒東経139度31分23.1秒﻿ / ﻿北緯35.860806度 東経139.523083度﻿ /35.860806; 139.523083﻿ (ふじみ野駅)座標:北緯35度51分38.9秒東経139度31分23.1秒﻿ / ﻿北緯35.860806度 東経139.523083度﻿ /35.860806; 139.523083﻿ (ふじみ野駅)","1951年（昭和26年） 当地にききょう原信号所開設","TJ18","ミノ","","66,843人/日-2019年-","","","","","","",""
"伏見桃山駅","伏見桃山駅（ふしみももやまえき）","https://ja.wikipedia.org/wiki/伏見桃山駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度55分57.56秒東経135度45分51.44秒","■京阪本線","40.6 km（淀屋橋起点）","京阪電気鉄道","地上駅（地下駅舎）","1910年（明治43年）4月15日","2面2線","京都市伏見区京町3丁目173番地北緯34度55分57.56秒東経135度45分51.44秒﻿ / ﻿北緯34.9326556度 東経135.7642889度﻿ /34.9326556; 135.7642889﻿ (伏見桃山駅*)座標:北緯34度55分57.56秒東経135度45分51.44秒﻿ / ﻿北緯34.9326556度 東経135.7642889度﻿ /34.9326556; 135.7642889﻿ (伏見桃山駅*)","*1915年に伏見駅から改称** 公式な乗換駅ではない。","KH  29","伏桃（駅名略称形式）","","9,344人/日-2019年-","桃山御陵前駅**（近鉄京都線）","","","","","",""
"伏屋駅","伏屋駅（ふしやえき）","https://ja.wikipedia.org/wiki/伏屋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度8分24.6秒東経136度49分39秒","E名古屋線","72.4 km（伊勢中川起点）","近畿日本鉄道（近鉄）","高架駅（上下線）","1938年（昭和13年）6月26日","2面2線","名古屋市中川区伏屋二丁目28-11北緯35度8分24.6秒東経136度49分39秒﻿ / ﻿北緯35.140167度 東経136.82750度﻿ /35.140167; 136.82750座標:北緯35度8分24.6秒東経136度49分39秒﻿ / ﻿北緯35.140167度 東経136.82750度﻿ /35.140167; 136.82750",""," E06 ","フシヤ","3,284人/日（降車客含まず）-2019年-","","","","","","","",""
"藤山駅","藤山駅（ふじやまえき）","https://ja.wikipedia.org/wiki/藤山駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度53分13.78秒東経141度43分13.88秒","留萌本線","40.0 km（深川起点）","北海道旅客鉄道（JR北海道）","地上駅","1910年（明治43年）11月23日","1面1線","北海道留萌市藤山町北緯43度53分13.78秒東経141度43分13.88秒","無人駅","","","","","","","","","","",""
"富士山下駅","富士山下駅（ふじやましたえき）","https://ja.wikipedia.org/wiki/富士山下駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度24分50.73秒東経139度18分57.24秒","■上毛線","23.7 km（中央前橋起点）","上毛電気鉄道","地上駅","1928年（昭和3年）11月10日","1面1線","群馬県桐生市相生町二丁目274-7北緯36度24分50.73秒東経139度18分57.24秒﻿ / ﻿北緯36.4140917度 東経139.3159000度﻿ /36.4140917; 139.3159000﻿ (富士山下駅)座標:北緯36度24分50.73秒東経139度18分57.24秒﻿ / ﻿北緯36.4140917度 東経139.3159000度﻿ /36.4140917; 139.3159000﻿ (富士山下駅)","","","","","85人/日-2019年（令和元年）-","","","","","","",""
"藤生駅","藤生駅（ふじゅうえき）","https://ja.wikipedia.org/wiki/藤生駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度6分45.4秒東経132度11分55.32秒","■山陽本線","353.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1897年（明治30年）9月25日","2面2線","山口県岩国市藤生町一丁目21-1北緯34度6分45.4秒東経132度11分55.32秒﻿ / ﻿北緯34.112611度 東経132.1987000度﻿ /34.112611; 132.1987000座標:北緯34度6分45.4秒東経132度11分55.32秒﻿ / ﻿北緯34.112611度 東経132.1987000度﻿ /34.112611; 132.1987000","無人駅","","フフ","507人/日（降車客含まず）-2019年-","","","","","","","",""
"武州荒木駅","武州荒木駅（ぶしゅうあらきえき）","https://ja.wikipedia.org/wiki/武州荒木駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度9分45.13秒東経139度29分17.42秒","■秩父本線","4.8 km（羽生起点）","秩父鉄道","地上駅","1921年（大正10年）4月1日","1面2線","埼玉県行田市大字荒木1411北緯36度9分45.13秒東経139度29分17.42秒﻿ / ﻿北緯36.1625361度 東経139.4881722度﻿ /36.1625361; 139.4881722座標:北緯36度9分45.13秒東経139度29分17.42秒﻿ / ﻿北緯36.1625361度 東経139.4881722度﻿ /36.1625361; 139.4881722","","","アラ","173人/日（降車客含まず）-2019年-","354人/日-2019年-","","","","","","",""
"武州唐沢駅","武州唐沢駅（ぶしゅうからさわえき）","https://ja.wikipedia.org/wiki/武州唐沢駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度57分6.98秒東経139度18分33.46秒","■越生線","9.4 km（坂戸起点）","東武鉄道","地上駅","1934年（昭和9年）12月16日","1面1線","埼玉県入間郡越生町大字上野51-6北緯35度57分6.98秒東経139度18分33.46秒﻿ / ﻿北緯35.9519389度 東経139.3092944度﻿ /35.9519389; 139.3092944﻿ (武州唐沢駅)座標:北緯35度57分6.98秒東経139度18分33.46秒﻿ / ﻿北緯35.9519389度 東経139.3092944度﻿ /35.9519389; 139.3092944﻿ (武州唐沢駅)","","TJ46","カサ","","2,978人/日-2019年-","","","","","","",""
"武州中川駅","武州中川駅（ぶしゅうなかがわえき）","https://ja.wikipedia.org/wiki/武州中川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度57分30.44秒東経139度2分6.82秒","■秩父本線","66.2 km（羽生起点）","秩父鉄道","地上駅","1930年（昭和5年）3月15日","1面2線","埼玉県秩父市荒川上田野1451-5北緯35度57分30.44秒東経139度2分6.82秒﻿ / ﻿北緯35.9584556度 東経139.0352278度﻿ /35.9584556; 139.0352278座標:北緯35度57分30.44秒東経139度2分6.82秒﻿ / ﻿北緯35.9584556度 東経139.0352278度﻿ /35.9584556; 139.0352278","","","ナカ","117人/日（降車客含まず）-2019年-","241人/日-2019年-","","","","","","",""
"武州長瀬駅","武州長瀬駅（ぶしゅうながせえき）","https://ja.wikipedia.org/wiki/武州長瀬駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度56分31.03秒東経139度19分31.38秒","■越生線","7.6 km（坂戸起点）","東武鉄道","地上駅（橋上駅）","1934年（昭和9年）12月16日","2面2線","埼玉県入間郡毛呂山町若山一丁目62-1北緯35度56分31.03秒東経139度19分31.38秒﻿ / ﻿北緯35.9419528度 東経139.3253833度﻿ /35.9419528; 139.3253833﻿ (武州長瀬駅)座標:北緯35度56分31.03秒東経139度19分31.38秒﻿ / ﻿北緯35.9419528度 東経139.3253833度﻿ /35.9419528; 139.3253833﻿ (武州長瀬駅)","","TJ44","ナガ","","4,353人/日-2019年-","","","","","","",""
"武州原谷駅","武州原谷駅（ぶしゅうはらやえき）","https://ja.wikipedia.org/wiki/武州原谷駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度1分40.79秒東経139度5分47.15秒","■秩父本線","55.5 km（羽生起点）","秩父鉄道","地上駅","1956年（昭和31年）2月5日","","埼玉県秩父市大野原北緯36度1分40.79秒東経139度5分47.15秒﻿ / ﻿北緯36.0279972度 東経139.0964306度﻿ /36.0279972; 139.0964306座標:北緯36度1分40.79秒東経139度5分47.15秒﻿ / ﻿北緯36.0279972度 東経139.0964306度﻿ /36.0279972; 139.0964306","貨物専用駅","","ラヤ","","","","","","","","",""
"武州日野駅","武州日野駅（ぶしゅうひのえき）","https://ja.wikipedia.org/wiki/武州日野駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度57分14.58秒東経139度1分16.95秒","■秩父本線","67.7 km（羽生起点）","秩父鉄道","地上駅","1930年（昭和5年）3月15日","1面2線","埼玉県秩父市荒川日野822-2北緯35度57分14.58秒東経139度1分16.95秒﻿ / ﻿北緯35.9540500度 東経139.0213750度﻿ /35.9540500; 139.0213750座標:北緯35度57分14.58秒東経139度1分16.95秒﻿ / ﻿北緯35.9540500度 東経139.0213750度﻿ /35.9540500; 139.0213750","","","ヒノ","94人/日（降車客含まず）-2019年-","205人/日-2019年-","","","","","","",""
"布施駅","布施駅（ふせえき）","https://ja.wikipedia.org/wiki/布施駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度39分50.82秒東経135度33分47.56秒","D大阪線","4.1 km（大阪上本町起点）","近畿日本鉄道（近鉄）","高架駅（2層）","1914年（大正3年）4月30日","計2面8線（うち4線は通過線）","大阪府東大阪市長堂一丁目1-18北緯34度39分50.82秒東経135度33分47.56秒﻿ / ﻿北緯34.6641167度 東経135.5632111度﻿ /34.6641167; 135.5632111﻿ (布施駅*)座標:北緯34度39分50.82秒東経135度33分47.56秒﻿ / ﻿北緯34.6641167度 東経135.5632111度﻿ /34.6641167; 135.5632111﻿ (布施駅*)","** 大阪線経由難波線直通（難波線の終点は大阪上本町駅）"," D06 ","フセ","","39,370人/日-2018年-","","","","","","",""
"伏石駅","伏石駅（ふせいしえき）","https://ja.wikipedia.org/wiki/伏石駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■琴平線","5.0[1] km（高松築港起点）","高松琴平電気鉄道","高架駅","2020年（令和2年）11月28日[2]","相対式2面2線","",""," K04A ","","","","","","","","","",""
"豊前大熊駅","豊前大熊駅（ぶぜんおおくまえき）","https://ja.wikipedia.org/wiki/豊前大熊駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度40分21.99秒東経130度46分50.39秒","■糸田線","1.5 km（金田起点）","■平成筑豊鉄道","地上駅","1942年（昭和17年）10月1日","1面1線","福岡県糸田町大字糸田4097-2北緯33度40分21.99秒東経130度46分50.39秒","無人駅","HC51","フオ","","","","","","","","",""
"豊前川崎駅","豊前川崎駅（ぶぜんかわさきえき）","https://ja.wikipedia.org/wiki/豊前川崎駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度35分48.51秒東経130度49分20.39秒","■日田彦山線","34.7 km（城野起点）","九州旅客鉄道（JR九州）","地上駅","1899年（明治32年）7月10日[1]","1面1線[1]","福岡県田川郡川崎町大字川崎[1]850北緯33度35分48.51秒東経130度49分20.39秒","簡易委託駅*1945年に川崎駅から改称[1]。","","フカ","","","","","","","","",""
"豊前松江駅","豊前松江駅（ぶぜんしょうええき）","https://ja.wikipedia.org/wiki/豊前松江駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度37分21.14秒東経131度5分42.08秒","■日豊本線","41.8 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1897年（明治30年）9月25日","2面2線[1]","福岡県豊前市大字松江横園[1]1440-1北緯33度37分21.14秒東経131度5分42.08秒","業務委託駅*1945年に松江駅から改称。","","ヨエ←ヨヱ","","","","","","","","",""
"豊前善光寺駅","豊前善光寺駅（ぶぜんぜんこうじえき）","https://ja.wikipedia.org/wiki/豊前善光寺駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度33分59.01秒東経131度19分23.47秒","■日豊本線","65.5 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1897年（明治30年）9月25日[注釈 1]","2面2線[1]","大分県宇佐市大字東高家[1]1217-4北緯33度33分59.01秒東経131度19分23.47秒﻿ / ﻿北緯33.5663917度 東経131.3231861度﻿ /33.5663917; 131.3231861座標:北緯33度33分59.01秒東経131度19分23.47秒﻿ / ﻿北緯33.5663917度 東経131.3231861度﻿ /33.5663917; 131.3231861","無人駅*1919年9月1日に四日市駅から現駅名に改称[4]","","セセ","256人/日（降車客含まず）-2015年-","511人/日-2015年-","","","","","","",""
