"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","城郭構造","遺構","築城年","廃城年","築城主","主な城主","別名","天守構造","再建造物","時代","主な改修者","文化財","標高","種類","形状"
"十三湊","[十三湊遺跡（とさみなといせき）〔五所川原市〕2005年7月14日] 十三湊 （とさみなと）は、日本の 本州島 の 津軽半島 北西部に所在する 十三湖 （※往時は 内海 であった）の西岸、現在 行政 上の 青森県 五所川原市 十三（ 明治 初期の 西津軽郡 十三村 、 江戸時代 の 陸奥国 津軽郡 十三村、 中世 期の陸奥国津軽郡域）にあって  、 13世紀 初頭から 15世紀 半ば（ 鎌倉時代 後期前葉から 戦国時代 初頭）にかけての中世期に  、 蝦夷沙汰職（ えぞ さたしき 。蝦夷管領） を務めた 安東氏 （ 津軽の安藤氏 ）の下でとりわけ隆盛を極めた 湊 である  。","https://ja.wikipedia.org/wiki/十三湊","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度1分42.6秒 東経140度19分46.2秒","","","","","","","","","","","","","","","","","","",""
"山王坊遺跡","[山王坊遺跡（さんのうぼういせき）〔五所川原市〕2017年2月9日] 山王坊遺跡 （さんのうぼういせき）は、 青森県 五所川原市 にある 十三湖 の北岸にある 中世 の 宗教 遺跡 である。2017年（平成29年）2月9日に国の 史跡 に指定されている。この湖周辺には、十三湊遺跡など、 南北朝時代 から 室町時代 にこの地を支配した 安藤氏 に関連した遺跡が集中している  。","https://ja.wikipedia.org/wiki/山王坊遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度03分55秒 東経140度22分05秒","","","","","","","","","","","","","","","","","","",""
"亀ヶ岡石器時代遺跡","[亀ヶ岡石器時代遺跡（かめがおかせっきじだいいせき）〔つがる市〕1944年6月26日] 亀ヶ岡石器時代遺跡 （かめがおかせっきじだいいせき）は、 青森県 つがる市 にある 縄文時代 晩期の集落遺跡である。単に 亀ヶ岡遺跡 とも称される。 遮光器土偶 が出土した 遺跡 として知られ、1944年（昭和19年）6月26日に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/亀ヶ岡石器時代遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度53分5.62秒 東経140度20分22.45秒","","","","","","","","","","","","","","","","","","",""
"田小屋野貝塚","[田小屋野貝塚（たごやのかいづか）〔つがる市〕1944年6月26日] 田小屋野貝塚 （たごやのかいづか）は、 青森県 つがる市 木造にある、 縄文時代 前期から中期の 貝塚遺跡  。青森県西部、津軽半島岩木川左岸の標高10メートルから15メートル程度の丘陵東南端部に立地する  。","https://ja.wikipedia.org/wiki/田小屋野貝塚","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度53分17秒 東経140度20分21秒","","","","","","","","","","","","","","","","","","",""
"小牧野遺跡","[小牧野遺跡（こまきのいせき）〔青森市〕1995年3月17日] 小牧野遺跡 （こまきのいせき）は、 青森県 青森市 にある 縄文時代 後期前半の 遺跡 。所在地は青森市野沢字小牧野。 三内丸山遺跡 の南に位置する。 1995年 （平成7年） 3月17日 に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/小牧野遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度44分15.0秒 東経140度43分41.4秒","","","","","","","","","","","","","","","","","","",""
"高屋敷館遺跡","[高屋敷館遺跡（たかやしきだていせき）〔青森市〕2001年1月29日] 高屋敷館遺跡 （たかやしきだていせき）は、 青森県 青森市 浪岡にある 平安時代 後期の集落跡である。2001年1月29日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/高屋敷館遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度44分13秒 東経140度35分04秒","","","","","","","","","","","","","","","","","","",""
"浪岡城","[浪岡城跡（なみおかじょうあと）〔青森市〕1940年2月10日] 浪岡城 （なみおかじょう）は、 青森県 青森市 浪岡（旧南津軽郡 浪岡町 ）にかつて存在した 日本の城 （ 平城 ）。1460年代に 浪岡北畠氏 によって築城され、1578年に 大浦為信 に攻められ落城した  。 1940年 （ 昭和 15年） 2月10日 に青森県内で初めて国の 史跡 に指定された   。 現在は跡地の北側を 青森県道27号青森浪岡線 が通る。北東へと続く丘陵の南端に位置し、城の南側の急峻な崖下には 浪岡川 と 正平津川 が流れていて天然の 堀 と水源を兼ねていた。","https://ja.wikipedia.org/wiki/浪岡城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度43分1秒東経140度36分16秒","北緯40度43分1秒東経140度36分16秒﻿ / ﻿北緯40.71694度 東経140.60444度﻿ /40.71694; 140.60444","","浪岡城","国指定史跡","平城","土塁、堀・郭跡","応仁年間","不明","北畠顕義","北畠氏（浪岡氏）","なし","なし","","","なし","","","",""
"大森勝山遺跡","[大森勝山遺跡（おおもりかつやまいせき）〔弘前市〕2012年9月19日] 大森勝山遺跡 （おおもりかつやまいせき）は、 青森県 弘前市 大森勝山の 岩木山 北東に所在する 縄文時代 晩期初頭の 環状列石 を主体とする 集落 遺跡 。国の 史跡 に指定されている  。環状列石の構築過程を明らかにするとともに、環状列石としては最も新しく、その年代や性格について新知見が得られたという点できわめて貴重である  。","https://ja.wikipedia.org/wiki/大森勝山遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度41分56秒東経140度21分30秒","","日本青森県弘前市","","","","","","","","","","","","縄文時代","","","","",""
"種里城","[種里城跡（たねさとじょうあと）〔西津軽郡鯵ヶ沢町〕] 種里城 （たねさとじょう）は、 青森県 西津軽郡 鯵ヶ沢町 種里町にあった 日本の城 （ 山城 ）で、国の 史跡 に指定されている（史跡「津軽氏城跡」のうち）   。","https://ja.wikipedia.org/wiki/種里城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度42分16秒東経140度9分58秒","北緯40度42分16秒東経140度9分58秒﻿ / ﻿北緯40.70444度 東経140.16611度﻿ /40.70444; 140.16611","","種里城","国の史跡（「津軽氏城跡」の一部として）","山城","曲輪","1491年（延徳3年）","","大浦氏","大浦光信","","なし","なし","","","","","",""
"堀越城","[堀越城跡（ほりこしじょうあと）〔弘前市〕] 堀越城 （ほりこしじょう）は、 青森県 弘前市 堀越字川合・柏田にかつてあった 日本の城 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/堀越城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度34分22秒東経140度31分17秒","北緯40度34分22秒東経140度31分17秒﻿ / ﻿北緯40.57278度 東経140.52139度﻿ /40.57278; 140.52139","","堀越城","国の史跡","平城","曲輪、水堀、土塁","1336年（建武3年）","1615年（元和元年）","曾我貞光","津軽為信","","なし","なし","","","","","",""
"弘前城","[弘前城跡（ひろさきじょうあと）〔弘前市〕] 弘前城 （ひろさきじょう）は、 陸奥国 鼻和郡 （のち統合と外浜（青森）、西浜（十三湊）を編入で 津軽郡 ）弘前（現・ 青森県 弘前市 下白銀町）にあった 日本の城 である。別名・ 鷹岡城 、 高岡城 。 江戸時代 に建造された 天守 や 櫓 などが現存し国の重要文化財に指定されている。また城跡は国の 史跡 に指定されている。 江戸時代 には 津軽氏 が居城し 弘前藩 の 藩庁 が置かれた。","https://ja.wikipedia.org/wiki/弘前城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度36分28.93秒東経140度27分49.7秒","北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ /40.6080361; 140.463806","","弘前城","重要文化財（天守・辰巳櫓・丑寅櫓・未申櫓・三の丸追手門・三の丸東門・二の丸南門・二の丸東門・北の郭亀甲門）国の史跡","梯郭式平山城","現存天守・櫓・門石垣、土塁、堀","1611年","1871年","津軽為信・信枚","津軽氏","鷹岡城、高岡城","不詳5層（非現存・1610年築）御三階櫓（複合式層塔型3層3階・1810年改）独立式層塔型3層3階（現存）","二の丸東門与力番所","","津軽寧親","","","",""
"垂柳遺跡","[垂柳遺跡（たれやなぎいせき）〔南津軽郡田舎館村〕1999年5月21日] 1981年 （昭和56年）の 国道102号 バイパス化工事の試掘調査に際して弥生時代の水田跡が10面程発見された。","https://ja.wikipedia.org/wiki/垂柳遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度37分55.8秒 東経140度33分56.7秒","","","","","","","","","","","","","","","","","","",""
"是川遺跡","[是川石器時代遺跡（これかわせっきじだいいせき）〔八戸市〕1957年7月1日] 是川遺跡 （これかわいせき）は、 青森県 八戸市 大字是川中居にある 縄文時代 晩期の 遺跡 。別称是川石器時代遺跡ともいう。1957年（昭和32年）7月1日、国の史跡に指定されている  。","https://ja.wikipedia.org/wiki/是川遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度28分28.3秒 東経141度29分28.5秒","","","","","","","","","","","","","","","","","","",""
"丹後平古墳群","[丹後平古墳群（たんごたいこふんぐん）〔八戸市〕1999年1月14日] 丹後平古墳群 （たんごたいこふんぐん）は、 青森県 八戸市 にある 7世紀 後半から 9世紀 後半のものと考えられる 古墳 群。国の 史跡  。出土品は国の 重要文化財  。","https://ja.wikipedia.org/wiki/丹後平古墳群","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度28分52.0秒東経141度28分1.2秒","北緯40度28分52.0秒東経141度28分1.2秒﻿ / ﻿北緯40.481111度 東経141.467000度﻿ /40.481111; 141.467000","青森県八戸市根城字丹後平","丹後平古墳群青森県内の位置","","","","","","","","","","","","","","","","末期古墳"
"長七谷地貝塚","[長七谷地貝塚（ちょうしちやちかいづか）〔八戸市〕1981年5月25日] 長七谷地貝塚 （ちょうしちやちかいづか）は、 青森県 八戸市 にある縄文時代早期の 貝塚 及びその集落跡である。1981年（昭和56年）5月25日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/長七谷地貝塚","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度34分19.2秒 東経141度27分31.7秒","","","","","","","","","","","","","","","","","","",""
"根城","[根城跡（ねじょうあと）〔八戸市〕1941年12月13日] 根城 （ねじょう）は、 日本の城 。所在地は 青森県 八戸市 根城 。国の 史跡 に指定。 日本100名城 の一つ。","https://ja.wikipedia.org/wiki/根城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度30分22.83秒東経141度27分34.6秒","北緯40度30分22.83秒東経141度27分34.6秒﻿ / ﻿北緯40.5063417度 東経141.459611度﻿ /40.5063417; 141.459611","","根城","国の史跡","連郭式平山城","土塁、堀、井戸","建武元年（1334年）","寛永4年（1627年）","南部師行","根城南部氏","","なし","主殿・中馬屋・工房鍛冶工房・板倉・納屋・東門","","","","","",""
"聖寿寺館","[聖寿寺館跡（しょうじゅじたてあと）〔三戸郡南部町〕2004年9月30日] 聖寿寺館 （しょうじゅじだて）は、 青森県 三戸郡 南部町 小向字聖寿寺に所在した 日本の城 。別称、 本三戸城 （もとさんのへじょう）。国の 史跡  。","https://ja.wikipedia.org/wiki/聖寿寺館","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度24分43秒東経141度15分56秒","北緯40度24分43秒東経141度15分56秒﻿ / ﻿北緯40.41194度 東経141.26556度﻿ /40.41194; 141.26556","","聖寿寺館","国の史跡","平城","曲輪、堀","14世紀中葉?","不明","南部信長?","三戸南部氏","本三戸城","なし","","","","","","",""
"中尊寺","[中尊寺境内（ちゅうそんじけいだい）〔西磐井郡平泉町〕（世界遺産「平泉―仏国土（浄土）を表す建築・庭園及び考古学的遺跡群―」の構成資産）] 中尊寺 （ちゅうそんじ）は、 岩手県 西磐井郡 平泉町 にある 天台宗 東北大本山の寺院。 奥州三十三観音 番外札所。山号は関山（かんざん）、本尊は 釈迦如来  。寺伝では 円仁 の 開山 とされる。実質的な 開基 は 藤原清衡 。","https://ja.wikipedia.org/wiki/中尊寺","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度0分5.5秒東経141度6分9.8秒","北緯39度0分5.5秒東経141度6分9.8秒﻿ / ﻿北緯39.001528度 東経141.102722度﻿ /39.001528; 141.102722座標:北緯39度0分5.5秒東経141度6分9.8秒﻿ / ﻿北緯39.001528度 東経141.102722度﻿ /39.001528; 141.102722","岩手県西磐井郡平泉町平泉衣関202","","","","","","","","","","","","","","金色堂、金色堂堂内諸像及び天蓋他（国宝）金色堂旧覆堂他（重要文化財）特別史跡","","",""
"無量光院跡","[無量光院跡（むりょうこういんあと）〔西磐井郡平泉町〕（「平泉―仏国土（浄土）を表す建築・庭園及び考古学的遺跡群―」の構成資産）] 無量光院跡 （むりょうこういんあと）は、 岩手県 平泉町 にある 史跡 である。","https://ja.wikipedia.org/wiki/無量光院跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯38度59分34秒 東経141度6分56.5秒","","","","","","","","","","","","","","","","","","",""
"毛越寺","[毛越寺境内 附 鎮守社跡（もうつうじけいだい つけたり ちんじゅしゃあと）〔西磐井郡平泉町〕 -観自在王院跡（「平泉―仏国土（浄土）を表す建築・庭園及び考古学的遺跡群―」の構成資産）] 毛越寺 （もうつうじ）は、 岩手県 西磐井郡 平泉町 （創建時は 陸奥国 磐井郡 平泉 ）に所在する、 天台宗 の寺院。現在の 本尊 は  薬師如来 立像（ 平安時代 後期の作。脇侍は 日光菩薩 ・ 月光菩薩 ）。建築は平安様式。","https://ja.wikipedia.org/wiki/毛越寺","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯38度59分14秒東経141度6分27秒","北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)座標:北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)","岩手県西磐井郡平泉町字大沢58","","","","","","","","","","","","","","特別史跡特別名勝","","",""
"九戸城","[九戸城跡（くのへじょうあと）〔二戸市〕] 九戸城 （くのへじょう）は、 岩手県 二戸市 福岡城ノ内  にあった 日本の城 である。後に盛岡へと移るまで南部氏の居城となり 福岡城 と改められたが、九戸城と呼ぶのが普通である  。別名「宮野城」。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/九戸城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度16分03秒東経141度18分16秒","北緯40度16分03秒東経141度18分16秒﻿ / ﻿北緯40.26750度 東経141.30444度﻿ /40.26750; 141.30444座標:北緯40度16分03秒東経141度18分16秒﻿ / ﻿北緯40.26750度 東経141.30444度﻿ /40.26750; 141.30444","","九戸城","国の史跡","梯郭式平山城","曲輪、石垣、堀、土塁","明応年間（1492年 - 1501年）","寛永13年（1636年）","九戸氏","九戸氏、南部氏","福岡城、宮野城","不明","","","蒲生氏郷","","","",""
"奥州街道","[奥州街道（おうしゅうかいどう）〔岩手郡岩手町・二戸郡一戸町〕 2010年2月22日] 奥州街道 （おうしゅうかいどう）とは、 江戸時代 の 五街道 の一つ。 江戸 日本橋 を起点として 千住 から 白河 へと至る 街道 である。 下野国 宇都宮宿 以南の区間は 日光街道 と共用されており、宇都宮宿伝馬町の 追分 で日光街道と分岐していた。","https://ja.wikipedia.org/wiki/奥州街道","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御所野遺跡","[御所野遺跡（ごしょのいせき）　〔二戸郡一戸町〕] 山間地を北に流れる 馬淵川 右岸に位置し、東西に長く延びる 河岸段丘 における標高190-200メートルの中位段丘面に立地する。広い箇所では幅120メートルにもおよぶ平坦な 台地 が遺跡周囲では東から北へ弧状に0.5キロメートルほどつづき、台地上の平坦面の広さはおよそ6ヘクタールにもおよんでいる。周辺には ケヤキ や ブナ などの 落葉広葉樹林 が広がり、 クリ 、 ドングリ 、 アケビ などが豊富に実る。そばには 馬淵川 が流れ、そこを遡上するサケ・マスなどが利用された。","https://ja.wikipedia.org/wiki/御所野遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯40度11分52.2秒 東経141度18分22.1秒","","","","","","","","","","","","","","","","","","",""
"志波城","[志波城跡 （しわじょうあと） 〔盛岡市〕] 志波城 （しわじょう/しわのき）は、現在の 岩手県 盛岡市 中太田・下太田にあった日本の古代 城柵 。名称は「 斯波城 」とも。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/志波城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度41分10.5秒東経141度6分23.0秒","北緯39度41分10.5秒東経141度6分23.0秒﻿ / ﻿北緯39.686250度 東経141.106389度﻿ /39.686250; 141.106389﻿ (志波城)座標:北緯39度41分10.5秒東経141度6分23.0秒﻿ / ﻿北緯39.686250度 東経141.106389度﻿ /39.686250; 141.106389﻿ (志波城)","","志波城","国の史跡「志波城跡」","古代城柵","政庁跡など","延暦22年（803年）","弘仁2年（811年）頃","坂上田村麻呂","","斯波城","","外郭櫓門、政庁南門、東門、築地塀","","","","","",""
"盛岡城","[盛岡城跡（もりおかじょうあと）〔盛岡市〕] 「盛岡城」は 南部（盛岡）藩 南部氏 の居城である。西部を流れる 北上川 と南東部を流れる中津川の合流地、現在の盛岡市中心部にあった 花崗岩 丘陵に築城された連郭式平山城である。本丸の北側に二の丸が配され、本丸と二の丸の間は空堀で仕切られ現在は朱塗りの橋が架かっているが、存城当時は廊下橋（ 屋根付橋 の一種）が架けられていた。さらにその北側に三の丸が配され、本丸を囲むように腰曲輪、淡路丸、榊山曲輪が配された。本丸には天守台が築かれたが、幕府への遠慮から 天守 は築かれず、天守台に御三階櫓が建造され代用とされた。後、 1842年 （ 天保 13年）に12代 利済 により天守へと改称されている。","https://ja.wikipedia.org/wiki/盛岡城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度41分59.81秒東経141度9分0.4秒","北緯39度41分59.81秒東経141度9分0.4秒﻿ / ﻿北緯39.6999472度 東経141.150111度﻿ /39.6999472; 141.150111座標:北緯39度41分59.81秒東経141度9分0.4秒﻿ / ﻿北緯39.6999472度 東経141.150111度﻿ /39.6999472; 141.150111","","盛岡城","国の史跡","連郭式平山城","石垣、土塁、堀、移築土蔵・門","1598年","1871年","南部信直","南部氏","不来方城","御三階櫓（1842年以降は天守）不明3重（1633年築）独立式層塔型3重3階（1676年再 非現存）","","","南部重直","","","",""
"徳丹城","[徳丹城跡（とくたんじょうあと）〔紫波郡矢巾町〕] 徳丹城 （とくたんじょう/とくたんのき）は、現在の 岩手県 紫波郡 矢巾町 徳田にあった日本の古代 城柵 。 1969年 （ 昭和 44年） 8月5日 に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/徳丹城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度36分28.1秒東経141度10分20.8秒","北緯39度36分28.1秒東経141度10分20.8秒﻿ / ﻿北緯39.607806度 東経141.172444度﻿ /39.607806; 141.172444﻿ (徳丹城)座標:北緯39度36分28.1秒東経141度10分20.8秒﻿ / ﻿北緯39.607806度 東経141.172444度﻿ /39.607806; 141.172444﻿ (徳丹城)","","徳丹城","国の史跡「徳丹城跡」","古代城柵","政庁跡など","弘仁2年（811年）","不明","大和朝廷","","","","","","","","","",""
"綾織新田遺跡","[綾織新田遺跡（あやおりしんでんいせき）〔遠野市〕] 綾織新田遺跡 （あやおりしんでんいせき）は、 岩手県 遠野市 綾織町 （下綾織）にある 縄文時代 前期の 集落 遺跡 。 2002年 （平成14年） 10月19日 に国の 史跡 に指定された    。","https://ja.wikipedia.org/wiki/綾織新田遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度19分01秒東経141度17分56秒","","日本岩手県遠野市","","","","","","","","","","","","縄文時代","","","270 m (886 ft)","",""
"江釣子古墳群","[江釣子古墳群（えづりここふんぐん）〔北上市〕] 江釣子古墳群 （えづりここふんぐん）は、 岩手県 北上市 の上江釣子・北鬼柳・和賀町長沼に所在する 古墳時代 後期後半の 古墳群 である。 蝦夷塚 とも呼ばれる。","https://ja.wikipedia.org/wiki/江釣子古墳群","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度17分29.1秒 東経141度4分56.5秒","","","","","","","","","","","","","","","","","","",""
"樺山遺跡","[樺山遺跡（かばやまいせき）〔北上市〕] 樺山遺跡 （かばやまいせき）は、 岩手県 北上市 稲瀬町 大谷地・水越にある、 縄文時代 の 遺跡 である。 1977年 （昭和52年）7月14日に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/樺山遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度14分21秒東経141度07分48秒","","日本岩手県北上市","","","","","","","","","","","","縄文時代","","","80 m (262 ft)","",""
"極楽寺 (北上市)","[国見山廃寺跡（くにみさんはいじあと）〔北上市〕] 極楽寺 （ごくらくじ）は、 岩手県 北上市 稲瀬町（旧 江刺郡 ）にある 真言宗智山派 の 寺院 、および、その前身で平安時代に現在の国見山一帯に栄えた山岳仏教寺院。山号は国見山または金福山。","https://ja.wikipedia.org/wiki/極楽寺_(北上市)","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度15分45.3秒東経141度8分23.8秒","北緯39度15分45.3秒東経141度8分23.8秒﻿ / ﻿北緯39.262583度 東経141.139944度﻿ /39.262583; 141.139944座標:北緯39度15分45.3秒東経141度8分23.8秒﻿ / ﻿北緯39.262583度 東経141.139944度﻿ /39.262583; 141.139944","岩手県北上市稲瀬町内門岡30","","","","","","","","","","","","","","銅竜頭 4頭、銅錫杖頭（重要文化財）","","",""
"八天遺跡","[八天遺跡（はってんいせき）〔北上市〕] 北上盆地 の東縁を流れる 北上川 に望む舌状台地に営まれた縄文時代の集落跡である。５次にわたる発掘調査の結果、繩文時代中期末から後期中頃までに営まれた大規模な集落跡であることが明らかになった  。","https://ja.wikipedia.org/wiki/八天遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度19分44秒 東経141度09分26秒","","","","","","","","","","","","","","","","","","",""
"南部領伊達領境塚 (存在しないページ)","[南部領伊達領境塚（なんぶりょうだてりょうさかいづか）〔北上市・胆沢郡金ケ崎町〕]","https://ja.wikipedia.org/w/index.php?title=南部領伊達領境塚&amp;action=edit&amp;redlink=1","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥海柵","[鳥海柵跡 （とのみのさくあと） 〔胆沢郡金ケ崎町〕] 鳥海柵 （とのみのさく）は、 岩手県 胆沢郡 金ケ崎町 西根にあった 平安時代 の豪族 安倍氏 の 城柵 （ 日本の城 ）。国の 史跡 に指定されている（指定名称は「鳥海柵跡」（とのみのさくあと））。","https://ja.wikipedia.org/wiki/鳥海柵","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","国の史跡","古代城柵","土塁、堀、櫓跡など","不明","","","安倍氏","","","","","","","","",""
"大清水上遺跡","[大清水上遺跡（おおすずかみいせき） 〔奥州市〕] 大清水上遺跡 （おおすずかみいせき）は、 岩手県 奥州市 胆沢若柳字慶存にある 縄文時代 の 環状集落 の 遺跡 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大清水上遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度06分47秒東経140度57分14秒","","日本岩手県奥州市","","","","","","","","","","","","縄文時代","","","270 m (886 ft)","",""
"角塚古墳","[角塚古墳（つのづかこふん） 〔奥州市〕] 角塚古墳 （つのづかこふん）は、 岩手県 奥州市 胆沢南都田にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/角塚古墳","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度8分29.42秒東経141度5分37.50秒","北緯39度8分29.42秒東経141度5分37.50秒﻿ / ﻿北緯39.1415056度 東経141.0937500度﻿ /39.1415056; 141.0937500座標:北緯39度8分29.42秒東経141度5分37.50秒﻿ / ﻿北緯39.1415056度 東経141.0937500度﻿ /39.1415056; 141.0937500","岩手県奥州市胆沢南都田","角塚古墳","","","","","","","","","","","","","","","","前方後円墳"
"胆沢城","[胆沢城跡 （いさわじょうあと） 〔奥州市〕] 胆沢城 （いさわじょう/いさわのき）は、 陸奥国 胆沢郡 （現在の 岩手県 奥州市 水沢 ）にあった日本の古代 城柵 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/胆沢城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯39度10分47.02秒東経141度8分6.00秒","北緯39度10分47.02秒東経141度8分6.00秒﻿ / ﻿北緯39.1797278度 東経141.1350000度﻿ /39.1797278; 141.1350000﻿ (胆沢城)座標:北緯39度10分47.02秒東経141度8分6.00秒﻿ / ﻿北緯39.1797278度 東経141.1350000度﻿ /39.1797278; 141.1350000﻿ (胆沢城)","","胆沢城","国の史跡「胆沢城跡」","古代城柵","政庁跡、官衙跡など","延暦21年（802年）","永保3年（1083年）頃","坂上田村麻呂","","","","外郭南門両脇の築地塀、南大路","","","","","",""
