"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","本尊","創建年","文化財","法人番号","開基","宗派","山号","寺格","面積","札所等","公式HP","正式名","開山","分類","公式サイト","別称","宗旨"
"平城京左京三条二坊宮跡庭園","[平城京左京三条二坊宮跡庭園（へいじょうきょうさきょうさんじょうにぼうみやあとていえん） 特別史跡との重複指定] 平城京左京三条二坊宮跡庭園 （へいじょうきょうさきょうさんじょうにぼうみやあとていえん）は、 奈良県 奈良市 三条大路にある庭園遺構。国の 特別史跡 ・ 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/平城京左京三条二坊宮跡庭園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平城宮東院庭園","[平城宮東院庭園（へいじょうきゅうとういんていえん）] 平城宮 （へいじょうきゅう、へいぜいきゅう）は、 平城京 の 大内裏 。 1998年 （ 平成 10年）12月、「 古都奈良の文化財 」として 東大寺 などと共に 世界遺産 に登録された（考古遺跡としては日本初）。","https://ja.wikipedia.org/wiki/平城宮東院庭園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀞八丁","[瀞八丁（どろはっちょう） 天然記念物との重複指定] 瀞八丁 （どろはっちょう）は、 和歌山県 新宮市 と 奈良県 吉野郡 十津川村 、 三重県 熊野市 の三県の境界を成す 峡谷 。 瀞峡 の下流である下瀞の上流にあたり、 熊野川 水系 北山川 上流の玉置口・洞天門から田戸までの区域をいう。","https://ja.wikipedia.org/wiki/瀞八丁","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"後楽園","[岡山後楽園（おかやまこうらくえん） 日本三名園] 後楽園 （こうらくえん）は、 岡山県 岡山市 北区 後楽園にある 日本庭園 （ 大名庭園 ）で、 日本三名園 のひとつである。","https://ja.wikipedia.org/wiki/後楽園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三段峡","[三段峡（さんだんきょう）] 1917年 （ 大正 6年）地元写真家の熊南峰は入峡してその景観に驚き、小学校教師の斎藤露翠とともに三段峡を世を広める活動を始めた  。これを三段峡の開峡年としている  。 2017年 （ 平成 29年）には100周年記念が行われている   。","https://ja.wikipedia.org/wiki/三段峡","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"厳島","[厳島（いつくしま） 日本三景 / 特別史跡との重複指定] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","日本（広島県廿日市市）","","","","","","","","","","30.39km²","","","","","","","",""
"栗林公園","[栗林公園（りつりんこうえん）] 栗林公園 （りつりんこうえん）は、 香川県 高松市 に所在し、国の 特別名勝 に指定された回遊式 大名庭園 （ 日本庭園 ）である   。県立の 都市公園 （ 歴史公園 ）として運営されている  。","https://ja.wikipedia.org/wiki/栗林公園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯34度19分49.2秒東経134度2分39.85秒","日本香川県高松市栗林町","","","","","","","","","","75ha（紫雲山を含む）16ha（平庭部）","","","","","都市公園（歴史公園）、日本庭園","栗林公園","",""
"虹の松原","[虹の松原（にじのまつばら）] 虹の松原 （にじのまつばら）は、 佐賀県 唐津市 の 唐津湾 沿岸に広がる 松原 。","https://ja.wikipedia.org/wiki/虹の松原","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雲仙岳","[雲仙岳（うんぜんだけ） ※指定名称は「温泉岳」] 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯32度45分41秒東経130度17分56秒","長崎県島原市、南島原市、雲仙市","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","","","","","","","","","","","","","","","","",""
"識名園","[識名園（しきなえん）] 識名園 （しきなえん）は 沖縄県 那覇市 真地にある 琉球 庭園 の一つ。","https://ja.wikipedia.org/wiki/識名園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
