"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","形状","規模","築造時期","特記事項","地図","被葬者","出土品","所属","陵墓","埋葬施設","史跡","別名","陪塚","有形文化財","Hidden","Hidden","Hidden"
"佐紀石塚山古墳","[24佐紀石塚山古墳奈良県奈良市大和前期4C後・5C前4220?成務天皇佐紀盾列古墳群] 佐紀石塚山古墳 （さきいしづかやまこふん）は、 奈良県 奈良市 山陵町 字御陵前にある 古墳 。形状は 前方後円墳 。 佐紀盾列古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/佐紀石塚山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度42分0.49秒東経135度47分14.65秒","奈良県奈良市山陵町字御陵前","北緯34度42分0.49秒東経135度47分14.65秒﻿ / ﻿北緯34.7001361度 東経135.7874028度﻿ /34.7001361; 135.7874028﻿ (佐紀石塚山古墳（伝成務天皇陵）)座標:北緯34度42分0.49秒東経135度47分14.65秒﻿ / ﻿北緯34.7001361度 東経135.7874028度﻿ /34.7001361; 135.7874028﻿ (佐紀石塚山古墳（伝成務天皇陵）)","前方後円墳","墳丘長218m","4世紀末頃","全国第26位の規模","佐紀石塚山古墳","（宮内庁治定）第13代成務天皇","鏡・玉・剣","佐紀盾列古墳群","宮内庁治定「狭城盾列池後陵」","（推定）竪穴式石室","","","","","","",""
"ヒシアゲ古墳","[25ヒシアゲ古墳奈良県奈良市大和中期5C前7218?磐之媛佐紀盾列古墳群] ヒシアゲ古墳 は、 奈良県 奈良市 佐紀町にある 古墳 。形状は 前方後円墳 。 佐紀盾列古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/ヒシアゲ古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度42分4.73秒東経135度48分9.68秒","奈良県奈良市佐紀町字ヒシゲ","北緯34度42分4.73秒東経135度48分9.68秒﻿ / ﻿北緯34.7013139度 東経135.8026889度﻿ /34.7013139; 135.8026889座標:北緯34度42分4.73秒東経135度48分9.68秒﻿ / ﻿北緯34.7013139度 東経135.8026889度﻿ /34.7013139; 135.8026889","前方後円墳","墳丘長219m高さ16.2m","5世紀中葉-後半","全国第24位の規模","ヒシアゲ古墳","（宮内庁治定）磐之媛命","","佐紀盾列古墳群","宮内庁治定「平城坂上陵」","","","","","","","",""
"太田天神山古墳","[26太田天神山古墳群馬県太田市上野中期?210高さ（m）毛野政権] 太田天神山古墳 （おおたてんじんやまこふん）は、 群馬県 太田市 内ケ島町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている（指定名称は「天神山古墳」）。","https://ja.wikipedia.org/wiki/太田天神山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯36度17分30.04秒東経139度23分27.69秒","群馬県太田市内ケ島町1606-1ほか","北緯36度17分30.04秒東経139度23分27.69秒﻿ / ﻿北緯36.2916778度 東経139.3910250度﻿ /36.2916778; 139.3910250﻿ (太田天神山古墳)座標:北緯36度17分30.04秒東経139度23分27.69秒﻿ / ﻿北緯36.2916778度 東経139.3910250度﻿ /36.2916778; 139.3910250﻿ (太田天神山古墳)","前方後円墳","墳丘長210m高さ16.5m","5世紀前半-中期頃","全国第28位/東日本第1位の規模誉田御廟山古墳（大阪府羽曳野市）の2分の1相似形","太田天神山舟塚山浅間山太田天神山別所茶臼山浅間山白石稲荷山","","円筒埴輪・水鳥形埴輪など","","","（推定）竪穴式の主体部　（内部に長持形石棺）","国の史跡「天神山古墳」","","","","","",""
"佐紀陵山古墳","[27佐紀陵山古墳奈良県奈良市大和前期4C後・5C初4208?日葉酢媛佐紀盾列古墳群] 佐紀陵山古墳 （さきみささぎやまこふん）は、 奈良県 奈良市 山陵町 にある 古墳 。形状は 前方後円墳 。 佐紀盾列古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/佐紀陵山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度41分58.76秒東経135度47分20.63秒","奈良県奈良市山陵町","北緯34度41分58.76秒東経135度47分20.63秒﻿ / ﻿北緯34.6996556度 東経135.7890639度﻿ /34.6996556; 135.7890639座標:北緯34度41分58.76秒東経135度47分20.63秒﻿ / ﻿北緯34.6996556度 東経135.7890639度﻿ /34.6996556; 135.7890639","前方後円墳","墳丘長207m　","4世紀末頃","全国第32位の規模","佐紀陵山古墳","（宮内庁治定）日葉酢媛命","銅鏡・埴輪","佐紀盾列古墳群","宮内庁治定「狭木之寺間陵」","竪穴式石室","","","","","","",""
"桜井茶臼山古墳","[27桜井茶臼山古墳奈良県桜井市大和前期4C初2208?鳥見山古墳群（オオヤマト古墳集団）] 桜井茶臼山古墳 （さくらいちゃうすやまこふん）または 外山茶臼山古墳 （とびちゃうすやまこふん）は、 奈良県 桜井市 外山にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/桜井茶臼山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度30分42秒東経135度51分25秒","奈良県桜井市外山","北緯34度30分42秒東経135度51分25秒﻿ / ﻿北緯34.51167度 東経135.85694度﻿ /34.51167; 135.85694座標:北緯34度30分42秒東経135度51分25秒﻿ / ﻿北緯34.51167度 東経135.85694度﻿ /34.51167; 135.85694","前方後円墳","墳丘長207m高さ23m","4世紀初頭","全国第32位の規模","桜井茶臼山古墳","","石製腕飾類・銅鏡片","","","竪穴式石室（内部に木棺）","国の史跡「桜井茶臼山古墳」","外山茶臼山古墳","","","","",""
"築山古墳 (大和高田市)","[27築山古墳奈良県大和高田市大和中期4C末・5C前4208?馬見古墳群] 築山古墳 （つきやまこふん）は、 奈良県 大和高田市 築山字城山にある 古墳 。形状は 前方後円墳 。 馬見古墳群 を構成する古墳の1つ（南群の盟主墳）。","https://ja.wikipedia.org/wiki/築山古墳_(大和高田市)","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度31分24.15秒東経135度43分53.93秒","奈良県大和高田市築山字城山","北緯34度31分24.15秒東経135度43分53.93秒﻿ / ﻿北緯34.5233750度 東経135.7316472度﻿ /34.5233750; 135.7316472﻿ (築山古墳（磐園陵墓参考地）)座標:北緯34度31分24.15秒東経135度43分53.93秒﻿ / ﻿北緯34.5233750度 東経135.7316472度﻿ /34.5233750; 135.7316472﻿ (築山古墳（磐園陵墓参考地）)北緯34度31分24.15秒東経135度43分53.93秒﻿ / ﻿北緯34.5233750度 東経135.7316472度﻿ /34.5233750; 135.7316472座標:北緯34度31分24.15秒東経135度43分53.93秒﻿ / ﻿北緯34.5233750度 東経135.7316472度﻿ /34.5233750; 135.7316472{{#coordinates:}}: 各ページで primary のタグは複数指定できません","前方後円墳","墳丘長210m","4世紀末","全国第28位の規模","築山古墳","（宮内庁推定）第23代顕宗天皇","","","宮内庁治定「磐園陵墓参考地」","","","","","","","",""
"コナベ古墳","[30コナベ古墳奈良県奈良市大和中期5C前5204?佐紀盾列古墳群] コナベ古墳 （こなべこふん）は、 奈良県 奈良市 法華寺町にある 古墳 。形状は 前方後円墳 。 佐紀盾列古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/コナベ古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度41分51.69秒東経135度48分16.98秒","奈良県奈良市法華寺町","北緯34度41分51.69秒東経135度48分16.98秒﻿ / ﻿北緯34.6976917度 東経135.8047167度﻿ /34.6976917; 135.8047167座標:北緯34度41分51.69秒東経135度48分16.98秒﻿ / ﻿北緯34.6976917度 東経135.8047167度﻿ /34.6976917; 135.8047167","前方後円墳","墳丘長204m高さ20m","5世紀前半","全国第34位の規模","コナベ古墳","（宮内庁推定）磐之媛命","円筒埴輪・形象埴輪（家形埴輪）","佐紀盾列古墳群","宮内庁治定「小奈辺陵墓参考地」","","","小奈辺古墳","","","","",""
"巣山古墳","[30巣山古墳奈良県北葛城郡広陵町大和中期4C末・5C前5204?馬見古墳群] 巣山古墳 （すやまこふん）は、 奈良県 北葛城郡 広陵町 三吉にある 古墳 。形状は 前方後円墳 。 馬見古墳群 （中央群）を構成する古墳の1つ。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/巣山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分23秒東経135度44分27秒","奈良県北葛城郡広陵町大字三吉元斉音寺","北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083座標:北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083","前方後円墳","墳丘長204m（推定復原220m）","4世紀末 -5世紀初頭","全国第23位の規模（墳丘長220mとする場合）","巣山古墳","","","馬見古墳群（中央群）","","竪穴式石室","国の特別史跡「巣山古墳」","","","","","",""
"津堂城山古墳","[32津堂城山古墳大阪府藤井寺市河内中期4C後・末4202?古市古墳群] 津堂城山古墳 （つどうしろやまこふん）は、 大阪府 藤井寺市 にある 古墳 。形状は 前方後円墳 。 古市古墳群 （ 世界文化遺産 ）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/津堂城山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度34分55.26秒東経135度35分36.33秒","大阪府藤井寺市津堂","北緯34度34分55.26秒東経135度35分36.33秒﻿ / ﻿北緯34.5820167度 東経135.5934250度﻿ /34.5820167; 135.5934250座標:北緯34度34分55.26秒東経135度35分36.33秒﻿ / ﻿北緯34.5820167度 東経135.5934250度﻿ /34.5820167; 135.5934250","前方後円墳","墳丘長208m高さ16.9m","4世紀後半","全国第31位の規模","津堂城山古墳","（宮内庁推定）第19代允恭天皇","埴輪・銅鏡・玉類・鉄鏃等","古市古墳群","宮内庁治定「藤井寺陵墓参考地」","竪穴式石室（内部に長持形石棺）","国の史跡「城山古墳」（「古市古墳群」に包含）","","","","","",""
"新木山古墳","[33新木山古墳奈良県北葛城郡広陵町大和中期5C前6200?馬見古墳群] 新木山古墳 （にきやまこふん）は、 奈良県 北葛城郡 広陵町 赤部にある 古墳 。形状は 前方後円墳 。 馬見古墳群 （中央群）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/新木山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分2.67秒東経135度44分14.37秒","奈良県北葛城郡広陵町赤部字新木山","北緯34度33分2.67秒東経135度44分14.37秒﻿ / ﻿北緯34.5507417度 東経135.7373250度﻿ /34.5507417; 135.7373250座標:北緯34度33分2.67秒東経135度44分14.37秒﻿ / ﻿北緯34.5507417度 東経135.7373250度﻿ /34.5507417; 135.7373250","前方後円墳","墳丘長200m高さ19m（後円部）","5世紀前半","全国第36位の規模","新木山古墳","（宮内庁推定）押坂彦人大兄皇子","埴輪","馬見古墳群（中央群）","宮内庁治定「三吉陵墓参考地」","","","","","","","",""
"摩湯山古墳","[33摩湯山古墳大阪府岸和田市和泉前期4C後3200?久米田古墳群] 摩湯山古墳 （まゆやまこふん）は、 大阪府 岸和田市 摩湯町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/摩湯山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度27分44.70秒東経135度26分0.05秒","大阪府岸和田市摩湯町","北緯34度27分44.70秒東経135度26分0.05秒﻿ / ﻿北緯34.4624167度 東経135.4333472度﻿ /34.4624167; 135.4333472座標:北緯34度27分44.70秒東経135度26分0.05秒﻿ / ﻿北緯34.4624167度 東経135.4333472度﻿ /34.4624167; 135.4333472","前方後円墳（柄鏡式）","墳丘長200m","4世紀後半","全国第36位の規模佐紀陵山古墳と相似形","摩湯山古墳","","土師器・埴輪","","","（推定）竪穴式石室","国の史跡「摩湯山古墳」","","2基","","","",""
"西陵古墳","[33西陵古墳大阪府泉南郡岬町和泉中期5C中5200?西陵古墳群] 西陵古墳 （さいりょうこふん）は、 大阪府 泉南郡 岬町 淡輪 （たんのわ）にある 古墳 。形状は 前方後円墳 。淡輪古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/西陵古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度19分37.31秒東経135度10分8.44秒","大阪府泉南郡岬町淡輪","北緯34度19分37.31秒東経135度10分8.44秒﻿ / ﻿北緯34.3270306度 東経135.1690111度﻿ /34.3270306; 135.1690111座標:北緯34度19分37.31秒東経135度10分8.44秒﻿ / ﻿北緯34.3270306度 東経135.1690111度﻿ /34.3270306; 135.1690111","前方後円墳","墳丘長210m高さ約15m（後円部）","5世紀前半頃","全国第28位の規模","西陵古墳","（推定）紀小弓","円筒埴輪・器材埴輪など","淡輪古墳群","","（推定）竪穴式石室　（内部に長持形石棺）","国の史跡「西陵古墳 第一、第二古墳」","","","","","",""
"神明山古墳","[33神明山古墳京都府京丹後市丹後中期5C200?丹後政権] 神明山古墳 （しんめいやまこふん）は、 京都府 京丹後市 丹後町宮にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/神明山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯35度44分6.63秒東経135度6分40.47秒","京都府京丹後市丹後町宮小字家ノ上","北緯35度44分6.63秒東経135度6分40.47秒﻿ / ﻿北緯35.7351750度 東経135.1112417度﻿ /35.7351750; 135.1112417座標:北緯35度44分6.63秒東経135度6分40.47秒﻿ / ﻿北緯35.7351750度 東経135.1112417度﻿ /35.7351750; 135.1112417","前方後円墳","墳丘長190m","4世紀末-5世紀初頭","全国第36位の規模（墳丘長200mとする場合）日本海三大古墳の1つ","神明山古墳蛭子山1号墳網野銚子山古墳　　","","円筒埴輪・形象埴輪","","","（推定）竪穴式石室","国の史跡「神明山古墳」","","","","","",""
"島の山古墳","[※島の山古墳奈良県磯城郡大和前期4C末200～?馬見古墳群] 島の山古墳 （しまのやまこふん）は、 奈良県 磯城郡 川西町 唐院にある 古墳 。形状は 前方後円墳 。 馬見古墳群 北群を構成する古墳の1つ。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/島の山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度35分2.0秒東経135度45分56.6秒","奈良県磯城郡川西町唐院","北緯34度35分2.0秒東経135度45分56.6秒﻿ / ﻿北緯34.583889度 東経135.765722度﻿ /34.583889; 135.765722座標:北緯34度35分2.0秒東経135度45分56.6秒﻿ / ﻿北緯34.583889度 東経135.765722度﻿ /34.583889; 135.765722","前方後円墳","墳丘長200m","4世紀末-5世紀初頭","全国第36位の規模","島の山古墳","","埴輪、装身具、鉄刀","馬見古墳群（北群）","","竪穴式石室、粘土槨","国の史跡「島の山古墳」","","","出土品（国の重要文化財）","","",""
