"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"ラス・ダシャン山","[35  エチオピアラス・ダシャン山4,550 m[1] エリック・ニルソンによれば、この山は「テケゼ川に合流する無数の峡谷によって北半分が何千メートルもえぐられた巨大火山」のへりの東端である。その西部にあたるビュアト山とのあいだには、メシャハ川の峡谷がある  。メシャハ峡谷には断崖絶壁がそびえるが、東面は比較的緩やかである  。語源の「東風の防壁」が意味する通り、山には強い風が吹き付ける  。山の一部は シミエン国立公園 に含まれ、 ゲラダヒヒ 、 ワリアアイベックス 、 アビシニアジャッカル 、 クリップスプリンガー 、 アビシニアハイラックス などの希少種が生息している  。","https://ja.wikipedia.org/wiki/ラス・ダシャン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯13度14分09秒東経38度22分15秒","4,550 m(14,930 ft) ","","","","1841年、フランス人士官のフェレとガリニエによる","3,997 m(13,114 ft) 世界23位","国内最高峰ウルトラ・プロミネント峰","シミエン山地","","1,483キロメートル (921 mi)","","","","","","","","",""
"カリシンビ山","[36  ルワンダカリシンビ山4,519 m] 山の名前は、 ルワンダ語 で雪を意味する amasimbi に由来する。冠雪は乾季の6月から8月にかけて、最もよく見られる。","https://ja.wikipedia.org/wiki/カリシンビ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯1度30分30秒東経29度26分42秒","4,507 m(14,787 ft) ","","","","","3,312 m(10,866 ft) 61位","ルワンダ最高峰ウルトラ・プロミネント峰","ヴィルンガ山地","","207キロメートル (129 mi)","成層火山","","","不明","","","","",""
"ウィルヘルム山","[37  パプアニューギニアウィルヘルム山4,509 m] ウィルヘルム山は、パプアニューギニアと インドネシア の パプア州 とで成り立つ ニューギニア島 にある。それは プンチャック・ジャヤ （4,884 m）やインドネシア側にあるいくつかの他のピークに標高で越される。","https://ja.wikipedia.org/wiki/ウィルヘルム山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯5度48分00秒東経145度02分00秒","4,509m","パプアニューギニアシンブ州・西部山岳州・マダン州","南緯5度48分00秒東経145度02分00秒﻿ / ﻿南緯5.80000度 東経145.03333度﻿ /-5.80000; 145.03333座標:南緯5度48分00秒東経145度02分00秒﻿ / ﻿南緯5.80000度 東経145.03333度﻿ /-5.80000; 145.03333","ビスマーク山脈","1938年8月15日リー・ヴァイアル（英語版）","","","","","","","","","","","","","",""
"バザルデュジ山","[38  アゼルバイジャンバザルデュジ山4,485 m] ","https://ja.wikipedia.org/wiki/バザルデュジ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯41度13分28秒東経47度51分30秒","4,466 m(14,652 ft) "," アゼルバイジャン/ ロシア","","","","2,454 m(8,051 ft) ","アゼルバイジャン最高峰ウルトラ・プロミネント峰","コーカサス山脈","","","","","","","","","","",""
"フィティン山","[39  モンゴルフィティン山4,374 m] この山の約2.5キロメートル北方に、モンゴル・中国・ロシアの 三国国境 となっている標高4081メートル（または4104メートル）の峰がある    。三国間協定および地形図では、この峰は「タワン・ボグド峰」（ ロシア語 : Таван-Богдо-Ула , Tavan-Bogdo-Ula; モンゴル語 : Таван  Богд  Уул , Tavan Bogd Uul）または奎屯山（ ピン音 :Kuítún shān）と呼ばれている    。","https://ja.wikipedia.org/wiki/フィティン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯49度8分45秒東経87度49分8秒","4,374 m(14,350 ft) "," モンゴル中国","","","1963年 モンゴル隊","2,342 m(7,684 ft) ","モンゴル最高峰ウルトラ・プロミネント峰","タワン・ボグド連山アルタイ山脈","","115キロメートル (71 mi)","","","","","","","","",""
"タフムルコ山","[40  グアテマラタフムルコ山4,220 m] 1956年 にタフムルコ山は保護区域に宣言された。山までの旅行は ケツァルテナンゴ 市でいろいろなグループが組まれ前もって計画される。一般的なグループは初日の早い時間に登山を開始し、山頂の下約150メートルのところでキャンプする。これは高所適応を可能にする。翌朝、ハイカーは荷物なしで山頂を目指すことができる。風景は刻々と変化し、頂上は頻繁に雲に飲み込まれたりコンディションは極端に風が強かったりする。","https://ja.wikipedia.org/wiki/タフムルコ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯15度02分04秒西経91度54分12秒","4,220m","グアテマラサン・マルコス県","北緯15度02分04秒西経91度54分12秒﻿ / ﻿北緯15.03444度 西経91.90333度﻿ /15.03444; -91.90333座標:北緯15度02分04秒西経91度54分12秒﻿ / ﻿北緯15.03444度 西経91.90333度﻿ /15.03444; -91.90333","シエラ・マドレ山脈（英語版）","","","","","成層火山","","","","不明","","","","","",""
"ツブカル山","[41  モロッコツブカル山4,165 m] 山頂を目指す 登山 ルートも整備されており、多数の観光客が訪れる。 トレッキング については標高が高いだけに、 アフリカ大陸 といえども季節によっては積雪も見られることから、それなりの装備は要求される。","https://ja.wikipedia.org/wiki/ツブカル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯31度03分43秒西経7度54分58秒","4,167m","モロッコ","北緯31度03分43秒西経7度54分58秒﻿ / ﻿北緯31.06194度 西経7.91611度﻿ /31.06194; -7.91611座標:北緯31度03分43秒西経7度54分58秒﻿ / ﻿北緯31.06194度 西経7.91611度﻿ /31.06194; -7.91611","アトラス山脈","","","","","","","","","","","","","","",""
"キナバル山","[42  マレーシアキナバル山4,095 m] キナバルとは、 マレー語 でキナは中国、バルは未亡人の意味。キナバル山付近には、中国の王子とその 未亡人 の伝説も残っている。 広東 の漁師兄弟が 台風 で遭難、当地に漂着し、現地妻を娶った後、兄がホームシックで北上航海に出たが その後音信が途絶え、現地に残された妻がこの山にのぼってマレーへ帰る船影をさがしたという伝説も伝わる  。実際には カダザン語 のアキ・ナバル（先祖の霊が宿る山）がなまってキナバルになったという説が有力である。","https://ja.wikipedia.org/wiki/キナバル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯6度05分00秒東経116度33分00秒","4095.2m","マレーシアサバ州","北緯6度05分00秒東経116度33分00秒﻿ / ﻿北緯6.08333度 東経116.55000度﻿ /6.08333; 116.55000座標:北緯6度05分00秒東経116度33分00秒﻿ / ﻿北緯6.08333度 東経116.55000度﻿ /6.08333; 116.55000","","1858年","","","","","","","","","","","","","",""
"アラガツ山","[43  アルメニアアラガツ山4,090 m] その4,090 m (13,419 ft)の山体は 氷河 によって浸蝕されており、 鮮新世 から 更新世 にかけての地質年代を示している。しかし、 寄生火山 と 割れ目噴火 の跡は山裾の至る方向に残っており、これは非常に多量の溶岩が流れ出た証拠となっている。","https://ja.wikipedia.org/wiki/アラガツ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯40度32分00秒東経44度12分00秒","4,090 m(13,420 ft) ","アルメニアアラガツォトゥン地方","","","","2,143 m(7,031 ft) ","国別の最高地点一覧","","","","成層火山","","","不明","","","","",""
"ドムバイ＝ウリゲン","[44  アブハジアドムバイ＝ウリゲン（英語版）4,046 mアブハジアはジョージアから事実上独立している。]","https://ja.wikipedia.org/w/index.php?title=ドムバイ＝ウリゲン&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"カメルーン山","[45  カメルーンカメルーン山のファコ4,040 m[1] カメルーン山は アフリカ大陸 で最も大きい 火山 の1つである。 標高 は4095mで、カメルーンの西海岸の北に位置している。海岸から吹き上げた冷たくて強く雪も含むこともある風が、 熱帯雨林 を通ってむき出しの山頂に吹き上げている。","https://ja.wikipedia.org/wiki/カメルーン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯4度12分12秒東経9度10分12秒","4,095m","カメルーン南西州","北緯4度12分12秒東経9度10分12秒﻿ / ﻿北緯4.20333度 東経9.17000度﻿ /4.20333; 9.17000座標:北緯4度12分12秒東経9度10分12秒﻿ / ﻿北緯4.20333度 東経9.17000度﻿ /4.20333; 9.17000","カメルーン火山列","1861年リチャード・フランシス・バートン","","","","成層火山","","","","2012年","","","","","",""
"玉山","[46  中華民国(台湾)玉山3,952 m玉山は中華民国が実効支配している台湾地区での最高峰である。] 台湾原住民 の ツォウ族 の言語 ツォウ語 では「パトゥンクオヌ（patungkuonʉ）  」 、 ブヌン語 では「Saviah, Savih  」、 カナカナブ語 では「Tanungu'incu  」と呼ぶ。 清 代初期の文書によれば「八通関山（パットンカンの音訳）」、「雪山」と呼んでいた。欧米では、商船主・モリソン（W. Morrison）が報告したことから「モリソン山」と呼ばれた。","https://ja.wikipedia.org/wiki/玉山_(台湾)","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯23度28分12秒東経120度57分16秒","3,952m","中華民国南投県信義郷・嘉義県阿里山郷・高雄市桃源区","北緯23度28分12秒東経120度57分16秒﻿ / ﻿北緯23.47000度 東経120.95444度﻿ /23.47000; 120.95444座標:北緯23度28分12秒東経120度57分16秒﻿ / ﻿北緯23.47000度 東経120.95444度﻿ /23.47000; 120.95444","玉山山脈","鳥居龍蔵1900年4月11日","","","","","","","","","","","","","",""
"Mount Khalatsa","[47  南オセチアMount Khalatsa3,938 m南オセチアはジョージアから事実上独立している。]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Mount_Khalatsa","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"チリポ山","[48  コスタリカチリポ山3,820 m] ふもとからの高さが3,727m（世界38位）ある  ため、標高の割には高くみえる。","https://ja.wikipedia.org/wiki/チリポ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯9度29分2.7秒西経83度29分19.2秒","3,820m","コスタリカ、チリポ国立公園","北緯9度29分2.7秒西経83度29分19.2秒﻿ / ﻿北緯9.484083度 西経83.488667度﻿ /9.484083; -83.488667座標:北緯9度29分2.7秒西経83度29分19.2秒﻿ / ﻿北緯9.484083度 西経83.488667度﻿ /9.484083; -83.488667","タラマンカ山脈","","","","","","","","","","","","","","",""
"グロースグロックナー山","[49  オーストリアグロースグロックナー山3,798 m] ","https://ja.wikipedia.org/wiki/グロースグロックナー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯47度04分30秒東経12度41分43秒","3,798m","オーストリア","北緯47度04分30秒東経12度41分43秒﻿ / ﻿北緯47.07500度 東経12.69528度﻿ /47.07500; 12.69528","ペニンアルプス","1858年8月8日Sepp,Martin Klotz,Martin Reicher他2名","","","","","","","","","","","","","",""
"富士山","[50  日本富士山(剣ヶ峰)3,776 m] 古来 霊峰 とされ、特に山頂部は 浅間大神 が鎮座するとされたため、神聖視された。噴火を沈静化するため 律令国家 により 浅間神社 が祭祀され、 浅間信仰 が確立された。また、 富士山修験道 の開祖とされる 富士上人 により修験道の 霊場 としても認識されるようになり、登拝が行われるようになった。これら 富士信仰 は時代により多様化し、 村山修験 や 富士講 といった一派を形成するに至る。現在、 富士山麓 周辺には観光名所が多くある他、夏季シーズンには 富士登山 が盛んである。","https://ja.wikipedia.org/wiki/富士山_(代表的なトピック)","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯35度21分45秒東経138度43分50秒","3776.12m","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","独立峰","663年（役小角）","","","","成層火山(活火山ランクB)・常時観測火山","","","","","","","","","",""
"クック山","[51  ニュージーランドクック山3,754 m] 「アオラキ（Aoraki）」とは、ニュージーランドの先住民族マオリ・ナイ・タフ族（Kāi Tahu）の言葉であり、 マオリ語 で「雲の峰」という意味である。「クック」はニュージーランドを探索した イギリス の海軍士官 ジェームズ・クック の名が由来となっている。","https://ja.wikipedia.org/wiki/クック山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯43度35分44.7秒東経170度08分27.7秒","3,724m","ニュージーランド南島","南緯43度35分44.7秒東経170度08分27.7秒﻿ / ﻿南緯43.595750度 東経170.141028度﻿ /-43.595750; 170.141028座標:南緯43度35分44.7秒東経170度08分27.7秒﻿ / ﻿南緯43.595750度 東経170.141028度﻿ /-43.595750; 170.141028","南アルプス山脈","1894年","","","","","","","","","","","","","",""
"カナリア諸島","[52  スペインカナリア諸島のテネリフェ島にあるテイデ山3,718 mスペイン本土ではムラセン山3,479 m] グラン・カナリア島の ラテン語 名「 Insula Canaria （「犬の島」の意）」に由来する  。のち複数形「 Insulae Canariae 」として諸島全体を意味することにもなった。州の 紋章 には、7つの島々をはさんで一対の犬が描かれている。","https://ja.wikipedia.org/wiki/カナリア諸島","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ナビー・シュアイブ山","[54  イエメンナビー・シュアイブ山3,666 m[1] 標高は3760mとされることもあるが、 SRTM をはじめとする近年の調査では、3666mの説が有力である  。近くには、イエメンで二番目に高いティヤル山がある。","https://ja.wikipedia.org/wiki/ナビー・シュアイブ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯15度16分45秒東経43度58分33秒","3,666 m(12,028 ft) ","イエメン、サナア県","","","","3,326 m(10,912 ft) 世界62位","国内最高峰ウルトラ・プロミネント峰","","","554キロメートル (344 mi)","","","","","","","","",""
"シェーハ・ダー山","[55  イラクシェーハ・ダー山3,611 m] 2004年11月に登頂した イギリス の探検家 ジン・フッレンは、山頂でGPS計測を行い 3,628メートルを記録した。この場所は、 スペースシャトル によるレーダー計測（ SRTM ）や ロシア の地形図の計測点と同一地点であるが、これらの資料の標高はCIAの値と一致している。最初の冬山登頂は、2011年3月18日に ジョナサン・ベジックと マシュー・ドゥプイによって達成された。このときのGPS計測では 3,611メートルが確認された。","https://ja.wikipedia.org/wiki/シェーハ・ダー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯36度46分36秒東経44度55分07秒","3,611 m(11,847 ft) ","イラン・イラク国境","","","","1,575 m(5,167 ft) ","イラク国内最高峰","ザグロス山脈","","","","","","","","","","",""
"タバナントレニャナ山","[56  レソトタバナントレニャナ山3,482 m] ","https://ja.wikipedia.org/wiki/タバナントレニャナ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯29度28分00秒東経29度16分00秒","3,482m","レソトモコトロング県","南緯29度28分00秒東経29度16分00秒﻿ / ﻿南緯29.46667度 東経29.26667度﻿ /-29.46667; 29.26667座標:南緯29度28分00秒東経29度16分00秒﻿ / ﻿南緯29.46667度 東経29.26667度﻿ /-29.46667; 29.26667","ドラケンスバーグ山脈","1951年","","","","","","","","","","","","","",""
"バル山","[57  パナマバル山3,475 m] 山の高度があることとパナマの国土が比較的短い幅であることにより、晴れた日にはバル火山の山頂から 太平洋 と カリブ海 の両方を見ることができる。","https://ja.wikipedia.org/wiki/バル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯8度48分28.8秒西経82度32分34.8秒","3,474m","パナマチリキ県","北緯8度48分28.8秒西経82度32分34.8秒﻿ / ﻿北緯8.808000度 西経82.543000度﻿ /8.808000; -82.543000座標:北緯8度48分28.8秒西経82度32分34.8秒﻿ / ﻿北緯8.808000度 西経82.543000度﻿ /8.808000; -82.543000","タラマンカ山脈","","","","","成層火山","","","","1550 ± 10 年","","","","","",""
"マファディ山","[58  南アフリカマファディ山（英語版）3,450 m]","https://ja.wikipedia.org/w/index.php?title=マファディ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"エミクーシ山","[59  チャドエミクーシ山3,445 m[1] ","https://ja.wikipedia.org/wiki/エミクーシ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯19度47分36秒東経18度33分06秒","3,445m","チャドボルク州","北緯19度47分36秒東経18度33分06秒﻿ / ﻿北緯19.79333度 東経18.55167度﻿ /19.79333; 18.55167座標:北緯19度47分36秒東経18度33分06秒﻿ / ﻿北緯19.79333度 東経18.55167度﻿ /19.79333; 18.55167","ティベスティ山地","1938年","","","","火山砕屑盾状火山","","","","","","","","","",""
"キヌエティ山","[60  南スーダンキヌエティ山3,187 m] ふもとに広がる森林は、東アフリカ山地林 エコリージョン の最北部にあたる   。山頂は草地が点在するものの岩肌で、その割れ目に ツツジ科 などの潅木や草本がみられる  。ヨーロッパ人として初めて山を訪れたうちのひとり、植物学者のトマス・フォード・チップは、山頂付近で キク科 の Coreopsis Chippii を発見した  。","https://ja.wikipedia.org/wiki/キヌエティ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯3度56分51秒東経32度54分32秒","3,187 m(10,456 ft)"," 南スーダン","","","","2,120 m(6,960 ft)","国内最高峰ウルトラ・プロミネント峰","イマトング山地","","","","","","","","","","",""
"ファンシーパン山","[61  ベトナムファンシーパン山3,143 m] ファンシーパン山 （ ベトナム語 ： Núi Phan Xi Păng または Núi Phan Si Phăng   発音 , 英語 ： Fansipan mountain ）は、 ベトナム 北部の ラオカイ省 と ライチャウ省 の境にある 山 。同国 最高峰 で、標高は3,143メートル。","https://ja.wikipedia.org/wiki/ファンシーパン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯22度17分52秒 東経103度47分11秒","","","","","","","","","","","","","","","","","","",""
"アリババ山","[62  トルクメニスタンアリババ山（英語版）3,139 m]","https://ja.wikipedia.org/w/index.php?title=アリババ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ドゥアルテ山","[63  ドミニカ共和国ドゥアルテ山（英語版）3,098 m[1]]","https://ja.wikipedia.org/w/index.php?title=ドゥアルテ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"クルナ・アッサウダー山","[64  レバノンクルナ・アッサウダー山3,088 m] レバノン山脈 の1,800m以上の地点は一年の内4ヶ月雪が積もり、2,500m以上では6ヶ月となる (www.mount-lebanon.com) 。","https://ja.wikipedia.org/wiki/クルナ・アッサウダー山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯34度18分00秒東経36度07分00秒","3,088メートル (10,131 ft)m","レバノン","北緯34度18分00秒東経36度07分00秒﻿ / ﻿北緯34.30000度 東経36.11667度﻿ /34.30000; 36.11667","レバノン山脈","","","","","","","","","","","","","","",""
"Deribaカルデラ","[66  スーダンDeribaカルデラ3,042 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Deriba_Caldera","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ソイラ山","[67  エリトリアソイラ山（英語版）3,018 m]","https://ja.wikipedia.org/w/index.php?title=ソイラ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"バジーレ山","[68  赤道ギニアバジーレ山3,008 m] ビオコ島は、 大西洋 から カメルーン へ向かって走る、主要な北西に傾いた地質学上の断層である カメルーン火山列 に沿って形成されている。　この列には、カメルーン山の大規模な 成層火山 や、 アンノボン島 、 プリンシペ島 、 サントメ島 などの ギニア湾 にある別々の火山島が含まれている。","https://ja.wikipedia.org/wiki/バジーレ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯3度35分00秒東経8度46分00秒","3,011m","赤道ギニアビオコ島","北緯3度35分00秒東経8度46分00秒﻿ / ﻿北緯3.58333度 東経8.76667度﻿ /3.58333; 8.76667座標:北緯3度35分00秒東経8度46分00秒﻿ / ﻿北緯3.58333度 東経8.76667度﻿ /3.58333; 8.76667","","","","","","楯状火山","","","","","","","","","",""
"タハト山","[69  アルジェリアタハト山3,003 m] ","https://ja.wikipedia.org/wiki/タハト山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯23度17分00秒東経5度31分00秒","3,003m","アルジェリアタマンラセット県","北緯23度17分00秒東経5度31分00秒﻿ / ﻿北緯23.28333度 東経5.51667度﻿ /23.28333; 5.51667座標:北緯23度17分00秒東経5度31分00秒﻿ / ﻿北緯23.28333度 東経5.51667度﻿ /23.28333; 5.51667","アハガル山地","","","","","","","","","","","","","","",""
"ムランジェ山","[70  マラウイムランジェ山3,002 m] ムランジェ山はマラウイ湖から南におよそ200kmの場所に位置し、 茶 の栽培で有名な ムランジェ 県と パロンベ 県の間、平均標高700mの平野にそびえ立っている  。山の大部分は標高1800mから2200mの盆地で草原地帯となっており  、それに加えていくつかの深い森林に覆われた峡谷が存在する。個々の山々の標高は大半が2500m以上であるが、その中でも特にチャンベピーク（Chambe Peak）西側の山壁は ロッククライミング が必要な垂直距離に関してアフリカで最長を誇る。","https://ja.wikipedia.org/wiki/ムランジェ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯15度56分59秒東経35度35分37秒","3,002 m (9,855 ft)m"," マラウイ南部州","南緯15度56分59秒東経35度35分37秒﻿ / ﻿南緯15.94972度 東経35.59361度﻿ /-15.94972; 35.59361座標:南緯15度56分59秒東経35度35分37秒﻿ / ﻿南緯15.94972度 東経35.59361度﻿ /-15.94972; 35.59361","独立峰","","","","","","","","","","","","","","",""
"ネブリナ山","[72  ブラジルネブリナ山2,994 m[1] 1962年にこの山が発見されるまでは、 バンデイラ山 がブラジルの最高峰とされていた。","https://ja.wikipedia.org/wiki/ネブリナ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯0度48分17秒西経66度00分24秒","3,014 m(9,888 ft)","ブラジル、アマゾナス州","","","1965","2,886メートル (9,469 ft)","","イメリ山脈","","931キロメートル (578 mi)","","","","","","","","",""
"シャムス山","[73  オマーンシャムス山2,980 m] 山頂から峡谷を見下ろす","https://ja.wikipedia.org/wiki/シャムス山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯23度14分13秒東経57度15分50秒","2,980 to 3,075 m(9,777 to 10,089 ft)"," オマーン","","","","2,818 m(9,245 ft) 世界110位","国内最高峰ウルトラ・プロミネント峰","ハジャール山地","","523キロメートル (325 mi)","","","","","","","","",""
"タタマイラウ山","[74  東ティモールタタマイラウ山2,963 m] 首都の ディリ から南に約70kmの所である アイナロ県 に位置する。 ポルトガル の植民地時代の 20世紀 にはポルトガルの最高峰と呼ばれていた。この時代以降のポルトガル領の最高峰となった ピコ山 はより控えめな高さである。英語では \" Mount Ramelau \" と呼ばれることもある。 \"Tatamailau\" は現地語である マンバイ語 が語源であり、「全ての祖父」という意味を持つ。","https://ja.wikipedia.org/wiki/タタマイラウ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯8度54分24秒東経125度29分36秒","2963m","東ティモールアイナロ県","南緯8度54分24秒東経125度29分36秒﻿ / ﻿南緯8.90667度 東経125.49333度﻿ /-8.90667; 125.49333座標:南緯8度54分24秒東経125度29分36秒﻿ / ﻿南緯8.90667度 東経125.49333度﻿ /-8.90667; 125.49333","","","","","","","","","","","","","","","",""
"ツークシュピッツェ","[75  ドイツツークシュピッツェ2,962 m] 山名の“ Zugspitze ”とは ドイツ語 で「峰の連なり」もしくは「連なる峰」の意。","https://ja.wikipedia.org/wiki/ツークシュピッツェ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯47度25分16秒東経10度59分05秒","2962m","ドイツ・オーストリア国境","北緯47度25分16秒東経10度59分05秒﻿ / ﻿北緯47.42111度 東経10.98472度﻿ /47.42111; 10.98472","バイエリッシュ・アルペン山脈","ジョセフ・ナウス（1820年）","","","","","","","","","","","","","",""
"アポ山","[76  フィリピンアポ山2,954 m] アポ山は昔、北隣の タロモ山 と同じ一つの火山であった。しかし爆発によって頂上部を失い、さらにその後の爆発により別々の山になったと考えられている。有史以降、現在に至るまで噴火の記録はない。","https://ja.wikipedia.org/wiki/アポ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯6度59分15秒東経125度16分15秒","2,954m","フィリピン","北緯6度59分15秒東経125度16分15秒﻿ / ﻿北緯6.98750度 東経125.27083度﻿ /6.98750; 125.27083座標:北緯6度59分15秒東経125度16分15秒﻿ / ﻿北緯6.98750度 東経125.27083度﻿ /6.98750; 125.27083","","1880年","","","","","","","","","","","","","",""
"コマ・ペドローザ","[77  アンドラコマ・ペドローザ2,946 m] ","https://ja.wikipedia.org/wiki/コマ・ペドローザ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯42度35分26秒東経1度26分41秒","2,943m","アンドラ","北緯42度35分26秒東経1度26分41秒﻿ / ﻿北緯42.59056度 東経1.44472度﻿ /42.59056; 1.44472座標:北緯42度35分26秒東経1度26分41秒﻿ / ﻿北緯42.59056度 東経1.44472度﻿ /42.59056; 1.44472","ピレネー山脈","","","","","","","","","","","","","","",""
"ムサラ山","[79  ブルガリアムサラ山2,925 m] 高山に生息する鳥類の カベバシリ をヨーロッパで最も簡単に見つけることができ、中斜面域の森に植生するマケドニアマツやブルガリアモミなど豊かな動植物の種を含むことで知られるリラ国立公園の内部にムサラ山は位置している。ムサラ山は、ブルガリアのすべての主要な山脈を見下ろすことができる。西方のリラ山脈はもちろんのこと、北西のヴィトシャ、北東の スレドナ・ゴラ山脈 、ヴィトシャとスレドナ・ゴラの奥の北の地平線に沿った バルカン山脈 、南東の ロドピ山脈 、南のピリン山脈のほか、マケドニア国境のオソガボとセルビア国境のルイ山も含まれる。","https://ja.wikipedia.org/wiki/ムサラ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯42度10分47秒東経23度35分12秒","2,925 m(9,596 ft)","ブルガリアソフィア州","","","","2,473 m(8,114 ft)","国内最高峰","リラ山脈","","881キロメートル (547 mi)","","ボロヴェッツからゴンドラリフトを経て徒歩","","","","","","",""
"オリンポス山","[80  ギリシャオリンポス山2,919 m] 山麓が海面近くのため、 プロミネンス （山麓からの比高）が2,355 mと、ヨーロッパで最も高い山の一つである。ギリシャ第二の都市 テッサロニキ から テルマイコス湾 をはさんで南西80kmのところにある。","https://ja.wikipedia.org/wiki/オリンポス山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯40度05分00秒東経22度21分00秒","2,917m","ギリシャ","北緯40度05分00秒東経22度21分00秒﻿ / ﻿北緯40.08333度 東経22.35000度﻿ /40.08333; 22.35000","","","","","","","","","","","","","","","",""
