"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","法人番号","人口密度","市の花","市長","市の木","位置","郡","他のシンボル","町の花","標高"
"諏訪地域","[諏訪温泉（長野県）] 諏訪地域 （すわちいき）は、 長野県 南信地方 の 諏訪市 、 岡谷市 、 茅野市 を中心とした地域。県を10地域に分ける時に用いられる  。旧 諏訪郡 全体と一致している。","https://ja.wikipedia.org/wiki/諏訪地域","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤石山脈","[南アルプス（山梨県・長野県）] 赤石山脈 （あかいしさんみゃく）は、 長野県 、 山梨県 、 静岡県 に跨って連なる 山脈 。通称 南アルプス とも呼ばれ、 飛驒山脈 （北アルプス）、 木曽山脈 （中央アルプス）と共に 日本アルプス と呼ばれることもある。","https://ja.wikipedia.org/wiki/赤石山脈","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度40分30秒東経138度14分19秒","日本長野県・山梨県・静岡県","","","","","","","","","","","","","","北緯35度40分30秒東経138度14分19秒﻿ / ﻿北緯35.67500度 東経138.23861度﻿ /35.67500; 138.23861","","","",""
"美ヶ原","[美ヶ原高原（長野県）] 美ヶ原 （うつくしがはら）は、 八ヶ岳中信高原国定公園 北西部にある 長野県 松本市 、 上田市 、 小県郡 長和町 にまたがる 高原 。 日本百名山 の一つ。","https://ja.wikipedia.org/wiki/美ヶ原","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度13分32.8685秒東経138度6分26.7915秒","長野県松本市・上田市・小県郡長和町","","","","","","","","","","","","","","北緯36度13分32.8685秒東経138度6分26.7915秒﻿ / ﻿北緯36.225796806度 東経138.107442083度﻿ /36.225796806; 138.107442083","","","","2034.34（王ヶ頭）m"
"乾徳山","[乾徳山・西沢渓谷（山梨県）] 乾徳山 （けんとくさん）は、 山梨県 山梨市 にある標高2,031mの 山 で、 奥秩父 の山域にある。","https://ja.wikipedia.org/wiki/乾徳山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度49分23秒東経138度42分54秒","山梨県山梨市","","","","","","","","","","","","","","北緯35度49分23秒東経138度42分54秒﻿ / ﻿北緯35.82306度 東経138.71500度﻿ /35.82306; 138.71500","","","","2,031m"
"安曇野","[安曇野（長野県）] 安曇野 （ 現代仮名遣い :あずみの、 歴史的仮名遣い :あづみの）は、 長野県 中部（ 中信地方 ）にある 松本盆地 のうち、 梓川 ・ 犀川 の西岸（押野崎以南）から 高瀬川 流域の最南部にかけて広がる扇状地全体を総括している。","https://ja.wikipedia.org/wiki/安曇野","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上高地","[上高地・北アルプス（長野県・岐阜県）] 上高地 （かみこうち）とは、 長野県 西部の 飛騨山脈 南部の 梓川 上流の 景勝地 である。 中部山岳国立公園 の一部ともなっており、国の 文化財 （ 特別名勝 ・ 特別天然記念物 ）に指定されている。 標高 約1,500 m 。全域が 松本市 に属する。「かみこうち」の名称は本来「神垣内」の 漢字 表記だが、後に現在の「上高地」の漢字表記が一般的となった。「神垣内」とは、 穂高神社 の祭神・「 穂高見命 」（ほたかみのみこと）が穂高岳に降臨し、この地（穂高神社奥宮と 明神池 ）で祀られていることに由来する。","https://ja.wikipedia.org/wiki/上高地","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"軽井沢","[軽井沢（長野県）] 軽井沢 （かるいざわ）は、 長野県 東信地方 の 佐久地域 にある地名である。一般的に長野県 北佐久郡 軽井沢町 の 旧軽井沢 地区（ ウィキ座標 、 旧軽井沢メインストリート も参照）、あるいは軽井沢町全体を指す。日本有数の 避暑地 で、 リゾートホテル や ペンション 、 別荘 、 保養所 などが多数存在する。","https://ja.wikipedia.org/wiki/軽井沢","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐渡島","[佐渡（新潟県）] 佐渡島 （さどがしま    、さどしま   ）は、 新潟県 西方沖に位置する 島 。全域が 新潟県 佐渡市 に属し、 佐渡弥彦米山国定公園 、 佐渡ジオパーク に含まれる。 人口 は52,135人（2020年5月1日現在）。","https://ja.wikipedia.org/wiki/佐渡島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯38度2分0秒東経138度22分0秒","日本（新潟県）","854.76km²","","","","","","","","","","","","","","","","",""
"日本平","[日本平（静岡県）] 日本平 （にほんだいら）は、 静岡県 静岡市 駿河区 と 清水区 の境界にある 丘陵 地、および 景勝地 である。名称は 日本武尊 （やまとたけるのみこと）伝説に由来する。","https://ja.wikipedia.org/wiki/日本平","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度58分25.582秒東経138度27分56.664秒","日本静岡県静岡市駿河区・清水区","","","","","","","","","","","","","","北緯34度58分25.582秒東経138度27分56.664秒﻿ / ﻿北緯34.97377278度 東経138.46574000度﻿ /34.97377278; 138.46574000座標:北緯34度58分25.582秒東経138度27分56.664秒﻿ / ﻿北緯34.97377278度 東経138.46574000度﻿ /34.97377278; 138.46574000","","","","307m"
"三保の松原","[三保の松原（静岡県）] 三保松原 （みほのまつばら）は、 静岡県 静岡市 清水区 の 三保半島 にある景勝地。その美しさから 日本新三景 （ 大沼 、三保の松原、 耶馬溪 ）、 日本三大松原 （三保の松原、 虹の松原 、 気比の松原 ）のひとつとされ、国の 名勝 に指定されている  。また、 ユネスコ の 世界文化遺産 「 富士山-信仰の対象と芸術の源泉 」の構成資産に登録されている。また、2020年（令和2年）6月19日には、 文化庁 の「 日本遺産 」のストーリー『日本初「旅ブーム」を起こした弥次さん喜多さん、駿州の旅～滑稽本と浮世絵が描く東海道旅のガイドブック（道中記）～』の構成文化財の1つに認定された  。","https://ja.wikipedia.org/wiki/三保の松原","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高山市","[飛騨高山（岐阜県）] ","https://ja.wikipedia.org/wiki/高山市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度8分45.7秒東経137度15分7.8秒","〒506-8555岐阜県高山市花岡町二丁目18番地北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167座標:北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167","2,177.61km2","日本","公式ウェブサイト","岐阜県","中部地方、東海地方","21203-2","83,637人（推計人口、2021年5月1日）","飛騨市、郡上市、下呂市、大野郡白川村長野県：大町市、松本市、木曽郡木曽町富山県富山市石川県白山市福井県大野市","6000020212032","38.4人/km2","こばのみつばつつじ","國島芳明","いちい","","","","",""
"富士山","[富士山（静岡県・山梨県）] 富士山 （ふじさん、 英語 : Mount Fuji ）は、 山梨県 （ 富士吉田市 、 南都留郡 鳴沢村 ）と、 静岡県 （ 富士宮市 、 裾野市 、 富士市 、 御殿場市 、 駿東郡 小山町 ）に跨る 活火山 である  。 標高 3776.12 m 、 日本最高峰 （ 剣ヶ峰 ）  の 独立峰 で、その優美な風貌は日本国外でも 日本 の 象徴 として広く知られている。数多くの芸術作品の題材とされ芸術面のみならず、気候や地層など地質学的にも社会的に大きな影響を与えている。懸垂曲線の山容を有した玄武岩質成層火山で構成され、その山体は 駿河湾 の海岸まで及ぶ。","https://ja.wikipedia.org/wiki/富士山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","","","","","","","","","","","","","","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","","","","3,776.12m"
"伊東温泉","[伊東温泉（静岡県）] 伊東温泉 （いとうおんせん）は、 静岡県 伊東市 （旧国 伊豆国 ）にある 温泉 。 ハトヤホテル のCMで全国的に有名である。","https://ja.wikipedia.org/wiki/伊東温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度59分25秒東経139度05分02秒","静岡県伊東市","","","伊東市・伊東観光協会","","","","","","","","","","","","","","",""
"白川郷","[白川郷（岐阜県）] 白川郷 （しらかわごう）は、 岐阜県 内の 庄川 流域の呼称である。","https://ja.wikipedia.org/wiki/白川郷","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥飛騨温泉郷","[奥飛騨温泉郷（岐阜県）] 奥飛騨温泉郷 （おくひだおんせんごう）は、 岐阜県 高山市 （旧国 飛騨国 ）にある5つの 温泉 の総称（ 温泉郷 ）である。 平湯温泉 、 福地温泉 、 新平湯温泉 、 栃尾温泉 、 新穂高温泉 から構成されている。","https://ja.wikipedia.org/wiki/奥飛騨温泉郷","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"犬山市","[犬山・明治村・日本ライン（愛知県・岐阜県）] ","https://ja.wikipedia.org/wiki/犬山市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度22分43秒東経136度56分40.2秒","〒484-8501愛知県犬山市大字犬山字東畑36北緯35度22分43秒東経136度56分40.2秒﻿ / ﻿北緯35.37861度 東経136.944500度﻿ /35.37861; 136.944500座標:北緯35度22分43秒東経136度56分40.2秒﻿ / ﻿北緯35.37861度 東経136.944500度﻿ /35.37861; 136.944500","74.90km2","日本","公式ウェブサイト","愛知県","中部地方、東海地方","23215-7","72,696人（推計人口、2021年5月1日）","春日井市、小牧市、丹羽郡大口町、扶桑町岐阜県：多治見市、各務原市、可児市、加茂郡坂祝町","3000020232157","971人/km2","サクラ","山田拓郎","カナメモチ","","","なし","",""
"寸又峡","[寸又峡（静岡県）] 寸又峡 （すまたきょう）は 静岡県 中部、 川根本町 にある 大井川 支流、 寸又川 の 峡谷 。全長16kmで、比高は100mに達する。","https://ja.wikipedia.org/wiki/寸又峡","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御前崎","[御前崎（静岡県）] 御前崎 （おまえざき）は、 静岡県 御前崎市 御前崎に属し、東に 駿河湾 を、南に 遠州灘 を望む 岬 。静岡県では島嶼を除けば最南端である。","https://ja.wikipedia.org/wiki/御前崎","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","日本","","静岡県","","","","","","","","","","","","","",""
"熱海温泉","[熱海温泉（静岡県）] 熱海温泉 （あたみおんせん）は、 静岡県 熱海市 にある 温泉 である。日本の 三大温泉 の一つとも言われる。","https://ja.wikipedia.org/wiki/熱海温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度06分04秒東経139度04分01秒","静岡県熱海市","","","熱海市観光協会","","","","","","","","","","","","","","",""
"伊勢市","[伊勢・二見（三重県）] ","https://ja.wikipedia.org/wiki/伊勢市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度29分15秒東経136度42分33.5秒","〒516-0037三重県伊勢市岩渕一丁目7番29号北緯34度29分15秒東経136度42分33.5秒﻿ / ﻿北緯34.48750度 東経136.709306度﻿ /34.48750; 136.709306座標:北緯34度29分15秒東経136度42分33.5秒﻿ / ﻿北緯34.48750度 東経136.709306度﻿ /34.48750; 136.709306市庁舎位置","208.35km2","日本","公式ウェブサイト","三重県","東海地方、近畿地方","24203-9","122,738人（推計人口、2021年1月1日）","鳥羽市、志摩市、度会郡南伊勢町、度会町、玉城町、多気郡明和町","5000020242039","589人/km2","オヤネザクラ","鈴木健一","オガタマノキ","","","","",""
"金沢市","[金沢（石川県）] ","https://ja.wikipedia.org/wiki/金沢市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度33分39.8秒東経136度39分23.4秒","〒920-8577石川県金沢市広坂一丁目1番1号北緯36度33分39.8秒東経136度39分23.4秒﻿ / ﻿北緯36.561056度 東経136.656500度﻿ /36.561056; 136.656500座標:北緯36度33分39.8秒東経136度39分23.4秒﻿ / ﻿北緯36.561056度 東経136.656500度﻿ /36.561056; 136.656500","468.64km2","日本","公式ウェブサイト","石川県","中部地方、北陸地方","17201-4","462,628人（推計人口、2021年6月1日）","白山市、野々市市、河北郡津幡町、内灘町富山県：小矢部市、南砺市","4000020172014","987人/km2","花菖蒲サルビア四季咲きベゴニアインパチェンスゼラニウム（すべて推奨花）","山野之義","梅","","","","",""
"能登半島","[能登半島（石川県）] 能登半島 （のとはんとう）とは、 北陸地方 の中央付近から 日本海 へ北に向けて突き出した 半島 である。日本における日本海側海岸線で最も突出面積が大きい半島である。 近世 以前は、多くが 能登国 であったため、こう呼ばれる。","https://ja.wikipedia.org/wiki/能登半島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯37度15分23.6秒東経136度52分43.1秒","","","","","","","","","","","","","","","","","","",""
"氷見市","[氷見（富山県）] ","https://ja.wikipedia.org/wiki/氷見市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度51分24秒東経136度58分23秒","〒935-8686富山県氷見市鞍川1060番地北緯36度51分24秒東経136度58分23秒﻿ / ﻿北緯36.85667度 東経136.97306度﻿ /36.85667; 136.97306","230.56km2","日本","公式ウェブサイト","富山県","中部地方、北陸地方","16205-1","43,347人（推計人口、2021年6月1日）","高岡市石川県：七尾市、羽咋市、羽咋郡宝達志水町、鹿島郡中能登町","9000020162051","188人/km2","ユリ","林正之","ツツジ","","","","",""
"和倉温泉","[和倉温泉（石川県）] 和倉温泉 （わくらおんせん）は、 石川県 七尾市 に位置する 温泉 である。","https://ja.wikipedia.org/wiki/和倉温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯37度5分12秒東経136度55分6秒","石川県七尾市和倉町和倉温泉石川県の地図を表示和倉温泉日本の地図を表示","","","和倉温泉～わくらづくし～（和倉温泉観光協会HP）","","","","","","","","","","","","","","",""
"立山","[立山（富山県）] 立山 （たてやま）は、 日本 の 飛騨山脈 （北アルプス）北部、 中部山岳国立公園 を代表する雄大な群峰・連峰群である  。 立山連峰 と 後立山連峰 からなる複列連峰である。特に、立山連峰では、雄峰立山七十二峰八千八谷と謳われ、古来より信仰  の対象として神々が宿る精神的な山々の空間を 立山 と称した。仏教観の 須弥山 。古くは多知夜麻（たちやま）とも立山（りゅうさん・りゅうせん）とも称された。国文学表現の植(う)うる剣とも太刀の峯とも謳われる。","https://ja.wikipedia.org/wiki/立山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯36度34分33秒東経137度37分11秒","富山県中新川郡立山町芦峅寺","","","","","","","","","","","","","","北緯36度34分33秒東経137度37分11秒﻿ / ﻿北緯36.57583度 東経137.61972度﻿ /36.57583; 137.61972","","","","3,015m"
"黒部峡谷","[黒部峡谷（富山県）] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五箇山","[五箇山（富山県）] 五箇山 （ごかやま）は、 富山県 の南西端にある 南砺市 の旧 平村 、旧 上平村 、旧 利賀村 を合わせた地域を指す。","https://ja.wikipedia.org/wiki/五箇山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"武生市","[武生（福井県）] 武生市 （たけふし）は、かつて 福井県 中部にあった 市 。 福井市 に次いで福井県第2の人口を有していた。","https://ja.wikipedia.org/wiki/武生市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度54分12秒東経136度10分07秒","〒915-8530福井県武生市府中1丁目13-7（現在の越前市府中1丁目13-7）","185.32km2","日本","","福井県","中部地方、北陸地方","18203-6","74,068人（2004年3月1日）","鯖江市・今立町・池田町南越前町・越前町","","","キク","","タケ","","","-","",""
"姫路市","[姫路（兵庫県）] ","https://ja.wikipedia.org/wiki/姫路市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度48分54.6秒東経134度41分7.4秒","〒670-8501兵庫県姫路市安田四丁目1番地北緯34度48分54.6秒東経134度41分7.4秒﻿ / ﻿北緯34.815167度 東経134.685389度﻿ /34.815167; 134.685389座標:北緯34度48分54.6秒東経134度41分7.4秒﻿ / ﻿北緯34.815167度 東経134.685389度﻿ /34.815167; 134.685389市庁舎位置","534.48km2","日本","www.city.himeji.lg.jp","兵庫県","近畿地方","28201-4","528,581人（推計人口、2021年6月1日）","加古川市、高砂市、加西市、たつの市、宍粟市、揖保郡太子町、神崎郡福崎町、神河町、市川町（海上で隣接）相生市、赤穂市香川県：小豆郡小豆島町岡山県：備前市","1000020282014","989人/km2","サギソウ","清元秀泰","カシ","","","","",""
"京都市","[京都（京都府）] ","https://ja.wikipedia.org/wiki/京都市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯35度0分41.8秒東経135度46分5.2秒","〒604-8571京都府京都市中京区寺町通御池上る上本能寺前町488番地北緯35度0分41.8秒東経135度46分5.2秒﻿ / ﻿北緯35.011611度 東経135.768111度﻿ /35.011611; 135.768111﻿ (京都市)座標:北緯35度0分41.8秒東経135度46分5.2秒﻿ / ﻿北緯35.011611度 東経135.768111度﻿ /35.011611; 135.768111﻿ (京都市)","827.83km2","日本","京都市情報館","京都府","近畿地方","26100-9","1,459,583人（推計人口、2021年6月1日）","宇治市長岡京市南丹市亀岡市向日市八幡市乙訓郡大山崎町久世郡久御山町滋賀県大津市高島市大阪府高槻市三島郡島本町","2000020261009","1,763人/km2","ツバキツツジサトザクラ","門川大作","シダレヤナギタカオカエデカツラ","","","","",""
"生駒山","[生駒山（大阪府・奈良県）] 生駒山 （いこまやま・いこまさん）は、 奈良県 生駒市 と 大阪府 東大阪市 との県境にある 標高 642mの 山 。 生駒山地 の主峰である。","https://ja.wikipedia.org/wiki/生駒山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度40分42.4533秒東経135度40分44.3796秒","奈良県生駒市菜畑町大阪府東大阪市山手町","","","","","","","","","","","","","","北緯34度40分42.4533秒東経135度40分44.3796秒﻿ / ﻿北緯34.678459250度 東経135.678994333度﻿ /34.678459250; 135.678994333座標:北緯34度40分42.4533秒東経135度40分44.3796秒﻿ / ﻿北緯34.678459250度 東経135.678994333度﻿ /34.678459250; 135.678994333","","","","641.99m"
"串本町","[串本（和歌山県）] ","https://ja.wikipedia.org/wiki/串本町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度28分21秒東経135度46分53.3秒","〒649-3592和歌山県東牟婁郡串本町串本1800番地北緯33度28分21秒東経135度46分53.3秒﻿ / ﻿北緯33.47250度 東経135.781472度﻿ /33.47250; 135.781472﻿ (串本町)座標:北緯33度28分21秒東経135度46分53.3秒﻿ / ﻿北緯33.47250度 東経135.781472度﻿ /33.47250; 135.781472﻿ (串本町)","135.67km2（境界未定部分あり）","日本","公式ウェブサイト","和歌山県","近畿地方","30428-0","14,803人（推計人口、2021年6月1日）","東牟婁郡古座川町、那智勝浦町、西牟婁郡すさみ町","9000020304280","109人/km2","","","","","東牟婁郡","","モチノキ",""
"南紀白浜温泉","[白浜温泉（和歌山県）] 南紀白浜温泉 （なんきしらはまおんせん）、もしくは 白浜温泉 （しらはまおんせん）は 和歌山県 西牟婁郡 白浜町 にある 温泉 である。かつては 熱海温泉 、 別府温泉 と並んで「日本三大温泉」と言われていた。温泉として非常に歴史が古く、 日本三古湯 のひとつに数えられ、古い文献では 牟婁の湯 と呼ばれていた。広義での白浜は 温泉郷 であり、さらに湯崎、大浦、古賀浦、綱不知、白浜、更に近年は東白浜、新白浜を加え7ヶ所の温泉地に細分できる。 白良浜 を中心に海岸沿いに温泉施設、宿泊施設が広がっており、周辺には多くの観光地もあるリゾートとなっている。 紀勢自動車道 の 南紀白浜インターチェンジ や 南紀白浜空港 もあり遠方からの交通の便もよい。","https://ja.wikipedia.org/wiki/南紀白浜温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度40分34秒東経135度20分16秒","和歌山県西牟婁郡白浜町南紀白浜温泉和歌山駅和歌山県地図","","","南紀白浜温泉（白浜観光協会）","","","","","","","","","","","","","","",""
"奈良市","[奈良（奈良県）] 〒 630-8580 奈良県奈良市二条大路南一丁目1番1号  .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度41分6秒 東経135度48分17.2秒 ﻿ / ﻿ 北緯34.68500度 東経135.804778度 ﻿ / 34.68500; 135.804778 ﻿ ( 奈良市 ) 座標 : 北緯34度41分6秒 東経135度48分17.2秒 ﻿ / ﻿ 北緯34.68500度 東経135.804778度 ﻿ / 34.68500; 135.804778 ﻿ ( 奈良市 )","https://ja.wikipedia.org/wiki/奈良市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度41分6秒東経135度48分17.2秒","〒630-8580奈良県奈良市二条大路南一丁目1番1号北緯34度41分6秒東経135度48分17.2秒﻿ / ﻿北緯34.68500度 東経135.804778度﻿ /34.68500; 135.804778﻿ (奈良市)座標:北緯34度41分6秒東経135度48分17.2秒﻿ / ﻿北緯34.68500度 東経135.804778度﻿ /34.68500; 135.804778﻿ (奈良市)市庁舎位置","276.94km2","日本","公式ウェブサイト","奈良県","近畿地方","29201-0","352,198人（推計人口、2021年6月1日）","生駒市、大和郡山市、天理市、桜井市、宇陀市、山辺郡山添村京都府：木津川市、相楽郡笠置町、精華町、南山城村三重県伊賀市","4000020292010","1,272人/km2","ナラノヤエザクラ","仲川元庸","イチイガシ","","","","",""
"那智勝浦町","[那智・勝浦（和歌山県）] 地理院地図 Google Bing GeoHack MapFan Mapion Yahoo! NAVITIME ゼンリン","https://ja.wikipedia.org/wiki/那智勝浦町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度37分33.8秒東経135度56分27.8秒","〒649-5392和歌山県東牟婁郡那智勝浦町大字築地七丁目1番地1北緯33度37分33.8秒東経135度56分27.8秒﻿ / ﻿北緯33.626056度 東経135.941056度﻿ /33.626056; 135.941056﻿ (那智勝浦町)座標:北緯33度37分33.8秒東経135度56分27.8秒﻿ / ﻿北緯33.626056度 東経135.941056度﻿ /33.626056; 135.941056﻿ (那智勝浦町)","183.31km2（境界未定部分あり）","日本","公式ウェブサイト","和歌山県","近畿地方","30421-2","13,984人（推計人口、2021年6月1日）","新宮市、東牟婁郡太地町、串本町、古座川町","3000020304212","76.3人/km2","","","","","東牟婁郡","","ツツジ",""
"紀伊路","[中辺路（和歌山県）] 紀伊路 （きいじ、古くは 紀路 〈きじ〉とも）は、 熊野三山 への参詣道・ 熊野古道 のひとつ。","https://ja.wikipedia.org/wiki/紀伊路","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神戸市","[神戸（兵庫県）] ","https://ja.wikipedia.org/wiki/神戸市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度41分24.6秒東経135度11分43.6秒","〒650-8570兵庫県神戸市中央区加納町六丁目5番1号北緯34度41分24.6秒東経135度11分43.6秒﻿ / ﻿北緯34.690167度 東経135.195444度﻿ /34.690167; 135.195444﻿ (神戸市)座標:北緯34度41分24.6秒東経135度11分43.6秒﻿ / ﻿北緯34.690167度 東経135.195444度﻿ /34.690167; 135.195444﻿ (神戸市)市庁舎位置","557.02km2（境界未定部分あり）","日本","公式ウェブサイト","兵庫県","近畿地方","28100-0","1,522,188人（推計人口、2021年6月1日）","明石市、三木市、三田市、宝塚市、西宮市、芦屋市、加古郡稲美町、淡路市（海上で隣接）","9000020281000","2,733人/km2","アジサイ","久元喜造","サザンカ","","","","",""
"鳥取砂丘","[鳥取砂丘（鳥取県）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度32分33秒 東経134度13分49秒 ﻿ / ﻿ 北緯35.54250度 東経134.23028度 ﻿ / 35.54250; 134.23028","https://ja.wikipedia.org/wiki/鳥取砂丘","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩国市","[岩国（山口県）] ","https://ja.wikipedia.org/wiki/岩国市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度9分59.7秒東経132度13分7.8秒","〒740-8585山口県岩国市今津町一丁目14番51号北緯34度9分59.7秒東経132度13分7.8秒﻿ / ﻿北緯34.166583度 東経132.218833度﻿ /34.166583; 132.218833﻿ (岩国市)座標:北緯34度9分59.7秒東経132度13分7.8秒﻿ / ﻿北緯34.166583度 東経132.218833度﻿ /34.166583; 132.218833﻿ (岩国市)市庁舎位置","873.72km2","日本","公式ウェブサイト","山口県","中国地方中国・四国地方","35208-0","128,019人（推計人口、2021年6月1日）","光市、柳井市、周南市、玖珂郡和木町、熊毛郡田布施町広島県：大竹市、廿日市市島根県：益田市、鹿足郡吉賀町","1000020352080","147人/km2","","福田良彦","","","","","",""
