"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"湯瀬温泉","[湯瀬温泉] 湯瀬温泉 （ゆぜおんせん）は、 秋田県 鹿角市 （旧国 陸奥国 、明治以降は 陸中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/湯瀬温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度7分21.3秒東経140度50分10.7秒","秋田県鹿角市八幡平字湯瀬","単純温泉","鉄道：JR花輪線湯瀬温泉駅下車","58°C","","","アルカリ性","","","","","","","","","","","",""
"日景温泉","[日景温泉] 日景温泉 （ひかげおんせん）は、 秋田県 大館市 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。 青森県 との県境である 矢立峠 近くの 天然秋田杉 の林の中に位置する一軒宿。","https://ja.wikipedia.org/wiki/日景温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度25分18.6秒東経140度36分29.3秒","秋田県大館市長走字長走37","含硫黄-ナトリウム-塩化物泉","鉄道：奥羽本線陣場駅より車で約5分車：東北自動車道碇ヶ関ICより約10分","41.3°C","","","中性","6.4","170L/分（動力揚湯）","等張性","","飲泉可","","","","","","",""
"矢立温泉","[矢立温泉] 矢立温泉 （やたておんせん）は、 秋田県 大館市 （旧国 出羽国 、 明治 以降は 羽後国 ）でかつて営業していた 温泉 。 青森県 との県境である 矢立峠 の直下にある。","https://ja.wikipedia.org/wiki/矢立温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度25分6.27秒東経140度37分2.28秒","秋田県大館市長走字赤湯沢1","含塩化物鉄泉","奥羽本線大館駅より路線バス矢立ハイツ行きで約30分","29.4°C","矢立温泉赤湯","1","中性","7.0","131L/分（自噴）","高張性","","","","","","","","",""
"道の駅やたて峠","[矢立峠温泉] 道の駅やたて峠 （みちのえき やたてとうげ）は、 秋田県 大館市 にある 国道7号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅やたて峠","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度25分15秒東経140度37分30秒","〒017-0001秋田県大館市長走字陣場311","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","7:00-21:00","","国道7号","第8回（05004）","1995年4月11日"
"男鹿温泉郷","[男鹿温泉郷] 男鹿温泉郷 （おがおんせんきょう）は、 秋田県 男鹿市 （旧国 出羽国 、 明治 以降は 羽後国 ）、 入道崎 の東側にある北浦地区を中心とした 温泉郷 である。","https://ja.wikipedia.org/wiki/男鹿温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度58分24.2秒東経139度44分32.0秒","秋田県男鹿市北浦湯本","","鉄道 :JR男鹿線羽立駅から路線バスで約45分","","男鹿温泉郷協同組合男鹿グランドホテル","","","","","","","","","","","","","",""
"森岳温泉","[森岳温泉] 森岳温泉 （もりたけおんせん）は、 秋田県 山本郡 三種町 にある 温泉 である。泉質は ナトリウム・カルシウム塩化物泉 で、塩分が強いため「しょっぱい温泉」といわれる  。数件の旅館と飲食店が連なり、「森岳温泉郷」として親しまれている。2020年には観光客向けに無料開放されている「かっぱの足湯」が再整備された。","https://ja.wikipedia.org/wiki/森岳温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度5分17.55秒東経140度5分30.47秒","秋田県山本郡三種町森岳","ナトリウム・カルシウム塩化物泉","鉄道：奥羽本線森岳駅より秋田県道4号経由車で約5分","58.6°C","","7","","","","","","","","","","","","",""
"秋田温泉","[秋田温泉] 秋田温泉 （あきたおんせん）は、 秋田県 秋田市 にある 温泉 。","https://ja.wikipedia.org/wiki/秋田温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度44分59.9秒東経140度7分55.8秒","秋田市添川字境内川原142","ナトリウム - 塩化物 - 炭酸水素塩泉","鉄道：秋田新幹線、奥羽本線、羽越本線で秋田駅下車、西口よりバスで「温泉入口」下車。約20分","41.5°C","","2","","","","","","","","","","","","",""
"滝温泉","[滝温泉] 滝温泉 （たきおんせん）は、 秋田県 由利本荘市 （旧国 出羽国 、 明治 以降は 羽後国 ）でかつて営業した 温泉 。2013年3月に閉館した。","https://ja.wikipedia.org/wiki/滝温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度21分18.0秒東経140度14分0.7秒","秋田県由利本荘市滝字湯の沢30","塩化物泉","バス : 路線バス（羽後交通）で羽越本線羽後本荘駅より約80分。また、羽後岩谷駅より約50分","","","1","","","","","","","","","","","","",""
"かすみ温泉 (存在しないページ)","[かすみ温泉]","https://ja.wikipedia.org/w/index.php?title=かすみ温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯ノ岱温泉 (秋田県)","[湯ノ岱温泉] 湯ノ岱温泉 （ゆのたいおんせん）は、 秋田県 北秋田市 小森 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/湯ノ岱温泉_(秋田県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度10分32.2秒東経140度28分34.5秒","秋田県北秋田市小森字湯ノ岱67番地1","含食塩石膏泉","奥羽本線および秋田内陸縦貫鉄道秋田内陸線鷹ノ巣駅（鷹巣駅）より路線バスで約25分","37.8°C","","1","","7.6","43L（毎分）","","","","","","","","","",""
"象潟温泉","[象潟温泉] 象潟温泉 （きさかたおんせん）は、 秋田県 にかほ市 象潟町（旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/象潟温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","秋田県にかほ市象潟","硫黄泉、ナトリウム - 塩化物泉","鉄道 :羽越本線象潟駅より路線バスで約5分","15、41","","3","","7.6","322L（毎分）","","","","","","","","","",""
"仁賀保温泉","[仁賀保温泉] 仁賀保温泉 （にかほおんせん）とは、 秋田県 にかほ市 三森（旧国 出羽国 、 明治 以降の旧 羽後国 ）にある温泉。","https://ja.wikipedia.org/wiki/仁賀保温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度17分0秒東経139度56分33.8秒","秋田県にかほ市三森","鉱泉","鉄道:羽越本線仁賀保駅からタクシーで約5分車:山形自動車道酒田インターチェンジから国道7号を経由","","","","","","","","","","","","","","","",""
"大滝温泉 (秋田県)","[大滝温泉] 大滝温泉 （おおたきおんせん）は、 秋田県 大館市 （旧国 出羽国 、明治以降は旧 羽後国 ）にある温泉。","https://ja.wikipedia.org/wiki/大滝温泉_(秋田県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度12分48.2秒東経140度38分34.7秒","秋田県大館市十二所","硫酸塩・塩化物泉","鉄道 :花輪線大滝温泉駅下車路線バス :秋北バス大館 - 花輪線・大滝温泉町バス停下車","","大滝温泉郷","7","","","","","","","","","","","","",""
"大葛温泉","[大葛温泉] 大葛温泉 （おおくぞおんせん）は、 秋田県 大館市 比内町大葛 （旧国 出羽国 、明治以降は 羽後国 ）にある 温泉 。近くに 大葛金山 がある。","https://ja.wikipedia.org/wiki/大葛温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度7分40.6秒東経140度40分43.8秒","秋田県大館市比内町大葛字金山入口","カルシウム・ナトリウム - 硫酸塩泉","鉄道 :花輪線扇田駅からバスで約40分","42.2°C","","2","","","580L/分","","90 人/日","","","","","","","",""
"強首温泉郷","[強首温泉郷] 強首温泉郷（こわくびおんせんきょう） とは 秋田県 大仙市 にある 温泉郷 である。","https://ja.wikipedia.org/wiki/強首温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"猿倉温泉 (由利本荘市)","[猿倉温泉] 猿倉温泉 （さるくらおんせん）は、 秋田県 由利本荘市 鳥海町 猿倉にある 温泉 である。","https://ja.wikipedia.org/wiki/猿倉温泉_(由利本荘市)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度10分5.59秒東経140度8分0.17秒","秋田県由利本荘市","ナトリウム－塩化物・炭酸水素塩泉","鉄道:由利高原鉄道矢島駅より送迎車で約20分（要予約）","47°C","","2","","弱アルカリ性","","","","","","","","","","",""
"秋ノ宮温泉郷","[秋ノ宮温泉郷鷹の湯温泉] 秋の宮温泉郷 （あきのみやおんせんきょう）は、 秋田県 湯沢市 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉郷 。","https://ja.wikipedia.org/wiki/秋ノ宮温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度57分36秒東経140度32分25秒","秋田県湯沢市秋ノ宮","単純泉、緑礬泉、塩化物泉","奥羽本線横堀駅より車で25分","","秋の宮温泉郷ホームページ","10","","","","","","","","","","","","",""
"鷹の湯温泉","[鷹の湯温泉] 鷹の湯温泉 （たかのゆおんせん）は 秋田県 湯沢市 秋ノ宮 にある 温泉 。 秋ノ宮温泉郷 のひとつである。","https://ja.wikipedia.org/wiki/鷹の湯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度57分19.76秒東経140度32分19.45秒","秋田県湯沢市秋ノ宮字殿上","ナトリウム -塩化物泉","アクセスの項目参照","72°C","鷹の湯温泉","1","","","","","","","","","","","","",""
"泥湯温泉","[泥湯温泉] 泥湯温泉 （どろゆおんせん）は、 秋田県 湯沢市 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/泥湯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","秋田県湯沢市","硫化水素泉、硫化塩泉、単純温泉等","鉄道 :奥羽本線湯沢駅より羽後交通バスで約60分","60 - 80°C","","2","","1.8 - 5.6","","","","","","","","","","",""
"小安峡温泉","[小安峡温泉] 小安峡温泉 （おやすきょうおんせん）は、 秋田県 湯沢市 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/小安峡温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度0分23.7秒東経140度39分48.5秒","秋田県湯沢市皆瀬字湯元","含芒硝弱食塩泉","鉄道：奥羽本線湯沢駅より路線バスで約50分。","98°C","小安峡温泉","","","","","","","","","","","","","",""
"大湯温泉 (湯沢市)","[大湯温泉] 大湯温泉 （おおゆおんせん）は、 秋田県 湯沢市 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。他の「 大湯温泉 」と区別するため、「奥小安峡大湯温泉」、「湯沢大湯温泉」と呼ぶ場合がある。ガイド本によっては 小安峡温泉 の一部とされることもある。","https://ja.wikipedia.org/wiki/大湯温泉_(湯沢市)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度59分21.4秒東経140度41分17.9秒","秋田県湯沢市皆瀬小安奥山国有林34","硫黄泉","鉄道：奥羽本線湯沢駅より路線バスで小安峡温泉停留所（約75分）下車、徒歩で約20分。","97°C","","1","","","","","","","","","","","","",""
"須川温泉","[須川温泉] 須川温泉 （すかわおんせん）は、栗駒山の 秋田県 と 岩手県 の県境にある 温泉 地。","https://ja.wikipedia.org/wiki/須川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度58分45.39秒東経140度46分11.25秒","秋田県雄勝郡東成瀬村椿川字仁郷山国有林","含鉄(Ⅱ)・硫黄-ナトリウム-硫酸塩・塩化物泉（硫化水素型）","アクセスの項を参照のこと","49.9℃","http://www.kurikomasanso.com/","","酸性","1.9","6000L/分（須川高原温泉と共同使用）","低張性","","","","","","","","",""
"道の駅おおうち","[大内ぽぽろっこ温泉] 道の駅おおうち （みちのえき おおうち）は、 秋田県 由利本荘市 にある 国道105号 の 道の駅 である。愛称は はーとぽーと大内 。 2000年 （平成12年） 4月25日 に一部の施設が供用開始。","https://ja.wikipedia.org/wiki/道の駅おおうち","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度26分34秒東経140度05分25秒","〒018-0711秋田県由利本荘市岩谷町字西越36","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","9:00-18:00","","国道105号","第16回（05019）","2000年8月18日"
"道の駅岩城","[岩城温泉] 道の駅岩城 （みちのえき いわき）は、 秋田県 由利本荘市 にある 国道7号 の 道の駅 である。愛称は 島式漁港公園岩城アイランドパーク だが、国道7号上の 標識 では「島式漁港公園」と省略されている。","https://ja.wikipedia.org/wiki/道の駅岩城","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度32分34秒東経140度03分11秒","〒018-1301秋田県由利本荘市岩城内道川字新鶴潟192-43","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","9:00-21:00（冬季9:00-20:00）","","国道7号","第15回（05015）","1999年8月27日"
"上畑温泉","[上畑温泉] 上畑温泉 （かみはたおんせん）は、 秋田県 横手市 増田町狙半内字古家沢口にある 温泉 。","https://ja.wikipedia.org/wiki/上畑温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度7分25.5秒東経140度38分50秒","秋田県横手市増田町狙半内字古家沢口","カルシウム・ナトリウム - 硫酸塩泉","鉄道 :JR東日本奥羽本線十文字駅からバスで約40分","","","","","","","","","","","","","","","",""
"船沢温泉","[船沢温泉] 船沢温泉 （ふなざわおんせん）は、 秋田県 能代市 浅内 にある 温泉 。 ナトリウム塩化物強塩泉 に分類される  。","https://ja.wikipedia.org/wiki/船沢温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯40度10分7.9秒東経140度2分32.1秒","能代市浅内字船沢73-25","ナトリウム - 塩化物 - 強塩泉","能代駅より秋北バス（小野沢バス停）","38°C","","1","","7.6","2880L/m","","","","","","","","","",""
"銀山温泉","[銀山温泉] 銀山温泉 （ぎんざんおんせん）は、 山形県 尾花沢市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 である    。","https://ja.wikipedia.org/wiki/銀山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度34分10.9秒東経140度31分51.6秒","山形県尾花沢市大字銀山新畑北緯38度34分10.9秒東経140度31分51.6秒﻿ / ﻿北緯38.569694度 東経140.531000度﻿ /38.569694; 140.531000","含食塩硫黄泉食塩泉含硫黄ナトリウム塩化物泉硫黄泉含食塩硫化水素泉","山形新幹線・大石田駅よりバスで約40分","55-63, 44-65, 64","http://www.ginzanonsen.jp/","","","","","","","","","","","","","",""
"碁点温泉","[碁点温泉] 碁点温泉 （ごてんおんせん）は、 山形県 村山市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/碁点温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県村山市","塩化物泉","鉄道：山形新幹線村山駅よりバス又はタクシーで約10分","60°C","クアハウス碁点","1","","","","","","","","","","","","",""
"天童温泉","[（てんどう）温泉] 天童温泉 （てんどうおんせん）は、 山形県 天童市 （旧 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/天童温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県天童市","硫酸塩泉","鉄道：山形新幹線・奥羽本線天童駅よりバスで約5分車：東北中央自動車道天童ICより約7分","","天童温泉組合公式サイト","","","","","","","","","","","","","",""
"東根温泉","[東根温泉] 東根温泉 （ひがしねおんせん）は、 山形県 東根市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/東根温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県東根市","塩化物泉","鉄道：山形新幹線さくらんぼ東根駅下車","","東根温泉協同組合","","","","","","","","","","","","","",""
"上山温泉","[上山温泉] 上山温泉 （かみのやまおんせん）は、 山形県 上山市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。古くは同じ山形県の 湯野浜温泉 、 福島県 の 東山温泉 と共に「奥羽三楽郷」に数えられた。","https://ja.wikipedia.org/wiki/上山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度09分29.5秒東経140度16分23.9秒","山形県上山市","塩化物泉","鉄道：山形新幹線かみのやま温泉駅下車","","かみのやま温泉","","","","","","","","","","","","","",""
"蔵王温泉","[蔵王温泉] 蔵王温泉 （ざおうおんせん）は、西暦110年開湯と言われ1900年の歴史を持つ、 山形県 （旧 出羽国 、 明治 以降は 羽前国 ）の 山形市 南東部、 蔵王連峰 の西麓にある 温泉 。 標高 880 m に位置し、古くは最上高湯  、高湯（たかゆ）と呼ばれた。同県の 白布温泉 、 福島県 の 高湯温泉 と共に 奥羽 三高湯の一つに数えられる。","https://ja.wikipedia.org/wiki/蔵王温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度10分2秒東経140度23分44.2秒","山形県山形市北緯38度10分2秒東経140度23分44.2秒﻿ / ﻿北緯38.16722度 東経140.395611度﻿ /38.16722; 140.395611﻿ (蔵王温泉)","硫黄泉","","","蔵王温泉観光協会","","","","","","","","","","","","","",""
"寒河江温泉","[寒河江温泉] 寒河江温泉 （さがえおんせん、 Sagae Hot Spring ）は、 山形県 寒河江市 にある 温泉 。","https://ja.wikipedia.org/wiki/寒河江温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県寒河江市","塩化物泉","鉄道：左沢線寒河江駅より徒歩約5分","","寒河江温泉共同組合公式サイト","9","","","","","","","","","","","","",""
"黒沢温泉","[黒沢温泉] 黒沢温泉 （くろさわおんせん）は、 山形県 山形市 （旧 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/黒沢温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県山形市","硫酸塩泉","鉄道：奥羽本線（山形線）蔵王駅より徒歩約10分","","","3","","","","","","","","","","","","",""
"瀬見温泉","[瀬見温泉] 瀬見温泉 （せみおんせん）は、 山形県 最上郡 最上町 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。山形県を訪問する歴代の 天皇 ・ 皇后 が、何度も御宿泊されたことがある\"定宿\"のような温泉である。","https://ja.wikipedia.org/wiki/瀬見温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県最上郡最上町","塩化物泉","鉄道：陸羽東線瀬見温泉駅下車","","瀬見温泉","","","","","","","","","","","","","",""
"赤倉温泉 (山形県)","[赤倉温泉] 赤倉温泉 （あかくらおんせん）は、 山形県 最上郡 最上町 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/赤倉温泉_(山形県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県最上郡最上町","硫酸塩泉","鉄道 :陸羽東線赤倉温泉駅下車","","","9","","","","","","","","","","","","",""
"肘折温泉","[（ひじおり）温泉] 肘折温泉 （ひじおり おんせん）は、 山形県 最上郡 大蔵村 にある 温泉 。","https://ja.wikipedia.org/wiki/肘折温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県最上郡大蔵村","塩化物泉","JR新庄駅よりバスで約60分","","","","","","","","","","","","","","","",""
"今神温泉","[今神温泉] 今神温泉 （いまがみおんせん）は、 山形県 最上郡 戸沢村 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。 念仏温泉 の異名を持つ。","https://ja.wikipedia.org/wiki/今神温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度37分55.60秒、東経140度8分29.60秒","山形県最上郡戸沢村大字角川字今神北緯38度37分55.60秒、東経140度8分29.60秒","硫酸塩泉","鉄道 :陸羽西線古口駅よりタクシーで約40分。未舗装の林道を10kmほど走った先にある","","","","","","","","","","","","","","","",""
"草薙温泉","[草薙温泉] 草薙温泉 （くさなぎおんせん）は、 山形県 最上郡 戸沢村 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/草薙温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度45分57.6秒 東経140度3分11.8秒","山形県最上郡戸沢村","硫黄泉","鉄道 :陸羽西線高屋駅下車バス : たちかわ交通(庄内交通系列)が、鶴岡駅-狩川駅-清川駅経由で白糸の滝ドライブイン行バスを一日3往復運行。終点下車","","","2","","","","","","","","","","","","",""
"羽根沢温泉","[羽根沢温泉] 羽根沢温泉 （はねさわおんせん）は、 山形県 最上郡 鮭川村 大字中渡（旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/羽根沢温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県最上郡鮭川村大字中渡","炭酸水素塩泉","山形新幹線・新庄駅よりバスで約30分。","47°C","","","低張性","","","","","","","","","","","",""
"小野川温泉","[小野川温泉] 小野川温泉 （ おのがわおんせん ）は、 山形県 米沢市 小野川町（旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。地元以外にはあまり知られていない温泉地であったが、 小野小町 に由来するといわれる美人湯を核に 活性化 を進めている。","https://ja.wikipedia.org/wiki/小野川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度52分47秒東経140度3分16秒","山形県米沢市小野川町","含硫黄－ナトリウム・カルシウム－塩化物泉","鉄道 :奥羽本線米沢駅よりバスで約30分","4号源泉　80℃・5号源泉　35度","小野川源泉協同組合","","","","","","","","","","","","","",""
"白布温泉","[白布温泉] 白布温泉 （しらぶおんせん）は 山形県 米沢市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。白布高湯温泉とも呼ばれる。米沢市の南部に位置する。 湯治場 としても400年を越える歴史を有する。 江戸時代 には福島の 高湯温泉 、山形の 蔵王温泉 とともに奥羽三高湯に数えられた。","https://ja.wikipedia.org/wiki/白布温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度46分51.8秒東経140度07分08.4秒","山形県米沢市","塩化物泉","鉄道：奥羽本線米沢駅よりバスで約50分","60°C","白布温泉観光協会","","","","","","","","","","","","","",""
"大平温泉","[大平温泉] 大平温泉 （おおだいらおんせん）は、 山形県 米沢市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/大平温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度46分40.8秒東経140度09分3.3秒","山形県米沢市李山","硫黄泉","鉄道：山形新幹線米沢駅下車。宿の送迎車で約50分で駐車場へ。駐車場から宿までは登山道を徒歩15分","","","1","","","毎分780L","","","","","","","","","",""
"滑川温泉","[滑川温泉] 滑川温泉 （なめがわおんせん）は、 山形県 米沢市 大字大沢（旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/滑川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度46分57秒東経140度13分40秒","山形県米沢市大字大沢","炭酸水素塩泉","車：東北自動車道福島飯坂ICから約40分鉄道：JR東日本峠駅下車、駅から送迎車約20分（要予約）","","","","中性","","","低張性","","","","","","","","",""
"姥湯温泉","[姥湯温泉] 姥湯温泉 （うばゆおんせん）は、 山形県 米沢市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 である。","https://ja.wikipedia.org/wiki/姥湯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度45分38.7秒東経140度13分20.5秒","山形県米沢市","単純硫黄泉","車：東北自動車道福島飯坂ICから約60分鉄道：JR東日本峠駅前より送迎車約30分（要予約）、その後に徒歩5分","51°C","","","酸性","","","","","","","","","","","",""
"五色温泉 (山形県)","[五色温泉] 五色温泉 （ ごしきおんせん ）は、 山形県 米沢市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/五色温泉_(山形県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県米沢市","ナトリウム・カルシウム-炭酸水素塩・塩化物温泉（低張性中性温泉）","車 :東北自動車道福島飯坂ICから約30分","45.9℃(源泉)","","1","中性","6.4","90L/分","低張性","75 人/日","","","","","","","",""
"赤湯温泉 (山形県)","[赤湯温泉] 赤湯温泉 （あかゆおんせん）は、 山形県 南陽市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/赤湯温泉_(山形県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度02分59.3秒東経140度10分04.6秒","山形県南陽市","塩化物泉、単純温泉","山形新幹線赤湯駅より車で約5分","48、63","","","","","","","","","","","","","","",""
"あつみ温泉","[あつみ温泉] あつみ温泉 （あつみおんせん）は、 山形県 鶴岡市 湯温海にある 温泉 。旧来の 温海温泉 と書くこともある。","https://ja.wikipedia.org/wiki/あつみ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県鶴岡市","塩化物泉、硫酸塩泉","鉄道：羽越本線あつみ温泉駅よりバスで約5分車：日本海東北自動車道あつみ温泉インターチェンジより約5分。または日本海東北自動車道朝日まほろばインターチェンジより、国道7号経由で約65分","68°C","あつみ観光協会","","","","","","","","","","","","","",""
