"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"上総大久保駅","上総大久保駅（かずさおおくぼえき）","https://ja.wikipedia.org/wiki/上総大久保駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度17分0.5秒東経140度8分44.9秒","小湊鉄道線","32.3 km（五井起点）","小湊鉄道","1928年（昭和3年）5月16日","地上駅","1面1線","千葉県市原市大久保96-2北緯35度17分0.5秒東経140度8分44.9秒座標:北緯35度17分0.5秒 東経140度8分44.9秒","無人駅","","","8人/日（降車客含まず）-2018年-","","","","","","","",""
"上総興津駅","上総興津駅（かずさおきつえき）","https://ja.wikipedia.org/wiki/上総興津駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度8分14秒東経140度15分3.3秒","■外房線","77.2 km（千葉起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）4月1日[1]","地上駅","2面2線","千葉県勝浦市興津307-6北緯35度8分14秒東経140度15分3.3秒座標:北緯35度8分14秒 東経140度15分3.3秒","業務委託駅","ツサ","","182人/日（降車客含まず）-2019年-","","","","","","","",""
"上総亀山駅","上総亀山駅（かずさかめやまえき）","https://ja.wikipedia.org/wiki/上総亀山駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度13分59秒東経140度5分23.4秒","■久留里線","32.2 km（木更津起点）","東日本旅客鉄道（JR東日本）","1936年（昭和11年）3月25日[1]","地上駅","1面1線","千葉県君津市藤林98北緯35度13分59秒東経140度5分23.4秒﻿ / ﻿北緯35.23306度 東経140.089833度﻿ /35.23306; 140.089833座標:北緯35度13分59秒東経140度5分23.4秒﻿ / ﻿北緯35.23306度 東経140.089833度﻿ /35.23306; 140.089833","無人駅（乗車駅証明書発行機 有）","メヤ","","90人/日（降車客含まず）-2010年-","","","","","","","",""
"上総川間駅","上総川間駅（かずさかわまえき）","https://ja.wikipedia.org/wiki/上総川間駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度23分17.1秒東経140度9分4.0秒","小湊鉄道線","18.5 km（五井起点）","小湊鉄道","1953年（昭和28年）4月1日","地上駅","1面1線","千葉県市原市下矢田547-4北緯35度23分17.1秒東経140度9分4.0秒﻿ / ﻿北緯35.388083度 東経140.151111度﻿ /35.388083; 140.151111座標:北緯35度23分17.1秒東経140度9分4.0秒﻿ / ﻿北緯35.388083度 東経140.151111度﻿ /35.388083; 140.151111","無人駅","","","59人/日（降車客含まず）-2018年-","","","","","","","",""
"上総清川駅","上総清川駅（かずさきよかわえき）","https://ja.wikipedia.org/wiki/上総清川駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度23分27.4秒東経139度57分57.6秒","■久留里線","4.2 km（木更津起点）","東日本旅客鉄道（JR東日本）","1912年（大正元年）12月28日[1]","地上駅","1面1線","千葉県木更津市菅生799北緯35度23分27.4秒東経139度57分57.6秒座標:北緯35度23分27.4秒 東経139度57分57.6秒","無人駅（乗車駅証明書発行機 有）*1923年に清川駅から改称[1]。","キヨ","","254人/日（降車客含まず）-2006年-","","","","","","","",""
"上総久保駅","上総久保駅（かずさくぼえき）","https://ja.wikipedia.org/wiki/上総久保駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度22分3.0秒東経140度9分16.5秒","小湊鉄道線","22.0 km（五井起点）","小湊鉄道","1933年（昭和8年）4月10日","地上駅","1面1線","千葉県市原市久保573-4北緯35度22分3.0秒東経140度9分16.5秒﻿ / ﻿北緯35.367500度 東経140.154583度﻿ /35.367500; 140.154583座標:北緯35度22分3.0秒東経140度9分16.5秒﻿ / ﻿北緯35.367500度 東経140.154583度﻿ /35.367500; 140.154583","無人駅","","","12人/日（降車客含まず）-2018年-","","","","","","","",""
"上総鶴舞駅","上総鶴舞駅（かずさつるまいえき）","https://ja.wikipedia.org/wiki/上総鶴舞駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度22分52.9秒東経140度9分54.5秒","小湊鉄道線","20.0 km（五井起点）","小湊鉄道","1925年（大正14年）3月7日","地上駅","1面1線","千葉県市原市池和田898-2北緯35度22分52.9秒東経140度9分54.5秒﻿ / ﻿北緯35.381361度 東経140.165139度﻿ /35.381361; 140.165139座標:北緯35度22分52.9秒東経140度9分54.5秒﻿ / ﻿北緯35.381361度 東経140.165139度﻿ /35.381361; 140.165139","無人駅","","","14人/日（降車客含まず）-2018年-","","","","","","","",""
"上総中川駅","上総中川駅（かずさなかがわえき）","https://ja.wikipedia.org/wiki/上総中川駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度16分57.8秒東経140度16分50.3秒","■いすみ線","11.9 km（大原起点）","いすみ鉄道","1930年（昭和5年）4月1日","地上駅","1面1線","千葉県いすみ市行川705-1北緯35度16分57.8秒東経140度16分50.3秒座標:北緯35度16分57.8秒 東経140度16分50.3秒","無人駅","ツナ","","10人/日（降車客含まず）-2018年-","","","","","","","",""
"上総中野駅","上総中野駅（かずさなかのえき）","https://ja.wikipedia.org/wiki/上総中野駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度15分0秒東経140度11分59.5秒","■小湊鉄道線","39.1 km（五井起点）","小湊鐵道いすみ鉄道","1928年（昭和3年）5月16日","地上駅","2面2線（小湊鉄道）:1面1線（いすみ鉄道）:1面1線","千葉県夷隅郡大多喜町堀切61北緯35度15分0秒東経140度11分59.5秒座標:北緯35度15分0秒 東経140度11分59.5秒","共同使用駅無人駅","ナノ","","（小湊鉄道）-2018年-34人/日（降車客含まず）（いすみ鉄道）-2018年-90人/日（降車客含まず）","","","","","","","",""
"上総松丘駅","上総松丘駅（かずさまつおかえき）","https://ja.wikipedia.org/wiki/上総松丘駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度15分28.2秒東経140度3分50.4秒","■久留里線","28.3 km（木更津起点）","東日本旅客鉄道（JR東日本）","1936年（昭和11年）3月25日[1]","地上駅","1面1線","千葉県君津市広岡1692北緯35度15分28.2秒東経140度3分50.4秒﻿ / ﻿北緯35.257833度 東経140.064000度﻿ /35.257833; 140.064000座標:北緯35度15分28.2秒東経140度3分50.4秒﻿ / ﻿北緯35.257833度 東経140.064000度﻿ /35.257833; 140.064000","無人駅（乗車駅証明書発行機 有）","サオ←サヲ","","81人/日（降車客含まず）-2006年-","","","","","","","",""
"上総三又駅","上総三又駅（かずさみつまたえき）","https://ja.wikipedia.org/wiki/上総三又駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度27分57.9秒東経140度7分36.0秒","小湊鉄道線","7.2 km（五井起点）","小湊鉄道","1932年（昭和7年）11月20日","地上駅","1面1線","千葉県市原市海士有木276-1北緯35度27分57.9秒東経140度7分36.0秒座標:北緯35度27分57.9秒 東経140度7分36.0秒","無人駅","","","100人/日（降車客含まず）-2018年-","","","","","","","",""
"上総湊駅","上総湊駅（かずさみなとえき）","https://ja.wikipedia.org/wiki/上総湊駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度13分20秒東経139度52分16秒","■内房線","55.1 km（蘇我起点）千葉から58.9 km","東日本旅客鉄道（JR東日本）","1915年（大正4年）1月15日[1]","地上駅","1面2線","千葉県富津市湊736北緯35度13分20秒東経139度52分16秒座標:北緯35度13分20秒 東経139度52分16秒","業務委託駅","ミナ","","639人/日（降車客含まず）-2019年-","","","","","","","",""
"上総村上駅","上総村上駅（かずさむらかみえき）","https://ja.wikipedia.org/wiki/上総村上駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度29分46.4秒東経140度6分0.8秒","小湊鉄道線","2.5 km（五井起点）","小湊鉄道","1927年（昭和2年）2月25日","地上駅","2面2線","千葉県市原市村上1358-2北緯35度29分46.4秒東経140度6分0.8秒﻿ / ﻿北緯35.496222度 東経140.100222度﻿ /35.496222; 140.100222座標:北緯35度29分46.4秒東経140度6分0.8秒﻿ / ﻿北緯35.496222度 東経140.100222度﻿ /35.496222; 140.100222","無人駅","","","106人/日（降車客含まず）-2018年-","","","","","","","",""
"上総山田駅","上総山田駅（かずさやまだえき）","https://ja.wikipedia.org/wiki/上総山田駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度27分15.2秒東経140度7分34.3秒","小湊鉄道線","8.6 km（五井起点）","小湊鉄道","1925年（大正14年）3月7日","地上駅","2面2線","千葉県市原市磯ケ谷2079-3北緯35度27分15.2秒東経140度7分34.3秒座標:北緯35度27分15.2秒 東経140度7分34.3秒","無人駅","","","114人/日（降車客含まず）-2018年-","","","","","","","",""
"香住駅","香住駅（かすみえき）","https://ja.wikipedia.org/wiki/香住駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度38分8.38秒東経134度37分23.04秒","A山陰本線","180.0 km（京都起点）","西日本旅客鉄道（JR西日本）","1911年（明治44年）10月25日[1]","地上駅[1]","2面3線[1]","兵庫県美方郡香美町香住区七日市字クゴ22[1]北緯35度38分8.38秒東経134度37分23.04秒﻿ / ﻿北緯35.6356611度 東経134.6230667度﻿ /35.6356611; 134.6230667﻿ (香住駅)","業務委託駅[1]みどりの窓口有","カス","","388人/日（降車客含まず）-2016年-","","","","","","","",""
"霞ヶ浦駅","霞ヶ浦駅（かすみがうらえき）","https://ja.wikipedia.org/wiki/霞ヶ浦駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度59分34.17秒東経136度38分11.68秒","E名古屋線","45.3 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1929年（昭和4年）1月30日","地上駅","2面2線","三重県四日市市八田一丁目14-2北緯34度59分34.17秒東経136度38分11.68秒﻿ / ﻿北緯34.9928250度 東経136.6365778度﻿ /34.9928250; 136.6365778座標:北緯34度59分34.17秒東経136度38分11.68秒﻿ / ﻿北緯34.9928250度 東経136.6365778度﻿ /34.9928250; 136.6365778","","カスミ"," E18 ","2,142人/日（降車客含まず）-2019年-","","","","","","","",""
"霞ヶ丘駅 (奈良県)","霞ヶ丘駅 (奈良県)（かすみがおかえき・近鉄生駒鋼索線）","https://ja.wikipedia.org/wiki/霞ヶ丘駅_(奈良県)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度40分52.48秒東経135度41分0.99秒","Y生駒鋼索線（山上線）","1.6km（鳥居前起点）宝山寺から0.7 km","近畿日本鉄道","1929年（昭和4年）3月27日","地上駅","1面1線","奈良県生駒市菜畑町2312-45北緯34度40分52.48秒東経135度41分0.99秒﻿ / ﻿北緯34.6812444度 東経135.6836083度﻿ /34.6812444; 135.6836083座標:北緯34度40分52.48秒東経135度41分0.99秒﻿ / ﻿北緯34.6812444度 東経135.6836083度﻿ /34.6812444; 135.6836083","","カス"," Y20 ","","","","","","","","",""
"霞ヶ丘駅 (兵庫県)","霞ヶ丘駅 (兵庫県)（かすみがおかえき・山陽電気鉄道本線）","https://ja.wikipedia.org/wiki/霞ヶ丘駅_(兵庫県)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度37分50.99秒東経135度2分32.44秒","本線","10.7 km（西代起点）","山陽電気鉄道","1964年（昭和39年）6月1日*[1][2]","高架駅[1]","2面4線[1]","神戸市垂水区五色山五丁目7-4[1]北緯34度37分50.99秒東経135度2分32.44秒﻿ / ﻿北緯34.6308306度 東経135.0423444度﻿ /34.6308306; 135.0423444﻿ (霞ヶ丘駅)座標:北緯34度37分50.99秒東経135度2分32.44秒﻿ / ﻿北緯34.6308306度 東経135.0423444度﻿ /34.6308306; 135.0423444﻿ (霞ヶ丘駅)","無人駅[1]","","●SY 12","1,011人/日（降車客含まず）-2017年-","","","","","","","",""
"霞ヶ関駅 (埼玉県)","霞ヶ関駅 (埼玉県)（かすみがせきえき・東武東上本線）","https://ja.wikipedia.org/wiki/霞ヶ関駅_(埼玉県)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度55分32.26秒東経139度26分35.27秒","■東上本線","34.8 km（池袋起点）","東武鉄道","1916年（大正5年）10月27日","地上駅","1面2線","埼玉県川越市霞ケ関東一丁目1-4北緯35度55分32.26秒東経139度26分35.27秒﻿ / ﻿北緯35.9256278度 東経139.4431306度﻿ /35.9256278; 139.4431306﻿ (霞ヶ関駅*)座標:北緯35度55分32.26秒東経139度26分35.27秒﻿ / ﻿北緯35.9256278度 東経139.4431306度﻿ /35.9256278; 139.4431306﻿ (霞ヶ関駅*)","業務委託駅*1930年（昭和5年）1月に「的場駅」から改称。","セキ","TJ23","","29,021人/日-2019年-","","","","","","",""
"霞ケ関駅 (東京都)","霞ケ関駅 (東京都)（かすみがせきえき・東京地下鉄丸ノ内線・日比谷線・千代田線）","https://ja.wikipedia.org/wiki/霞ケ関駅_(東京都)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度40分25.7秒東経139度45分3.4秒","●[1]丸ノ内線","10.8 km（池袋起点）","東京地下鉄（東京メトロ）","1958年（昭和33年）10月15日","地下駅","2面2線（丸ノ内線）1面2線（日比谷線・千代田線）","東京都千代田区霞が関二丁目1-2北緯35度40分25.7秒東経139度45分3.4秒﻿ / ﻿北緯35.673806度 東経139.750944度﻿ /35.673806; 139.750944座標:北緯35度40分25.7秒東経139度45分3.4秒﻿ / ﻿北緯35.673806度 東経139.750944度﻿ /35.673806; 139.750944","駅務管区所在駅","カス","M15[1]","","151,977人/日-2019年-","","","","","","",""
"烏森駅","烏森駅（かすもりえき）","https://ja.wikipedia.org/wiki/烏森駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度9分10.7秒東経136度51分50.35秒","E名古屋線","76.0 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1938年（昭和13年）6月26日","高架駅","2面2線","名古屋市中村区牛田通四丁目5北緯35度9分10.7秒東経136度51分50.35秒﻿ / ﻿北緯35.152972度 東経136.8639861度﻿ /35.152972; 136.8639861座標:北緯35度9分10.7秒東経136度51分50.35秒﻿ / ﻿北緯35.152972度 東経136.8639861度﻿ /35.152972; 136.8639861","","カスモ"," E04 ","2,995人/日（降車客含まず）-2019年-","","","","","","","",""
"葛島橋東詰停留場","葛島橋東詰停留場（かずらしまばしひがしづめていりゅうじょう）","https://ja.wikipedia.org/wiki/葛島橋東詰停留場","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯33度33分25.37秒東経133度34分9.68秒","後免線","8.4 km（後免町起点）","とさでん交通","1910年（明治43年）10月15日","地上駅","2面2線","高知県高知市葛島一丁目北緯33度33分25.37秒東経133度34分9.68秒﻿ / ﻿北緯33.5570472度 東経133.5693556度﻿ /33.5570472; 133.5693556﻿ (葛島橋東詰停留場)","","","","","","","","","","","",""
"嘉瀬駅","嘉瀬駅（かせえき・津軽鉄道線）","https://ja.wikipedia.org/wiki/嘉瀬駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯40度52分51.63秒東経140度28分9.36秒","津軽鉄道線","10.1 km（津軽五所川原起点）","津軽鉄道","1930年（昭和5年）7月15日","地上駅","1面1線","青森県五所川原市金木町嘉瀬端山崎北緯40度52分51.63秒東経140度28分9.36秒﻿ / ﻿北緯40.8810083度 東経140.4692667度﻿ /40.8810083; 140.4692667座標:北緯40度52分51.63秒東経140度28分9.36秒﻿ / ﻿北緯40.8810083度 東経140.4692667度﻿ /40.8810083; 140.4692667","","","","","72人/日-2019年-","","","","","","",""
"加勢駅","加勢駅（かせえき・南阿蘇鉄道高森線）","https://ja.wikipedia.org/wiki/加勢駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯32度50分51.99秒東経131度0分36.58秒","高森線","","南阿蘇鉄道","1986年（昭和61年）10月1日","地上駅","単式1面1線","熊本県阿蘇郡南阿蘇村大字河陽北緯32度50分51.99秒東経131度0分36.58秒","無人駅　","","","","6[1]人/日-2015年-","","","","","","",""
"禾生駅","禾生駅（かせいえき）","https://ja.wikipedia.org/wiki/禾生駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度34分29.86秒東経138度55分44.51秒","■大月線","5.6 km（大月起点）","富士急行","1929年（昭和4年）6月19日","地上駅","2面2線","山梨県都留市古川渡524-3北緯35度34分29.86秒東経138度55分44.51秒﻿ / ﻿北緯35.5749611度 東経138.9290306度﻿ /35.5749611; 138.9290306座標:北緯35度34分29.86秒東経138度55分44.51秒﻿ / ﻿北緯35.5749611度 東経138.9290306度﻿ /35.5749611; 138.9290306","標高：421m業務委託駅","","FJ04","","475人/日-2018年-","","","","","","",""
"笠田駅","笠田駅（かせだえき）","https://ja.wikipedia.org/wiki/笠田駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","T和歌山線","58.2 km（王寺起点）","西日本旅客鉄道（JR西日本）","1900年（明治33年）11月25日[1]","地上駅","2面2線","","業務委託駅","セタ","","736人/日（降車客含まず）-2019年-","","","","","","","",""
"神戸布引ロープウェイ","風の丘中間駅（かぜのおかちゅうかんえき）","https://ja.wikipedia.org/wiki/神戸布引ロープウェイ","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加須駅","加須駅（かぞえき）","https://ja.wikipedia.org/wiki/加須駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度7分22.7秒東経139度35分44.5秒","■伊勢崎線","58.5 km（浅草起点）","東武鉄道","1902年（明治35年）9月6日","地上駅","2面3線","埼玉県加須市中央一丁目1-15北緯36度7分22.7秒東経139度35分44.5秒﻿ / ﻿北緯36.122972度 東経139.595694度﻿ /36.122972; 139.595694﻿ (加須駅)座標:北緯36度7分22.7秒東経139度35分44.5秒﻿ / ﻿北緯36.122972度 東経139.595694度﻿ /36.122972; 139.595694﻿ (加須駅)","業務委託駅","カソ","TI05","","13,569人/日-2019年-","","","","","","",""
"風合瀬駅","風合瀬駅（かそせえき）","https://ja.wikipedia.org/wiki/風合瀬駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","■五能線","79.0 km（東能代起点）","東日本旅客鉄道（JR東日本）","1954年（昭和29年）11月20日[1]","地上駅","1面1線[1]","","無人駅[1]","カセ","","","","","","","","","",""
"賀田駅","賀田駅（かたえき）","https://ja.wikipedia.org/wiki/賀田駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯33度58分19.11秒東経136度11分22.38秒","紀勢本線","142.6 km（亀山起点）","東海旅客鉄道（JR東海）","1959年（昭和34年）7月15日[1]","地上駅","1面2線","三重県尾鷲市曽根町840北緯33度58分19.11秒東経136度11分22.38秒","駅員無配置駅","カタ","","36人/日（降車客含まず）-2019年-","","","","","","","",""
"加太駅 (和歌山県)","加太駅 (和歌山県)（かだえき・南海加太線）","https://ja.wikipedia.org/wiki/加太駅_(和歌山県)","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度16分30.46秒東経135度4分51.88秒","■加太線","9.6km（紀ノ川起点）和歌山市から12.2 km","南海電気鉄道","1912年（明治45年）6月16日","地上駅","頭端式 2面2線","和歌山県和歌山市加太1038番地1北緯34度16分30.46秒東経135度4分51.88秒﻿ / ﻿北緯34.2751278度 東経135.0810778度﻿ /34.2751278; 135.0810778座標:北緯34度16分30.46秒東経135度4分51.88秒﻿ / ﻿北緯34.2751278度 東経135.0810778度﻿ /34.2751278; 135.0810778","","カタ","NK 44-7","","660人/日-2019年-","","","","","","",""
"片岡駅","片岡駅（かたおかえき）","https://ja.wikipedia.org/wiki/片岡駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度45分15.51秒東経139度56分45.50秒","■東北本線（宇都宮線）","135.5km（東京起点）東京から尾久経由で135.7 km","東日本旅客鉄道（JR東日本）","1897年（明治30年）6月5日","地上駅（橋上駅）","2面3線（実質2面2線）","栃木県矢板市片岡2099北緯36度45分15.51秒東経139度56分45.50秒座標:北緯36度45分15.51秒 東経139度56分45.50秒","業務委託駅","カオ←カヲ","","730人/日（降車客含まず）-2019年-","","","","","","","",""
"片貝駅","片貝駅（かたかいえき）","https://ja.wikipedia.org/wiki/片貝駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","■上毛線","2.2 km（中央前橋起点）","上毛電気鉄道","1928年（昭和3年）11月10日","地上駅","1面1線","","","","","","327人/日-2018年-","","","","","","",""
"片倉駅","片倉駅（かたくらえき）","https://ja.wikipedia.org/wiki/片倉駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度38分23.5秒東経139度20分30秒","■横浜線*","40.0 km（東神奈川起点）","東日本旅客鉄道（JR東日本）","1957年（昭和32年）12月28日","高架駅","2面2線","東京都八王子市片倉町718北緯35度38分23.5秒東経139度20分30秒﻿ / ﻿北緯35.639861度 東経139.34167度﻿ /35.639861; 139.34167﻿ (片倉駅)座標:北緯35度38分23.5秒東経139度20分30秒﻿ / ﻿北緯35.639861度 東経139.34167度﻿ /35.639861; 139.34167﻿ (片倉駅)","業務委託駅","クシ","JH31","5,212人/日（降車客含まず）-2019年-","","京王片倉駅（京王高尾線）","","","","","",""
"片倉町駅","片倉町駅（かたくらちょうえき）","https://ja.wikipedia.org/wiki/片倉町駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度29分24.5秒東経139度36分23.5秒","■ブルーライン（3号線）","7.0km（関内*起点）湘南台から26.7 km","横浜市交通局（横浜市営地下鉄）","1985年（昭和60年）3月14日","地下駅","2面2線","横浜市神奈川区片倉一丁目33番7号[1]北緯35度29分24.5秒東経139度36分23.5秒﻿ / ﻿北緯35.490139度 東経139.606528度﻿ /35.490139; 139.606528﻿ (片倉町駅)座標:北緯35度29分24.5秒東経139度36分23.5秒﻿ / ﻿北緯35.490139度 東経139.606528度﻿ /35.490139; 139.606528﻿ (片倉町駅)","業務委託駅（横浜市交通局協力会）[2]","","B23","11,040人/日（降車客含まず）-2019年-","21,979人/日-2019年-","","","","","","",""
"堅下駅","堅下駅（かたしもえき）","https://ja.wikipedia.org/wiki/堅下駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度35分18.97秒東経135度37分38.51秒","D大阪線","15.7 km（大阪上本町起点）","近畿日本鉄道（近鉄）","1927年（昭和2年）7月1日","地上駅（地下駅舎）","2面2線","大阪府柏原市大県二丁目5-1北緯34度35分18.97秒東経135度37分38.51秒﻿ / ﻿北緯34.5886028度 東経135.6273639度﻿ /34.5886028; 135.6273639座標:北緯34度35分18.97秒東経135度37分38.51秒﻿ / ﻿北緯34.5886028度 東経135.6273639度﻿ /34.5886028; 135.6273639","","カタ"," D16 ","（全日）1,900人/日（降車客含まず）-2019年-","","柏原駅-近鉄道明寺線-JR関西本線（大和路線）","","","","","",""
"片瀬江ノ島駅","片瀬江ノ島駅（かたせえのしまえき）","https://ja.wikipedia.org/wiki/片瀬江ノ島駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度18分32秒東経139度29分0秒","江ノ島線","27.6 km（相模大野起点）新宿から59.9 km","小田急電鉄","1929年（昭和4年）4月1日","地上駅","2面3線","神奈川県藤沢市片瀬海岸二丁目15番3号北緯35度18分32秒東経139度29分0秒﻿ / ﻿北緯35.30889度 東経139.48333度﻿ /35.30889; 139.48333座標:北緯35度18分32秒東経139度29分0秒﻿ / ﻿北緯35.30889度 東経139.48333度﻿ /35.30889; 139.48333","","","OE16","","19,828人/日-2019年-","","","","","","",""
"片瀬白田駅","片瀬白田駅（かたせしらたえき）","https://ja.wikipedia.org/wiki/片瀬白田駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度48分7.43秒東経139度3分40.00秒","■伊豆急行線","26.1 km（伊東起点）熱海から43.0 km","伊豆急行","1961年（昭和36年）12月10日","盛土駅","2面2線","静岡県賀茂郡東伊豆町白田222番地の2北緯34度48分7.43秒東経139度3分40.00秒﻿ / ﻿北緯34.8020639度 東経139.0611111度﻿ /34.8020639; 139.0611111座標:北緯34度48分7.43秒東経139度3分40.00秒﻿ / ﻿北緯34.8020639度 東経139.0611111度﻿ /34.8020639; 139.0611111","無人駅[1]","","IZ10","213人/日（降車客含まず）-2019年-","","","","","","","",""
"片瀬山駅","片瀬山駅（かたせやまえき）","https://ja.wikipedia.org/wiki/片瀬山駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度19分2.1秒東経139度29分45.8秒","■江の島線","5.5 km（大船起点）","湘南モノレール","1971年（昭和46年）7月1日[1]","地上駅","1面1線","神奈川県鎌倉市西鎌倉北緯35度19分2.1秒東経139度29分45.8秒﻿ / ﻿北緯35.317250度 東経139.496056度﻿ /35.317250; 139.496056﻿ (片瀬山駅)座標:北緯35度19分2.1秒東経139度29分45.8秒﻿ / ﻿北緯35.317250度 東経139.496056度﻿ /35.317250; 139.496056﻿ (片瀬山駅)","無人駅","","SMR6","1,965人/日（降車客含まず）-2018年-","","","","","","","",""
