"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","初登頂","山系","位置","プロミネンス","所属山脈","最容易,ルート","総称","種類","アイソレーション","全長","翻訳","親山頂","Hidden","Hidden","Hidden","Hidden","Hidden"
"ラカポシ","[27カラコルム-12ラカポシカラコルム パキスタン7,78825,5511958北緯36度08分33秒東経74度29分21秒﻿ / ﻿北緯36.14250度 東経74.48917度﻿ /36.14250; 74.48917] ラカポシ山は、古くから 1892年 の コンウェー をはじめとする カラコルム の先駆的探検家たちに注目されていた。本格的な登山は、 1938年 に北西稜を登路として行われたが、約6000メートルに達したに過ぎなかった。 1947年 、 1954年 、 1956年 に南西側の登攀から試みられ、 1958年 6月 に イギリス と パキスタン の合同登山隊が初登頂に成功した。","https://ja.wikipedia.org/wiki/ラカポシ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度08分33秒東経74度29分21秒","7,788m","パキスタンギルギット・バルティスタン州","1958年","カラコルム山脈","北緯36度08分33秒東経74度29分21秒﻿ / ﻿北緯36.14250度 東経74.48917度﻿ /36.14250; 74.48917座標:北緯36度08分33秒東経74度29分21秒﻿ / ﻿北緯36.14250度 東経74.48917度﻿ /36.14250; 74.48917","","","","","","","","","","","","","",""
"ナムチャバルワ","[28ヒマラヤ-18ナムチャバルワヒマラヤ 中国7,78225,5311992北緯29度37分50秒東経95度03分19秒﻿ / ﻿北緯29.63056度 東経95.05528度﻿ /29.63056; 95.05528] 「ナムチャバルワ」は チベット語 であるが、その意味には複数の解釈があり、「燃えるような雷電」、「天空に突き刺す長矛」  、「天から落ちた石」  などと説明されることがある。日本語では「 ナムチャ・バルワ 」  、「 ナムジャグバルワ 」  などと表記されることもある。","https://ja.wikipedia.org/wiki/ナムチャバルワ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯29度37分45秒東経95度03分21秒","7,782 m(25,531 ft) 世界第28位","チベット自治区ニンティ市メトク県マクマホンライン北方","1992年、日中合同隊","","","4,106 m(13,471 ft) 世界第19位","ヒマラヤ山脈ナムチャバルワ・ヒマル","南南西稜、岩壁、雪、氷","Ultra","","708キロメートル (440 mi)","","","","","","","",""
"カメット","[29ヒマラヤ-19カメット（英語版）ヒマラヤ インド7,75625,4461931北緯30度55分12秒東経79度35分30秒﻿ / ﻿北緯30.92000度 東経79.59167度﻿ /30.92000; 79.59167]","https://ja.wikipedia.org/w/index.php?title=カメット&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ダウラギリ II","[30ヒマラヤ-20ダウラギリ IIヒマラヤ ネパール7,75125,4301971北緯28度45分46秒東経83度23分14秒﻿ / ﻿北緯28.76278度 東経83.38722度﻿ /28.76278; 83.38722] ダウラギリは、1808年に初めてヨーロッパの人々に知られるようになり、 カンチェンジュンガ の存在が知られるまでの約30年間、世界一高い山と考えられていた。","https://ja.wikipedia.org/wiki/ダウラギリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度41分47秒東経83度29分43秒","8167m","ネパールダウラギリ県","スイス・オーストリア隊（1960年5月13日）","ヒマラヤ山脈","北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528座標:北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528","","","","","","","","","","","","","",""
"サルトロ・カンリ","[31カラコルム-13サルトロ・カンリ/K10カラコルム パキスタン7,74225,4001962北緯35度23分57秒東経76度50分51秒﻿ / ﻿北緯35.39917度 東経76.84750度﻿ /35.39917; 76.84750] 1911年から1912年にかけて、勇敢な職人夫婦が分け入ったのが最初である。頂上への初挑戦は1935年のJ・ウォーラー率いるイギリス隊で、南東稜の c.24500' に到達した  。続いて エリック・シプトン 率いるイギリス大学遠征隊がパキスタン政府から登山許可を得て、パキスタン側からビラフォンド・ラ経由で頂上に近づいたが、登頂はしなかった。この遠征隊へ登山許可発給は、パキスタンによるオロポリティクス (登山の政治利用) として1984年のシアチェン紛争を招くきっかけとなった  。1962年、四手井綱彦率いる日パ合同サルトロ・カンリ遠征隊が挑戦し、6月24日に斎藤惇生、高村泰雄 、ラジャ・バシールの3名が南東稜ルートから登頂を果たした  。1981年にはインド軍大佐ナレンドラ・クマー率いるインド軍遠征隊も南東稜ルートで登頂している  。1960年代にアメリカで発行されたこの地域の地図や多くの世界地図でインドとパキスタンの間の軍事境界線が誤って引かれていた。この軍事境界線は1949年のカラチ協定で定められた各点から NJ9842 やカラコルム峠の東北東を通り、サルトロカンリとシアチェン氷河全体がパキスタン領になっていた。しかし、1972年に締結された シムラー協定 では、「氷河から北 (\"thence north to glaciers\")」という句を除いてポイントNJ9842を超えない範囲で軍事境界線が定義された。 ヒマラヤインデックス  によれば、1981年にもう1隊登頂して以降、他に登頂を試みたものはいない。","https://ja.wikipedia.org/wiki/サルトロ・カンリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度23分57.6秒東経76度50分55.2秒","7,742 m(25,400 ft) 第31位","サルトロ山稜 (シアチェン氷河)インド支配地域・パキスタンとの国境紛争地帯","1962年（斎藤惇生、高村泰雄 、ラジャ・バシール）","","","2,160 m(7,090 ft)","カラコルム山脈サルトロ山地","rock/snow/ice climb","ウルトラ","","","80 km(50 mi)","","","","","","",""
"ジャヌー","[32ヒマラヤ-21ジャヌー/クンバカルナヒマラヤ ネパール7,71125,2991962北緯27度40分54秒東経88度02分36秒﻿ / ﻿北緯27.68167度 東経88.04333度﻿ /27.68167; 88.04333] この山は山容が複雑で見上げると恐ろしげな形をしているので、 インド の 叙事詩 「 ラーマーヤナ 」に登場する鬼神 クンバカルナ にちなんで名づけられていて、正式名称はクンバカルナであるが  、ジャヌーという呼び名でもよく知られている  。 シナ・チベット語族 の リンブー語 では「肩のある山」（フォタンphoktangは肩を、ルンマlungmaは山を意味する）と呼ばれ、さらにキラティ民族（ Kirati people ）にとっては宗教上神聖な山である。","https://ja.wikipedia.org/wiki/ジャヌー","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度40分58秒 東経88度02分45秒","","","","","","","","","","","","","","","","","","",""
"ティリチミール","[33ヒンドゥークシュ-01ティリチミールヒンドゥークシュ パキスタン7,70825,2891950北緯36度15分19秒東経71度50分30秒﻿ / ﻿北緯36.25528度 東経71.84167度﻿ /36.25528; 71.84167] 初登頂は、 1950年 に ノルウェー 隊により成し遂げられた。この山は、 チトラル から望むことができ、中央市場からも容易に見える。また アフガニスタン からも見ることができる。地元の伝説によると、山の上に住むジン（精霊）、悪魔、魔女、妖精のために登ることができない山という。チトラルからこの山に向かう途中でもっとも山に近いのがティリチ村である。この村の住民はKhowar語を話す。山の途中までは登山のガイドや荷物運搬を依頼することもできる。","https://ja.wikipedia.org/wiki/ティリチミール","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度14分45秒東経71度50分38秒","7,708m","パキスタン","ノルウェー隊（1950年）","ヒンドゥークシュ山脈","北緯36度14分45秒東経71度50分38秒﻿ / ﻿北緯36.24583度 東経71.84389度﻿ /36.24583; 71.84389座標:北緯36度14分45秒東経71度50分38秒﻿ / ﻿北緯36.24583度 東経71.84389度﻿ /36.24583; 71.84389","","","","","","","","","","","","","",""
"モラメンチン","[ヒマラヤ-22モラメンチン（英語版）ヒマラヤ 中国7,70325,2721981北緯28度21分17秒東経85度48分39秒﻿ / ﻿北緯28.35472度 東経85.81083度﻿ /28.35472; 85.81083]","https://ja.wikipedia.org/w/index.php?title=モラメンチン&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"グルラ・マンダータ","[34ヒマラヤ-23グルラ・マンダータ（英語版）ヒマラヤ 中国7,69425,2431985北緯30度26分17秒東経81度17分53秒﻿ / ﻿北緯30.43806度 東経81.29806度﻿ /30.43806; 81.29806]","https://ja.wikipedia.org/w/index.php?title=グルラ・マンダータ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"サセール・カンリ","[35カラコルム-14サセール・カンリ（英語版）I/K22カラコルム インド(カシミール地域)7,67225,1711973北緯34度52分00秒東経77度45分09秒﻿ / ﻿北緯34.86667度 東経77.75250度﻿ /34.86667; 77.75250]","https://ja.wikipedia.org/w/index.php?title=サセール・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"チョゴリザ","[36カラコルム-15チョゴリザカラコルム パキスタン(カシミール地域)7,66525,1481975北緯35度36分42秒東経76度34分18秒﻿ / ﻿北緯35.61167度 東経76.57167度﻿ /35.61167; 76.57167] 1909年、 ルイージ・アメデーオ・ディ・サヴォイア＝アオスタ の率いるパーティが北側のベースキャンプ及び6,335mの高地キャンプから7,498mまで登攀した。悪天候のためそれ以上登ることはできなかったが、これは当時の 登山における最高到達高度の記録 となった  。","https://ja.wikipedia.org/wiki/チョゴリザ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度36分51秒東経76度34分45秒","7,665m","パキスタンギルギット・バルティスタン州","1975年8月2日（チョゴリザ1峰）1958年8月4日（チョゴリザ2峰）","カラコルム山脈","北緯35度36分51秒東経76度34分45秒﻿ / ﻿北緯35.61417度 東経76.57917度﻿ /35.61417; 76.57917座標:北緯35度36分51秒東経76度34分45秒﻿ / ﻿北緯35.61417度 東経76.57917度﻿ /35.61417; 76.57917","","","","","","","","","","","","","",""
"ダウラギリ IV","[ヒマラヤ-24ダウラギリ IVヒマラヤ ネパール7,66125,1351975北緯28度44分09秒東経83度18分55秒﻿ / ﻿北緯28.73583度 東経83.31528度﻿ /28.73583; 83.31528] ダウラギリは、1808年に初めてヨーロッパの人々に知られるようになり、 カンチェンジュンガ の存在が知られるまでの約30年間、世界一高い山と考えられていた。","https://ja.wikipedia.org/wiki/ダウラギリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度41分47秒東経83度29分43秒","8167m","ネパールダウラギリ県","スイス・オーストリア隊（1960年5月13日）","ヒマラヤ山脈","北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528座標:北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528","","","","","","","","","","","","","",""
"コングール山","[37崑崙山脈-01コングール山崑崙山脈 中国7,64925,0951981北緯38度35分38秒東経75度18分48秒﻿ / ﻿北緯38.59389度 東経75.31333度﻿ /38.59389; 75.31333] なお、コングール山の標高を7,719mとする説もある。","https://ja.wikipedia.org/wiki/コングール山","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯38度35分38秒東経75度18分48秒","7,649m","中国新疆ウイグル自治区アクト県","イギリス隊（1981年）","崑崙山脈","北緯38度35分38秒東経75度18分48秒﻿ / ﻿北緯38.59389度 東経75.31333度﻿ /38.59389; 75.31333座標:北緯38度35分38秒東経75度18分48秒﻿ / ﻿北緯38.59389度 東経75.31333度﻿ /38.59389; 75.31333","","","","","","","","","","","","","",""
"ダウラギリ V","[ヒマラヤ-25ダウラギリ Vヒマラヤ ネパール7,61824,9931975北緯28度44分02秒東経83度21分41秒﻿ / ﻿北緯28.73389度 東経83.36139度﻿ /28.73389; 83.36139] ダウラギリは、1808年に初めてヨーロッパの人々に知られるようになり、 カンチェンジュンガ の存在が知られるまでの約30年間、世界一高い山と考えられていた。","https://ja.wikipedia.org/wiki/ダウラギリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度41分47秒東経83度29分43秒","8167m","ネパールダウラギリ県","スイス・オーストリア隊（1960年5月13日）","ヒマラヤ山脈","北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528座標:北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528","","","","","","","","","","","","","",""
"シスパレ","[38カラコルム-16シスパレ（英語版）カラコルム パキスタン(カシミール地域)7,61124,9701974北緯36度26分26秒東経74度40分51秒﻿ / ﻿北緯36.44056度 東経74.68083度﻿ /36.44056; 74.68083]","https://ja.wikipedia.org/w/index.php?title=シスパレ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"トリヴォール","[39カラコルム-17トリヴォール（英語版）カラコルム パキスタン(カシミール地域)7,57724,8591960北緯36度17分15秒東経75度05分10秒﻿ / ﻿北緯36.28750度 東経75.08611度﻿ /36.28750; 75.08611]","https://ja.wikipedia.org/w/index.php?title=トリヴォール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ガンカー・プンスム","[40ヒマラヤ-26ガンカー・プンスムヒマラヤ ブータン7,57024,836未踏峰北緯28度02分48秒東経90度27分21秒﻿ / ﻿北緯28.04667度 東経90.45583度﻿ /28.04667; 90.45583] ガンカー・プンスム（Gangkhar Puensum）の代替音訳には \"Gangkar Punsum\" や \"Gankar Punzum\" があるが、「三人の精神的な兄弟の白い峰（ White peak of the three spiritual brothers ）」という同じ意味である。 ガンカー・プンスムは 1922年 に初めて標高が計測されたが、地図は正確ではなく、山は別の場所に全く異なる高さで表示されていた。実際に、不正確な地図のため、最初の登山隊は山を発見することが全く出来なかった。","https://ja.wikipedia.org/wiki/ガンカー・プンスム","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度06分00秒東経90度26分00秒","7,570m","ブータン、チベット","未登頂","ヒマラヤ山脈","北緯28度06分00秒東経90度26分00秒﻿ / ﻿北緯28.10000度 東経90.43333度﻿ /28.10000; 90.43333座標:北緯28度06分00秒東経90度26分00秒﻿ / ﻿北緯28.10000度 東経90.43333度﻿ /28.10000; 90.43333","","","","","","","","","","","","","",""
"ミニヤコンカ","[41ヒマラヤ-27ミニヤコンカヒマラヤ 中国7,55624,7901932北緯29度35分43秒東経101度52分47秒﻿ / ﻿北緯29.59528度 東経101.87972度﻿ /29.59528; 101.87972] 1981年 には北海道山岳連盟登山隊8名の滑落死事件があり、 2011年 現在、日本人海外遠征隊での最大の犠牲者数である（行方不明者を含めた場合 1991年 に 雲南省 の 梅里雪山 で11人の日本人が犠牲になっている）。","https://ja.wikipedia.org/wiki/ミニヤコンカ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","7556m","中国","1932年10月28日　R・L・バードソルT・ムーア（アメリカ隊）","大雪山脈(横断山脈)","","","","","","","","","","","","","","",""
"アンナプルナ III","[42ヒマラヤ-28アンナプルナ IIIヒマラヤ ネパール7,55524,7871961北緯28度35分05秒東経83度59分28秒﻿ / ﻿北緯28.58472度 東経83.99111度﻿ /28.58472; 83.99111] しかし、14座ある8000メートル峰の中では10番目の標高であるが、けっして容易な山ではない。北面は常に雪崩の危険がつきまとい、南面は岩と氷の困難な大岩壁が立ちはだかっている。最も登られる北斜面では、初登頂ルートを含む北氷河を通過するルートで雪崩が頻発し、雪崩を避けるために稜線沿いにルートをとった場合でさえ雪崩の死者が多数出ている   。そのため8000メートル峰の中では最も登頂者が少なく、2012年3月の時点で、登頂者数191人に対して死亡者数は61人  に達する。死亡率が高い理由は、エベレストのような商業登山の対象とならず、難度の高いルート、単独ないし アルパイン・スタイル 、無酸素による挑戦の比率が高いことにも起因している。","https://ja.wikipedia.org/wiki/アンナプルナ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度35分00秒東経83度49分00秒","8091m","ネパール中部","モーリス・エルゾーグ、ルイ・ラシュナル（フランス語版）（1950年6月3日）","ヒマラヤ山脈","北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667座標:北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667","","","","","","","","","","","","","",""
"ムスターグ・アタ","[43崑崙山脈-02ムスターグ・アタ崑崙山脈 中国7,54624,7571956北緯38度16分42秒東経75度06分57秒﻿ / ﻿北緯38.27833度 東経75.11583度﻿ /38.27833; 75.11583] 山名は、ウイグル語で「氷の山の父」の意味である。","https://ja.wikipedia.org/wiki/ムスタグアタ山","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯38度16分42秒東経75度06分57秒","7,509 m(24,636 ft) 世界43位","中華人民共和国新疆ウイグル自治区","1956年 E. A. Beletskiyら","","","2,698 m(8,852 ft) ","パミール高原","glacier/snow climb","ウルトラ・プロミネント峰","","","","氷の山の父(ウイグル語)","","","","","",""
"スキャン・カンリ","[44カラコルム-18スキャン・カンリ（英語版）カラコルム パキスタン 中国7,54524,7541976北緯35度55分35秒東経76度34分03秒﻿ / ﻿北緯35.92639度 東経76.56750度﻿ /35.92639; 76.56750]","https://ja.wikipedia.org/w/index.php?title=スキャン・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"チャンツェ","[45ヒマラヤ-29チャンツェ（英語版）ヒマラヤ 中国7,54324,7471982北緯28度01分29秒東経86度54分31秒﻿ / ﻿北緯28.02472度 東経86.90861度﻿ /28.02472; 86.90861]","https://ja.wikipedia.org/w/index.php?title=チャンツェ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"クーラ・カンリ","[46ヒマラヤ-30クーラ・カンリヒマラヤ 中国7,53824,7311986北緯28度13分34秒東経90度36分54秒﻿ / ﻿北緯28.22611度 東経90.61500度﻿ /28.22611; 90.61500] 中国と日本の専門家は、近傍の ガンカー・プンスム の方がより標高が高いとも主張している。また、クーラカンリがブータン領内、ないし、国境上にあるという主張にも異論が出されている  。","https://ja.wikipedia.org/wiki/クーラカンリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度13分39秒東経90度37分00秒","7,538 m(24,731 ft) （7554mとする資料もある）46位","中国チベット自治区ロダク県（ブータン）","1986年日中共同隊","","","1,654 m(5,427 ft) ","ヒマラヤ山脈","","Ultra","","","","","","","","","",""
"コングール・チュベ","[47崑崙山脈-03コングール・チュベ崑崙山脈 中国7,53024,7051956北緯38度36分59秒東経75度11分55秒﻿ / ﻿北緯38.61639度 東経75.19861度﻿ /38.61639; 75.19861] なお、コングール山の標高を7,719mとする説もある。","https://ja.wikipedia.org/wiki/コングール山","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯38度35分38秒東経75度18分48秒","7,649m","中国新疆ウイグル自治区アクト県","イギリス隊（1981年）","崑崙山脈","北緯38度35分38秒東経75度18分48秒﻿ / ﻿北緯38.59389度 東経75.31333度﻿ /38.59389; 75.31333座標:北緯38度35分38秒東経75度18分48秒﻿ / ﻿北緯38.59389度 東経75.31333度﻿ /38.59389; 75.31333","","","","","","","","","","","","","",""
"マモストン・カンリ","[48カラコルム-19マモストン・カンリカラコルム インド(カシミール地域)7,51624,6591984北緯35度08分27秒東経77度34分39秒﻿ / ﻿北緯35.14083度 東経77.57750度﻿ /35.14083; 77.57750] 南チョン・クムダン氷河 (the South Chong Kumdan Glacier)、キチク・クムダン（タングマン）氷河 (Kichik Kumdan (Thangman) Glacier)、マモストン氷河 (Mamostong Glacier)、南テロン氷河 (South Terong Glacier) は、いずれもマモストン・カンリの斜面上に源を発している。","https://ja.wikipedia.org/wiki/マモストン・カンリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度08分27秒東経77度34分39秒","7,516 m(24,659 ft) 世界48位","インドラダック","1984年9月13日、インド・日本合同遠征隊（日本側では、「日本・インド合同カラコルム登山隊1984年」、「日本ヒマラヤ協会・インド登山財団合同隊」などと呼んだ。）","","","1,803 m(5,915 ft) ","カラコルム山脈リモ山群（英語版）","","ウルトラ・プロミネント峰","","","","","","","","","",""
"サセール・カンリ","[49カラコルム-20サセール・カンリ（英語版）II Eカラコルム インド(カシミール地域)7,51324,6492011北緯34度48分15秒東経77度48分18秒﻿ / ﻿北緯34.80417度 東経77.80500度﻿ /34.80417; 77.80500]","https://ja.wikipedia.org/w/index.php?title=サセール・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"イスモイル・ソモニ峰","[50パミール高原-01イスモイル・ソモニ峰パミール高原 タジキスタン7,49524,5901933北緯38度56分32秒東経72度00分57秒﻿ / ﻿北緯38.94222度 東経72.01583度﻿ /38.94222; 72.01583] タジキスタンの 最高峰 。 ソビエト連邦 が形成されていた時代は連邦の最高峰でもあった。","https://ja.wikipedia.org/wiki/イスモイル・ソモニ峰","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯38度55分東経72度01分","7,495m","タジキスタン","1933年","パミール高原","北緯38度55分東経72度01分﻿ / ﻿北緯38.917度 東経72.017度﻿ /38.917; 72.017座標:北緯38度55分東経72度01分﻿ / ﻿北緯38.917度 東経72.017度﻿ /38.917; 72.017","","","","","","","","","","","","","",""
"サセール・カンリ","[51カラコルム-21サセール・カンリ（英語版）IIIカラコルム インド(カシミール地域)7,49524,5901986北緯34度50分44秒東経77度47分06秒﻿ / ﻿北緯34.84556度 東経77.78500度﻿ /34.84556; 77.78500]","https://ja.wikipedia.org/w/index.php?title=サセール・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ノシャック","[52ヒンドゥークシュ-02ノシャックヒンドゥークシュ アフガニスタン7,49224,5801960北緯36度26分00秒東経71度49分40秒﻿ / ﻿北緯36.43333度 東経71.82778度﻿ /36.43333; 71.82778] 初登頂は 1960年 に日本の酒井敏明と岩坪五郎によって成し遂げられた。この時は南東側の斜面からの登頂であった。冬季における初登頂は 1973年 に ポーランド の Tadeusz Piotrowski と Andrzej Zawada によって北面から成し遂げられ、世界初の冬季における7,000m級峰の登頂であった。","https://ja.wikipedia.org/wiki/ノシャック","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度25分54秒東経71度49分42秒","7,492m","アフガニスタンバダフシャーン州パキスタンカイバル・パクトゥンクワ州","酒井敏明、岩坪五郎（1960年）","ヒンドゥークシュ山脈","北緯36度25分54秒東経71度49分42秒﻿ / ﻿北緯36.43167度 東経71.82833度﻿ /36.43167; 71.82833座標:北緯36度25分54秒東経71度49分42秒﻿ / ﻿北緯36.43167度 東経71.82833度﻿ /36.43167; 71.82833","","","","","","","","","","","","","",""
"プマリ・チッシュ","[53カラコルム-22プマリ・チッシュ（英語版）カラコルム7,49224,5801979北緯36度12分40秒東経75度15分10秒﻿ / ﻿北緯36.21111度 東経75.25278度﻿ /36.21111; 75.25278]","https://ja.wikipedia.org/w/index.php?title=プマリ・チッシュ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"パスー・サール","[54カラコルム-23パスー・サール（英語版）カラコルム パキスタン(カシミール地域)7,47624,5281994北緯36度29分16秒東経74度35分16秒﻿ / ﻿北緯36.48778度 東経74.58778度﻿ /36.48778; 74.58778]","https://ja.wikipedia.org/w/index.php?title=パスー・サール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ユクシン・ガルダン・サール","[55カラコルム-24ユクシン・ガルダン・サール（英語版）カラコルム パキスタン(カシミール地域)7,46924,5051984北緯36度15分00秒東経75度22分30秒﻿ / ﻿北緯36.25000度 東経75.37500度﻿ /36.25000; 75.37500]","https://ja.wikipedia.org/w/index.php?title=ユクシン・ガルダン・サール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"テラム・カンリ","[56カラコルム-25テラム・カンリ（英語版）Iカラコルム インド(カシミール地域)7,46224,4821975北緯35度34分48秒東経77度04分42秒﻿ / ﻿北緯35.58000度 東経77.07833度﻿ /35.58000; 77.07833]","https://ja.wikipedia.org/w/index.php?title=テラム・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ジョンサン・ピーク","[57ヒマラヤ-31ジョンサン・ピーク（英語版）ヒマラヤ インド ネパール 中国7,46224,4821930北緯27度52分52秒東経88度08分05秒﻿ / ﻿北緯27.88111度 東経88.13472度﻿ /27.88111; 88.13472]","https://ja.wikipedia.org/w/index.php?title=ジョンサン・ピーク&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"マルビティン","[58カラコルム-26マルビティン（英語版）カラコルム パキスタン(カシミール地域)7,45824,4691971北緯36度00分12秒東経74度52分31秒﻿ / ﻿北緯36.00333度 東経74.87528度﻿ /36.00333; 74.87528]","https://ja.wikipedia.org/w/index.php?title=マルビティン&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
