"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","最高峰","所属諸島","標高","位置","山系","種類","人口","最大都市","最新噴火","人口密度","Hidden","Hidden","Hidden","Hidden"
"本島 (香川県)","[50遠見山とおみやま101本島香川県丸亀市] 本島 （ほんじま）は、 香川県 丸亀市 に属する島。面積6.74km 2 、周囲16.4km  。 塩飽諸島 の中心で、四人の年寄が勤番で政務を行った 塩飽勤番所 、敵襲からの防御を考え細い路地が入り組んだ古い町並みが残るかつての塩飽水軍の本拠「 笠島 」などが見られる。今も塩飽諸島の中で最も人口が多い。","https://ja.wikipedia.org/wiki/本島_(香川県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度23分3秒東経133度46分9秒","日本（香川県丸亀市）","6.74km²","203.94m","瀬戸内海","16.4km","小坂山","塩飽諸島","","","","","","","","","","","",""
"広島 (香川県)","[51心経山しんぎょうざん213広島香川県丸亀市] 広島 （ひろしま、愛称： 青木石の島、讃岐広島 ）は、 瀬戸内海 北部の 水島灘 に浮かぶ 島 。 香川県 丸亀市 広島町に属し、 塩飽諸島 の島の中では最大の面積をもつ。北端の地形はやや尖った形をしている。","https://ja.wikipedia.org/wiki/広島_(香川県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度22分25秒東経133度42分33秒","日本（香川県丸亀市）","11.66km²","312.01m","瀬戸内海","18.5km","王頭山","塩飽諸島","","","","","","","","","","","",""
"高見島","[52龍王山りゅうおうざん297高見島香川県多度津町] 高見島 （たかみじま）は、 香川県 仲多度郡 多度津町 にある 島 。","https://ja.wikipedia.org/wiki/高見島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度19分0秒東経133度40分15秒","日本香川県仲多度郡多度津町","2.33km²","","瀬戸内海","","","塩飽諸島","","","","","","","","","","","",""
"粟島 (香川県)","[53城山じょうのやま222粟島香川県三豊市] 粟島 （あわしま）は、 香川県 三豊市 に位置し、 詫間港 の北西4.5kmの海上に浮かぶ 島 。面積3.72km 2 、周囲16km。北東に 高見島 、東に 志々島 がある。南西の細長い半島は 荘内半島 。","https://ja.wikipedia.org/wiki/粟島_(香川県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度16分20秒東経133度38分0秒","日本香川県三豊市","3.72km²","222.08m","瀬戸内海","16km","城山","塩飽諸島","","","","","","","","","","","",""
"積善山","[54積善山せきぜんざん370岩城島愛媛県上島町] 積善山 （せきぜんさん）は 芸予諸島 の一つ 生口島 のすぐ東に位置する 岩城島 にある標高369.8mの 山    。その放物線を描くような山容から、岩城富士の異名をとっている  。","https://ja.wikipedia.org/wiki/積善山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度15分24秒東経133度08分50秒","日本愛媛県越智郡上島町（旧岩城村）岩城島　","","","","","","","369.8m","北緯34度15分24秒東経133度08分50秒﻿ / ﻿北緯34.25667度 東経133.14722度﻿ /34.25667; 133.14722座標:北緯34度15分24秒東経133度08分50秒﻿ / ﻿北緯34.25667度 東経133.14722度﻿ /34.25667; 133.14722","","","","","","","","","",""
"鷲ヶ頭山","[55鷲ヶ頭山わしがとうさん436大三島愛媛県今治市] 鷲ヶ頭山 （わしがとうざん、わしがとうさん）は、 愛媛県 今治市 の 大三島 のほぼ中央に位置する 標高 436mの 山 である   。","https://ja.wikipedia.org/wiki/鷲ヶ頭山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度14分21秒東経133度01分17秒","日本愛媛県今治市","","","","","","","436m","北緯34度14分21秒東経133度01分17秒﻿ / ﻿北緯34.23917度 東経133.02139度﻿ /34.23917; 133.02139座標:北緯34度14分21秒東経133度01分17秒﻿ / ﻿北緯34.23917度 東経133.02139度﻿ /34.23917; 133.02139","","","","","","","","","",""
"亀老山","[56亀老山きろうさん308大島愛媛県今治市] 亀老山 （きろうさん、きろうざん）は、 瀬戸内海 のほぼ中部の 大島 の南部に位置する山である。別名　大亀山（おおきやま）、隅ヶ岳。標高307m。行政区画は 愛媛県 今治市 吉海町。","https://ja.wikipedia.org/wiki/亀老山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度07分13秒東経133度02分01秒","愛媛県今治市","","","","","","","307m","北緯34度07分13秒東経133度02分01秒﻿ / ﻿北緯34.12028度 東経133.03361度﻿ /34.12028; 133.03361","大島","","","","","","","","",""
"興居島","[57小冨士山こふじさん282興居島愛媛県松山市] 興居島 （ごごしま）は、 愛媛県 松山市 の 松山港 の沖合いに所在する、 瀬戸内海 に浮かぶ有人指定離島である。","https://ja.wikipedia.org/wiki/興居島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度54分0秒東経132度40分10秒","日本愛媛県松山市","8.49km²","282m","瀬戸内海","","","","","","","","","","","","","","",""
"九島","[58鳥屋ヶ森とやがもり320九島愛媛県宇和島市] 九島 （くしま）は、 愛媛県 の 宇和島港 の西、沖合い約3 キロメートル 、湾の入り口にたちはだかる形となっている有人 島 である。 宇和海諸島 の一部をなし、行政区域としては 宇和島市 に属する。","https://ja.wikipedia.org/wiki/九島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度13分50秒東経132度31分15秒","日本（愛媛県）","3.36km²","320m","宇和海","","","宇和海諸島","","","","","","","","","","","",""
"妹背山","[59妹背山いもせやま404沖の島高知県宿毛市] 高知県 宿毛市 から西南へ24km離れた海洋上の 沖ノ島 の中央にある島の最高峰、 標高 404.1m。 今昔物語 に妹兄（いもせ）の島とあり、昔、この島に漂着した幼い兄妹が農耕をしながら生きながらえ、やがて夫婦になったという伝説が山名の由来と云われている  。宿毛市の片島港から沖ノ島の母島港へ定期便があり、上陸し港から約1時間40分登ると一等三角点のある展望の利かない山頂に着く。","https://ja.wikipedia.org/wiki/妹背山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度43分38.93秒東経132度33分16.44秒","高知県宿毛市","","","","","","","404.1m","北緯32度43分38.93秒東経132度33分16.44秒﻿ / ﻿北緯32.7274806度 東経132.5545667度﻿ /32.7274806; 132.5545667","四国山地","","","","","","","","",""
"大島 (福岡県)","[60御嶽山みたけさん224大島福岡県宗像市] 大島 （おおしま）は、 響灘 と 玄界灘 の境界部に面する 福岡県 宗像市 の 島 （有人島）である。 筑前大島 ともいい、 宗像七浦 の一つで、 世界遺産 の 宗像大社 中津宮、沖津宮遙拝所がある。キャッチフレーズは「神守る島」。","https://ja.wikipedia.org/wiki/大島_(福岡県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度54分8.1秒東経130度25分32秒","日本（福岡県宗像市）","7.45km²","224m","日本海（響灘）","16.5km","","","","","","","","","","","","","",""
"姫島 (福岡県)","[61鎮山ちんやま187姫島福岡県糸島市] 姫島 （ひめしま）は、 福岡県 西部の 糸島半島 から北西に4kmの 玄界灘 にある 島 である。人口は147人（H27）  。福岡県 糸島市 に属する。","https://ja.wikipedia.org/wiki/姫島_(福岡県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度34分14秒東経130度2分55秒","日本（福岡県糸島市）","0.75km²","186.7m","日本海（玄界灘）","3.8km","鎮山","","","","","","","","","","","","",""
"対馬島","[62白嶽しらたけ518対馬島長崎県対馬市] 対馬 （つしま）または対馬島（つしまとう、 英語 ：Tsushima Island）は、 日本 の 九州 の北方の 玄界灘 にある、 長崎県 （ながさきけん）に属する 島 で、島全域が 対馬市 の1島1市体制である。面積は日本第10位である  。島内人口は3万470人である  （2019年9月現在）。","https://ja.wikipedia.org/wiki/対馬島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度25分東経129度20分","日本長崎県対馬市","696.10（属島を含まない）708.5（属島を含む）km²","648.5m","日本海（対馬海峡・朝鮮海峡）","915（属島を含む）km","","日本列島","","","","","","","","","","","",""
"有明山 (長崎県)","[63有明山ありあけやま558対馬島長崎県対馬市] 有明山 （ありあけやま）は、 長崎県 対馬市 にある、標高558.09 メートル の 山  。 万葉集 で「対馬の嶺」と詠まれた山とされる   。 壱岐対馬国定公園  、 しま山100選  。","https://ja.wikipedia.org/wiki/有明山_(長崎県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度12分15.8610秒東経129度15分54.0285秒","長崎県対馬市","","","","","","","558.09m","北緯34度12分15.8610秒東経129度15分54.0285秒﻿ / ﻿北緯34.204405833度 東経129.265007917度﻿ /34.204405833; 129.265007917座標:北緯34度12分15.8610秒東経129度15分54.0285秒﻿ / ﻿北緯34.204405833度 東経129.265007917度﻿ /34.204405833; 129.265007917","","","","","","","","","",""
"壱岐島","[64岳ノ辻たけのつじ213壱岐島長崎県壱岐市] 壱岐島 （いきのしま）は、 長崎県 に属する 離島 で、 九州 と 対馬 の間に位置する。南北17 km・東西14 km程度の大きさの壱岐島は、周辺の小さな島々と区別して 壱岐本島 と呼ぶ場合もある。また『 古事記 』では「伊伎島（いきのしま）」と書かれ  、別名を 天比登都柱 （あめひとつばしら）と言う  。","https://ja.wikipedia.org/wiki/壱岐島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度47分0秒東経129度43分0秒","日本長崎県壱岐市","133.8 km²","212.8 m","日本海（玄界灘）、壱岐水道、対馬海峡","167.5 km","","","","","","","","","","","","","",""
"度島","[65丸島の飯盛山まるしまのいいもりやま103度島長崎県平戸市] 度島 （たくしま）は、 長崎県 平戸市 に属する 島 。","https://ja.wikipedia.org/wiki/度島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度26分18.7秒東経129度31分26.9秒","日本長崎県平戸市","3.47km²","103m","","12.0km","","","","","","","","","","","","","",""
"安満岳","[66安満岳やすまんだけ536平戸島長崎県平戸市] 安満岳 （やすまんだけ）は、 長崎県 平戸市 の 平戸島 北西部にある 山 である。 標高 530m  。平戸市及び平戸島の最高峰である。","https://ja.wikipedia.org/wiki/安満岳","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度20分13秒東経129度27分57秒","長崎県平戸市","","","","","","","530m","北緯33度20分13秒東経129度27分57秒﻿ / ﻿北緯33.33694度 東経129.46583度﻿ /33.33694; 129.46583座標:北緯33度20分13秒東経129度27分57秒﻿ / ﻿北緯33.33694度 東経129.46583度﻿ /33.33694; 129.46583","","メサ","","","","","","","",""
"志々伎山","[67志々伎山しじきさん347平戸島長崎県平戸市] 志々伎山 （しじきさん）は、 長崎県 平戸市 の 平戸島 最南部にある山である。標高347.2m。 九州百名山 の一つである。","https://ja.wikipedia.org/wiki/志々伎山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度10分31秒東経129度22分22秒","長崎県平戸市","","","","","","","347.2m","北緯33度10分31秒東経129度22分22秒﻿ / ﻿北緯33.17528度 東経129.37278度﻿ /33.17528; 129.37278座標:北緯33度10分31秒東経129度22分22秒﻿ / ﻿北緯33.17528度 東経129.37278度﻿ /33.17528; 129.37278","","","","","","","","","",""
"宇久島","[68城ヶ岳しろがたけ259宇久島長崎県佐世保市] 宇久島 （うくじま）は、 九州 本土から西へ約50km離れた 五島列島 の最北部にある 島 （有人島）。全島が 長崎県 佐世保市 に属する。","https://ja.wikipedia.org/wiki/宇久島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯33度16分10.9秒東経129度6分45.7秒","日本（長崎県佐世保市）","24.93km²","258m","","","城ヶ岳","","","","","","","","","","","","",""
"中通島","[69番岳ばんだけ443中通島長崎県新上五島町] 中通島 （なかどおりじま）は、 長崎県 の西に浮かぶ 五島列島 を構成する 島 の一つである。全島が 長崎県 南松浦郡 新上五島町 に属する。","https://ja.wikipedia.org/wiki/中通島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度59分東経129度05分","日本（長崎県南松浦郡新上五島町）","168.34km²","（番岳）442m","五島灘","278.8km","番岳（新上五島町小串郷・立串郷・曽根郷）","五島列島","","","","","","","","","","","",""
"中通島","[70山王山さんのうざん439中通島長崎県新上五島町] 中通島 （なかどおりじま）は、 長崎県 の西に浮かぶ 五島列島 を構成する 島 の一つである。全島が 長崎県 南松浦郡 新上五島町 に属する。","https://ja.wikipedia.org/wiki/中通島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度59分東経129度05分","日本（長崎県南松浦郡新上五島町）","168.34km²","（番岳）442m","五島灘","278.8km","番岳（新上五島町小串郷・立串郷・曽根郷）","五島列島","","","","","","","","","","","",""
"奈留島","[71遠見番山とおみばんやま193奈留島長崎県五島市] 奈留島 （なるしま）は、 長崎県 の西に浮かぶ 五島列島 を構成する 島 の一つである。五島列島内では 久賀島 と 若松島 の間にあり、全島が 長崎県 五島市 に属する。","https://ja.wikipedia.org/wiki/奈留島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度50分15.9秒東経128度56分5.5秒","日本（長崎県五島市）","23.82km²","（鴨越）276m","五島灘","","","五島列島","","","","","","","","","","","",""
"鬼岳","[72鬼岳おにだけ315福江島長崎県五島市] 鬼岳 （おんだけ）は、 長崎県 五島市 上大津町にある 標高 315 メートル の 火山 である。 西海国立公園 に指定されている ","https://ja.wikipedia.org/wiki/鬼岳","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度39分23.85秒東経128度50分55.97秒","日本長崎県五島市","","","","","","","315m","北緯32度39分23.85秒東経128度50分55.97秒﻿ / ﻿北緯32.6566250度 東経128.8488806度﻿ /32.6566250; 128.8488806座標:北緯32度39分23.85秒東経128度50分55.97秒﻿ / ﻿北緯32.6566250度 東経128.8488806度﻿ /32.6566250; 128.8488806","福江火山群","スコリア丘","","","","","","","",""
"福江島","[73七ツ岳ななつだけ431福江島長崎県五島市] 福江島 （ふくえじま）は、 長崎県 西方沖の 五島列島 を構成する島の一つである。行政区分は 長崎県 五島市 に属する。南に離れた 男女群島 を除けば五島列島の南西端に位置する。島の面積326.43km 2 は五島列島最大、日本国内では11番目の面積を持っている  。","https://ja.wikipedia.org/wiki/福江島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度41分43.8秒東経128度50分26.9秒","日本（長崎県五島市）","326.43km²","（父ヶ岳）461m","五島灘","322.1km","","五島列島","","","","","","","","","","","",""
"嵯峨島","[74男岳おだけ150嵯峨島長崎県五島市] 嵯峨ノ島 （さがのしま）は、 五島列島 の 福江島 の北西約4km、 東シナ海 にある 島 である。 長崎県 五島市 に属する。 2010年 国勢調査 時点では人口161人で、集落中心部を除く島のほぼ全域が 西海国立公園 特別保護地区、または同公園特別地域である。 カトリック教会 と 念仏踊り 「 オーモンデー 」が同居する島でもある    。","https://ja.wikipedia.org/wiki/嵯峨島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度43分36秒東経128度35分53秒","日本（長崎県五島市）","3.16km²","151m","東シナ海","9.5km","男岳","五島列島","","","","","","","","","","","",""
"御所浦島","[75烏峠からすとうげ442御所浦島熊本県天草市] 御所浦島 （ごしょうらじま）は、 天草諸島 の 島 の一つである。 八代海 に面している。","https://ja.wikipedia.org/wiki/御所浦島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","","日本（熊本県天草市）","","","","","","","","","","","","","","","","","",""
"天草下島","[76天竺てんじく538天草下島熊本県苓北町] 下島 （しもしま）は、 熊本県 の 天草諸島 にある 島 である。 面積 約574.01 km 2 と熊本県最大で、 日本 の中では 本州 など4島を除くと面積第8位である  。","https://ja.wikipedia.org/wiki/天草下島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度26分10.7秒東経130度5分1.4秒","日本（熊本県天草市）","574.01km²","538.4m","東シナ海","301.2km","天竺","天草諸島","","","","","","熊本県天草市","","","","","",""
"保戸島","[77遠見山とおみやま179保戸島大分県津久見市] 保戸島 （ほとじま）は、 大分県 の 四浦半島 沖の 豊後水道 に浮かぶ 島 。 津久見市 に属する。","https://ja.wikipedia.org/wiki/保戸島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","","日本（大分県津久見市）","0.86km²","179m","","4km","遠見山","豊後諸島","","","","","","","","","","","",""
"島野浦島","[78遠見場山とんばやま185島野浦島宮崎県延岡市] 島浦島 （しまうらとう）は、 日向灘 北部に位置する島である。 離島振興法 における離島振興対策実施地域名は 島野浦島 （しまのうらとう）。行政区分は 宮崎県 延岡市 島浦町 （しまうら まち ）。","https://ja.wikipedia.org/wiki/島野浦島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度39分50秒東経131度49分18秒","日本（宮崎県）","2.85km²","185.5(186)m","太平洋（日向灘）","15.49km","遠見場山","","","","","","","","","","","","",""
"獅子島","[79七郎山しちろうざん393獅子島鹿児島県長島町] 獅子島 （ししじま）は、 鹿児島県 出水郡 長島町 を構成する 島 の一つであり、鹿児島県の有人離島では最北に位置し、また県の最北端でもある。人口は約689人（平成27年）  。","https://ja.wikipedia.org/wiki/獅子島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯32度16分44.1秒東経130度14分25.5秒","日本鹿児島県出水郡","17.01km²","393m","八代海","","","","","","","","","","","","","","",""
"上甑島","[80遠目木山とおめきやま423上甑島鹿児島県薩摩川内市] 上甑島 （かみこしきしま）は、 東シナ海 の 甑島列島 北部にある 離島 。 鹿児島県 薩摩川内市 に属する。かつては上甑島南部と中甑島を合わせてひとつの自治体だったため、ここでは 中甑島 （なかこしきしま）についても記述する。「甑島」の名は中甑島北部にある「甑」（蒸籠）の形をした巨石を甑大明神として崇拝したことに由来し、かつては子敷島、古志岐島とも書いた   。","https://ja.wikipedia.org/wiki/上甑島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯31度50分26.9秒東経129度52分39.4秒","日本・鹿児島県","44.14km²","423m","東シナ海","81.1km","遠目木山（地図）","甑島列島","","","","","","","","","","","",""
"下甑島","[81尾岳おたけ604下甑島鹿児島県薩摩川内市] 下甑島 （しもこしきしま）は、 東シナ海 の 甑島列島 南部にある 離島 。 鹿児島県 薩摩川内市 に属する。「甑島」の名は中甑島北部にある「甑」（蒸籠）の形をした巨石を甑大明神として崇拝したことに由来し、かつては子敷島、古志岐島とも書いた   。","https://ja.wikipedia.org/wiki/下甑島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯31度43分21.9秒東経129度44分21.3秒","日本・鹿児島県","65.56km²","604m","東シナ海","84.8km","尾岳（地図）","甑島列島","","","","","","","","","","","",""
"知林ヶ島","[82知林ヶ島ちりんがしま90知林ヶ島鹿児島県指宿市] 知林ヶ島 （ちりんがしま）は、 鹿児島県 指宿市 西方 にある 島 である。","https://ja.wikipedia.org/wiki/知林ヶ島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯31度16分37秒東経130度40分38秒","日本（鹿児島県）","0.60km²","90m","鹿児島湾","3km","","","","","","","","","","","","","",""
"種子島","[83天女ヶ倉あまめがくら238種子島鹿児島県西之表市] 種子島 （たねがしま）は、 九州 の 鹿児島県 に属し、 大隅諸島 を構成する 島 の一つ。","https://ja.wikipedia.org/wiki/種子島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯30度35分00秒東経130度59分00秒","日本・鹿児島県","444.30km²","282m","西側は東シナ海・東側はフィリピン海","186km","","","","","","","33,000（2010年）","","","","","","",""
"硫黄島 (鹿児島県)","[84硫黄岳いおうだけ704硫黄島鹿児島県三島村] 硫黄島 （いおうじま）は、 薩南諸島 北部に位置する 島 である。 郵便番号 は890-0901。人口は125人、世帯数は62世帯（ 2020年 5月1日 現在）  。 薩摩硫黄島 （さつまいおうじま）とも呼ばれる。 大隅諸島 に含まれるとする説と含まれないとする説とがある。","https://ja.wikipedia.org/wiki/硫黄島_(鹿児島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯30度47分35秒東経130度18分19秒","日本","11.65km²","703.7m","","14.5km","硫黄岳","","","","","","121 （2006年）","","","","","","",""
"黒島 (鹿児島県)","[85櫓岳やぐらだけ620黒島鹿児島県三島村] 黒島 （くろしま）は、 薩南諸島 北部に位置する有人島である。全国の他の黒島と区別するため 薩摩黒島 （さつまくろしま）と呼ばれることもある。 郵便番号 は890-0902。人口は189人、世帯数は100世帯（2020年5月1日現在）  。 大隅諸島 には、含まれるとする説と含まれないとする説とがある。 竹島 、 硫黄島 および周辺の小島や岩礁とあわせて 鹿児島郡 三島村 を構成する。地名（行政区画）としての「黒島」の呼称は 鹿児島県 鹿児島郡 三島村 の 大字 となっており、全島がこれに該当する。","https://ja.wikipedia.org/wiki/黒島_(鹿児島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯30度50分5.6秒東経129度57分20.7秒","日本","15.37km²","621.9m","","71.7km","櫓岳","大隅諸島","","","","","","","","","","","",""
"屋久島","[86太忠岳たちゅうだけ1,497屋久島鹿児島県屋久島町] 屋久島 （やくしま）は、 鹿児島県 の 大隅半島 佐多岬 南南西約60 km の海上に位置する 島 。 熊毛郡 屋久島町 に属し、近隣の 種子島 や 口永良部島 などと共に 大隅諸島 を形成する。南方に位置する トカラ列島 や 奄美群島 などとともに 南西諸島 を構成する。","https://ja.wikipedia.org/wiki/屋久島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","","日本鹿児島県熊毛郡屋久島町","504.88km²","1,936m","東シナ海","","宮之浦岳","大隅諸島","","","","","13,178（2010年）","","","","","","",""
"宮之浦岳","[87宮之浦岳みやのうらだけ1,936屋久島鹿児島県屋久島町] 宮之浦岳 （みやのうらだけ）は、 鹿児島県 の 屋久島 中央部の 山 である。","https://ja.wikipedia.org/wiki/宮之浦岳","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯30度20分9.9秒東経130度30分15秒","日本鹿児島県熊毛郡屋久島町","","","","","","","1,936m","北緯30度20分9.9秒東経130度30分15秒﻿ / ﻿北緯30.336083度 東経130.50417度﻿ /30.336083; 130.50417座標:北緯30度20分9.9秒東経130度30分15秒﻿ / ﻿北緯30.336083度 東経130.50417度﻿ /30.336083; 130.50417","屋久島","","","","","","","","",""
"口之島","[88フリイ岳ふりいだけ235口之島鹿児島県十島村] 口之島 （くちのしま）は、 吐噶喇列島 に所属する火山 島 である。 トカラ列島 の最も北に位置しており、十島村の玄関口にある。","https://ja.wikipedia.org/wiki/口之島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯29度58分0秒東経129度55分0秒","日本","13.33km²","628m","","20.38km","前岳","吐噶喇列島","","","","","","","","","","","",""
"中之島 (鹿児島県)","[89御岳おたけ979中之島鹿児島県十島村] 中之島 （なかのしま）は、 吐噶喇（トカラ）列島 に所属する島である。面積は34.47 km 2 。周囲30km、最高点は御岳（吐噶喇富士）の979m。人口は159人、世帯数は90世帯（2018年3月31日現在）  。","https://ja.wikipedia.org/wiki/中之島_(鹿児島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯29度50分18.7秒東経129度51分11.6秒","日本鹿児島県鹿児島郡十島村","34.47km²","979m","","30km","御岳","吐噶喇列島","","","","","","","","","","","",""
"諏訪之瀬島","[90御岳おたけ796諏訪之瀬島鹿児島県十島村] 諏訪之瀬島 （すわのせじま）は、 鹿児島県 の 吐噶喇（トカラ）列島 に属する 火山島 である。人口は79人、世帯数は44世帯（ 2018年 3月31日 現在）  。 十島村 では 中之島 に次いで二番目に大きい島である。","https://ja.wikipedia.org/wiki/諏訪之瀬島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯29度36分41.2秒東経129度42分11.3秒","日本鹿児島県鹿児島郡十島村","27.66km²","796m","","27.15km","御岳","吐噶喇列島","","","","","","","","","","","",""
"平島 (鹿児島県)","[91大浦展望台おおうらてんぼうだい131平島鹿児島県十島村] 平島 （たいらじま）は、 鹿児島県 の 吐噶喇列島 の中央部に位置する 島 である。","https://ja.wikipedia.org/wiki/平島_(鹿児島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯29度41分16.1秒東経129度31分42.1秒","日本鹿児島県","2.08km²","","","7.23km","","吐噶喇列島","","","","","","","","","","","",""
"悪石島","[92御嶽みたけ584悪石島鹿児島県十島村] 悪石島 （あくせきじま）は、 吐噶喇（トカラ）列島 に浮かぶ 島 である。 郵便番号 は891-5204。人口は73人、世帯数は35世帯（ 2018年 3月31日 現在）  。","https://ja.wikipedia.org/wiki/悪石島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯29度27分06秒東経129度36分04秒","日本（鹿児島県）","7.49km²","","東シナ海","12.64km","","吐噶喇列島","","","","","","","","","","","",""
"宝島 (鹿児島県)","[93イマキラ岳いまきらだけ292宝島鹿児島県十島村] 宝島 （たからじま）は、 吐噶喇（トカラ）列島 に浮かぶ 島 である。 郵便番号 は891-5301。人口は131人、世帯数は68世帯（ 2018年 3月31日 現在）  。","https://ja.wikipedia.org/wiki/宝島_(鹿児島県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯29度8分45秒東経129度12分30秒","日本（鹿児島県鹿児島郡十島村）","7.14km²","291.9m","東シナ海","13.77km","イマキラ岳","吐噶喇列島","","","","","","","","","","","",""
"奄美大島","[94湯湾岳ゆわんだけ694奄美大島鹿児島県宇検村] 奄美大島 （あまみおおしま）は、 九州 南方海上、 鹿児島市 と 沖縄本島 のほぼ中間に位置する、 鹿児島県 奄美群島 の主要な 島 で、他の島と混同されない場合には単に大島（おおしま 奄美方言 で うしま ）ともいう。また、 奄美群島 内の他の島々との対比で大島本島と表現される場合もある。ウミガメが産卵に訪れる砂浜、' アマミブルー とも称される透明度の高い青い海や、 恐竜 の森のようなイメージの 原生林 が広がっており、 大島海峡 沿岸、 ホノホシ海岸 などの周辺海域や 湯湾岳 などの山地は 奄美群島国立公園 の一部となっており、 徳之島 、 沖縄県 の 西表島 、 沖縄島 北部と共に 世界自然遺産 候補地として登録が推薦されている。気候については島の中央部の名瀬に 測候所 がある 奄美市 を参照。 特に南部の自然は豊かで、希少な生物も多種見られる他、養殖 クロマグロ の出荷日本一の 瀬戸内町 では、本 マグロや、 リュウキュウイノシシ の 料理 なども賞味できる。","https://ja.wikipedia.org/wiki/奄美大島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯28度19分35秒東経129度22分28秒","日本・鹿児島県","712.35km²","694m","周囲はすべて東シナ海","461.1km","湯湾岳","奄美群島","","","","","","奄美市","","","","","",""
"沖永良部島","[95越山こしやま188沖永良部島鹿児島県和泊町] 沖永良部島 （おきのえらぶじま）は、 鹿児島県 の 奄美群島 の南西部に位置する 島 。 大島郡 に属し、 九州 本島から南へ552km、 沖縄本島 から北へ約60km、北緯27度東経128度付近に位置する。 和泊町 と 知名町 の2町からなり 2012年 平成24年) 1月1日 現在の和泊町人口(男3495)(女3601)計7096人、知名町人口(男3366)(女3305)、計6671人両町の合計人口13767人。","https://ja.wikipedia.org/wiki/沖永良部島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯27度22分08秒東経128度34分00秒","日本・鹿児島県","93.65km²","240m","太平洋（東シナ海・フィリピン海）","50km","大山（おおやま）","奄美群島","","","","","","","","","","","",""
