"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"鶴見岳","[30つるみだけ鶴見岳大分県別府市(3)1,374.5地理院地図Googleマップ北緯33度17分12秒東経131度25分47秒﻿ / ﻿北緯33.286601度 東経131.429736度﻿ /33.286601; 131.429736﻿ (鶴見岳)日本三百名山] 鶴見岳 （つるみだけ）は、 大分県 別府市 にある 活火山 。標高は1,375m。 日本三百名山 のひとつ。東側山麓の 扇状地 には 別府温泉 （ 別府八湯 ）が広がる。","https://ja.wikipedia.org/wiki/鶴見岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度17分12秒東経131度25分47秒","1,374.5m","日本大分県別府市","北緯33度17分12秒東経131度25分47秒﻿ / ﻿北緯33.28667度 東経131.42972度﻿ /33.28667; 131.42972座標:北緯33度17分12秒東経131度25分47秒﻿ / ﻿北緯33.28667度 東経131.42972度﻿ /33.28667; 131.42972","","成層火山、溶岩ドーム(活火山ランクB)","","","","","","","","","","","","","",""
"由布岳","[31ゆふだけ由布岳大分県由布市(1)1,583.3地理院地図Googleマップ北緯33度16分56秒東経131度23分25秒﻿ / ﻿北緯33.282267度 東経131.390233度﻿ /33.282267; 131.390233﻿ (由布岳)日本二百名山新日本百名山三角点は西峰豊後富士] 由布岳 （ゆふだけ、油布嶽）は、 大分県 由布市 にある 標高 1,583メートルの 活火山 。山体が 阿蘇くじゅう国立公園 に指定されている。","https://ja.wikipedia.org/wiki/由布岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度16分56秒東経131度23分24秒","1,583.3m","日本大分県由布市・別府市","北緯33度16分56秒東経131度23分24秒﻿ / ﻿北緯33.28222度 東経131.39000度﻿ /33.28222; 131.39000","独立峰","成層火山（活火山ランクC）","","","","","","","","","","","","","",""
"万年山","[32はねやま万年山大分県玖珠町(1)1,140.2地理院地図Googleマップ北緯33度13分53秒東経131度07分50秒﻿ / ﻿北緯33.231349度 東経131.130588度﻿ /33.231349; 131.130588﻿ (万年山)] 万年山 （はねやま）は、 大分県 日田市 、 玖珠郡 玖珠町 、 九重町 にまたがり、 耶馬日田英彦山 国定公園 に含まれる 標高 1,140.3mの 山 である。","https://ja.wikipedia.org/wiki/万年山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度13分41秒東経131度07分59秒","1,140.3m","大分県玖珠郡玖珠町","北緯33度13分41秒東経131度07分59秒﻿ / ﻿北緯33.22806度 東経131.13306度﻿ /33.22806; 131.13306座標:北緯33度13分41秒東経131度07分59秒﻿ / ﻿北緯33.22806度 東経131.13306度﻿ /33.22806; 131.13306","","メサ","","","","","","","","","","","","","",""
"涌蓋山","[33わいたさん涌蓋山大分県九重町（熊本県小国町）(1)1,499.5地理院地図Googleマップ北緯33度08分24秒東経131度09分52秒﻿ / ﻿北緯33.139941度 東経131.164344度﻿ /33.139941; 131.164344﻿ (涌蓋山)日本三百名山玖珠富士小国富士] 涌蓋山 （ 湧蓋山 、わいたざん  、わいたさん）は、 大分県 玖珠郡 九重町 と 熊本県 阿蘇郡 小国町 にまたがる 第四紀 の 火山 。 活火山 ではなく、山体地形は 侵食 がやや進んでいる。 放射年代 によれば約50万年前～40万年前の 噴火 で誕生したとされる。","https://ja.wikipedia.org/wiki/涌蓋山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度08分22.85秒東経131度09分52.64秒","1,500m","日本大分県玖珠郡九重町","北緯33度08分22.85秒東経131度09分52.64秒﻿ / ﻿北緯33.1396806度 東経131.1646222度﻿ /33.1396806; 131.1646222座標:北緯33度08分22.85秒東経131度09分52.64秒﻿ / ﻿北緯33.1396806度 東経131.1646222度﻿ /33.1396806; 131.1646222","独立峰","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"三俣山 (大分県)","[34みまたやま三俣山（九重山）大分県竹田市・九重町(3)1,744.8地理院地図Googleマップ北緯33度06分14秒東経131度14分47秒﻿ / ﻿北緯33.104005度 東経131.246518度﻿ /33.104005; 131.246518﻿ (三俣山（九重山）)] 三俣山 （みまたやま）は、 大分県 竹田市 と 玖珠郡 九重町 の境界に位置する山であり、 九重連山 を形成する 火山 である。","https://ja.wikipedia.org/wiki/三俣山_(大分県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度06分14秒東経131度14分47秒","1,745m","日本大分県竹田市","北緯33度06分14秒東経131度14分47秒﻿ / ﻿北緯33.10389度 東経131.24639度﻿ /33.10389; 131.24639座標:北緯33度06分14秒東経131度14分47秒﻿ / ﻿北緯33.10389度 東経131.24639度﻿ /33.10389; 131.24639","九重山系","","","","","","","","","","","","","","",""
"久住山","[35くじゅうさん久住山（九重山）大分県竹田市(1)1,786.5地理院地図Googleマップ北緯33度04分56秒東経131度14分27秒﻿ / ﻿北緯33.082187度 東経131.240871度﻿ /33.082187; 131.240871﻿ (久住山（九重山）)日本百名山（九重連山全体を指す）九州本土最高峰大分県最高峰（ともに中岳1,791m）] 久住山 （くじゅうさん）は、 大分県 竹田市 （旧 久住町 ）にあり 九重山 （九重連山）を形成する 火山 である。","https://ja.wikipedia.org/wiki/久住山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度04分56秒東経131度14分27秒","1,786.5m","日本大分県竹田市","北緯33度04分56秒東経131度14分27秒﻿ / ﻿北緯33.08222度 東経131.24083度﻿ /33.08222; 131.24083座標:北緯33度04分56秒東経131度14分27秒﻿ / ﻿北緯33.08222度 東経131.24083度﻿ /33.08222; 131.24083","九重山系","","","","","","","","","","","","","","",""
"大船山 (大分県)","[36たいせんざん大船山（九重山）大分県竹田市(2)1,786.2地理院地図Googleマップ北緯33度05分42秒東経131度16分50秒﻿ / ﻿北緯33.095024度 東経131.280690度﻿ /33.095024; 131.280690﻿ (大船山（九重山）)日本三百名山新日本百名山花の百名山] 大船山 （たいせんざん）は、 大分県 竹田市 （旧 久住町 ）にあり、 九重連山 を形成する 火山 のひとつである。 標高 1,786m。","https://ja.wikipedia.org/wiki/大船山_(大分県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度05分42秒東経131度16分50秒","1,786,2m","日本大分県竹田市","北緯33度05分42秒東経131度16分50秒﻿ / ﻿北緯33.09500度 東経131.28056度﻿ /33.09500; 131.28056座標:北緯33度05分42秒東経131度16分50秒﻿ / ﻿北緯33.09500度 東経131.28056度﻿ /33.09500; 131.28056","九重山系","第四紀火山","","","","","","","","","","","","","",""
"黒岳 (大分県)","[37くろだけ黒岳大分県竹田市1,587地理院地図Googleマップ北緯33度06分22秒東経131度17分35秒﻿ / ﻿北緯33.106047度 東経131.292944度﻿ /33.106047; 131.292944﻿ (黒岳)高塚山] 黒岳 （くろだけ）は、 阿蘇くじゅう国立公園 の指定区域であり、 大分県 由布市 庄内町 及び 竹田市 久住町 にある 九重連山 の 山 。 標高 は1,587m。","https://ja.wikipedia.org/wiki/黒岳_(大分県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度06分21.4秒東経131度17分34.6秒","1,587m","日本大分県竹田市・由布市","北緯33度06分21.4秒東経131度17分34.6秒﻿ / ﻿北緯33.105944度 東経131.292944度﻿ /33.105944; 131.292944座標:北緯33度06分21.4秒東経131度17分34.6秒﻿ / ﻿北緯33.105944度 東経131.292944度﻿ /33.105944; 131.292944","九重山系","","","","","","","","","","","","","","",""
"元越山 (存在しないページ)","[38画 像 募 集 中もとこえさん元越山大分県佐伯市(1)581.5地理院地図Googleマップ北緯32度54分16秒東経131度57分48秒﻿ / ﻿北緯32.904317度 東経131.963336度﻿ /32.904317; 131.963336﻿ (元越山)]","https://ja.wikipedia.org/w/index.php?title=元越山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"越敷岳 (存在しないページ)","[39こしきだけ越敷岳大分県竹田市熊本県高森町1,061地理院地図Googleマップ北緯32度51分20秒東経131度17分50秒﻿ / ﻿北緯32.855560度 東経131.297217度﻿ /32.855560; 131.297217﻿ (越敷岳)]","https://ja.wikipedia.org/w/index.php?title=越敷岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"祖母山","[40そぼさん祖母山大分県豊後大野市竹田市宮崎県高千穂町(1)1,756.4地理院地図Googleマップ北緯32度49分41秒東経131度20分49秒﻿ / ﻿北緯32.828131度 東経131.347046度﻿ /32.828131; 131.347046﻿ (祖母山)日本百名山新日本百名山花の百名山宮崎県最高峰] 祖母山 （そぼさん）は、 大分県 と 宮崎県 の県境にある 標高 1,756mの山。九州山地の中核をなし祖母傾山系に属する  。宮崎県の最高峰  で 日本百名山 に選定されている。","https://ja.wikipedia.org/wiki/祖母山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度49分41秒東経131度20分49秒","1,756.36m","日本大分県豊後大野市・竹田市宮崎県西臼杵郡高千穂町","北緯32度49分41秒東経131度20分49秒﻿ / ﻿北緯32.82806度 東経131.34694度﻿ /32.82806; 131.34694","九州山地、祖母山系","","","","","","","","","","","","","","",""
"大障子 (存在しないページ)","[41おおしょうじ大障子大分県竹田市・豊後大野市1,451地理院地図Googleマップ北緯32度50分52秒東経131度23分13秒﻿ / ﻿北緯32.847883度 東経131.387081度﻿ /32.847883; 131.387081﻿ (大障子)]","https://ja.wikipedia.org/w/index.php?title=大障子&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"障子岳 (大分県・宮崎県)","[42しょうじだけ障子岳宮崎県高千穂町大分県豊後大野市1,703地理院地図Googleマップ北緯32度48分38秒東経131度20分53秒﻿ / ﻿北緯32.810608度 東経131.348092度﻿ /32.810608; 131.348092﻿ (障子岳)] 障子岳 （しょうじだけ）は、 大分県 豊後大野市 緒方町 と 宮崎県 西臼杵郡 高千穂町 との境にある 山 である。標高1,703m。","https://ja.wikipedia.org/wiki/障子岳_(大分県・宮崎県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度48分40.3秒東経131度20分54.8秒","1,703m","日本大分県豊後大野市緒方町宮崎県西臼杵郡高千穂町","北緯32度48分40.3秒東経131度20分54.8秒﻿ / ﻿北緯32.811194度 東経131.348556度﻿ /32.811194; 131.348556座標:北緯32度48分40.3秒東経131度20分54.8秒﻿ / ﻿北緯32.811194度 東経131.348556度﻿ /32.811194; 131.348556","祖母傾山系","","","","","","","","","","","","","","",""
"古祖母山","[43ふるそぼさん古祖母山（大分県豊後大野市）宮崎県高千穂町(3)633.1地理院地図Googleマップ北緯32度48分10秒東経131度21分52秒﻿ / ﻿北緯32.802729度 東経131.364321度﻿ /32.802729; 131.364321﻿ (古祖母山)] 古祖母山 （ふるそぼさん）は、 大分県 豊後大野市 緒方町 と 宮崎県 西臼杵郡 高千穂町 との境にある 山 である。 標高 1,633.1m。","https://ja.wikipedia.org/wiki/古祖母山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度48分10秒東経131度21分52秒","1,633.1m","大分県豊後大野市緒方町宮崎県西臼杵郡高千穂町","北緯32度48分10秒東経131度21分52秒﻿ / ﻿北緯32.80278度 東経131.36444度﻿ /32.80278; 131.36444座標:北緯32度48分10秒東経131度21分52秒﻿ / ﻿北緯32.80278度 東経131.36444度﻿ /32.80278; 131.36444","祖母傾山系","","","","","","","","","","","","","","",""
"傾山","[44かたむきやま傾山大分県豊後大野市（宮崎県日之影町）1,605/ (2)1,602.2地理院地図Googleマップ北緯32度50分20秒東経131度28分33秒﻿ / ﻿北緯32.838947度 東経131.475727度﻿ /32.838947; 131.475727﻿ (傾山)日本三百名山] 傾山 （かたむきやま、かたむきさん）は、 大分県 と 宮崎県 の県境にある祖母傾山系の山。山頂は大分県 豊後大野市 に位置し、標高1,605m  。 祖母傾国定公園 に指定されており、 日本三百名山 及び 大分百山 にも選ばれている。","https://ja.wikipedia.org/wiki/傾山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度50分20秒東経131度28分33秒","1,605m","大分県豊後大野市・佐伯市宮崎県日之影町","北緯32度50分20秒東経131度28分33秒﻿ / ﻿北緯32.83889度 東経131.47583度﻿ /32.83889; 131.47583座標:北緯32度50分20秒東経131度28分33秒﻿ / ﻿北緯32.83889度 東経131.47583度﻿ /32.83889; 131.47583","九州山地祖母傾山系","","","","","","","","","","","","","","",""
"高岳 (阿蘇山) (存在しないページ)","[45たかだけ高岳（阿蘇山）熊本県阿蘇市・高森町(2)1,592.4地理院地図Googleマップ北緯32度53分04秒東経131度06分14秒﻿ / ﻿北緯32.884319度 東経131.103923度﻿ /32.884319; 131.103923﻿ (高岳（阿蘇山）)日本百名山（阿蘇山カルデラ全体を指す）新日本百名山新・花の百名山]","https://ja.wikipedia.org/w/index.php?title=高岳_(阿蘇山)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"根子岳 (熊本県)","[46ねこだけ根子岳（阿蘇山）熊本県阿蘇市・高森町1,433/ (2)1,408.2地理院地図Googleマップ北緯32度53分07秒東経131度09分02秒﻿ / ﻿北緯32.885366度 東経131.150647度﻿ /32.885366; 131.150647﻿ (根子岳（阿蘇山）)] 根子岳 （ねこだけ）は、 熊本県 阿蘇郡 高森町 にある 山 である。 阿蘇五岳 （あそごがく）の一つ。最高点天狗峰の 標高 は1,433m。東峰には1,408.1mの三角点がある。","https://ja.wikipedia.org/wiki/根子岳_(熊本県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度53分00秒東経131度08分40秒","1,433m","日本熊本県阿蘇郡高森町","北緯32度53分00秒東経131度08分40秒﻿ / ﻿北緯32.88333度 東経131.14444度﻿ /32.88333; 131.14444座標:北緯32度53分00秒東経131度08分40秒﻿ / ﻿北緯32.88333度 東経131.14444度﻿ /32.88333; 131.14444","阿蘇山","成層火山","","","","","","","","","","","","","",""
"俵山","[47たわらやま俵山（阿蘇山外輪山）熊本県西原村(2)1,094.9地理院地図Googleマップ北緯32度50分18秒東経130度58分10秒﻿ / ﻿北緯32.838197度 東経130.969468度﻿ /32.838197; 130.969468﻿ (俵山（阿蘇山外輪山）)] 俵山 （たわらやま）は 熊本県 阿蘇郡 西原村 と 南阿蘇村 にまたがる 標高 1,095mの 山 。山頂は西原村にある。 先史時代 の 阿蘇山 大噴火によって形作られた東西18km、南北25kmにおよぶ阿蘇 外輪山 の一部であり、その西端に位置する一峰である。","https://ja.wikipedia.org/wiki/俵山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度50分18.35秒東経130度58分9.23秒","1,095m","日本熊本県阿蘇郡西原村","北緯32度50分18.35秒東経130度58分9.23秒﻿ / ﻿北緯32.8384306度 東経130.9692306度﻿ /32.8384306; 130.9692306座標:北緯32度50分18.35秒東経130度58分9.23秒﻿ / ﻿北緯32.8384306度 東経130.9692306度﻿ /32.8384306; 130.9692306","阿蘇南外輪山","外輪山","","","","","","","","","","","","","",""
"鞍岳 (存在しないページ)","[48画 像 募 集 中くらだけ鞍岳（阿蘇山外輪山）熊本県菊池市(2)1,118.6地理院地図Googleマップ北緯32度57分12秒東経130度56分02秒﻿ / ﻿北緯32.953325度 東経130.933948度﻿ /32.953325; 130.933948﻿ (鞍岳（阿蘇山外輪山）)]","https://ja.wikipedia.org/w/index.php?title=鞍岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"八方ヶ岳 (熊本県) (存在しないページ)","[49画 像 募 集 中やほうがたけ八方ガ岳熊本県菊池市・山鹿市(2)1,051.8地理院地図Googleマップ北緯33度04分13秒東経130度50分05秒﻿ / ﻿北緯33.070329度 東経130.834722度﻿ /33.070329; 130.834722﻿ (八方ガ岳)]","https://ja.wikipedia.org/w/index.php?title=八方ヶ岳_(熊本県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"小岱山 (存在しないページ)","[50しょうだいさん小岱山熊本県玉名市・荒尾市(2)501.4地理院地図Googleマップ北緯32度59分05秒東経130度31分39秒﻿ / ﻿北緯32.984632度 東経130.527364度﻿ /32.984632; 130.527364﻿ (小岱山)]","https://ja.wikipedia.org/w/index.php?title=小岱山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"二ノ岳 (存在しないページ)","[51画 像 募 集 中にのたけ二ノ岳熊本県熊本市・（玉名市）(1)685.4地理院地図Googleマップ北緯32度50分40秒東経130度37分20秒﻿ / ﻿北緯32.844421度 東経130.622297度﻿ /32.844421; 130.622297﻿ (二ノ岳)]","https://ja.wikipedia.org/w/index.php?title=二ノ岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"小川岳 (存在しないページ)","[52おがわだけ小川岳熊本県山都町宮崎県五ヶ瀬町(2)1,542.1地理院地図Googleマップ北緯32度36分19秒東経131度07分14秒﻿ / ﻿北緯32.605395度 東経131.120688度﻿ /32.605395; 131.120688﻿ (小川岳)]","https://ja.wikipedia.org/w/index.php?title=小川岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天主山 (存在しないページ)","[53画 像 募 集 中てんしゅざん天主山熊本県山都町(2)1,494.1地理院地図Googleマップ北緯32度35分59秒東経131度01分44秒﻿ / ﻿北緯32.599670度 東経131.028768度﻿ /32.599670; 131.028768﻿ (天主山)]","https://ja.wikipedia.org/w/index.php?title=天主山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"京丈山 (存在しないページ)","[54画 像 募 集 中きょうのじょうやま京丈山熊本県八代市・山都町・美里町(2)1,472.4地理院地図Googleマップ北緯32度34分46秒東経130度57分02秒﻿ / ﻿北緯32.579552度 東経130.950597度﻿ /32.579552; 130.950597﻿ (京丈山)]","https://ja.wikipedia.org/w/index.php?title=京丈山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大金峰 (存在しないページ)","[55画 像 募 集 中おおがなみね大金峰熊本県八代市(2)1,395.9地理院地図Googleマップ北緯32度33分07秒東経130度54分37秒﻿ / ﻿北緯32.551936度 東経130.910255度﻿ /32.551936; 130.910255﻿ (大金峰)]","https://ja.wikipedia.org/w/index.php?title=大金峰&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"国見岳 (熊本県・宮崎県)","[56くにみだけ国見岳熊本県八代市宮崎県椎葉村(1)1,738.7地理院地図Googleマップ北緯32度32分50秒東経131度01分06秒﻿ / ﻿北緯32.547133度 東経131.018362度﻿ /32.547133; 131.018362﻿ (国見岳)日本三百名山熊本県最高峰] 国見岳 （くにみだけ）は、 九州山地 中央部の向霧立山地に属する 山 である。 標高 は1,739mであり、 熊本県 最高峰 。 九州 本土では 祖母山 （1,756m）および 市房山 （1,721m）と並ぶ屈指の高峰であるが、交通の便が悪い地域に位置する。 日本三百名山 、 一等三角点百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/国見岳_(熊本県・宮崎県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度32分50秒東経131度01分06秒","1,739m","日本熊本県八代市・宮崎県椎葉村","北緯32度32分50秒東経131度01分06秒﻿ / ﻿北緯32.54722度 東経131.01833度﻿ /32.54722; 131.01833座標:北緯32度32分50秒東経131度01分06秒﻿ / ﻿北緯32.54722度 東経131.01833度﻿ /32.54722; 131.01833","九州山地","","","","","","","","","","","","","","",""
"烏帽子岳 (八代市) (存在しないページ)","[57えぼしだけ烏帽子岳熊本県八代市（宮崎県椎葉村）(2)1,691.2地理院地図Googleマップ北緯32度30分55秒東経131度00分28秒﻿ / ﻿北緯32.515294度 東経131.007743度﻿ /32.515294; 131.007743﻿ (烏帽子岳)]","https://ja.wikipedia.org/w/index.php?title=烏帽子岳_(八代市)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白鳥山 (熊本県・宮崎県) (存在しないページ)","[58画 像 募 集 中しらとりやま白鳥山熊本県八代市（宮崎県椎葉村）(2)1,638.8地理院地図Googleマップ北緯32度27分46秒東経131度00分50秒﻿ / ﻿北緯32.462667度 東経131.013797度﻿ /32.462667; 131.013797﻿ (白鳥山)]","https://ja.wikipedia.org/w/index.php?title=白鳥山_(熊本県・宮崎県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"市房山","[59いちふさやま市房山熊本県水上村宮崎県椎葉村・西米良村(1)1,720.8地理院地図Googleマップ北緯32度18分42秒東経131度06分04秒﻿ / ﻿北緯32.311682度 東経131.101036度﻿ /32.311682; 131.101036﻿ (市房山)日本二百名山] 市房山 （いちふさやま）は、 九州山地 の南部にある 日本 の 山 。 標高 は1,720.8m  。 熊本県 水上村 ・ 宮崎県 椎葉村 ・ 西米良村 にまたがる。","https://ja.wikipedia.org/wiki/市房山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度18分42秒東経131度06分04秒","1,720.8m","日本熊本県水上村・宮崎県椎葉村・西米良村","北緯32度18分42秒東経131度06分04秒﻿ / ﻿北緯32.31167度 東経131.10111度﻿ /32.31167; 131.10111座標:北緯32度18分42秒東経131度06分04秒﻿ / ﻿北緯32.31167度 東経131.10111度﻿ /32.31167; 131.10111","九州山地","花崗岩","","","","","","","","","","","","","",""
"上福根山 (存在しないページ)","[60画 像 募 集 中かみふくねやま上福根山熊本県八代市(2)1,645.3地理院地図Googleマップ北緯32度28分24秒東経130度56分49秒﻿ / ﻿北緯32.473428度 東経130.946812度﻿ /32.473428; 130.946812﻿ (上福根山)]","https://ja.wikipedia.org/w/index.php?title=上福根山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"仰烏帽子山","[61画 像 募 集 中のけえぼしやま仰烏帽子山熊本県山江村・相良村(2)1,301.8地理院地図Googleマップ北緯32度22分17秒東経130度46分40秒﻿ / ﻿北緯32.371429度 東経130.777717度﻿ /32.371429; 130.777717﻿ (仰烏帽子山)] 仰烏帽子山 （のけえぼしやま）は、 九州山地 の南部にある 日本 の 山 。 標高 は1,302m。 球磨郡 五木村 ・ 山江村 ・ 相良村 にまたがる。","https://ja.wikipedia.org/wiki/仰烏帽子山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白髪岳 (熊本県) (存在しないページ)","[62画 像 募 集 中しらがだけ白髪岳熊本県あさぎり町(1)1,416.7地理院地図Googleマップ北緯32度09分01秒東経130度56分36秒﻿ / ﻿北緯32.150399度 東経130.943371度﻿ /32.150399; 130.943371﻿ (白髪岳)]","https://ja.wikipedia.org/w/index.php?title=白髪岳_(熊本県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"矢筈岳 (熊本県水俣市・鹿児島県出水市)","[63やはずだけ矢筈岳熊本県水俣市鹿児島県出水市(1)687.3地理院地図Googleマップ北緯32度07分22秒東経130度24分02秒﻿ / ﻿北緯32.122915度 東経130.400678度﻿ /32.122915; 130.400678﻿ (矢筈岳)] 矢筈岳 （やはずだけ）は、 熊本県 水俣市 と 鹿児島県 出水市 とにまたがる 標高 687.0mの 山 である。","https://ja.wikipedia.org/wiki/矢筈岳_(熊本県水俣市・鹿児島県出水市)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度07分22秒東経130度24分02秒","687.0m","日本熊本県水俣市・鹿児島県出水市","北緯32度07分22秒東経130度24分02秒﻿ / ﻿北緯32.12278度 東経130.40056度﻿ /32.12278; 130.40056座標:北緯32度07分22秒東経130度24分02秒﻿ / ﻿北緯32.12278度 東経130.40056度﻿ /32.12278; 130.40056","","","","","","","","","","","","","","","",""
"次郎丸岳","[64画 像 募 集 中じろうまるだけ次郎丸岳熊本県上天草市(2)397.1地理院地図Googleマップ北緯32度28分44秒東経130度24分24秒﻿ / ﻿北緯32.478851度 東経130.406653度﻿ /32.478851; 130.406653﻿ (次郎丸岳)天草上島] 次郎丸岳 （じろうまるだけ）は、 熊本県 上天草市 にある 山 である。","https://ja.wikipedia.org/wiki/次郎丸岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度28分43.8秒東経130度24分23.9秒","396.7m","日本熊本県上天草市","北緯32度28分43.8秒東経130度24分23.9秒﻿ / ﻿北緯32.478833度 東経130.406639度﻿ /32.478833; 130.406639座標:北緯32度28分43.8秒東経130度24分23.9秒﻿ / ﻿北緯32.478833度 東経130.406639度﻿ /32.478833; 130.406639","","","","","","","","","","","","","","","",""
"倉岳 (存在しないページ)","[65画 像 募 集 中くらだけ倉岳熊本県天草市(2)682.2地理院地図Googleマップ北緯32度25分40秒東経130度19分37秒﻿ / ﻿北緯32.427784度 東経130.326985度﻿ /32.427784; 130.326985﻿ (倉岳)天草上島]","https://ja.wikipedia.org/w/index.php?title=倉岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"夏木山 (存在しないページ)","[66なつきやま夏木山宮崎県日之影町大分県佐伯市(3)1,386地理院地図Googleマップ北緯32度46分35秒東経131度30分33秒﻿ / ﻿北緯32.776497度 東経131.509183度﻿ /32.776497; 131.509183﻿ (夏木山)]","https://ja.wikipedia.org/w/index.php?title=夏木山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"五葉岳 (存在しないページ)","[67ごようだけ五葉岳宮崎県日之影町・延岡市(3)1,569.7地理院地図Googleマップ北緯32度46分17秒東経131度29分17秒﻿ / ﻿北緯32.771320度 東経131.488056度﻿ /32.771320; 131.488056﻿ (五葉岳)]","https://ja.wikipedia.org/w/index.php?title=五葉岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鹿納山 (存在しないページ)","[68かのうやま鹿納山宮崎県日之影町・延岡市1,567地理院地図Googleマップ北緯32度45分23秒東経131度29分20秒﻿ / ﻿北緯32.756250度 東経131.488775度﻿ /32.756250; 131.488775﻿ (鹿納山)]","https://ja.wikipedia.org/w/index.php?title=鹿納山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
