"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"谷田川駅","谷田川駅（やたがわえき）","https://ja.wikipedia.org/wiki/谷田川駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■水郡線","128.9 km（水戸起点）","東日本旅客鉄道（JR東日本）","1929年（昭和4年）5月10日","地上駅","2面2線","","無人駅","ヤワ","85人/日（降車客含まず）-2004年-","","","","","","","","",""
"矢岳駅","矢岳駅（やたけえき）","https://ja.wikipedia.org/wiki/矢岳駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯32度6分15.4秒東経130度46分11.28秒","肥薩線","71.7 km（八代起点）","九州旅客鉄道（JR九州）","1909年（明治42年）11月21日[1]","地上駅","1面1線","熊本県人吉市矢岳町4706北緯32度6分15.4秒東経130度46分11.28秒﻿ / ﻿北緯32.104278度 東経130.7698000度﻿ /32.104278; 130.7698000座標:北緯32度6分15.4秒東経130度46分11.28秒﻿ / ﻿北緯32.104278度 東経130.7698000度﻿ /32.104278; 130.7698000","無人駅","ヤケ","","","","","","","","","",""
"矢田前駅","矢田前駅（やだまええき）","https://ja.wikipedia.org/wiki/矢田前駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯40度50分1.87秒東経140度48分25.74秒","■青い森鉄道線","112.7km（目時起点）東京から730.0 km","青い森鉄道","1986年（昭和61年）11月1日","地上駅","2面2線","青森県青森市大字矢田前字本泉北緯40度50分1.87秒東経140度48分25.74秒座標:北緯40度50分1.87秒 東経140度48分25.74秒","無人駅（自動券売機 有）","ヤタ","-2016年- 574人/日（降車客含まず）","","-2017年- 1,270人/日","","","","","","",""
"谷地頭停留場","谷地頭停留場（やちがしらていりゅうじょう）","https://ja.wikipedia.org/wiki/谷地頭停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯41度45分11.67秒東経140度42分58.84秒","函館市電来・谷地頭線","1.4km（十字街起点）湯の川より9.2 km","函館市企業局交通部","1913年10月30日","地上駅（停留場）","2面1線","北海道函館市谷地頭町35-2先、25-16先北緯41度45分11.67秒東経140度42分58.84秒﻿ / ﻿北緯41.7532417度 東経140.7163444度﻿ /41.7532417; 140.7163444﻿ (谷地頭停留場)座標:北緯41度45分11.67秒東経140度42分58.84秒﻿ / ﻿北緯41.7532417度 東経140.7163444度﻿ /41.7532417; 140.7163444﻿ (谷地頭停留場)","","","","Y26","666[1]人/日-2019年-","","","","","","",""
"八千穂駅","八千穂駅（やちほえき）","https://ja.wikipedia.org/wiki/八千穂駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■小海線","53.9 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1919年（大正8年）3月11日[1]","地上駅","1面1線","","簡易委託駅[1]*1959年に佐久穂積駅から改称[1]。標高：785.4m[1]","チホ[1]","82人/日（降車客含まず）-2019年-","","","","","","","","",""
"八街駅","八街駅（やちまたえき）","https://ja.wikipedia.org/wiki/八街駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度39分47秒東経140度19分3.5秒","■総武本線[1]","65.9 km（東京起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）5月1日[1]","地上駅（橋上駅）[1]","2面3線[1]","千葉県八街市八街ほ237北緯35度39分47秒東経140度19分3.5秒﻿ / ﻿北緯35.66306度 東経140.317639度﻿ /35.66306; 140.317639﻿ (八街駅)","業務委託駅みどりの窓口有","ヤチ","5,563人/日（降車客含まず）-2019年-","","","","","","","","",""
"八千代台駅","八千代台駅（やちよだいえき）","https://ja.wikipedia.org/wiki/八千代台駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■本線","36.6 km（京成上野起点）","京成電鉄","1956年（昭和31年）3月20日","地上駅（橋上駅）","2面4線","","","","","KS29","45,975人/日-2019年-","","","","","","",""
"八千代中央駅","八千代中央駅（やちよちゅうおうえき）","https://ja.wikipedia.org/wiki/八千代中央駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■東葉高速線","13.8 km（西船橋起点）","東葉高速鉄道","1996年（平成8年）4月27日[2]","高架駅","2面2線","","","","12,027人/日（降車客含まず）-2018年-","TR07","23,944[1]人/日-2018年-","","","","","","",""
"八千代町停留場","八千代町停留場（やちよまちていりゅうじょう）","https://ja.wikipedia.org/wiki/八千代町停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯32度45分18.8秒東経129度52分12.94秒","本線（■1号系統・□2号系統・■3号系統）","4.5km（住吉起点）赤迫から4.7 km","長崎電気軌道","1915年（大正4年）11月16日","地上駅","2面2線","長崎県長崎市八千代町2番9号先北緯32度45分18.8秒東経129度52分12.94秒﻿ / ﻿北緯32.755222度 東経129.8702611度﻿ /32.755222; 129.8702611﻿ (八千代町停留場)","","","","26","700人/日-2015年-","","","","","","",""
"八千代緑が丘駅","八千代緑が丘駅（やちよみどりがおかえき）","https://ja.wikipedia.org/wiki/八千代緑が丘駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■東葉高速線","11.0 km（西船橋起点）","東葉高速鉄道","1996年（平成8年）4月27日[2]","高架駅","2面4線","","","","20,233人/日（降車客含まず）-2018年-","TR06","40,433[1]人/日-2018年-","","","","","","",""
"八津駅","八津駅（やつえき・秋田内陸縦貫鉄道秋田内陸線）","https://ja.wikipedia.org/wiki/八津駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度41分16.32秒東経140度33分10.08秒","■秋田内陸線","82.9 km（鷹巣起点）","秋田内陸縦貫鉄道","1970年（昭和45年）11月1日","地上駅","2面2線","秋田県仙北市西木町小山田字八津北緯39度41分16.32秒東経140度33分10.08秒﻿ / ﻿北緯39.6878667度 東経140.5528000度﻿ /39.6878667; 140.5528000座標:北緯39度41分16.32秒東経140度33分10.08秒﻿ / ﻿北緯39.6878667度 東経140.5528000度﻿ /39.6878667; 140.5528000","無人駅","ヤツ","","","8人/日-2018年-","","","","","","",""
"谷津駅","谷津駅（やつえき・京成本線）","https://ja.wikipedia.org/wiki/谷津駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度41分7.1秒東経140度0分27.2秒","■本線","28.2 km（京成上野起点）","京成電鉄","1921年（大正10年）7月17日","地上駅（橋上駅）","1面2線","千葉県習志野市谷津五丁目4番5号北緯35度41分7.1秒東経140度0分27.2秒﻿ / ﻿北緯35.685306度 東経140.007556度﻿ /35.685306; 140.007556座標:北緯35度41分7.1秒東経140度0分27.2秒﻿ / ﻿北緯35.685306度 東経140.007556度﻿ /35.685306; 140.007556","","","","KS25","11,033人/日-2019年-","","","","","","",""
"谷塚駅","谷塚駅（やつかえき）","https://ja.wikipedia.org/wiki/谷塚駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度48分51.01秒東経139度48分4.74秒","■伊勢崎線（東武スカイツリーライン）","15.9 km（浅草起点）","東武鉄道","1925年（大正14年）10月1日","高架駅","1面2線","埼玉県草加市谷塚一丁目1-22北緯35度48分51.01秒東経139度48分4.74秒﻿ / ﻿北緯35.8141694度 東経139.8013167度﻿ /35.8141694; 139.8013167﻿ (谷塚駅)座標:北緯35度48分51.01秒東経139度48分4.74秒﻿ / ﻿北緯35.8141694度 東経139.8013167度﻿ /35.8141694; 139.8013167﻿ (谷塚駅)","","ヤツ","","TS15","38,681人/日-2019年-","","","","","","",""
"八次駅","八次駅（やつぎえき）","https://ja.wikipedia.org/wiki/八次駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度48分8.55秒東経132度52分44.08秒","P芸備線（Z福塩線直通含む）","88.0km（備中神代起点）新見から94.4 km","西日本旅客鉄道（JR西日本）","1922年（大正11年）6月7日","地上駅","1面1線","広島県三次市南畑敷町137北緯34度48分8.55秒東経132度52分44.08秒﻿ / ﻿北緯34.8023750度 東経132.8789111度﻿ /34.8023750; 132.8789111座標:北緯34度48分8.55秒東経132度52分44.08秒﻿ / ﻿北緯34.8023750度 東経132.8789111度﻿ /34.8023750; 132.8789111","無人駅","ヤキ","96人/日（降車客含まず）-2018年-","","","","","","","","",""
"八ツ島駅","八ツ島駅（やつしまえき）","https://ja.wikipedia.org/wiki/八ツ島駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度5分10秒東経136度12分21.7秒","■三国芦原線","4.2km（福井口起点）福井から5.7km越前武生から23.0 km","えちぜん鉄道","2007年（平成19年）9月1日","地上駅","1面1線","福井県福井市二の宮五丁目17-9北緯36度5分10秒東経136度12分21.7秒﻿ / ﻿北緯36.08611度 東経136.206028度﻿ /36.08611; 136.206028座標:北緯36度5分10秒東経136度12分21.7秒﻿ / ﻿北緯36.08611度 東経136.206028度﻿ /36.08611; 136.206028","無人駅、データは2代目八ツ島駅のもの","","","○E29","483人/日-2018年-","","","","","","",""
"八代駅","八代駅（やつしろえき）","https://ja.wikipedia.org/wiki/八代駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯32度30分13.77秒東経130度37分17.66秒","■鹿児島本線","232.3 km（門司港起点）","■九州旅客鉄道（JR九州）日本貨物鉄道（JR貨物）■肥薩おれんじ鉄道","1896年（明治29年）11月21日[1]","地上駅","2面4線[1]","熊本県八代市萩原町一丁目1-1[1][2]北緯32度30分13.77秒東経130度37分17.66秒﻿ / ﻿北緯32.5038250度 東経130.6215722度﻿ /32.5038250; 130.6215722﻿ (八代駅)","共同使用駅JR九州：業務委託駅[2]みどりの窓口有[1]肥薩おれんじ鉄道：簡易委託駅","ヤツ","（JR九州）1,956人/日（肥薩）328人/日（降車客含まず）-2018年-","OR01","","","","","","","",""
"八積駅","八積駅（やつみえき）","https://ja.wikipedia.org/wiki/八積駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度24分13.5秒東経140度20分44秒","■外房線","38.9 km（千葉起点）","東日本旅客鉄道（JR東日本）","1898年（明治31年）3月25日[1]","地上駅","2面2線","千葉県長生郡長生村岩沼822北緯35度24分13.5秒東経140度20分44秒座標:北緯35度24分13.5秒 東経140度20分44秒","業務委託駅*1915年に岩沼駅から改称。","ヤミ","726人/日（降車客含まず）-2019年-","","","","","","","","",""
"弥富駅","弥富駅（やとみえき）","https://ja.wikipedia.org/wiki/弥富駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度6分49.9秒東経136度43分32.3秒","CJ関西本線（JR東海名古屋地区）","16.4 km（名古屋起点）","東海旅客鉄道（JR東海）名古屋鉄道（名鉄）","1895年（明治28年）5月24日（JR）1898年（明治31年）4月3日（名鉄）","地上駅","2面3線","愛知県弥富市鯏浦町中六178北緯35度6分49.9秒東経136度43分32.3秒﻿ / ﻿北緯35.113861度 東経136.725639度﻿ /35.113861; 136.725639座標:北緯35度6分49.9秒東経136度43分32.3秒﻿ / ﻿北緯35.113861度 東経136.725639度﻿ /35.113861; 136.725639","共同使用駅（JR東海の管轄駅）業務委託駅JR全線きっぷうりば有集中旅客サービスシステム導入駅[2]* 開業半年後に前ヶ須駅から改称。","ヤト","（JR東海/統計年度：2019年）1,456人/日（降車客含まず）","CJ  05 ","（名鉄/統計年度：2013年[1]）2,893（JR・名鉄含/統計年度：2016年）6,796（名鉄の乗降客数は千人単位切上、JRは乗客数を2倍）人/日","近鉄弥富駅（近鉄名古屋線）","","","","","",""
"柳井駅","柳井駅（やないえき）","https://ja.wikipedia.org/wiki/柳井駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度57分57.24秒東経132度6分22.21秒","■山陽本線","379.2 km（神戸起点）","西日本旅客鉄道（JR西日本）","1897年（明治30年）9月25日","地上駅","3面4線","山口県柳井市中央二丁目18-21北緯33度57分57.24秒東経132度6分22.21秒﻿ / ﻿北緯33.9659000度 東経132.1061694度﻿ /33.9659000; 132.1061694座標:北緯33度57分57.24秒東経132度6分22.21秒﻿ / ﻿北緯33.9659000度 東経132.1061694度﻿ /33.9659000; 132.1061694","直営駅みどりの券売機プラス設置駅*1929年に柳井津駅から改称。","ヤイ","1,852人/日（降車客含まず）-2019年-","","","","","","","","",""
"柳津駅 (宮城県)","柳津駅 (宮城県)（やないづえき・東日本旅客鉄道気仙沼線）","https://ja.wikipedia.org/wiki/柳津駅_(宮城県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■気仙沼線","17.5 km（前谷地起点）小牛田から30.3 km","東日本旅客鉄道（JR東日本）","1968年（昭和43年）10月24日","地上駅","1面1線","","簡易委託駅","ヤナ","42人/日（降車客含まず）-2019年-","","","","","","","","",""
"柳津駅 (岐阜県)","柳津駅 (岐阜県)（やないづえき・名鉄竹鼻線）","https://ja.wikipedia.org/wiki/柳津駅_(岐阜県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度21分54.3秒東経136度44分22.3秒","竹鼻線","2.9 km（笠松起点）","名古屋鉄道","1921年（大正10年）6月25日","地上駅","1面1線","岐阜県岐阜市柳津町梅松一丁目1番地2北緯35度21分54.3秒東経136度44分22.3秒﻿ / ﻿北緯35.365083度 東経136.739528度﻿ /35.365083; 136.739528座標:北緯35度21分54.3秒東経136度44分22.3秒﻿ / ﻿北緯35.365083度 東経136.739528度﻿ /35.365083; 136.739528","無人駅（駅集中管理システム導入駅）*1953年西柳津駅から改称","","","TH  02 ","4,199人/日-2019年[1]-","","","","","","",""
"柳井港駅","柳井港駅（やないみなとえき）","https://ja.wikipedia.org/wiki/柳井港駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度57分29.3秒東経132度08分02秒","■山陽本線","376.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","1929年（昭和4年）4月20日","地上駅","2面2線","山口県柳井市柳井139-1北緯33度57分29.3秒東経132度08分02秒﻿ / ﻿北緯33.958139度 東経132.13389度﻿ /33.958139; 132.13389座標:北緯33度57分29.3秒東経132度08分02秒﻿ / ﻿北緯33.958139度 東経132.13389度﻿ /33.958139; 132.13389","無人駅（自動券売機 有）","ヤミ","243人/日（降車客含まず）-2019年-","","","","","","","","",""
"柳川停留場","柳川停留場（やながわていりゅうじょう・岡山電気軌道東山本線・清輝橋線）","https://ja.wikipedia.org/wiki/柳川停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度39分56.13秒東経133度55分32.16秒","■東山本線（1系統）","0.5 km（岡山駅前起点）","岡山電気軌道","1912年（明治45年）5月5日","地上駅","1面2線","岡山市北区野田屋町一丁目・磨屋町北緯34度39分56.13秒東経133度55分32.16秒﻿ / ﻿北緯34.6655917度 東経133.9256000度﻿ /34.6655917; 133.9256000﻿ (柳川停留場)","","","","○H03,○S03","","","","","","","",""
"梁川駅 (山梨県)","梁川駅 (山梨県)（やながわえき・東日本旅客鉄道中央本線）","https://ja.wikipedia.org/wiki/梁川駅_(山梨県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度36分19.4秒東経139度2分17.5秒","■■中央本線","67.3km（新宿起点）東京から77.6 km","東日本旅客鉄道（JR東日本）","1949年（昭和24年）4月1日[2]","地上駅","1面2線[1]","山梨県大月市梁川町綱の上719-3北緯35度36分19.4秒東経139度2分17.5秒座標:北緯35度36分19.4秒 東経139度2分17.5秒","無人駅[1]（自動券売機 有）","ヤナ","","JC29","","","","","","","",""
"梁川駅 (福島県)","梁川駅 (福島県)（やながわえき・阿武隈急行線）","https://ja.wikipedia.org/wiki/梁川駅_(福島県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度50分45.38秒東経140度36分10.95秒","■阿武隈急行線","18.3 km（福島起点）","阿武隈急行","1988年（昭和63年）7月1日","地上駅","1面2線","福島県伊達市梁川町青葉町北緯37度50分45.38秒東経140度36分10.95秒﻿ / ﻿北緯37.8459389度 東経140.6030417度﻿ /37.8459389; 140.6030417座標:北緯37度50分45.38秒東経140度36分10.95秒﻿ / ﻿北緯37.8459389度 東経140.6030417度﻿ /37.8459389; 140.6030417","","","244人/日（降車客含まず）-2016年-","","","","","","","","",""
"やながわ希望の森公園前駅","やながわ希望の森公園前駅（やながわきぼうのもりこうえんまええき）","https://ja.wikipedia.org/wiki/やながわ希望の森公園前駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度51分29.57秒東経140度36分56.85秒","■阿武隈急行線","20.0 km（福島起点）","阿武隈急行","1988年（昭和63年）7月1日","地上駅","1面1線","福島県伊達市梁川町字北町頭北緯37度51分29.57秒東経140度36分56.85秒﻿ / ﻿北緯37.8582139度 東経140.6157917度﻿ /37.8582139; 140.6157917座標:北緯37度51分29.57秒東経140度36分56.85秒﻿ / ﻿北緯37.8582139度 東経140.6157917度﻿ /37.8582139; 140.6157917","","","203人/日（降車客含まず）-2016年-","","","","","","","","",""
"柳駅","柳駅（やなぎえき）","https://ja.wikipedia.org/wiki/柳駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度52分18.1秒東経136度35分44.91秒","L鈴鹿線","2.2 km（伊勢若松起点）","近畿日本鉄道（近鉄）","1925年（大正14年）12月20日","地上駅","1面1線","三重県鈴鹿市柳町726-4北緯34度52分18.1秒東経136度35分44.91秒﻿ / ﻿北緯34.871694度 東経136.5958083度﻿ /34.871694; 136.5958083座標:北緯34度52分18.1秒東経136度35分44.91秒﻿ / ﻿北緯34.871694度 東経136.5958083度﻿ /34.871694; 136.5958083","無人駅","ヤナキ","183人/日（降車客含まず）-2019年-"," L30 ","","","","","","","",""
"柳ケ浦駅","柳ケ浦駅（やなぎがうらえき）","https://ja.wikipedia.org/wiki/柳ケ浦駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度33分54.67秒東経131度21分45.08秒","■日豊本線","69.1 km（小倉起点）","九州旅客鉄道（JR九州）","1897年（明治30年）9月25日[2]","地上駅","2面3線[1]","大分県宇佐市住吉町1丁目2582-2北緯33度33分54.67秒東経131度21分45.08秒","業務委託駅みどりの窓口有","ヤナ","606人/日（降車客含まず）-2019年-","","","","","","","","",""
"柳小路駅","柳小路駅（やなぎこうじえき）","https://ja.wikipedia.org/wiki/柳小路駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","江ノ島電鉄線","1.2 km（藤沢起点）","江ノ島電鉄","1920年（大正9年）4月1日","地上駅","1面1線","","無人駅（自動券売機 有）","","","EN03","2,714人/日-2019年-","","","","","","",""
"柳田駅","柳田駅（やなぎたえき）","https://ja.wikipedia.org/wiki/柳田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度16分35秒東経140度33分14.2秒","■奥羽本線","224.4 km（福島起点）","東日本旅客鉄道（JR東日本）","1926年（大正15年）11月7日","地上駅","2面2線","秋田県横手市柳田字柳田175北緯39度16分35秒東経140度33分14.2秒座標:北緯39度16分35秒 東経140度33分14.2秒","無人駅","ヤナ","","","","","","","","","",""
"柳橋駅 (富山県)","柳橋駅（やなぎばしえき）","https://ja.wikipedia.org/wiki/柳橋駅_(富山県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度48分12.12秒東経137度35分31.47秒","黒部峡谷鉄道本線","2.1 km（宇奈月起点）","黒部峡谷鉄道","1953年11月16日","地上駅","島式 1面2線","富山県黒部市宇奈月町舟見明日音澤北緯36度48分12.12秒東経137度35分31.47秒座標:北緯36度48分12.12秒 東経137度35分31.47秒","専用駅","","","","","","","","","","",""
"柳原駅 (岩手県)","柳原駅 (岩手県)（やなぎはらえき・東日本旅客鉄道北上線）","https://ja.wikipedia.org/wiki/柳原駅_(岩手県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度17分40.65秒東経141度6分41.98秒","■北上線","2.1 km（北上起点）","東日本旅客鉄道（JR東日本）","1963年（昭和38年）5月15日[1]","地上駅","1面1線","岩手県北上市柳原町一丁目7-1北緯39度17分40.65秒東経141度6分41.98秒座標:北緯39度17分40.65秒 東経141度6分41.98秒","無人駅","ヤナ","","","","","","","","","",""
"柳原駅 (愛媛県)","柳原駅 (愛媛県)（やなぎはらえき・四国旅客鉄道予讃線）","https://ja.wikipedia.org/wiki/柳原駅_(愛媛県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度57分13.14秒東経132度46分25.10秒","■予讃線","179.1 km（高松起点）","四国旅客鉄道（JR四国）","1961年（昭和36年）6月1日","地上駅","1面1線","愛媛県松山市府中北緯33度57分13.14秒東経132度46分25.10秒﻿ / ﻿北緯33.9536500度 東経132.7736389度﻿ /33.9536500; 132.7736389座標:北緯33度57分13.14秒東経132度46分25.10秒﻿ / ﻿北緯33.9536500度 東経132.7736389度﻿ /33.9536500; 132.7736389","無人駅（自動券売機 有）","ヤナ","","○Y49","268[1]人/日-2019年-","","","","","","",""
"柳原駅 (長野県)","柳原駅 (長野県)（やなぎはらえき・長野電鉄長野線）","https://ja.wikipedia.org/wiki/柳原駅_(長野県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度39分48.6秒東経138度15分31.4秒","長野線","8.0 km（長野起点）","長野電鉄","1926年（大正15年）6月28日[1]","地上駅","1面2線[1]","長野県長野市大字柳原[1]2133-2北緯36度39分48.6秒東経138度15分31.4秒﻿ / ﻿北緯36.663500度 東経138.258722度﻿ /36.663500; 138.258722座標:北緯36度39分48.6秒東経138度15分31.4秒﻿ / ﻿北緯36.663500度 東経138.258722度﻿ /36.663500; 138.258722","終日駅員無配置駅[2]","ヤハ[1]","633人/日（降車客含まず）-2018年-","N10","","","","","","","",""
"柳本駅","柳本駅（やなぎもとえき）","https://ja.wikipedia.org/wiki/柳本駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度33分33.30秒東経135度50分19.26秒","U桜井線（万葉まほろば線）","14.3 km（奈良起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）5月11日[1]","地上駅","2面2線","奈良県天理市柳本町1306北緯34度33分33.30秒東経135度50分19.26秒","無人駅（自動券売機 有）","ヤモ","593人/日（降車客含まず）-2019年-","","","","","","","","",""
"梁瀬駅","梁瀬駅（やなせえき）","https://ja.wikipedia.org/wiki/梁瀬駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度19分22.03秒東経134度52分50.54秒","E山陰本線","115.6 km（京都起点）","西日本旅客鉄道（JR西日本）","1911年（明治44年）10月25日[1]","地上駅[1]","1面2線[1]","兵庫県朝来市山東町滝田西浦237-1[1]北緯35度19分22.03秒東経134度52分50.54秒﻿ / ﻿北緯35.3227861度 東経134.8807056度﻿ /35.3227861; 134.8807056座標:北緯35度19分22.03秒東経134度52分50.54秒﻿ / ﻿北緯35.3227861度 東経134.8807056度﻿ /35.3227861; 134.8807056","簡易委託駅[1]","ナセ","135人/日（降車客含まず）-2016年-","","","","","","","","",""
"柳瀬駅","柳瀬駅（やなぜえき）","https://ja.wikipedia.org/wiki/柳瀬駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度15分26.84秒東経131度58分37.12秒","錦川清流線","31.0 km（川西起点）","錦川鉄道","1963年（昭和38年）10月1日","地上駅","1面1線","山口県岩国市美川町四馬神柳瀬北緯34度15分26.84秒東経131度58分37.12秒﻿ / ﻿北緯34.2574556度 東経131.9769778度﻿ /34.2574556; 131.9769778﻿ (柳瀬駅)座標:北緯34度15分26.84秒東経131度58分37.12秒﻿ / ﻿北緯34.2574556度 東経131.9769778度﻿ /34.2574556; 131.9769778﻿ (柳瀬駅)","","ナセ","","","4[1]人/日-2019年-","","","","","","",""
"柳瀬川駅","柳瀬川駅（やなせがわえき）","https://ja.wikipedia.org/wiki/柳瀬川駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度49分50.4秒東経139度33分43.2秒","■東上本線","19.3 km（池袋起点）","東武鉄道","1979年（昭和54年）11月8日","地上駅","1面2線","埼玉県志木市館二丁目5-1北緯35度49分50.4秒東経139度33分43.2秒﻿ / ﻿北緯35.830667度 東経139.562000度﻿ /35.830667; 139.562000﻿ (柳瀬川駅)座標:北緯35度49分50.4秒東経139度33分43.2秒﻿ / ﻿北緯35.830667度 東経139.562000度﻿ /35.830667; 139.562000﻿ (柳瀬川駅)","","ヤナセ","","TJ15","20,264人/日-2019年-","","","","","","",""
