"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"宇治団地前停留場","宇治団地前停留場（うじだんちまえていりゅうじょう）","https://ja.wikipedia.org/wiki/宇治団地前停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度33分6.75秒東経133度27分40.32秒","伊野線","8.2 km（はりまや橋起点）","とさでん交通","1908年（明治41年）2月20日","地上駅","高知県吾川郡いの町枝川北緯33度33分6.75秒東経133度27分40.32秒﻿ / ﻿北緯33.5518750度 東経133.4612000度﻿ /33.5518750; 133.4612000﻿ (宇治団地前停留場*)","2面1線","* 1976年に宇治学校前停留場から改称","","","","","","","","","","",""
"牛津駅","牛津駅（うしづえき）","https://ja.wikipedia.org/wiki/牛津駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度14分52.36秒東経130度12分3.65秒","■長崎本線","34.2 km（鳥栖起点）","九州旅客鉄道（JR九州）","1895年（明治28年）5月5日","地上駅","佐賀県小城市牛津町柿樋瀬1128北緯33度14分52.36秒東経130度12分3.65秒﻿ / ﻿北緯33.2478778度 東経130.2010139度﻿ /33.2478778; 130.2010139﻿ (牛津駅)","2面2線","業務委託駅[1]","ウシ","758人/日（降車客含まず）-2019年-","","","","","","","","",""
"宇品五丁目停留場","宇品五丁目停留場（うじなごちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/宇品五丁目停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度21分29.96秒東経132度27分49.73秒","■宇品線","4.7 km（紙屋町起点）","広島電鉄","1935年（昭和10年）12月27日","地上駅","広島市南区宇品神田五丁目北緯34度21分29.96秒東経132度27分49.73秒﻿ / ﻿北緯34.3583222度 東経132.4638139度﻿ /34.3583222; 132.4638139﻿ (宇品五丁目停留場)座標:北緯34度21分29.96秒東経132度27分49.73秒﻿ / ﻿北緯34.3583222度 東経132.4638139度﻿ /34.3583222; 132.4638139﻿ (宇品五丁目停留場)","2面2線","","","","●U15","1,427[1]人/日-2019年-","","","","","","",""
"宇品三丁目停留場","宇品三丁目停留場（うじなさんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/宇品三丁目停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度21分51.45秒東経132度27分51.72秒","■宇品線","4.0 km（紙屋町起点）","広島電鉄","1935年（昭和10年）12月27日","地上駅","広島市南区宇品神田二丁目・三丁目北緯34度21分51.45秒東経132度27分51.72秒﻿ / ﻿北緯34.3642917度 東経132.4643667度﻿ /34.3642917; 132.4643667﻿ (宇品三丁目停留場)座標:北緯34度21分51.45秒東経132度27分51.72秒﻿ / ﻿北緯34.3642917度 東経132.4643667度﻿ /34.3642917; 132.4643667﻿ (宇品三丁目停留場)","2面2線","","","","●U13","1,862[1]人/日-2019年-","","","","","","",""
"宇品二丁目停留場","宇品二丁目停留場（うじなにちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/宇品二丁目停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度21分57.87秒東経132度27分52.18秒","■宇品線","3.8 km（紙屋町起点）","広島電鉄","1935年（昭和10年）12月27日","地上駅","広島市南区宇品神田一丁目・二丁目北緯34度21分57.87秒東経132度27分52.18秒﻿ / ﻿北緯34.3660750度 東経132.4644944度﻿ /34.3660750; 132.4644944﻿ (宇品二丁目停留場)座標:北緯34度21分57.87秒東経132度27分52.18秒﻿ / ﻿北緯34.3660750度 東経132.4644944度﻿ /34.3660750; 132.4644944﻿ (宇品二丁目停留場)","2面2線","","","","●U12","1,779[1]人/日-2019年-","","","","","","",""
"宇品四丁目停留場","宇品四丁目停留場（うじなよんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/宇品四丁目停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度21分36.2秒東経132度27分50.2秒","■宇品線","4.4 km（紙屋町起点）","広島電鉄","1935年（昭和10年）12月27日","地上駅","広島市南区宇品神田四丁目・五丁目北緯34度21分36.2秒東経132度27分50.2秒﻿ / ﻿北緯34.360056度 東経132.463944度﻿ /34.360056; 132.463944﻿ (宇品四丁目停留場)座標:北緯34度21分36.2秒東経132度27分50.2秒﻿ / ﻿北緯34.360056度 東経132.463944度﻿ /34.360056; 132.463944﻿ (宇品四丁目停留場)","2面2線","","","","●U14","1,911[1]人/日-2019年-","","","","","","",""
"牛島駅","牛島駅（うしのしまえき）","https://ja.wikipedia.org/wiki/牛島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度4分36.15秒東経134度23分51.19秒","■徳島線","53.8 km（佃起点）","四国旅客鉄道（JR四国）","1899年（明治32年）2月16日","地上駅","徳島県吉野川市鴨島町牛島66番地北緯34度4分36.15秒東経134度23分51.19秒﻿ / ﻿北緯34.0767083度 東経134.3975528度﻿ /34.0767083; 134.3975528座標:北緯34度4分36.15秒東経134度23分51.19秒﻿ / ﻿北緯34.0767083度 東経134.3975528度﻿ /34.0767083; 134.3975528","2面2線","無人駅（自動券売機 有）","ウシ","267人/日（降車客含まず）-2014年-","○B07","","","","","","","",""
"牛ノ浜駅","牛ノ浜駅（うしのはまえき）","https://ja.wikipedia.org/wiki/牛ノ浜駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度58分27.08秒東経130度12分25.2秒","肥薩おれんじ鉄道線","92.2km（八代起点）324.5 km（門司港起点）","肥薩おれんじ鉄道","1922年（大正11年）10月15日[1]","地上駅","鹿児島県阿久根市大川北緯31度58分27.08秒東経130度12分25.2秒﻿ / ﻿北緯31.9741889度 東経130.207000度﻿ /31.9741889; 130.207000座標:北緯31度58分27.08秒東経130度12分25.2秒﻿ / ﻿北緯31.9741889度 東経130.207000度﻿ /31.9741889; 130.207000","相対式 2面2線","無人駅・駅舎なし","オレウシ","21人/日（降車客含まず）-2015年-","OR22","47人/日-2015年-","","","","","","",""
"牛ノ谷駅","牛ノ谷駅（うしのやえき）","https://ja.wikipedia.org/wiki/牛ノ谷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度15分31.5秒東経136度16分53.5秒","■北陸本線","124.5 km（米原起点）","西日本旅客鉄道（JR西日本）","1921年（大正10年）4月15日","地上駅","福井県あわら市牛ノ谷36-11北緯36度15分31.5秒東経136度16分53.5秒﻿ / ﻿北緯36.258750度 東経136.281528度﻿ /36.258750; 136.281528座標:北緯36度15分31.5秒東経136度16分53.5秒﻿ / ﻿北緯36.258750度 東経136.281528度﻿ /36.258750; 136.281528","1面2線","無人駅","ノヤ","22人/日（降車客含まず）-2019年-","","","","","","","","",""
"牛浜駅","牛浜駅（うしはまえき）","https://ja.wikipedia.org/wiki/牛浜駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度44分4.4秒東経139度20分1.2秒","■青梅線","8.6 km（立川起点）東京から46.1 km","東日本旅客鉄道（JR東日本）","1944年（昭和19年）4月1日*","地上駅（橋上駅）","東京都福生市牛浜126北緯35度44分4.4秒東経139度20分1.2秒座標:北緯35度44分4.4秒 東経139度20分1.2秒","1面2線","業務委託駅","ウシ","4,475人/日（降車客含まず）-2019年-","JC56","","","","","","","",""
"牛渕駅","牛渕駅（うしぶちえき）","https://ja.wikipedia.org/wiki/牛渕駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度47分42.76秒東経132度51分22秒","横河原線","10.0 km（松山市起点）","伊予鉄道","1899年10月4日","地上駅","愛媛県東温市牛渕北緯33度47分42.76秒東経132度51分22秒﻿ / ﻿北緯33.7952111度 東経132.85611度﻿ /33.7952111; 132.85611﻿ (牛渕駅)","1面1線","無人駅","","","●IY20","237[1]人/日-2019年-","","","","","","",""
"牛渕団地前駅","牛渕団地前駅（うしぶちだんちまええき）","https://ja.wikipedia.org/wiki/牛渕団地前駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度47分51.9秒東経132度50分45.73秒","横河原線","9.0 km（松山市起点）","伊予鉄道","1970年5月1日","地上駅","愛媛県東温市牛渕北緯33度47分51.9秒東経132度50分45.73秒﻿ / ﻿北緯33.797750度 東経132.8460361度﻿ /33.797750; 132.8460361﻿ (牛渕団地前駅)","1面2線","","","","●IY19","876[1]人/日-2019年-","","","","","","",""
"牛山駅","牛山駅（うしやまえき）","https://ja.wikipedia.org/wiki/牛山駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度15分51秒東経136度55分52.7秒","小牧線","6.9 km（上飯田起点）","名古屋鉄道","1931年（昭和6年）4月29日","地上駅","愛知県春日井市牛山町951北緯35度15分51秒東経136度55分52.7秒﻿ / ﻿北緯35.26417度 東経136.931306度﻿ /35.26417; 136.931306座標:北緯35度15分51秒東経136度55分52.7秒﻿ / ﻿北緯35.26417度 東経136.931306度﻿ /35.26417; 136.931306","1面2線","無人駅（駅集中管理システム導入駅）","","","KM  09 ","2,472人/日-2019年[1]-","","","","","","",""
"宇治山田駅","宇治山田駅（うじやまだえき）","https://ja.wikipedia.org/wiki/宇治山田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度29分17.52秒東経136度42分49.46秒","M山田線","28.3 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1931年（昭和6年）3月17日","高架駅","三重県伊勢市岩渕二丁目1-43北緯34度29分17.52秒東経136度42分49.46秒﻿ / ﻿北緯34.4882000度 東経136.7137389度﻿ /34.4882000; 136.7137389座標:北緯34度29分17.52秒東経136度42分49.46秒﻿ / ﻿北緯34.4882000度 東経136.7137389度﻿ /34.4882000; 136.7137389","3面4線","","ウヤ","5,484人/日（降車客含まず）-2019年-"," M74 ","","","","","","","",""
"後潟駅","後潟駅（うしろがたえき）","https://ja.wikipedia.org/wiki/後潟駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯40度55分53.44秒東経140度39分45.68秒","■津軽線","14.7 km（青森起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）12月5日[1]","地上駅","青森県青森市大字六枚橋字磯打[1]59北緯40度55分53.44秒東経140度39分45.68秒﻿ / ﻿北緯40.9315111度 東経140.6626889度﻿ /40.9315111; 140.6626889座標:北緯40度55分53.44秒東経140度39分45.68秒﻿ / ﻿北緯40.9315111度 東経140.6626889度﻿ /40.9315111; 140.6626889","1面1線[1]","無人駅[1]","ウロ","52人/日（降車客含まず）-2011年-","","","","","","","","",""
"有珠駅","有珠駅（うすえき）","https://ja.wikipedia.org/wiki/有珠駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯42度30分46.69秒東経140度47分38.00秒","■室蘭本線","46.6 km（長万部起点）","北海道旅客鉄道（JR北海道）","1928年（昭和3年）9月10日","地上駅","北海道伊達市有珠町北緯42度30分46.69秒東経140度47分38.00秒﻿ / ﻿北緯42.5129694度 東経140.7938889度﻿ /42.5129694; 140.7938889﻿ (有珠駅)","2面2線","無人駅","ウス","","○H40","60人/日-2014年-","","","","","","",""
"臼杵駅","臼杵駅（うすきえき・九州旅客鉄道日豊本線）","https://ja.wikipedia.org/wiki/臼杵駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度7分7秒東経131度48分27秒","■日豊本線","169.2 km（小倉起点）","九州旅客鉄道（JR九州）","1915年（大正4年）8月15日[1]","地上駅","大分県臼杵市大字海添2573-2[1][2]北緯33度7分7秒東経131度48分27秒座標:北緯33度7分7秒 東経131度48分27秒","2面3線[1]","業務委託駅[3]みどりの窓口有[1]","スキ","674人/日（降車客含まず）-2019年-","","","","","","","","",""
"宇宿駅","宇宿駅（うすきえき・九州旅客鉄道指宿枕崎線）","https://ja.wikipedia.org/wiki/宇宿駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度32分38.99秒東経130度32分10.90秒","指宿枕崎線","4.9 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1986年（昭和61年）12月1日","地上駅","鹿児島県鹿児島市宇宿三丁目34-1北緯31度32分38.99秒東経130度32分10.90秒","1面1線","無人駅駅集中管理システム（Smart Support Station）採用[1]","ウス","1,259人/日（降車客含まず）-2019年-","","","","","","","","",""
"鵜杉駅","鵜杉駅（うすぎえき）","https://ja.wikipedia.org/wiki/鵜杉駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度45分53.87秒東経140度27分12.58秒","■陸羽東線","71.5 km（小牛田起点）","東日本旅客鉄道（JR東日本）","1965年（昭和40年）9月1日","地上駅","山形県最上郡最上町大字志茂北緯38度45分53.87秒東経140度27分12.58秒座標:北緯38度45分53.87秒 東経140度27分12.58秒","1面1線","無人駅","ウス","51人/日（降車客含まず）-2004年-","","","","","","","","",""
"宇宿一丁目停留場","宇宿一丁目停留場（うすきいっちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/宇宿一丁目停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度32分49.11秒東経130度32分21.56秒","鹿児島市電谷山線（1系統）","4.0km（武之橋起点）鹿児島駅前から7.0 km","鹿児島市交通局","1979年4月14日","地上駅","鹿児島県鹿児島市宇宿一丁目北緯31度32分49.11秒東経130度32分21.56秒﻿ / ﻿北緯31.5469750度 東経130.5393222度﻿ /31.5469750; 130.5393222﻿ (宇宿一丁目停留場)","2面2線","","","","●I21","686人/日-2015年-","","","","","","",""
"有珠山ロープウェイ","有珠山山頂駅（うすざんさんちょうえき）","https://ja.wikipedia.org/wiki/有珠山ロープウェイ","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"臼田駅","臼田駅（うすだえき）","https://ja.wikipedia.org/wiki/臼田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度11分38.09秒東経138度29分17.20秒","■小海線","60.9 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）12月28日[1]","地上駅","長野県佐久市下越[1]北緯36度11分38.09秒東経138度29分17.20秒﻿ / ﻿北緯36.1939139度 東経138.4881111度﻿ /36.1939139; 138.4881111座標:北緯36度11分38.09秒東経138度29分17.20秒﻿ / ﻿北緯36.1939139度 東経138.4881111度﻿ /36.1939139; 138.4881111","1面1線","業務委託駅みどりの窓口有[1]標高：709.5m[1]","ウス[1]","187人/日（降車客含まず）-2019年-","","","","","","","","",""
"太秦駅","太秦駅（うずまさえき）","https://ja.wikipedia.org/wiki/太秦駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度1分1.52秒東経135度42分4.7秒","E山陰本線（嵯峨野線）","8.6 km（京都起点）","西日本旅客鉄道（JR西日本）","1989年（平成元年）3月11日[1][2]","地上駅[1]","京都市右京区太秦上ノ段町6-2北緯35度1分1.52秒東経135度42分4.7秒﻿ / ﻿北緯35.0170889度 東経135.701306度﻿ /35.0170889; 135.701306座標:北緯35度1分1.52秒東経135度42分4.7秒﻿ / ﻿北緯35.0170889度 東経135.701306度﻿ /35.0170889; 135.701306","2面2線[1]","業務委託駅みどりの窓口有京都市内駅","ウツ","4,527人/日（降車客含まず）-2019年-","JR-E07","","","","","","","",""
"太秦広隆寺駅","太秦広隆寺駅（うずまさこうりゅうじえき）","https://ja.wikipedia.org/wiki/太秦広隆寺駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度0分48.58秒東経135度42分29.69秒","■嵐山本線","4.4 km（四条大宮起点）","京福電気鉄道","1910年（明治43年）3月25日","地上駅","京都市右京区太秦組石町北緯35度0分48.58秒東経135度42分29.69秒﻿ / ﻿北緯35.0134944度 東経135.7082472度﻿ /35.0134944; 135.7082472座標:北緯35度0分48.58秒東経135度42分29.69秒﻿ / ﻿北緯35.0134944度 東経135.7082472度﻿ /35.0134944; 135.7082472","相対式2面2線","","","","●A7","1,448人/日-2019年-","","","","","","",""
"太秦天神川駅","太秦天神川駅（うずまさてんじんがわえき）","https://ja.wikipedia.org/wiki/太秦天神川駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度0分38.91秒東経135度42分56.01秒","東西線","17.5 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","2008年（平成20年）1月16日","地下駅","京都市右京区太秦下刑部町北緯35度0分38.91秒東経135度42分56.01秒﻿ / ﻿北緯35.0108083度 東経135.7155583度﻿ /35.0108083; 135.7155583座標:北緯35度0分38.91秒東経135度42分56.01秒﻿ / ﻿北緯35.0108083度 東経135.7155583度﻿ /35.0108083; 135.7155583","1面2線","","","","●T17","18,601人/日-2019年-","嵐電天神川駅（京福電気鉄道嵐山本線[1]）","","","","","",""
"羽前大山駅","羽前大山駅（うぜんおおやまえき）","https://ja.wikipedia.org/wiki/羽前大山駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度44分32秒東経139度46分1.3秒","■羽越本線","133.4 km（新津起点）","東日本旅客鉄道（JR東日本）","1919年（大正8年）12月5日","地上駅","山形県鶴岡市大山一丁目1-1北緯38度44分32秒東経139度46分1.3秒座標:北緯38度44分32秒 東経139度46分1.3秒","1面2線","無人駅（自動券売機 有）","オヤ←ヲヤ","95人/日（降車客含まず）-2012年-","","","","","","","","",""
"羽前金沢駅","羽前金沢駅（うぜんかねざわえき）","https://ja.wikipedia.org/wiki/羽前金沢駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度19分13.89秒東経140度16分13.32秒","■左沢線","9.5 km（北山形起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）12月25日[1]","地上駅","山形県東村山郡中山町大字金沢北緯38度19分13.89秒東経140度16分13.32秒﻿ / ﻿北緯38.3205250度 東経140.2703667度﻿ /38.3205250; 140.2703667座標:北緯38度19分13.89秒東経140度16分13.32秒﻿ / ﻿北緯38.3205250度 東経140.2703667度﻿ /38.3205250; 140.2703667","1面1線","無人駅","カナ","30人/日（降車客含まず）-2004年-","","","","","","","","",""
"羽前小松駅","羽前小松駅（うぜんこまつえき）","https://ja.wikipedia.org/wiki/羽前小松駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■米坂線","16.9 km（米沢起点）","東日本旅客鉄道（JR東日本）","1926年（大正15年）9月28日","地上駅","","2面2線","簡易委託駅","ウコ","260人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽前前波駅","羽前前波駅（うぜんぜんなみえき）","https://ja.wikipedia.org/wiki/羽前前波駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度44分52.00秒東経140度12分33.91秒","■陸羽西線","10.6 km（新庄起点）","東日本旅客鉄道（JR東日本）","1966年（昭和41年）9月1日","地上駅（盛土上）","山形県新庄市大字升形字前波北緯38度44分52.00秒東経140度12分33.91秒座標:北緯38度44分52.00秒 東経140度12分33.91秒","1面1線","無人駅","ウセ","13人/日（降車客含まず）-2004年-","","","","","","","","",""
"羽前高松駅","羽前高松駅（うぜんたかまつえき）","https://ja.wikipedia.org/wiki/羽前高松駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度23分51.63秒東経140度14分55.39秒","■左沢線","19.3 km（北山形起点）","東日本旅客鉄道（JR東日本）","1922年（大正11年）4月23日","地上駅","山形県寒河江市大字八鍬字郷の目北緯38度23分51.63秒東経140度14分55.39秒座標:北緯38度23分51.63秒 東経140度14分55.39秒","1面1線","無人駅","ウタ","292人/日（降車客含まず）-2007年-","","","","","","","","",""
"羽前千歳駅","羽前千歳駅（うぜんちとせえき）","https://ja.wikipedia.org/wiki/羽前千歳駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度17分15.64秒東経140度20分31.66秒","■奥羽本線（山形線）","91.9 km（福島起点）","東日本旅客鉄道（JR東日本）","1933年（昭和8年）10月17日[1]","地上駅","山形県山形市長町二丁目5北緯38度17分15.64秒東経140度20分31.66秒座標:北緯38度17分15.64秒 東経140度20分31.66秒","1面2線[1]","無人駅[1]（自動券売機有）","ウト","226人/日（降車客含まず）-2004年-","","","","","","","","",""
"羽前椿駅","羽前椿駅（うぜんつばきえき）","https://ja.wikipedia.org/wiki/羽前椿駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度2分18.91秒東経139度59分39.09秒","■米坂線","30.1 km（米沢起点）","東日本旅客鉄道（JR東日本）","1931年（昭和6年）8月10日","地上駅","山形県西置賜郡飯豊町大字椿1974-2北緯38度2分18.91秒東経139度59分39.09秒座標:北緯38度2分18.91秒 東経139度59分39.09秒","2面2線","簡易委託駅","ウツ","26人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽前豊里駅","羽前豊里駅（うぜんとよさとえき）","https://ja.wikipedia.org/wiki/羽前豊里駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度50分12.24秒東経140度14分32.25秒","■奥羽本線","161.3 km（福島起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）12月15日","地上駅","山形県最上郡鮭川村大字石名坂65北緯38度50分12.24秒東経140度14分32.25秒座標:北緯38度50分12.24秒 東経140度14分32.25秒","1面1線","無人駅","サト","59人/日（降車客含まず）-2006年-","","","","","","","","",""
"羽前長崎駅","羽前長崎駅（うぜんながさきえき）","https://ja.wikipedia.org/wiki/羽前長崎駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度20分0秒東経140度16分23.1秒","■左沢線","11.0 km（北山形起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）7月20日","地上駅","山形県東村山郡中山町大字長崎4206北緯38度20分0秒東経140度16分23.1秒座標:北緯38度20分0秒 東経140度16分23.1秒","1面1線","簡易委託駅","ナキ","366人/日（降車客含まず）-2019年-","","","","","","","","",""
"羽前中山駅","羽前中山駅（うぜんなかやまえき）","https://ja.wikipedia.org/wiki/羽前中山駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度7分28.08秒東経140度13分6.15秒","■奥羽本線（山形線）","68.3 km（福島起点）","東日本旅客鉄道（JR東日本）","1952年（昭和27年）11月15日","地上駅","山形県上山市中山3590北緯38度7分28.08秒東経140度13分6.15秒座標:北緯38度7分28.08秒 東経140度13分6.15秒","2面2線","無人駅（乗車駅証明書発行機 有）","ナヤ","108人/日（降車客含まず）-2004年-","","","","","","","","",""
"羽前成田駅","羽前成田駅（うぜんなりたえき）","https://ja.wikipedia.org/wiki/羽前成田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度7分51.63秒東経140度2分6.39秒","フラワー長井線","21.0 km（赤湯起点）","山形鉄道","1922年（大正11年）12月11日","地上駅","山形県長井市成田北緯38度7分51.63秒東経140度2分6.39秒座標:北緯38度7分51.63秒 東経140度2分6.39秒","1面1線","無人駅","ナタ","50人/日（降車客含まず）-2017年-","","","","","","","","",""
"羽前沼沢駅","羽前沼沢駅（うぜんぬまざわえき）","https://ja.wikipedia.org/wiki/羽前沼沢駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度1分43.01秒東経139度52分20.87秒","■米坂線","43.9 km（米沢起点）","東日本旅客鉄道（JR東日本）","1933年（昭和8年）11月10日","地上駅","山形県西置賜郡小国町大字沼沢北緯38度1分43.01秒東経139度52分20.87秒座標:北緯38度1分43.01秒 東経139度52分20.87秒","1面1線","無人駅","ウヌ","6人/日（降車客含まず）-2004年-","","","","","","","","",""
"羽前松岡駅","羽前松岡駅（うぜんまつおかえき）","https://ja.wikipedia.org/wiki/羽前松岡駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度2分43.14秒東経139度46分49.80秒","■米坂線","54.7 km（米沢起点）","東日本旅客鉄道（JR東日本）","1935年（昭和10年）10月30日","地上駅","山形県西置賜郡小国町大字松岡北緯38度2分43.14秒東経139度46分49.80秒﻿ / ﻿北緯38.0453167度 東経139.7805000度﻿ /38.0453167; 139.7805000座標:北緯38度2分43.14秒東経139度46分49.80秒﻿ / ﻿北緯38.0453167度 東経139.7805000度﻿ /38.0453167; 139.7805000","1面1線","無人駅","ウカ","8人/日（降車客含まず）-2004年-","","","","","","","","",""
"羽前水沢駅","羽前水沢駅（うぜんみずさわえき）","https://ja.wikipedia.org/wiki/羽前水沢駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度42分50.1秒東経139度43分57.6秒","■羽越本線","128.9 km（新津起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1926年（大正15年）9月5日","地上駅","山形県鶴岡市大広北緯38度42分50.1秒東経139度43分57.6秒﻿ / ﻿北緯38.713917度 東経139.732667度﻿ /38.713917; 139.732667座標:北緯38度42分50.1秒東経139度43分57.6秒﻿ / ﻿北緯38.713917度 東経139.732667度﻿ /38.713917; 139.732667","2面3線","無人駅（自動券売機 有）","ウミ","35人/日（降車客含まず）-2009年-","","","","","","","","",""
