"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","築城主","城郭構造","築城年","遺構","主な城主","指定文化財","廃城年","位置","地図","別名","天守構造","主な改修者","再建造物","所在地","登録文化財","埋蔵文化財,包蔵地番号","宗派","本尊","創建年"
"脇本城","[脇本城] 脇本城 （わきもとじょう）は 秋田県 男鹿市 にある中世の 日本の城 （ 山城 ）跡。国の 史跡 。 中世 に 安東氏 の居城となった。","https://ja.wikipedia.org/wiki/脇本城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度54分9.3秒東経139度53分20.7秒","不明","山城","不明","曲輪・土塁・空堀","安東氏","国の史跡","天正18年（1590年）？","北緯39度54分9.3秒東経139度53分20.7秒﻿ / ﻿北緯39.902583度 東経139.889083度﻿ /39.902583; 139.889083","脇本城","","建造されず","安東愛季","","","","","","",""
"角館城","[角館城] 角館城 （かくのだてじょう）は、 秋田県 仙北市 の 角館 地域にある 日本の城 （ 山城 ）跡。別名、小松山城。 戦国時代 に 戸沢氏 の本拠地があったことで知られている。","https://ja.wikipedia.org/wiki/角館城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度36分16.73秒東経140度33分39.14秒","戸沢氏（角館氏？）","山城","","","蘆名氏、佐竹氏","なし","","北緯39度36分16.73秒東経140度33分39.14秒﻿ / ﻿北緯39.6046472度 東経140.5608722度﻿ /39.6046472; 140.5608722座標:北緯39度36分16.73秒東経140度33分39.14秒﻿ / ﻿北緯39.6046472度 東経140.5608722度﻿ /39.6046472; 140.5608722","","小松山城","","蘆名氏","","","","","","",""
"払田柵跡","[払田柵〈古代城柵〉] 払田柵跡 （ほったのさくあと）は、 秋田県 大仙市 払田・ 仙北郡 美郷町 本堂城廻にある日本の古代 城柵 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/払田柵跡","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度28分6秒東経140度32分58秒","","古代城柵","9世紀初頭頃","","","国の史跡「払田柵跡」","不明","北緯39度28分6秒東経140度32分58秒﻿ / ﻿北緯39.46833度 東経140.54944度﻿ /39.46833; 140.54944﻿ (払田柵)座標:北緯39度28分6秒東経140度32分58秒﻿ / ﻿北緯39.46833度 東経140.54944度﻿ /39.46833; 140.54944﻿ (払田柵)","払田柵","","","","","","","","","",""
"淀川城","[淀川城] 淀川城 （よどかわじょう）は、 戦国時代 、 羽後国 （ 出羽国 北部; 現在の 秋田県 ）にあった 中世城館 。現在の 秋田県 大仙市 協和中淀川千着に所在する。","https://ja.wikipedia.org/wiki/淀川城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"稲庭城 (存在しないページ)","[稲庭城]","https://ja.wikipedia.org/w/index.php?title=稲庭城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"紫島城","[紫島城] 紫島城 （むらさきしまじょう）は、 秋田県 大仙市 長野（旧、 中仙町 ）にあった 日本の城 である。形式は 平城 。","https://ja.wikipedia.org/wiki/紫島城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋田城","[秋田城〈古代城柵〉] 秋田城 （あきたじょう/あきたのき）は、 出羽国 秋田 （現在の 秋田県 秋田市 ）にあった日本の古代 城柵 。国の 史跡 に指定されており、かつての城域の一部は現在 高清水公園 となっている。また、 秋田県護国神社 も秋田城の城址に遷座したものである。","https://ja.wikipedia.org/wiki/秋田城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度44分23.50秒 東経140度4分40.8秒","律令政権","古代城柵","天平5年（733年）","政庁跡、東門、外郭、トイレ建物","","国の史跡「秋田城跡」","11世紀頃","","秋田城跡","","","","東門、築地塀","","","","","",""
"久保田城","[久保田城（秋田城）〈佐竹氏〉] 久保田城 （くぼたじょう）は、 羽後国 （旧 出羽国 ） 秋田郡 久保田、現在の 秋田県 秋田市 千秋公園 近辺にあった 城郭 。 史跡 指定はされていないが、「 千秋公園（久保田城跡） 」として秋田市指定 名勝 に指定されている  。また 日本100名城 の第9番に選定されている  。","https://ja.wikipedia.org/wiki/久保田城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度43分24.53秒東経140度7分23.67秒","佐竹義宣","平山城","1604年（慶長9年）","土塁、堀、門、番所","佐竹氏","秋田市指定名勝:千秋公園（久保田城跡）秋田市指定有形文化財:御物頭御番所","1880年（明治13年）","北緯39度43分24.53秒東経140度7分23.67秒﻿ / ﻿北緯39.7234806度 東経140.1232417度﻿ /39.7234806; 140.1232417","久保田城","矢留城、葛根城、秋田城","なし","","本丸新兵具隅櫓、本丸表門","","","","","",""
"湊城","[湊城] 湊城 （みなとじょう）は、 出羽国 秋田郡 土崎湊 、現在の 秋田県 秋田市 にあった 城郭 （ 平城 ）である   。","https://ja.wikipedia.org/wiki/湊城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度45分27.1秒東経140度04分16.0秒","不明","平城","永享8年（1436年）?","曲輪、堀","","史跡等未指定","慶長9年（1604年）","北緯39度45分27.1秒東経140度04分16.0秒﻿ / ﻿北緯39.757528度 東経140.071111度﻿ /39.757528; 140.071111座標:北緯39度45分27.1秒東経140度04分16.0秒﻿ / ﻿北緯39.757528度 東経140.071111度﻿ /39.757528; 140.071111","湊城","","","","","","","秋田県201-1-165","","",""
"横手城","[横手城（韮城）] 横手城 （よこてじょう）は、 出羽国  平鹿郡 横手町（現・ 秋田県 横手市 城山町）にかつて存在した 日本の城 である。構造は 山城 。 朝倉城 （あさくらじょう）や 阿櫻城 （あざくらじょう）とも呼ばれる。 廃城 後に城跡は 横手公園 として整備されており、 模擬天守 が建てられている。","https://ja.wikipedia.org/wiki/横手城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度19分15.82秒東経140度34分9.22秒","(小野寺氏)","山城","(不明)","土塁","戸村氏","なし","明治元年（1868年）","北緯39度19分15.82秒東経140度34分9.22秒﻿ / ﻿北緯39.3210611度 東経140.5692278度﻿ /39.3210611; 140.5692278","","朝倉城、阿櫻城、韮城","なし複合式望楼型3重4階（1965年RC造模擬）","(戸村氏)","模擬天守","","","","","",""
"金沢柵","[金沢柵] 金沢柵 （かねざわさく、かねざわのき）は、 出羽国 に置かれた古代日本の 城柵 の1つ。 後三年の役 の舞台となった。","https://ja.wikipedia.org/wiki/金沢柵","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","古代城柵","不明","","清原氏","","不明","","","","","","","","","","","",""
"亀田城 (存在しないページ)","[亀田城]","https://ja.wikipedia.org/w/index.php?title=亀田城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉田城 (出羽国) (存在しないページ)","[吉田城]","https://ja.wikipedia.org/w/index.php?title=吉田城_(出羽国)&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩崎城 (出羽国)","[岩崎城] 岩崎城 （いわさきじょう）は、 出羽国 雄勝郡 、現在の 秋田県 湯沢市 に存在した 日本の城 （ 平山城 ）。","https://ja.wikipedia.org/wiki/岩崎城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度12分19.7秒東経140度30分50.4秒","藤原河内守","平山城","建長・文永年間（1249年－1274年）","櫓台、曲輪、土塁、堀、井戸跡、石碑","岩崎道高、岩崎義高、原田大膳","なし","元和元年（1615年）","北緯39度12分19.7秒東経140度30分50.4秒﻿ / ﻿北緯39.205472度 東経140.514000度﻿ /39.205472; 140.514000座標:北緯39度12分19.7秒東経140度30分50.4秒﻿ / ﻿北緯39.205472度 東経140.514000度﻿ /39.205472; 140.514000","岩崎城","一名建ヶ城","","","なし","","","","","",""
"本荘城","[本荘城] 本荘城 （ほんじょうじょう）は、 秋田県 由利本荘市 にある中世からの 平山城 跡。 江戸時代 には 本荘藩 の藩庁が置かれた。別名は鶴舞城。尾崎城とも。","https://ja.wikipedia.org/wiki/本荘城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯39度23分5.49秒東経140度2分50.9秒","楯岡満茂","平山城","慶長18年（1613年）元和９年（1623年）改築","曲輪・土塁・水堀","楯岡氏、本多氏、六郷氏","なし","明治2年（1869年）","北緯39度23分5.49秒東経140度2分50.9秒﻿ / ﻿北緯39.3848583度 東経140.047472度﻿ /39.3848583; 140.047472座標:北緯39度23分5.49秒東経140度2分50.9秒﻿ / ﻿北緯39.3848583度 東経140.047472度﻿ /39.3848583; 140.047472","本荘城址","鶴舞城、尾崎城","建造されず","六郷政乗","門","","","","","",""
"山形城","[山形城（霞城）] 山形城 （やまがたじょう）は、 山形県 山形市 霞城町にあった 日本の城 。別名は 霞城 （かじょう）、 霞ヶ城 （かすみがじょう）と呼ばれる。また、吉字城とも呼ばれた  。国の 史跡 に指定され、 日本100名城 に選定されている  。","https://ja.wikipedia.org/wiki/山形城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度15分20秒東経140度19分41秒","斯波兼頼","輪郭式平城","1356年（南朝：正平11年、北朝：延文元年）","石垣、堀、移築門、移築御殿","最上氏、鳥居氏、堀田氏秋元氏他","国の史跡","1871年（明治4年）","北緯38度15分20秒東経140度19分41秒﻿ / ﻿北緯38.25556度 東経140.32806度﻿ /38.25556; 140.32806","山形城山形市街の地図を表示山形城山形県の地図を表示","霞城、霞ヶ城、吉字城","なし（御三階櫓）","最上義光、鳥居忠政","二の丸東大手門、大手橋","","","","","",""
"朝日山城 (出羽国)","[朝日山城] 朝日山城 （あさひやまじょう）は、 出羽国 遊佐郡 （のち 羽後国  飽海郡 ）朝日山、現在の 山形県 酒田市 北沢 字楯山にあった 日本の城 （ 中世 の 山城 ）跡。","https://ja.wikipedia.org/wiki/朝日山城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","池田氏","山城","1335年（建武2年）頃","曲輪・石垣・空堀など","池田氏、志田氏（上杉氏）、最上氏","未指定","安土桃山時代","","朝日山城","","不明","","","","","","","",""
"左沢楯山城","[左沢楯山城] 左沢楯山城 （あてらざわたてやまじょう）は、 出羽国 村山郡 寒河江荘 左沢 （ 山形県 西村山郡 大江町 ）にあった 日本の城 である。 城跡 は国の 史跡 である  。","https://ja.wikipedia.org/wiki/左沢楯山城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度23分15.5秒東経140度12分55.2秒","大江元時","山城","南北朝時代～戦国時代","曲輪、堀切","左沢氏、酒井氏","国の史跡","寛永年間（1624年～1645年）","北緯38度23分15.5秒東経140度12分55.2秒﻿ / ﻿北緯38.387639度 東経140.215333度﻿ /38.387639; 140.215333","左沢楯山城","","","","","","","","","",""
"大山城","[大山城] 大山城 とは","https://ja.wikipedia.org/wiki/大山城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金山城 (出羽国)","[金山城（楯山城）] 金山城 （かねやまじょう）は、 山形県 最上郡 金山町 金山にあった 城 。別名の 楯山城 で呼ばれることが多い。形式は 山城 である。","https://ja.wikipedia.org/wiki/金山城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","丹与惣左衛門","山城","天正9年(1581年)","石垣、櫓","丹氏、鮭延氏","なし","元和8年(1622年)","","","楯山城","","","","","","","","",""
"亀ヶ崎城 (存在しないページ)","[亀ヶ崎城（東禅寺城）]","https://ja.wikipedia.org/w/index.php?title=亀ヶ崎城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"城輪柵","[城輪柵（城輪柵跡）] 城輪柵 （きのわのき/きのわのさく）は、現在の 山形県 酒田市 城輪にあった日本の古代 城柵 。国の 史跡 に指定されている（指定名称は「城輪柵跡」）。","https://ja.wikipedia.org/wiki/城輪柵","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度57分49.0秒 東経139度54分33.2秒","大和朝廷","古代城柵","不明","政庁跡など","","国の史跡「城輪柵跡」","不明","","城輪柵","","","","南門、東門、築地塀（一部）","","","","","",""
"上山城","[上山城（月岡城）] 上山城 （かみのやまじょう）は、 山形県 上山市 にあった 日本の城 である。別名、 月岡城 。 江戸時代 には 上山藩 の藩庁が置かれた。上山市指定 史跡  。","https://ja.wikipedia.org/wiki/上山城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度9分26.99秒東経140度16分34.28秒","武衛義忠","平山城","1535年","石垣、土塁、堀","上山氏、小簗川氏、藤井松平氏ほか","市指定史跡","1873年","北緯38度9分26.99秒東経140度16分34.28秒﻿ / ﻿北緯38.1574972度 東経140.2761889度﻿ /38.1574972; 140.2761889","上山城","月岡城","不明（望楼型3層5階、鉄筋コンクリート造模擬）1982年","松平（能見）重忠","模擬天守","","","","","",""
"寒河江城","[寒河江城] 寒河江城 （さがえじょう）は、 出羽国 村山郡 寒河江荘 （ 山形県 寒河江市 ）にあった 日本の城 である。","https://ja.wikipedia.org/wiki/寒河江城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度22分34秒東経140度16分47秒","寒河江時氏","連郭式平城","南北朝時代末期から室町時代初期にかけて","堀・石垣・門","寒河江氏、最上氏","","元和9年","北緯38度22分34秒東経140度16分47秒﻿ / ﻿北緯38.37611度 東経140.27972度﻿ /38.37611; 140.27972","寒河江城","","","","","","","","","",""
"鮭延城","[鮭延城] 鮭延城 （さけのべじょう）は、 山形県 最上郡 真室川町 内町にあった 日本の城 。形式は 山城 である。 真室城 とも言われていた。","https://ja.wikipedia.org/wiki/鮭延城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水城 (出羽国)","[清水城] 清水城 （しみずじょう）は、 山形県 最上郡 大蔵村 清水、比良にあった 日本の城 。形式は 平山城 である。山形県指定 史跡  。","https://ja.wikipedia.org/wiki/清水城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度41分53.0秒東経140度13分44.2秒","成沢満久","平山城","1476年（文明10年）","曲輪、堀、土塁","清水氏","県指定史跡","1614年（慶長19年）","北緯38度41分53.0秒東経140度13分44.2秒﻿ / ﻿北緯38.698056度 東経140.228944度﻿ /38.698056; 140.228944","清水城","","なし","","なし","","","","","",""
"白岩城","[白岩城] 白岩城 （しらいわじょう）は、 出羽国 村山郡 寒河江荘 白岩（ 山形県 寒河江市 白岩）にあった 城 である。","https://ja.wikipedia.org/wiki/白岩城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度24分40.7秒東経140度13分38.5秒","白岩政広","山城","南北朝時代から戦国時代にかけて","曲輪、堀切、空堀","溝延氏、白岩氏","","","北緯38度24分40.7秒東経140度13分38.5秒﻿ / ﻿北緯38.411306度 東経140.227361度﻿ /38.411306; 140.227361","","","","","","","","","","",""
"白鳥城 (出羽国) (存在しないページ)","[白鳥城]","https://ja.wikipedia.org/w/index.php?title=白鳥城_(出羽国)&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新庄城","[新庄城（沼田城・鵜沼城）] 新庄城 （しんじょうじょう）は、 山形県 新庄市 堀端町にあった 日本の城 （中世の 平城 ）である。別名 沼田城 （ぬまたじょう）、 鵜沼城 （うぬまじょう）と呼ばれる。新庄市指定史跡。","https://ja.wikipedia.org/wiki/新庄城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度46分1.27秒東経140度17分36.61秒","戸沢政盛","輪郭式平城","1625年（寛永2年）","土塁、堀","戸沢氏","新庄市史跡","1868年（明治元年）","北緯38度46分1.27秒東経140度17分36.61秒﻿ / ﻿北緯38.7670194度 東経140.2935028度﻿ /38.7670194; 140.2935028","","沼田城、鵜沼城","不明","戸沢政盛","","","","","","",""
"楯岡城","[楯岡城] 楯岡城 （たておかじょう）は、 山形県 村山市 楯岡楯（旧・ 北村山郡 楯岡町 ）にあった 日本の城 （中世の山城跡）。","https://ja.wikipedia.org/wiki/楯岡城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鶴ヶ岡城","[鶴ヶ岡城（大宝寺城）] 鶴ヶ岡城 （つるがおかじょう）は、 山形県 鶴岡市 馬場町 にあった 日本の城 （ 平城 ）である。","https://ja.wikipedia.org/wiki/鶴ヶ岡城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度43分43.46秒東経139度49分28.39秒","大泉氏（武藤氏）","輪郭式平城","鎌倉時代初期","土塁、石垣、堀藩校、庭園","武藤氏、上杉氏、最上氏、酒井氏","国の史跡（藩校）、国の名勝（三の丸庭園）","1871年","北緯38度43分43.46秒東経139度49分28.39秒﻿ / ﻿北緯38.7287389度 東経139.8245528度﻿ /38.7287389; 139.8245528","鶴ヶ岡城","大宝寺城、大梵寺城","なし","直江兼続、最上義光、酒井忠勝","","","","","","",""
"天童城","[天童城（舞鶴城）] 天童城 （てんどうじょう）は、 山形県 天童市 天童にあった 日本の城 （ 山城 ）。","https://ja.wikipedia.org/wiki/天童城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","北畠天童丸？、天童頼直","山城","天授元年/永和元年（1375年）","主郭平坦部、曲輪跡","北畠氏？、天童氏","未指定","天正12年(1584年)","","天童城","舞鶴城、天童古城","なし","","","","","","","",""
"出羽柵","[出羽柵] 出羽柵 （でわのき/いではのき/でわのさく）は、現在の 山形県 庄内地方 （ 城輪柵跡 か）、のち 秋田県 秋田市 付近（= 秋田城 ）にあった日本の古代 城柵 。","https://ja.wikipedia.org/wiki/出羽柵","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","大和朝廷","古代城柵","和銅2年（709年）","","","","不明","","","","","","","","","","","",""
"長瀞城","[長瀞城] 長瀞城 （ながとろじょう）は、 戦国時代 から 江戸時代 にかけて存在した城。現在の 山形県 東根市 長瀞地区に城跡が残る。別名、雁城（かりがねじょう）ともいう。","https://ja.wikipedia.org/wiki/長瀞城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中野城 (出羽国)","[中野城] 中野城 （なかのじょう）は、 山形県 山形市 中野にあった 日本 の 城 。","https://ja.wikipedia.org/wiki/中野城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度18分18.7秒東経140度18分15.1秒","中野満基","平城","不明","なし（埋没）","中野氏","未指定","1622年（元和8年）","北緯38度18分18.7秒東経140度18分15.1秒﻿ / ﻿北緯38.305194度 東経140.304194度﻿ /38.305194; 140.304194","中野城","","","","なし","","","","","",""
"成生城 (存在しないページ)","[成生城]","https://ja.wikipedia.org/w/index.php?title=成生城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"成沢城 (存在しないページ)","[成沢城（鳴沢城）]","https://ja.wikipedia.org/w/index.php?title=成沢城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"延沢城","[延沢城（野辺沢城）] 延沢城 （のべさわじょう）は、 日本 の 城 。所在地は 山形県 尾花沢市 。霧山城や野辺沢城とも呼ばれた。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/延沢城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度34分4.5秒 東経140度28分3.3秒","延沢満重","山城","1547年（天文16年）","櫓門跡・枡形門跡など","延沢氏","国の史跡","1667年（寛文7年）","","延沢城","霧山城、野辺沢城","なし","","","","","","","",""
"長谷堂城","[長谷堂城（亀ヶ城）] 長谷堂城 （はせどうじょう）は、 山形県 山形市 長谷堂にある 中世 の 日本の城 （ 山城 ）跡。山の形から「亀ヶ城」とも呼ばれていた。","https://ja.wikipedia.org/wiki/長谷堂城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度12分45.6秒東経140度16分20.76秒","最上氏","連郭式山城","16世紀初期","曲輪","最上氏、志村氏、坂氏","未指定","1622年（元和8年）","北緯38度12分45.6秒東経140度16分20.76秒﻿ / ﻿北緯38.212667度 東経140.2724333度﻿ /38.212667; 140.2724333","長谷堂城","亀ヶ城","建造されず","","","","","","","",""
"畑谷城","[畑谷城] 畑谷城 （はたやじょう）は、 山形県 東村山郡 山辺町 畑谷にあった 戦国時代 の 日本の城 。形式は 山城 である。","https://ja.wikipedia.org/wiki/畑谷城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東根城 (存在しないページ)","[東根城]","https://ja.wikipedia.org/w/index.php?title=東根城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藤島城","[藤島城] 藤島城 （ふじしまじょう）は 山形県 鶴岡市 藤島にあった 日本の城 で、市指定 史跡  。","https://ja.wikipedia.org/wiki/藤島城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","不明","輪郭式平城","不明","土塁、堀","葉室氏、久我氏、堀川氏、北畠氏、土佐林氏、丸岡氏、栗田氏、木戸氏、新関氏","市の史跡","1615年","","藤島城","藤島城","なし","","","","","","","",""
"真木山城 (存在しないページ)","[真木山城]","https://ja.wikipedia.org/w/index.php?title=真木山城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松山城 (出羽国)","[松山城（松嶺城）] 松山城 （まつやまじょう）は、 出羽国 遊佐郡 （のち 羽後国  飽海郡 ）松山（現在の 山形県 酒田市 松山地区）にあった 日本の城 である。 江戸時代 には、庄内藩の支藩 松山藩 の藩庁が置かれた。明治以降は松嶺城（まつみねじょう）とも呼ばれるようになった。","https://ja.wikipedia.org/wiki/松山城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度51分35.36秒 東経139度57分29.43秒","","","","","","","","","","","","","","","","","","",""
"丸岡城 (出羽国)","[丸岡城] 丸岡城 （まるおかじょう）は 山形県 鶴岡市 丸岡にあった 日本の城 で、県指定 史跡  。","https://ja.wikipedia.org/wiki/丸岡城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度40分52.4秒東経139度49分53.9秒","武藤氏?","連郭式平山城","鎌倉時代?","土塁、堀","武藤氏、上杉氏、最上氏","県指定史跡","1615年（元和元年）","北緯38度40分52.4秒東経139度49分53.9秒﻿ / ﻿北緯38.681222度 東経139.831639度﻿ /38.681222; 139.831639座標:北緯38度40分52.4秒東経139度49分53.9秒﻿ / ﻿北緯38.681222度 東経139.831639度﻿ /38.681222; 139.831639","丸岡城","","","","","","","","","",""
"溝延城","[溝延城] 溝延城 （みぞのべじょう）は、 出羽国 村山郡 寒河江荘 溝延（ 山形県 西村山郡 河北町 ）にあった 日本の城 である。","https://ja.wikipedia.org/wiki/溝延城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","大江茂信","連郭式平城","南北朝時代","堀跡・土塁","溝延氏","","天正12年（1584年）？","","","","","","","","","","","",""
"谷地城","[谷地城] 谷地城 （やちじょう）は、 出羽国 村山郡 谷地（ 山形県 西村山郡 河北町 ）にあった 日本の城 である。町指定 史跡  。","https://ja.wikipedia.org/wiki/谷地城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度25分36.8秒東経140度18分59.4秒","中条長昌、白鳥長久","連郭式平城","弘治年間から天正10年にかけて","土塁・水堀跡","中条氏、白鳥氏、最上氏","町指定史跡","元和8年（1622年）","北緯38度25分36.8秒東経140度18分59.4秒﻿ / ﻿北緯38.426889度 東経140.316500度﻿ /38.426889; 140.316500","谷地城","","","","","","","","","",""
"山野辺城","[山野辺城（山辺城）] 山辺城 （やまのべじょう）は、 山形県 東村山郡 山辺町 山辺にあった 戦国時代 の 日本の城 。形式は 平山城 である。 山野辺城 と記されることもある。","https://ja.wikipedia.org/wiki/山野辺城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小国城 (出羽国最上郡)","[小国城〈最上郡〉] 小国城 （おぐにじょう）は、 山形県 最上郡 最上町 本城にあった 日本の城 。形式は 山城 である。","https://ja.wikipedia.org/wiki/小国城_(出羽国最上郡)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小国城 (出羽国置賜郡)","[小国城〈置賜郡〉] 小国城 （おぐにじょう）は、 出羽国 置賜郡（現・ 山形県 西置賜郡 小国町 ）に存在した 日本の城 （ 平城 ）。","https://ja.wikipedia.org/wiki/小国城_(出羽国置賜郡)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","藤原俊衡","平城","","土塁","上郡山氏（伊達氏）、蒲生氏、直江氏、本庄氏（上杉氏）","","","山形県西置賜郡小国町小国小坂町","","","","本庄（直江のち鮎川）氏","","","","","","",""
"中山城 (出羽国)","[中山城] 中山城 （なかやまじょう）は、 出羽国 置賜郡 および 村山郡 、現在の 山形県 上山市 中山  に存在した 日本の城 （ 山城 ）。","https://ja.wikipedia.org/wiki/中山城_(出羽国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯38度07分35.2秒東経140度12分43.9秒","中山弥太郎","山城","永禄・元亀年間（1558年～1572年）","土塁、堀、石垣","中山氏、伊達氏、蒲生氏、横田氏（上杉氏）","未指定","","北緯38度07分35.2秒東経140度12分43.9秒﻿ / ﻿北緯38.126444度 東経140.212194度﻿ /38.126444; 140.212194座標:北緯38度07分35.2秒東経140度12分43.9秒﻿ / ﻿北緯38.126444度 東経140.212194度﻿ /38.126444; 140.212194","中山城","","","蒲生郷可・横田旨俊","","","","","","",""
