"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"足利氏","[足利氏宅跡（鑁阿寺）（あしかがしたくあと（ばんなじ））〔足利市〕1922年3月8日] 足利氏 （あしかがし）は、日本の 武家 のひとつの 軍事貴族 。 本姓 は 源氏 。 家系 は 清和天皇 清和源氏 の一族 河内源氏 の流れを汲み､ 下野源氏 の嫡流で 鎌倉幕府 においては 御家人 であると同時に将軍家一門たる 御門葉 の地位にあった。 室町時代 には 嫡流 が 足利将軍家 として 天下人 となった。 藤原秀郷 の子孫の 藤原姓足利氏 （藤姓足利氏）に対して源姓足利氏という場合がある。","https://ja.wikipedia.org/wiki/足利氏","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"樺崎寺","[樺崎寺跡（かばさきでらあと）〔足利市〕] 樺崎寺 （かばさきじ）は、 栃木県 足利市 樺崎町にあった 足利氏 ゆかりの 寺院 である。寺跡は2001年（平成13年）1月、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/樺崎寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度21分41.9秒 東経139度29分40.0秒","","","","","","","","","","","","","","","","","","",""
"藤本観音山古墳","[藤本観音山古墳（ふじもとかんのんやまこふん）〔足利市〕] 藤本観音山古墳 （ふじもとかんのんやまこふん）は、 栃木県 足利市 藤本町にある4世紀中頃に築造された 前方後方墳 。","https://ja.wikipedia.org/wiki/藤本観音山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度18分2.8秒東経139度26分12.3秒","栃木県足利市藤本町","北緯36度18分2.8秒東経139度26分12.3秒﻿ / ﻿北緯36.300778度 東経139.436750度﻿ /36.300778; 139.436750座標:北緯36度18分2.8秒東経139度26分12.3秒﻿ / ﻿北緯36.300778度 東経139.436750度﻿ /36.300778; 139.436750","藤本観音山古墳","全長117.8m、高さ11.8m","4世紀中頃","国の史跡「藤本観音山古墳」","前方後方墳","","","二重口縁壺","","","（推定）竪穴形","","","","","",""
"多胡碑","[多胡碑（たごひ）〔高崎市吉井町〕] 多胡碑 （たごひ）は、 群馬県 高崎市 吉井町 池字御門にある古碑（金石文）であり、国の 特別史跡 に指定されている。 山ノ上碑 、 金井沢碑 とともに「 上野三碑 」  と総称される。また、 書道史 の上から、 日本三古碑 の一つとされる。建碑は、その内容から8世紀後半とされる。","https://ja.wikipedia.org/wiki/多胡碑","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度15分54.0秒 東経138度59分46.8秒","","","","","","","","","","","","","","","","","","",""
"金井沢碑","[金井沢碑（かないざわひ）〔高崎市山名町〕] 金井沢碑 （かないざわひ   、かないざわのひ  ）は、 群馬県 高崎市 山名町にある古碑であり、国の 特別史跡 に指定されている。 山ノ上碑 、 多胡碑 とともに「 上野三碑 」  と称される。","https://ja.wikipedia.org/wiki/金井沢碑","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度17分8.36秒 東経139度0分58.27秒","","","","","","","","","","","","","","","","","","",""
"山ノ上碑","[山上碑及び古墳（やまのうえひおよびこふん）〔高崎市山名町〕] 山ノ上碑   （やまのうえのひ/やまのうえひ、 山上碑   ）は、 群馬県 高崎市 山名町にある古碑。国の 特別史跡 に指定されている（指定名称は「山上碑及び古墳」）  。","https://ja.wikipedia.org/wiki/山ノ上碑","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度16分37.5秒 東経139度1分40.0秒","","","","","","","","","","","","","","","","","","",""
"白石稲荷山古墳","[白石稲荷山古墳（しろいしいなりやまこふん）〔藤岡市白石〕] 白石稲荷山古墳 （しろいしいなりやまこふん）は、 群馬県 藤岡市 白石にある 古墳 。形状は 前方後円墳 。 白石古墳群 を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/白石稲荷山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度15分15.40秒東経139度2分23.90秒","群馬県藤岡市白石（字稲荷原）（毛野国白石丘陵公園内）","北緯36度15分15.40秒東経139度2分23.90秒﻿ / ﻿北緯36.2542778度 東経139.0399722度﻿ /36.2542778; 139.0399722座標:北緯36度15分15.40秒東経139度2分23.90秒﻿ / ﻿北緯36.2542778度 東経139.0399722度﻿ /36.2542778; 139.0399722","白石稲荷山古墳","墳丘長155m高さ13.5m（後円部）","5世紀初頭","国の史跡「白石稲荷山古墳」","前方後円墳","","","銅鏡・石製品など副葬品多数・埴輪","","","後円部：竪穴式礫槨2基","","","","","",""
"高山社","[高山社跡（たかやましゃあと）〔藤岡市〕] 藤岡市 高山には、高山長五郎が清温育の確立に勤しみ、門下生の伝習の場ともなった長五郎の旧宅（住宅兼蚕室）が残る。建造物群は 江戸時代 末期から明治時代前半に建てられたもので  、2階建ての母屋には換気用の天窓が3つ突き出ている。もともと換気用の天窓（ヤグラ）を重視する蚕室構造は 田島弥平 が清涼育のために開発したものであったが、折衷的な養蚕技法である清温育にとっても換気は重要であり、類似の構造が堅持された  。高山社の本部が当時の藤岡町に移転した後は分教場として機能しており  、現存する母屋は長五郎の死後、1891年（明治24年）に娘婿が建てたものである  。","https://ja.wikipedia.org/wiki/高山社","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度12分12秒東経139度01分54秒","群馬県藤岡市高山237","北緯36度12分12秒東経139度01分54秒﻿ / ﻿北緯36.20333度 東経139.03167度﻿ /36.20333; 139.03167座標:北緯36度12分12秒東経139度01分54秒﻿ / ﻿北緯36.20333度 東経139.03167度﻿ /36.20333; 139.03167","","","","","","","史跡（国指定）世界遺産構成資産","","","","","","","","","",""
"七輿山古墳","[七輿山古墳（ななこしやまこふん）〔藤岡市〕] 七輿山古墳 （ななこしやまこふん）は、 群馬県 藤岡市 上落合にある 古墳 。形状は 前方後円墳 。 白石古墳群 を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/七輿山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度15分41.25秒東経139度2分22.70秒","群馬県藤岡市上落合（毛野国白石丘陵公園内）","北緯36度15分41.25秒東経139度2分22.70秒﻿ / ﻿北緯36.2614583度 東経139.0396389度﻿ /36.2614583; 139.0396389座標:北緯36度15分41.25秒東経139度2分22.70秒﻿ / ﻿北緯36.2614583度 東経139.0396389度﻿ /36.2614583; 139.0396389","七輿山古墳","墳丘長145m（150m超?）高さ16m（後円部・前方部）","6世紀前半","国の史跡「七輿山古墳」","前方後円墳","","","埴輪","","","横穴式石室","","","","","",""
"本郷埴輪窯跡","[本郷埴輪窯跡（ほんごうはにわかまあと）〔藤岡市本郷〕] 本郷埴輪窯跡 （ほんごうはにわがまあと）は、 群馬県 藤岡市 本郷にある、 古墳時代 の 窯跡  。 1944年 11月13日、 国史跡 に指定された  。 この地域は、 土師器 や 埴輪 などを作った集団・ 土師部 がいた土師郷であり、近くには 土師神社 が所在し、ここで祖先を祀っている。","https://ja.wikipedia.org/wiki/本郷埴輪窯跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度13分46秒 東経139度04分47秒","","","","","","","","","","","","","","","","","","",""
"譲原石器時代住居跡","[譲原石器時代住居跡（ゆずりはらせっきじだいじゅうきょあと）〔藤岡市〕1948年] 譲原石器時代住居跡 （ゆずりはらせっきじだいじゅうきょあと）は、 群馬県 藤岡市 譲原にある、 縄文時代 の住居跡である。1948年12月18日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/譲原石器時代住居跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度08分28秒 東経139度02分25秒","","","","","","","","","","","","","","","","","","",""
"富岡製糸場","[旧富岡製糸場（きゅうとみおかせいしじょう）〔富岡市〕（世界遺産「富岡製糸場と絹産業遺産群」の構成資産）] 富岡製糸場 （とみおかせいしじょう、 Tomioka Silk Mill ）は、 群馬県 富岡 に設立された 日本 初の本格的な器械製糸  の工場である。 1872年 （ 明治 5年）の開業当時の繰糸所、繭倉庫などが現存している。日本の近代化だけでなく、絹産業の技術革新・交流などにも大きく貢献した工場であり、敷地を含む全体が国の 史跡 に、初期の建造物群が 国宝 および 重要文化財 に指定されている。また、「 富岡製糸場と絹産業遺産群 」の構成資産として、2014年6月21日の 第38回世界遺産委員会 （ ドーハ ）で正式登録された  。","https://ja.wikipedia.org/wiki/富岡製糸場","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度15分19秒東経138度53分16秒","〒370-2316群馬県富岡市富岡1番地1","","","","","","","","史跡/国宝","","","","","","","","","",""
"中高瀬観音山遺跡","[中高瀬観音山遺跡（なかたかせかんのんやまいせき）〔富岡市〕] 中高瀬観音山遺跡は、富岡市街地南方、通称「離れ山」と呼ばれる独立丘陵上に位置する、 弥生時代 後期を中心とする集落跡である。「離れ山」は、北側は 鏑川 によって形成された 河岸段丘 、南側は野上川等の小河川によって浸食された谷になっており、南北の幅は約500メートル、東西の長さは約3キロに及ぶ。遺跡はこの丘陵の中央部西寄りに位置する。遺跡地の最高所は標高249メートルの尾根で、遺構はこの尾根から北へ向けて下る緩斜面と、その北方の平坦部にかけて分布する。弥生時代後期の住居跡は、この平坦部に集中する。平坦部の標高は225メートルほどで、北側は段丘崖、東と西は谷によって浸食され、いずれも急斜面になっている。崖下の水田（下位段丘面）との比高は50メートル以上あり、遺跡は周囲の眺望の良い場所に位置している。当地には縄文時代から中世に至る遺構が所在するが、その8割は弥生時代後期のものである  。","https://ja.wikipedia.org/wiki/中高瀬観音山遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度30分48秒 東経139度02分23秒","","","","","","","","","","","","","","","","","","",""
"新町紡績所","[旧新町紡績所（きゅうしんまちぼうせきじょ）〔高崎市〕] 新町紡績所 （しんまちぼうせきじょ）は 明治時代 に 内務省 勧業寮 屑糸紡績所として開設された 官営模範工場 。 群馬県 高崎市 （旧・ 多野郡 新町 ）にある。現在は クラシエフーズ （旧・ カネボウフーズ ）の所有で、 2004年 （ 平成 16年）までは工場、倉庫として使用されていた。","https://ja.wikipedia.org/wiki/新町紡績所","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大鶴巻古墳","[大鶴巻古墳（おおつるまきこふん）〔高崎市倉賀野町〕] 大鶴巻古墳 （おおつるまきこふん）は、 群馬県 高崎市 倉賀野町にある 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大鶴巻古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度17分40.25秒東経139度2分19.40秒","群馬県高崎市倉賀野町661番地ほか","北緯36度17分40.25秒東経139度2分19.40秒﻿ / ﻿北緯36.2945139度 東経139.0387222度﻿ /36.2945139; 139.0387222﻿ (大鶴巻古墳)座標:北緯36度17分40.25秒東経139度2分19.40秒﻿ / ﻿北緯36.2945139度 東経139.0387222度﻿ /36.2945139; 139.0387222﻿ (大鶴巻古墳)","","墳丘長123m高さ10.5m","4世紀末-5世紀初頭","国の史跡「大鶴巻古墳」","前方後円墳","","","鰭付円筒埴輪など","","","（推定）竪穴式石室","","","","","",""
"観音塚古墳","[観音塚古墳（かんのんづかこふん）〔高崎市八幡町〕1948年] 観音塚古墳 （かんのんづかこふん）","https://ja.wikipedia.org/wiki/観音塚古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"綿貫観音山古墳","[観音山古墳（かんのんやまこふん）〔高崎市綿貫町〕1973年] 綿貫観音山古墳 （わたぬきかんのんやまこふん）は、 群馬県 高崎市 綿貫町にある 古墳 。形状は 前方後円墳 。綿貫古墳群を構成する古墳の1つ。国の 史跡 に指定され（指定名称は「観音山古墳」）、出土品は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/綿貫観音山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度18分26.80秒東経139度4分38.18秒","群馬県高崎市綿貫町","北緯36度18分26.80秒東経139度4分38.18秒﻿ / ﻿北緯36.3074444度 東経139.0772722度﻿ /36.3074444; 139.0772722座標:北緯36度18分26.80秒東経139度4分38.18秒﻿ / ﻿北緯36.3074444度 東経139.0772722度﻿ /36.3074444; 139.0772722","綿貫観音山古墳","墳丘長97m高さ9.6m（後円部）","6世紀後半","国の史跡「観音山古墳」","前方後円墳","","","銅製水瓶・獣帯鏡・歩揺飾付雲珠など副葬品多数","","","両袖式横穴式石室","","","","","",""
"北谷遺跡","[北谷遺跡（きたやついせき）〔高崎市〕] 北谷遺跡 （きたやついせき）は、 群馬県 高崎市 引間町にある 古墳時代 の 首長 （ 豪族 ）居館跡の 遺跡 である  。日本で初めて発見された同時代首長居館として有名な 三ツ寺Ⅰ遺跡 の北東3キロメートルにあり、規模や形態が類似し、ともに 榛名山 の 扇状地 末端の湧水地帯に位置している。 2005年 （平成17年）に国の 史跡 に指定された  。2020年（令和2年）3月10日、追加指定  。","https://ja.wikipedia.org/wiki/北谷遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分55.3秒東経139度00分34.9秒","群馬県高崎市引間町","","","","","","","","","","","","","","","","","",""
"上野国分寺跡","[上野国分寺跡（こうづけこくぶんじあと）〔高崎市・前橋市〕] 上野国分寺跡 （こうずけこくぶんじあと）は、 群馬県 前橋市 ・ 高崎市 にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上野国分寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分42.31秒 東経139度1分20.76秒","","","","","","","","","","","","","","","","","","",""
"浅間山古墳 (高崎市倉賀野町)","[浅間山古墳（せんげんやまこふん）〔高崎市倉賀野町〕] 浅間山古墳 （せんげんやまこふん）は、 群馬県 高崎市 倉賀野町にある 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/浅間山古墳_(高崎市倉賀野町)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度17分56.21秒東経139度2分2.26秒","群馬県高崎市倉賀野町313ほか","北緯36度17分56.21秒東経139度2分2.26秒﻿ / ﻿北緯36.2989472度 東経139.0339611度﻿ /36.2989472; 139.0339611座標:北緯36度17分56.21秒東経139度2分2.26秒﻿ / ﻿北緯36.2989472度 東経139.0339611度﻿ /36.2989472; 139.0339611","浅間山古墳","墳丘長171.5m高さ14.1m","4世紀末-5世紀初頭","国の史跡「浅間山古墳」","前方後円墳","","","円筒埴輪・形象埴輪","","","","","","","","",""
"日高遺跡","[日高遺跡（ひだかいせき）〔高崎市日高町〕] 日高遺跡 （ひだかいせき）は、 群馬県 高崎市 日高町・ 中尾町 にある 弥生時代 の 集落 の 遺跡 。 1989年 （平成元年）11月9日、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/日高遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分11.8秒 東経139度01分54.5秒","","","","","","","","","","","","","","","","","","",""
"保渡田古墳群","[保渡田古墳群（ほどたこふんぐん・ほとだこふんぐん）〔高崎市〕] 保渡田古墳群 （ほどたこふんぐん/ほとだこふんぐん）は、 群馬県 高崎市 保渡田町・井出町にある 古墳群 。 1985年 （ 昭和 60年） 9月3日 に国の史跡に指定された。","https://ja.wikipedia.org/wiki/保渡田古墳群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分46.4秒東経138度59分09.4秒","群馬県高崎市保渡田町・井手町","","","","","","","","","","","","","","","","","",""
"箕輪城","[箕輪城跡（みのわじょうあと）〔高崎市〕] 箕輪城 （みのわじょう）は、 群馬県 高崎市 箕郷町 にあった 日本の城 （ 平山城跡 ）で、国の 史跡 に指定されている  。 日本100名城 の一つ。","https://ja.wikipedia.org/wiki/箕輪城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分17.8秒東経138度57分3.5秒","","北緯36度24分17.8秒東経138度57分3.5秒﻿ / ﻿北緯36.404944度 東経138.950972度﻿ /36.404944; 138.950972","箕輪城","","","","","","","","","","","","","","梯郭式平山城","長野業尚","石垣、土塁、空堀、馬出し、井戸、復元門"
"後二子古墳","[後二子古墳ならびに小古墳（うしろふたごこふんならびにしょうこふん）〔前橋市〕] 後二子古墳 （うしろふたごこふん）は、 群馬県 前橋市 西大室町にある 古墳 。 大室古墳群 の一つ。 1927年 （昭和2年） 4月8日 、隣接する 小二子古墳 と共に国の史跡に指定（指定名称は「 後二子古墳ならびに小古墳 」）  。","https://ja.wikipedia.org/wiki/後二子古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分19.9秒東経139度11分39.2秒","群馬県前橋市西大室町2545","北緯36度23分19.9秒東経139度11分39.2秒﻿ / ﻿北緯36.388861度 東経139.194222度﻿ /36.388861; 139.194222座標:北緯36度23分19.9秒東経139度11分39.2秒﻿ / ﻿北緯36.388861度 東経139.194222度﻿ /36.388861; 139.194222","","全長85m、後円部径48m、高さ11m、前方部幅60m","6世紀後半","国の史跡","前方後円墳","","","円筒埴輪、須恵器、土師器、金銅製耳環、馬具、大刀","","","両袖型横穴式石室","","","","","",""
"女堀","[女堀（おんなぼり）〔前橋市・伊勢崎市〕1983年] 女堀 （おんなぼり）は、 群馬県 赤城山 南麓にある 中世 の水利遺跡  。 赤城山 の南側にある標高100mの 等高線 に沿う形で、 前橋市 上泉町 から 伊勢崎市 国定町 までの東西12km・幅20mにわたって築かれた溝である。 平安時代 後期に造られた未完成の 用水路 跡と推定されている。一部が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/女堀","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山王廃寺跡","[山王廃寺跡（さんのうはいじあと）〔前橋市総社町〕] 山王廃寺跡 （さんのうはいじあと）は、 群馬県 前橋市 総社町 にある古代 寺院 の 遺跡  。国の 史跡 に指定されている    。全国でも珍しい 飛鳥時代 後期（白鳳期）の豪壮・華麗な寺院の遺跡と推定されており  、出土した石製鴟尾は全国で出土例が3件しかないうちの2件がここで見つかっている  。","https://ja.wikipedia.org/wiki/山王廃寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分42.31秒 東経139度1分20.76秒","","","","","","","","","","","","","","","","","","",""
"蛇穴山古墳","[蛇穴山古墳（じゃけつざんこふん）〔前橋市総社町〕] 蛇穴山古墳 （じゃけつざんこふん）は、 群馬県 前橋市 総社町にある 方墳 である。国の 史跡 に指定されている。 総社古墳群 を構成する1基。","https://ja.wikipedia.org/wiki/蛇穴山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分24.5秒東経139度2分23.3秒","群馬県前橋市総社町","北緯36度24分24.5秒東経139度2分23.3秒﻿ / ﻿北緯36.406806度 東経139.039806度﻿ /36.406806; 139.039806座標:北緯36度24分24.5秒東経139度2分23.3秒﻿ / ﻿北緯36.406806度 東経139.039806度﻿ /36.406806; 139.039806","","一辺39m、高さ5m","7世紀末～8世紀初頭","1974(昭和49)年国指定","方墳","","","","","","両袖型横穴式石室","","","","","",""
"中二子古墳","[中二子古墳（なかふたごこふん）〔前橋市〕] 中二子古墳 （なかふたごこふん）は、 群馬県 前橋市 にある 古墳 。 東大室町 と 西大室町 にまたがる  。 大室古墳群 の一つで  、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/中二子古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分14.3秒東経139度11分41.3秒","群馬県前橋市東大室町・西大室町","北緯36度23分14.3秒東経139度11分41.3秒﻿ / ﻿北緯36.387306度 東経139.194806度﻿ /36.387306; 139.194806座標:北緯36度23分14.3秒東経139度11分41.3秒﻿ / ﻿北緯36.387306度 東経139.194806度﻿ /36.387306; 139.194806","中二子古墳県内位置","全長111m、後円部径66m、高さ15m、前方部幅79m","6世紀前半","国の史跡","前方後円墳","","","円筒埴輪、形象埴輪、須恵器","","","未確認","","","","","",""
"八幡山古墳 (前橋市)","[八幡山古墳（はちまんやまこふん）〔前橋市朝倉町〕] 八幡山古墳 （はちまんやまこふん、 前橋八幡山古墳 ）は、 群馬県 前橋市 朝倉町にある 古墳 。形状は 前方後方墳 。 朝倉・広瀬古墳群 を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/八幡山古墳_(前橋市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分01.6秒東経139度06分03.0秒","群馬県前橋市朝倉町四丁目9-3（八幡山公園内）","北緯36度22分01.6秒東経139度06分03.0秒﻿ / ﻿北緯36.367111度 東経139.100833度﻿ /36.367111; 139.100833","","墳丘長130m高さ12m","4世紀中頃","国の史跡「八幡山古墳」","前方後方墳","","","","","","（推定）竪穴式石室","","","","","",""
"総社二子山古墳","[二子山古墳（ふたごやまこふん）〔前橋市総社町〕] 総社二子山古墳 （そうじゃふたごやまこふん）は、 群馬県 前橋市 総社町にある 前方後円墳 である。国の 史跡 に指定されている（指定名称は「二子山古墳」）。 総社古墳群 を構成する1基である。","https://ja.wikipedia.org/wiki/総社二子山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分41秒東経139度2分5.3秒","群馬県前橋市総社町植野","北緯36度24分41秒東経139度2分5.3秒﻿ / ﻿北緯36.41139度 東経139.034806度﻿ /36.41139; 139.034806座標:北緯36度24分41秒東経139度2分5.3秒﻿ / ﻿北緯36.41139度 東経139.034806度﻿ /36.41139; 139.034806","","全長約90m","6世紀末","1927(昭和2)年国指定","前方後円墳","","","頭椎大刀、六鈴釧、金耳環など","","","両袖型横穴式石室","","","","","",""
"前橋二子山古墳","[二子山古墳（ふたごやまこふん）〔前橋市文京町〕] 前橋二子山古墳 （まえばしふたごやまこふん）は、 群馬県 前橋市 文京町にある 前方後円墳 。「 天川二子山古墳 （あまがわ-）」とも。二子山児童公園に保存され、国の 史跡 に指定されている（指定名称は「二子山古墳」）。","https://ja.wikipedia.org/wiki/前橋二子山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分35.4秒東経139度05分19.1秒","群馬県前橋市文京町3-26","北緯36度22分35.4秒東経139度05分19.1秒﻿ / ﻿北緯36.376500度 東経139.088639度﻿ /36.376500; 139.088639","","墳丘長104m高さ11m","6世紀中頃","国の史跡「二子山古墳」","前方後円墳","","","埴輪","","","（推定）横穴式石室","","","","","",""
"宝塔山古墳","[宝塔山古墳（ほうとうざんこふん）〔前橋市総社町〕] 宝塔山古墳 （ほうとうざんこふん）は、 群馬県 前橋市 総社町にある 方墳 である。国の 史跡 に指定されている。総社古墳群を構成する1基。7世紀末築造の末期古墳である  。","https://ja.wikipedia.org/wiki/宝塔山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分26.3秒東経139度2分19.1秒","群馬県前橋市総社町","北緯36度24分26.3秒東経139度2分19.1秒﻿ / ﻿北緯36.407306度 東経139.038639度﻿ /36.407306; 139.038639座標:北緯36度24分26.3秒東経139度2分19.1秒﻿ / ﻿北緯36.407306度 東経139.038639度﻿ /36.407306; 139.038639","","54×49m、高さ12m","7世紀末","1944(昭和19)年国指定","方墳","","","","","","両袖型横穴式石室","","","","","",""
"前二子古墳","[前二子古墳（まえふたごこふん）〔前橋市〕] 前二子古墳 （まえふたごこふん）は、 群馬県 前橋市 西大室町にある 古墳 。 大室古墳群 の一つ  。","https://ja.wikipedia.org/wiki/前二子古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分10.2秒東経139度11分46.2秒","群馬県前橋市西大室町2545","北緯36度23分10.2秒東経139度11分46.2秒﻿ / ﻿北緯36.386167度 東経139.196167度﻿ /36.386167; 139.196167座標:北緯36度23分10.2秒東経139度11分46.2秒﻿ / ﻿北緯36.386167度 東経139.196167度﻿ /36.386167; 139.196167","","全長94m、後円部径68m、高さ14m、前方部幅65m","6世紀初頭","国の史跡","前方後円墳","","","円筒埴輪、形象埴輪、須恵器、土師器、装身具、馬具、武器、農耕具、鉤状金具","","","両袖型横穴式石室","","","","","",""
"荒船・東谷風穴蚕種貯蔵所跡","[荒船・東谷風穴蚕種貯蔵所跡（あらふね・あずまやふうけつさんしゅちょぞうしょあと）〔甘楽郡下仁田町・吾妻郡中之条町〕2010年2月22日（「富岡製糸場と絹産業遺産群」の構成資産）] 荒船・東谷風穴蚕種貯蔵所跡 （あらふね・あずまやふうけつさんしゅちょぞうしょあと）は、 群馬県 下仁田町 の 荒船風穴 および同県 中之条町 の 東谷風穴 を対象とする国指定の 史跡 である。 明治時代 後期から 大正時代 にかけては、全国的に 風穴 を 蚕種 （蚕の卵）の貯蔵に利用することが行われていた。その中でも、荒船風穴は最大規模の蚕種貯蔵施設として機能しており、県内では東谷風穴がそれに次いだ。荒船・東谷の両風穴は蚕種貯蔵風穴の中で、国指定の史跡となった最初の事例である  。また、荒船風穴は 世界遺産 「 富岡製糸場と絹産業遺産群 」の構成資産である。","https://ja.wikipedia.org/wiki/荒船・東谷風穴蚕種貯蔵所跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"茅野遺跡","[茅野遺跡（かやのいせき）〔北群馬郡榛東村〕] 茅野遺跡 （かやのいせき）は、 群馬県 北群馬郡 榛東村 長岡にある 縄文時代 後期・晩期の 遺跡 。2000年（平成12年）3月7日に国の 史跡 に指定されている   。","https://ja.wikipedia.org/wiki/茅野遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度27分15.7秒東経138度58分40.7秒","群馬県北群馬郡榛東村長岡","","","","","","","","","","","","","","","","","",""
