"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","用途","竣工","山系","施工","延床面積","階数","構造形式","種類","敷地面積","着工","管理運営","高さ","分類","建築面積","駐車台数","状態"
"熱海城","[熱海城] 熱海城 （あたみじょう）は、 静岡県 熱海市 の 錦ヶ浦 山頂にある観光施設。市街地や南熱海を一望できる熱海市内有数の絶景スポットとなっている。 城郭 は歴史的に実在したものではない。","https://ja.wikipedia.org/wiki/熱海城","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"富士川SA","[富士川SA] 富士川サービスエリア （ふじかわサービスエリア）は、 静岡県 富士市 の 東名高速道路 上に位置する サービスエリア （SA）である。","https://ja.wikipedia.org/wiki/富士川SA","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度9分33秒東経138度37分7秒","〒421-3305静岡県富士市岩渕北緯35度9分33秒東経138度37分7秒﻿ / ﻿北緯35.15917度 東経138.61861度﻿ /35.15917; 138.61861座標:北緯35度9分33秒東経138度37分7秒﻿ / ﻿北緯35.15917度 東経138.61861度﻿ /35.15917; 138.61861","","","","","","","","","","","","","","","","","",""
"東山スカイタワー","[東山スカイタワー] 東山スカイタワー （ひがしやまスカイタワー）は、 愛知県 名古屋市 千種区 の 東山公園 の施設の一つである展望タワー。正式名称は 東山公園展望塔  。高さは、地上134m。ただし、タワーは標高80mの丘の上にあるため、標高では214mになる。建物は 鉛筆 の形をしている。東京スカイツリーの開業後「東山スカイツリー」と間違った呼ばれ方をすることがあるが、こちらは電波は送信していない。","https://ja.wikipedia.org/wiki/東山スカイタワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯35度9分24.07秒東経136度58分43.73秒","〒464-0803愛知県名古屋市千種区田代町字瓶杁1-8","","","展望台、防災行政無線塔","1989年（平成元年）","","鹿島建設、大成建設、徳倉建設","2,929 m²","地上7階","S造、SRC造","","95,610 m²","","サンエイ株式会社（指定管理者）","134m","","1,292 m²","",""
"蔵王山 (愛知県)","[蔵王山展望台] 蔵王山 （ざおうさん）は、 愛知県 田原市 にある 山 である。 三河湾国定公園 の一部になっている。 日本仏教の仏、 蔵王権現 にちなんで名付けられた。","https://ja.wikipedia.org/wiki/蔵王山_(愛知県)#蔵王山展望台","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度41分06.0秒東経137度15分43.7秒","日本愛知県田原市","北緯34度41分06.0秒東経137度15分43.7秒﻿ / ﻿北緯34.685000度 東経137.262139度﻿ /34.685000; 137.262139﻿ (蔵王山 (愛知県))座標:北緯34度41分06.0秒東経137度15分43.7秒﻿ / ﻿北緯34.685000度 東経137.262139度﻿ /34.685000; 137.262139﻿ (蔵王山 (愛知県))","250.42m","","","赤石山脈または弓張山地","","","","","","","","","","","","",""
"垂坂公園・羽津山緑地 (存在しないページ)","[垂坂公園・羽津山緑地]","https://ja.wikipedia.org/w/index.php?title=垂坂公園・羽津山緑地&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"比叡山ドライブウェイ","[比叡山ドライブウェイ] 比叡山ドライブウェイ （ひえいざんドライブウェイ）は、 滋賀県 大津市 の 比叡山 にある 一般自動車道 事業による 有料道路 である。 京阪ホールディングス （京阪）の子会社である 比叡山自動車道株式会社 が運営している。","https://ja.wikipedia.org/wiki/比叡山ドライブウェイ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","株式会社","","","","","","","",""
"将軍塚(東山山頂公園) (存在しないページ)","[将軍塚(東山山頂公園)]","https://ja.wikipedia.org/w/index.php?title=将軍塚(東山山頂公園)&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"比叡山ドライブウェイ","[比叡山ドライブウェイ] 比叡山ドライブウェイ （ひえいざんドライブウェイ）は、 滋賀県 大津市 の 比叡山 にある 一般自動車道 事業による 有料道路 である。 京阪ホールディングス （京阪）の子会社である 比叡山自動車道株式会社 が運営している。","https://ja.wikipedia.org/wiki/比叡山ドライブウェイ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","株式会社","","","","","","","",""
"万灯呂山展望台 (存在しないページ)","[万灯呂山展望台]","https://ja.wikipedia.org/w/index.php?title=万灯呂山展望台&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"あべのハルカス","[あべのハルカス] あべのハルカス （ 英 : Abeno Harukas ）は、 大阪府 大阪市 阿倍野区 阿倍野筋 1丁目に立地する 近畿日本鉄道 の 超高層ビル である。 近畿日本鉄道 （近鉄） 大阪阿部野橋駅 、 近鉄百貨店 あべのハルカス近鉄本店、 大阪マリオット都ホテル を内包する 複合商業ビル 。","https://ja.wikipedia.org/wiki/あべのハルカス","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","大阪府大阪市阿倍野区阿倍野筋1丁目1番43号","","","鉄道駅、百貨店、事務所、ホテル、美術館、展望台","2014年（平成26年）3月7日","","竹中工務店、奥村組、大林組、大日本土木、銭高組","352,981.73m²※うちタワー館212,207.71m2","地上60階、地下5階、塔屋1階","鉄骨造、鉄骨鉄筋コンクリート造","","28,738.06m²","2010年（平成22年）1月9日","近鉄不動産　アセット事業本部　ハルカス運営部","","","24,975.25m²※うちタワー館6,123.74m2","約180台","完成"
"梅田スカイビル","[梅田スカイビル] 梅田スカイビル （うめだスカイビル）は、 1993年 3月に完成した、 大阪府 大阪市 北区 大淀中 の 新梅田シティ 内にある 超高層ビル である。","https://ja.wikipedia.org/wiki/梅田スカイビル","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度42分19秒東経135度29分24.5秒","大阪府大阪市北区大淀中1-1-88","","","事務所・店舗・駐車場","1993年（平成5年）3月25日","","竹中工務店、大林組、鹿島建設、青木建設JV","147,397m²","地上40階 地下2階","鉄骨造（一部鉄骨鉄筋コンクリート造、鉄筋コンクリート造）","","41,782.75（新梅田シティ全体）m²","1990年（平成2年）6月29日","積水ハウス梅田オペレーション","","","13,732.09（新梅田シティ全体）m²","460台","完成"
"コスモタワー","[コスモタワー] コスモタワー","https://ja.wikipedia.org/wiki/コスモタワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"信貴生駒スカイライン","[信貴生駒スカイライン] 信貴生駒スカイライン （しぎいこまスカイライン）とは、 近畿日本鉄道 （近鉄）が所有し、 子会社 の 近鉄レジャーサービス  が管理する 一般自動車道 で、 大阪平野 と 奈良盆地 の間に連なる 生駒山地 を南北に通過する 私道 の 有料道路 である  。","https://ja.wikipedia.org/wiki/信貴生駒スカイライン","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"東大阪市役所 (存在しないページ)","[東大阪市役所]","https://ja.wikipedia.org/w/index.php?title=東大阪市役所&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"五月山","[五月山] 五月山 （さつきやま）は、 大阪府 池田市 から 箕面市 にかけて連なる、 北摂山系 の山地と平地の境界部に当たる山で、 大阪50山 の一つ。はっきりとしたピークはなく、日の丸展望台脇の三等三角点を一般に標高としている。かつては 池田山 と呼ばれた  。","https://ja.wikipedia.org/wiki/五月山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度50分15秒東経135度26分19秒","大阪府池田市・箕面市","北緯34度50分15秒東経135度26分19秒﻿ / ﻿北緯34.83750度 東経135.43861度﻿ /34.83750; 135.43861座標:北緯34度50分15秒東経135度26分19秒﻿ / ﻿北緯34.83750度 東経135.43861度﻿ /34.83750; 135.43861","315.1m","","","北摂山系","","","","","","","","","","","","",""
"泉大津PA","[泉大津PA] 泉大津パーキングエリア （いずみおおつパーキングエリア）は、 大阪府 泉大津市 なぎさ町にある 阪神高速道路 4号湾岸線 の パーキングエリア 。 大阪市 内（ 天保山 ）方面行きと りんくう 方面行きとに分かれているが、本線上にかけられた 歩道橋 によって連絡されており、相互に利用ができる。大阪市内方面行きの11階には展望フロアがある。","https://ja.wikipedia.org/wiki/泉大津PA","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"摩耶山","[摩耶山] 摩耶山 （まやさん）は、 兵庫県 神戸市 灘区 、 六甲山地 の中央に位置する 標高 702m  の 山 。","https://ja.wikipedia.org/wiki/摩耶山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度43分58秒東経135度12分15秒","日本神戸市灘区摩耶山町","北緯34度43分58秒東経135度12分15秒﻿ / ﻿北緯34.73278度 東経135.20417度﻿ /34.73278; 135.20417座標:北緯34度43分58秒東経135度12分15秒﻿ / ﻿北緯34.73278度 東経135.20417度﻿ /34.73278; 135.20417","702m","","","六甲山系","","","","","","","","","","","","",""
"六甲ガーデンテラス","[六甲ガーデンテラス] 六甲ガーデンテラス （ろっこうガーデンテラス）は 兵庫県 神戸市 灘区 の 六甲山 上にある展望施設、レストラン、商業施設、 公園 の総称。","https://ja.wikipedia.org/wiki/六甲ガーデンテラス","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"ビーナスブリッジ","[ビーナスブリッジ] ヴィーナスブリッジ は、 兵庫県 神戸市 中央区 にある 螺旋 橋 。 1971年 に完成した。なお 銘板 や案内には「 ビーナスブリッジ 」と記載されている。","https://ja.wikipedia.org/wiki/ビーナスブリッジ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"神戸ポートタワー","[神戸ポートタワー] 神戸ポートタワー （こうべポートタワー）は、 神戸港 中突堤 の袂に建つ タワー 。","https://ja.wikipedia.org/wiki/神戸ポートタワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度40分57.5秒東経135度11分12.1秒","〒650-0042兵庫県神戸市中央区波止場町5-5","","","展望","1963年（昭和38年）11月20日","","大林組","1,534 m²","12","","","","1962年（昭和37年）8月13日","","108m","","","",""
"芦有ドライブウェイ","[芦有ドライブウェイ] 芦有ドライブウェイ （ろゆうドライブウェイ）は、 兵庫県 芦屋市 ・ 西宮市 ・ 神戸市 北区 にまたがる 一般自動車道 事業による 有料道路 である。また、 芦有ドライブウェイ株式会社 は、これを経営する企業で、 西日本高速道路 （NEXCO西日本）の子会社である。 六甲山 の東側を越え、芦屋市街地と 有馬温泉 を結ぶ。延長10.6 キロメートル (km) 。","https://ja.wikipedia.org/wiki/芦有ドライブウェイ","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","株式会社","","","","","","","",""
"東六甲展望台 (存在しないページ)","[東六甲展望台]","https://ja.wikipedia.org/w/index.php?title=東六甲展望台&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"淡路SA","[淡路SA] 淡路サービスエリア （あわじサービスエリア）は、 兵庫県 淡路市 にある 神戸淡路鳴門自動車道 の サービスエリア (SA) である。","https://ja.wikipedia.org/wiki/淡路SA","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度34分55.5秒東経135度0分58.9秒","〒656-2401兵庫県淡路市岩屋北緯34度34分55.5秒東経135度0分58.9秒﻿ / ﻿北緯34.582083度 東経135.016361度﻿ /34.582083; 135.016361座標:北緯34度34分55.5秒東経135度0分58.9秒﻿ / ﻿北緯34.582083度 東経135.016361度﻿ /34.582083; 135.016361","","","","","","","","","","","","","","","","","",""
"若草山","[若草山] 若草山 （わかくさやま）は、 奈良県 奈良市 の 奈良公園 の東端に位置する 標高 342 m 、面積33 ha の 山 である。","https://ja.wikipedia.org/wiki/若草山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度41分28秒東経135度51分16秒","奈良県奈良市","北緯34度41分28秒東経135度51分16秒﻿ / ﻿北緯34.69111度 東経135.85444度﻿ /34.69111; 135.85444座標:北緯34度41分28秒東経135度51分16秒﻿ / ﻿北緯34.69111度 東経135.85444度﻿ /34.69111; 135.85444","341.8m","","","笠置山地","","","","","","","","","","","","",""
"信貴生駒スカイライン","[信貴生駒スカイライン] 信貴生駒スカイライン （しぎいこまスカイライン）とは、 近畿日本鉄道 （近鉄）が所有し、 子会社 の 近鉄レジャーサービス  が管理する 一般自動車道 で、 大阪平野 と 奈良盆地 の間に連なる 生駒山地 を南北に通過する 私道 の 有料道路 である  。","https://ja.wikipedia.org/wiki/信貴生駒スカイライン","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"紀ノ川サービスエリア","[紀ノ川ＳＡ] 紀ノ川サービスエリア （きのかわサービスエリア）は、 和歌山県 和歌山市 の 阪和自動車道 上にある サービスエリア である。","https://ja.wikipedia.org/wiki/紀ノ川サービスエリア","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度16分31.48秒東経135度14分55.26秒","〒649-6331（上り線）和歌山県和歌山市北野744-1（下り線）和歌山県和歌山市北野字地毛原744-5北緯34度16分31.48秒東経135度14分55.26秒﻿ / ﻿北緯34.2754111度 東経135.2486833度﻿ /34.2754111; 135.2486833","","","","","","","","","","","","","","","","","",""
"鷲ヶ峰コスモスパーク (存在しないページ)","[鷲ヶ峰コスモスパーク]","https://ja.wikipedia.org/w/index.php?title=鷲ヶ峰コスモスパーク&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"鷲羽山スカイライン","[鷲羽山スカイライン] 岡山県道393号鷲羽山公園線 （おかやまけんどう393ごう わしゅうざんこうえんせん）は 倉敷市 南部を通る 一般県道 である。","https://ja.wikipedia.org/wiki/鷲羽山スカイライン","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"遙照山総合公園 (存在しないページ)","[遙照山総合公園]","https://ja.wikipedia.org/w/index.php?title=遙照山総合公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"黄金山","[黄金山] 黄金山 （こがねやま・おうごんざん・おうごんやま）","https://ja.wikipedia.org/wiki/黄金山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"灰ヶ峰","[灰ヶ峰] 灰ヶ峰 （灰が峰、はいがみね）は、 広島県 呉市 の市街地北部にある 独立峰 である。呉市の中で 野呂山 に次ぐ高い山で、標高は737mである。","https://ja.wikipedia.org/wiki/灰ヶ峰","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度16分12.5秒東経132度35分36.4秒","日本広島県：呉市","北緯34度16分12.5秒東経132度35分36.4秒﻿ / ﻿北緯34.270139度 東経132.593444度﻿ /34.270139; 132.593444座標:北緯34度16分12.5秒東経132度35分36.4秒﻿ / ﻿北緯34.270139度 東経132.593444度﻿ /34.270139; 132.593444","737m","","","独立峰","","","","","","","","","","","","",""
"千光寺 (尾道市)","[千光寺展望台] 千光寺 （せんこうじ）は 広島県 尾道市 東土堂町 の 千光寺公園 内にある 真言宗 系の 単立 寺院 。 山号 は 大宝山 （たいほうざん）。 本尊 は 千手観音 。 中国三十三観音 第十番札所、 山陽花の寺二十四か寺 第二十番札所である。","https://ja.wikipedia.org/wiki/千光寺_(尾道市)","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度24分39.33秒東経133度11分55.62秒","広島県尾道市東土堂町15-1","北緯34度24分39.33秒東経133度11分55.62秒﻿ / ﻿北緯34.4109250度 東経133.1987833度﻿ /34.4109250; 133.1987833座標:北緯34度24分39.33秒東経133度11分55.62秒﻿ / ﻿北緯34.4109250度 東経133.1987833度﻿ /34.4109250; 133.1987833","","","","","","","","","","","","","","","","",""
"火の山","[火の山] 火の山 （ひのやま）","https://ja.wikipedia.org/wiki/火の山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"竜王山公園","[竜王山公園] 竜王山 （りゅうおうざん）は、 山口県 山陽小野田市 大字小野田字大浜刈屋にある 山 である。","https://ja.wikipedia.org/wiki/竜王山公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度57分23.2秒東経131度10分4.7秒","日本山口県山陽小野田市","北緯33度57分23.2秒東経131度10分4.7秒﻿ / ﻿北緯33.956444度 東経131.167972度﻿ /33.956444; 131.167972座標:北緯33度57分23.2秒東経131度10分4.7秒﻿ / ﻿北緯33.956444度 東経131.167972度﻿ /33.956444; 131.167972","135.7m","","","","","","","","","","","","","","","",""
"眉山 (徳島市)","[眉山] 眉山 （びざん）は、 徳島県 徳島市 にある 山 であり、徳島市の シンボル 的存在として親しまれている。","https://ja.wikipedia.org/wiki/眉山_(徳島市)","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度4分0.9333秒東経134度32分15.7156秒","日本徳島県徳島市","北緯34度4分0.9333秒東経134度32分15.7156秒﻿ / ﻿北緯34.066925917度 東経134.537698778度﻿ /34.066925917; 134.537698778座標:北緯34度4分0.9333秒東経134度32分15.7156秒﻿ / ﻿北緯34.066925917度 東経134.537698778度﻿ /34.066925917; 134.537698778","290m","","","","","","","","","","","","","","","",""
"屋島","[屋島] 屋島 （やしま、 旧字体 ： 屋嶋 ）は、 日本 の 四国 北東部の、 香川県 高松市 の東北に位置する、硬質の溶岩に覆われた平坦面が侵食された残丘。南北に長い 台地 状の地形  。","https://ja.wikipedia.org/wiki/屋島","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯34度21分21秒東経134度6分17秒","香川県高松市","北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)座標:北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)","南嶺 292m","","","独立峰","","","","","台地の地形（メサ型溶岩台地）","","","","","","","",""
"獅子の霊厳 (存在しないページ)","[獅子の霊厳]","https://ja.wikipedia.org/w/index.php?title=獅子の霊厳&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"天使のすむ丘 サンアンジェリーナ展望台 (存在しないページ)","[天使のすむ丘　サンアンジェリーナ展望台]","https://ja.wikipedia.org/w/index.php?title=天使のすむ丘_サンアンジェリーナ展望台&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"松山総合公園","[松山総合公園] 松山総合公園 （まつやまそうごうこうえん）は、 愛媛県 松山市 の大峰ヶ台にある 都市公園 （総合公園）である  。立地は 城山 （勝山）の西方にあたる。 1983年 に着工、 1999年 に全施設が完成した。","https://ja.wikipedia.org/wiki/松山総合公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度50分40.18秒東経132度44分27.9秒","日本愛媛県松山市朝日ヶ丘1丁目","","","","","","","","","","","","","","","都市公園（総合公園）","","",""
"具定展望台","[具定展望台] 具定展望台 （ぐじょうてんぼうだい）は、 愛媛県 四国中央市 寒川町 にある 展望台 。名前の由来となった 具定町 と寒川町の境付近にあるが、正確には寒川町に位置する。","https://ja.wikipedia.org/wiki/具定展望台","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"五台山公園 (存在しないページ)","[五台山公園]","https://ja.wikipedia.org/w/index.php?title=五台山公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"皿倉山","[皿倉山] 皿倉山 （さらくらやま）は、 福岡県 北九州市 八幡東区 にある 標高 622 m の 山 である   。 権現山 、帆柱山、 花尾山 などと共に帆柱連山を形成し、 北九州国定公園 の一部を成す   。","https://ja.wikipedia.org/wiki/皿倉山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度50分47秒東経130度47分47秒","福岡県北九州市八幡東区","北緯33度50分47秒東経130度47分47秒﻿ / ﻿北緯33.84639度 東経130.79639度﻿ /33.84639; 130.79639","622m","","","帆柱山系","","","","","","","","","","","","",""
"福岡タワー","[福岡タワー] 福岡タワー （ふくおかタワー）は、 福岡県 福岡市 早良区 の シーサイドももち 地区にある ランドマーク タワー（ 電波塔 ）で、高さは234m。日本で1番高い海浜タワーでもある。1989年の アジア太平洋博覧会 （通称：よかトピア）にあわせて建設された。福岡市と地元有力企業との共同出資による 福岡タワー株式会社 が運営している。","https://ja.wikipedia.org/wiki/福岡タワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","株式会社","","","","","","","",""
"油山","[油山　片江展望台] 油山 （あぶらやま）は、 福岡市 城南区 ・ 早良区 ・ 南区 にまたがる山。名は清賀上人が 天平年間 に 正覚寺 で椿油を精製したことに由来する。標高597m  。近隣には 福岡大学 、 油山牧場 が所在する。","https://ja.wikipedia.org/wiki/油山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度30分43.3秒東経130度21分52.2秒","日本福岡市城南区・早良区・南区","北緯33度30分43.3秒東経130度21分52.2秒﻿ / ﻿北緯33.512028度 東経130.364500度﻿ /33.512028; 130.364500座標:北緯33度30分43.3秒東経130度21分52.2秒﻿ / ﻿北緯33.512028度 東経130.364500度﻿ /33.512028; 130.364500","597m","","","","","","","","","","","","","","","",""
"米の山展望広場 (存在しないページ)","[米の山展望広場]","https://ja.wikipedia.org/w/index.php?title=米の山展望広場&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"道の駅吉野ヶ里","[道の駅　吉野ヶ里] 道の駅吉野ヶ里 （みちのえき よしのがり）は、 佐賀県 神埼郡 吉野ヶ里町 にある 国道385号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅吉野ヶ里","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度22分50秒東経130度23分50秒","〒842-0101佐賀県神埼郡吉野ヶ里町松隈1710-11","","","","","","","","","","","","","","","","","",""
"稲佐山","[稲佐山] 稲佐山 （いなさやま）は、 長崎県 長崎市 にある 標高 333メートルの 山 である。財団法人長崎ロープウェイ・水族館が長崎市の委託を受けて管理・運営を行っている。","https://ja.wikipedia.org/wiki/稲佐山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯32度45分12.1秒東経129度50分57.6秒","日本長崎県長崎市","北緯32度45分12.1秒東経129度50分57.6秒﻿ / ﻿北緯32.753361度 東経129.849333度﻿ /32.753361; 129.849333﻿ (稲佐山)座標:北緯32度45分12.1秒東経129度50分57.6秒﻿ / ﻿北緯32.753361度 東経129.849333度﻿ /32.753361; 129.849333﻿ (稲佐山)","333m","","","","","","","","","","","","","","","",""
"弓張岳","[弓張岳展望台] 弓張岳 （ゆみはりだけ）は、 長崎県 佐世保市 にある山である。 標高 は364メートル。","https://ja.wikipedia.org/wiki/弓張岳","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯33度10分50.6秒東経129度42分5.9秒","日本長崎県佐世保市","北緯33度10分50.6秒東経129度42分5.9秒﻿ / ﻿北緯33.180722度 東経129.701639度﻿ /33.180722; 129.701639座標:北緯33度10分50.6秒東経129度42分5.9秒﻿ / ﻿北緯33.180722度 東経129.701639度﻿ /33.180722; 129.701639","364m","","","","","","","","","","","","","","","",""
"花岡山","[花岡山] 花岡山 （はなおかやま）は、 熊本県 熊本市 西区 にあり 標高 132.2 メートル の 山 である。山頂からは熊本市街が見渡せる。","https://ja.wikipedia.org/wiki/花岡山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯32度47分47.5秒東経130度41分08.2秒","日本熊本県熊本市西区","北緯32度47分47.5秒東経130度41分08.2秒﻿ / ﻿北緯32.796528度 東経130.685611度﻿ /32.796528; 130.685611座標:北緯32度47分47.5秒東経130度41分08.2秒﻿ / ﻿北緯32.796528度 東経130.685611度﻿ /32.796528; 130.685611","132.2m","","","","","","","","","","","","","","","",""
"金峰山","[金峰山] 金峰山 （きんぷせん）とは、 奈良県 の 大峰山脈 のうち 吉野山 から 山上ヶ岳 までの連峰の総称である。 金峯山 とも表記し、「金の御岳（かねのみたけ）」とも呼ばれる  。","https://ja.wikipedia.org/wiki/金峰山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"十文字原","[十文字原展望台] 十文字原 （じゅうもんじばる）は、 大分県 別府市 北西部にある 高原 。","https://ja.wikipedia.org/wiki/十文字原","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"愛宕山公園","[愛宕山公園] 愛宕山公園 （あたごやまこうえん、あたごさんこうえん）","https://ja.wikipedia.org/wiki/愛宕山公園","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"金御岳公園 (存在しないページ)","[金御岳公園]","https://ja.wikipedia.org/w/index.php?title=金御岳公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"城山 (鹿児島市城山町)","[城山展望台] 城山 （しろやま）は 鹿児島市 中央部にある 山 、あるいは 丘陵  。 西南戦争 最後の激戦地であり、国の 史跡 および 天然記念物 に指定されている  。かつては鶴丸山・上之山と呼ばれていた  。","https://ja.wikipedia.org/wiki/城山_(鹿児島市城山町)","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯31度35分48秒東経130度33分3.3秒","日本鹿児島県鹿児島市城山町","北緯31度35分48秒東経130度33分3.3秒﻿ / ﻿北緯31.59667度 東経130.550917度﻿ /31.59667; 130.550917座標:北緯31度35分48秒東経130度33分3.3秒﻿ / ﻿北緯31.59667度 東経130.550917度﻿ /31.59667; 130.550917","108m","","","","","","","","","","","","","","","",""
