"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","地方","都道府県","市町村コード","総人口","隣接自治体","外部リンク","法人番号","人口密度","市の木","市の花","市長","種類","標高","位置","最新噴火","分類"
"大阪市","[長原遺跡（大阪市平野区） - 約3万数千年前の石器群が出土。大阪最古の遺物とされる。] 大阪市 （おおさかし）は、 大阪府 中部に位置する 市 。大阪府の 府庁所在地 であり、 政令指定都市 である。","https://ja.wikipedia.org/wiki/大阪市","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度41分37.5秒東経135度30分7.6秒","〒530-8201大阪府大阪市北区中之島一丁目3番20号北緯34度41分37.5秒東経135度30分7.6秒﻿ / ﻿北緯34.693750度 東経135.502111度﻿ /34.693750; 135.502111﻿ (大阪市)座標:北緯34度41分37.5秒東経135度30分7.6秒﻿ / ﻿北緯34.693750度 東経135.502111度﻿ /34.693750; 135.502111﻿ (大阪市)","225.21km2（境界未定部分あり）","日本","近畿地方","大阪府","27100-4","2,753,307人（推計人口、2021年6月1日）","豊中市、吹田市、摂津市、門真市、大東市、東大阪市、守口市、八尾市、堺市、松原市兵庫県尼崎市","公式ウェブサイト","6000020271004","12,226人/km2","サクラ","パンジー","松井一郎","","","","",""
"高槻市","[郡家今城遺跡（高槻市） - 約2万年前の野営地跡。] 高槻市 （たかつきし）は、 大阪府 の 北摂 三島 地域に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/高槻市","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度50分45.6秒東経135度37分2.1秒","〒569-0067大阪府高槻市桃園町2番1号北緯34度50分45.6秒東経135度37分2.1秒﻿ / ﻿北緯34.846000度 東経135.617250度﻿ /34.846000; 135.617250﻿ (高槻市)座標:北緯34度50分45.6秒東経135度37分2.1秒﻿ / ﻿北緯34.846000度 東経135.617250度﻿ /34.846000; 135.617250﻿ (高槻市)","105.29km2","日本","近畿地方","大阪府","27207-8","347,291人（推計人口、2021年6月1日）","枚方市、茨木市、寝屋川市、摂津市、三島郡島本町京都府：亀岡市、京都市","公式ウェブサイト","4000020272078","3,298人/km2","ケヤキ","ウノハナ","濱田剛史","","","","",""
"吹田市","[吉志部遺跡（吹田市） - 約1万年前のナイフ型石器が出土。] 吹田市 （すいたし）は、 大阪府 の 北摂 三島 地域に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/吹田市","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度45分34.1秒東経135度31分0.6秒","〒564-8550大阪府吹田市泉町一丁目3番40号北緯34度45分34.1秒東経135度31分0.6秒﻿ / ﻿北緯34.759472度 東経135.516833度﻿ /34.759472; 135.516833﻿ (吹田市)座標:北緯34度45分34.1秒東経135度31分0.6秒﻿ / ﻿北緯34.759472度 東経135.516833度﻿ /34.759472; 135.516833﻿ (吹田市)","36.09km2","日本","近畿地方","大阪府","27205-1","386,645人（推計人口、2021年6月1日）","茨木市、箕面市、豊中市、大阪市、摂津市","公式ウェブサイト","6000020272051","10,713人/km2","クスノキ","サツキ","後藤圭二","","","","",""
"四條畷市","[讃良川床遺跡（四條畷市） - 約2万年前の石器群。] 四條畷市 （しじょうなわてし）は、 大阪府 の 北河内 地域に位置する 市 。","https://ja.wikipedia.org/wiki/四條畷市","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度44分23.7秒東経135度38分22.3秒","〒575-8501大阪府四條畷市中野本町1番1号北緯34度44分23.7秒東経135度38分22.3秒﻿ / ﻿北緯34.739917度 東経135.639528度﻿ /34.739917; 135.639528座標:北緯34度44分23.7秒東経135度38分22.3秒﻿ / ﻿北緯34.739917度 東経135.639528度﻿ /34.739917; 135.639528","18.69km2","日本","近畿地方","大阪府","27229-9","54,931人（推計人口、2021年6月1日）","寝屋川市、交野市、大東市奈良県生駒市","公式ウェブサイト","6000020272299","2,939人/km2","クスノキ","サツキ","東修平","","","","",""
"四條畷市","[岡山南遺跡（四條畷市） - 約1万5千年前の木葉形尖頭器が出土。] 四條畷市 （しじょうなわてし）は、 大阪府 の 北河内 地域に位置する 市 。","https://ja.wikipedia.org/wiki/四條畷市","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度44分23.7秒東経135度38分22.3秒","〒575-8501大阪府四條畷市中野本町1番1号北緯34度44分23.7秒東経135度38分22.3秒﻿ / ﻿北緯34.739917度 東経135.639528度﻿ /34.739917; 135.639528座標:北緯34度44分23.7秒東経135度38分22.3秒﻿ / ﻿北緯34.739917度 東経135.639528度﻿ /34.739917; 135.639528","18.69km2","日本","近畿地方","大阪府","27229-9","54,931人（推計人口、2021年6月1日）","寝屋川市、交野市、大東市奈良県生駒市","公式ウェブサイト","6000020272299","2,939人/km2","クスノキ","サツキ","東修平","","","","",""
"はさみ山遺跡","[はさみ山遺跡（藤井寺市） - 約2万年前の住居跡。大阪府で最古の住居跡の遺跡とされる。] はさみ山遺跡 （はさみやまいせき）は、 大阪府 藤井寺市 に所在する 旧石器時代 から 近世 までの各時代の 遺構 や 遺物 が見つかった 複合遺跡 。全国的には、現在わかっている日本最古の 住居 跡が見つかったことで知られ、そこでは 後期旧石器時代 の住居の構造が明らかになったことが特筆される。","https://ja.wikipedia.org/wiki/はさみ山遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国府遺跡","[国府遺跡（藤井寺市） - 国の史跡。約2万年前の生活跡。] 国府遺跡 （こういせき）は、 大阪府 藤井寺市 惣社に所在する 旧石器時代 の遺跡である。","https://ja.wikipedia.org/wiki/国府遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽曳野市","[翠鳥園遺跡（羽曳野市） - 約2万8千年前の石器群。] 羽曳野市 （はびきのし）は、 大阪府 の 南河内 地域に位置する 市 。","https://ja.wikipedia.org/wiki/羽曳野市","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度33分28.5秒東経135度36分22.7秒","〒583-8585大阪府羽曳野市誉田四丁目1番1号北緯34度33分28.5秒東経135度36分22.7秒﻿ / ﻿北緯34.557917度 東経135.606306度﻿ /34.557917; 135.606306座標:北緯34度33分28.5秒東経135度36分22.7秒﻿ / ﻿北緯34.557917度 東経135.606306度﻿ /34.557917; 135.606306","26.45km2","日本","近畿地方","大阪府","27222-1","108,052人（推計人口、2021年6月1日）","堺市、松原市、藤井寺市、柏原市、富田林市、南河内郡太子町奈良県香芝市","公式ウェブサイト","1000020272221","4,085人/km2","タチバナ","モモ","山入端創","","","","",""
"砂原遺跡","[砂原遺跡（出雲市多伎町砂原）] 砂原遺跡 （すなばらいせき）は、 出雲市 多伎町 砂原に立地する 中期旧石器時代 の遺跡である。","https://ja.wikipedia.org/wiki/砂原遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鷲羽山遺跡","[鷲羽山遺跡（倉敷市） - 西日本初の旧石器時代の遺跡。] 鷲羽山遺跡 （わしゅうざんいせき）は、 岡山県 倉敷市 大畠 の 鷲羽山 にある、 旧石器時代 の 遺跡  。","https://ja.wikipedia.org/wiki/鷲羽山遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯34度26分04秒 東経133度48分50秒","","","","","","","","","","","","","","","","","","",""
"多久三年山遺跡 (存在しないページ)","[多久三年山遺跡（たくさんねんやま）]","https://ja.wikipedia.org/w/index.php?title=多久三年山遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"茶園原遺跡 (存在しないページ)","[茶園原遺跡（ちゃぞのばる）]","https://ja.wikipedia.org/w/index.php?title=茶園原遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平沢良遺跡 (存在しないページ)","[平沢良遺跡（ひらぞうら）]","https://ja.wikipedia.org/w/index.php?title=平沢良遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩下洞穴","[岩下洞穴] 岩下洞穴 （いわしたどうけつ）は、 長崎県 佐世保市 松瀬町（旧 北松浦郡 大野 ）にある 旧石器時代 から 古墳時代 の 遺跡 。県指定 史跡 。","https://ja.wikipedia.org/wiki/岩下洞穴","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泉福寺洞窟","[泉福寺洞窟] 泉福寺洞窟 （せんぷくじどうくつ）もしくは 泉福寺洞窟遺跡 （せんぷくじどうくついせき）は、 長崎県 佐世保市 瀬戸越（旧 北松浦郡 大野  ）にある 旧石器時代 から 弥生時代 の 岩陰遺跡 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/泉福寺洞窟","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯33度12分16.5秒 東経129度43分48.9秒","","","","","","","","","","","","","","","","","","",""
"福井洞窟","[福井洞窟] 福井洞窟 （ふくいどうくつ）は、 長崎県 佐世保市 吉井町（旧 北松浦郡 吉井町  ）にある 後期旧石器時代 から 縄文時代 草創期の 遺跡 である。国の 史跡 。","https://ja.wikipedia.org/wiki/福井洞窟","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯33度17分32.8秒 東経129度41分49.2秒","","","","","","","","","","","","","","","","","","",""
"柿原遺跡 (存在しないページ)","[柿原遺跡　山鹿市鹿北町椎持]","https://ja.wikipedia.org/w/index.php?title=柿原遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石飛遺跡 (存在しないページ)","[石飛遺跡　水俣市石坂川]","https://ja.wikipedia.org/w/index.php?title=石飛遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"早水台遺跡","[早水台遺跡（速見郡日出町）] 早水台遺跡 （そうずだいいせき）は、 大分県 速見郡 日出町 川崎にある 旧石器時代 から 縄文時代 早期にかけての 遺跡 である。 別府湾 を眼下に望む 河岸段丘 上に立地する。","https://ja.wikipedia.org/wiki/早水台遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯33度21分20.5秒 東経131度32分51.2秒","","","","","","","","","","","","","","","","","","",""
"岩戸遺跡","[岩戸遺跡（豊後大野市）] 岩戸遺跡 （いわといせき）は、 大分県 豊後大野市 清川町臼尾にある 後期旧石器時代 の 遺跡 。 1981年 （ 昭和 56年） 3月31日 に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/岩戸遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯32度58分54.2秒 東経131度32分47.0秒","","","","","","","","","","","","","","","","","","",""
"聖嶽洞穴","[聖嶽洞穴（ひじりだきどうけつ、南海部郡本匠村）] 聖嶽洞穴 （ひじりだきどうけつ）は、 大分県 佐伯市 （旧・ 南海部郡 本匠村 ）にある 鍾乳洞 の洞穴である。","https://ja.wikipedia.org/wiki/聖嶽洞穴","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯32度57分31.96秒 東経131度47分5.02秒","","","","","","","","","","","","","","","","","","",""
"丹生遺跡","[丹生遺跡（にゅう）1959年頃から地元在住民が丹生だいちの地表面から多量の粗雑な礫器を採集し、後期旧石器より古いのではないかという考えが発端となって「前期旧石器存否論争」が半世紀も続いた。] 丹生遺跡 （にういせき）は、 大分県 大分市 丹生にある 旧石器時代 の 遺跡 である。丹生台地遺跡とも呼ばれる  。大分市指定 史跡 。","https://ja.wikipedia.org/wiki/丹生遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯33度13分32.6秒 東経131度42分28.4秒","","","","","","","","","","","","","","","","","","",""
"横峯遺跡","[横峯遺跡（熊毛郡南種子町）] 横峯遺跡 （よこみねいせき）は、 鹿児島県 熊毛郡 南種子町 に所在する後期 旧石器時代 初頭の遺跡。鹿児島県の 史跡 。 1992年に発掘調査された際  種子島 で初めて発見された旧 石器時代 の遺跡であり、旧石器時代、 縄文時代 にヒトが住んでいた跡が見つかっている。約3万年前の 土層 からは、日本国内最古の調理場跡が発見されている  。","https://ja.wikipedia.org/wiki/横峯遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水迫遺跡","[水迫遺跡（指宿市）] 水迫遺跡 （みずさこいせき）は、 鹿児島県 指宿市 に所在する15000年前頃の 後期旧石器時代 の遺跡。","https://ja.wikipedia.org/wiki/水迫遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白保竿根田原洞穴遺跡","[白保竿根田原洞穴遺跡（石垣市） - 国の史跡。約2万7千年前の国内最古の人骨が発見された。] 白保竿根田原洞穴遺跡 （しらほさおねたばるどうけついせき）は、 沖縄県 石垣市 （ 八重山列島 石垣島 ）にある 旧石器時代 から16世紀頃までの複合 遺跡 である  。全身骨格がほぼ残ったものとしては国内最古の約2万7千年前の人骨が発見されるとともに、国内で初めての旧石器時代の墓域が確認された。国の 史跡 に指定されている   。","https://ja.wikipedia.org/wiki/白保竿根田原洞穴遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯24度24分0.7秒 東経124度14分44.9秒","","","","","","","","","","","","","","","","","","",""
