"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"榛名山"," 榛名山 （はるなさん）は、 関東地方 の北部の 群馬県 にある 上毛三山 の一つであり、古来 山岳信仰 を受けてきた山である。山の南西麓に 榛名神社 が祀られている。","https://ja.wikipedia.org/wiki/榛名山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度28分38秒東経138度51分02秒","日本群馬県高崎市","北緯36度28分38秒東経138度51分02秒﻿ / ﻿北緯36.47722度 東経138.85056度﻿ /36.47722; 138.85056座標:北緯36度28分38秒東経138度51分02秒﻿ / ﻿北緯36.47722度 東経138.85056度﻿ /36.47722; 138.85056","1,449m","独立峰","成層火山（活火山ランクB）","","","","","","","","","","","","","",""
"妙義山"," 妙義山 （みょうぎさん）は、 群馬県 甘楽郡 下仁田町 ・ 富岡市 ・ 安中市 の境界に位置する 日本三大奇景 の一つとされる 山 である。いくつものピークから成り、最高峰は表妙義稜線上の 相馬岳 (1,103.8m)で、また妙義山系全体の最高峰は裏妙義に聳える 谷急山 (1,162.1m)となっている。","https://ja.wikipedia.org/wiki/妙義山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度17分55秒東経138度44分56秒","群馬県甘楽郡下仁田町・富岡市・安中市","北緯36度17分55秒東経138度44分56秒﻿ / ﻿北緯36.29861度 東経138.74889度﻿ /36.29861; 138.74889座標:北緯36度17分55秒東経138度44分56秒﻿ / ﻿北緯36.29861度 東経138.74889度﻿ /36.29861; 138.74889","1,103.8m","","","","","","","","","","","","","","","",""
"荒船山"," 荒船山 （あらふねやま）は 群馬県 甘楽郡 下仁田町 と 長野県 佐久市 に跨る標高1,423mの山である。 妙義荒船佐久高原国定公園 に属している。 日本二百名山 のひとつ。","https://ja.wikipedia.org/wiki/荒船山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度12分14秒東経138度38分13秒","日本群馬県甘楽郡下仁田町長野県佐久市","北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ /36.20389; 138.63694座標:北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ /36.20389; 138.63694","1,423m","","メサ","","","","","","","","","","","","","",""
"御座山"," 御座山 （おぐらさん）は、 長野県 南佐久郡 北相木村 と 南相木村 とにまたがる山である。 標高 は2,112メートル。 東京都 ・ 埼玉県 ・ 群馬県 ・ 長野県 ・ 山梨県 にまたがり、 関東地方 と 中部地方 の境界をなす 関東山地 に属している。 日本二百名山 のひとつでもある。","https://ja.wikipedia.org/wiki/御座山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度02分02.7秒東経138度36分24.5秒","日本長野県南佐久郡北相木村・南相木村","北緯36度02分02.7秒東経138度36分24.5秒﻿ / ﻿北緯36.034083度 東経138.606806度﻿ /36.034083; 138.606806座標:北緯36度02分02.7秒東経138度36分24.5秒﻿ / ﻿北緯36.034083度 東経138.606806度﻿ /36.034083; 138.606806","2,112m","関東山地","","","","","","","","","","","","","","",""
"武甲山"," 武甲山 （ぶこうざん・ぶこうさん）は、 埼玉県 秩父地方 の 秩父市 と 横瀬町 の境界に位置する山である。 秩父盆地 の南側にあり、 標高 は1,304 メートル  。 日本二百名山 の一つに数えられる。","https://ja.wikipedia.org/wiki/武甲山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度57分06秒東経139度05分52秒","埼玉県秩父市、秩父郡横瀬町","北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ /35.95167; 139.09778座標:北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ /35.95167; 139.09778","1,304m","秩父山地","","","","","","","","","","","","","","",""
"和名倉山"," 和名倉山 （わなくらやま）は 埼玉県 秩父市 にある 標高 2,036 m の 山 で、 奥秩父 の山の一つ。別名 白石山 （しろいしやま）。 国土地理院 の 地形図 には白石山とあるが  、和名倉山が古くからの秩父側の呼称である。 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/和名倉山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度53分57秒東経138度52分40秒","日本埼玉県秩父市","北緯35度53分57秒東経138度52分40秒﻿ / ﻿北緯35.89917度 東経138.87778度﻿ /35.89917; 138.87778座標:北緯35度53分57秒東経138度52分40秒﻿ / ﻿北緯35.89917度 東経138.87778度﻿ /35.89917; 138.87778","2,036.02m","奥秩父山塊","","","","","","","","","","","","","","",""
"茅ヶ岳"," 茅ヶ岳 （かやがたけ）は、 山梨県 にある 山 。 北杜市 と 甲斐市 に属する。","https://ja.wikipedia.org/wiki/茅ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度47分42.1秒東経138度30分49.6秒","山梨県北杜市、甲斐市","北緯35度47分42.1秒東経138度30分49.6秒﻿ / ﻿北緯35.795028度 東経138.513778度﻿ /35.795028; 138.513778","1,703.976m","奥秩父山塊","複成火山","","","","","","","","","","","","","",""
"乾徳山"," 乾徳山 （けんとくさん）は、 山梨県 山梨市 にある標高2,031mの 山 で、 奥秩父 の山域にある。","https://ja.wikipedia.org/wiki/乾徳山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度49分23秒東経138度42分54秒","山梨県山梨市","北緯35度49分23秒東経138度42分54秒﻿ / ﻿北緯35.82306度 東経138.71500度﻿ /35.82306; 138.71500","2,031m","奥秩父山塊","","","","","","","","","","","","","","",""
"大岳山 (東京都)"," 大岳山 （おおだけさん、おおたけさん）は、 東京都 西多摩郡 檜原村 、 奥多摩町 の境界、 奥多摩 山域にある 標高 1,266.5 m の 山 。標高はさして高くないが、個性的な山容を備えた奥多摩の名峰である。 日本二百名山 及び 花の百名山 の一つに数えられる。多様な登山コースがあり、初心者から経験者まで幅広く楽しめる山である。","https://ja.wikipedia.org/wiki/大岳山_(東京都)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度45分54秒東経139度07分49秒","東京都西多摩郡檜原村・奥多摩町","北緯35度45分54秒東経139度07分49秒﻿ / ﻿北緯35.76500度 東経139.13028度﻿ /35.76500; 139.13028座標:北緯35度45分54秒東経139度07分49秒﻿ / ﻿北緯35.76500度 東経139.13028度﻿ /35.76500; 139.13028","1,266.4m","奥多摩","","","","","","","","","","","","","","",""
"三つ峠"," 三つ峠 （みつとうげ）は、 山梨県 都留市 、 西桂町 、 富士河口湖町 の境界にある 標高 1,785mの 山 である。 峠 ではない。 三ッ峠山 と呼ばれることもある  。","https://ja.wikipedia.org/wiki/三つ峠","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度32分57秒東経138度48分33秒","山梨県都留市・南都留郡西桂町・富士河口湖町","北緯35度32分57秒東経138度48分33秒﻿ / ﻿北緯35.54917度 東経138.80917度﻿ /35.54917; 138.80917","1,785m","御坂山地","","","","","","","","","","","","","","",""
"御正体山"," 御正体山 （みしょうたいやま、-さん）は、 山梨県 都留市 と 南都留郡 道志村 の境にある山。標高は1,681m   で、 道志山塊 の 最高峰 である。 日本二百名山 、 山梨百名山 の一つに数えられている。","https://ja.wikipedia.org/wiki/御正体山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度29分13秒東経138度55分54秒","山梨県都留市・南都留郡道志村","北緯35度29分13秒東経138度55分54秒﻿ / ﻿北緯35.48694度 東経138.93167度﻿ /35.48694; 138.93167座標:北緯35度29分13秒東経138度55分54秒﻿ / ﻿北緯35.48694度 東経138.93167度﻿ /35.48694; 138.93167","1,681m","道志山塊","","","","","","","","","","","","","","",""
"毛無山 (山梨県・静岡県)"," 毛無山 （けなしやま）は、 山梨県 南巨摩郡 身延町 （旧 西八代郡 下部町 ）と 静岡県 富士宮市 にまたがる 標高 1,964 m の 山 。 天子山地 の 最高峰 である。 日本二百名山  、 山梨百名山  及び 静岡百山  に選定されている。","https://ja.wikipedia.org/wiki/毛無山_(山梨県・静岡県)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度24分57秒東経138度32分38秒","山梨県南巨摩郡身延町静岡県富士宮市","北緯35度24分57秒東経138度32分38秒﻿ / ﻿北緯35.41583度 東経138.54389度﻿ /35.41583; 138.54389","1,964m","天子山地","","","","","","","","","","","","","","",""
"愛鷹山"," 愛鷹山 （あしたかやま）は 静岡県 の東部にある 山 。 富士山 の南隣に位置する 火山 である。最高峰は標高1504.2mの 越前岳 。狭義には南方にある1,187.5mの愛鷹山峰を指す。愛鷹山塊や愛鷹連峰とも呼ばれることがある。 日本二百名山 の1つ。","https://ja.wikipedia.org/wiki/愛鷹山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度13分0秒東経138度48分0秒","静岡県富士市・沼津市長泉町・裾野市","北緯35度13分0秒東経138度48分0秒﻿ / ﻿北緯35.21667度 東経138.80000度﻿ /35.21667; 138.80000座標:北緯35度13分0秒東経138度48分0秒﻿ / ﻿北緯35.21667度 東経138.80000度﻿ /35.21667; 138.80000","越前岳: 1504.2m","独立峰","成層火山","","","","","","","","","","","","","",""
"天狗岳"," 天狗岳 （てんぐだけ）は、 長野県 茅野市 にある 八ヶ岳連峰 の山である。","https://ja.wikipedia.org/wiki/天狗岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度01分09秒東経138度21分20秒","日本長野県南佐久郡小海町・茅野市","北緯36度01分09秒東経138度21分20秒﻿ / ﻿北緯36.01917度 東経138.35556度﻿ /36.01917; 138.35556座標:北緯36度01分09秒東経138度21分20秒﻿ / ﻿北緯36.01917度 東経138.35556度﻿ /36.01917; 138.35556","2,646m","八ヶ岳連峰","","","","","","","","","","","","","","",""
"黒姫山 (長野県)"," 黒姫山 （くろひめやま）は、 長野県 上水内郡 信濃町 にある 標高 2,053 m の 成層火山 。南東方向より見た整った姿から 郷土富士 として 信濃富士 とも呼ばれている。","https://ja.wikipedia.org/wiki/黒姫山_(長野県)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度48分48秒東経138度7分38秒","日本長野県上水内郡信濃町","北緯36度48分48秒東経138度7分38秒﻿ / ﻿北緯36.81333度 東経138.12722度﻿ /36.81333; 138.12722座標:北緯36度48分48秒東経138度7分38秒﻿ / ﻿北緯36.81333度 東経138.12722度﻿ /36.81333; 138.12722","2,053m","妙高火山群（西頸城山地）","成層火山","","","","","","","","","","","","","",""
"戸隠山"," 戸隠山 （とがくしやま）は、 長野県 長野市 にある山。 戸隠連峰 の一峰で、 標高 は1,904m。400万年前から270万年前頃の 新第三紀 の 海底火山 由来の 火成岩 が、山体を作っていると考えられる  。","https://ja.wikipedia.org/wiki/戸隠山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度46分13秒東経138度03分18秒","日本長野県長野市","北緯36度46分13秒東経138度03分18秒﻿ / ﻿北緯36.77028度 東経138.05500度﻿ /36.77028; 138.05500座標:北緯36度46分13秒東経138度03分18秒﻿ / ﻿北緯36.77028度 東経138.05500度﻿ /36.77028; 138.05500","1,904m","戸隠連峰","","","","","","","","","","","","","","",""
"飯縄山"," 飯縄山 （いいづなやま、飯綱山  ）は、 長野県 北部（ 北信地方 ）、 長野市 ・ 上水内郡 信濃町 ・ 飯綱町 にまたがる 山 。標高1,917メートル。飯縄山と、その支峰・ 霊仙寺山 （れいせんじやま、1875.0m）、 瑪瑙山 （めのうやま、1748m）などからなる連山全体を 飯縄山 と呼ぶこともある。 戸隠山 、 黒姫山 、 妙高山 、 斑尾山 とともに、 北信五岳 のひとつに数えられる。","https://ja.wikipedia.org/wiki/飯縄山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度44分22秒東経138度08分01秒","日本長野県長野市上水内郡飯綱町・信濃町","北緯36度44分22秒東経138度08分01秒﻿ / ﻿北緯36.73944度 東経138.13361度﻿ /36.73944; 138.13361座標:北緯36度44分22秒東経138度08分01秒﻿ / ﻿北緯36.73944度 東経138.13361度﻿ /36.73944; 138.13361","1,917m","","成層火山","","","","","","","","","","","","","",""
"雪倉岳"," 雪倉岳 （ゆきくらだけ）は、 飛騨山脈 （北アルプス） 後立山連峰 にある 標高 2,611 m の 山 。 日本二百名山 の一つ  。 富山県 と 新潟県 にまたがり、山域は 中部山岳国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/雪倉岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度47分41秒東経137度45分15秒","日本新潟県糸魚川市富山県下新川郡朝日町","北緯36度47分41秒東経137度45分15秒﻿ / ﻿北緯36.79472度 東経137.75417度﻿ /36.79472; 137.75417座標:北緯36度47分41秒東経137度45分15秒﻿ / ﻿北緯36.79472度 東経137.75417度﻿ /36.79472; 137.75417","2,610.87m","飛騨山脈（後立山連峰）","","","","","","","","","","","","","","",""
"針ノ木岳"," 針ノ木岳 （はりのきだけ）は、 富山県 中新川郡 立山町 と 長野県 大町市 にまたがる 標高 2,821 m の 山 。 中部山岳国立公園 内にあり  、 後立山連峰 に属する。","https://ja.wikipedia.org/wiki/針ノ木岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度32分17秒東経137度41分04秒","日本富山県中新川郡立山町長野県大町市","北緯36度32分17秒東経137度41分04秒﻿ / ﻿北緯36.53806度 東経137.68444度﻿ /36.53806; 137.68444座標:北緯36度32分17秒東経137度41分04秒﻿ / ﻿北緯36.53806度 東経137.68444度﻿ /36.53806; 137.68444","2,820.60m","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","","",""
"烏帽子岳 (飛騨山脈)"," 烏帽子岳 （えぼしだけ）は、 長野県 大町市 と 富山県 富山市 にまたがる 飛騨山脈 中部に位置する 標高 2,628 m の 山 。山域は 中部山岳国立公園 に指定され  、 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/烏帽子岳_(飛騨山脈)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度28分46秒東経137度39分03秒","長野県大町市,富山県富山市","北緯36度28分46秒東経137度39分03秒﻿ / ﻿北緯36.47944度 東経137.65083度﻿ /36.47944; 137.65083座標:北緯36度28分46秒東経137度39分03秒﻿ / ﻿北緯36.47944度 東経137.65083度﻿ /36.47944; 137.65083","2,628　m","飛騨山脈（北アルプス）","","","","","","","","","","","","","","",""
"赤牛岳"," 赤牛岳 （あかうしだけ）は、 飛騨山脈 中部にある 標高 2,864 m の 山 。山域は 1934年 （昭和9年） 12月4日 に 中部山岳国立公園 の特別保護地区に指定され  、 日本二百名山 に選定されている山である  。","https://ja.wikipedia.org/wiki/赤牛岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度27分42秒東経137度36分12秒","日本富山県富山市","北緯36度27分42秒東経137度36分12秒﻿ / ﻿北緯36.46167度 東経137.60333度﻿ /36.46167; 137.60333座標:北緯36度27分42秒東経137度36分12秒﻿ / ﻿北緯36.46167度 東経137.60333度﻿ /36.46167; 137.60333","2,864.23m","飛騨山脈（北アルプス）","","","","","","","","","","","","","","",""
"毛勝山"," 毛勝三山 （けかちさんざん）は、 富山県 魚津市 と 黒部市 の間にある山岳群である。 飛騨山脈 立山連峰 の北に連なり、毛勝山・釜谷山・猫又山で構成。この 三山  は、 片貝川 の 源流 でもある。登山道については後述。 高山植物 や ハイマツ などの植物も多い。山麓の 雪渓 の近くには、多くの 山菜 が自生している。","https://ja.wikipedia.org/wiki/毛勝山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度42分04秒東経137度35分27秒","日本富山県魚津市、黒部市","北緯36度42分04秒東経137度35分27秒﻿ / ﻿北緯36.70111度 東経137.59083度﻿ /36.70111; 137.59083","2,414.52m","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"奥大日岳"," 奥大日岳 （おくだいにちだけ）は、 富山県 にある 山 。 飛騨山脈 立山連峰 から派生する 大日尾根 にある。標高2,611m。","https://ja.wikipedia.org/wiki/奥大日岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度35分54秒東経137度34分51秒","富山県中新川郡立山町、上市町","北緯36度35分54秒東経137度34分51秒﻿ / ﻿北緯36.59833度 東経137.58083度﻿ /36.59833; 137.58083","2,611m","飛騨山脈（大日連峰）","","","","","","","","","","","","","","",""
"有明山 (安曇野市・松川村)"," 有明山 （ありあけやま、ありあけざん）は、 飛騨山脈 （北アルプス）にある 標高 2,268 m の 山 。 常念山脈 の前衛に位置し、山体すべてが 長野県 に属する。","https://ja.wikipedia.org/wiki/有明山_(安曇野市・松川村)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度23分28秒東経137度46分14秒","日本長野県安曇野市・北安曇郡松川村","北緯36度23分28秒東経137度46分14秒﻿ / ﻿北緯36.39111度 東経137.77056度﻿ /36.39111; 137.77056座標:北緯36度23分28秒東経137度46分14秒﻿ / ﻿北緯36.39111度 東経137.77056度﻿ /36.39111; 137.77056","2,268.34m","飛騨山脈（常念山脈）","隆起（花崗岩）","宥快（1721年に開山）","","","","","","","","","","","","",""
"餓鬼岳"," 餓鬼岳 （がきだけ）は、 飛騨山脈 （北アルプス）にある 標高 2,647 m の 山 。山体すべてが 長野県 に属し、 中部山岳国立公園 内にあり、 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/餓鬼岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度26分50秒東経137度44分10秒","長野県大町市","北緯36度26分50秒東経137度44分10秒﻿ / ﻿北緯36.44722度 東経137.73611度﻿ /36.44722; 137.73611","2,647.19m","飛騨山脈（常念山脈）","","","","","","","","","","","","","","",""
"燕岳"," 燕岳 （つばくろだけ）は、 飛騨山脈 （北アルプス）にある 標高 2,763 m の 山 。山体すべてが 長野県 に属する。 日本二百名山  及び 新日本百名山  に選定されている。","https://ja.wikipedia.org/wiki/燕岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度24分24秒東経137度42分46秒","長野県大町市、安曇野市","北緯36度24分24秒東経137度42分46秒﻿ / ﻿北緯36.40667度 東経137.71278度﻿ /36.40667; 137.71278","2,762.85m","飛騨山脈（常念山脈）","","","","","","","","","","","","","","",""
"大天井岳"," 大天井岳 （おてんしょうだけ）は、 飛騨山脈 （北アルプス）にある 標高 2,922 m の 山 。 長野県 の 大町市 ・ 安曇野市 ・ 松本市 にまたがる 常念山脈 の最高峰。","https://ja.wikipedia.org/wiki/大天井岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度21分54秒東経137度42分04秒","日本長野県大町市・安曇野市・松本市","北緯36度21分54秒東経137度42分04秒﻿ / ﻿北緯36.36500度 東経137.70111度﻿ /36.36500; 137.70111座標:北緯36度21分54秒東経137度42分04秒﻿ / ﻿北緯36.36500度 東経137.70111度﻿ /36.36500; 137.70111","2,921.91m","飛騨山脈（常念山脈）","","","","","","","","","","","","","","",""
"霞沢岳"," 霞沢岳 （かすみざわだけ）は、 飛騨山脈 （北アルプス）南部に位置する 標高 は2,646 m の 山 。山体すべてが 長野県 松本市 に属する。","https://ja.wikipedia.org/wiki/霞沢岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度13分16秒東経137度38分26秒","長野県松本市","北緯36度13分16秒東経137度38分26秒﻿ / ﻿北緯36.22111度 東経137.64056度﻿ /36.22111; 137.64056座標:北緯36度13分16秒東経137度38分26秒﻿ / ﻿北緯36.22111度 東経137.64056度﻿ /36.22111; 137.64056","2,645.60m","飛騨山脈（常念山脈）","","","","","","","","","","","","","","",""
"鋸岳 (赤石山脈)"," 鋸岳 （のこぎりだけ）は 赤石山脈 （南アルプス）北端に位置する 標高 2,685 メートル の 山 。 日本二百名山 および 山梨百名山  に選定されている。山頂周辺は 南アルプス国立公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/鋸岳_(赤石山脈)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度46分44秒東経138度12分36秒","日本長野県伊那市山梨県北杜市","北緯35度46分44秒東経138度12分36秒﻿ / ﻿北緯35.77889度 東経138.21000度﻿ /35.77889; 138.21000座標:北緯35度46分44秒東経138度12分36秒﻿ / ﻿北緯35.77889度 東経138.21000度﻿ /35.77889; 138.21000","2,685m","赤石山脈","","","","","","","","","","","","","","",""
"農鳥岳"," 農鳥岳 （のうとりだけ）は 南アルプス国立公園 内の 赤石山脈 （南アルプス）にある 標高 3,026 m の 山 である。山頂は 山梨県 と 静岡県 の県境にまたがる。 日本二百名山  、 新日本百名山  、及び 山梨百名山  に選定されている。","https://ja.wikipedia.org/wiki/農鳥岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度37分16秒東経138度14分13秒","山梨県南巨摩郡早川町静岡県静岡市葵区","北緯35度37分16秒東経138度14分13秒﻿ / ﻿北緯35.62111度 東経138.23694度﻿ /35.62111; 138.23694","3,025.9m","赤石山脈","","","","","","","","","","","","","","",""
"上河内岳"," 上河内岳 （かみこうちだけ）は、 静岡市 葵区 と 長野県 飯田市 の境界に位置する 標高 2,803 m の 山 である。 赤石山脈 南部の 南アルプス国立公園 内にあり  、 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/上河内岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度23分23秒東経138度09分10秒","静岡県静岡市葵区長野県飯田市","北緯35度23分23秒東経138度09分10秒﻿ / ﻿北緯35.38972度 東経138.15278度﻿ /35.38972; 138.15278座標:北緯35度23分23秒東経138度09分10秒﻿ / ﻿北緯35.38972度 東経138.15278度﻿ /35.38972; 138.15278","2803.36m","赤石山脈（南アルプス）","褶曲隆起","","","","","","","","","","","","","",""
"池口岳"," 池口岳 （いけぐちだけ）は、 長野県 と 静岡県 にまたがる 赤石山脈 南部にある 山 である。 標高 2,392m。 日本二百名山 のひとつ。","https://ja.wikipedia.org/wiki/池口岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度19分49秒東経138度2分18秒","日本長野県飯田市静岡県榛原郡川根本町","北緯35度19分49秒東経138度2分18秒﻿ / ﻿北緯35.33028度 東経138.03833度﻿ /35.33028; 138.03833座標:北緯35度19分49秒東経138度2分18秒﻿ / ﻿北緯35.33028度 東経138.03833度﻿ /35.33028; 138.03833","2,392m","南アルプス","","","","","","","","","","","","","","",""
"大無間山"," 大無間山 （だいむげんざん）は、 静岡県 の 赤石山脈 の深南部にある 標高 2,330 m の 山   。 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/大無間山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度15分22秒東経138度9分42秒","静岡県静岡市葵区榛原郡川根本町","北緯35度15分22秒東経138度9分42秒﻿ / ﻿北緯35.25611度 東経138.16167度﻿ /35.25611; 138.16167座標:北緯35度15分22秒東経138度9分42秒﻿ / ﻿北緯35.25611度 東経138.16167度﻿ /35.25611; 138.16167","2330m","赤石山脈","","","","","","","","","","","","","","",""
"櫛形山 (山梨県)"," 櫛形山 （くしがたやま）は、 山梨県 の 赤石山脈 の「前衛峰」にあたる 山 。標高2,052m。 日本二百名山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/櫛形山_(山梨県)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度35分12秒東経138度22分9秒","山梨県南アルプス市南巨摩郡富士川町","北緯35度35分12秒東経138度22分9秒﻿ / ﻿北緯35.58667度 東経138.36917度﻿ /35.58667; 138.36917","2,052m","赤石山脈","","","","","","","","","","","","","","",""
"笊ヶ岳"," 笊ヶ岳 （ざるがたけ）は、 山梨県 と 静岡県 とにまたがる 赤石山脈 白峰南嶺 の 標高 2,629 m の 山 。 日本二百名山  及び 山梨百名山  に選定されている。","https://ja.wikipedia.org/wiki/笊ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度25分27秒東経138度15分34秒","山梨県南巨摩郡早川町静岡県静岡市葵区","北緯35度25分27秒東経138度15分34秒﻿ / ﻿北緯35.42417度 東経138.25944度﻿ /35.42417; 138.25944座標:北緯35度25分27秒東経138度15分34秒﻿ / ﻿北緯35.42417度 東経138.25944度﻿ /35.42417; 138.25944","2,628.96m","赤石山脈（白峰南嶺）","隆起","中村清太郎（1911年）","","","","","","","","","","","","",""
"七面山"," 七面山 （しちめんさん）は 山梨県 南巨摩郡 にある1,989mの 山 。 三角点 は1,982.4m  。 日本二百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/七面山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度22分14秒東経138度21分2秒","日本山梨県南巨摩郡身延町・早川町","北緯35度22分14秒東経138度21分2秒﻿ / ﻿北緯35.37056度 東経138.35056度﻿ /35.37056; 138.35056座標:北緯35度22分14秒東経138度21分2秒﻿ / ﻿北緯35.37056度 東経138.35056度﻿ /35.37056; 138.35056","1,989m","身延山地","","","","","","","","","","","","","","",""
"小秀山"," 小秀山 （こひでやま）は、 御嶽山系 の 阿寺山地 にある 標高 1,982 m の 山 。山体は 岐阜県 中津川市 と 長野県 木曽郡 王滝村 にまたがる。山頂から北側に、 御嶽山 の大きな山容を望むことができ、「 日本二百名山 」  、「 ぎふ百山 」  および 信州百名山 に選定されている。","https://ja.wikipedia.org/wiki/小秀山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度47分08秒東経137度23分49秒","日本岐阜県中津川市長野県木曽郡王滝村","北緯35度47分08秒東経137度23分49秒﻿ / ﻿北緯35.78556度 東経137.39694度﻿ /35.78556; 137.39694座標:北緯35度47分08秒東経137度23分49秒﻿ / ﻿北緯35.78556度 東経137.39694度﻿ /35.78556; 137.39694","1,981.68m","阿寺山地（御嶽山系）","","","","","","","","","","","","","","",""
"経ヶ岳 (長野県)"," 経ヶ岳 （きょうがたけ）は、 木曽山脈 （中央アルプス）の北端にある 標高 2,296 m の 山 である。山頂には 石仏 や 石塔 が祀られている。 “経”のつく山 では日本 最高峰 。  日本二百名山","https://ja.wikipedia.org/wiki/経ヶ岳_(長野県)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度54分46秒東経137度51分46秒","長野県塩尻市上伊那郡辰野町、南箕輪村","北緯35度54分46秒東経137度51分46秒﻿ / ﻿北緯35.91278度 東経137.86278度﻿ /35.91278; 137.86278","2,296.25m","木曽山脈","","","","","","","","","","","","","","",""
"南駒ヶ岳"," 南駒ヶ岳 （みなみこまがたけ）は、 長野県 の 木曽山脈 にある 標高 2,841 m の 山 。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/南駒ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度42分05秒東経137度48分39秒","日本長野県上伊那郡飯島町木曽郡大桑村","北緯35度42分05秒東経137度48分39秒﻿ / ﻿北緯35.70139度 東経137.81083度﻿ /35.70139; 137.81083座標:北緯35度42分05秒東経137度48分39秒﻿ / ﻿北緯35.70139度 東経137.81083度﻿ /35.70139; 137.81083","2,841m","木曽山脈","","","","","","","","","","","","","","",""
