"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","位置","管理運営","公式サイト","所有者","専門分野","面積","アクセス","正式名称","園長","頭数","愛称","前身","種数","来園者数","主な飼育動物","分類","事業主体"
"岡山県自然保護センター","[岡山県自然保護センター] 岡山県自然保護センター （おかやまけんしぜんほごセンター）とは、 岡山県 の 和気町 （わけちょう）に造られた 自然保護 ・自然学習施設である。","https://ja.wikipedia.org/wiki/岡山県自然保護センター","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度51分9.7秒東経134度2分59.1秒","〒709-0524岡山県和気郡和気町田賀730","","北緯34度51分9.7秒東経134度2分59.1秒﻿ / ﻿北緯34.852694度 東経134.049750度﻿ /34.852694; 134.049750座標:北緯34度51分9.7秒東経134度2分59.1秒﻿ / ﻿北緯34.852694度 東経134.049750度﻿ /34.852694; 134.049750","公益財団法人岡山県環境保全事業団（指定管理者）","","","自然","","JR熊山駅、JR和気駅からそれぞれタクシーで約30分山陽自動車道山陽IC、和気ICからそれぞれ約35分施設内：自転車不可、ペット不可","","","","","","","","","","岡山県"
"沖縄こどもの国","[沖縄こどもの国] 沖縄こどもの国 （おきなわこどものくに）は、 沖縄県 沖縄市 （敷地の一部は 北中城村 にまたがる）にある こどもの国 である。 動物園 を中心とした3つの 施設 があり、県内でも有数の 教育普及施設 である。","https://ja.wikipedia.org/wiki/沖縄こどもの国","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯26度19分40.2秒東経127度48分12.3秒","〒904-0021沖縄県沖縄市胡屋5丁目7番1号","1970年5月5日（仮開園）","北緯26度19分40.2秒東経127度48分12.3秒﻿ / ﻿北緯26.327833度 東経127.803417度﻿ /26.327833; 127.803417座標:北緯26度19分40.2秒東経127度48分12.3秒﻿ / ﻿北緯26.327833度 東経127.803417度﻿ /26.327833; 127.803417","公益財団法人沖縄こどもの国","www.okzm.jp","公益財団法人沖縄こどもの国","教育","","","公益財団法人沖縄こどもの国","","","こどもの国","財団法人沖縄こどもの国","","","","",""
"奥飛騨クマ牧場","[奥飛騨クマ牧場] 奥飛騨クマ牧場 （おくひだくまぼくじょう）は、 岐阜県 高山市 奥飛騨温泉郷 の 新平湯温泉 (旧一重ヶ根温泉)にある クマ の動物園( テーマパーク , 観光牧場 )である。","https://ja.wikipedia.org/wiki/奥飛騨クマ牧場","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度13分9.4秒東経137度32分35.3秒","〒506-1432岐阜県高山市奥飛騨温泉郷一重ヶ根2535-309","1976年8月","北緯36度13分9.4秒東経137度32分35.3秒﻿ / ﻿北緯36.219278度 東経137.543139度﻿ /36.219278; 137.543139座標:北緯36度13分9.4秒東経137度32分35.3秒﻿ / ﻿北緯36.219278度 東経137.543139度﻿ /36.219278; 137.543139","","www.nande.com/kuma/","奥飛騨熊牧場(株)","動物園(クマ牧場)","","JR高山駅から新穂高温泉行き濃飛バス70分「クマ牧場前」下車JR松本駅から濃飛バス,平湯温泉乗り換え約100分","","","80～100頭余り","","","1","","ツキノワグマ","",""
"長尾鶏センター","[長尾鶏センター] 長尾鶏センター （おながどりセンター、ちょうびけいセンター）は、 高知県 南国市 にある オナガドリ の保養施設および観光施設である。","https://ja.wikipedia.org/wiki/長尾鶏センター","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度34分2.6秒東経133度38分4.7秒","〒783-0006高知県南国市篠原48","","北緯33度34分2.6秒東経133度38分4.7秒﻿ / ﻿北緯33.567389度 東経133.634639度﻿ /33.567389; 133.634639座標:北緯33度34分2.6秒東経133度38分4.7秒﻿ / ﻿北緯33.567389度 東経133.634639度﻿ /33.567389; 133.634639","個人","","","","","とさでん交通後免線・住吉通停留場より徒歩20分、とさでん交通・篠原南バス停から徒歩2から3分JR後免駅より車で10分","","","","","","","","","",""
"おびひろ動物園","[おびひろ動物園] おびひろ動物園 （おびひろどうぶつえん）は、 北海道 帯広市 にある 動物園 。","https://ja.wikipedia.org/wiki/おびひろ動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯42度54分7.5秒東経143度11分4.7秒","〒080-0846北海道帯広市字緑ヶ丘2","1963年7月13日","北緯42度54分7.5秒東経143度11分4.7秒﻿ / ﻿北緯42.902083度 東経143.184639度﻿ /42.902083; 143.184639座標:北緯42度54分7.5秒東経143度11分4.7秒﻿ / ﻿北緯42.902083度 東経143.184639度﻿ /42.902083; 143.184639","帯広市生涯学習部動物園課","おびひろ動物園トップページ | 帯広市","帯広市","総合","","十勝バス「動物園前」バス停下車北海道拓殖バス「緑ヶ丘6丁目美術館入り口」バス停下車帯広空港（とかち帯広空港）から約25 km","帯広市動物園","柚原和敏","","","","","182,522人（2014年）","","",""
"オホーツクとっかりセンター","[オホーツクとっかりセンター] オホーツクとっかりセンター は 北海道 紋別市 海洋公園2番地にある日本で唯一の 海獣 専門保護施設。名前の「とっかり」は「 アザラシ 」を意味する アイヌ語 「トゥカラ（tukar）」に由来する北海道方言。愛称は ゴマちゃんランド 。","https://ja.wikipedia.org/wiki/オホーツクとっかりセンター","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯44度20分0.9秒東経143度22分24.7秒","北海道紋別市海洋公園2番地","","北緯44度20分0.9秒東経143度22分24.7秒﻿ / ﻿北緯44.333583度 東経143.373528度﻿ /44.333583; 143.373528座標:北緯44度20分0.9秒東経143度22分24.7秒﻿ / ﻿北緯44.333583度 東経143.373528度﻿ /44.333583; 143.373528","","","","海獣専門保護","","","","","","ゴマちゃんランド","","","","","","北海道紋別市"
"恩賜上野動物園","[恩賜上野動物園] 東京都恩賜上野動物公園 （とうきょうとおんしうえのどうぶつこうえん）は 東京都 台東区 上野公園の 上野恩賜公園 内に在る東京都立 動物園 。通称・ 上野動物園 （「恩賜」の語が略される）。","https://ja.wikipedia.org/wiki/恩賜上野動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度43分3秒東経139度46分17秒","〒110-8711東京都台東区上野公園9-83","1882年3月20日","北緯35度43分3秒東経139度46分17秒﻿ / ﻿北緯35.71750度 東経139.77139度﻿ /35.71750; 139.77139座標:北緯35度43分3秒東経139度46分17秒﻿ / ﻿北緯35.71750度 東経139.77139度﻿ /35.71750; 139.77139","東京動物園協会2011～2015年度指定管理者","東京ズーネット","東京都","総合","","表門上野駅（東日本旅客鉄道（JR東日本）・東京地下鉄（東京メトロ））京成上野駅（京成電鉄）池之端門根津駅（東京メトロ）","","福田豊","3000頭以上（2014年時点）","上野動物園","","508種（2008年3月時点）","","","",""
"鹿児島市平川動物公園","[鹿児島市平川動物公園] 鹿児島市平川動物公園 （かごしましひらかわどうぶつこうえん）は、 鹿児島県 鹿児島市 平川町 にある 日本 の 動物園 。同園には遊園地が併設されている。","https://ja.wikipedia.org/wiki/鹿児島市平川動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯31度27分51秒東経130度30分5.1秒","〒891-0133鹿児島県鹿児島市平川町5669-1","1972年10月14日","北緯31度27分51秒東経130度30分5.1秒﻿ / ﻿北緯31.46417度 東経130.501417度﻿ /31.46417; 130.501417座標:北緯31度27分51秒東経130度30分5.1秒﻿ / ﻿北緯31.46417度 東経130.501417度﻿ /31.46417; 130.501417","鹿児島市","http://hirakawazoo.jp/","鹿児島市","総合","","","","","","","鴨池動物園","","","","",""
"河北町児童動物園","[河北町児童動物園] 河北町児童動物園 （かほくちょうじどうどうぶつえん）は、 山形県 西村山郡 河北町 にある 動物園 。","https://ja.wikipedia.org/wiki/河北町児童動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒982-0801山形県西村山郡河北町谷地","","","河北町","河北町児童動物園","河北町","","","#アクセス参照","","","","児童動物園","","","","","",""
"臥竜公園","[臥竜公園] 臥竜公園 （がりゅうこうえん）は、 長野県 須坂市 臥竜 にある 総合公園 （都市公園）。 日本さくら名所100選 、日本の名松100選、長野の自然100選に選定されている。県下有数の 都市公園 で、 動物園 もある。","https://ja.wikipedia.org/wiki/臥竜公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北きつね牧場","[北きつね牧場] 北きつね牧場 （きたきつねぼくじょう）は、 北海道 北見市 留辺蘂町（旧・ 常呂郡 留辺蘂町 ）花丘地区にある キツネ 専門の 動物園 。 温根湯温泉 を代表する観光スポットの一つ。 開設は 1983年 （ 昭和 58年）で、現在は株式会社フォックスが運営している。","https://ja.wikipedia.org/wiki/北きつね牧場","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯43度45分20.8秒東経143度29分51.5秒","〒091-0157北見市留辺蘂町花丘52-1","1983年","北緯43度45分20.8秒東経143度29分51.5秒﻿ / ﻿北緯43.755778度 東経143.497639度﻿ /43.755778; 143.497639座標:北緯43度45分20.8秒東経143度29分51.5秒﻿ / ﻿北緯43.755778度 東経143.497639度﻿ /43.755778; 143.497639","株式会社フォックス","北きつね牧場","","キタキツネ","60,000m2","JR留辺蘂駅から北見バス温根湯行きで20分","北きつね牧場","","約60匹","","","","","キタキツネ","",""
"きびじつるの里","[きびじつるの里] きびじつるの里 （きびじつるのさと）とは 岡山県 総社市 にある タンチョウ 飼育施設である。","https://ja.wikipedia.org/wiki/きびじつるの里","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度40分11.6秒東経133度46分4.7秒","岡山県総社市三須1430-1","","北緯34度40分11.6秒東経133度46分4.7秒﻿ / ﻿北緯34.669889度 東経133.767972度﻿ /34.669889; 133.767972座標:北緯34度40分11.6秒東経133度46分4.7秒﻿ / ﻿北緯34.669889度 東経133.767972度﻿ /34.669889; 133.767972","総社市","","","環境学習","","岡山道岡山総社ICから約10分山陽道倉敷ICから約10分JR総社駅からタクシーで約10分","","","","","","","","","","総社市"
"キャンベルタウン野鳥の森","[キャンベルタウン野鳥の森] キャンベルタウン野鳥の森 （キャンベルタウンやちょうのもり）は、 埼玉県 越谷市 にある 動物園 である。","https://ja.wikipedia.org/wiki/キャンベルタウン野鳥の森","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度54分51.1秒東経139度48分6.8秒","〒343-0008埼玉県越谷市大吉272−1","1995年","北緯35度54分51.1秒東経139度48分6.8秒﻿ / ﻿北緯35.914194度 東経139.801889度﻿ /35.914194; 139.801889座標:北緯35度54分51.1秒東経139度48分6.8秒﻿ / ﻿北緯35.914194度 東経139.801889度﻿ /35.914194; 139.801889","公益財団法人越谷市施設管理公社","http://yacho-nomori.kosi-kanri.com/","越谷市","","","","","","","","","","","","",""
"九州自然動物公園アフリカンサファリ","[九州自然動物公園アフリカンサファリ] 九州自然動物公園アフリカンサファリ （きゅうしゅうしぜんどうつぶこうえん アフリカンサファリ）は、 大分県 宇佐市 安心院町南畑にある日本最大の サファリパーク 形式の 動物園 である。 小泉グループ の 九州アフリカ・ライオン・サファリ 株式会社が運営する。","https://ja.wikipedia.org/wiki/九州自然動物公園アフリカンサファリ","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度21分14.4秒東経131度24分41.5秒","〒872-0722大分県宇佐市安心院町南畑2-1755-1","1976年（昭和51年）5月29日","北緯33度21分14.4秒東経131度24分41.5秒﻿ / ﻿北緯33.354000度 東経131.411528度﻿ /33.354000; 131.411528座標:北緯33度21分14.4秒東経131度24分41.5秒﻿ / ﻿北緯33.354000度 東経131.411528度﻿ /33.354000; 131.411528","九州アフリカ・ライオン・サファリ株式会社","公式ウェブサイト","九州アフリカ・ライオン・サファリ株式会社","総合","約1,500.000m2","","九州自然動物公園アフリカンサファリ","神田　岳委","約1400頭","アフリカンサファリ","","約70種類","","","",""
"京都市動物園","[京都市動物園] 京都市動物園 （きょうとしどうぶつえん）は、 京都府 京都市 左京区 岡崎 にある 京都市 立の 動物園 である。正式名称ではないが「岡崎動物園」と呼ばれることもある。周囲には 平安神宮 、 南禅寺 、 ロームシアター京都 、 京都市京セラ美術館 、 京都府立図書館 がある。","https://ja.wikipedia.org/wiki/京都市動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度0分46秒東経135度47分10秒","〒606-8333京都府京都市左京区岡崎法勝寺町 岡崎公園内","1903年4月1日","北緯35度0分46秒東経135度47分10秒﻿ / ﻿北緯35.01278度 東経135.78611度﻿ /35.01278; 135.78611座標:北緯35度0分46秒東経135度47分10秒﻿ / ﻿北緯35.01278度 東経135.78611度﻿ /35.01278; 135.78611","京都市","公式ウェブサイト","京都市","総合","4.1ha","","","坂本英房（2020年）","548点（2020年）","","京都市紀念動物園","122種（2020年）","120万人（2015年度）","","",""
"桐生が岡動物園","[桐生が岡動物園] 桐生が岡公園 （きりゅうがおかこうえん）は、 群馬県 桐生市 宮本町 、 西久方町 に位置している桐生市立の 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/桐生が岡動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度25分25.4秒東経139度20分27.6秒","群馬県桐生市宮本町二、三、四丁目、西久方町二丁目","","","","桐生が岡動物園桐生が岡遊園地","","","10.80ha","","","","","","","","","","都市公園（総合公園）",""
"金華山リス村","[金華山リス村] 金華山リス村 （きんかざんリスむら）は、 岐阜県 岐阜市 の 金華山 山頂にある タイワンリス の 動物園 である。 金華山ロープウェー 「山頂駅」から 岐阜城 へ向かう途中にある施設で、ロープウェーと同じ 岐阜観光索道株式会社 が管理運営を行っている。約100 坪 のオープンゲージの中に革手袋を着けて入り、調教されたタイワンリスに間近で餌を与えることができる。 1965年 （ 昭和 40年）に開業した同施設が日本で最初のリス園。 尚、金華山にいるリスは、ここから逃げ出し野生化したものではなく、 1936年 （昭和11年）に 岐阜公園 で行われた「 躍進日本大博覧会 」の会場から逃げ出したものである。その野生化したリスを捕まえ、調教したのがこのリス村のリスである。","https://ja.wikipedia.org/wiki/金華山リス村","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度25分55.56秒東経136度46分48.03秒","岐阜県岐阜市金華山山頂","1965年（昭和40年）8月13日","北緯35度25分55.56秒東経136度46分48.03秒﻿ / ﻿北緯35.4321000度 東経136.7800083度﻿ /35.4321000; 136.7800083座標:北緯35度25分55.56秒東経136度46分48.03秒﻿ / ﻿北緯35.4321000度 東経136.7800083度﻿ /35.4321000; 136.7800083","岐阜観光索道株式会社","http://www.kinkazan.co.jp/riro.html","","タイワンリス","330m2","","金華山リス村","","約100頭","","","","","","",""
"草津熱帯圏","[草津熱帯圏] 草津熱帯圏 （くさつねったいけん）は、 群馬県 吾妻郡 草津町 にある 日本 で最も高い所にある 動物園 。日本一の 爬虫類 の飼育種である  。温泉熱利用。","https://ja.wikipedia.org/wiki/草津熱帯圏","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度37分21.4秒東経138度36分17.0秒","〒377-1711群馬県吾妻郡草津町大字草津286","1970年","北緯36度37分21.4秒東経138度36分17.0秒﻿ / ﻿北緯36.622611度 東経138.604722度﻿ /36.622611; 138.604722座標:北緯36度37分21.4秒東経138度36分17.0秒﻿ / ﻿北緯36.622611度 東経138.604722度﻿ /36.622611; 138.604722","(有)草津動植物公園","http://nettaiken.com/","","","約1万5000平方メートル","下記参照","草津熱帯圏","今井敏夫","約1,000頭","","","約120種の爬虫類を含むカピバラやラマなど約250種の動物","21万人（1992年）","爬虫類など熱帯生物、ピグミーマーモセットなど哺乳類","",""
"釧路市動物園","[釧路市動物園] 釧路市動物園 （くしろしどうぶつえん）は、 北海道 釧路市 阿寒町にある 動物園 。","https://ja.wikipedia.org/wiki/釧路市動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯43度4分52.5秒東経144度14分11.5秒","〒085－0201　北海道釧路市阿寒町下仁々志別11番","1975年10月1日","北緯43度4分52.5秒東経144度14分11.5秒﻿ / ﻿北緯43.081250度 東経144.236528度﻿ /43.081250; 144.236528座標:北緯43度4分52.5秒東経144度14分11.5秒﻿ / ﻿北緯43.081250度 東経144.236528度﻿ /43.081250; 144.236528","釧路市教育委員会　生涯学習部　釧路市動物園","","釧路市","総合","47.8ha","バスで「釧路市動物園」下車","","古賀公也","","","","","26万1,099人（1979年）","","",""
"クマ牧場","[クマ牧場] クマ牧場 （クマぼくじょう）は、 クマ を中心に展示飼養する 動物園 （ テーマパーク 、 観光牧場 ）のこと。 熊牧場 と名乗る施設もある。多くはクマに給餌して楽しむことができる。 北海道 の のぼりべつクマ牧場 が先駆けとなり、日本に広まる。野生に帰すことができないクマの保護収容施設となっている  。","https://ja.wikipedia.org/wiki/クマ牧場","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"熊本市動植物園","[熊本市動植物園] 熊本市動植物園 （くまもとしどうしょくぶつえん）は、熊本県熊本市東区健軍にある、熊本市営の 動物園 ・ 植物園 。 遊園地 を併設している。","https://ja.wikipedia.org/wiki/熊本市動植物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯32度46分28.5秒東経130度44分52.0秒","〒862-0911熊本県熊本市東区健軍5丁目14-2","1929年7月","北緯32度46分28.5秒東経130度44分52.0秒﻿ / ﻿北緯32.774583度 東経130.747778度﻿ /32.774583; 130.747778座標:北緯32度46分28.5秒東経130度44分52.0秒﻿ / ﻿北緯32.774583度 東経130.747778度﻿ /32.774583; 130.747778","熊本市","http://www.ezooko.jp/","熊本市","総合","","","","戸澤角充","","","","","","","",""
"鞍ケ池公園","[鞍ケ池公園] 鞍ケ池公園 （くらがいけこうえん）は、 愛知県 豊田市 にある 公園 で地域の憩いの場となっている。地形的には、鞍ケ池という灌漑用の池と若草山と呼ばれる丘などから構成される。園内には約1,500本の サクラ が植樹されている。","https://ja.wikipedia.org/wiki/鞍ケ池公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度5分54.62秒東経137度13分0.66秒","日本愛知県豊田市矢並町法沢714-5","","","","公式ホームページ","","","約96ha","","","","","","","","","","風致公園（特殊公園）",""
"グリーンパーク・響灘緑地","[グリーンパーク・響灘緑地] グリーンパーク・響灘緑地 （グリーンパーク・ひびきなだりょくち）は、 福岡県 北九州市 若松区 にある 都市公園 である。","https://ja.wikipedia.org/wiki/グリーンパーク・響灘緑地","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度55分5.4秒東経130度43分38秒","日本福岡県北九州市","1992年4月1日","","","http://www.hibikinadagp.org/","","","","北九州市営バス「グリーンパーク北ゲート」バス停","","","","","","","","","広域公園",""
"久留米市鳥類センター","[久留米市鳥類センター] 久留米市鳥類センター （くるめしちょうるいセンター）は、 福岡県 久留米市 東櫛原町に位置する鳥類園（ 動物園 ）である。","https://ja.wikipedia.org/wiki/久留米市鳥類センター","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度19分10秒東経130度31分41.5秒","〒830-0003福岡県久留米市東櫛原町1667 中央公園内","1954年1月1日","北緯33度19分10秒東経130度31分41.5秒﻿ / ﻿北緯33.31944度 東経130.528194度﻿ /33.31944; 130.528194座標:北緯33度19分10秒東経130度31分41.5秒﻿ / ﻿北緯33.31944度 東経130.528194度﻿ /33.31944; 130.528194","公益財団法人久留米市都市公園管理センター","公式サイト","久留米市","鳥類園（動物園）","面積30,000m2","交通参照","公益財団法人久留米市都市公園管理センター久留米市鳥類センター","光山日出子","500点（2012年12月末）","","久留米市立動物園","83種（2012年末）","154,068人（1991年）","","",""
"高知県立のいち動物公園","[高知県立のいち動物公園] 高知県立のいち動物公園 （こうちけんりつのいちどうぶつこうえん、 Noichi Zoological Park of Kochi Prefecture ）は、 高知県 香南市 （旧 香美郡 野市町 ）にある 動物園 。","https://ja.wikipedia.org/wiki/高知県立のいち動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度34分15.94秒東経133度42分20.96秒","〒781-5233高知県香南市野市町大谷738番地","1991年11月3日","北緯33度34分15.94秒東経133度42分20.96秒﻿ / ﻿北緯33.5710944度 東経133.7058222度﻿ /33.5710944; 133.7058222座標:北緯33度34分15.94秒東経133度42分20.96秒﻿ / ﻿北緯33.5710944度 東経133.7058222度﻿ /33.5710944; 133.7058222","公益財団法人高知県のいち動物公園協会","公式ウェブサイト","高知県","","約16.3ha","","高知県立のいち動物公園","多々良 成紀（たたら せいき）","","","","","171,775人","","",""
"甲府市遊亀公園附属動物園","[甲府市遊亀公園附属動物園] 甲府市遊亀公園附属動物園 （こうふしゆうきこうえんふぞくどうぶつえん）は 山梨県 甲府市 の 甲府市遊亀公園 内にある都市型の 動物園 である。","https://ja.wikipedia.org/wiki/甲府市遊亀公園附属動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度39分03.5秒 東経138度34分18.4秒","〒400-0865山梨県甲府市太田町10番1号","1919年（大正8年）8月4日","","甲府市","","甲府市","","","","甲府市遊亀公園附属動物園","","","","","","","","",""
"神戸市立王子動物園","[神戸市立王子動物園] 神戸市立王子動物園 （こうべしりつおうじどうぶつえん）は、 兵庫県 神戸市 灘区 の 王子公園 内にある 動物園 。","https://ja.wikipedia.org/wiki/神戸市立王子動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度42分36秒東経135度12分52秒","〒657-0838兵庫県神戸市灘区王子町3-1","1951年","北緯34度42分36秒東経135度12分52秒﻿ / ﻿北緯34.71000度 東経135.21444度﻿ /34.71000; 135.21444座標:北緯34度42分36秒東経135度12分52秒﻿ / ﻿北緯34.71000度 東経135.21444度﻿ /34.71000; 135.21444","","","神戸市","総合","","","","","","王子動物園","神戸市立諏訪山動物園","","","","",""
"神戸どうぶつ王国","[神戸どうぶつ王国] 神戸どうぶつ王国 （こうべどうぶつおうこく）は、 兵庫県 神戸市 中央区 の ポートアイランド にある 動植物園 である。 花 と 鳥 を中心に多数の展示植物が配置された 温室 などで数多くの鳥が放し飼いになっている。2014年のリニューアル以降は展示動物の種類が大幅に増え、その多くと直接触れあったり餌を与えたりすることができる。","https://ja.wikipedia.org/wiki/神戸どうぶつ王国","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度39分15秒東経135度13分23秒","〒650-0047神戸市中央区港島南町7-1-9","2006年3月15日","北緯34度39分15秒東経135度13分23秒﻿ / ﻿北緯34.65417度 東経135.22306度﻿ /34.65417; 135.22306座標:北緯34度39分15秒東経135度13分23秒﻿ / ﻿北緯34.65417度 東経135.22306度﻿ /34.65417; 135.22306","神戸どうぶつ王国","神戸どうぶつ王国","","","約20,000 m2","","","","","","","","","","","神戸どうぶつ王国"
"五桂池ふるさと村","[五桂池ふるさと村] 五桂池ふるさと村 （ごかつらいけふるさとむら）は、 三重県 多気郡 多気町 五桂  にある 農業公園 である。","https://ja.wikipedia.org/wiki/五桂池ふるさと村","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度28分0.0秒東経136度33分16.4秒","日本三重県多気郡多気町","1984年（昭和59年）","","","公式サイト","","","","","","","","","","","","","農業観光施設",""
"こもれび森のイバライド","[こもれび森のイバライド] こもれび森のイバライド （こもれびもりのイバライド）は、 茨城県 稲敷市 上君山2060-1にある「 株式会社ファーム 」が経営する テーマパーク である。旧名称は 江戸崎農業公園ポティロンの森 （えどさきのうぎょうこうえんポティロンのもり）。","https://ja.wikipedia.org/wiki/こもれび森のイバライド","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度56分25.5秒 東経140度16分10.9秒","","","","","","","","","","","","","","","","","","",""
"小諸市動物園","[小諸市動物園] 小諸市動物園 （こもろしどうぶつえん）は、 長野県 小諸市 にある 市立 の 動物園 である。","https://ja.wikipedia.org/wiki/小諸市動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度19分35.72秒東経138度25分8.94秒","〒384-0804長野県小諸市丁311","1926年","北緯36度19分35.72秒東経138度25分8.94秒﻿ / ﻿北緯36.3265889度 東経138.4191500度﻿ /36.3265889; 138.4191500座標:北緯36度19分35.72秒東経138度25分8.94秒﻿ / ﻿北緯36.3265889度 東経138.4191500度﻿ /36.3265889; 138.4191500","小諸市懐古園事務所","小諸市動物園公式ページ","小諸市","総合","","小諸駅下車、徒歩３分","","","","","","","","","",""
"西海国立公園九十九島動植物園","[西海国立公園九十九島動植物園] 西海国立公園九十九島動植物園 （さいかいこくりつこうえんくじゅうくしまどうしょくぶつえん）は、 長崎県 佐世保市 にある市営の 動物園 ・ 植物園 である  。以前は近くにある山・ 石岳 （197m）から 石岳動植物園 という愛称で親しまれていた。","https://ja.wikipedia.org/wiki/西海国立公園九十九島動植物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度9分4.4秒東経129度41分22.2秒","〒857-1231長崎県佐世保市船越町2172番地","1961年（昭和36年）5月25日","北緯33度9分4.4秒東経129度41分22.2秒﻿ / ﻿北緯33.151222度 東経129.689500度﻿ /33.151222; 129.689500","","西海国立公園九十九島動植物園","","","","","","","","森きらら","佐世保市亜熱帯動植物園","","","","",""
"埼玉県公園緑地協会","[埼玉県公園緑地協会] 公益財団法人埼玉県公園緑地協会 （さいたまけんこうえんりょくちきょうかい）は、日本の 公益財団法人 で、 埼玉県 都市整備部公園スタジアム課所管。埼玉県が基本財産の50%を出資している  。","https://ja.wikipedia.org/wiki/埼玉県公園緑地協会","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","日本埼玉県さいたま市大宮区高鼻町4-130","","","","","","","","","","","","","","","","","",""
"埼玉県こども動物自然公園","[埼玉県こども動物自然公園] 開園は 1980年 （昭和55年） 5月5日 。 岩殿丘陵 に広がる46 ヘクタール におよぶ巨大な敷地を利用して、一部の動物は放し飼いにされており、動物は200種を越え、1600点余りが飼育されている埼玉県内最大の動物園である  。中でも オーストラリア 以外の動物園での展示が世界唯一（2020年現在）となる クアッカワラビー（クオッカ） 、日本国内では7カ所の動物園にしかいない コアラ 、世界最大級の フンボルトペンギン 生態園・ペンギンヒルズ、冬場における カピバラ の 露天風呂 で知られている。","https://ja.wikipedia.org/wiki/埼玉県こども動物自然公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度59分53秒東経139度22分26秒","〒355-0065埼玉県東松山市岩殿554番地","1980年5月5日","北緯35度59分53秒東経139度22分26秒﻿ / ﻿北緯35.99806度 東経139.37389度﻿ /35.99806; 139.37389座標:北緯35度59分53秒東経139度22分26秒﻿ / ﻿北緯35.99806度 東経139.37389度﻿ /35.99806; 139.37389","公益財団法人埼玉県公園緑地協会","","埼玉県","総合","","","","","","","","","","","",""
