"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","タイプ","分野","使用言語","閲覧","登録","ライセンス","運営元","設立","設立者","分類","面積","開園"
"道の駅みょうぎ","みょうぎ富岡市県道196号上小坂四ッ家妙義線群馬-14 ","https://ja.wikipedia.org/wiki/道の駅みょうぎ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度17分59秒東経138度45分57秒","〒379-0201群馬県富岡市妙義町岳322-7","群馬県道196号","第16回（10014）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅万葉の里","まんばのさと万葉の里（まんばのさと）多野郡神流町国道462号群馬-15 ","https://ja.wikipedia.org/wiki/道の駅万葉の里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度06分33秒東経138度53分52秒","〒370-1506群馬県多野郡神流町大字黒田742-1","国道462号","第16回（10015）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ","不明","10:00 - 17:00","","","","","","","","","","","",""
"道の駅しもにた","しもにた甘楽郡下仁田町国道254号群馬-16 ","https://ja.wikipedia.org/wiki/道の駅しもにた","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度13分25秒東経138度48分07秒","〒370-2603群馬県甘楽郡下仁田町大字馬山3766-11","国道254号","第19回（10016）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年12月6日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅富弘美術館","とみひろびじゅつかん富弘美術館（とみひろびじゅつかん）みどり市国道122号群馬-17 ","https://ja.wikipedia.org/wiki/道の駅富弘美術館","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度33分13秒東経139度22分23秒","〒376-0302群馬県みどり市東町草木86","国道122号","第21回（10017）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅たくみの里","たくみの里（たくみのさと）利根郡みなかみ町県道53号中之条湯河原線群馬-18 ","https://ja.wikipedia.org/wiki/道の駅たくみの里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度41分46秒東経138度54分30秒","〒379-1418群馬県利根郡みなかみ町須川847","群馬県道53号","第21回（10018）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅霊山たけやま","れいざんたけやま霊山たけやま（れいざんたけやま）吾妻郡中之条町県道53号中之条湯河原線群馬-19 ","https://ja.wikipedia.org/wiki/道の駅霊山たけやま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分33秒東経138度49分49秒","〒377-0432群馬県吾妻郡中之条町大字五反田222-1","群馬県道53号","第28回（10019）","2008年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2008年8月11日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅よしおか温泉","よしおか温泉（よしおかおんせん）北群馬郡吉岡町国道17号前橋渋川バイパス町道温泉通線群馬-20 ","https://ja.wikipedia.org/wiki/道の駅よしおか温泉","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度26分28秒東経139度02分05秒","〒344-0121群馬県北群馬郡吉岡町大字漆原2004番地","国道17号","第33回（10020）","2010年3月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2010年3月28日","8:30 - 17:00","","","","","","","","","","","",""
"道の駅赤城の恵","あかぎのめぐみ赤城の恵（あかぎのめぐみ）前橋市県道34号渋川大胡線群馬-21 ","https://ja.wikipedia.org/wiki/道の駅赤城の恵","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度25分26秒東経139度07分43秒","〒371-0001群馬県前橋市荻窪町437-11","群馬県道34号","第34回（10021）","2010年8月9日","国土交通省案内ページ全国道の駅連絡会ページ","2011年3月27日","あいのやまの湯 10:00 - 21:00味菜 9:00 - 18:00","","","","","","","","","","","",""
"道の駅甘楽","かんら甘楽（かんら）甘楽郡甘楽町県道46号富岡神流線群馬-22 ","https://ja.wikipedia.org/wiki/道の駅甘楽","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度14分01秒東経138度55分00秒","〒370-2202群馬県甘楽郡甘楽町大字小幡444-1","群馬県道46号","第35回（10022）","2011年3月3日","国土交通省案内ページ全国道の駅連絡会ページ","2011年3月29日","特産品売店9:00 - 19:009:00 - 18:00（10月-2月）","","","","","","","","","","","",""
"道の駅あぐりーむ昭和","あぐりーむ昭和（あぐりーむしょうわ）利根郡昭和村県道65号昭和インター線村道森下赤城原線群馬-23関越自動車道昭和ICに隣接","https://ja.wikipedia.org/wiki/道の駅あぐりーむ昭和","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分46秒東経139度04分08秒","〒379-1204群馬県利根郡昭和村大字森下2406-2","群馬県道65号昭和インター線村道森下赤城原線","第35回（10023）","2011年3月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2011年7月30日","","","","","","","","","","","","",""
"道の駅オアシスなんもく","おあしすなんもくオアシスなんもく甘楽郡南牧村県道45号下仁田上野線群馬-24 ","https://ja.wikipedia.org/wiki/道の駅オアシスなんもく","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度10分42秒東経138度44分30秒","〒370-2803群馬県甘楽郡南牧村大字千原3-1","群馬県道45号","第35回（10024）","2011年3月5日","国土交通省案内ページ全国道の駅連絡会ページ","2011年5月5日","10:00 - 18:00（12月-2月は17時まで）","","","","","","","","","","","",""
"道の駅ふじみ","ふじみ前橋市国道353号群馬-25 ","https://ja.wikipedia.org/wiki/道の駅ふじみ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度28分10秒東経139度05分40秒","〒371-0105群馬県前橋市富士見町石井1569-1","国道353号","第35回（10025）","2011年3月3日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2011年7月24日","ふれあい館10:00 - 21:00風ラインふじみ9:00 - 18:009:00 - 17:00（10月-2月）","","","","","","","","","","","",""
"道の駅おおた","おおた太田市国道17号上武道路群馬-26 ","https://ja.wikipedia.org/wiki/道の駅おおた","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度15分53秒東経139度17分47秒","〒370-0421群馬県太田市粕川町701-1","国道17号","第36回（10026）","2011年8月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2012年3月30日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅八ッ場ふるさと館","やんばふるさとかん八ッ場ふるさと館（やんばふるさとかん）吾妻郡長野原町国道145号群馬-27","https://ja.wikipedia.org/wiki/道の駅八ッ場ふるさと館","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度32分51秒東経138度41分03秒","〒379-1309群馬県吾妻郡長野原町大字林1567-4","国道145号","第39回（10027）","2013年3月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2013年4月27日","","","","","","","","","","","","",""
"道の駅中山盆地","なかやまぼんち中山盆地（なかやまぼんち）吾妻郡高山村県道36号渋川下新田線群馬-28高山温泉ふれあいプラザに併設","https://ja.wikipedia.org/wiki/道の駅中山盆地","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度37分21秒東経138度57分16秒","〒377-0702群馬県吾妻郡高山村大字中山2357-1","群馬県道36号","第40回（10028）","2013年10月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月20日","10:00-21:00","","","","","","","","","","","",""
"道の駅くらぶち小栗の里","くらぶち小栗の里（くらぶちおぐりのさと）高崎市国道406号群馬-29 ","https://ja.wikipedia.org/wiki/道の駅くらぶち小栗の里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度25分28秒東経138度47分35秒","〒370-3402群馬県高崎市倉渕町三ノ倉296番地1[1]","国道406号","第41回（10029）","2014年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月26日[2][3]","9:00-19:00","","","","","","","","","","","",""
"道の駅あがつま峡","あがつま峡（あがつまきょう）吾妻郡東吾妻町町道5284号線群馬-30 ","https://ja.wikipedia.org/wiki/道の駅あがつま峡","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度34分13秒東経138度44分08秒","〒377-0813群馬県吾妻郡東吾妻町大字三島6441番地","東吾妻町道5284号線","第42回（10030）","2014年10月10日[1][2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年10月11日","9:00 - 18:00（4月 - 6月）9:00 - 19:00（7月 - 8月）9:00 - 17:00（12月 - 3月）","","","","","","","","","","","",""
"道の駅玉村宿","たまむらじゅく玉村宿（たまむらじゅく）佐波郡玉村町国道354号群馬-31 ","https://ja.wikipedia.org/wiki/道の駅玉村宿","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度18分30秒東経139度05分42秒","〒370-1133群馬県佐波郡玉村町大字上新田604-1","国道354号","第43回（10031）","2015年4月15日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年5月31日[2][3]","9:30 - 20:30","","","","","","","","","","","",""
"道の駅尾瀬かたしな","おぜかたしな尾瀬かたしな（おぜかたしな）利根郡片品村国道120号群馬-32 ","https://ja.wikipedia.org/wiki/道の駅尾瀬かたしな","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度46分19.8秒東経139度13分33.6秒","〒378-0415群馬県利根郡片品村大字鎌田3967-1","国道120号","第48回（10032）","2017年11月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年7月21日[1][2]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅あらかわ","あらかわ秩父市国道140号埼玉-01旧名称「荒川村」","https://ja.wikipedia.org/wiki/道の駅あらかわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度57分16秒東経139度00分46秒","〒369-1803埼玉県秩父市荒川日野538-1","国道140号","第1回（11001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:30 - 17:00（3月 - 11月）9:00 - 16:00（12月 - 2月）","","","","","","","","","","","",""
"道の駅おがわまち","おがわまち比企郡小川町国道254号埼玉-02 ","https://ja.wikipedia.org/wiki/道の駅おがわまち","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度03分09秒東経139度16分51秒","〒355-0321埼玉県比企郡小川町大字小川1220","国道254号","第1回（11002）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:30 - 17:00","","","","","","","","","","","",""
"道の駅川口・あんぎょう","かわぐちあんぎょう川口・あんぎょう（かわぐちあんぎょう）川口市国道298号埼玉-03 ","https://ja.wikipedia.org/wiki/道の駅川口・あんぎょう","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度50分53秒東経139度45分57秒","〒334-0058埼玉県川口市大字安行領家844-2","国道298号","第4回（11003）","1994年3月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅大滝温泉","おおたきおんせん大滝温泉（おおたきおんせん）秩父市国道140号埼玉-04 ","https://ja.wikipedia.org/wiki/道の駅大滝温泉","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度57分01秒東経138度56分17秒","〒369-1901埼玉県秩父市大滝4277-2","国道140号","第9回（11004）","1995年8月3日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 18:00（4月 - 11月）9:00 - 17:00（12月 - 3月）","","","","","","","","","","","",""
"道の駅おかべ","おかべ深谷市国道17号埼玉-05 ","https://ja.wikipedia.org/wiki/道の駅おかべ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度13分07秒東経139度14分29秒","〒369-0201埼玉県深谷市岡688-1","国道17号","第10回（11005）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","7:00 - 20:00","","","","","","","","","","","",""
"道の駅龍勢会館","りゅうせいかいかん龍勢会館（りゅうせいかいかん）秩父市県道37号皆野両神荒川線埼玉-06 ","https://ja.wikipedia.org/wiki/道の駅龍勢会館","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度02分57秒東経139度02分24秒","〒369-1501埼玉県秩父市吉田久長32","埼玉県道37号","第14回（11006）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1992年7月20日","9:00 - 16:30","","","","","","","","","","","",""
"道の駅童謡のふる里おおとね","どうようのふるさとおおとね童謡のふる里おおとね（どうようのふるさとおおとね）加須市県道46号加須北川辺線埼玉-07 ","https://ja.wikipedia.org/wiki/道の駅童謡のふる里おおとね","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度10分13秒東経139度38分43秒","〒349-1151埼玉県加須市佐波258-1","埼玉県道46号","第14回（11007）","1997年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:30 - 18:00（5月 - 8月）9:30 - 17:30（9月 - 4月）","","","","","","","","","","","",""
"道の駅はなぞの","はなぞの深谷市国道140号埼玉-08 ","https://ja.wikipedia.org/wiki/道の駅はなぞの","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度07分19秒東経139度13分38秒","〒369-1246埼玉県深谷市小前田458-1","国道140号","第14回（11008）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 19:00","","","","","","","","","","","",""
"道の駅両神温泉薬師の湯","りょうかみおんせんやくしのゆ両神温泉薬師の湯（りょうかみおんせんやくしのゆ）秩父郡小鹿野町県道37号皆野両神荒川線埼玉-09 ","https://ja.wikipedia.org/wiki/道の駅両神温泉薬師の湯","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度00分17秒東経138度58分16秒","〒368-0201埼玉県秩父郡小鹿野町両神薄2380番地","埼玉県道37号","第15回（11009）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 20:00","","","","","","","","","","","",""
"道の駅かわもと","かわもと深谷市国道140号埼玉-10 ","https://ja.wikipedia.org/wiki/道の駅かわもと","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度09分06秒東経139度17分21秒","〒369-1101埼玉県深谷市長在家1279番地2","国道140号","第16回（11010）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00（4月 - 9月）9:00 - 17:00（10月 - 3月）","","","","","","","","","","","",""
"道の駅めぬま","めぬま熊谷市国道407号埼玉-11 ","https://ja.wikipedia.org/wiki/道の駅めぬま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度12分52秒東経139度22分10秒","〒360-0203埼玉県熊谷市弥藤吾720","国道407号","第16回（11011）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 18:00","","","","","","","","","","","",""
"道の駅ちちぶ","ちちぶ秩父市国道140号埼玉-12 ","https://ja.wikipedia.org/wiki/道の駅ちちぶ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度59分51秒東経139度05分22秒","〒368-0023埼玉県秩父市大宮4625番地","国道140号","第17回（11012）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年7月19日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅アグリパークゆめすぎと","あぐりぱーくゆめすぎとアグリパークゆめすぎと北葛飾郡杉戸町埼葛広域農道埼玉-13 ","https://ja.wikipedia.org/wiki/道の駅アグリパークゆめすぎと","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度01分29秒東経139度46分08秒","〒345-0014埼玉県北葛飾郡杉戸町才羽823-2","埼葛広域農道","第18回（11013）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年4月28日","9:00-18:00","","","","","","","","","","","",""
"道の駅果樹公園 あしがくぼ","かじゅこうえんあしがくぼ果樹公園あしがくぼ（かじゅこうえんあしがくぼ）秩父郡横瀬町国道299号埼玉-14 ","https://ja.wikipedia.org/wiki/道の駅果樹公園_あしがくぼ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度58分37秒東経139度08分08秒","〒368-0071埼玉県秩父郡横瀬町大字芦ヶ久保1915-6","国道299号","第19回（11014）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ","2004年3月14日","8:30 - 18:00","","","","","","","","","","","",""
"道の駅いちごの里 よしみ","いちごの里よしみ（いちごのさとよしみ）比企郡吉見町県道27号東松山鴻巣線埼玉-15 ","https://ja.wikipedia.org/wiki/道の駅いちごの里_よしみ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度02分13秒東経139度27分27秒","〒355-0137埼玉県比企郡吉見町大字久保田1737番地","埼玉県道27号","第20回（11015）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年2月","9:00 -18:00（3-10月）9:00 - 17:00（11-2月）","","","","","","","","","","","",""
"道の駅きたかわべ","きたかわべ加須市県道9号佐野古河線埼玉-16 ","https://ja.wikipedia.org/wiki/道の駅きたかわべ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度12分41秒東経139度39分44秒","〒349-1202埼玉県加須市小野袋1737","埼玉県道9号佐野古河線","第20回（11016）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年11月11日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅庄和","しょうわ庄和（しょうわ）春日部市国道4号春日部古河バイパス埼玉-17 ","https://ja.wikipedia.org/wiki/道の駅庄和","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度59分48秒東経139度47分41秒","〒344-0121埼玉県春日部市上柳995番地","国道4号","第20回（11017）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年3月","8:00 - 20:00（4月 - 9月）8:00 - 19:00（10月 - 3月）[1]","","","","","","","","","","","",""
"道の駅はにゅう","はにゅう羽生市国道122号埼玉-18 ","https://ja.wikipedia.org/wiki/道の駅はにゅう","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度11分19秒東経139度30分39秒","〒348-0041埼玉県羽生市大字上新郷7066","国道122号","第24回（11018）","2007年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年8月10日","9:00 - 22:00","","","","","","","","","","","",""
"道の駅みなの","みなの秩父郡皆野町県道348号下戦場塩貝戸線埼玉-19 ","https://ja.wikipedia.org/wiki/道の駅みなの","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度04分37秒東経139度06分35秒","〒369-1412埼玉県秩父郡皆野町大字皆野3236-35","埼玉県道348号","第38回（11019）","2012年9月14日","国土交通省案内ページ全国道の駅連絡会ページ","2012年10月7日","9:00-17:30","","","","","","","","","","","",""
"道の駅和紙の里ひがしちちぶ","わしのさとひがしちちぶ和紙の里ひがしちちぶ（わしのさとひがしちちぶ）秩父郡東秩父村村道1-1号線埼玉-20 ","https://ja.wikipedia.org/wiki/道の駅和紙の里ひがしちちぶ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度03分08秒東経139度12分12秒","〒355-0375埼玉県秩父郡東秩父村大字御堂441","東秩父村道1-1号線","第46回（11020）","2016年10月7日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年10月30日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅とみうら","とみうら南房総市国道127号千葉-01 ","https://ja.wikipedia.org/wiki/道の駅とみうら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度02分16秒東経139度50分14秒","〒299-2416千葉県南房総市富浦町青木123番地1","国道127号","第1回（12001）","1993年4月22日[2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1993年11月27日[3]","10:00 - 18:00","","","","","","","","","","","",""
"道の駅三芳村","みよしむら三芳村（みよしむら）南房総市県道88号富津館山線千葉-02 ","https://ja.wikipedia.org/wiki/道の駅三芳村","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度02分03秒東経139度53分41秒","〒294-0814千葉県南房総市川田82-2","千葉県道88号","第2回（12002）","1993年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00（3-9月：9:00 - 18:00）","","","","","","","","","","","",""
"道の駅やちよ","やちよ八千代市国道16号千葉-03 ","https://ja.wikipedia.org/wiki/道の駅やちよ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度45分29秒東経140度06分24秒","〒276-0015千葉県八千代市米本4905-1","国道16号","第10回（12003）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年","9:00 - 19:00","","","","","","","","","","","",""
"道の駅きょなん","きょなん安房郡鋸南町国道127号千葉-04 ","https://ja.wikipedia.org/wiki/道の駅きょなん","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度07分41秒東経139度50分13秒","〒299-1908千葉県安房郡鋸南町吉浜516-1","国道127号","第11回（12004）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅鴨川オーシャンパーク","かもがわオーシャンパーク鴨川オーシャンパーク（かもがわオーシャンパーク）鴨川市国道128号千葉-05 ","https://ja.wikipedia.org/wiki/道の駅鴨川オーシャンパーク","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度03分50秒東経140度04分38秒","〒299-2865千葉県鴨川市江見太夫崎22","国道128号","第12回（12005）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00（2月 - 10月）9:00 - 17:00（11月 - 1月）","","","","","","","","","","","",""
"道の駅ローズマリー公園","ろーずまりーこうえんローズマリー公園（ローズマリーこうえん）南房総市県道297号和田丸山線千葉-06旧名称「ローズマリー公園・丸山町」","https://ja.wikipedia.org/wiki/道の駅ローズマリー公園","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度00分31秒東経139度58分30秒","〒299-2521千葉県南房総市白子1501","千葉県道297号","第14回（12006）","1998年4月17日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1991年9月22日（ローズマリー公園開園）[2]","9:00 - 17:00","","","","","","","","","","","",""
"道の駅ふれあいパーク・きみつ","ふれあいパーク・きみつ君津市県道24号千葉鴨川線千葉-07 ","https://ja.wikipedia.org/wiki/道の駅ふれあいパーク・きみつ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度11分55秒東経140度04分10秒","〒292-0526千葉県君津市笹字椿1766-3","千葉県道24号","第15回（12007）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","","9:00 - 18:00（4-9月）9:00 - 17:30（10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"道の駅しょうなん","しょうなん柏市県道8号船橋我孫子線千葉-08 ","https://ja.wikipedia.org/wiki/道の駅しょうなん","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度51分28秒東経140度01分24秒","〒277-0911千葉県柏市箕輪新田59-2","千葉県道8号","第16回（12008）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年4月20日","9:00 - 19:00（4月 - 9月）9:30 -18:00（10月 - 3月）","","","","","","","","","","","",""
"道の駅たけゆらの里おおたき","たけゆらの里おおたき（たけゆらのさとおおたき）夷隅郡大多喜町国道297号千葉-09 ","https://ja.wikipedia.org/wiki/道の駅たけゆらの里おおたき","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度15分17秒東経140度15分31秒","〒298-0256千葉県夷隅郡大多喜町石神870-5","国道297号","第16回（12009）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年8月20日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅多古","たこ多古（たこ）香取郡多古町国道296号千葉-10 ","https://ja.wikipedia.org/wiki/道の駅多古","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度43分53秒東経140度28分31秒","〒289-2241千葉県香取郡多古町多古1069-1","国道296号","第17回（12010）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 19:00（4月 - 8月）9:00 - 18:00（9月 - 3月）","","","","","","","","","","","",""
"道の駅あずの里いちはら","あずの里いちはら（あずのさといちはら）市原市市道13号線千葉-11 ","https://ja.wikipedia.org/wiki/道の駅あずの里いちはら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度27分50秒東経140度06分35秒","〒290-0251千葉県市原市浅井小向492-1","市原市道13号","第18回（12011）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年11月1日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅くりもと","くりもと香取市県道44号成田小見川鹿島港線千葉-12 ","https://ja.wikipedia.org/wiki/道の駅くりもと","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度48分21秒東経140度28分12秒","〒287-0105千葉県香取市沢1372-1","千葉県道44号成田小見川鹿島港線","第18回（12012）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年8月10日[1]","9:00 - 19:00（4月 - 9月）9:00 - 18:00（10月 - 3月）","","","","","","","","","","","",""
