"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","主祭神","位置","社格,等","例祭","創建","本殿の,様式","地図","主な神事","別名","札所等","神体","法人番号","国","地方","面積","総人口","人口密度","外部リンク"
"賀茂別雷神社","[上賀茂神社：⇒賀茂別雷神社] 賀茂別雷神社 （かもわけいかづちじんじゃ）は、 京都市 北区 にある 神社 。通称は 上賀茂神社 （かみがもじんじゃ）。 式内社 （ 名神大社 ）、 山城国 一宮 、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/賀茂別雷神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度3分37秒東経135度45分10秒","京都府京都市北区上賀茂本山339","賀茂別雷大神","北緯35度3分37秒東経135度45分10秒﻿ / ﻿北緯35.06028度 東経135.75278度﻿ /35.06028; 135.75278﻿ (賀茂別雷神社)座標:北緯35度3分37秒東経135度45分10秒﻿ / ﻿北緯35.06028度 東経135.75278度﻿ /35.06028; 135.75278﻿ (賀茂別雷神社)","式内社（名神大）山城国一宮二十二社（上七社）旧官幣大社勅祭社別表神社","5月15日（賀茂祭、葵祭）","（伝）天武天皇7年（678年）","三間社流造","","武射神事（1月16日）競馬会神事（5月5日）御阿礼神事（5月12日）烏相撲（9月9日）","","神仏霊場巡拝の道第102番（京都第22番）","神山（神体山）","","","","","","",""
"上川神社","[上川神社（北海道）] 上川神社 （かみかわじんじゃ）は、 北海道 旭川市 にある 神社 。 旧社格 は県社。","https://ja.wikipedia.org/wiki/上川神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯43度45分8.72秒東経142度21分53.02秒","北海道旭川市神楽岡公園2-1","天照大神大己貴大神少彦名大神岩村通俊命他九柱","北緯43度45分8.72秒東経142度21分53.02秒﻿ / ﻿北緯43.7524222度 東経142.3647278度﻿ /43.7524222; 142.3647278","県社・別表神社","7月21日","明治26年（1893年）","神明造","","火鑽神事（1月7日）","","","","","","","","","",""
"上許曾神社","[上許曾神社（滋賀県長浜市）] 上許曾神社 （かみこそじんじゃ）は、 滋賀県 長浜市 に鎮座する 神社 である。","https://ja.wikipedia.org/wiki/上許曾神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度28分27.1秒東経136度19分02.1秒","滋賀県長浜市高山町2","草野姫命","北緯35度28分27.1秒東経136度19分02.1秒﻿ / ﻿北緯35.474194度 東経136.317250度﻿ /35.474194; 136.317250座標:北緯35度28分27.1秒東経136度19分02.1秒﻿ / ﻿北緯35.474194度 東経136.317250度﻿ /35.474194; 136.317250","式内社（小）旧郷社","4月10日","延暦8年（789年）","入母屋造","","","","","","","","","","","",""
"賀茂別雷神社","[本社：賀茂別雷神社] 賀茂別雷神社 （かもわけいかづちじんじゃ）は、 京都市 北区 にある 神社 。通称は 上賀茂神社 （かみがもじんじゃ）。 式内社 （ 名神大社 ）、 山城国 一宮 、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/賀茂別雷神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度3分37秒東経135度45分10秒","京都府京都市北区上賀茂本山339","賀茂別雷大神","北緯35度3分37秒東経135度45分10秒﻿ / ﻿北緯35.06028度 東経135.75278度﻿ /35.06028; 135.75278﻿ (賀茂別雷神社)座標:北緯35度3分37秒東経135度45分10秒﻿ / ﻿北緯35.06028度 東経135.75278度﻿ /35.06028; 135.75278﻿ (賀茂別雷神社)","式内社（名神大）山城国一宮二十二社（上七社）旧官幣大社勅祭社別表神社","5月15日（賀茂祭、葵祭）","（伝）天武天皇7年（678年）","三間社流造","","武射神事（1月16日）競馬会神事（5月5日）御阿礼神事（5月12日）烏相撲（9月9日）","","神仏霊場巡拝の道第102番（京都第22番）","神山（神体山）","","","","","","",""
"賀茂御祖神社","[本社：賀茂御祖神社加茂神社（富山県射水市）] 賀茂御祖神社 （かもみおやじんじゃ）は、 京都市 左京区 にある 神社 。通称は 下鴨神社 （しもがもじんじゃ）。 式内社 （ 名神大社 ）、 山城国 一宮 、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/賀茂御祖神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度2分20秒東経135度46分21秒","京都府京都市左京区下鴨泉川町59","玉依姫命賀茂建角身命","北緯35度2分20秒東経135度46分21秒﻿ / ﻿北緯35.03889度 東経135.77250度﻿ /35.03889; 135.77250﻿ (賀茂御祖神社)座標:北緯35度2分20秒東経135度46分21秒﻿ / ﻿北緯35.03889度 東経135.77250度﻿ /35.03889; 135.77250﻿ (賀茂御祖神社)","式内社（名神大）山城国一宮二十二社（上七社）旧官幣大社勅祭社別表神社","5月15日（賀茂祭、葵祭）","不詳（崇神天皇7年頃?）","流造","","","","神仏霊場巡拝の道第101番（京都第21番）","","","","","","","",""
"神魂神社","[神魂神社（島根県松江市）] 神魂神社 （かもすじんじゃ）は、 島根県 松江市 大庭町にある 神社 である。旧 社格 は 県社 で、 意宇六社 の一社。本殿は現存する日本最古の 大社造り で 国宝 。","https://ja.wikipedia.org/wiki/神魂神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度25分31.9秒東経133度5分3.5秒","島根県松江市大庭町563","伊弉冊大神伊弉諾大神","北緯35度25分31.9秒東経133度5分3.5秒﻿ / ﻿北緯35.425528度 東経133.084306度﻿ /35.425528; 133.084306﻿ (神魂神社)座標:北緯35度25分31.9秒東経133度5分3.5秒﻿ / ﻿北緯35.425528度 東経133.084306度﻿ /35.425528; 133.084306﻿ (神魂神社)","旧県社","10月18日","平安時代","大社造","","神火相続、祈念祭、神在祭、新嘗祭、お釜神事","","","","","","","","","",""
"金持神社","[金持神社（鳥取県日野町）；（かもち）] 金持神社 （かもちじんじゃ）は、 鳥取県 日野郡 日野町 金持（かもち）にある 神社 。 旧社格 は村社。","https://ja.wikipedia.org/wiki/金持神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","鳥取県日野郡日野町金持","天之常立神、八束水臣津野命、淤美豆奴神","","村社","4月25日・7月25日・10月25日・12月31日～1月3日","810年","","","","","","","","","","","","",""
"辛国神社","[辛国神社（大阪府藤井寺市）] 辛国神社 （からくにじんじゃ）は、 大阪府 藤井寺市 にある 神社 。 式内社 で、 旧社格 は 村社 。","https://ja.wikipedia.org/wiki/辛国神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度34分9秒東経135度35分37秒","大阪府藤井寺市藤井寺1丁目19-14","饒速日命天児屋根命素盞鳴命","北緯34度34分9秒東経135度35分37秒﻿ / ﻿北緯34.56917度 東経135.59361度﻿ /34.56917; 135.59361﻿ (辛国神社)座標:北緯34度34分9秒東経135度35分37秒﻿ / ﻿北緯34.56917度 東経135.59361度﻿ /34.56917; 135.59361﻿ (辛国神社)","式内社（小）旧村社","夏祭（7月17日）御例祭（10月17日）","雄略天皇時代","三間社流造","辛国神社","","","","","","","","","","",""
"唐崎神社","[唐崎神社（滋賀県大津市）] 唐崎神社 （からさきじんじゃ）は、 滋賀県 大津市 にある 神社 。 日吉大社 の 摂社 の一つである。 琵琶湖 西岸に位置し、境内は滋賀県指定名勝に指定されている。","https://ja.wikipedia.org/wiki/唐崎神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度02分50.6秒東経135度52分27.3秒","滋賀県大津市唐崎1-7-1","女別当命","北緯35度02分50.6秒東経135度52分27.3秒﻿ / ﻿北緯35.047389度 東経135.874250度﻿ /35.047389; 135.874250座標:北緯35度02分50.6秒東経135度52分27.3秒﻿ / ﻿北緯35.047389度 東経135.874250度﻿ /35.047389; 135.874250","日吉大社摂社","春季大祭（4月28日）・秋季大祭（10月28日）","持統天皇11年（697年）","","","御手洗祭（7月28日・29日）","","","","","","","","","",""
"唐沢山神社","[唐沢山神社（栃木県）] 唐沢山神社 （からさわやまじんじゃ）は、 栃木県 佐野市 の 唐沢山 山頂にある 神社 。 藤原秀郷 を祀る。 旧社格 は 別格官幣社 。","https://ja.wikipedia.org/wiki/唐沢山神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度21分13.61秒東経139度36分3.05秒","栃木県佐野市富士町1409","藤原秀郷公","北緯36度21分13.61秒東経139度36分3.05秒﻿ / ﻿北緯36.3537806度 東経139.6008472度﻿ /36.3537806; 139.6008472﻿ (唐沢山神社)座標:北緯36度21分13.61秒東経139度36分3.05秒﻿ / ﻿北緯36.3537806度 東経139.6008472度﻿ /36.3537806; 139.6008472﻿ (唐沢山神社)","別格官幣社・別表神社","4月25日・10月25日","明治16年（1883年）","","唐沢山神社唐沢山神社所在地","","","","","","","","","","",""
"香良洲神社","[香良洲神社（三重県津市）] 香良洲神社 （からすじんじゃ）は、 三重県 津市 香良洲町 にある 神社 。 近代社格制度 に基づく旧 社格 は県社で、香良洲町の町名の由来となった神社である  。","https://ja.wikipedia.org/wiki/香良洲神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度38分39.8秒東経136度32分37.4秒","三重県津市香良洲町3675-1","稚日女尊御歳大神（相殿神）","北緯34度38分39.8秒東経136度32分37.4秒﻿ / ﻿北緯34.644389度 東経136.543722度﻿ /34.644389; 136.543722﻿ (香良洲神社)座標:北緯34度38分39.8秒東経136度32分37.4秒﻿ / ﻿北緯34.644389度 東経136.543722度﻿ /34.644389; 136.543722﻿ (香良洲神社)","県社","夜がらす祭（7月15日）","欽明天皇代（539年-571年）大同2年（807年）","神明造","香良洲神社","宮踊り（8月15日-8月16日）","お加良須さん","","","","","","","","",""
"漢国神社","[漢国神社（奈良市）] 漢國神社 （かんごうじんじゃ）は、 奈良県 奈良市 にある 神社 。 式内小社 （ 論社 ）、旧 社格 は 県社 。","https://ja.wikipedia.org/wiki/漢国神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度41分01秒東経135度49分31.5秒","奈良県奈良市漢国町6","大物主命大己貴命少彦名命","北緯34度41分01秒東経135度49分31.5秒﻿ / ﻿北緯34.68361度 東経135.825417度﻿ /34.68361; 135.825417座標:北緯34度41分01秒東経135度49分31.5秒﻿ / ﻿北緯34.68361度 東経135.825417度﻿ /34.68361; 135.825417","式内小社（論）・旧県社","10月17日","推古天皇元年（593年）","三間社流造・桧皮葺（県指定有形文化財）","","4月19日「饅頭まつり」6月5日鎮花祭6月15日節用集祭り6月17日三枝祭","饅頭神社","","","","","","","","",""
"樺太神社","[樺太神社（樺太豊原市）] 樺太神社 （からふとじんじゃ）は、 樺太 豊原市 にあった 神社 である。 社格 は 官幣大社 （ 明治43年 列社）  。樺太の総鎮守・総 氏神 とされた。","https://ja.wikipedia.org/wiki/樺太神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯46度57分26.6秒東経142度45分38秒","樺太豊原市旭ヶ丘","大国魂神大己貴神少彦名命","北緯46度57分26.6秒東経142度45分38秒﻿ / ﻿北緯46.957389度 東経142.76056度﻿ /46.957389; 142.76056﻿ (樺太神社)座標:北緯46度57分26.6秒東経142度45分38秒﻿ / ﻿北緯46.957389度 東経142.76056度﻿ /46.957389; 142.76056﻿ (樺太神社)","官幣大社","8月23日","明治44年（1911年）","","樺太神社","","","","","","","","","","",""
"川勾神社","[川勾神社（神奈川県中郡二宮町）] 川勾神社 （かわわじんじゃ）は、 神奈川県 中郡 二宮町 山西に鎮座する神社。","https://ja.wikipedia.org/wiki/川勾神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度18分0.6秒東経139度14分17.1秒","神奈川県中郡二宮町山西2122","大名貴命大物忌命級長津彦命級長津姫命衣通姫命","北緯35度18分0.6秒東経139度14分17.1秒﻿ / ﻿北緯35.300167度 東経139.238083度﻿ /35.300167; 139.238083﻿ (川勾神社)座標:北緯35度18分0.6秒東経139度14分17.1秒﻿ / ﻿北緯35.300167度 東経139.238083度﻿ /35.300167; 139.238083﻿ (川勾神社)","式内社（小）相模国二宮旧県社","10月第2日曜日","（伝）垂仁天皇の御世","流造","川勾神社","御筒粥祭（1月15日）国府祭（5月5日）#祭儀も参照","二宮大明神、二宮明神社","","","","","","","","",""
"神田神社","[神田神社（東京都）] 神田明神 （かんだみょうじん）は、 東京都 千代田区 外神田 二丁目にある 神社 。正式名称は 神田神社 （かんだじんじゃ）  。","https://ja.wikipedia.org/wiki/神田神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度42分7.3秒東経139度46分4.4秒","東京都千代田区外神田2丁目16番2号","大己貴命少彦名命平将門命","北緯35度42分7.3秒東経139度46分4.4秒﻿ / ﻿北緯35.702028度 東経139.767889度﻿ /35.702028; 139.767889﻿ (神田明神)座標:北緯35度42分7.3秒東経139度46分4.4秒﻿ / ﻿北緯35.702028度 東経139.767889度﻿ /35.702028; 139.767889﻿ (神田明神)","旧准勅祭社、旧府社、別表神社","5月15日頃（神田祭）","伝天平2年（730年）","入母屋造本瓦型銅板葺","神田神社東京都区部の地図を表示神田神社日本の地図を表示","","","東京十社","","","","","","","",""
"菅大臣神社","[菅大臣神社（京都府京都市）] 菅大臣神社 （かんだいじん じんじゃ）は、 京都府 京都市 下京区 菅大臣町 にある 神社 （ 天満宮 ）。正式名称は「 菅大臣社 」（かんだいじん の やしろ）。通称、 菅大臣天満宮 （かんだいじん てんまんぐう）の名で知られる。 菅公聖蹟二十五拝 の第3番であり、 洛陽天満宮二十五社順拝 にも含まれる。","https://ja.wikipedia.org/wiki/菅大臣神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度0分2.5秒東経135度45分21.9秒","京都府京都市下京区仏光寺通新町西入ル菅大臣町187-1","菅原道真公・尼神（あまがみ）・大己貴命","北緯35度0分2.5秒東経135度45分21.9秒﻿ / ﻿北緯35.000694度 東経135.756083度﻿ /35.000694; 135.756083座標:北緯35度0分2.5秒東経135度45分21.9秒﻿ / ﻿北緯35.000694度 東経135.756083度﻿ /35.000694; 135.756083","旧府社","5月の第2土・日曜日","不詳","","","","","菅公聖蹟二十五拝洛陽天満宮二十五社順拝","","","","","","","",""
"神谷神社","[神谷神社（かんだにじんじゃ）（香川県坂出市）] 神谷神社 （かんだにじんじゃ）は、 香川県 坂出市 にある 神社 。 式内社 で、 旧社格 は 郷社 。","https://ja.wikipedia.org/wiki/神谷神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度19分29.47秒東経133度55分00.32秒","香川県坂出市神谷町621","火結命奥津彦命奥津姫命","北緯34度19分29.47秒東経133度55分00.32秒﻿ / ﻿北緯34.3248528度 東経133.9167556度﻿ /34.3248528; 133.9167556﻿ (神谷神社)座標:北緯34度19分29.47秒東経133度55分00.32秒﻿ / ﻿北緯34.3248528度 東経133.9167556度﻿ /34.3248528; 133.9167556﻿ (神谷神社)","式内社（小）旧郷社","","（伝）弘仁3年（812年）","三間社流造","","","","","","","","","","","",""
"八坂神社","[祇園社（京都府）：⇒八坂神社] 八坂神社 （やさかじんじゃ）は、 京都府 京都市 東山区 祇園町 北側 にある 神社 。 二十二社 （下八社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/八坂神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度0分13秒東経135度46分43秒","京都府京都市東山区祇園町北側625番地","素戔嗚尊櫛稲田姫命八柱御子神","北緯35度0分13秒東経135度46分43秒﻿ / ﻿北緯35.00361度 東経135.77861度﻿ /35.00361; 135.77861﻿ (八坂神社)座標:北緯35度0分13秒東経135度46分43秒﻿ / ﻿北緯35.00361度 東経135.77861度﻿ /35.00361; 135.77861﻿ (八坂神社)","二十二社（下八社）旧官幣大社別表神社","6月15日","（伝）斉明天皇2年（656年）","祇園造（八坂造）","","祇園祭（7月）白朮祭（1月1日）","","神仏霊場巡拝の道第116番（京都第36番）","","","","","","","",""
"菊池神社 (菊池市)","[菊池神社（熊本県菊池市）] 菊池神社 （きくちじんじゃ）は、 熊本県 菊池市 に鎮座する 神社 である。 南北朝時代 に 南朝 側で戦った 菊池氏 の3代を祭る。 建武中興十五社 のうちの一社である。 旧社格 は 別格官幣社 で現在 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/菊池神社_(菊池市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度59分16.4秒東経130度48分58.2秒","熊本県菊池市隈府1257","菊池武時菊池武重菊池武光","北緯32度59分16.4秒東経130度48分58.2秒﻿ / ﻿北緯32.987889度 東経130.816167度﻿ /32.987889; 130.816167﻿ (菊池神社 (菊池市))座標:北緯32度59分16.4秒東経130度48分58.2秒﻿ / ﻿北緯32.987889度 東経130.816167度﻿ /32.987889; 130.816167﻿ (菊池神社 (菊池市))","旧別格官幣社・別表神社","4月5日・10月15日","明治3年（1870年）","三間社流造銅板葺","菊池神社","","","","","","","","","","",""
"岸城神社 (存在しないページ)","[岸城神社（大阪府岸和田市）（きしきじんじゃ）]","https://ja.wikipedia.org/w/index.php?title=岸城神社&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北野天満宮","[北野天満宮（京都市）] 北野天満宮 （きたのてんまんぐう）は、 京都市 上京区 にある 神社 。旧称は 北野神社 。 二十二社 （下八社）の一社。 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。 神紋 は「星梅鉢紋」。","https://ja.wikipedia.org/wiki/北野天満宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度01分52秒東経135度44分06秒","京都府京都市上京区御前通今出川上る馬喰町","菅原道真公","北緯35度01分52秒東経135度44分06秒﻿ / ﻿北緯35.03111度 東経135.73500度﻿ /35.03111; 135.73500﻿ (北野天満宮)座標:北緯35度01分52秒東経135度44分06秒﻿ / ﻿北緯35.03111度 東経135.73500度﻿ /35.03111; 135.73500﻿ (北野天満宮)","二十二社（下八社）旧官幣中社別表神社","8月4日","天暦元年（947年）","権現造","北野天満宮","","北野爾坐天満宮天神天満大自在天神社天満天神北野天神北野聖廟北野社北野神社","菅公聖蹟二十五拝洛陽天満宮二十五社順拝神仏霊場巡拝の道第95番（京都第15番）","","","","","","","",""
"北畠神社","[北畠神社（三重県津市）] 北畠神社 （きたばたけじんじゃ）は、 三重県 津市 美杉町上多気にある 神社 。国の 史跡 「多気北畠氏城館跡」に鎮座し、初代 伊勢国司 として 南朝 奉護に尽くした 北畠顕能 を主祭神とする。 建武中興十五社 で唯一、 近世 以来の由緒を持つ。","https://ja.wikipedia.org/wiki/北畠神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度31分06.86秒東経136度17分55.93秒","三重県津市美杉町上多気1148","北畠顕能","北緯34度31分06.86秒東経136度17分55.93秒﻿ / ﻿北緯34.5185722度 東経136.2988694度﻿ /34.5185722; 136.2988694﻿ (北畠神社)座標:北緯34度31分06.86秒東経136度17分55.93秒﻿ / ﻿北緯34.5185722度 東経136.2988694度﻿ /34.5185722; 136.2988694﻿ (北畠神社)","別格官幣社・別表神社","5月5日、10月13日","寛永20年（1643年）","","北畠神社","","国司さん","","","","","","","","",""
"吉備津神社","[吉備津神社（岡山市）] 吉備津神社 （きびつじんじゃ）は、 岡山県 岡山市 北区 吉備津 にある 神社 。 式内社 （ 名神大社 ）、 備中国 一宮 。 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/吉備津神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度40分14.4秒東経133度51分2.2秒","岡山県岡山市北区吉備津931","大吉備津彦命","北緯34度40分14.4秒東経133度51分2.2秒﻿ / ﻿北緯34.670667度 東経133.850611度﻿ /34.670667; 133.850611﻿ (吉備津神社)座標:北緯34度40分14.4秒東経133度51分2.2秒﻿ / ﻿北緯34.670667度 東経133.850611度﻿ /34.670667; 133.850611﻿ (吉備津神社)","式内社（名神大）備中国一宮旧官幣中社別表神社","5月第2日曜・10月19日","不詳","吉備津造檜皮葺","吉備津神社","鳴釜神事（金曜以外毎日）七十五膳据神事（春・秋）","","","吉備中山（神体山）","","","","","","",""
"吉備津神社 (福山市)","[吉備津神社（広島県福山市）] 吉備津神社 （きびつじんじゃ）は、 広島県 福山市 新市町宮内にある 神社 。 備後国 一宮 。 旧社格 は 国幣小社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/吉備津神社_(福山市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度34分9.61秒東経133度16分15.85秒","広島県福山市新市町宮内400","大吉備津彦命","北緯34度34分9.61秒東経133度16分15.85秒﻿ / ﻿北緯34.5693361度 東経133.2710694度﻿ /34.5693361; 133.2710694﻿ (吉備津神社 (福山市))座標:北緯34度34分9.61秒東経133度16分15.85秒﻿ / ﻿北緯34.5693361度 東経133.2710694度﻿ /34.5693361; 133.2710694﻿ (吉備津神社 (福山市))","備後国一宮旧国幣小社別表神社","11月23日前後","（伝）大同元年（806年）","入母屋造","吉備津神社","","","","","","","","","","",""
"吉備津彦神社","[吉備津彦神社（岡山市）] 吉備津彦神社 （きびつひこじんじゃ）は、 岡山県 岡山市 北区 一宮 にある 神社 。 備前国 一宮 。 旧社格 は 国幣小社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/吉備津彦神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度40分36.31秒東経133度51分49.87秒","岡山県岡山市北区一宮1043","大吉備津彦命","北緯34度40分36.31秒東経133度51分49.87秒﻿ / ﻿北緯34.6767528度 東経133.8638528度﻿ /34.6767528; 133.8638528﻿ (吉備津彦神社)座標:北緯34度40分36.31秒東経133度51分49.87秒﻿ / ﻿北緯34.6767528度 東経133.8638528度﻿ /34.6767528; 133.8638528﻿ (吉備津彦神社)","備前国一宮旧国幣小社別表神社","10月第3土曜・日曜","不詳","三間社流造","吉備津彦神社","御田植祭（8月2日・3日）流鏑馬神事（10月第3土曜・日曜）","朝日の宮","","","","","","","","",""
"貴船神社","[本社：貴船神社（京都市）] 貴船神社 （きふねじんじゃ）は、 京都府 京都市 左京区 にある 神社 。 式内社 （ 名神大社 ）、 二十二社 （下八社）の一社。 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/貴船神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度07分18.2秒東経135度45分46.2秒","京都府京都市左京区鞍馬貴船町180","高龗神","北緯35度07分18.2秒東経135度45分46.2秒﻿ / ﻿北緯35.121722度 東経135.762833度﻿ /35.121722; 135.762833﻿ (貴船神社)座標:北緯35度07分18.2秒東経135度45分46.2秒﻿ / ﻿北緯35.121722度 東経135.762833度﻿ /35.121722; 135.762833﻿ (貴船神社)","式内社（名神大）二十二社（下八社）旧官幣中社別表神社","6月1日","不詳","三間社流造檜皮葺","","","","神仏霊場巡拝の道第104番（京都第24番）","","","","","","","",""
"貴船神社 (曖昧さ回避)","[貴船神社 (曖昧さ回避)] 貴船神社 （きふねじんじゃ、きぶねじんじゃ）は、「貴船」を社名に持つ神社。 貴舟神社 、 貴布祢神社 、 貴布禰神社 、 木船神社 、 木舟神社 、 貴舩神社 、 貴船社 などとも表記される。","https://ja.wikipedia.org/wiki/貴船神社_(曖昧さ回避)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮中三殿","[宮中三殿（賢所、皇霊殿、神殿）（東京都千代田区皇居内）] 宮中三殿 （きゅうちゅうさんでん）は、 皇居 吹上御苑 にある 賢所 、 皇霊殿 、 神殿 の総称。これら三殿を一括して「 賢所 （けんしょ）」とも称する  。","https://ja.wikipedia.org/wiki/宮中三殿","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度40分54秒東経139度44分59秒","日本・東京都千代田区千代田1番1号","賢所：天照大御神皇霊殿：歴代天皇・皇族の霊神殿：天神地祇","北緯35度40分54秒東経139度44分59秒﻿ / ﻿北緯35.68167度 東経139.74972度﻿ /35.68167; 139.74972座標:北緯35度40分54秒東経139度44分59秒﻿ / ﻿北緯35.68167度 東経139.74972度﻿ /35.68167; 139.74972","なし","賢所：1月3日（元始祭）・2月11日（紀元節）・10月17日（神嘗祭）皇霊殿：1月7日（先帝祭）・春分日（春季皇霊祭）・4月3日（神武天皇祭）・秋分日（秋季皇霊祭）神殿：春分日（春季神殿祭）・秋分日（秋季神殿祭）神嘉殿：11月23日（新嘗祭）","","","","","","","","","","","","","",""
"京都霊山護国神社","[京都霊山護国神社（京都市）] 京都霊山護国神社 （きょうとりょうぜんごこくじんじゃ）は、 京都府 京都市 東山区 にある 神社 である。神紋は桜に菊。","https://ja.wikipedia.org/wiki/京都霊山護国神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度0分0秒東経135度46分59秒","京都市東山区清閑寺霊山町1","国事殉難者約7万3千柱","北緯35度0分0秒東経135度46分59秒﻿ / ﻿北緯35.00000度 東経135.78306度﻿ /35.00000; 135.78306﻿ (京都霊山護国神社)座標:北緯35度0分0秒東経135度46分59秒﻿ / ﻿北緯35.00000度 東経135.78306度﻿ /35.00000; 135.78306﻿ (京都霊山護国神社)","内務大臣指定護国神社・別表神社","4月28日・10月14日","明治元年（1868年）","","京都霊山護国神社","","","","","","","","","","",""
"霧島神宮","[霧島神宮（鹿児島県霧島市）] 霧島神宮 （きりしまじんぐう）は 鹿児島県 霧島市 霧島田口にある 神社 。 延喜式内社 の 論社 であり、 旧社格 は 官幣大社  。","https://ja.wikipedia.org/wiki/霧島神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯31度51分32.2秒東経130度52分18.7秒","鹿児島県霧島市霧島田口2608番地5号","天饒石国饒石天津日高彦火瓊瓊杵尊","北緯31度51分32.2秒東経130度52分18.7秒﻿ / ﻿北緯31.858944度 東経130.871861度﻿ /31.858944; 130.871861﻿ (霧島神宮)座標:北緯31度51分32.2秒東経130度52分18.7秒﻿ / ﻿北緯31.858944度 東経130.871861度﻿ /31.858944; 130.871861﻿ (霧島神宮)","式内社（小）論社旧官幣大社別表神社","9月19日","伝欽明天皇朝（6世紀）伝欽明天皇元年（540年）","入母屋造杮葺","霧島神宮","","","霧島六社権現","","","","","","","",""
