"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","河川","ダム型式","堤高","堤頂長","堤体積","湛水面積","総貯水容量","有効貯水容量","利用目的","事業主体","着手年/竣工年","ダム湖","流域面積","施工業者","発電所名,（認可出力）","電気事業者","所在地","出典"
"宮ヶ瀬湖","[29宮ヶ瀬湖神奈川県相模原市神奈川県愛甲郡愛川町神奈川県愛甲郡清川村相模川中津川宮ヶ瀬ダム国土交通省関東地方整備局神奈川県立あいかわ公園] 宮ヶ瀬湖 （みやがせこ）は 東丹沢 にある 宮ヶ瀬ダム 建設によってできた ダム湖 である。 神奈川県 愛甲郡 愛川町 、同郡 清川村 、 相模原市 緑区 の3市町村にまたがる。","https://ja.wikipedia.org/wiki/宮ヶ瀬湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度31分46秒東経139度13分45秒","北緯35度31分46秒東経139度13分45秒﻿ / ﻿北緯35.52944度 東経139.22917度﻿ /35.52944; 139.22917座標:北緯35度31分46秒東経139度13分45秒﻿ / ﻿北緯35.52944度 東経139.22917度﻿ /35.52944; 139.22917","","","","","","","","","","","","","","","","","神奈川県相模原市緑区、愛川町、清川村",""
"丹沢湖","[30丹沢湖神奈川県足柄上郡山北町酒匂川河内川三保ダム神奈川県丹沢大山国定公園] 丹沢湖 （たんざわこ）は 西丹沢 の 酒匂川 水系の河内川に造られた 三保ダム によって誕生した 人造湖 である。所在地は 神奈川県 足柄上郡 山北町 。 丹沢山系 の西側に位置する。 丹沢湖には 玄倉川 （くろくらがわ）、 世附川 （よづくがわ）、 中川川 （なかがわがわ）の3つの支流からの水が流れ込んでいる。","https://ja.wikipedia.org/wiki/丹沢湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度24分46秒東経139度2分52秒","北緯35度24分46秒東経139度2分52秒﻿ / ﻿北緯35.41278度 東経139.04778度﻿ /35.41278; 139.04778座標:北緯35度24分46秒東経139度2分52秒﻿ / ﻿北緯35.41278度 東経139.04778度﻿ /35.41278; 139.04778","","","","","","","","","","","","","","","","","神奈川県足柄上郡山北町",""
"黒部ダム","[31黒部湖富山県中新川郡立山町黒部川黒部川黒部ダム関西電力中部山岳国立公園] 黒部ダム （くろべダム）は、 富山県 東部の 立山町 を流れる 黒部川 水系の黒部川に建設された 水力発電 専用の ダム である   。 1956年 （ 昭和 31年）着工、 太田垣士郎 指揮の下、171人の 殉職 者を出し7年の歳月をかけて、1961年1月に送電を開始  し、 1963年 （昭和38年）に完成した  。貯水量2億 トン  。","https://ja.wikipedia.org/wiki/黒部ダム#観光","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度33分59秒東経137度39分44秒","北緯36度33分59秒東経137度39分44秒﻿ / ﻿北緯36.56639度 東経137.66222度﻿ /36.56639; 137.66222","黒部川水系黒部川","コンバインダム(アーチ式コンクリートダム+重力式コンクリートダム)","186.0m","492.0 m","1,582,000m³","349.0ha","199,285,000 m³","148,843,000 m³","水力発電","関西電力","1956年/1963年","黒部湖（ダム湖百選）","188.5km²","間組・鹿島建設・熊谷組・大成建設・佐藤工業","黒部川第四発電所(335,000kW)","関西電力","富山県中新川郡立山町芦峅寺",""
"有峰ダム","[32有峰湖富山県富山市常願寺川和田川有峰ダム北陸電力有峰県立自然公園] 有峰ダム （ありみねダム）は、 富山県 富山市 有峰、 一級河川 ・ 常願寺川 水系 和田川 の、標高1089m地点  に建設された ダム 。高さ140メートルの 重力式コンクリートダム で、 北陸電力 の 発電用ダム である。同社の 水力発電 所・ 和田川第一発電所 ・ 和田川第二発電所 ・ 有峰第一発電所 ・ 有峰第二発電所 ・ 有峰ダム発電所 に送水し、合計最大53万4,170キロワットの 電力 を発生する。ダム湖（ 人造湖 ）の名は 有峰湖 （ありみねこ）という（ ダム湖百選 ）。","https://ja.wikipedia.org/wiki/有峰ダム#周辺","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度29分22秒東経137度26分55秒","北緯36度29分22秒東経137度26分55秒﻿ / ﻿北緯36.48944度 東経137.44861度﻿ /36.48944; 137.44861","常願寺川水系和田川","重力式コンクリートダム","140m","500 m","1,568,000m³","512ha","222,000,000 m³","204,000,000 m³","発電","北陸電力","1956年/1959年","有峰湖【ダム湖百選】","219.9km²","前田建設工業","和田川第一発電所 (27,000kW)和田川第二発電所 (122,000kW)有峰第一発電所 (265,000kW)有峰第二発電所 (120,000kW)有峰ダム発電所 (170kW)","北陸電力","",""
"高瀬ダム","[33高瀬ダム調整湖長野県大町市信濃川高瀬川高瀬ダム東京電力中部山岳国立公園] 高瀬ダム （たかせダム）は 長野県 大町市 、 一級河川 ・ 信濃川 水系 高瀬川 の上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/高瀬ダム#周辺","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度28分26秒東経137度41分24秒","北緯36度28分26秒東経137度41分24秒﻿ / ﻿北緯36.47389度 東経137.69000度﻿ /36.47389; 137.69000","信濃川水系高瀬川","中央土質遮水壁型ロックフィルダム","176.0m","362.0 m","11,590,000m³","178.0ha","76,200,000 m³","16,200,000 m³","発電","東京電力（竣工当時）","1969年/1979年","高瀬ダム調整湖（ダム湖百選）","131.0km²","前田建設工業","新高瀬川発電所(1,280,000kW)","東京電力リニューアブルパワー","左岸:長野県大町市平高瀬入右岸:長野県大町市平高瀬入",""
"味噌川ダム","[34奥木曽湖長野県木曽郡木祖村木曽川木曽川味噌川ダム水資源機構] 木曽川では 大井ダム を始めとした 水力発電 事業が 大正 時代より積極的に進められ、 落合ダム ・ 笠置ダム ・ 兼山ダム ・ 今渡ダム が 戦前 に、 読書ダム ・ 山口ダム が 戦後 に建設されて一大 電源地帯 が形成された。一方、 治水 に関しては 1949年 （ 昭和 24年）に「木曽川改訂改修計画」が 経済安定本部 の 諮問機関 ・治水調査会によって答申され、これを機に 丸山ダム が多目的ダムとして計画を変更、 1955年 （昭和30年）に完成した。以後、 1962年 （昭和37年）の 水資源開発促進法 によって木曽川水系は「木曽川水系水資源開発基本計画」（通称フルプラン）によって水資源開発公団（現・ 水資源機構 ）による 総合的な河川開発 が行われるようになった。","https://ja.wikipedia.org/wiki/味噌川ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度58分38.3秒東経137度46分11.9秒","北緯35度58分38.3秒東経137度46分11.9秒﻿ / ﻿北緯35.977306度 東経137.769972度﻿ /35.977306; 137.769972","木曽川水系木曽川","中央土質遮水壁型ロックフィルダム","140.0m","447.0 m","8,900,000m³","135.0ha","61,000,000 m³","55,000,000 m³","洪水調節・不特定利水上水道・工業用水・発電","水資源機構","1973年/1996年","奥木曽湖（ダム湖百選）","55.1km²","間組・飛島建設・不動建設","奥木曽発電所(4,800kW)","長野県企業局","左岸:長野県木曽郡木祖村小木曽右岸:長野県木曽郡木祖村小木曽",""
"高遠ダム","[35高遠湖長野県伊那市天竜川三峰川高遠ダム長野県三峰川水系県立公園] 高遠ダム （たかとおダム）は、 長野県 伊那市 高遠町 、 天竜川 水系 三峰川 に建設された ダム 。高さ30.9メートルの 重力式コンクリートダム で、 灌漑 と 発電 を目的とする、長野 県営 の 多目的ダム である  。 長野県企業局 の 水力発電所 ・ 春近発電所 （はるちかはつでんしょ）・ 高遠さくら発電所 （たかとおさくらはつでんしょ）に送水し、合計最大2万3,799 キロワット の 電力 を発生する。ダム湖（ 人造湖 ）の名は 高遠湖 （たかとおこ）という（ ダム湖百選 ）。","https://ja.wikipedia.org/wiki/高遠ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度49分46秒東経138度03分47秒","北緯35度49分46秒東経138度03分47秒﻿ / ﻿北緯35.82944度 東経138.06306度﻿ /35.82944; 138.06306","天竜川水系三峰川","重力式コンクリートダム","30.90m","76.10 m","21,970m³","24ha","2,310,000 m³","500,000 m³","灌漑・発電","長野県企業局","1957年/1958年","高遠湖【ダム湖百選】","438.4km²","株木建設","春近発電所 (23,600kW)高遠さくら発電所 (199kW)","長野県企業局","",""
"美和ダム","[36美和湖長野県伊那市天竜川三峰川美和ダム国土交通省中部地方整備局] 美和ダム （みわダム）は 長野県 伊那市 、 一級河川 ・ 天竜川 水系 三峰川 （みぶがわ）に建設された ダム 。高さ69.1 メートル の 重力式コンクリートダム で、 洪水調節 ・ 灌漑 （かんがい）・ 水力発電 を目的とする、 国土交通省 直轄の 多目的ダム （ 特定多目的ダム ）である。ダム湖（ 人造湖 ）の名は 美和湖 （みわこ）という（ ダム湖百選 ）。","https://ja.wikipedia.org/wiki/美和ダム#周辺","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度48分51秒東経138度04分45秒","北緯35度48分51秒東経138度04分45秒﻿ / ﻿北緯35.81417度 東経138.07917度﻿ /35.81417; 138.07917","天竜川水系三峰川","重力式コンクリートダム","69.1m","367.5 m","286.000m³","179.0ha","29,952,000→34,751,000 m³","20,745,000→25,100,000 m³","洪水調節・かんがい・発電","国土交通省中部地方整備局","1952年/1959年","美和湖（ダム湖百選）","311.1km²","大林組","美和発電所(12,200kW)","長野県企業局","左岸:長野県伊那市高遠町勝間右岸: 長野県伊那市高遠町勝間",""
"大井ダム","[37恵那峡岐阜県恵那市岐阜県中津川市木曽川木曽川大井ダム関西電力飛騨木曽川国定公園] 大井ダム （おおいダム）は、 木曽川 本川中流部、 岐阜県 恵那市 大井町と 中津川市 蛭川（旧・ 恵那郡 蛭川村 ）の境に建設された ダム である。","https://ja.wikipedia.org/wiki/大井ダム#周辺","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度28分52.9秒東経137度23分46.3秒","北緯35度28分52.9秒東経137度23分46.3秒﻿ / ﻿北緯35.481361度 東経137.396194度﻿ /35.481361; 137.396194","木曽川水系木曽川","重力式コンクリートダム","53.38m","275.76 m","151,753m³","141.0ha","29,400,000 m³","9,250,000 m³","発電","関西電力","1922年/1924年","恵那峡【ダム湖百選】","2,083.0km²","大同電力","大井発電所 (52,000kW)新大井発電所 (32,000kW)","関西電力","",""
"阿木川ダム","[38阿木川湖岐阜県恵那市木曽川阿木川阿木川ダム水資源機構] 阿木川ダム （あぎがわダム）は、 岐阜県 恵那市 東野地先、 木曽川 水系 阿木川 に建設された ダム である。","https://ja.wikipedia.org/wiki/阿木川ダム#恵那市民の憩いの場","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度25分29秒東経137度25分48秒","北緯35度25分29秒東経137度25分48秒﻿ / ﻿北緯35.42472度 東経137.43000度﻿ /35.42472; 137.43000","木曽川水系阿木川","中央土質遮水壁型ロックフィルダム","101.5m","362.0 m","4,900,000m³","158.0ha","48,000,000 m³","44,000,000 m³","洪水調節・不特定利水上水道・工業用水","水資源機構","1969年/1990年","阿木川湖（ダム湖百選）","81.8km²","大林組・青木建設・大日本土木","阿木川発電所 (2,600kW)","水資源機構","","『ダム便覧』阿木川ダム"
"佐久間ダム","[39佐久間湖静岡県浜松市天竜区愛知県北設楽郡豊根村長野県下伊那郡天龍村天竜川天竜川佐久間ダム電源開発天竜奥三河国定公園] 佐久間ダム （さくまダム）は、 静岡県 浜松市 天竜区 佐久間町 と 愛知県 北設楽郡 豊根村 にまたがる 一級河川 ・ 天竜川 本流 中流 部に建設された ダム である。","https://ja.wikipedia.org/wiki/佐久間ダム#観光","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度05分58秒東経137度47分39秒","北緯35度05分58秒東経137度47分39秒﻿ / ﻿北緯35.09944度 東経137.79417度﻿ /35.09944; 137.79417","天竜川水系天竜川","重力式コンクリートダム","155.5m","293.5 m","1,120,000m³","715.0ha","326,848,000 m³","205,444,000 m³","発電洪水調節（再開発後）","電源開発国土交通省中部地方整備局（再開発）","1953年/1956年","佐久間湖【ダム湖百選】","4,156.5km²","間組","佐久間発電所 (350,000kW)新豊根発電所(1,125,000 kW)","電源開発","",""
"羽布ダム","[40三河湖愛知県豊田市矢作川巴川羽布ダム愛知県愛知高原国定公園] 羽布ダム （はぶダム）は 愛知県 豊田市 羽布町鬼の平、 矢作川 水系 巴川 に建設された かんがい 用の 重力式コンクリートダム である。","https://ja.wikipedia.org/wiki/羽布ダム#三河湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度02分06秒東経137度23分53秒","北緯35度02分06秒東経137度23分53秒﻿ / ﻿北緯35.03500度 東経137.39806度﻿ /35.03500; 137.39806","矢作川水系巴川","重力式コンクリートダム","62.5m","398.5 m","316,000m³","107ha","19,363,000 m³","18,461,000 m³","かんがい・上水道・小水力発電","農林水産省東海農政局","1951年/1962年","三河湖（ダム湖百選）","51.3km²","西松建設","羽布ダム小水力発電所(880kW)","愛知県","愛知県豊田市羽布町鬼の平","「ダム便覧」 羽布ダム"
"永源寺ダム","[41永源寺湖滋賀県東近江市淀川愛知川永源寺ダム滋賀県] 永源寺ダム （えいげんじダム）は、 滋賀県 東近江市 、 淀川 水系 愛知川 に建設された ダム である。","https://ja.wikipedia.org/wiki/永源寺ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度04分33秒東経136度20分07秒","北緯35度04分33秒東経136度20分07秒﻿ / ﻿北緯35.07583度 東経136.33528度﻿ /35.07583; 136.33528","淀川水系愛知川","コンバインダム","73.5m","392 m","408,000m³","98.0ha","22,741,000 m³","21,984,000 m³","かんがい・発電","滋賀県","1952年/1972年","永源寺湖【ダム湖百選】","131.5km²","前田建設工業","永源寺発電所 (5,000kW)","関西電力","","『ダム便覧』永源寺ダム"
"大野ダム (京都府)","[42虹の湖京都府南丹市由良川由良川大野ダム京都府京都丹波高原国定公園美山大野ダム公園] 大野ダム （おおのダム）は、 京都府 南丹市 美山町樫原、 一級河川 ・ 由良川 本流 上流 部に建設された ダム である。","https://ja.wikipedia.org/wiki/大野ダム_(京都府)#虹の湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度15分45秒東経135度27分39秒","北緯35度15分45秒東経135度27分39秒﻿ / ﻿北緯35.26250度 東経135.46083度﻿ /35.26250; 135.46083","由良川水系由良川","重力式コンクリートダム","61.4m","305 m","167,000m³","186.0ha","28,550,000 m³","21,320,000 m³","洪水調節・発電","京都府","1943年/1961年","虹の湖【ダム湖百選】","354.0km²","大成建設","大野発電所 (11,000kW)","京都府公営企業","京都府南丹市美山町樫原字中野山",""
"日吉ダム","[43天若湖京都府南丹市淀川桂川日吉ダム水資源機構京都丹波高原国定公園] 日吉ダム （ひよしダム）は 京都府 南丹市 日吉町中地先、 淀川 の主要支川の一つである 桂川 中流部に位置する ダム である。1999年 日本建築学会賞 業績賞受賞（周辺整備）、2003年 土木学会 デザイン賞受賞。","https://ja.wikipedia.org/wiki/日吉ダム#天若湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度08分51秒東経135度31分01秒","北緯35度08分51秒東経135度31分01秒﻿ / ﻿北緯35.14750度 東経135.51694度﻿ /35.14750; 135.51694","淀川水系桂川","重力式コンクリートダム","67.4m","438.0 m","670,000m³","274.0ha","66,000,000 m³","58,000,000 m³","洪水調節・不特定利水・上水道","水資源機構","1972年/1997年","天若湖【ダム湖百選】","290.0km²","飛島建設・鴻池組・森組","","","",""
"一庫ダム","[44知明湖兵庫県川西市淀川一庫大路次川一庫ダム水資源機構猪名川渓谷県立自然公園兵庫県立一庫公園] 一庫ダム （ひとくらダム）は 兵庫県 川西市 、 一級河川 ・ 淀川 水系 一庫大路次（ひとくらおおろじ）川 に建設された ダム である。","https://ja.wikipedia.org/wiki/一庫ダム#知明湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度54分19秒東経135度24分42秒","北緯34度54分19秒東経135度24分42秒﻿ / ﻿北緯34.90528度 東経135.41167度﻿ /34.90528; 135.41167","淀川水系一庫大路次川","重力式コンクリートダム","75.0m","285.0 m","441,000m³","140.0ha","33,300,000 m³","30,800,000 m³","洪水調節・不特定利水・上水道","独立行政法人水資源機構","1968年/1983年","知明湖【ダム湖百選】","115.1km²","大林組・佐藤工業","","","","『ダム便覧』一庫ダム"
"布引五本松ダム","[45布引貯水池兵庫県神戸市中央区生田川生田川布引五本松ダム神戸市水道局重要文化財・近代水道百選] 布引五本松ダム （ぬのびきごほんまつダム）、（ 布引五本松堰堤 （えんてい）、 布引ダム とも）は、日本最初の 重力式コンクリートダム 。2006年に 近代化遺産 「布引水源地水道施設」の一部として国の 重要文化財 に指定された。 厚生労働省 の「 近代水道百選 」に選ばれている。","https://ja.wikipedia.org/wiki/布引五本松ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度42分40秒東経135度11分25秒","北緯34度42分40秒東経135度11分25秒﻿ / ﻿北緯34.71111度 東経135.19028度﻿ /34.71111; 135.19028座標:北緯34度42分40秒東経135度11分25秒﻿ / ﻿北緯34.71111度 東経135.19028度﻿ /34.71111; 135.19028","生田川水系生田川","重力式コンクリートダム","33.3m","110.3 m","22,000m³","4.8ha","417,000 m³","417,000 m³","上水道","神戸市","1897年/1900年","布引貯水池（ダム湖百選）","10.7km²","","－","－","日本兵庫県神戸市中央区葺合町山郡",""
"池原ダム","[46池原貯水池奈良県吉野郡下北山村熊野川北山川池原ダム電源開発吉野熊野国立公園] 池原ダム （いけはらダム）は 奈良県 吉野郡 下北山村 、 一級河川 ・ 熊野川 （新宮川） 水系 北山川 に建設された ダム である。","https://ja.wikipedia.org/wiki/池原ダム#池原貯水池","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度02分49秒東経135度58分16秒","北緯34度02分49秒東経135度58分16秒﻿ / ﻿北緯34.04694度 東経135.97111度﻿ /34.04694; 135.97111","新宮川水系北山川","アーチ式コンクリートダム","111.0m","460.0 m","647,000m³","843.0ha","338,400,000 m³","220,100,000 m³","発電","電源開発","1954年/1964年","池原湖（池原貯水池）【ダム湖百選】","300.0km²","熊谷組","池原発電所 (350,000kW)","電源開発","",""
"椿山ダム","[47椿山ダム湖和歌山県日高郡日高川町日高川日高川椿山ダム和歌山県] 椿山ダム （つばやまダム）は 和歌山県 日高川町 初湯川字橋本の 日高川 にある 多目的ダム である。","https://ja.wikipedia.org/wiki/椿山ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度57分33秒東経135度23分27秒","北緯33度57分33秒東経135度23分27秒﻿ / ﻿北緯33.95917度 東経135.39083度﻿ /33.95917; 135.39083","日高川水系日高川","重力式コンクリートダム","56.5m","236 m","265,000m³","268ha","49,000,000 m³","39,500,000 m³","洪水調節、農地防災、不特定用水、河川維持用水、発電","和歌山県","1966年/1988年","","396.5km²","西松建設・フジタ・大豊建設","－","－","左岸:和歌山県日高郡日高川町大字初湯川字橋本右岸:和歌山県日高郡日高川町大字初湯川",""
"帝釈川ダム","[48神竜湖広島県比婆郡神石高原町広島県庄原市高梁川帝釈川帝釈川ダム中国電力比婆道後帝釈国定公園] 帝釈川ダム （たいしゃくがわダム）は 広島県 庄原市 と 神石郡 神石高原町 との境、 一級河川 ・ 高梁川 （たかはしがわ）水系 帝釈川 に建設された ダム である。","https://ja.wikipedia.org/wiki/帝釈川ダム#神竜湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度49分40秒東経133度14分05秒","北緯34度49分40秒東経133度14分05秒﻿ / ﻿北緯34.82778度 東経133.23472度﻿ /34.82778; 133.23472","高梁川水系帝釈川","重力式コンクリートダム","62.4m","39.5 m","45,000m³","66.0ha","14,278,000 m³","7,490,000 m³","発電","中国電力","2002年/2006年","神竜湖（ダム湖百選）","120.0km²","鹿島建設・大本組飛島建設・森本組・田原組","新帝釈川発電所(11,000kW)","中国電力","左岸:広島県庄原市東城町三坂右岸:広島県神石郡神石高原町",""
"土師ダム","[49八千代湖広島県安芸高田市江の川江の川土師ダム国土交通省中国地方整備局] 土師ダム （はじダム）は 広島県 安芸高田市 八千代町大字下土師地先、 一級河川 ・ 江の川 本川上流部（かつては可愛川と呼ばれていた）に建設された ダム である。","https://ja.wikipedia.org/wiki/土師ダム#八千代湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度38分37秒東経132度37分16秒","北緯34度38分37秒東経132度37分16秒﻿ / ﻿北緯34.64361度 東経132.62111度﻿ /34.64361; 132.62111","江の川水系江の川","重力式コンクリートダム","50.0m","300.0 m","210,000m³","280.0ha","47,300,000 m³","41,100,000 m³","洪水調節・不特定利水・上水道・発電","国土交通省中国地方整備局","1966年/1974年","八千代湖（ダム湖百選）","307.5km²","フジタ","可部発電所（38,000kW）","中国電力","左岸:広島県安芸高田市八千代町下土師右岸:広島県安芸高田市八千代町下土師",""
"温井ダム","[50龍姫湖広島県山県郡安芸太田町太田川滝山川温井ダム国土交通省中国地方整備局] 温井ダム （ぬくいダム）は 広島県 山県郡 安芸太田町 、 一級河川 ・ 太田川 水系 滝山川 に建設された ダム である。","https://ja.wikipedia.org/wiki/温井ダム#龍姫湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度38分02秒東経132度17分57秒","北緯34度38分02秒東経132度17分57秒﻿ / ﻿北緯34.63389度 東経132.29917度﻿ /34.63389; 132.29917","太田川水系滝山川","アーチ式コンクリートダム","156m","382 m","810,000m³","160ha","82,000,000 m³","79,000,000 m³","洪水調節・不特定利水・上水道・発電","国土交通省中国地方整備局","1974年/2001年","龍姫湖【ダム湖百選】","253km²","鹿島建設・西松建設・五洋建設","温井発電所（2,300kW）","中国電力","広島県山県郡安芸太田町大字加計",""
"本庄ダム","[51本庄貯水池広島県呉市二河川二河川本庄ダム呉市水道局水道施設関係が重要文化財] 本庄ダム （ほんじょうダム）は、 広島県 呉市 にある 呉市上下水道局 が管理する ダム である。","https://ja.wikipedia.org/wiki/本庄ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度18分28.9秒東経132度33分43.8秒","北緯34度18分28.9秒東経132度33分43.8秒﻿ / ﻿北緯34.308028度 東経132.562167度﻿ /34.308028; 132.562167","二河川水系二河川","重力式コンクリートダム","25m","97 m","20,000m³","28ha","20,000 m³","1,960,000 m³","上水道","呉市上下水道局","1912年/1917年","本庄水源地","28,4km²","大日本帝国海軍","","","","#参考資料"
"弥栄ダム","[52弥栄湖広島県大竹市山口県岩国市小瀬川小瀬川弥栄ダム国土交通省中国地方整備局] 弥栄ダム （やさかダム）は 広島県 大竹市 小方町小方と、 山口県 岩国市 小瀬に跨る、 一級河川 ・ 小瀬川 水系小瀬川本川に建設された ダム である。旧名は八丁ダム（はっちょうダム）。","https://ja.wikipedia.org/wiki/弥栄ダム#弥栄湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度14分00秒東経132度09分45秒","北緯34度14分00秒東経132度09分45秒﻿ / ﻿北緯34.23333度 東経132.16250度﻿ /34.23333; 132.16250","小瀬川水系小瀬川","重力式コンクリートダム","120.0m","540.0 m","1,550,000m³","360.0ha","112,000,000 m³","106,000,000 m³","洪水調節・不特定利水・上水道・工業用水・発電","国土交通省中国地方整備局","1971年/1991年","弥栄湖 （やさかこ）（ダム湖百選）","301.0km²","前田建設工業・奥村組日本国土開発","弥栄発電所（7,000kW）","中国電力","左岸:広島県大竹市小方町小方右岸:山口県岩国市小瀬字二又",""
"厚東川ダム","[53小野湖山口県宇部市厚東川厚東川厚東川ダム山口県] 厚東川ダム （ことうがわダム）は、 二級河川 厚東川 水系厚東川本川の 中流 、 山口県 宇部市 木田に建設された ダム である。","https://ja.wikipedia.org/wiki/厚東川ダム#小野湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度04分18.2秒東経131度16分58.8秒","北緯34度04分18.2秒東経131度16分58.8秒﻿ / ﻿北緯34.071722度 東経131.283000度﻿ /34.071722; 131.283000","厚東川水系厚東川","重力式コンクリートダム","38.8m","162.0 m","62,000m³","249.0ha","23,788,000 m³","23,042,000 m³","洪水調節・不特定利水・かんがい・上水道・工業用水・発電","山口県","1940年/1949年","小野湖（ダム湖百選）","324.0km²","間組","二俣瀬発電所（610kW）厚東川発電所（4,000kW）","山口県企業局宇部興産","左岸:山口県宇部市大字小野字尾花ヶ瀬右岸:山口県宇部市大字木田字落畑",""
"満濃池","[54満濃池香川県仲多度郡まんのう町金倉川金倉川満濃池ダム満濃池土地改良区ため池百選・登録有形文化財国営讃岐まんのう公園] 満濃池 （まんのういけ）は、 香川県 仲多度郡 まんのう町 にある 日本最大 の 灌漑 用の ため池 である。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/満濃池","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度09分04秒東経133度52分24秒","北緯34度09分04秒東経133度52分24秒﻿ / ﻿北緯34.15111度 東経133.87333度﻿ /34.15111; 133.87333座標:北緯34度09分04秒東経133度52分24秒﻿ / ﻿北緯34.15111度 東経133.87333度﻿ /34.15111; 133.87333","","","","","","","","","","","","","","","","","日本香川県",""
"野村ダム","[55朝霧湖愛媛県西予市肱川肱川野村ダム国土交通省四国地方整備局] 野村ダム （のむらダム）は、 愛媛県 西予市 野村町 、 肱川 水系 肱川に建設された ダム 。高さ60 メートル の 重力式コンクリートダム で、 洪水調節 ・ 灌漑 ・ 上水道 を目的とする、 国土交通省直轄 の 多目的ダム である。ダム湖（ 人造湖 ）の名は 朝霧湖 （あさぎりこ）という（ ダム湖百選 ）  。","https://ja.wikipedia.org/wiki/野村ダム#朝霧湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度21分34秒東経132度37分45秒","北緯33度21分34秒東経132度37分45秒﻿ / ﻿北緯33.35944度 東経132.62917度﻿ /33.35944; 132.62917","肱川水系肱川","重力式コンクリートダム","60m","300 m","254,000m³","95ha","16,000,000 m³","12,700,000 m³","洪水調節・灌漑・上水道","国土交通省四国地方整備局","1971年/1981年","朝霧湖（ダム湖百選）","168km²","清水建設・大豊建設","（ダム管理用 665kW）","","愛媛県西予市野村町野村",""
"早明浦ダム","[56さめうら湖高知県長岡郡本山町高知県土佐郡土佐町吉野川吉野川早明浦ダム水資源機構] 早明浦ダム （さめうらダム）は、 高知県 長岡郡 本山町 と 土佐郡 土佐町 にまたがる、 一級河川 ・ 吉野川 本流 上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/早明浦ダム#さめうら湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度45分24秒東経133度33分02秒","北緯33度45分24秒東経133度33分02秒﻿ / ﻿北緯33.75667度 東経133.55056度﻿ /33.75667; 133.55056","吉野川水系吉野川","重力式コンクリートダム","106.0m","400.0 m","1,200,000m³","750.0ha","316,000,000 m³","289,000,000 m³","洪水調節・不特定利水灌漑・上水道工業用水・発電","水資源機構","1963年/1975年","さめうら湖（ダム湖百選）","472.0km²","間組","早明浦発電所(42,000kW)","電源開発","左岸：高知県長岡郡本山町大字吉野右岸：高知県土佐郡土佐町大字中島",""
