"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城主","築城年","遺構","指定文化財","廃城年","文化財","天守構造","主な城主","創建年","別名","主な改修者","山号","本尊","法人番号","再建造物"
"慈照寺","[慈照寺（銀閣寺）庭園（特別名勝との重複指定）京都府地理院地図Googleマップ北緯35度01分36秒東経135度47分54秒﻿ / ﻿北緯35.0266度 東経135.7982度﻿ /35.0266; 135.7982﻿ (慈照寺（銀閣寺）庭園（特別名勝との重複指定）)] 慈照寺 （じしょうじ）は、 京都市 左京区 銀閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。観音殿（銀閣）から 銀閣寺 （ぎんかくじ）として知られている。正式には、東山慈照禅寺（とうざんじしょうぜんじ）と号する。 山号 は 東山 （とうざん）。 開基 （創立者）は 足利義政 、 開山 は 夢窓疎石 とされているが、夢窓疎石は実際には当寺創建より1世紀ほど前の人物であり、勧請開山である。","https://ja.wikipedia.org/wiki/慈照寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度1分36.75秒東経135度47分53.7秒","北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)座標:北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)","京都府京都市左京区銀閣寺町2","","","","","","","","観音殿、東求堂（国宝）絹本著色春屋妙葩像（重要文化財）庭園（特別名勝、特別史跡）世界遺産","","","延徳2年（1490年）","","","東山（とうざん）","釈迦如来","4130005001290",""
"鹿苑寺","[鹿苑寺（金閣寺）庭園（特別名勝との重複指定）京都府地理院地図Googleマップ北緯35度02分23秒東経135度43分45秒﻿ / ﻿北緯35.0396度 東経135.7292度﻿ /35.0396; 135.7292﻿ (鹿苑寺（金閣寺）庭園（特別名勝との重複指定）)] 鹿苑寺 （ろくおんじ）は、 京都市 北区 金閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。建物の内外に 金箔 が貼られた舎利殿から、 金閣寺 （きんかくじ）として知られている  。 山号 は北山。正式には、 北山鹿苑禅寺 （ほくざんろくおんぜんじ）と号する。","https://ja.wikipedia.org/wiki/鹿苑寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度2分21.85秒東経135度43分45.71秒","北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)座標:北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)","京都府京都市北区金閣寺町1","","","","","","","","絹本著色足利義満像、大書院障壁画ほか（重要文化財）庭園（特別史跡、特別名勝）世界遺産","","","応永4年（1397年）","","","北山（ほくざん）","観音菩薩（方丈本尊）","3130005001267",""
"醍醐寺","[醍醐寺三宝院庭園（特別名勝との重複指定）京都府地理院地図Googleマップ北緯34度57分07秒東経135度49分11秒﻿ / ﻿北緯34.9519度 東経135.8197度﻿ /34.9519; 135.8197﻿ (醍醐寺三宝院庭園（特別名勝との重複指定）)] 醍醐寺 （だいごじ）は、 京都市 伏見区 醍醐東大路町にある 真言宗醍醐派 総本山の寺院。 山号 を醍醐山（深雪山とも）と称し、 本尊 は 薬師如来 。上醍醐の准胝堂（じゅんていどう）は、 西国三十三所観音霊場 第11番札所で本尊は 准胝観世音菩薩 。京都市街の南東に広がる醍醐山（笠取山）に200万坪以上の広大な境内を持ち、 国宝 や 重要文化財 を含む約15万点の寺宝を所蔵する  。 豊臣秀吉 による「 醍醐の花見 」が行われた地としても知られている。 古都京都の文化財 として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/醍醐寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度57分5.4秒東経135度49分18.4秒","北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778座標:北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778","京都府京都市伏見区醍醐東大路町22","","","","","","","","醍醐寺境内（史跡）金堂、五重塔、木造薬師如来及両脇侍像ほか（国宝）清滝宮本殿、絹本著色阿弥陀三尊像、木造薬師如来及両脇侍像ほか（重要文化財）三宝院庭園（特別史跡、特別名勝）世界遺産","","","貞観16年（874年）","","","醍醐山深雪山（上醍醐寺）","薬師如来（重要文化財）","6130005002163",""
"大坂城","[大坂城跡大阪府地理院地図Googleマップ北緯34度41分11秒東経135度31分33秒﻿ / ﻿北緯34.6863度 東経135.5259度﻿ /34.6863; 135.5259﻿ (大坂城跡)] 大坂城 ／ 大阪城 （おおさかじょう  ）は、 安土桃山時代 に 上町台地 の先端、 摂津国 東成郡 生玉荘 大坂 に築かれ、 江戸時代 に再築された 日本の城 。別称は 錦城 （きんじょう／ 金城 とも表記）。「大阪城跡」として国の 特別史跡 に指定されている。なお、城址を含む一帯は 大阪城公園 （おおさかじょうこうえん）として整備されている。 天守 は博物館「 大阪城天守閣 」となっている。","https://ja.wikipedia.org/wiki/大坂城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度41分14.56秒東経135度31分33.04秒","北緯34度41分14.56秒東経135度31分33.04秒﻿ / ﻿北緯34.6873778度 東経135.5258444度﻿ /34.6873778; 135.5258444﻿ (大坂城)座標:北緯34度41分14.56秒東経135度31分33.04秒﻿ / ﻿北緯34.6873778度 東経135.5258444度﻿ /34.6873778; 135.5258444﻿ (大坂城)","","大阪城大阪市の地図を表示大阪城大阪府の地図を表示","輪郭式平城または平山城","豊臣秀吉","1583年（天正11年）","櫓、門、石垣、堀","国の重要文化財（櫓・門など）特別史跡","1868年（明治元年）","","複合式もしくは連結式望楼型5重6階地下2階（1585年築）独立式層塔型5重5階地下1階（1626年築）いずれも非現存独立式望楼型5重8階（1931年復興・SRC造）","豊臣氏、奥平氏、徳川氏","","錦城、金城大坂城/大阪城","徳川秀忠","","","","天守"
"百済寺 (枚方市)","[百済寺跡大阪府地理院地図Googleマップ北緯34度48分55秒東経135度39分40秒﻿ / ﻿北緯34.8154度 東経135.6610度﻿ /34.8154; 135.6610﻿ (百済寺跡)] 百済寺 （くだらじ）は、 大阪府 枚方市 にかつてあった寺。天平勝宝2年（750年）頃に 百済王敬福 （くだらのこにきしきょうふく）によって建立されたと言われている。1941年1月27日に国の 史跡 に指定され、更に昭和27年（1952年）3月29日に 特別史跡 に指定された。その後1965-1967年に史跡公園としての整備が行われた  。これは全国初とされる  。1973年10月、「百済寺跡の松風」として 枚方八景 の一つに選ばれた。","https://ja.wikipedia.org/wiki/百済寺_(枚方市)","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度48分55.1秒 東経135度39分39.8秒","","日本大阪府枚方市中宮西之町","","","","","","","","","","","","","","","","",""
"姫路城","[姫路城跡兵庫県地理院地図Googleマップ北緯34度50分18秒東経134度41分34秒﻿ / ﻿北緯34.8384度 東経134.6928度﻿ /34.8384; 134.6928﻿ (姫路城跡)] 姫路城 （ひめじじょう）は 兵庫県 姫路市 にある 日本の城 。 江戸時代 初期に建てられた 天守 や 櫓 等の主要 建築物 が現存し、 国宝 や 重要文化財 に指定されている。また、主郭部を含む中堀の内側は「姫路城跡」として国の 特別史跡 に指定されている   。また、 ユネスコ の 世界遺産 リストにも登録され   、 日本100名城  などに選定されている。別名は 白鷺城 （はくろじょう・しらさぎじょう。詳細は 名称の由来と別名 を参照）という。","https://ja.wikipedia.org/wiki/姫路城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度50分21.76秒東経134度41分38.75秒","北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972座標:北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972","","姫路城","渦郭式平山城","赤松貞範","1346年（南朝：正平元年、北朝：貞和2年）","現存天守・櫓・門・塀石垣・堀・土塁・庭園","国宝（大小天守と渡櫓等8棟）重要文化財（櫓・渡櫓27棟、門15棟、塀32棟）特別史跡ユネスコ世界遺産","1871年（明治4年）","","連立式望楼型5重6階地下1階","小寺氏・黒田氏・池田氏・本多氏・松平氏・榊原氏・酒井氏","","白鷺城","黒田重隆・羽柴秀吉・池田輝政","","","",""
"キトラ古墳","[キトラ古墳奈良県地理院地図Googleマップ北緯34度27分04秒東経135度48分19秒﻿ / ﻿北緯34.4510度 東経135.8053度﻿ /34.4510; 135.8053﻿ (キトラ古墳)] キトラ古墳 （キトラこふん）は、 奈良県 高市郡 明日香村 の南西部、阿部山に築かれた 古墳 。国の 特別史跡 。 亀虎古墳 とも書く。墳丘にある石室内に 壁画 が発見され 高松塚古墳 と共に保存事業が進められている。","https://ja.wikipedia.org/wiki/キトラ古墳","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度27分05秒東経135度48分19秒","北緯34度27分05秒東経135度48分19秒﻿ / ﻿北緯34.45125度 東経135.805278度﻿ /34.45125; 135.805278﻿ (キトラ古墳)座標:北緯34度27分05秒東経135度48分19秒﻿ / ﻿北緯34.45125度 東経135.805278度﻿ /34.45125; 135.805278﻿ (キトラ古墳)","奈良県高市郡明日香村","","","","","","","","","","","","","","","","",""
"高松塚古墳","[高松塚古墳奈良県地理院地図Googleマップ北緯34度27分45秒東経135度48分23秒﻿ / ﻿北緯34.4624度 東経135.8063度﻿ /34.4624; 135.8063﻿ (高松塚古墳)] 高松塚古墳 （たかまつづかこふん）は、 奈良県 高市郡 明日香村 （ 国営飛鳥歴史公園 内）に存在する 古墳 。 藤原京期 （ 694年 - 710年 ）に築造された終末期古墳で、直径23m（下段）及び18m（上段）、高さ5mの二段式の 円墳 である。 1972年 に極彩色の 壁画 が発見されたことで一躍注目されるようになった。","https://ja.wikipedia.org/wiki/高松塚古墳","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度27分44.0秒東経135度48分23.3秒","北緯34度27分44.0秒東経135度48分23.3秒﻿ / ﻿北緯34.462222度 東経135.806472度﻿ /34.462222; 135.806472﻿ (高松塚古墳)座標:北緯34度27分44.0秒東経135度48分23.3秒﻿ / ﻿北緯34.462222度 東経135.806472度﻿ /34.462222; 135.806472﻿ (高松塚古墳)","奈良県高市郡明日香村平田","","","","","","","","","","","","","","","","",""
"山田寺","[山田寺跡奈良県地理院地図Googleマップ北緯34度29分06秒東経135度49分46秒﻿ / ﻿北緯34.4849度 東経135.8295度﻿ /34.4849; 135.8295﻿ (山田寺跡)] 山田寺 （やまだでら）は、 奈良県 桜井市 山田にあった古代寺院。法号を 浄土寺 または 華厳寺 と称する。 蘇我倉山田石川麻呂 の発願により 7世紀 半ばに建て始められ、石川麻呂の自害（ 649年 ）の後に完成した。中世以降は衰微して、 明治 時代初期の 廃仏毀釈 の際に廃寺となった。その後、明治25年（ 1892年 ）に小寺院として再興されている。本尊は十一面観音である。","https://ja.wikipedia.org/wiki/山田寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度29分2秒 東経135度49分48秒","","","","","","","","","","","","","","","","","","",""
"石舞台古墳","[石舞台古墳奈良県地理院地図Googleマップ北緯34度28分01秒東経135度49分34秒﻿ / ﻿北緯34.4669度 東経135.8261度﻿ /34.4669; 135.8261﻿ (石舞台古墳)] 石舞台古墳 （いしぶたいこふん）は、 奈良県 明日香村 にある 古墳時代 後期の 古墳 。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/石舞台古墳","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度28分0.44秒東経135度49分34.14秒","北緯34度28分0.44秒東経135度49分34.14秒﻿ / ﻿北緯34.4667889度 東経135.8261500度﻿ /34.4667889; 135.8261500﻿ (石舞台古墳)座標:北緯34度28分0.44秒東経135度49分34.14秒﻿ / ﻿北緯34.4667889度 東経135.8261500度﻿ /34.4667889; 135.8261500﻿ (石舞台古墳)","奈良県高市郡明日香村島庄","石舞台古墳","","","","","","","","","","","","","","","",""
"巣山古墳","[巣山古墳奈良県地理院地図Googleマップ北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.5563度 東経135.7408度﻿ /34.5563; 135.7408﻿ (巣山古墳)] 巣山古墳 （すやまこふん）は、 奈良県 北葛城郡 広陵町 三吉にある 古墳 。形状は 前方後円墳 。 馬見古墳群 （中央群）を構成する古墳の1つ。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/巣山古墳","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度33分23秒東経135度44分27秒","北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083座標:北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.55639度 東経135.74083度﻿ /34.55639; 135.74083","奈良県北葛城郡広陵町大字三吉元斉音寺","巣山古墳","","","","","","","","","","","","","","","",""
"藤原京","[藤原宮跡奈良県地理院地図Googleマップ北緯34度30分08秒東経135度48分26秒﻿ / ﻿北緯34.5022度 東経135.8072度﻿ /34.5022; 135.8072﻿ (藤原宮跡)] 藤原京 （ふじわらきょう）は、 飛鳥京 の西北部、 奈良県 橿原市 と 明日香村 にかかる地域にあった 飛鳥時代 の 都城  。 日本 史上で最初の 条坊制 を布いた本格的な唐風都城でもある。 平城京 に遷都されるまでの 日本の首都 とされた。","https://ja.wikipedia.org/wiki/藤原京","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度30分7秒 東経135度48分26秒","","","","","","","","","","","","","","","","","","",""
"安倍文殊院","[文殊院西古墳奈良県地理院地図Googleマップ北緯34度30分13秒東経135度50分33秒﻿ / ﻿北緯34.5036度 東経135.8426度﻿ /34.5036; 135.8426﻿ (文殊院西古墳)] 安倍文殊院 （あべもんじゅいん）は、 奈良県 桜井市 阿部にある 華厳宗 の 寺院 。 山号 は安倍山。 本尊 は 文殊菩薩 。開基は 安倍倉梯麻呂 （あべのくらはしまろ）とされる。 切戸文殊 （ 京都府 ）・ 亀岡文殊 （ 山形県 ）とともに日本三文殊に数えられる。宗教法人名は 文殊院 。","https://ja.wikipedia.org/wiki/安倍文殊院","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度30分13.0秒東経135度50分30.7秒","北緯34度30分13.0秒東経135度50分30.7秒﻿ / ﻿北緯34.503611度 東経135.841861度﻿ /34.503611; 135.841861座標:北緯34度30分13.0秒東経135度50分30.7秒﻿ / ﻿北緯34.503611度 東経135.841861度﻿ /34.503611; 135.841861","奈良県桜井市阿部645","","","","","","","","木造騎獅文殊菩薩及脇侍像（国宝）白山神社本殿（重要文化財）文殊院西古墳（特別史跡）","","","伝・大化元年（645年）","","","安倍山","文殊菩薩","9150005004064",""
"平城宮","[平城宮跡奈良県地理院地図Googleマップ北緯34度41分34秒東経135度47分50秒﻿ / ﻿北緯34.6927度 東経135.7972度﻿ /34.6927; 135.7972﻿ (平城宮跡)] 平城宮 （へいじょうきゅう、へいぜいきゅう）は、 平城京 の 大内裏 。 1998年 （ 平成 10年）12月、「 古都奈良の文化財 」として 東大寺 などと共に 世界遺産 に登録された（考古遺跡としては日本初）。","https://ja.wikipedia.org/wiki/平城宮","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度41分26.5秒 東経135度47分39.5秒","","","","","","","","","","","","","","","","","","",""
"平城京左京三条二坊宮跡庭園","[平城京左京三条二坊宮跡庭園（特別名勝との重複指定）奈良県地理院地図Googleマップ北緯34度41分01秒東経135度48分09秒﻿ / ﻿北緯34.6836度 東経135.8025度﻿ /34.6836; 135.8025﻿ (平城京左京三条二坊宮跡庭園（特別名勝との重複指定）)] 平城京左京三条二坊宮跡庭園 （へいじょうきょうさきょうさんじょうにぼうみやあとていえん）は、 奈良県 奈良市 三条大路にある庭園遺構。国の 特別史跡 ・ 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/平城京左京三条二坊宮跡庭園","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度41分02秒 東経135度48分09秒","","","","","","","","","","","","","","","","","","",""
"本薬師寺","[本薬師寺跡奈良県地理院地図Googleマップ北緯34度29分33秒東経135度48分01秒﻿ / ﻿北緯34.4925度 東経135.8003度﻿ /34.4925; 135.8003﻿ (本薬師寺跡)] 本薬師寺 （もとやくしじ）は、 奈良県 橿原市 の東南に位置する 藤原京 の 薬師寺 と呼ばれた 寺院  。後に 持統天皇 となる皇后の病気平癒を祈って 天武天皇 が建立を誓願した官寺である。 平城京 遷都で 薬師寺 が 西ノ京 に移ると、西ノ京の「薬師寺」と区別するために「本薬師寺」と称されるようになった   。本薬師寺は 元薬師寺 とも記されるほか  、平城京に造営された薬師寺（平城京薬師寺  ）に対して、「藤原京薬師寺」などとも呼ばれる  。これまでの発掘調査により、およそ11世紀初頭まで存続していたことが認められている  。","https://ja.wikipedia.org/wiki/本薬師寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度29分34秒東経135度48分01秒","北緯34度29分34秒東経135度48分01秒﻿ / ﻿北緯34.49278度 東経135.80028度﻿ /34.49278; 135.80028座標:北緯34度29分34秒東経135度48分01秒﻿ / ﻿北緯34.49278度 東経135.80028度﻿ /34.49278; 135.80028","奈良県橿原市城殿町279","","","","","","","","特別史跡","","","天武天皇9年（680年）勅願","","","","","",""
"岩橋千塚古墳群","[岩橋千塚古墳群和歌山県地理院地図Googleマップ北緯34度13分25秒東経135度13分48秒﻿ / ﻿北緯34.2236度 東経135.2301度﻿ /34.2236; 135.2301﻿ (岩橋千塚古墳群)] 岩橋千塚古墳群 （いわせせんづかこふんぐん）は、 和歌山県 和歌山市 岩橋に所在する 古墳時代 後期後半の 古墳群 である。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/岩橋千塚古墳群","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度13分29.8秒 東経135度13分40.6秒","","","","","","","","","","","","","","","","","","",""
"斎尾廃寺跡","[斎尾廃寺跡鳥取県地理院地図Googleマップ北緯35度28分53秒東経133度42分41秒﻿ / ﻿北緯35.4815度 東経133.7115度﻿ /35.4815; 133.7115﻿ (斎尾廃寺跡)] 斎尾廃寺跡 （さいのおはいじあと）は、 鳥取県 東伯郡 琴浦町 槻下にある 飛鳥時代 後期から 奈良時代 の寺院跡。国の 特別史跡 に指定  されている。","https://ja.wikipedia.org/wiki/斎尾廃寺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯35度28分53.4秒 東経133度42分41.4秒","","","","","","","","","","","","","","","","","","",""
"閑谷学校","[旧閑谷学校附 椿山石門津田永忠宅跡および黄葉亭岡山県地理院地図Googleマップ北緯34度47分48秒東経134度13分11秒﻿ / ﻿北緯34.7967度 東経134.2196度﻿ /34.7967; 134.2196﻿ (旧閑谷学校附 椿山石門津田永忠宅跡および黄葉亭)] 閑谷学校 （しずたにがっこう）は、 江戸時代 前期に 岡山藩 によって開かれた庶民のための学校。所在地は 岡山県 備前市 閑谷。「旧閑谷学校」として 特別史跡 に指定され、講堂は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/閑谷学校","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度47分47.0秒東経134度13分10.2秒","","岡山県備前市","","","","","","","","国宝（講堂）、重要文化財（聖廟・神社等）","","","","","","","","",""
"厳島","[厳島（特別名勝との重複指定）広島県地理院地図Googleマップ北緯34度16分50秒東経132度18分42秒﻿ / ﻿北緯34.2805度 東経132.3117度﻿ /34.2805; 132.3117﻿ (厳島（特別名勝との重複指定）)] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度16分0秒東経132度18分0秒","","日本（広島県廿日市市）","","","","","","","","","","","","","","","","",""
"廉塾","[廉塾ならびに菅茶山旧宅広島県地理院地図Googleマップ北緯34度32分41秒東経133度23分04秒﻿ / ﻿北緯34.5446度 東経133.3845度﻿ /34.5446; 133.3845﻿ (廉塾ならびに菅茶山旧宅)] 廉塾 （れんじゅく）は、 江戸時代 の 儒学者 ・ 菅茶山 によって 備後国 （現・広島県 福山市 神辺町 ）に開かれた 私塾 。「廉」という字には「倹約（けんやく）をする・贅沢（ぜいたく）をしない」という意味があり、茶山の教育方針に沿ったものと考えられている。","https://ja.wikipedia.org/wiki/廉塾","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度32分41.0秒 東経133度23分04.0秒","","","","","","","","","","","","","","","","","","",""
"讃岐国分寺","[讃岐国分寺跡香川県地理院地図Googleマップ北緯34度18分12秒東経133度56分42秒﻿ / ﻿北緯34.3032度 東経133.9449度﻿ /34.3032; 133.9449﻿ (讃岐国分寺跡)] 讃岐国分寺 （さぬきこくぶんじ）は、 香川県 高松市 国分寺町国分にある 真言宗御室派 の 寺院 。 四国八十八箇所 霊場 の第八十番 札所 。札所寺院としては単に「 國分寺  」と称するのが通例である。","https://ja.wikipedia.org/wiki/讃岐国分寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯34度18分11.3秒東経133度56分39秒","北緯34度18分11.3秒東経133度56分39秒﻿ / ﻿北緯34.303139度 東経133.94417度﻿ /34.303139; 133.94417﻿ (国分寺)座標:北緯34度18分11.3秒東経133度56分39秒﻿ / ﻿北緯34.303139度 東経133.94417度﻿ /34.303139; 133.94417﻿ (国分寺)","香川県高松市国分寺町国分字上所2065番地","","","","","","","","本堂、銅鐘、木造千手観音立像（国の重要文化財）讃岐国分寺跡（国の特別史跡）","","","天平勝宝8年（756年）以前","","","白牛山","千手観音（十一面千手観世音菩薩）","1470005001879",""
"王塚古墳","[王塚古墳福岡県地理院地図Googleマップ北緯33度35分19秒東経130度39分41秒﻿ / ﻿北緯33.5885度 東経130.6614度﻿ /33.5885; 130.6614﻿ (王塚古墳)] 王塚古墳 （おうづかこふん）は、 福岡県 嘉穂郡 桂川町 寿命（じゅめい）に存在する 古墳 で、5つの色彩で彩られた壁画が石室内ほぼ全面に施されていることで知られている。 日本 の 特別史跡 。","https://ja.wikipedia.org/wiki/王塚古墳","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯33度35分19.55秒東経130度39分50.2秒","北緯33度35分19.55秒東経130度39分50.2秒﻿ / ﻿北緯33.5887639度 東経130.663944度﻿ /33.5887639; 130.663944","福岡県嘉穂郡桂川町大字寿命","","","","","","","","","","","","","","","","",""
"水城","[水城跡福岡県地理院地図Googleマップ北緯33度31分05秒東経130度29分34秒﻿ / ﻿北緯33.5181度 東経130.4928度﻿ /33.5181; 130.4928﻿ (水城跡)] 水城 （みずき）は、 福岡県 の 太宰府市 ・ 大野城市 ・ 春日市 にまたがり築かれた、 日本 の 古代 の 城 である。城跡は、1953年（昭和28年）3月31日、国の 特別史跡 「水城跡」に指定されている  。","https://ja.wikipedia.org/wiki/水城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯33度31分4.97秒東経130度29分33.56秒","北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ /33.5180472; 130.4926556座標:北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ /33.5180472; 130.4926556","","水城","古代の城","大和朝廷","天智天皇3年（664年）","土塁・城門跡・外濠跡","国の特別史跡「水城跡」","不明","","","","","","","","","",""
"大宰府","[大宰府跡福岡県地理院地図Googleマップ北緯33度30分54秒東経130度30分56秒﻿ / ﻿北緯33.5150度 東経130.5156度﻿ /33.5150; 130.5156﻿ (大宰府跡)] 大宰府 （だざいふ）は、 7世紀 後半に、 九州 の 筑前国 に設置された地方行政機関。軍事・外交を主任務とし、九州地方の内政も担当した。和名は「おほ みこともち の つかさ」とされる。多くの史書では 太宰府 とも記され  、おもに8世紀の大和朝廷内部で作られた史書で「大宰府」と記されている。","https://ja.wikipedia.org/wiki/大宰府","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯33度30分52.35秒 東経130度30分54.52秒","","","","","","","","","","","","","","","","","","",""
"大野城 (筑前国)","[大野城跡福岡県地理院地図Googleマップ北緯33度32分24秒東経130度31分18秒﻿ / ﻿北緯33.5400度 東経130.5216度﻿ /33.5400; 130.5216﻿ (大野城跡)] 大野城 （おおのじょう/おおののき）は、 福岡県 の 太宰府市 ・ 大野城市 ・ 糟屋郡 宇美町 にまたがる大城山（おおきやま）  に築かれた、 日本 の 古代山城 である。城跡は、 1953年 （昭和28年）3月31日、国の 特別史跡 「大野城跡」に指定されている  。","https://ja.wikipedia.org/wiki/大野城_(筑前国)","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯33度32分23.7秒東経130度31分17.6秒","北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ /33.539917; 130.521556﻿ (大野城 (筑前国))座標:北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ /33.539917; 130.521556﻿ (大野城 (筑前国))","","大野城","古代山城","大和朝廷","天智天皇4年（665年）","土塁・石塁・水門・城門・建物跡・水溜め","国の特別史跡「大野城跡」","不明","","","","","","","","","",""
"基肄城","[基肄（椽）城跡福岡県佐賀県地理院地図Googleマップ北緯33度26分42秒東経130度30分48秒﻿ / ﻿北緯33.4449度 東経130.5133度﻿ /33.4449; 130.5133﻿ (基肄（椽）城跡)] 基肄城 （きいじょう / きいのき、 椽城 ）は、 福岡県 筑紫野市 と 佐賀県 三養基郡 基山町 にまたがる 基山 （きざん）に築かれた  、 日本 の 古代山城 である。城跡は、1954年（昭和29年）3月20日、国の 特別史跡 「基肄（椽）城跡」に指定されている  。","https://ja.wikipedia.org/wiki/基肄城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯33度26分42秒東経130度30分47秒","北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)座標:北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)","","基肄城","古代山城","大和朝廷","天智天皇4年（665年）","土塁・石塁・城門・水門・礎石","国の特別史跡「基肄（椽）城跡」","不明","","","","","","","","","",""
