"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","標高","山系","種類","最新噴火","最高峰","延長","幅","上位山系","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"六角牛山","[32画 像 募 集 中ろっこうしさん六角牛山岩手県1,293.7地理院地図Googleマップ北緯39度19分06秒東経141度39分01秒﻿ / ﻿北緯39.318356度 東経141.650147度﻿ /39.318356; 141.650147﻿ (六角牛山)遠野小富士] 六角牛山 （ろっこうしさん）は、 岩手県 遠野市 と 釜石市 との境界にある 山 。遠野小富士の異名を持つ。","https://ja.wikipedia.org/wiki/六角牛山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度19分06秒東経141度39分01秒","北緯39度19分06秒東経141度39分01秒﻿ / ﻿北緯39.31833度 東経141.65028度﻿ /39.31833; 141.65028座標:北緯39度19分06秒東経141度39分01秒﻿ / ﻿北緯39.31833度 東経141.65028度﻿ /39.31833; 141.65028","日本岩手県遠野市・釜石市","1,294.3m","北上山地","","","","","","","","","","","","","","",""
"五葉山","[33ごようさん五葉山岩手県1,351地理院地図Googleマップ北緯39度12分14秒東経141度43分45秒﻿ / ﻿北緯39.203978度 東経141.729101度﻿ /39.203978; 141.729101﻿ (五葉山)日本三百名山花の百名山] 五葉山 （ごようざん）は、 東北地方 太平洋 側にある 北上山地 南部の 山 。 標高 は1,351mで、 三陸 沿岸の最高峰である。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/五葉山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度12分14秒東経141度43分44秒","北緯39度12分14秒東経141度43分44秒﻿ / ﻿北緯39.20389度 東経141.72889度﻿ /39.20389; 141.72889","日本岩手県：住田町、大船渡市、釜石市","1,351m","北上山地","","","","","","","","","","","","","","",""
"氷上山 (存在しないページ)","[34画 像 募 集 中ひかみさん氷上山岩手県874.4地理院地図Googleマップ北緯39度03分32秒東経141度39分38秒﻿ / ﻿北緯39.058947度 東経141.660504度﻿ /39.058947; 141.660504﻿ (氷上山)]","https://ja.wikipedia.org/w/index.php?title=氷上山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"女神山","[35めがみやま女神山岩手県秋田県955.5地理院地図Googleマップ北緯39度25分01秒東経140度40分30秒﻿ / ﻿北緯39.416965度 東経140.675096度﻿ /39.416965; 140.675096﻿ (女神山)] 女神山 （めがみやま）は、 秋田県 仙北郡 美郷町 と 岩手県 和賀郡 西和賀町 の境にある山である。標高は955.4m。山頂には三等 三角点 「女神山」が設置されている。","https://ja.wikipedia.org/wiki/女神山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度25分01秒東経140度40分30秒","北緯39度25分01秒東経140度40分30秒﻿ / ﻿北緯39.41694度 東経140.67500度﻿ /39.41694; 140.67500座標:北緯39度25分01秒東経140度40分30秒﻿ / ﻿北緯39.41694度 東経140.67500度﻿ /39.41694; 140.67500","日本秋田県仙北郡美郷町,岩手県和賀郡西和賀町","955.4m","真昼山地","","","","","","","","","","","","","","",""
"和賀岳","[36わがだけ和賀岳岩手県秋田県1,439.5地理院地図Googleマップ北緯39度34分13秒東経140度45分15秒﻿ / ﻿北緯39.570405度 東経140.754239度﻿ /39.570405; 140.754239﻿ (和賀岳)日本二百名山和賀山塊] 和賀山塊 （わがさんかい）は、 秋田 ・ 岩手 県境にある 山塊 。 奥羽山脈 真昼山地 の一部。奥深い原生自然とブナ混生林、さらに巨樹・巨木の存在によって知られている。","https://ja.wikipedia.org/wiki/和賀岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度34分13.4583秒東経140度45分15.2599秒","北緯39度34分13.4583秒東経140度45分15.2599秒﻿ / ﻿北緯39.570405083度 東経140.754238861度﻿ /39.570405083; 140.754238861（和賀岳）","秋田県・岩手県","","","","","和賀岳（1,439m）","40km","20km","","","","","","","","","",""
"真昼岳","[37まひるだけ真昼岳岩手県秋田県1,059.6地理院地図Googleマップ北緯39度26分52秒東経140度40分36秒﻿ / ﻿北緯39.447855度 東経140.676529度﻿ /39.447855; 140.676529﻿ (真昼岳)真昼山地] 真昼岳 （まひるだけ）とは、 秋田県 仙北郡 美郷町 と 岩手県 和賀郡 西和賀町 との県境にある 山 である。 真昼山 とも。 真昼山地 の主峰で、 標高 は1059mである   。","https://ja.wikipedia.org/wiki/真昼岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度26分52.2秒東経140度40分35.4秒","北緯39度26分52.2秒東経140度40分35.4秒﻿ / ﻿北緯39.447833度 東経140.676500度﻿ /39.447833; 140.676500座標:北緯39度26分52.2秒東経140度40分35.4秒﻿ / ﻿北緯39.447833度 東経140.676500度﻿ /39.447833; 140.676500","日本秋田県仙北郡美郷町岩手県和賀郡西和賀町","1,059m","真昼山地","","","","","","","","","","","","","","",""
"焼石岳","[38やけいしだけ焼石岳岩手県1,547.7地理院地図Googleマップ北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.163683度 東経140.828812度﻿ /39.163683; 140.828812﻿ (焼石岳)日本二百名山] 焼石岳 （やけいしだけ）とは、 岩手県 南西部、 奥州市 と 和賀郡 西和賀町 の境にある 火山 である。標高1,548メートル。 奥羽山脈 中部に属し、 牛形山 、 駒ヶ岳 などからなる焼石連峰の主峰で、 栗駒国定公園 の一部。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/焼石岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度09分49秒東経140度49分44秒","北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.16361度 東経140.82889度﻿ /39.16361; 140.82889座標:北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.16361度 東経140.82889度﻿ /39.16361; 140.82889","日本岩手県奥州市・和賀郡西和賀町","1,547.7m","奥羽山脈","","","","","","","","","","","","","","",""
"牛形山","[39画 像 募 集 中うしがたやま牛形山岩手県1,339.5地理院地図Googleマップ北緯39度12分06秒東経140度51分37秒﻿ / ﻿北緯39.201700度 東経140.860296度﻿ /39.201700; 140.860296﻿ (牛形山)] 牛形山 （うしがたやま）は、 岩手県 北上市 と 和賀郡 西和賀町 との境界にある 山 である。 奥羽山脈 に含まれる山の一つで、 標高 は1,339.8mである。登山口の標高は578mであり、標高差は762m。 経塚山 、 金ヶ崎駒ヶ岳 とともに 夏油三山 の一つに数えられている。","https://ja.wikipedia.org/wiki/牛形山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度12分06.0秒東経140度51分37.0秒","北緯39度12分06.0秒東経140度51分37.0秒﻿ / ﻿北緯39.201667度 東経140.860278度﻿ /39.201667; 140.860278座標:北緯39度12分06.0秒東経140度51分37.0秒﻿ / ﻿北緯39.201667度 東経140.860278度﻿ /39.201667; 140.860278","日本岩手県北上市・和賀郡西和賀町","1,339.8m","奥羽山脈","","","","","","","","","","","","","","",""
"甑山","[40こしきやま甑山秋田県山形県981.4地理院地図Googleマップ北緯39度00分43秒東経140度18分38秒﻿ / ﻿北緯39.012060度 東経140.310552度﻿ /39.012060; 140.310552﻿ (甑山)男甑山・女甑山] 甑山 （こしきやま）は、 秋田県 由利本荘市 と 山形県 真室川町 にまたがる山である。 東北百名山 に選ばれている。山形県の 加無山県立自然公園 内にある。","https://ja.wikipedia.org/wiki/甑山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度01分01.1秒東経140度18分46.0秒","北緯39度01分01.1秒東経140度18分46.0秒﻿ / ﻿北緯39.016972度 東経140.312778度﻿ /39.016972; 140.312778座標:北緯39度01分01.1秒東経140度18分46.0秒﻿ / ﻿北緯39.016972度 東経140.312778度﻿ /39.016972; 140.312778","日本秋田県由利本荘市山形県真室川町","981.3m","","","","","","","","","","","","","","","",""
"栗駒山","[41くりこまやま栗駒山岩手県宮城県秋田県1,626.7地理院地図Googleマップ北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.960922度 東経140.788403度﻿ /38.960922; 140.788403﻿ (栗駒山)日本二百名山新日本百名山花の百名山新・花の百名山須川岳] 栗駒山 （くりこまやま）は、山体が 宮城県 、 秋田県 、 岩手県 の三県にまたがる 山 である。 標高 は1,626m  。山頂部は 宮城県 と 岩手県 の境界になっている。 奥羽山脈 に属し、 焼石岳 や 神室山 とともに 栗駒国定公園 や栗駒山・栃ヶ森周辺森林生態系保護地域として指定されている。 二百名山 の一つ。","https://ja.wikipedia.org/wiki/栗駒山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度57分39秒東経140度47分18秒","北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833座標:北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833","日本岩手県一関市宮城県栗原市秋田県湯沢市・雄勝郡東成瀬村","1,626m","奥羽山脈","成層火山(活火山ランクB)","1944年11月20日（昭和湖）","","","","","","","","","","","","",""
"虎毛山","[42とらげやま虎毛山秋田県1,432.9地理院地図Googleマップ北緯38度54分17秒東経140度37分08秒﻿ / ﻿北緯38.904589度 東経140.618791度﻿ /38.904589; 140.618791﻿ (虎毛山)] 虎毛山 （とらげさん    /とらげやま  ）は、 秋田県 湯沢市 にある 山 である。 東北百名山 に選ばれている。","https://ja.wikipedia.org/wiki/虎毛山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度54分17秒東経140度37分08秒","北緯38度54分17秒東経140度37分08秒﻿ / ﻿北緯38.90472度 東経140.61889度﻿ /38.90472; 140.61889座標:北緯38度54分17秒東経140度37分08秒﻿ / ﻿北緯38.90472度 東経140.61889度﻿ /38.90472; 140.61889","日本秋田県湯沢市","1,433m","栗駒山地","","","","","","","","","","","","","","",""
"神室山","[43かむろさん神室山秋田県山形県1,365.2地理院地図Googleマップ北緯38度54分08秒東経140度29分32秒﻿ / ﻿北緯38.902261度 東経140.492277度﻿ /38.902261; 140.492277﻿ (神室山)日本二百名山] 神室山 （かむろさん）は 秋田県 湯沢市 と 山形県 新庄市 、 金山町 の県境･市境上にそびえる、神室連峰の主峰となる山である。","https://ja.wikipedia.org/wiki/神室山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度54分8秒東経140度29分32.3秒","北緯38度54分8秒東経140度29分32.3秒﻿ / ﻿北緯38.90222度 東経140.492306度﻿ /38.90222; 140.492306座標:北緯38度54分8秒東経140度29分32.3秒﻿ / ﻿北緯38.90222度 東経140.492306度﻿ /38.90222; 140.492306","日本秋田県湯沢市・山形県新庄市・金山町","1365.2m","神室連峰","構造山地（花崗岩）","","","","","","","","","","","","","",""
"高松岳","[44たかまつだけ高松岳秋田県1,348地理院地図Googleマップ北緯38度58分04秒東経140度36分23秒﻿ / ﻿北緯38.967689度 東経140.606350度﻿ /38.967689; 140.606350﻿ (高松岳)] 高松岳 （たかまつだけ）は、 秋田県 湯沢市 にある山である。 栗駒山 の西方16kmに位置する第4紀に噴出した比較的新しい火山である。隣接する小安岳と、山伏岳を合わせて「泥湯三山」とよばれている。","https://ja.wikipedia.org/wiki/高松岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度58分04秒東経140度36分23秒","北緯38度58分04秒東経140度36分23秒﻿ / ﻿北緯38.96778度 東経140.60639度﻿ /38.96778; 140.60639座標:北緯38度58分04秒東経140度36分23秒﻿ / ﻿北緯38.96778度 東経140.60639度﻿ /38.96778; 140.60639","日本秋田県湯沢市","1,348m","神室山地","火山","","","","","","","","","","","","","",""
"須金岳 (存在しないページ)","[45画 像 募 集 中すがねだけ須金岳宮城県秋田県1,253地理院地図Googleマップ北緯38度53分32秒東経140度39分19秒﻿ / ﻿北緯38.892100度 東経140.655414度﻿ /38.892100; 140.655414﻿ (須金岳)]","https://ja.wikipedia.org/w/index.php?title=須金岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"禿岳","[46かむろだけ禿岳宮城県山形県1,261.7地理院地図Googleマップ北緯38度48分39秒東経140度35分42秒﻿ / ﻿北緯38.810956度 東経140.595067度﻿ /38.810956; 140.595067﻿ (禿岳)小鏑山] 禿岳 （かむろだけ）は、 宮城県 大崎市 鳴子温泉 鬼首 と 山形県 最上郡 最上町 とにまたがる標高1,261.7mの 山 である。","https://ja.wikipedia.org/wiki/禿岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度48分39秒東経140度35分42秒","北緯38度48分39秒東経140度35分42秒﻿ / ﻿北緯38.81083度 東経140.59500度﻿ /38.81083; 140.59500座標:北緯38度48分39秒東経140度35分42秒﻿ / ﻿北緯38.81083度 東経140.59500度﻿ /38.81083; 140.59500","日本宮城県大崎市・山形県最上郡最上町","1,261.7m","神室山地","","","","","","","","","","","","","","",""
"小又山 (存在しないページ)","[47こまたやま小又山山形県1,366.7地理院地図Googleマップ北緯38度51分46秒東経140度29分08秒﻿ / ﻿北緯38.862877度 東経140.485656度﻿ /38.862877; 140.485656﻿ (小又山)]","https://ja.wikipedia.org/w/index.php?title=小又山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"杢蔵山","[48画 像 募 集 中もくぞうやま杢蔵山山形県1,026.4地理院地図Googleマップ北緯38度47分22秒東経140度24分05秒﻿ / ﻿北緯38.789528度 東経140.401358度﻿ /38.789528; 140.401358﻿ (杢蔵山)] 杢蔵山 （もくぞうさん）は 山形県 新庄市 に位置する標高1,026mの 山 である。神室連峰の南端に位置し、新庄市街の正面に位置する。新庄市民にとって市の象徴的な山である。","https://ja.wikipedia.org/wiki/杢蔵山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度47分22秒東経140度24分05秒","北緯38度47分22秒東経140度24分05秒﻿ / ﻿北緯38.78944度 東経140.40139度﻿ /38.78944; 140.40139","山形県新庄市","1026.6m","神室連峰","構造山地","","","","","","","","","","","","","",""
"鳥海山","[49ちょうかいさん鳥海山山形県2,236地理院地図Googleマップ北緯39度05分58秒東経140度03分05秒﻿ / ﻿北緯39.099516度 東経140.051278度﻿ /39.099516; 140.051278﻿ (鳥海山)日本百名山新日本百名山花の百名山新・花の百名山新山・七高山山形県最高峰秋田県最高地点は南東斜面出羽富士] 鳥海山 （ちょうかいさん、ちょうかいざん  ）は、 山形県 と 秋田県 に跨がる 標高 2,236mの 活火山 。山頂に雪が積もった姿が富士山に類似しているため、 出羽富士 （でわふじ）とも呼ばれ親しまれている。秋田県では 秋田富士 （あきたふじ）、山形県では 庄内富士 （しょうないふじ）とも呼ばれている。古くからの名では鳥見山（とりみやま）という。 鳥海国定公園 に属する。 日本百名山  ・ 日本百景 の一つ。2007年（平成19年）に 日本の地質百選 に選定された。2009年（平成21年）に 国史跡 「鳥海山」として指定された。","https://ja.wikipedia.org/wiki/鳥海山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度05分57秒東経140度02分56秒","北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889座標:北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889","日本山形県飽海郡遊佐町・酒田市・秋田県由利本荘市・にかほ市","2,236m","出羽山地","成層火山","","","","","","","","","","","","","",""
"丁岳","[50ひのとだけ丁岳秋田県山形県1,145.7地理院地図Googleマップ北緯39度01分55秒東経140度13分10秒﻿ / ﻿北緯39.032029度 東経140.219315度﻿ /39.032029; 140.219315﻿ (丁岳)] 丁岳 （ひのとだけ）とは、 秋田県 由利本荘市 と 山形県 真室川町 にまたがる山である。2000年版の 東北百名山 に選ばれている。","https://ja.wikipedia.org/wiki/丁岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯39度01分55.21秒東経140度13分08.07秒","北緯39度01分55.21秒東経140度13分08.07秒﻿ / ﻿北緯39.0320028度 東経140.2189083度﻿ /39.0320028; 140.2189083座標:北緯39度01分55.21秒東経140度13分08.07秒﻿ / ﻿北緯39.0320028度 東経140.2189083度﻿ /39.0320028; 140.2189083","日本山形県真室川町秋田県由利本荘市","1,145.6m","丁岳山地","","","","","","","","","","","","","","",""
"翁山 (宮城県・山形県) (存在しないページ)","[51画 像 募 集 中おきなやま翁山宮城県山形県1,075.1地理院地図Googleマップ北緯38度39分03秒東経140度32分41秒﻿ / ﻿北緯38.650873度 東経140.544772度﻿ /38.650873; 140.544772﻿ (翁山)]","https://ja.wikipedia.org/w/index.php?title=翁山_(宮城県・山形県)&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"薬莱山","[52やくらいさん薬莱山宮城県553.1地理院地図Googleマップ北緯38度34分32秒東経140度42分19秒﻿ / ﻿北緯38.575551度 東経140.705233度﻿ /38.575551; 140.705233﻿ (薬莱山)] 薬萊山 （やくらいさん）は、 宮城県 加美郡 加美町 のほぼ中央、宮城 県立自然公園船形連峰  に含まれる 標高 553 m の 山 である。","https://ja.wikipedia.org/wiki/薬莱山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度34分32秒東経140度42分19秒","北緯38度34分32秒東経140度42分19秒﻿ / ﻿北緯38.57556度 東経140.70528度﻿ /38.57556; 140.70528﻿ (北泉ヶ岳山頂（標高1,253m）)座標:北緯38度34分32秒東経140度42分19秒﻿ / ﻿北緯38.57556度 東経140.70528度﻿ /38.57556; 140.70528﻿ (北泉ヶ岳山頂（標高1,253m）)","日本宮城県加美郡加美町","553m","船形連峰","第三紀の火山岩頸","","","","","","","","","","","","","",""
"黒伏山","[53画 像 募 集 中くろぶしやま黒伏山山形県1,226.8地理院地図Googleマップ北緯38度26分50秒東経140度31分49秒﻿ / ﻿北緯38.447146度 東経140.530356度﻿ /38.447146; 140.530356﻿ (黒伏山)] 黒伏山 （くろぶしやま）は 山形県 東根市 に位置する標高1227メートルの山である。","https://ja.wikipedia.org/wiki/黒伏山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度28分59.37秒東経140度33分47.53秒","北緯38度28分59.37秒東経140度33分47.53秒﻿ / ﻿北緯38.4831583度 東経140.5632028度﻿ /38.4831583; 140.5632028座標:北緯38度28分59.37秒東経140度33分47.53秒﻿ / ﻿北緯38.4831583度 東経140.5632028度﻿ /38.4831583; 140.5632028","","1227m","","","","","","","","","","","","","","","",""
"甑岳 (山形県)","[54画 像 募 集 中こしきだけ甑岳山形県1,015.6地理院地図Googleマップ北緯38度29分13秒東経140度26分51秒﻿ / ﻿北緯38.487028度 東経140.447404度﻿ /38.487028; 140.447404﻿ (甑岳)] 甑岳 （こしきだけ）は、 山形県 東根市 と 村山市 の境にまたがる 標高 1,016 メートル の山である。 東北百名山 のひとつに数えられる。","https://ja.wikipedia.org/wiki/甑岳_(山形県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度29分13秒東経140度26分51秒","北緯38度29分13秒東経140度26分51秒﻿ / ﻿北緯38.48694度 東経140.44750度﻿ /38.48694; 140.44750座標:北緯38度29分13秒東経140度26分51秒﻿ / ﻿北緯38.48694度 東経140.44750度﻿ /38.48694; 140.44750","日本山形県東根市、村山市","1,016m","","","","","","","","","","","","","","","",""
"船形山","[55ふながたやま船形山宮城県山形県1,500.3地理院地図Googleマップ北緯38度27分20秒東経140度37分11秒﻿ / ﻿北緯38.455454度 東経140.619838度﻿ /38.455454; 140.619838﻿ (船形山)日本二百名山御所山] 船形山 （ふながたやま）は、 宮城県 と 山形県 の 県境 にそびえる、 奥羽山脈 船形火山群 （ 英語版 ） の主峰となる 火山 である。別名は 御所山 （ごしょざん）。 日本二百名山 のひとつに数えられる。","https://ja.wikipedia.org/wiki/船形山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度27分20秒東経140度37分12.3秒","北緯38度27分20秒東経140度37分12.3秒﻿ / ﻿北緯38.45556度 東経140.620083度﻿ /38.45556; 140.620083﻿ (船形山（山頂を示す地図記号の位置）)座標:北緯38度27分20秒東経140度37分12.3秒﻿ / ﻿北緯38.45556度 東経140.620083度﻿ /38.45556; 140.620083﻿ (船形山（山頂を示す地図記号の位置）)","日本宮城県・山形県","1500.34m","船形火山群","成層火山（玄武岩、安山岩）","","","","","","","","","","","","","",""
"七ツ森","[56ななつもり七ッ森宮城県506.4地理院地図Googleマップ北緯38度24分19秒東経140度48分43秒﻿ / ﻿北緯38.405309度 東経140.812017度﻿ /38.405309; 140.812017﻿ (七ッ森)笹倉山] 七ツ森 （ななつもり）は、 宮城県 黒川郡 大和町 にある、7つの山の総称である。最高峰は笹倉山（大森）で、 標高 は507m。 南川ダム の 北東 に6つの山があり、笹倉山のみが同ダムの 南 方4 km ほどに離れて座する。","https://ja.wikipedia.org/wiki/七ツ森","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度25分東経140度50分","北緯38度25分東経140度50分﻿ / ﻿北緯38.417度 東経140.833度﻿ /38.417; 140.833","宮城県黒川郡大和町","507m","","","","","","","","","","","","","","","",""
"泉ヶ岳","[57いずみがだけ泉ヶ岳宮城県1,175地理院地図Googleマップ北緯38度24分42秒東経140度42分35秒﻿ / ﻿北緯38.411599度 東経140.709700度﻿ /38.411599; 140.709700﻿ (泉ヶ岳)日本三百名山] 泉ヶ岳 （いずみがたけ）は、 宮城県 仙台市 泉区 の北西部に位置する 標高 1175 メートル の 山 である（ 三角点 は1172.18メートル、 地図 ）。船形連峰に連なる。","https://ja.wikipedia.org/wiki/泉ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度24分43.9秒東経140度42分31.7秒","北緯38度24分43.9秒東経140度42分31.7秒﻿ / ﻿北緯38.412194度 東経140.708806度﻿ /38.412194; 140.708806﻿ (泉ヶ岳山頂（標高1175m）)","宮城県仙台市泉区","1,175m","船形連峰","","","","","","","","","","","","","","",""
"面白山","[58おもしろやま面白山宮城県山形県1,264.5地理院地図Googleマップ北緯38度20分55秒東経140度31分20秒﻿ / ﻿北緯38.348666度 東経140.522336度﻿ /38.348666; 140.522336﻿ (面白山)] 面白山 （おもしろやま）は、 山形県 山形市 と 宮城県 仙台市 太白区 との県境にある 奥羽山脈 中の 火山 。 標高 1,264.4m。仙台側から見ると面が白く見えることから、「面白山」と名付けられた。","https://ja.wikipedia.org/wiki/面白山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度20分55.1秒東経140度31分20.4秒","北緯38度20分55.1秒東経140度31分20.4秒﻿ / ﻿北緯38.348639度 東経140.522333度﻿ /38.348639; 140.522333座標:北緯38度20分55.1秒東経140度31分20.4秒﻿ / ﻿北緯38.348639度 東経140.522333度﻿ /38.348639; 140.522333","日本宮城県仙台市太白区・山形県山形市","1,264.4m","","","","","","","","","","","","","","","",""
"大東岳 (存在しないページ)","[59だいとうだけ大東岳宮城県1,365.7地理院地図Googleマップ北緯38度18分08秒東経140度31分25秒﻿ / ﻿北緯38.302152度 東経140.523536度﻿ /38.302152; 140.523536﻿ (大東岳)]","https://ja.wikipedia.org/w/index.php?title=大東岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"神室岳 (存在しないページ)","[60かむろだけ神室岳宮城県1,356地理院地図Googleマップ北緯38度15分20秒東経140度29分08秒﻿ / ﻿北緯38.255622度 東経140.485442度﻿ /38.255622; 140.485442﻿ (神室岳)]","https://ja.wikipedia.org/w/index.php?title=神室岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"徳仙丈山","[61画 像 募 集 中とくせんじょうさん徳仙丈山宮城県710.8地理院地図Googleマップ北緯38度50分54秒東経141度28分12秒﻿ / ﻿北緯38.848438度 東経141.469900度﻿ /38.848438; 141.469900﻿ (徳仙丈山)] 徳仙丈山 （とくせんじょうさん）は、 宮城県 気仙沼市 にある 山 である。","https://ja.wikipedia.org/wiki/徳仙丈山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度50分54.4秒東経141度28分11.6秒","北緯38度50分54.4秒東経141度28分11.6秒﻿ / ﻿北緯38.848444度 東経141.469889度﻿ /38.848444; 141.469889座標:北緯38度50分54.4秒東経141度28分11.6秒﻿ / ﻿北緯38.848444度 東経141.469889度﻿ /38.848444; 141.469889","日本宮城県気仙沼市赤岩物見・同市本吉町上川内","711.1m","","","","","","","","","","","","","","","",""
"雁戸山","[62がんどやま雁戸山宮城県山形県1,484.6地理院地図Googleマップ北緯38度11分57秒東経140度28分38秒﻿ / ﻿北緯38.199075度 東経140.477272度﻿ /38.199075; 140.477272﻿ (雁戸山)蔵王山] 笹谷峠 の南に位置する 火山 である。 蔵王連峰 のうち北蔵王と呼ばれる山塊である。東麓には セントメリースキー場 があり、西麓には 馬見ヶ崎川 に造られた 蔵王ダム がある。","https://ja.wikipedia.org/wiki/雁戸山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度11分56.4秒東経140度28分38.7秒","北緯38度11分56.4秒東経140度28分38.7秒﻿ / ﻿北緯38.199000度 東経140.477417度﻿ /38.199000; 140.477417座標:北緯38度11分56.4秒東経140度28分38.7秒﻿ / ﻿北緯38.199000度 東経140.477417度﻿ /38.199000; 140.477417","日本宮城県柴田郡川崎町・山形県山形市","1484.6m","奥羽山脈","成層火山","","","","","","","","","","","","","",""
"屏風岳 (蔵王連峰の山)","[63びょうぶだけ屏風岳宮城県1,825地理院地図Googleマップ北緯38度05分40秒東経140度28分35秒﻿ / ﻿北緯38.094419度 東経140.476322度﻿ /38.094419; 140.476322﻿ (屏風岳)蔵王山宮城県最高峰] 屏風岳 （びょうぶだけ）は、 宮城県 刈田郡 蔵王町 と同郡 七ヶ宿町 の 蔵王連峰 にある 標高 1,825mの 宮城県 の 最高峰 である。山頂から南に約500m行けば 白石市 にも接する。","https://ja.wikipedia.org/wiki/屏風岳_(蔵王連峰の山)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度05分44.4秒東経140度28分33.7秒","北緯38度05分44.4秒東経140度28分33.7秒﻿ / ﻿北緯38.095667度 東経140.476028度﻿ /38.095667; 140.476028座標:北緯38度05分44.4秒東経140度28分33.7秒﻿ / ﻿北緯38.095667度 東経140.476028度﻿ /38.095667; 140.476028","日本宮城県刈田郡蔵王町・七ヶ宿町","1,825m","蔵王連峰","","","","","","","","","","","","","","",""
