"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"城野駅 (JR九州)","城野駅 (JR九州)（じょうのえき・九州旅客鉄道日豊本線・日田彦山線）","https://ja.wikipedia.org/wiki/城野駅_(JR九州)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度51分29.62秒東経130度53分10.62秒","JF日豊本線","6.1 km（小倉起点）","九州旅客鉄道（JR九州）","北九州市小倉南区城野一丁目6-1[1][2]北緯33度51分29.62秒東経130度53分10.62秒","地上駅（橋上駅）","1895年（明治28年）4月1日","3面5線[2]","JF  04 ","業務委託駅[1]みどりの窓口有北九州市内駅","ヨノ","4,497人/日（降車客含まず）-2019年-","","","","","","","",""
"城野駅 (北九州高速鉄道)","城野駅 (北九州高速鉄道)（じょうのえき・北九州高速鉄道小倉線）","https://ja.wikipedia.org/wiki/城野駅_(北九州高速鉄道)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度51分29.9秒東経130度52分46.6秒","■小倉線","3.2 km（小倉起点）","北九州高速鉄道（モノレール）","北九州市小倉南区富士見三丁目北緯33度51分29.9秒東経130度52分46.6秒","高架駅","1985年（昭和60年）1月9日[1]","2面2線","06","","","","2,180人/日-2019年-","","","","","","",""
"城端駅","城端駅（じょうはなえき）","https://ja.wikipedia.org/wiki/城端駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度31分19.26秒東経136度54分6.22秒","■城端線","29.9 km（高岡起点）","西日本旅客鉄道（JR西日本）","富山県南砺市是安385[1]北緯36度31分19.26秒東経136度54分6.22秒﻿ / ﻿北緯36.5220167度 東経136.9017278度﻿ /36.5220167; 136.9017278座標:北緯36度31分19.26秒東経136度54分6.22秒﻿ / ﻿北緯36.5220167度 東経136.9017278度﻿ /36.5220167; 136.9017278","地上駅","1897年（明治30年）10月31日[1]","2面2線","","簡易委託駅POS端末設置","シハ","292人/日（降車客含まず）-2018年-","","","","","","","",""
"荘原駅","荘原駅（しょうばらえき）","https://ja.wikipedia.org/wiki/荘原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度23分37.21秒東経132度52分5.53秒","D山陰本線","373.0 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県出雲市斐川町学頭1606北緯35度23分37.21秒東経132度52分5.53秒﻿ / ﻿北緯35.3936694度 東経132.8682028度﻿ /35.3936694; 132.8682028﻿ (荘原駅)","地上駅","1910年（明治43年）6月10日","2面2線","","無人駅（自動券売機 有）","セウ","327人/日（降車客含まず）-2018年-","","","","","","","",""
"城北駅","城北駅（じょうほくえき）","https://ja.wikipedia.org/wiki/城北駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度24分19.47秒東経132度27分32.09秒","広島新交通1号線","1.4 km（本通起点）","広島高速交通","広島市中区西白島町25-80北緯34度24分19.47秒東経132度27分32.09秒﻿ / ﻿北緯34.4054083度 東経132.4589139度﻿ /34.4054083; 132.4589139﻿ (城北駅)座標:北緯34度24分19.47秒東経132度27分32.09秒﻿ / ﻿北緯34.4054083度 東経132.4589139度﻿ /34.4054083; 132.4589139﻿ (城北駅)","地下駅","1994年（平成6年）8月20日[1]","1面2線","","直営駅[2]","","973人/日（降車客含まず）-2018年-","2,041人/日-2018年-","","","","","","",""
"正丸駅","正丸駅（しょうまるえき）","https://ja.wikipedia.org/wiki/正丸駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度56分17.93秒東経139度10分55.56秒","■西武秩父線","6.3 km（吾野起点）池袋から64.1 km","西武鉄道","埼玉県飯能市坂元1658北緯35度56分17.93秒東経139度10分55.56秒﻿ / ﻿北緯35.9383139度 東経139.1821000度﻿ /35.9383139; 139.1821000﻿ (正丸駅)座標:北緯35度56分17.93秒東経139度10分55.56秒﻿ / ﻿北緯35.9383139度 東経139.1821000度﻿ /35.9383139; 139.1821000﻿ (正丸駅)","地上駅","1969年（昭和44年）10月14日","1面2線","SI33","","","","194人/日-2019年-","","","","","","",""
"上毛高原駅","上毛高原駅（じょうもうこうげんえき）","https://ja.wikipedia.org/wiki/上毛高原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度41分35.6秒東経138度58分39.4秒","上越新幹線","121.3km（大宮起点）東京から151.6 km","東日本旅客鉄道（JR東日本）","群馬県利根郡みなかみ町月夜野1756北緯36度41分35.6秒東経138度58分39.4秒座標:北緯36度41分35.6秒 東経138度58分39.4秒","高架駅","1982年（昭和57年）11月15日[新聞 1]","2面2線","","直営駅（管理駅）みどりの窓口有","コケ","719人/日（降車客含まず）-2019年-","","","","","","","",""
"縄文小ヶ田駅","縄文小ヶ田駅（じょうもんおがたえき）","https://ja.wikipedia.org/wiki/縄文小ヶ田駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯40度12分17.90秒東経140度20分57.13秒","■秋田内陸線","3.7 km（鷹巣起点）","秋田内陸縦貫鉄道","秋田県北秋田市脇神字小ヶ田囲ノ内北緯40度12分17.90秒東経140度20分57.13秒﻿ / ﻿北緯40.2049722度 東経140.3492028度﻿ /40.2049722; 140.3492028座標:北緯40度12分17.90秒東経140度20分57.13秒﻿ / ﻿北緯40.2049722度 東経140.3492028度﻿ /40.2049722; 140.3492028","地上駅","1963年（昭和38年）12月10日[1]","1面1線","","無人駅[1]","オク","","9人/日-2018年-","","","","","","",""
"生山駅","生山駅（しょうやまえき）","https://ja.wikipedia.org/wiki/生山駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","V伯備線","95.4km（倉敷起点）岡山から111.3 km","西日本旅客鉄道（JR西日本）","","地上駅","1923年（大正12年）11月28日","2面3線","","業務委託駅みどりの窓口有","シマ","97人/日（降車客含まず）-2018年-","194人/日-2018年-","","","","","","",""
"城陽駅","城陽駅（じょうようえき）","https://ja.wikipedia.org/wiki/城陽駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度51分22.09秒東経135度46分50.82秒","D奈良線","14.5 km（木津起点）","西日本旅客鉄道（JR西日本）","京都府城陽市寺田林ノ口7北緯34度51分22.09秒東経135度46分50.82秒﻿ / ﻿北緯34.8561361度 東経135.7807833度﻿ /34.8561361; 135.7807833座標:北緯34度51分22.09秒東経135度46分50.82秒﻿ / ﻿北緯34.8561361度 東経135.7807833度﻿ /34.8561361; 135.7807833","地上駅（橋上駅）","1958年（昭和33年）7月11日","2面2線","JR-D12","業務委託駅みどりの窓口有","シヨ","3,440人/日（降車客含まず）-2019年-","","","","","","","",""
"上呂駅","上呂駅（じょうろえき）","https://ja.wikipedia.org/wiki/上呂駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度54分38.66秒東経137度12分16.52秒","CG高山本線","100.8 km（岐阜起点）","東海旅客鉄道（JR東海）","岐阜県下呂市萩原町上呂610北緯35度54分38.66秒東経137度12分16.52秒","地上駅","1933年（昭和8年）8月25日[1]","2面2線[1]","","無人駅[1]","ウロ","27人/日（降車客含まず）-2019年-","","","","","","","",""
"昭和駅","昭和駅（しょうわえき）","https://ja.wikipedia.org/wiki/昭和駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度30分23.5秒東経139度43分26.5秒","■鶴見線","6.4 km（鶴見起点）","東日本旅客鉄道（JR東日本）","川崎市川崎区扇町1北緯35度30分23.5秒東経139度43分26.5秒﻿ / ﻿北緯35.506528度 東経139.724028度﻿ /35.506528; 139.724028﻿ (昭和駅)","地上駅","1931年（昭和6年）3月20日[1]","1面1線","JI09","無人駅（乗車駅証明書発行機 有）横浜市内駅","セワ","569人/日（降車客含まず）-2008年-","","","","","","","",""
"昭和島駅","昭和島駅（しょうわじまえき）","https://ja.wikipedia.org/wiki/昭和島駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度34分14.7秒東経139度44分59.8秒","東京モノレール羽田空港線","9.9 km（モノレール浜松町起点）","東京モノレール","東京都大田区昭和島二丁目2-1北緯35度34分14.7秒東経139度44分59.8秒﻿ / ﻿北緯35.570750度 東経139.749944度﻿ /35.570750; 139.749944﻿ (昭和島駅)座標:北緯35度34分14.7秒東経139度44分59.8秒﻿ / ﻿北緯35.570750度 東経139.749944度﻿ /35.570750; 139.749944﻿ (昭和島駅)","地上駅","1985年（昭和60年）2月7日[2][3]","2面4線[1]","MO05","業務委託駅[1]","","","5,687人/日-2015年-","","","","","","",""
"有珠山ロープウェイ","昭和新山山麓駅（しょうわしんざんさんろくえき）","https://ja.wikipedia.org/wiki/有珠山ロープウェイ","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"昭和町駅 (大阪府)","昭和町駅 (大阪府)（しょうわちょうえき・Osaka Metro御堂筋線)","https://ja.wikipedia.org/wiki/昭和町駅_(大阪府)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度38分0.81秒東経135度31分1.07秒","●御堂筋線","15.7 km（江坂起点）千里中央から21.6 km","大阪市高速電気軌道(Osaka Metro)","大阪市阿倍野区昭和町一丁目9-26北緯34度38分0.81秒東経135度31分1.07秒﻿ / ﻿北緯34.6335583度 東経135.5169639度﻿ /34.6335583; 135.5169639﻿ (昭和町駅)","地下駅","1951年（昭和26年）12月20日","2面2線"," M24 ","","","11,604人/日（降車客含まず）-2020年-","23,032人/日-2020年-","","","","","","",""
"昭和町駅 (香川県)","昭和町駅 (香川県)（しょうわちょうえき・四国旅客鉄道高徳線）","https://ja.wikipedia.org/wiki/昭和町駅_(香川県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度20分39.21秒東経134度1分55.61秒","■高徳線","1.5 km（高松起点）","四国旅客鉄道（JR四国）","香川県高松市昭和町二丁目237番地2北緯34度20分39.21秒東経134度1分55.61秒﻿ / ﻿北緯34.3442250度 東経134.0321139度﻿ /34.3442250; 134.0321139﻿ (昭和町駅)","地上駅","1987年（昭和62年）3月23日[1]","1面1線","○T27","無人駅[1]","シワ","516人/日（降車客含まず）-2018年-","1,032人/日-2018年-","","","","","","",""
"昭和橋停留場","昭和橋停留場（しょうわばしていりゅうじょう）","https://ja.wikipedia.org/wiki/昭和橋停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯41度46分40.43秒東経140度44分26.62秒","函館市電湯の川線","5.0 km（湯の川起点）","函館市企業局交通部","北海道函館市堀川町5-1先、6-22先北緯41度46分40.43秒東経140度44分26.62秒﻿ / ﻿北緯41.7778972度 東経140.7407278度﻿ /41.7778972; 140.7407278﻿ (昭和橋停留場)座標:北緯41度46分40.43秒東経140度44分26.62秒﻿ / ﻿北緯41.7778972度 東経140.7407278度﻿ /41.7778972; 140.7407278﻿ (昭和橋停留場)","地上駅（停留場）","1959年11月1日","2面2線","DY13","","","","530[1]人/日-2019年-","昭和橋（函館バス） - 乗継指定停留所（ICAS nimoca使用の場合のみ乗り継ぎ可能の市電 - 函館バス間の乗継指定停留所となっている[2][3]）","","","","","",""
"昭和町駅 (愛知県)","昭和町駅 (愛知県)（しょうわまちえき・名古屋臨海鉄道昭和町線・休止中）","https://ja.wikipedia.org/wiki/昭和町駅_(愛知県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度4分40.5秒東経136度53分39.3秒","昭和町線","1.1 km（東港起点）","名古屋臨海鉄道","愛知県名古屋市港区昭和町北緯35度4分40.5秒東経136度53分39.3秒座標:北緯35度4分40.5秒 東経136度53分39.3秒","地上駅","1965年（昭和40年）8月20日","","","貨物専用駅（休止中）","","","","","","","","","",""
"昭和町通停留場","昭和町通停留場（しょうわまちどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/昭和町通停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯32度47分26.48秒東経129度51分38.17秒","本線（■1号系統・□2号系統・■3号系統）","0.3km（住吉起点）赤迫から0.5 km","長崎電気軌道","長崎県長崎市中園町1番地先北緯32度47分26.48秒東経129度51分38.17秒﻿ / ﻿北緯32.7906889度 東経129.8606028度﻿ /32.7906889; 129.8606028﻿ (昭和町通停留場)","地上駅","1960年（昭和35年）5月8日","1面1線","13A","赤迫ゆきのみ停車","","","800人/日-2015年-","","","","","","",""
"女学院前停留場","女学院前停留場（じょがくいんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/女学院前停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度23分53.2秒東経132度27分53.22秒","■白島線","0.5 km（八丁堀起点）","広島電鉄","広島市中区鉄砲町・上幟町北緯34度23分53.2秒東経132度27分53.22秒﻿ / ﻿北緯34.398111度 東経132.4647833度﻿ /34.398111; 132.4647833﻿ (女学院前停留場)座標:北緯34度23分53.2秒東経132度27分53.22秒﻿ / ﻿北緯34.398111度 東経132.4647833度﻿ /34.398111; 132.4647833﻿ (女学院前停留場)","地上駅","1952年（昭和27年）6月10日","2面2線","●W2","","","","291[1]人/日-2019年-","","","","","","",""
"女子大駅","女子大駅（じょしだいえき）","https://ja.wikipedia.org/wiki/女子大駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度44分18.1秒東経140度9分18.2秒","■ユーカリが丘線","2.0 km（ユーカリが丘起点）","山万","千葉県佐倉市ユーカリが丘五丁目1番1号北緯35度44分18.1秒東経140度9分18.2秒﻿ / ﻿北緯35.738361度 東経140.155056度﻿ /35.738361; 140.155056座標:北緯35度44分18.1秒東経140度9分18.2秒﻿ / ﻿北緯35.738361度 東経140.155056度﻿ /35.738361; 140.155056","地上駅","1982年（昭和57年）11月2日[1]","単式 1面1線","","無人駅","","","","","","","","","",""
"勝幡駅","勝幡駅（しょばたえき）","https://ja.wikipedia.org/wiki/勝幡駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度11分42.5秒東経136度45分0秒","津島線","9.0 km（須ヶ口起点）","名古屋鉄道","愛知県愛西市勝幡町五俵入2266番地4北緯35度11分42.5秒東経136度45分0秒﻿ / ﻿北緯35.195139度 東経136.75000度﻿ /35.195139; 136.75000座標:北緯35度11分42.5秒東経136度45分0秒﻿ / ﻿北緯35.195139度 東経136.75000度﻿ /35.195139; 136.75000","地上駅","1914年（大正3年）1月23日","相対式 2面2線","TB  05 ","無人駅","","","4,584人/日-2019年-","","","","","","",""
"庶路駅","庶路駅（しょろえき）","https://ja.wikipedia.org/wiki/庶路駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯42度59分1.1秒東経144度8分59.95秒","■根室本線","288.6 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道白糠郡白糠町庶路甲区北緯42度59分1.1秒東経144度8分59.95秒","地上駅","1901年（明治34年）7月20日[1]","1面1線","○K49","無人駅","ヨロ","","10人/日-2014年-","","","","","","",""
"白井海岸駅","白井海岸駅（しらいかいがんえき）","https://ja.wikipedia.org/wiki/白井海岸駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯40度1分57.85秒東経141度52分58.94秒","■リアス線","140.3 km（盛起点）","三陸鉄道","岩手県下閉伊郡普代村北緯40度1分57.85秒東経141度52分58.94秒座標:北緯40度1分57.85秒 東経141度52分58.94秒","地上駅","1984年（昭和59年）12月22日","1面1線","","","シカ","","3人/日-2018年-","","","","","","",""
"白市駅","白市駅（しらいちえき）","https://ja.wikipedia.org/wiki/白市駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度26分35.78秒東経132度49分56.58秒","G山陽本線","263.9 km（神戸起点）","西日本旅客鉄道（JR西日本）","広島県東広島市高屋町小谷3357-2北緯34度26分35.78秒東経132度49分56.58秒﻿ / ﻿北緯34.4432722度 東経132.8323833度﻿ /34.4432722; 132.8323833座標:北緯34度26分35.78秒東経132度49分56.58秒﻿ / ﻿北緯34.4432722度 東経132.8323833度﻿ /34.4432722; 132.8323833","地上駅","1895年（明治28年）1月25日","2面3線","JR-G12","業務委託駅みどりの窓口有","シラ","1,637人/日（降車客含まず）-2019年-","","","","","","","",""
"白糸台駅","白糸台駅（しらいとだいえき）","https://ja.wikipedia.org/wiki/白糸台駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度39分59.5秒東経139度30分35.6秒","■多摩川線","5.5 km（武蔵境起点）","西武鉄道","東京都府中市白糸台二丁目71-6北緯35度39分59.5秒東経139度30分35.6秒﻿ / ﻿北緯35.666528度 東経139.509889度﻿ /35.666528; 139.509889座標:北緯35度39分59.5秒東経139度30分35.6秒﻿ / ﻿北緯35.666528度 東経139.509889度﻿ /35.666528; 139.509889","地上駅","1917年（大正6年）10月22日","1面2線","SW04","2001年（平成13年）3月28日北多磨駅から改称","","","6,439人/日-2019年-","武蔵野台駅（京王線）","","","","","",""
"白老駅","白老駅（しらおいえき）","https://ja.wikipedia.org/wiki/白老駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯42度33分16.95秒東経141度21分36.45秒","■室蘭本線","113.6 km（長万部起点）","北海道","北海道白老郡白老町東町一丁目北緯42度33分16.95秒東経141度21分36.45秒﻿ / ﻿北緯42.5547083度 東経141.3601250度﻿ /42.5547083; 141.3601250﻿ (白老駅)","地上駅","1892年（明治25年）8月1日","2面3線","○H23","業務委託駅みどりの窓口有","シラ","663人/日（降車客含まず）-2019年-","","","","","","","",""
"白岡駅","白岡駅（しらおかえき）","https://ja.wikipedia.org/wiki/白岡駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度1分2.81秒東経139度40分0.53秒","■東北本線（宇都宮線）","43.5 km（東京起点）東京から尾久経由で43.7 km","東日本旅客鉄道（JR東日本）","埼玉県白岡市小久喜1213北緯36度1分2.81秒東経139度40分0.53秒座標:北緯36度1分2.81秒 東経139度40分0.53秒","地上駅（橋上駅）","1910年（明治43年）2月11日","2面3線","","業務委託駅","ラオ←ラヲ","12,854人/日（降車客含まず）-2019年-","","","","","","","",""
"新穂高ロープウェイ","しらかば平駅（しらかばだいらえき）","https://ja.wikipedia.org/wiki/新穂高ロープウェイ#路線データ、駅一覧","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白神岳登山口駅","白神岳登山口駅（しらかみだけとざんぐちえき）","https://ja.wikipedia.org/wiki/白神岳登山口駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■五能線","42.3 km（東能代起点）","東日本旅客鉄道（JR東日本）","","地上駅","1952年（昭和27年）6月1日[1]","1面1線[1]","","無人駅[1]*2000年12月に陸奥黒崎駅から改称[1]。","ミケ","","","","","","","","",""
"白河駅","白河駅（しらかわえき）","https://ja.wikipedia.org/wiki/白河駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度7分47.63秒東経140度12分49.34秒","■東北本線","188.2 km（東京起点）","東日本旅客鉄道（JR東日本）","福島県白河市郭内222北緯37度7分47.63秒東経140度12分49.34秒座標:北緯37度7分47.63秒 東経140度12分49.34秒","地上駅","1887年（明治20年）7月16日","1面2線","","業務委託駅みどりの窓口有","ラカ","615人/日（降車客含まず）-2019年-","","","","","","","",""
"白川口駅","白川口駅（しらかわぐちえき）","https://ja.wikipedia.org/wiki/白川口駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度34分46.39秒東経137度11分4.77秒","CG高山本線","53.1 km（岐阜起点）","東海旅客鉄道（JR東海）","岐阜県加茂郡白川町坂ノ東6988北緯35度34分46.39秒東経137度11分4.77秒","地上駅","1926年（大正15年）3月15日[1]","2面3線[1]","","簡易委託駅","シラ","180人/日（降車客含まず）-2019年-","","","","","","","",""
"白木駅","白木駅（しらきえき）","https://ja.wikipedia.org/wiki/白木駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度25分44.59秒東経136度49分49.8秒","M志摩線","7.9km（鳥羽起点）伊勢中川から49.4 km","近畿日本鉄道（近鉄）","三重県鳥羽市白木町細田62-2北緯34度25分44.59秒東経136度49分49.8秒﻿ / ﻿北緯34.4290528度 東経136.830500度﻿ /34.4290528; 136.830500座標:北緯34度25分44.59秒東経136度49分49.8秒﻿ / ﻿北緯34.4290528度 東経136.830500度﻿ /34.4290528; 136.830500","地上駅","1929年（昭和4年）7月23日","2面4線"," M84 ","無人駅（乗車駅証明書発行機 有）","シラキ","20人/日（降車客含まず）-2019年-","","","","","","","",""
"白木原駅","白木原駅（しらきばるえき）","https://ja.wikipedia.org/wiki/白木原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度31分41.57秒東経130度28分59.03秒","■天神大牟田線","10.8 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県大野城市白木原一丁目北緯33度31分41.57秒東経130度28分59.03秒﻿ / ﻿北緯33.5282139度 東経130.4830639度﻿ /33.5282139; 130.4830639座標:北緯33度31分41.57秒東経130度28分59.03秒﻿ / ﻿北緯33.5282139度 東経130.4830639度﻿ /33.5282139; 130.4830639","地上駅","1946年（昭和21年）","2面2線","T  10 ","","","","9,814人/日-2019年-","","","","","","",""
"白木山駅","白木山駅（しらきやまえき）","https://ja.wikipedia.org/wiki/白木山駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度30分2.26秒東経132度35分16.39秒","P芸備線","136.3km（備中神代起点）三次から46.0 km","西日本旅客鉄道（JR西日本）","広島市安佐北区白木町大字三田5568北緯34度30分2.26秒東経132度35分16.39秒﻿ / ﻿北緯34.5006278度 東経132.5878861度﻿ /34.5006278; 132.5878861座標:北緯34度30分2.26秒東経132度35分16.39秒﻿ / ﻿北緯34.5006278度 東経132.5878861度﻿ /34.5006278; 132.5878861","地上駅","1930年（昭和5年）1月1日（初代）1963年（昭和38年）12月5日（2代）","1面1線","","無人駅（自動券売機 有）広島市内駅","ラキ","104人/日（降車客含まず）-2019年-","","","","","","","",""
"白坂駅","白坂駅（しらさかえき）","https://ja.wikipedia.org/wiki/白坂駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度5分40.24秒東経140度11分3.64秒","■東北本線","182.0 km（東京起点）","東日本旅客鉄道（JR東日本）","福島県白河市白坂大倉矢見86北緯37度5分40.24秒東経140度11分3.64秒座標:北緯37度5分40.24秒 東経140度11分3.64秒","地上駅","1917年（大正6年）2月20日","2面2線","","無人駅（乗車駅証明書発行機 有）","ラサ","63人/日（降車客含まず）-2004年-","","","","","","","",""
"白鷺駅","白鷺駅（しらさぎえき）","https://ja.wikipedia.org/wiki/白鷺駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度33分1.15秒東経135度30分47.9秒","■高野線","15.1km（汐見橋起点）難波から14.4 km","南海電気鉄道","堺市北区金岡町1150番地1北緯34度33分1.15秒東経135度30分47.9秒﻿ / ﻿北緯34.5503194度 東経135.513306度﻿ /34.5503194; 135.513306座標:北緯34度33分1.15秒東経135度30分47.9秒﻿ / ﻿北緯34.5503194度 東経135.513306度﻿ /34.5503194; 135.513306","地上駅（橋上駅）","1964年（昭和39年）5月25日","2面4線","NK 60","","サギ","","","","10,676人/日-2019年-","","","","",""
"白沢駅 (愛知県)","白沢駅 (愛知県)（しらさわえき・名古屋鉄道河和線）","https://ja.wikipedia.org/wiki/白沢駅_(愛知県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度57分19秒東経136度54分55秒","河和線","7.9 km（太田川起点）","名古屋鉄道","知多郡阿久比町白沢豊石山17-4北緯34度57分19秒東経136度54分55秒﻿ / ﻿北緯34.95528度 東経136.91528度﻿ /34.95528; 136.91528座標:北緯34度57分19秒東経136度54分55秒﻿ / ﻿北緯34.95528度 東経136.91528度﻿ /34.95528; 136.91528","地上駅","1931年（昭和6年）4月1日","2面2線","KC  06 ","無人駅（駅集中管理システム導入駅）* 1949年知多白沢より改称","","","493人/日-2019年[1]-","","","","","","",""
"白沢駅 (秋田県)","白沢駅 (秋田県)（しらさわえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/白沢駅_(秋田県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯40度20分18.38秒東経140度35分30.54秒","■奥羽本線","409.4 km（福島起点）","東日本旅客鉄道（JR東日本）","秋田県大館市白沢字白沢[1]北緯40度20分18.38秒東経140度35分30.54秒座標:北緯40度20分18.38秒 東経140度35分30.54秒","地上駅","1899年（明治32年）6月21日[1]","2面3線[1]","","無人駅","シラ","","","","","","","","",""
