"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","法人番号","文化財","宗派","創建年","本尊","山号","面積","開基","札所等","正式名","寺格","分類","別称","運営者","公式サイト","開山","公式HP"
"向島百花園","[向島百花園（墨田区）] 向島百花園 （むこうじまひゃっかえん）は、 東京都 墨田区 東向島 三丁目にある 都立庭園 で、 江戸時代 に発祥をもつ花園である。みどころは早春の 梅 と秋の 萩 である。 隅田川七福神 の発祥の地であり 佐原鞠塢 が所有していた、ともいわれる「 福禄寿 」が祭られている。","https://ja.wikipedia.org/wiki/向島百花園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度43分27.1秒東経139度48分55.6秒","東京都墨田区東向島三丁目","","","","","","","","8,718.52m2","","","","","都立庭園・名勝・史跡","","東京都公園協会2011～2015年度指定管理者","公式ホームページ","",""
"浅草寺","[伝法院庭園（台東区）] 浅草寺 （せんそうじ）は、 東京都 台東区 浅草 2丁目にある東京都内最古の 寺 である。正式には 金龍山浅草寺 （きんりゅうざんせんそうじ）と号し、観音菩薩を本尊とすることから 浅草観音 （あさくさかんのん）として知られている。 山号 は金龍山。","https://ja.wikipedia.org/wiki/浅草寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度42分53秒東経139度47分48.3秒","東京都台東区浅草二丁目3番1号","北緯35度42分53秒東経139度47分48.3秒﻿ / ﻿北緯35.71472度 東経139.796750度﻿ /35.71472; 139.796750座標:北緯35度42分53秒東経139度47分48.3秒﻿ / ﻿北緯35.71472度 東経139.796750度﻿ /35.71472; 139.796750","2010505000327","法華経（国宝）二天門・伝法院・元版一切経（重要文化財）","聖観音宗（天台宗系単立）","（伝）推古天皇36年（628年）","聖観世音菩薩（絶対秘仏）","金龍山","","（伝）土師中知（真中知）","坂東三十三箇所13番江戸三十三箇所1番","金龍山淺草寺金龍山浅草寺","本山","","浅草観音","","","","senso-ji.jp"
"殿ヶ谷戸庭園","[殿ヶ谷戸庭園（随冝園）（国分寺市）] 殿ヶ谷戸庭園 （とのがやとていえん）は、 東京都 国分寺市 にある有料の 都立庭園 である。","https://ja.wikipedia.org/wiki/殿ヶ谷戸庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度41分56.3秒東経139度28分54.6秒","東京都国分寺市南町二丁目","","","","","","","","21,123.59m2","","","","","都立庭園・名勝","","東京都公園協会2011～2015年度指定管理者","公式ホームページ","",""
"横山大観旧宅及び庭園","[横山大観旧宅及び庭園（台東区）] 横山大観記念館 （よこやまたいかんきねんかん）は、 東京都 台東区 池之端 にある 記念館 。近代 日本画 の巨匠として知られる 横山大観 を記念して、1976年（昭和51年）に開設された  。子孫が理事を務める公益財団法人横山大観記念館が運営している  。","https://ja.wikipedia.org/wiki/横山大観旧宅及び庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度42分43.8秒東経139度46分5.7秒","〒110-0008東京都台東区池之端1-4-24","北緯35度42分43.8秒東経139度46分5.7秒﻿ / ﻿北緯35.712167度 東経139.768250度﻿ /35.712167; 139.768250座標:北緯35度42分43.8秒東経139度46分5.7秒﻿ / ﻿北緯35.712167度 東経139.768250度﻿ /35.712167; 139.768250","","","","","","","","","","","","","","","","",""
"哲学堂公園","[哲学堂公園（中野区）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度43分20秒 東経139度40分27秒 ﻿ / ﻿ 北緯35.72222度 東経139.67417度 ﻿ / 35.72222; 139.67417","https://ja.wikipedia.org/wiki/哲学堂公園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"円覚寺庭園","[円覚寺庭園（鎌倉市）] 円覚寺庭園 （えんがくじていえん）は、 神奈川県 鎌倉市 山ノ内 に所在し、 鎌倉五山 にも列せられる 臨済宗 円覚寺派の大本山 円覚寺 の境内に設けられた 庭園 である。国の 史跡 および 名勝 に指定されている。","https://ja.wikipedia.org/wiki/円覚寺庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"建長寺","[建長寺庭園（鎌倉市）] 建長寺 （けんちょうじ）は、 神奈川県 鎌倉市 山ノ内 にある 禅宗 の寺院で、 臨済宗建長寺派 の大本山。正式には 巨福山建長興国禅寺 （こふくさんけんちょうこうこくぜんじ）と号する。","https://ja.wikipedia.org/wiki/建長寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度19分54.44秒東経139度33分19.25秒","神奈川県鎌倉市山ノ内8","北緯35度19分54.44秒東経139度33分19.25秒﻿ / ﻿北緯35.3317889度 東経139.5553472度﻿ /35.3317889; 139.5553472﻿ (建長寺)座標:北緯35度19分54.44秒東経139度33分19.25秒﻿ / ﻿北緯35.3317889度 東経139.5553472度﻿ /35.3317889; 139.5553472﻿ (建長寺)","2021005001871","絹本淡彩蘭渓道隆像・大覚禅師墨蹟法語規則・梵鐘（国宝）山門・法堂・絹本著色釈迦三尊像ほか（重要文化財）","臨済宗建長寺派","建長5年（1253年）","地蔵菩薩","巨福山（こふくさん）","","北条時頼","鎌倉二十四地蔵9番 - 11番鎌倉三十三観音霊場28番","巨福山建長興國禪寺","大本山鎌倉五山第一位","","建長興國禪寺","","","蘭渓道隆","kenchoji.com"
"三溪園","[三溪園（横浜市中区）] 三溪園 （さんけいえん）は、 神奈川県 横浜市 中区 にある 庭園 。17.5 ha の敷地に17棟の日本建築が配置されている。実業家で 茶人 の 原富太郎 によって 1906年 に造園され  、現在は 公益財団法人 三溪園保勝会が運営している。名称の三溪園は原の号である 三溪 から。 2006年 11月17日に国の 名勝 に指定された。財団公式サイトでは 旧字体 の「溪」を使うが、横浜市公式サイトなど 新字体 で 三渓園 と表記することも多い。","https://ja.wikipedia.org/wiki/三溪園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度25分1秒東経139度39分32秒","神奈川県横浜市中区本牧三之谷58-1","","","","","","","","175,000m2","","","","","法人経営における公園","","公益財団法人三溪園保勝会","http://www.sankeien.or.jp/","",""
"瑞泉寺 (鎌倉市)","[瑞泉寺庭園（鎌倉市）] 瑞泉寺 （ずいせんじ）は、 神奈川県 鎌倉市 二階堂 にある 臨済宗 円覚寺派 の寺院。山号は錦屏山（きんぺいさん）。本尊は 釈迦如来 で、開基は 二階堂道蘊 である。鎌倉随一の花の寺、紅葉の名所としても知られている。鎌倉三十三観音第6番。鎌倉二十四地蔵第7番。","https://ja.wikipedia.org/wiki/瑞泉寺_(鎌倉市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度19分37.40秒東経139度34分31.34秒","神奈川県鎌倉市二階堂710","北緯35度19分37.40秒東経139度34分31.34秒﻿ / ﻿北緯35.3270556度 東経139.5753722度﻿ /35.3270556; 139.5753722座標:北緯35度19分37.40秒東経139度34分31.34秒﻿ / ﻿北緯35.3270556度 東経139.5753722度﻿ /35.3270556; 139.5753722","9021005001915","本文参照","臨済宗円覚寺派","1327年（嘉暦2年）","釈迦如来","錦屏山（きんびょうざん）","","二階堂道蘊","鎌倉観音霊場第六番鎌倉地蔵尊霊場第七番東国花の寺百ヶ寺 鎌倉4番","","","","","","","夢窓","瑞泉寺"
"山手公園","[山手公園（横浜市中区）] 山手公園 （やまてこうえん）は、 横浜市 中区 の公園。 日本初の 洋風 公共庭園（洋風公園は 東遊園地 が最初）であり、日本における テニス 発祥の地としても知られる。","https://ja.wikipedia.org/wiki/山手公園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度26分4.5秒東経139度38分56.4秒","日本神奈川県横浜市中区山手町230","","","","","","","","27,753m2","","","","","都市公園(近隣公園)","","横浜市","山手公園公式サイト","",""
"神仙郷","[神仙郷（足柄下郡箱根町）] 神仙郷 （しんせんきょう）は、 神奈川県 足柄下郡 箱根町 にある近代庭園。昭和10年代から20年代にかけて、 世界救世教 の教祖・ 岡田茂吉 が 強羅 地区の地形と地質を活かして理想郷として整備した。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/神仙郷","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水園","[旧新発田藩下屋敷（清水谷御殿）庭園および五十公野御茶屋庭園（新発田市）] 清水園 （しみずえん）は、 新潟県 新発田市 にある 日本庭園 。","https://ja.wikipedia.org/wiki/清水園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","日本新潟県新発田市大栄町7-9-32","","","","","","","","20,000m²","","","","","池泉回遊式日本庭園","","","","",""
"清津峡","[清津峡（南魚沼郡湯沢町・十日町市）] 清津峡 （きよつきょう）は、 信濃川 の支流である 清津川 が形成した 峡谷 。 新潟県 十日町市 小出から 湯沢町 八木沢にかけての全長約12.5キロメートルをいう。1941年に国の 名勝 および 天然記念物 に指定されており、 日本三大峡谷 の一つとして知られる   。","https://ja.wikipedia.org/wiki/清津峡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"笹川流れ","[笹川流（村上市）] 笹川流れ （ささがわながれ）は 新潟県 村上市 にある海岸。国の 名勝 および 天然記念物 に指定されている地域で（1927年指定「 笹川流 」）  、 日本百景 にも選定された県下有数の海岸景勝地である。笹川流れの笹川とは集落名（1889年まで存在した「笹川村」、現・村上市笹川）で、この笹川より沖合いの岩場まで 潮流 が見られたことが名の由来とされる。","https://ja.wikipedia.org/wiki/笹川流れ","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小木海岸","[佐渡小木海岸（佐渡市）] 小木海岸 （おぎかいがん）は 新潟県 佐渡市 の南西部に位置する海岸景勝地。「 佐渡小木海岸 」として、国の 天然記念物 及び 名勝 に指定されている。海岸線の長さは約8キロメートルで、 玄武岩 、 粗面岩 から成る 海蝕崖 が連続し、 岩礁 が非常に多く、変化に富んだ景観が連続する。","https://ja.wikipedia.org/wiki/小木海岸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"外海府海岸","[佐渡海府海岸（佐渡市）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/外海府海岸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"貞観園","[貞観園（柏崎市）] 貞観園 （ていかんえん）は 新潟県 柏崎市 高柳町 にある 日本庭園 。江戸時代の大 庄屋 であった村山家の庭であり、幾度となく改修を繰り返しているが、その改修には幕府のお抱え庭師であった九段仁右衛門や藤井友之進らが関わっている。国の 名勝 に指定されている。名の由来は木造 薬師如来 立像を安置する貞観堂に因み、 天保 14年に地元の教育者、藍澤南城が命名した。","https://ja.wikipedia.org/wiki/貞観園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","日本新潟県柏崎市高柳町岡野町593","","","","","","","","","","","","","","","","","",""
"中魚沼郡","[田代の七ツ釜（中魚沼郡津南町・十日町市）] 中魚沼郡 （なかうおぬまぐん）は、 新潟県 の 郡 。","https://ja.wikipedia.org/wiki/中魚沼郡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩船郡","[渡辺氏庭園（岩船郡関川村）] 岩船郡 （いわふねぐん）は、 新潟県 （ 越後国 ）の 郡 。新潟県の中で複数自治体を含む唯一の郡である。","https://ja.wikipedia.org/wiki/岩船郡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"妙高市","[旧関山宝蔵院庭園（妙高市）] ","https://ja.wikipedia.org/wiki/妙高市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯37度1分30.7秒東経138度15分12.7秒","〒944-8686新潟県妙高市栄町5番1号北緯37度1分30.7秒東経138度15分12.7秒﻿ / ﻿北緯37.025194度 東経138.253528度﻿ /37.025194; 138.253528座標:北緯37度1分30.7秒東経138度15分12.7秒﻿ / ﻿北緯37.025194度 東経138.253528度﻿ /37.025194; 138.253528","","6000020152170","","","","","","445.63km2","","","","","","","","","",""
"旧齋藤家別邸","[旧齋藤氏別邸庭園（新潟市中央区）] 旧齋藤家別邸 （きゅうさいとうけべってい）は、 新潟県 新潟市 中央区 にある文化施設。庭園は 旧齋藤氏別邸庭園 （きゅうさいとうしべっていていえん）として、国の 名勝 。","https://ja.wikipedia.org/wiki/旧齋藤家別邸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","新潟県新潟市中央区西大畑町576","","","","","","","","","","","","","","","","","",""
"白山公園 (新潟市)","[白山公園（新潟市中央区）] 白山公園 （はくさんこうえん）は、 新潟島 の中央部、 新潟県 新潟市 中央区 一番堀通町 地先にある 公園 である。 1873年 に布告された 太政官布告 により、日本で最初に開設された25箇所の 都市公園 のうちのひとつであり、 日本の都市公園100選 にも選ばれている。2018年度に国の 名勝 に指定された  。","https://ja.wikipedia.org/wiki/白山公園_(新潟市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯37度54分53秒東経139度02分21秒","日本新潟県新潟市中央区","","","","","","","","7.0 ha","","","","","地区公園","","","公式ウェブサイト","",""
"黒部峡谷","[黒部峡谷附 猿飛ならびに奥鐘山（中新川郡立山町・黒部市）] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"称名滝","[称名滝（立山町）] 称名滝 （しょうみょうだき）は、 富山県 中新川郡 立山町 にある 立山連峰 を源流とする 滝 。 弥陀ヶ原 台地から一気に流れ落ち、 称名川 となった後に 常願寺川 へ注ぎ込む。","https://ja.wikipedia.org/wiki/称名滝","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度34分31秒東経137度31分24秒","富山県中新川郡立山町","北緯36度34分31秒東経137度31分24秒﻿ / ﻿北緯36.57528度 東経137.52333度﻿ /36.57528; 137.52333","","","","","","","","","","","","","","","","",""
"兼六園","[兼六園（金沢市）] 兼六園 （けんろくえん）は、 石川県 金沢市 に存在する 日本庭園 である。国の 特別名勝 に指定されている。広さは約11.7 ヘクタール 。","https://ja.wikipedia.org/wiki/兼六園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度33分43.7秒東経136度39分45.0秒","日本石川県金沢市","","","","","","","","総面積 11.7ヘクタール","","","","","池泉回遊式日本庭園","","","兼六園（石川県）","",""
"松波城","[旧松波城庭園（鳳珠郡能登町）] 松波城 （まつなみじょう）は、 能登国 珠洲郡 松波（現・ 石川県 鳳珠郡  能登町 ）に存在した 日本の城 。","https://ja.wikipedia.org/wiki/松波城","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯37度21分21.0秒東経137度14分22.0秒","","北緯37度21分21.0秒東経137度14分22.0秒﻿ / ﻿北緯37.355833度 東経137.239444度﻿ /37.355833; 137.239444座標:北緯37度21分21.0秒東経137度14分22.0秒﻿ / ﻿北緯37.355833度 東経137.239444度﻿ /37.355833; 137.239444","","","","","","","","","","","","","","","","",""
"時国氏庭園 (存在しないページ)","[時国氏庭園（輪島市）]","https://ja.wikipedia.org/w/index.php?title=時国氏庭園&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上時国氏庭園 (存在しないページ)","[上時国氏庭園（輪島市）]","https://ja.wikipedia.org/w/index.php?title=上時国氏庭園&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白米千枚田","[白米の千枚田（輪島市）] 白米千枚田 （しろよねせんまいだ）は、 石川県 輪島市 白米町の 棚田 である。数が多いので千枚田と呼ばれるが、現地案内板には枚数1004枚と記載されている。また「狭い田」からの転という説もある。最も小さい田の 面積 は、0.2平方メートル程度。","https://ja.wikipedia.org/wiki/白米千枚田","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"曽々木海岸","[曽々木海岸（輪島市）] 曽々木海岸 （そそぎかいがん）は、 石川県 輪島市 にある 海岸 。 能登半島 有数の景勝地で、国の 名勝 および 天然記念物 に指定されている。海岸の背後に岩倉山が迫り込んでいたことから、「能登の 親不知 」と呼ばれるほどの難所として知られた。 2015年 （平成27年） 4月24日 、「灯り舞う半島 能登 - 熱狂のキリコ祭り-」の構成文化財として 日本遺産 に認定される。","https://ja.wikipedia.org/wiki/曽々木海岸","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"末浄水場","[末浄水場園地（金沢市）] 末浄水場 （すえじょうすいじょう）は、 石川県 金沢市 末町にある 浄水場 。 金沢市企業局 が所有・管理を行っている。","https://ja.wikipedia.org/wiki/末浄水場","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"成巽閣","[成巽閣庭園（金沢市）] 成巽閣 （せいそんかく）とは、 文久 3年（ 1863年 ）に 加賀藩 13代藩主・ 前田斉泰 が母・ 真龍院 （12代斉広夫人）の隠居所として建てた歴史的建造物である。歴史博物館として一般公開されている。 兼六園 に隣接する。","https://ja.wikipedia.org/wiki/成巽閣","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","〒920-0936石川県金沢市兼六町1番2号","","","","","","","","","","","","","","","","","",""
"那谷寺","[那谷寺庫裡庭園（小松市）] 那谷寺 （なたでら）は、 石川県 小松市 にある 仏教 寺院 。 高野山真言宗 別格本山。","https://ja.wikipedia.org/wiki/那谷寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度18分48.27秒東経136度25分13.41秒","石川県小松市那谷町ユ122","北緯36度18分48.27秒東経136度25分13.41秒﻿ / ﻿北緯36.3134083度 東経136.4203917度﻿ /36.3134083; 136.4203917座標:北緯36度18分48.27秒東経136度25分13.41秒﻿ / ﻿北緯36.3134083度 東経136.4203917度﻿ /36.3134083; 136.4203917","9220005003653","本堂、書院及び庫裏、三重塔、護摩堂、鐘楼（重要文化財）庫裡庭園（名勝）ほか","高野山真言宗","（伝）養老元年（717年）","千手観世音菩薩","自生山","","（伝）泰澄","北陸三十三ヵ所観音霊場第12番北陸白寿観音霊場第11番","","別格本山","","","","","",""
"一乗谷朝倉氏遺跡","[一乗谷朝倉氏庭園（福井市）] 一乗谷朝倉氏遺跡 （いちじょうだに あさくらし いせき）は、 福井県 福井市 城戸ノ内町にある 戦国時代 の 遺跡 （ 日本の城 ）である。戦国時代に 一乗谷城 を中心に 越前国 を支配した戦国大名 朝倉氏 の遺跡。一乗谷城（ 山城 ）と山麓の 城下町 （朝倉氏および家臣の居館）からなる。","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度59分58.17秒東経136度17分44.03秒","","北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639座標:北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639","","","","","","","","","","","","","","","","",""
"伊藤氏庭園 (存在しないページ)","[伊藤氏庭園（南条郡南越前町）]","https://ja.wikipedia.org/w/index.php?title=伊藤氏庭園&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今立郡","[梅田氏庭園（今立郡池田町）] 今立郡 （いまだてぐん）は、 福井県 （ 越前国 ）の 郡 。","https://ja.wikipedia.org/wiki/今立郡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平泉寺白山神社","[旧玄成院庭園（勝山市）] 平泉寺白山神社 （へいせんじはくさんじんじゃ）は、 福井県 勝山市 平泉寺町平泉寺  に鎮座する 神社 。 明治時代 までは 霊応山平泉寺 という 天台宗 の有力な 寺院 だった。歴史や出土品などは 白山平泉寺歴史探遊館まほろば で展示紹介される。","https://ja.wikipedia.org/wiki/平泉寺白山神社","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度2分38.1秒東経136度32分31.6秒","福井県勝山市平泉寺町平泉寺56-63","北緯36度2分38.1秒東経136度32分31.6秒﻿ / ﻿北緯36.043917度 東経136.542111度﻿ /36.043917; 136.542111﻿ (平泉寺白山神社)座標:北緯36度2分38.1秒東経136度32分31.6秒﻿ / ﻿北緯36.043917度 東経136.542111度﻿ /36.043917; 136.542111﻿ (平泉寺白山神社)","","","","","","","","","","","","","","","","",""
"気比松原","[気比の松原（敦賀市）] 気比松原 （けひのまつばら）は、 福井県 敦賀市 の 景勝地 。 虹の松原 、 三保の松原 に並び、日本三大松原の一つとされ   、 1934年 （昭和9年）に国の 名勝 に指定  されている。また、 若狭湾国定公園 の一部であり、 みなとオアシス敦賀 の構成施設の一でもある。","https://ja.wikipedia.org/wiki/気比松原","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西福寺 (敦賀市)","[西福寺書院庭園（敦賀市）] 西福寺 （さいふくじ）は、 福井県 敦賀市 にある 浄土宗 の 寺院 。山号は大原山。本尊は 阿弥陀三尊 （ 阿弥陀如来 ・ 観音菩薩 ・ 勢至菩薩 ）。 名勝 の書院庭園が有名。","https://ja.wikipedia.org/wiki/西福寺_(敦賀市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度39分25秒東経136度1分55.6秒","〒914-0824 福井県敦賀市原13-7","北緯35度39分25秒東経136度1分55.6秒﻿ / ﻿北緯35.65694度 東経136.032111度﻿ /35.65694; 136.032111座標:北緯35度39分25秒東経136度1分55.6秒﻿ / ﻿北緯35.65694度 東経136.032111度﻿ /35.65694; 136.032111","4210005006109","書院庭園（国の名勝）御影堂、阿弥陀堂、書院及び庫裏、絹本著色観経変相曼荼羅図、西福寺一切経勧進経25巻ほか（重要文化財）","浄土宗鎮西派","応安元年1368年","阿弥陀三尊","大原山","","後光厳天皇（勅願）、良如（開山）","","","中本山","","越の秀嶺","","","",""
"柴田氏庭園","[柴田氏庭園（敦賀市）] 柴田氏庭園 （しばたしていえん）は、 福井県 敦賀市 にある江戸時代前期の庭園である。国の 名勝 に指定  されている。別名「甘棠園(かんとうえん)」とも呼ばれている。","https://ja.wikipedia.org/wiki/柴田氏庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"越前市","[城福寺庭園（越前市）] ","https://ja.wikipedia.org/wiki/越前市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度54分12.6秒東経136度10分7.5秒","〒915-8530福井県越前市府中一丁目13番7号北緯35度54分12.6秒東経136度10分7.5秒﻿ / ﻿北緯35.903500度 東経136.168750度﻿ /35.903500; 136.168750座標:北緯35度54分12.6秒東経136度10分7.5秒﻿ / ﻿北緯35.903500度 東経136.168750度﻿ /35.903500; 136.168750","","4000020182095","","","","","","230.70km2","","","","","","","","","",""
"瀧谷寺","[滝谷寺庭園（坂井市）] 瀧谷寺 （たきだんじ）は、 福井県 坂井市 にある 真言宗智山派 の寺院。山号は摩尼宝山。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/瀧谷寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度13分18.8秒東経136度8分46.0秒","福井県坂井市三国町滝谷1-7-15","北緯36度13分18.8秒東経136度8分46.0秒﻿ / ﻿北緯36.221889度 東経136.146111度﻿ /36.221889; 136.146111座標:北緯36度13分18.8秒東経136度8分46.0秒﻿ / ﻿北緯36.221889度 東経136.146111度﻿ /36.221889; 136.146111","5210005004219","金銅宝相華文磬（国宝）本堂等全6棟、鎮守堂、絹本著色地蔵菩薩像、天之図（重要文化財）庭園（国の名勝）","真言宗智山派","永和3年（1377年）","薬師如来","摩尼宝山","","睿憲","北陸三十三ヵ所観音霊場第11番北陸白寿観音霊場第6番","","","","","","","",""
"東尋坊","[東尋坊（坂井市）] 東尋坊 （とうじんぼう）は、 福井県 坂井市 三国町 安島に位置する 崖 。 越前加賀海岸国定公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/東尋坊","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
