"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","最新噴火","初登頂","上位山系","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"生藤山","[生藤山] 生藤山 （しょうとうさん）は、 東京都 西多摩郡 檜原村 と 神奈川県 相模原市 緑区 との境界にある 標高 990.3mの 山 。 奥多摩 山域の 南 端。神奈川県の最 北 端。神奈川県立陣馬相模湖自然公園。藤野町十五名山。頂上に登る道も巻き道も両方ある。","https://ja.wikipedia.org/wiki/生藤山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度40分21秒東経139度07分56秒","日本東京都西多摩郡檜原村神奈川県相模原市緑区","北緯35度40分21秒東経139度07分56秒﻿ / ﻿北緯35.67250度 東経139.13222度﻿ /35.67250; 139.13222座標:北緯35度40分21秒東経139度07分56秒﻿ / ﻿北緯35.67250度 東経139.13222度﻿ /35.67250; 139.13222","990.3m","奥多摩","","","","","","","","","","","","","","",""
"荒船山","[荒船山] 荒船山 （あらふねやま）は 群馬県 甘楽郡 下仁田町 と 長野県 佐久市 に跨る標高1,423mの山である。 妙義荒船佐久高原国定公園 に属している。 日本二百名山 のひとつ。","https://ja.wikipedia.org/wiki/荒船山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度12分14秒東経138度38分13秒","日本群馬県甘楽郡下仁田町長野県佐久市","北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ /36.20389; 138.63694座標:北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ /36.20389; 138.63694","1,423m","","メサ","","","","","","","","","","","","","",""
"石裂山","[石裂山] 石裂山 （おざくさん、尾鑿山  ）は、 栃木県 鹿沼市 入粟野にある標高879mの山。","https://ja.wikipedia.org/wiki/石裂山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度35分50秒東経139度34分53秒","栃木県鹿沼市","北緯36度35分50秒東経139度34分53秒﻿ / ﻿北緯36.59722度 東経139.58139度﻿ /36.59722; 139.58139座標:北緯36度35分50秒東経139度34分53秒﻿ / ﻿北緯36.59722度 東経139.58139度﻿ /36.59722; 139.58139","1,020m","足尾山地","","","","","","","","","","","","","","",""
"二子山 (埼玉県小鹿野町)","[二子山] 二子山 （ふたごやま）は、 埼玉県 秩父郡 小鹿野町 にある山である。 群馬県 多野郡 神流町 との境界に近い。 石灰岩 からなる岩峰である。西岳（1,165.8m）と東岳（1,122m）から成る双耳峰。 ロッククライミング の登攀の対象とされている  。","https://ja.wikipedia.org/wiki/二子山_(埼玉県小鹿野町)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度04分11秒東経138度51分49秒","日本埼玉県秩父郡小鹿野町","北緯36度04分11秒東経138度51分49秒﻿ / ﻿北緯36.06972度 東経138.86361度﻿ /36.06972; 138.86361座標:北緯36度04分11秒東経138度51分49秒﻿ / ﻿北緯36.06972度 東経138.86361度﻿ /36.06972; 138.86361","1,165.8m","","","","","","","","","","","","","","","",""
"天上山 (東京都)","[天上山] 天上山 （てんじょうさん）は、 東京都 神津島村 の 神津島 にある 火山 で、島内の最高峰。","https://ja.wikipedia.org/wiki/天上山_(東京都)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯34度13分09.1秒東経139度09分10.6秒","東京都神津島村","北緯34度13分09.1秒東経139度09分10.6秒﻿ / ﻿北緯34.219194度 東経139.152944度﻿ /34.219194; 139.152944座標:北緯34度13分09.1秒東経139度09分10.6秒﻿ / ﻿北緯34.219194度 東経139.152944度﻿ /34.219194; 139.152944","571.8m","神津島","溶岩ドーム","838年","","","","","","","","","","","","",""
"立岩 (存在しないページ)","[立岩]","https://ja.wikipedia.org/w/index.php?title=立岩&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"古賀志山","[古賀志山] 古賀志山 （こがしやま）は 栃木県 宇都宮市 にある 山 。 標高 は582.8m。 日本百低山 、栃木百名山、大谷七名山に選定されている。","https://ja.wikipedia.org/wiki/古賀志山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度37分18秒東経139度46分17秒","栃木県宇都宮市","北緯36度37分18秒東経139度46分17秒﻿ / ﻿北緯36.62167度 東経139.77139度﻿ /36.62167; 139.77139","582.8m","足尾山地","","","","","","","","","","","","","","",""
"両神山","[両神山] 両神山 （りょうかみさん）は 埼玉県 秩父郡 小鹿野町 と 秩父市 の境目にある 山 。 奥秩父山塊 の北部にあり、標高は1,723m。 日本百名山 の一つ。 山岳信仰 の 霊峰 であり、両神山、 三峰山 、 武甲山 をあわせて「秩父三山」という  。","https://ja.wikipedia.org/wiki/両神山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度01分24秒東経138度50分29秒","日本埼玉県秩父郡小鹿野町・秩父市","北緯36度01分24秒東経138度50分29秒﻿ / ﻿北緯36.02333度 東経138.84139度﻿ /36.02333; 138.84139座標:北緯36度01分24秒東経138度50分29秒﻿ / ﻿北緯36.02333度 東経138.84139度﻿ /36.02333; 138.84139","1,723m","秩父山地（奥秩父山地）","","","","","","","","","","","","","","",""
"石老山","[石老山] 石老山 （せきろうさん）は 丹沢山地 の北部、 神奈川県 相模原市 にある 標高 702mの山である。 北麓には 相模湖 がある。 関東百名山 の一つ。山道にある多数の奇岩が有名。 手軽に登れる事から、日帰りハイカーに人気がある。","https://ja.wikipedia.org/wiki/石老山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度35分06.9秒東経139度11分26.1秒","日本神奈川県相模原市","北緯35度35分06.9秒東経139度11分26.1秒﻿ / ﻿北緯35.585250度 東経139.190583度﻿ /35.585250; 139.190583座標:北緯35度35分06.9秒東経139度11分26.1秒﻿ / ﻿北緯35.585250度 東経139.190583度﻿ /35.585250; 139.190583","702m","丹沢山地","山塊","","","","","","","","","","","","","",""
"鹿岳 (存在しないページ)","[鹿岳]","https://ja.wikipedia.org/w/index.php?title=鹿岳&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"晃石山","[晃石山] 晃石山 （てるいしさん）は、 栃木県 栃木市 にある 山 である。","https://ja.wikipedia.org/wiki/晃石山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度21分37秒東経139度40分31秒","日本栃木県栃木市志鳥町・同市大平町西山田","北緯36度21分37秒東経139度40分31秒﻿ / ﻿北緯36.36028度 東経139.67528度﻿ /36.36028; 139.67528座標:北緯36度21分37秒東経139度40分31秒﻿ / ﻿北緯36.36028度 東経139.67528度﻿ /36.36028; 139.67528","419.1m","","","","","","","","","","","","","","","",""
"甲武信ヶ岳","[甲武信ヶ岳] 甲武信ヶ岳 （こぶしがたけ）は、 山梨県 ・ 埼玉県 ・ 長野県 の3県の境にある 標高 2,475mの 山 で、 奥秩父山塊 の主脈の中央に位置する。甲武信岳（こぶしだけ）とも呼ぶ。","https://ja.wikipedia.org/wiki/甲武信ヶ岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度54分32秒東経138度43分44秒","埼玉県秩父市山梨県山梨市長野県川上村","北緯35度54分32秒東経138度43分44秒﻿ / ﻿北緯35.90889度 東経138.72889度﻿ /35.90889; 138.72889座標:北緯35度54分32秒東経138度43分44秒﻿ / ﻿北緯35.90889度 東経138.72889度﻿ /35.90889; 138.72889","2,475m","奥秩父山塊","","","","","","","","","","","","","","",""
"大野山 (神奈川県)","[大野山] 大野山 （おおのやま）は、 神奈川県 足柄上郡 山北町 にある 標高 723.1mの山である。","https://ja.wikipedia.org/wiki/大野山_(神奈川県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度23分10秒東経139度2分56秒","日本神奈川県足柄上郡山北町","北緯35度23分10秒東経139度2分56秒﻿ / ﻿北緯35.38611度 東経139.04889度﻿ /35.38611; 139.04889座標:北緯35度23分10秒東経139度2分56秒﻿ / ﻿北緯35.38611度 東経139.04889度﻿ /35.38611; 139.04889","723.1m","丹沢山地","","","","","","","","","","","","","","",""
"帳付山 (存在しないページ)","[帳付山]","https://ja.wikipedia.org/w/index.php?title=帳付山&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三毳山","[三毳山] 三毳山 （ みかもやま ） は、 栃木県 にある 山 。 安蘇山 （あそさん）とも呼ばれる。 関東平野 の北端に位置し、南北約3.5 kmにわたって連なる細長い山である。 最高峰 は青竜ヶ岳と呼ばれ、 標高 は229 mである。","https://ja.wikipedia.org/wiki/三毳山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度18分57.5秒東経139度37分45.3秒","日本栃木県佐野市・栃木市","北緯36度18分57.5秒東経139度37分45.3秒﻿ / ﻿北緯36.315972度 東経139.629250度﻿ /36.315972; 139.629250座標:北緯36度18分57.5秒東経139度37分45.3秒﻿ / ﻿北緯36.315972度 東経139.629250度﻿ /36.315972; 139.629250","229m","","","","","","","","","","","","","","","",""
"笠取山 (奥秩父)","[笠取山] 笠取山 （かさとりやま）は 埼玉県 秩父市 と 山梨県 甲州市 の境にある 標高 1,953mの 山 で、 奥秩父 の山域の主脈の一つに位置している。","https://ja.wikipedia.org/wiki/笠取山_(奥秩父)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度51分55秒東経138度49分11秒","日本埼玉県秩父市・山梨県甲州市","北緯35度51分55秒東経138度49分11秒﻿ / ﻿北緯35.86528度 東経138.81972度﻿ /35.86528; 138.81972座標:北緯35度51分55秒東経138度49分11秒﻿ / ﻿北緯35.86528度 東経138.81972度﻿ /35.86528; 138.81972","1,953m","奥秩父山塊","","","","","","","","","","","","","","",""
"大山 (神奈川県)","[大山] 大山 （おおやま）は、 神奈川県 伊勢原市 ・ 秦野市 ・ 厚木市 境にある標高1,252 m の 山 である。 丹沢山 などの 丹沢 の山々とともに 丹沢大山国定公園 に属し、神奈川県有数の 観光地 のひとつである。 日本三百名山 や関東百名山のひとつでもある。","https://ja.wikipedia.org/wiki/大山_(神奈川県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度26分27秒東経139度13分52秒","神奈川県伊勢原市、秦野市、厚木市","北緯35度26分27秒東経139度13分52秒﻿ / ﻿北緯35.44083度 東経139.23111度﻿ /35.44083; 139.23111","1,252m","丹沢山地","","","","","","","","","","","","","","",""
"諏訪山 (群馬県・埼玉県)","[諏訪山] 諏訪山 （すわやま）は、 群馬県 多野郡 神流町 と 埼玉県 秩父郡 小鹿野町 とにまたがる 標高 1,207.1mの 山 である。","https://ja.wikipedia.org/wiki/諏訪山_(群馬県・埼玉県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度03分01.1530秒東経138度50分05.0081秒","日本群馬県多野郡神流町埼玉県秩父郡小鹿野町","北緯36度03分01.1530秒東経138度50分05.0081秒﻿ / ﻿北緯36.050320278度 東経138.834724472度﻿ /36.050320278; 138.834724472座標:北緯36度03分01.1530秒東経138度50分05.0081秒﻿ / ﻿北緯36.050320278度 東経138.834724472度﻿ /36.050320278; 138.834724472","1,207.1m","","","","","","","","","","","","","","","",""
"行道山 (栃木県) (存在しないページ)","[行道山]","https://ja.wikipedia.org/w/index.php?title=行道山_(栃木県)&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"和名倉山","[和名倉山] 和名倉山 （わなくらやま）は 埼玉県 秩父市 にある 標高 2,036 m の 山 で、 奥秩父 の山の一つ。別名 白石山 （しろいしやま）。 国土地理院 の 地形図 には白石山とあるが  、和名倉山が古くからの秩父側の呼称である。 日本二百名山 に選定されている  。","https://ja.wikipedia.org/wiki/和名倉山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度53分57秒東経138度52分40秒","日本埼玉県秩父市","北緯35度53分57秒東経138度52分40秒﻿ / ﻿北緯35.89917度 東経138.87778度﻿ /35.89917; 138.87778座標:北緯35度53分57秒東経138度52分40秒﻿ / ﻿北緯35.89917度 東経138.87778度﻿ /35.89917; 138.87778","2,036.02m","奥秩父山塊","","","","","","","","","","","","","","",""
"塔ノ岳","[塔ノ岳] 塔ノ岳 （とうのだけ）は 丹沢山地 の南部にある 標高 1,491 mの山。 神奈川県 秦野市 、 愛甲郡 清川村 、 足柄上郡 山北町 の境目に位置する。","https://ja.wikipedia.org/wiki/塔ノ岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度27分14.5654秒東経139度09分47.8558秒","日本神奈川県秦野市・清川村・山北町","北緯35度27分14.5654秒東経139度09分47.8558秒﻿ / ﻿北緯35.454045944度 東経139.163293278度﻿ /35.454045944; 139.163293278座標:北緯35度27分14.5654秒東経139度09分47.8558秒﻿ / ﻿北緯35.454045944度 東経139.163293278度﻿ /35.454045944; 139.163293278","1,490.94m","丹沢山地","山塊","","","","","","","","","","","","","",""
"稲含山","[稲含山] 稲含山 （いなふくみやま）とは、 群馬県 甘楽郡 下仁田町 と同郡 甘楽町 との境界部分にある 標高 1370.0 m の 山 である。 ぐんま百名山 の一つ。農耕の神の山として古くから信仰されてきた山で、西上州随一の展望を誇る  。","https://ja.wikipedia.org/wiki/稲含山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度10分10秒東経138度49分31秒","日本群馬県甘楽郡下仁田町・甘楽町","北緯36度10分10秒東経138度49分31秒﻿ / ﻿北緯36.16944度 東経138.82528度﻿ /36.16944; 138.82528座標:北緯36度10分10秒東経138度49分31秒﻿ / ﻿北緯36.16944度 東経138.82528度﻿ /36.16944; 138.82528","1370.0m","","","","","","","","","","","","","","","",""
"高原山","[高原山] 高原山 （たかはらやま、たかはらさん）は、 栃木県 日光市 と同 塩谷郡 塩谷町 、 那須塩原市 、 矢板市 にまたがる 山 である。特に主峰 鶏頂山 、釈迦ヶ岳、中岳、西平岳の山頂部は日光市と塩谷町に在り、東北部の裾野である 八方ヶ原 も含め、その山体は 日光国立公園 に在る。 日本三百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/高原山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度54分0秒東経139度46分36秒","栃木県日光市、塩谷郡塩谷町","北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667座標:北緯36度54分0秒東経139度46分36秒﻿ / ﻿北緯36.90000度 東経139.77667度﻿ /36.90000; 139.77667","釈迦ヶ岳 1,794.9m","","成層火山（活火山ランクC）","約6500年前","","","","","","","","","","","","",""
"妙法ヶ岳 (埼玉県)","[妙法ヶ岳] 妙法ヶ岳 （みょうほうがたけ）は、 埼玉県 秩父市 にある 標高 1,329mの 山 で、 奥秩父 の山域の一つ。","https://ja.wikipedia.org/wiki/妙法ヶ岳_(埼玉県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度55分5秒東経138度56分50秒","日本埼玉県秩父市","北緯35度55分5秒東経138度56分50秒﻿ / ﻿北緯35.91806度 東経138.94722度﻿ /35.91806; 138.94722","1,329m","奥秩父山塊","","","","","","","","","","","","","","",""
"蛭ヶ岳","[蛭ヶ岳] 蛭ヶ岳 （ひるがたけ）は 丹沢山地 中央部にある 標高 1,673 m の山。丹沢山地の最高峰であり 神奈川県 の最高峰でもある。神奈川県 相模原市 緑区 と 足柄上郡 山北町 の境界線上に位置し、 丹沢大山国定公園 に属す。別名、薬師岳や毘盧ヶ岳とも呼ばれる。","https://ja.wikipedia.org/wiki/蛭ヶ岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度29分11秒東経139度08分20秒","日本神奈川県相模原市緑区、足柄上郡山北町","北緯35度29分11秒東経139度08分20秒﻿ / ﻿北緯35.48639度 東経139.13889度﻿ /35.48639; 139.13889座標:北緯35度29分11秒東経139度08分20秒﻿ / ﻿北緯35.48639度 東経139.13889度﻿ /35.48639; 139.13889","1,672.7m","丹沢山地","山塊","","","","","","","","","","","","","",""
"御荷鉾山","[御荷鉾山] 御荷鉾山 （みかぼやま）は、 群馬県 神流町 、 藤岡市 にある 山 である。通常は西御荷鉾山（1,287m   ）と東御荷鉾山（1,246m）の二峰を指し、広義にはこれに オドケ山 （1191m）を含むことがある。","https://ja.wikipedia.org/wiki/御荷鉾山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度9分8.1秒東経138度55分6.5秒","群馬県神流町、藤岡市","北緯36度9分8.1秒東経138度55分6.5秒﻿ / ﻿北緯36.152250度 東経138.918472度﻿ /36.152250; 138.918472","西御荷鉾山: 1286m、東御荷鉾山: 1246m","上武山地御荷鉾山系","","","","","","","","","","","","","","",""
"日留賀岳 (存在しないページ)","[日留賀岳]","https://ja.wikipedia.org/w/index.php?title=日留賀岳&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"秩父御岳山","[秩父御岳山] 御岳山 （おんたけさん）は、 埼玉県 秩父市 と 秩父郡 小鹿野町 との境界にある山である。 秩父御岳山 とも呼ばれる。 御嶽山 と表記されることもある。","https://ja.wikipedia.org/wiki/秩父御岳山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度57分59.6秒東経138度56分33.4秒","日本埼玉県秩父市・秩父郡小鹿野町","北緯35度57分59.6秒東経138度56分33.4秒﻿ / ﻿北緯35.966556度 東経138.942611度﻿ /35.966556; 138.942611座標:北緯35度57分59.6秒東経138度56分33.4秒﻿ / ﻿北緯35.966556度 東経138.942611度﻿ /35.966556; 138.942611","1,080.4m","奥秩父山塊","","","","","","","","","","","","","","",""
"檜洞丸","[檜洞丸] 檜洞丸 （ひのきぼらまる）は、 丹沢山地 西部、 神奈川県 相模原市 と同県 足柄上郡 山北町 の境にある標高1,601mの 山 である  。別名、 青ヶ岳 （あおがたけ）  。 新字体 で 桧洞丸 と表記されることもある。","https://ja.wikipedia.org/wiki/檜洞丸","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度28分44秒東経139度06分10秒","日本神奈川県相模原市・足柄上郡山北町","北緯35度28分44秒東経139度06分10秒﻿ / ﻿北緯35.47889度 東経139.10278度﻿ /35.47889; 139.10278座標:北緯35度28分44秒東経139度06分10秒﻿ / ﻿北緯35.47889度 東経139.10278度﻿ /35.47889; 139.10278","1,601m","丹沢山地","","","","","","","","","","","","","","",""
"鳴神山","[鳴神山] 鳴神山 （なるかみやま）は、 群馬県 桐生市 にある、 標高 980 m の 山 である。","https://ja.wikipedia.org/wiki/鳴神山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度29分25秒東経139度21分41秒","日本群馬県桐生市","北緯36度29分25秒東経139度21分41秒﻿ / ﻿北緯36.49028度 東経139.36139度﻿ /36.49028; 139.36139座標:北緯36度29分25秒東経139度21分41秒﻿ / ﻿北緯36.49028度 東経139.36139度﻿ /36.49028; 139.36139","980m","","","","","","","","","","","","","","","",""
"三本槍岳","[三本槍岳] 三本槍岳 （さんぼんやりだけ）は、 福島県 西白河郡 西郷村 と 栃木県 那須塩原市 との境界にある山である。 標高 1,916.9m。 那須岳 の最高峰。一等 三角点 「三倉山（みくらやま）」設置。 日光国立公園 に属する。","https://ja.wikipedia.org/wiki/三本槍岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯37度09分00.5秒東経139度57分41.0秒","日本福島県西白河郡西郷村栃木県那須塩原市","北緯37度09分00.5秒東経139度57分41.0秒﻿ / ﻿北緯37.150139度 東経139.961389度﻿ /37.150139; 139.961389座標:北緯37度09分00.5秒東経139度57分41.0秒﻿ / ﻿北緯37.150139度 東経139.961389度﻿ /37.150139; 139.961389","1,916.9m","那須火山群","成層火山","","","","","","","","","","","","","",""
"武甲山","[武甲山] 武甲山 （ぶこうざん・ぶこうさん）は、 埼玉県 秩父地方 の 秩父市 と 横瀬町 の境界に位置する山である。 秩父盆地 の南側にあり、 標高 は1,304 メートル  。 日本二百名山 の一つに数えられる。","https://ja.wikipedia.org/wiki/武甲山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度57分06秒東経139度05分52秒","埼玉県秩父市、秩父郡横瀬町","北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ /35.95167; 139.09778座標:北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ /35.95167; 139.09778","1,304m","秩父山地","","","","","","","","","","","","","","",""
"大室山 (丹沢)","[大室山] 大室山 （おおむろやま・地形図「おおむろざん」）は 丹沢山地 北部、 山梨県 と 神奈川県 の境にある 標高 1,587mの山   。かつては「 大群山 （おおむれやま）」と呼ばれた。 山梨百名山 に数えられており、神奈川県側は 丹沢大山国定公園 に指定されている。","https://ja.wikipedia.org/wiki/大室山_(丹沢)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度30分39秒東経139度04分06秒","日本神奈川県相模原市緑区山梨県南都留郡道志村","北緯35度30分39秒東経139度04分06秒﻿ / ﻿北緯35.51083度 東経139.06833度﻿ /35.51083; 139.06833座標:北緯35度30分39秒東経139度04分06秒﻿ / ﻿北緯35.51083度 東経139.06833度﻿ /35.51083; 139.06833","1,587m","丹沢山地","山塊","","","","","","","","","","","","","",""
"榛名山","[榛名山] 榛名山 （はるなさん）は、 関東地方 の北部の 群馬県 にある 上毛三山 の一つであり、古来 山岳信仰 を受けてきた山である。山の南西麓に 榛名神社 が祀られている。","https://ja.wikipedia.org/wiki/榛名山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度28分38秒東経138度51分02秒","日本群馬県高崎市","北緯36度28分38秒東経138度51分02秒﻿ / ﻿北緯36.47722度 東経138.85056度﻿ /36.47722; 138.85056座標:北緯36度28分38秒東経138度51分02秒﻿ / ﻿北緯36.47722度 東経138.85056度﻿ /36.47722; 138.85056","1,449m","独立峰","成層火山（活火山ランクB）","","","","","","","","","","","","","",""
"那須岳","[那須岳] 那須岳 （なすだけ）は、広義には 栃木県 北部に位置する那須連山の総称  （特に 茶臼岳 や 朝日岳 、 三本槍岳 三山の総称）  。狭義には那須連山の主峰の茶臼岳（標高1,915m）をいう  。 那須火山帯 の南端に位置する。 深田久弥 の 日本百名山 の一つ  。本項では那須五岳や那須連山について記す。","https://ja.wikipedia.org/wiki/那須岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯37度07分29.3秒東経139度57分47.3秒","日本栃木県那須郡那須町栃木県那須塩原市福島県西白河郡西郷村","北緯37度07分29.3秒東経139度57分47.3秒﻿ / ﻿北緯37.124806度 東経139.963139度﻿ /37.124806; 139.963139座標:北緯37度07分29.3秒東経139度57分47.3秒﻿ / ﻿北緯37.124806度 東経139.963139度﻿ /37.124806; 139.963139","","","成層火山","","","那須連山","三本槍岳（1,917m）","","","","","","","","","",""
"大持山","[大持山] 大持山 （おおもちやま）は、 埼玉県 秩父市 と 秩父郡 横瀬町 との境界にある 山 である。 標高 1,294.1m。","https://ja.wikipedia.org/wiki/大持山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度55分42.7秒東経139度06分01.8秒","日本埼玉県秩父市・秩父郡横瀬町","北緯35度55分42.7秒東経139度06分01.8秒﻿ / ﻿北緯35.928528度 東経139.100500度﻿ /35.928528; 139.100500座標:北緯35度55分42.7秒東経139度06分01.8秒﻿ / ﻿北緯35.928528度 東経139.100500度﻿ /35.928528; 139.100500","1,294.1m","秩父山地","","","","","","","","","","","","","","",""
"矢倉岳","[矢倉岳] 矢倉岳 （やぐらだけ）は 神奈川県 南足柄市 にある  標高870mの山である。","https://ja.wikipedia.org/wiki/矢倉岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度19分43秒東経139度02分07秒","神奈川県南足柄市","北緯35度19分43秒東経139度02分07秒﻿ / ﻿北緯35.32861度 東経139.03528度﻿ /35.32861; 139.03528座標:北緯35度19分43秒東経139度02分07秒﻿ / ﻿北緯35.32861度 東経139.03528度﻿ /35.32861; 139.03528","870m","足柄山地","","","","","","","","","","","","","","",""
"子持山","[子持山] 子持山 （こもちやま）は、 群馬県 の中部にある 火山 。標高1296メートル。「ぐんま百名山」の一つに選ばれている  。","https://ja.wikipedia.org/wiki/子持山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度35分31秒東経138度59分52秒","日本群馬県渋川市・沼田市・吾妻郡高山村","北緯36度35分31秒東経138度59分52秒﻿ / ﻿北緯36.59194度 東経138.99778度﻿ /36.59194; 138.99778座標:北緯36度35分31秒東経138度59分52秒﻿ / ﻿北緯36.59194度 東経138.99778度﻿ /36.59194; 138.99778","1,296.2m","","成層火山","","","","","","","","","","","","","",""
"奥久慈男体山","[奥久慈男体山] 奥久慈男体山 （おくくじなんたいさん）は、 茨城県 常陸太田市 と 久慈郡 大子町 の境にある山である。 標高 653.8m。単に 男体山 とも呼ばれる。","https://ja.wikipedia.org/wiki/奥久慈男体山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度43分27秒東経140度25分11秒","日本茨城県常陸太田市・久慈郡大子町","北緯36度43分27秒東経140度25分11秒﻿ / ﻿北緯36.72417度 東経140.41972度﻿ /36.72417; 140.41972座標:北緯36度43分27秒東経140度25分11秒﻿ / ﻿北緯36.72417度 東経140.41972度﻿ /36.72417; 140.41972","653.8m","阿武隈高地","","","","","","","","","","","","","","",""
"武川岳","[武川岳] 武川岳 （たけがわだけ）は、 埼玉県 飯能市 と 秩父郡 横瀬町 の境界にある 山 である。 標高 1,051.7m。","https://ja.wikipedia.org/wiki/武川岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度56分12.8秒東経139度07分48.8秒","日本埼玉県飯能市・秩父郡横瀬町","北緯35度56分12.8秒東経139度07分48.8秒﻿ / ﻿北緯35.936889度 東経139.130222度﻿ /35.936889; 139.130222座標:北緯35度56分12.8秒東経139度07分48.8秒﻿ / ﻿北緯35.936889度 東経139.130222度﻿ /35.936889; 139.130222","1,051.7m","","","","","","","","","","","","","","","",""
"金時山","[金時山] 金時山 （きんときやま・きんときさん）は、 箱根山 の北西部に位置する標高1,212 m の山である   。 日本三百名山 のひとつ。","https://ja.wikipedia.org/wiki/金時山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度17分23秒東経139度00分18秒","神奈川県南足柄市、足柄下郡箱根町静岡県駿東郡小山町","北緯35度17分23秒東経139度00分18秒﻿ / ﻿北緯35.28972度 東経139.00500度﻿ /35.28972; 139.00500座標:北緯35度17分23秒東経139度00分18秒﻿ / ﻿北緯35.28972度 東経139.00500度﻿ /35.28972; 139.00500","1,212.44m","箱根山、足柄山地","成層火山","","","","","","","","","","","","","",""
