"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","製造所","編成","電気方式","最高運転速度","車両定員"
"赤羽橋駅","[赤羽橋駅（あかばねばしえき）] 赤羽橋駅 （あかばねばしえき）は、 東京都 港区 東麻布 一丁目にある、 東京都交通局 （ 都営地下鉄 ） 大江戸線 の 駅 である。 駅番号 は E 21 。","https://ja.wikipedia.org/wiki/赤羽橋駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度39分18秒東経139度44分37秒","●大江戸線","21.3 km（都庁前起点）","東京都交通局（都営地下鉄）","地下駅","2000年（平成12年）12月12日","1面2線","東京都港区東麻布一丁目28-13北緯35度39分18秒東経139度44分37秒﻿ / ﻿北緯35.65500度 東経139.74361度﻿ /35.65500; 139.74361座標:北緯35度39分18秒東経139度44分37秒﻿ / ﻿北緯35.65500度 東経139.74361度﻿ /35.65500; 139.74361","","赤（駅名略称）","E21","","42,784人/日-2019年-","","","","","","",""
"赤平駅","[赤平駅（あかびらえき）] 赤平駅 （あかびらえき）は、 北海道 赤平市 美園町1丁目にある 北海道旅客鉄道 （JR北海道） 根室本線 の 駅 である。かつては急行 「狩勝」 の停車駅だった。 駅番号 は T23 。赤平市の代表駅。","https://ja.wikipedia.org/wiki/赤平駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度33分18.57秒東経142度2分55.2秒","■根室本線","13.7 km（滝川起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*","地上駅","1913年（大正2年）11月10日","2面3線（2面4線）","北海道赤平市美園町1丁目北緯43度33分18.57秒東経142度2分55.2秒﻿ / ﻿北緯43.5551583度 東経142.048667度﻿ /43.5551583; 142.048667﻿ (赤平駅)","簡易委託駅","アラ","○T23","78人/日（降車客含まず）-2019年-","","","","","","","",""
"赤渕駅","[赤渕駅（あかぶちえき）] 赤渕駅 （あかぶちえき）は、 岩手県 岩手郡 雫石町 御明神（おみょうじん）赤渕にある、 東日本旅客鉄道 （JR東日本） 田沢湖線 の 駅 である。","https://ja.wikipedia.org/wiki/赤渕駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度41分6.5秒東経140度54分25.9秒","■田沢湖線","53.6 km（大曲起点）","東日本旅客鉄道（JR東日本）","地上駅","1964年（昭和39年）9月10日","1面2線","岩手県岩手郡雫石町御明神赤渕北緯39度41分6.5秒東経140度54分25.9秒﻿ / ﻿北緯39.685139度 東経140.907194度﻿ /39.685139; 140.907194座標:北緯39度41分6.5秒東経140度54分25.9秒﻿ / ﻿北緯39.685139度 東経140.907194度﻿ /39.685139; 140.907194","無人駅","アチ","","","","","","","","","",""
"英賀保駅","[英賀保駅（あがほえき）] 英賀保駅 （あがほえき）は、 兵庫県 姫路市 飾磨区 山崎にある、 西日本旅客鉄道 （JR西日本） 山陽本線 の 駅 である  。","https://ja.wikipedia.org/wiki/英賀保駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度48分47.56秒東経134度38分41秒","A山陽本線","59.4km（神戸起点）大阪から92.5 km","西日本旅客鉄道（JR西日本）","地上駅","1913年（大正2年）4月15日","2面3線","兵庫県姫路市飾磨区山崎132北緯34度48分47.56秒東経134度38分41秒﻿ / ﻿北緯34.8132111度 東経134.64472度﻿ /34.8132111; 134.64472座標:北緯34度48分47.56秒東経134度38分41秒﻿ / ﻿北緯34.8132111度 東経134.64472度﻿ /34.8132111; 134.64472","直営駅みどりの券売機プラス設置駅","アホ","","4,623人/日（降車客含まず）-2019年-","","","","","","","",""
"赤星駅","[赤星駅（あかぼしえき）] 赤星駅 （あかぼしえき）は、 愛媛県 四国中央市 土居町津根にある 四国旅客鉄道 （JR四国） 予讃線 の 駅 。駅番号は Y25 。","https://ja.wikipedia.org/wiki/赤星駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度58分0.30秒東経133度27分22.82秒","■予讃線","85.9 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1960年（昭和35年）3月1日","1面1線","愛媛県四国中央市土居町津根北緯33度58分0.30秒東経133度27分22.82秒﻿ / ﻿北緯33.9667500度 東経133.4563389度﻿ /33.9667500; 133.4563389座標:北緯33度58分0.30秒東経133度27分22.82秒﻿ / ﻿北緯33.9667500度 東経133.4563389度﻿ /33.9667500; 133.4563389","無人駅","アカ","○Y25","","234人/日-2019年-","","","","","","",""
"赤堀駅","[赤堀駅（あかほりえき）] 赤堀駅 （あかほりえき）は、 三重県 四日市市 赤堀二丁目にある、 四日市あすなろう鉄道 内部線 の 駅 である。","https://ja.wikipedia.org/wiki/赤堀駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度57分34.13秒東経136度36分38.67秒","内部線（八王子線直通含む）","1.0 km（あすなろう四日市起点）","四日市あすなろう鉄道","地上駅","1912年（大正元年）10月6日","1面1線","三重県四日市市赤堀二丁目13-20北緯34度57分34.13秒東経136度36分38.67秒﻿ / ﻿北緯34.9594806度 東経136.6107417度﻿ /34.9594806; 136.6107417座標:北緯34度57分34.13秒東経136度36分38.67秒﻿ / ﻿北緯34.9594806度 東経136.6107417度﻿ /34.9594806; 136.6107417","無人駅（自動券売機 有）","ホリ","","263人/日（降車客含まず）-2019年-","443人/日-2019年-","","","","","","",""
"赤間駅","[赤間駅（あかまえき）] 赤間駅 （あかまえき）は、 福岡県 宗像市 赤間駅前一丁目にある、 九州旅客鉄道 （JR九州） 鹿児島本線 の 駅 である。駅番号は JA14 。 小倉駅 と 博多駅 のほぼ中間に位置する  。","https://ja.wikipedia.org/wiki/赤間駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度48分29.98秒東経130度34分10.54秒","JA鹿児島本線","46.5 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1890年（明治23年）9月28日","2面4線","福岡県宗像市赤間駅前一丁目1番1号北緯33度48分29.98秒東経130度34分10.54秒﻿ / ﻿北緯33.8083278度 東経130.5695944度﻿ /33.8083278; 130.5695944座標:北緯33度48分29.98秒東経130度34分10.54秒﻿ / ﻿北緯33.8083278度 東経130.5695944度﻿ /33.8083278; 130.5695944","直営駅みどりの窓口有","アカ←アカマ","JA  14 ","8,659人/日（降車客含まず）-2019年-","","","","","","","",""
"赤水駅","[赤水駅（あかみずえき）] ↑ 立野駅","https://ja.wikipedia.org/wiki/赤水駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯32度54分47.68秒東経130度59分34.56秒","■豊肥本線","107.6 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1918年（大正7年）1月25日","1面2線","熊本県阿蘇市赤水北緯32度54分47.68秒東経130度59分34.56秒﻿ / ﻿北緯32.9132444度 東経130.9929333度﻿ /32.9132444; 130.9929333座標:北緯32度54分47.68秒東経130度59分34.56秒﻿ / ﻿北緯32.9132444度 東経130.9929333度﻿ /32.9132444; 130.9929333","無人駅","アカ","","105人/日（降車客含まず）-2005年-","","","","","","","",""
"赤嶺駅","[赤嶺駅（あかみねえき）] 赤嶺駅 （あかみねえき）は、 沖縄県 那覇市 赤嶺二丁目にある、 沖縄都市モノレール線 （ゆいレール）の 駅 である。 駅番号 は 2 。","https://ja.wikipedia.org/wiki/赤嶺駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯26度11分35.6秒東経127度39分37.7秒","■沖縄都市モノレール線（ゆいレール）","2.0 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日","1面2線","沖縄県那覇市赤嶺二丁目1000-11北緯26度11分35.6秒東経127度39分37.7秒﻿ / ﻿北緯26.193222度 東経127.660472度﻿ /26.193222; 127.660472座標:北緯26度11分35.6秒東経127度39分37.7秒﻿ / ﻿北緯26.193222度 東経127.660472度﻿ /26.193222; 127.660472","日本最南端駅","","2","1,428人/日（降車客含まず）-2020年-","","","","","","","",""
"赤目口駅","[赤目口駅（あかめぐちえき）] 赤目口駅 （あかめぐちえき）は、 三重県 名張市 赤目町丈六にある、 近畿日本鉄道 （近鉄） 大阪線 の 駅 である。駅番号は D48 。","https://ja.wikipedia.org/wiki/赤目口駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度35分59.4秒東経136度4分28.56秒","D大阪線","64.0 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅","1930年（昭和5年）10月10日","2面2線","三重県名張市赤目町丈六257-1北緯34度35分59.4秒東経136度4分28.56秒﻿ / ﻿北緯34.599833度 東経136.0746000度﻿ /34.599833; 136.0746000座標:北緯34度35分59.4秒東経136度4分28.56秒﻿ / ﻿北緯34.599833度 東経136.0746000度﻿ /34.599833; 136.0746000","無人駅（自動券売機 有）","アカメ"," D48 ","569人/日（降車客含まず）-2019年-","","","","","","","",""
"赤湯駅","[赤湯駅（あかゆえき）] 赤湯駅 （あかゆえき）は、 山形県 南陽市 郡山および若狭郷屋にある、 東日本旅客鉄道 （JR東日本）・ 山形鉄道 の 駅 である。","https://ja.wikipedia.org/wiki/赤湯駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯38度2分49.9秒 東経140度8分57秒","■山形新幹線（JR東日本）","56.1 km（福島起点）東京から328.9 km","東日本旅客鉄道（JR東日本）山形鉄道","地上駅","1900年（明治33年）4月21日","3面4線","","共同使用駅JR東日本：業務委託駅JR東日本：みどりの窓口有","アユ","","（JR東日本）-2019年-1,250人/日（降車客含まず）","","","","","","","",""
"上道駅 (鳥取県)","[上道駅 (鳥取県)（あがりみちえき・西日本旅客鉄道境線）] 上道駅 （あがりみちえき）は、 鳥取県 境港市 中野町字下駒ケ坪にある 西日本旅客鉄道 （JR西日本） 境線 の 駅 である。 妖怪 の名前から取られた愛称は 一反木綿 駅 である。","https://ja.wikipedia.org/wiki/上道駅_(鳥取県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度31分53.31秒 東経133度13分50.0秒","C境線","16.3 km（米子起点）","西日本旅客鉄道（JR西日本）","地上駅","1952年（昭和27年）7月1日","1面1線","","無人駅","アミ","","","356人/日-2018年-","","","","","","",""
"阿川駅","[阿川駅（あがわえき）] 阿川駅 （あがわえき）は、 山口県 下関市 豊北町大字阿川字水取にある、 西日本旅客鉄道 （JR西日本） 山陰本線 の 駅 。","https://ja.wikipedia.org/wiki/阿川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度20分8.84秒東経130度55分33.09秒","■山陰本線","627.4 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）9月9日","2面2線","山口県下関市豊北町大字阿川字水取3653-3北緯34度20分8.84秒東経130度55分33.09秒﻿ / ﻿北緯34.3357889度 東経130.9258583度﻿ /34.3357889; 130.9258583座標:北緯34度20分8.84秒東経130度55分33.09秒﻿ / ﻿北緯34.3357889度 東経130.9258583度﻿ /34.3357889; 130.9258583","無人駅","アカ","","31人/日（降車客含まず）-2019年-","","","","","","","",""
"安芸駅","[安芸駅（あきえき）] 安芸駅 （あきえき）は、 高知県 安芸市 東浜にある、 土佐くろしお鉄道 ごめん・なはり線 の 駅 である。駅番号は GN27 。","https://ja.wikipedia.org/wiki/安芸駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度30分16.05秒東経133度54分23.39秒","■ごめん・なはり線","27.7 km（後免起点）","土佐くろしお鉄道（TKT）","高架駅","2002年（平成14年）7月1日","1面2線","高知県安芸市東浜294北緯33度30分16.05秒東経133度54分23.39秒﻿ / ﻿北緯33.5044583度 東経133.9064972度﻿ /33.5044583; 133.9064972","有人駅みどりの窓口設置駅","アキ","○GN27","","950人/日-2019年-","","","","","","",""
"阿木駅","[阿木駅（あぎえき）] 阿木駅 （あぎえき）は、 岐阜県 中津川市 阿木にある 明知鉄道 明知線 の 駅 である。駅番号は 8 。","https://ja.wikipedia.org/wiki/阿木駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度23分58.68秒東経137度27分32.63秒","明知線","9.9 km（恵那起点）","明知鉄道","地上駅","1933年（昭和8年）5月24日","1面1線","岐阜県中津川市阿木北緯35度23分58.68秒東経137度27分32.63秒﻿ / ﻿北緯35.3996333度 東経137.4590639度﻿ /35.3996333; 137.4590639座標:北緯35度23分58.68秒東経137度27分32.63秒﻿ / ﻿北緯35.3996333度 東経137.4590639度﻿ /35.3996333; 137.4590639","","アキ","8","126人/日（降車客含まず）-2016年-","","","","","","","",""
"安芸阿賀駅","[安芸阿賀駅（あきあがえき）] 安芸阿賀駅 （あきあがえき）は、 広島県 呉市 阿賀中央六丁目にある、 西日本旅客鉄道 （JR西日本） 呉線 の 駅 である。駅番号は JR-Y15 。","https://ja.wikipedia.org/wiki/安芸阿賀駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度14分8.8秒東経132度36分0.3秒","Y呉線","62.9 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1935年（昭和10年）3月24日","2面2線","広島県呉市阿賀中央六丁目3-1北緯34度14分8.8秒東経132度36分0.3秒﻿ / ﻿北緯34.235778度 東経132.600083度﻿ /34.235778; 132.600083座標:北緯34度14分8.8秒東経132度36分0.3秒﻿ / ﻿北緯34.235778度 東経132.600083度﻿ /34.235778; 132.600083","業務委託駅みどりの窓口有","アア","JR-Y15","2,336人/日（降車客含まず）-2019年-","","","","","","","",""
"あき亀山駅","[あき亀山駅（あきかめやまえき）] あき亀山駅 （あきかめやまえき）は、 広島県 広島市 安佐北区 亀山南一丁目にある 西日本旅客鉄道 （JR西日本） 可部線 の 駅 である。駅番号は JR-B16 。","https://ja.wikipedia.org/wiki/あき亀山駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度31分02.15秒東経132度29分45.24秒","B可部線","15.6km（横川起点）広島から18.6 km","西日本旅客鉄道（JR西日本）","地上駅","2017年（平成29年）3月4日","1面2線","広島市安佐北区亀山南一丁目1-1北緯34度31分02.15秒東経132度29分45.24秒﻿ / ﻿北緯34.5172639度 東経132.4959000度﻿ /34.5172639; 132.4959000座標:北緯34度31分02.15秒東経132度29分45.24秒﻿ / ﻿北緯34.5172639度 東経132.4959000度﻿ /34.5172639; 132.4959000","無人駅（自動券売機 有）広島市内駅","カメ","JR-B16","642人/日（降車客含まず）-2019年-","","","","","","","",""
"秋川駅","[秋川駅（あきがわえき）] 秋川駅 （あきがわえき）は、 東京都 あきる野市 油平にある、 東日本旅客鉄道 （JR東日本） 五日市線 の 駅 である  。 駅番号 は JC 83 。","https://ja.wikipedia.org/wiki/秋川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度43分41秒東経139度17分12秒","■五日市線","5.7 km（拝島起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1925年（大正14年）4月21日","2面2線","東京都あきる野市油平49北緯35度43分41秒東経139度17分12秒﻿ / ﻿北緯35.72806度 東経139.28667度﻿ /35.72806; 139.28667座標:北緯35度43分41秒東経139度17分12秒﻿ / ﻿北緯35.72806度 東経139.28667度﻿ /35.72806; 139.28667","業務委託駅*1987年に西秋留駅から改称。","アワ←ニル（改称前）","JC83","5,044人/日（降車客含まず）-2020年-","","","","","","","",""
"安芸川尻駅","[安芸川尻駅（あきかわじりえき）] 安芸川尻駅 （あきかわじりえき）は、 広島県 呉市 川尻町西二丁目にある、 西日本旅客鉄道 （JR西日本） 呉線 の 駅 である。駅番号は JR-Y19 。","https://ja.wikipedia.org/wiki/安芸川尻駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度13分58.29秒東経132度41分29.89秒","Y呉線","52.8 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）11月24日","1面2線","広島県呉市川尻町西二丁目19-5北緯34度13分58.29秒東経132度41分29.89秒﻿ / ﻿北緯34.2328583度 東経132.6916361度﻿ /34.2328583; 132.6916361座標:北緯34度13分58.29秒東経132度41分29.89秒﻿ / ﻿北緯34.2328583度 東経132.6916361度﻿ /34.2328583; 132.6916361","業務委託駅みどりの窓口有","シリ","JR-Y19","761人/日（降車客含まず）-2019年-","","","","","","","",""
"安芸幸崎駅","[安芸幸崎駅（あきさいざきえき）] 安芸幸崎駅 （あきさいざきえき）は、 広島県 三原市 幸崎能地三丁目にある、 西日本旅客鉄道 （JR西日本） 呉線 の 駅 である。駅番号は JR-Y29 。","https://ja.wikipedia.org/wiki/安芸幸崎駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度20分17.41秒東経133度2分23.62秒","Y呉線","11.8 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅","1931年（昭和6年）4月28日","2面2線","広島県三原市幸崎能地三丁目4-1北緯34度20分17.41秒東経133度2分23.62秒﻿ / ﻿北緯34.3381694度 東経133.0398944度﻿ /34.3381694; 133.0398944座標:北緯34度20分17.41秒東経133度2分23.62秒﻿ / ﻿北緯34.3381694度 東経133.0398944度﻿ /34.3381694; 133.0398944","無人駅（自動券売機 有）","ササ","JR-Y29","226人/日（降車客含まず）-2019年-","","","","","","","",""
"昭島駅","[昭島駅（あきしまえき）] 昭島駅 （あきしまえき）は、 東京都 昭島市 昭和町二丁目にある、 東日本旅客鉄道 （JR東日本） 青梅線 の 駅 である  。 駅番号 は JC 54 。","https://ja.wikipedia.org/wiki/昭島駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度42分48.8秒東経139度21分39.3秒","■青梅線","5.0 km（立川起点）東京から42.5 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1938年（昭和13年）12月25日**","1面2線","東京都昭島市昭和町二丁目1-10北緯35度42分48.8秒東経139度21分39.3秒﻿ / ﻿北緯35.713556度 東経139.360917度﻿ /35.713556; 139.360917座標:北緯35度42分48.8秒東経139度21分39.3秒﻿ / ﻿北緯35.713556度 東経139.360917度﻿ /35.713556; 139.360917","業務委託駅","アマセマ（改称前）","JC54","19,571人/日（降車客含まず）-2020年-","","","","","","","",""
"あき総合病院前駅","[あき総合病院前駅（あきそうごうびょういんまええき）] あき総合病院前駅 （あきそうごうびょういんまええき）は、 高知県 安芸市 染井町にある、 土佐くろしお鉄道 ごめん・なはり線 の 駅 である。駅番号は GN27-1 。ごめん・なはり線開業以来初めて追加設置された駅である。","https://ja.wikipedia.org/wiki/あき総合病院前駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度30分15.8秒東経133度53分51.7秒","■ごめん・なはり線","26.8 km（後免起点）","土佐くろしお鉄道（TKT）","地上駅","2021年（令和3年）3月13日","1面1線","高知県安芸市染井町北緯33度30分15.8秒東経133度53分51.7秒﻿ / ﻿北緯33.504389度 東経133.897694度﻿ /33.504389; 133.897694座標:北緯33度30分15.8秒東経133度53分51.7秒﻿ / ﻿北緯33.504389度 東経133.897694度﻿ /33.504389; 133.897694","","","○GN27-1","","","","","","","","",""
"秋田駅","[秋田駅（あきたえき）] 秋田駅 （あきたえき）は、 秋田県 秋田市 中通七丁目 にある、 東日本旅客鉄道 （JR東日本）の 駅 である。","https://ja.wikipedia.org/wiki/秋田駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度43分0.63秒東経140度7分47.09秒","■秋田新幹線","127.3 km（盛岡起点）東京から662.6 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1902年（明治35年）10月21日","4面10線","秋田県秋田市中通七丁目1-2北緯39度43分0.63秒東経140度7分47.09秒﻿ / ﻿北緯39.7168417度 東経140.1297472度﻿ /39.7168417; 140.1297472座標:北緯39度43分0.63秒東経140度7分47.09秒﻿ / ﻿北緯39.7168417度 東経140.1297472度﻿ /39.7168417; 140.1297472","直営駅（管理駅）みどりの窓口有","アキ","","10,390人/日（降車客含まず）-2019年-","","","","","","","",""
"秋田貨物駅","[秋田貨物駅（あきたかもつえき）] 秋田貨物駅 （あきたかもつえき）は、 秋田県 秋田市 泉菅野にある、 日本貨物鉄道 （JR貨物）の 貨物駅 。 奥羽本線 所属で、秋田県最大の貨物駅である。","https://ja.wikipedia.org/wiki/秋田貨物駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度44分27.3秒東経140度6分24.2秒","奥羽本線","302.3 km（福島起点）","日本貨物鉄道（JR貨物）","地上駅","1964年（昭和39年）10月1日","なし","秋田県秋田市泉菅野一丁目19-1北緯39度44分27.3秒東経140度6分24.2秒﻿ / ﻿北緯39.740917度 東経140.106722度﻿ /39.740917; 140.106722座標:北緯39度44分27.3秒東経140度6分24.2秒﻿ / ﻿北緯39.740917度 東経140.106722度﻿ /39.740917; 140.106722","貨物専用駅","アツ","","","","","","","","","",""
"秋田港駅","[秋田港駅（あきたこうえき・臨時）] 秋田港駅 （あきたこうえき）は、 秋田県 秋田市 土崎港西 一丁目にある 日本貨物鉄道 （JR貨物）・ 東日本旅客鉄道 （JR東日本） 奥羽本線 貨物支線（通称：秋田港線）の 駅 。","https://ja.wikipedia.org/wiki/秋田港駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度45分22.7秒東経140度3分44.3秒","奥羽本線貨物支線","1.8 km（土崎起点）","日本貨物鉄道（JR貨物）東日本旅客鉄道（JR東日本）*","地上駅","1919年（大正8年）10月15日","1面1線","秋田県秋田市土崎港西一丁目12北緯39度45分22.7秒東経140度3分44.3秒﻿ / ﻿北緯39.756306度 東経140.062306度﻿ /39.756306; 140.062306座標:北緯39度45分22.7秒東経140度3分44.3秒﻿ / ﻿北緯39.756306度 東経140.062306度﻿ /39.756306; 140.062306","定期貨物列車の発着なし","アコ","","","","","","","","","",""
"あきた白神駅","[あきた白神駅（あきたしらかみえき）] あきた白神駅 （あきたしらかみえき）は、 秋田県 山本郡 八峰町 八森字御所の台（ごしょのだい）にある、 東日本旅客鉄道 （JR東日本） 五能線 の 駅 である  。","https://ja.wikipedia.org/wiki/あきた白神駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯40度23分11.8秒 東経139度59分15.6秒","■五能線","26.1 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1997年（平成9年）10月1日","1面1線","","簡易委託駅POS端末設置","キラ","","13人/日（降車客含まず）-2020年-","","","","","","","",""
"秋津駅","[秋津駅（あきつえき・西武鉄道池袋線）] 秋津駅 （あきつえき）は、 東京都 東村山市 秋津町五丁目にある 西武鉄道 池袋線 の 駅 である。駅番号は SI16 。","https://ja.wikipedia.org/wiki/秋津駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度46分41.81秒東経139度29分48.3秒","■池袋線","21.8km（池袋起点）小竹向原から18.4 km","西武鉄道","地上駅","1917年（大正6年）12月12日","2面2線","東京都東村山市秋津町五丁目7-8北緯35度46分41.81秒東経139度29分48.3秒﻿ / ﻿北緯35.7782806度 東経139.496750度﻿ /35.7782806; 139.496750﻿ (秋津駅)座標:北緯35度46分41.81秒東経139度29分48.3秒﻿ / ﻿北緯35.7782806度 東経139.496750度﻿ /35.7782806; 139.496750﻿ (秋津駅)","","","SI16","","60,087人/日-2020年-","新秋津駅（JR武蔵野線）","","","","","",""
"安芸津駅","[安芸津駅（あきつえき・西日本旅客鉄道呉線）] 安芸津駅 （あきつえき）は、 広島県 東広島市 安芸津町三津にある、 西日本旅客鉄道 （JR西日本） 呉線 の 駅 である。駅番号は JR-Y23 。","https://ja.wikipedia.org/wiki/安芸津駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度19分6.07秒東経132度49分3.67秒","Y呉線","34.7 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）2月17日","2面2線","広島県東広島市安芸津町三津441北緯34度19分6.07秒東経132度49分3.67秒﻿ / ﻿北緯34.3183528度 東経132.8176861度﻿ /34.3183528; 132.8176861座標:北緯34度19分6.07秒東経132度49分3.67秒﻿ / ﻿北緯34.3183528度 東経132.8176861度﻿ /34.3183528; 132.8176861","簡易委託駅POS端末設置*1949年に安芸三津駅から改称。","キツ","JR-Y23","352人/日（降車客含まず）-2019年-","","","","","","","",""
"安芸長束駅","[安芸長束駅（あきながつかえき）] 安芸長束駅 （あきながつかえき）は、 広島県 広島市 安佐南区 長束四丁目にある、 西日本旅客鉄道 （JR西日本） 可部線 の 駅 である。駅番号は JR-B05 。","https://ja.wikipedia.org/wiki/安芸長束駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度25分43.57秒東経132度27分22.11秒","B可部線","2.6km（横川起点）広島から5.6 km","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）11月19日","2面2線","広島市安佐南区長束四丁目1-12北緯34度25分43.57秒東経132度27分22.11秒﻿ / ﻿北緯34.4287694度 東経132.4561417度﻿ /34.4287694; 132.4561417座標:北緯34度25分43.57秒東経132度27分22.11秒﻿ / ﻿北緯34.4287694度 東経132.4561417度﻿ /34.4287694; 132.4561417","業務委託駅みどりの窓口有広島市内駅","ナツ","JR-B05","3,068人/日（降車客含まず）-2019年-","","","","","","","",""
