"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"千葉みなと駅","千葉みなと駅（ちばみなとえき）","https://ja.wikipedia.org/wiki/千葉みなと駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）千葉都市モノレール（駅詳細）","千葉市中央区中央港一丁目","","","","","","","","","","","","","","",""
"千早駅","千早駅 (大阪府)（ちはやえき・千早赤阪村金剛山ロープウェイ）","https://ja.wikipedia.org/wiki/千早駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","西日本鉄道（西鉄・駅詳細）九州旅客鉄道（JR九州・駅詳細）","福岡市東区千早四丁目","","","","","","","","","","","","","","",""
"金剛山ロープウェイ","千早駅 (福岡県)（ちはやえき・九州旅客鉄道鹿児島本線)","https://ja.wikipedia.org/wiki/金剛山ロープウェイ#駅一覧","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千早口駅","千早口駅（ちはやぐちえき）","https://ja.wikipedia.org/wiki/千早口駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度24分42.1秒東経135度35分23.8秒","■高野線","33.2km（汐見橋起点）難波から32.5 km","南海電気鉄道","大阪府河内長野市岩瀬1343番地北緯34度24分42.1秒東経135度35分23.8秒﻿ / ﻿北緯34.411694度 東経135.589944度﻿ /34.411694; 135.589944座標:北緯34度24分42.1秒東経135度35分23.8秒﻿ / ﻿北緯34.411694度 東経135.589944度﻿ /34.411694; 135.589944","地上駅","1915年（大正4年）3月11日","2面2線","無人駅","NK 72","チハ","","","","216人/日-2019年-","","","","",""
"ちはら台駅","ちはら台駅（ちはらだいえき）","https://ja.wikipedia.org/wiki/ちはら台駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","■千原線","10.9 km（千葉中央起点）","京成電鉄","","地下駅","1995年（平成7年）4月1日[1]","1面2線","","KS65","","","5,948人/日-2019年-","","","","","","",""
"千曳駅","千曳駅（ちびきえき）","https://ja.wikipedia.org/wiki/千曳駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯40度48分17.32秒東経141度9分10.14秒","■青い森鉄道線","70.9km（目時起点）東京から688.2 km","青い森鉄道","青森県上北郡東北町字千曳*北緯40度48分17.32秒東経141度9分10.14秒座標:北緯40度48分17.32秒 東経141度9分10.14秒","地上駅","1910年（明治43年）11月15日*","2面2線","無人駅","","チキ","","2人/日-2018年-","","","","","","",""
"千船駅","千船駅（ちぶねえき）","https://ja.wikipedia.org/wiki/千船駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度42分44.15秒東経135度26分42.64秒","本線","5.9 km（大阪梅田起点）","阪神電気鉄道","大阪市西淀川区佃二丁目2-33北緯34度42分44.15秒東経135度26分42.64秒﻿ / ﻿北緯34.7122639度 東経135.4451778度﻿ /34.7122639; 135.4451778﻿ (千船駅)座標:北緯34度42分44.15秒東経135度26分42.64秒﻿ / ﻿北緯34.7122639度 東経135.4451778度﻿ /34.7122639; 135.4451778﻿ (千船駅)","高架駅","1921年（大正10年）1月5日","2面4線","","HS06","","","","","17,026人/日-2019年-","","","","",""
"智北駅","智北駅（ちほくえき）","https://ja.wikipedia.org/wiki/智北駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯44度27分40.8秒東経142度23分43.3秒","■宗谷本線","93.3 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道名寄市字智恵文智北北緯44度27分40.8秒東経142度23分43.3秒座標:北緯44度27分40.8秒 東経142度23分43.3秒","地上駅","1959年（昭和34年）11月1日","1面1線","無人駅","○W52","チホ","","4人/日-2014年-","","","","","","",""
"茶臼山駅","茶臼山駅（ちゃうすやまえき）","https://ja.wikipedia.org/wiki/茶臼山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度54分37.04秒東経137度30分51.00秒","CD飯田線","23.8 km（豊橋起点）","東海旅客鉄道（JR東海）","愛知県新城市富永字四条14北緯34度54分37.04秒東経137度30分51.00秒﻿ / ﻿北緯34.9102889度 東経137.5141667度﻿ /34.9102889; 137.5141667座標:北緯34度54分37.04秒東経137度30分51.00秒﻿ / ﻿北緯34.9102889度 東経137.5141667度﻿ /34.9102889; 137.5141667","地上駅","1926年（大正15年）5月1日","1面1線","駅員無配置駅","","ウス","271人/日（降車客含まず）-2019年-","","","","","","","",""
"茶志内駅","茶志内駅（ちゃしないえき）","https://ja.wikipedia.org/wiki/茶志内駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度22分11秒東経141度52分22.8秒","■函館本線","348.1 km（函館起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*","北海道美唄市茶志内町北緯43度22分11秒東経141度52分22.8秒","地上駅","1916年（大正5年）7月15日","2面3線","無人駅","○A17","チヤ","16人/日（降車客含まず）-2014年-","","","","","","","",""
"茶所駅","茶所駅（ちゃじょえき）","https://ja.wikipedia.org/wiki/茶所駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度24分8.7秒東経136度46分8秒","名古屋本線","98.3 km（豊橋起点）","名古屋鉄道","岐阜県岐阜市加納八幡町28北緯35度24分8.7秒東経136度46分8秒﻿ / ﻿北緯35.402417度 東経136.76889度﻿ /35.402417; 136.76889座標:北緯35度24分8.7秒東経136度46分8秒﻿ / ﻿北緯35.402417度 東経136.76889度﻿ /35.402417; 136.76889","地上駅","1914年（大正3年）6月2日","2面2線","無人駅（駅集中管理システム導入駅。名鉄岐阜駅管理）","NH  58 ","","","635人/日-2019年[1]-","","","","","","",""
"茶内駅","茶内駅（ちゃないえき）","https://ja.wikipedia.org/wiki/茶内駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度7分45.41秒東経145度1分40.79秒","根室本線（花咲線）","375.2 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道厚岸郡浜中町茶内緑113北緯43度7分45.41秒東経145度1分40.79秒","地上駅","1919年（大正8年）11月25日","2面2線","無人駅","","チナ","","20人/日-2014年-","","","","","","",""
"茶屋ヶ坂駅","茶屋ヶ坂駅（ちゃやがさかえき）","https://ja.wikipedia.org/wiki/茶屋ヶ坂駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","名城線","2.6 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","","地下駅","2003年（平成15年）12月13日","2面2線","","M15","","7,663人/日（降車客含まず）-2019年-","14,828[1]人/日-2019年-","","","","","","",""
"茶山駅 (京都府)","茶山駅 (京都府)（ちゃやまえき・叡山電鉄叡山本線）","https://ja.wikipedia.org/wiki/茶山駅_(京都府)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度2分17.55秒東経135度47分3.99秒","■叡山本線","1.4 km（出町柳起点）","叡山電鉄","京都市左京区田中北春菜町38[1]北緯35度2分17.55秒東経135度47分3.99秒﻿ / ﻿北緯35.0382083度 東経135.7844417度﻿ /35.0382083; 135.7844417﻿ (茶山駅)座標:北緯35度2分17.55秒東経135度47分3.99秒﻿ / ﻿北緯35.0382083度 東経135.7844417度﻿ /35.0382083; 135.7844417﻿ (茶山駅)","地上駅","1925年（大正14年）9月27日[1]","2面2線",""," E03 ","","1,466人/日（降車客含まず）-2017年-","","","","","","","",""
"茶山駅 (福岡県)","茶山駅 (福岡県)（ちゃやまえき・福岡市地下鉄七隈線）","https://ja.wikipedia.org/wiki/茶山駅_(福岡県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度33分57.83秒東経130度21分55.55秒","地下鉄七隈線","6.5 km（橋本起点）","福岡市交通局","福岡市城南区茶山一丁目北緯33度33分57.83秒東経130度21分55.55秒﻿ / ﻿北緯33.5660639度 東経130.3654306度﻿ /33.5660639; 130.3654306﻿ (茶山駅)座標:北緯33度33分57.83秒東経130度21分55.55秒﻿ / ﻿北緯33.5660639度 東経130.3654306度﻿ /33.5660639; 130.3654306﻿ (茶山駅)","地下駅","2005年（平成17年）2月3日","1面2線","業務委託駅","○N09","","2,552人/日（降車客含まず）-2019年-","","","","","","","",""
"茶屋町駅","茶屋町駅（ちゃやまちえき）","https://ja.wikipedia.org/wiki/茶屋町駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度34分35.94秒東経133度49分33.01秒","L宇野線*","14.9 km（岡山起点）","西日本旅客鉄道（JR西日本）","岡山県倉敷市茶屋町478番地北緯34度34分35.94秒東経133度49分33.01秒﻿ / ﻿北緯34.5766500度 東経133.8258361度﻿ /34.5766500; 133.8258361座標:北緯34度34分35.94秒東経133度49分33.01秒﻿ / ﻿北緯34.5766500度 東経133.8258361度﻿ /34.5766500; 133.8258361","高架駅","1910年（明治43年）6月12日","2面3線","直営駅みどりの券売機プラス設置駅","JR-L08","チヤ","3,850人/日（降車客含まず）-2019年-","","","","","","","",""
"中央市場前駅","中央市場前駅（ちゅうおういちばまええき）","https://ja.wikipedia.org/wiki/中央市場前駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度39分58.31秒東経135度10分33.11秒","海岸線","4.2 km（新長田起点）","神戸市交通局（神戸市営地下鉄）","神戸市兵庫区中之島一丁目[1]北緯34度39分58.31秒東経135度10分33.11秒﻿ / ﻿北緯34.6661972度 東経135.1758639度﻿ /34.6661972; 135.1758639﻿ (中央市場前駅)座標:北緯34度39分58.31秒東経135度10分33.11秒﻿ / ﻿北緯34.6661972度 東経135.1758639度﻿ /34.6661972; 135.1758639﻿ (中央市場前駅)","地下駅[1]","2001年（平成13年）7月7日[1]","1面2線[1]",""," K05 ","","3,499人/日（降車客含まず）-2019年-","","","","","","","",""
"中央区役所前停留場","中央区役所前停留場（ちゅうおうくやくしょまえていりゅうじょう）","https://ja.wikipedia.org/wiki/中央区役所前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度3分26.9秒東経141度20分27.4秒","一条線","0.901 km（西4丁目起点）","札幌市交通局（札幌市電）","札幌市中央区南1条西10丁目北緯43度3分26.9秒東経141度20分27.4秒﻿ / ﻿北緯43.057472度 東経141.340944度﻿ /43.057472; 141.340944座標:北緯43度3分26.9秒東経141度20分27.4秒﻿ / ﻿北緯43.057472度 東経141.340944度﻿ /43.057472; 141.340944","地上駅（停留場）","1918年8月12日","2面2線","","○SC03","","","2,880[1]人/日-2019年-","西11丁目駅（札幌市営地下鉄東西線） - 乗継指定駅","","","","","",""
"山形蔵王温泉スキー場","中央高原駅（ちゅうおうこうげんえき）","https://ja.wikipedia.org/wiki/山形蔵王温泉スキー場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯38度10分13.9秒東経140度24分6.2秒","","","","〒990-2301山形県山形市蔵王温泉川原708-1","","","","","","","","","","","","1,661 m - 780 m","881 m","9,000 m","38度"
"中央大学・明星大学駅","中央大学・明星大学駅（ちゅうおうだいがく・めいせいだいがくえき）","https://ja.wikipedia.org/wiki/中央大学・明星大学駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度38分31秒東経139度24分30.8秒","多摩都市モノレール線","13.4 km（上北台起点）","多摩都市モノレール","東京都八王子市東中野742北緯35度38分31秒東経139度24分30.8秒﻿ / ﻿北緯35.64194度 東経139.408556度﻿ /35.64194; 139.408556座標:北緯35度38分31秒東経139度24分30.8秒﻿ / ﻿北緯35.64194度 東経139.408556度﻿ /35.64194; 139.408556","地上駅","2000年（平成12年）1月10日","2面2線","","TT04","","16,750人/日（降車客含まず）-2019年-","33,675人/日-2019年-","","","","","","",""
"中央図書館前停留場","中央図書館前停留場（ちゅうおうとしょかんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/中央図書館前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度1分49.5秒東経141度20分24.3秒","山鼻西線","3.154 km（西15丁目起点）","札幌市交通事業振興公社（札幌市電）","札幌市中央区南22条西13丁目北緯43度1分49.5秒東経141度20分24.3秒﻿ / ﻿北緯43.030417度 東経141.340083度﻿ /43.030417; 141.340083座標:北緯43度1分49.5秒東経141度20分24.3秒﻿ / ﻿北緯43.030417度 東経141.340083度﻿ /43.030417; 141.340083","地上駅（停留場）","1931年","2面2線","運行系統上の起点となる西4丁目より4.590 km","○SC12","","","2,144[1]人/日-2019年-","","","","","","",""
"中央病院前停留場","中央病院前停留場（ちゅうおうびょういんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/中央病院前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯41度47分11.73秒東経140度45分3.24秒","函館市電湯の川線","3.8 km（湯の川起点）","函館市企業局交通部","北海道函館市本町33-5先、2-13先北緯41度47分11.73秒東経140度45分3.24秒﻿ / ﻿北緯41.7865917度 東経140.7509000度﻿ /41.7865917; 140.7509000﻿ (中央病院前停留場)座標:北緯41度47分11.73秒東経140度45分3.24秒﻿ / ﻿北緯41.7865917度 東経140.7509000度﻿ /41.7865917; 140.7509000﻿ (中央病院前停留場)","地上駅（停留場）","","2面2線","","DY10","","","606[1]人/日-2019年-","","","","","","",""
"中央弘前駅","中央弘前駅（ちゅうおうひろさきえき）","https://ja.wikipedia.org/wiki/中央弘前駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯40度35分58.52秒東経140度28分21.59秒","大鰐線","13.9 km（大鰐起点）","弘南鉄道","青森県弘前市大字吉野町1-6北緯40度35分58.52秒東経140度28分21.59秒﻿ / ﻿北緯40.5995889度 東経140.4726639度﻿ /40.5995889; 140.4726639座標:北緯40度35分58.52秒東経140度28分21.59秒﻿ / ﻿北緯40.5995889度 東経140.4726639度﻿ /40.5995889; 140.4726639","地上駅","1952年（昭和27年）1月26日","1面1線","業務委託駅","KW 01","","","767人/日-2017年-","","","","","","",""
"中央前橋駅","中央前橋駅（ちゅうおうまえばしえき）","https://ja.wikipedia.org/wiki/中央前橋駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度23分28.12秒東経139度4分29.67秒","■上毛線","0.0 km（中央前橋起点）","上毛電気鉄道","群馬県前橋市城東町三丁目1-1北緯36度23分28.12秒東経139度4分29.67秒﻿ / ﻿北緯36.3911444度 東経139.0749083度﻿ /36.3911444; 139.0749083﻿ (中央前橋駅)座標:北緯36度23分28.12秒東経139度4分29.67秒﻿ / ﻿北緯36.3911444度 東経139.0749083度﻿ /36.3911444; 139.0749083﻿ (中央前橋駅)","地上駅","1928年（昭和3年）11月10日","3面3線","","","","","1,667人/日-2018年-","","","","","","",""
"中央林間駅","中央林間駅（ちゅうおうりんかんえき）","https://ja.wikipedia.org/wiki/中央林間駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","小田急電鉄（駅詳細）東急電鉄（駅詳細）","神奈川県大和市中央林間三丁目・四丁目","","","","","","","","","","","","","","",""
"中学校駅","中学校駅（ちゅうがっこうえき）","https://ja.wikipedia.org/wiki/中学校駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度44分24.9秒東経140度8分53.7秒","■ユーカリが丘線","2.8 km（ユーカリが丘起点）","山万","千葉県佐倉市宮ノ台三丁目1番1号北緯35度44分24.9秒東経140度8分53.7秒﻿ / ﻿北緯35.740250度 東経140.148250度﻿ /35.740250; 140.148250座標:北緯35度44分24.9秒東経140度8分53.7秒﻿ / ﻿北緯35.740250度 東経140.148250度﻿ /35.740250; 140.148250","地上駅","1982年（昭和57年）11月2日[1]","単式 1面1線","無人駅","","","","","","","541人/日（降車客含まず）-2018年-","","","",""
"中京競馬場前駅","中京競馬場前駅（ちゅうきょうけいばじょうまええき）","https://ja.wikipedia.org/wiki/中京競馬場前駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度3分41.55秒東経136度58分52秒","名古屋本線","51.4 km（豊橋起点）","名古屋鉄道","名古屋市緑区大将ケ根二丁目1272北緯35度3分41.55秒東経136度58分52秒﻿ / ﻿北緯35.0615417度 東経136.98111度﻿ /35.0615417; 136.98111座標:北緯35度3分41.55秒東経136度58分52秒﻿ / ﻿北緯35.0615417度 東経136.98111度﻿ /35.0615417; 136.98111","地上駅（半高架）","1953年（昭和28年）7月15日","2面2線","終日駅員配置駅","","NH  24 ","","9,750人/日-2019年[1]-","","","","","","",""
"中郡駅","中郡駅（ちゅうぐんえき・東日本旅客鉄道米坂線）","https://ja.wikipedia.org/wiki/中郡駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯37度58分9.04秒東経140度4分1.89秒","■米坂線","12.5 km（米沢起点）","東日本旅客鉄道（JR東日本）","山形県東置賜郡川西町大字時田51北緯37度58分9.04秒東経140度4分1.89秒座標:北緯37度58分9.04秒 東経140度4分1.89秒","地上駅","1926年（大正15年）9月28日","1面1線","無人駅","","チウ","41人/日（降車客含まず）-2004年-","","","","","","","",""
"中国勝山駅","中国勝山駅（ちゅうごくかつやまえき）","https://ja.wikipedia.org/wiki/中国勝山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度4分49.83秒東経133度41分40.23秒","K姫新線","123.8 km（姫路起点）","西日本旅客鉄道（JR西日本）","岡山県真庭市勝山407北緯35度4分49.83秒東経133度41分40.23秒﻿ / ﻿北緯35.0805083度 東経133.6945083度﻿ /35.0805083; 133.6945083座標:北緯35度4分49.83秒東経133度41分40.23秒﻿ / ﻿北緯35.0805083度 東経133.6945083度﻿ /35.0805083; 133.6945083","地上駅","1925年（大正14年）3月15日","2面2線","簡易委託駅POS端末設置","","カヤ","306人/日（降車客含まず）-2019年-","","","","","","","",""
"中書島駅","中書島駅（ちゅうしょじまえき）","https://ja.wikipedia.org/wiki/中書島駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度55分36.77秒東経135度45分36.07秒","■京阪本線","39.7 km（淀屋橋起点）","京阪電気鉄道","京都市伏見区葭島矢倉町59番地北緯34度55分36.77秒東経135度45分36.07秒﻿ / ﻿北緯34.9268806度 東経135.7600194度﻿ /34.9268806; 135.7600194﻿ (中書島駅)","地上駅","1910年（明治43年）4月15日","3面4線","","KH  28","中書（駅名略称方式）","","11,765人/日-2019年-","","","","","","",""
"中田駅 (徳島県)","中田駅 (徳島県)（ちゅうでんえき・四国旅客鉄道牟岐線）","https://ja.wikipedia.org/wiki/中田駅_(徳島県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度0分37.97秒東経134度34分11.47秒","■牟岐線","9.2 km（徳島起点）","四国旅客鉄道（JR四国）","徳島県小松島市中郷町長手13北緯34度0分37.97秒東経134度34分11.47秒﻿ / ﻿北緯34.0105472度 東経134.5698528度﻿ /34.0105472; 134.5698528座標:北緯34度0分37.97秒東経134度34分11.47秒﻿ / ﻿北緯34.0105472度 東経134.5698528度﻿ /34.0105472; 134.5698528","地上駅","1916年（大正5年）12月15日","1面2線","無人駅","○M05","チテ","","888[1]人/日-2019年-","","","","","","",""
"中電前停留場","中電前停留場（ちゅうでんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/中電前停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度23分18.81秒東経132度27分19.13秒","■宇品線","0.8 km（紙屋町起点）","広島電鉄","広島市中区小町北緯34度23分18.81秒東経132度27分19.13秒﻿ / ﻿北緯34.3885583度 東経132.4553139度﻿ /34.3885583; 132.4553139﻿ (中電前停留場)座標:北緯34度23分18.81秒東経132度27分19.13秒﻿ / ﻿北緯34.3885583度 東経132.4553139度﻿ /34.3885583; 132.4553139﻿ (中電前停留場)","地上駅","1912年（大正元年）11月23日","2面2線","","●U3","","","3,350[1]人/日-2019年-","","","","","","",""
"中納言停留場","中納言停留場（ちゅうなごんていりゅうじょう）","https://ja.wikipedia.org/wiki/中納言停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度39分27.15秒東経133度56分15.88秒","■東山本線（1系統）","2.4 km（岡山駅前起点）","岡山電気軌道","岡山市中区中納言町・小橋町二丁目北緯34度39分27.15秒東経133度56分15.88秒﻿ / ﻿北緯34.6575417度 東経133.9377444度﻿ /34.6575417; 133.9377444﻿ (中納言停留場)","地上駅","1923年（大正12年）7月9日","2面2線","","○H08","","","","","","","","","",""
"稲佐山","中腹駅（ちゅうふくえき）","https://ja.wikipedia.org/wiki/稲佐山","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯32度45分12.1秒東経129度50分57.6秒","","","","日本長崎県長崎市","","","","","","","","","","","","333m","","",""
"中部国際空港駅","中部国際空港駅（ちゅうぶこくさいくうこうえき）","https://ja.wikipedia.org/wiki/中部国際空港駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度51分35.6秒東経136度48分58.1秒","空港線","4.2 km（常滑起点）神宮前から33.5 km","名古屋鉄道","愛知県常滑市セントレア1-1北緯34度51分35.6秒東経136度48分58.1秒﻿ / ﻿北緯34.859889度 東経136.816139度﻿ /34.859889; 136.816139座標:北緯34度51分35.6秒東経136度48分58.1秒﻿ / ﻿北緯34.859889度 東経136.816139度﻿ /34.859889; 136.816139","高架駅","2004年（平成16年）10月16日","頭端式2面3線","","TA  24 ","","","29,863人/日-2019年[1]-","","","","","","",""
"中部天竜駅","中部天竜駅（ちゅうぶてんりゅうえき）","https://ja.wikipedia.org/wiki/中部天竜駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度5分5.99秒東経137度48分9.35秒","CD飯田線","62.4 km（豊橋起点）","東海旅客鉄道（JR東海）","浜松市天竜区佐久間町半場15-3北緯35度5分5.99秒東経137度48分9.35秒﻿ / ﻿北緯35.0849972度 東経137.8025972度﻿ /35.0849972; 137.8025972座標:北緯35度5分5.99秒東経137度48分9.35秒﻿ / ﻿北緯35.0849972度 東経137.8025972度﻿ /35.0849972; 137.8025972","地上駅","1934年（昭和9年）11月11日","1面2線","駅長配置駅（管理駅・夜間無人駅）JR全線きっぷうりば有","","チウ","103人/日（降車客含まず）-2019年-","","","","","","","",""
"千代駅","千代駅（ちよえき）","https://ja.wikipedia.org/wiki/千代駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度25分46.67秒東経137度49分0.18秒","CD飯田線","114.8 km（豊橋起点）","東海旅客鉄道（JR東海）","長野県飯田市千栄[1]732北緯35度25分46.67秒東経137度49分0.18秒﻿ / ﻿北緯35.4296306度 東経137.8167167度﻿ /35.4296306; 137.8167167座標:北緯35度25分46.67秒東経137度49分0.18秒﻿ / ﻿北緯35.4296306度 東経137.8167167度﻿ /35.4296306; 137.8167167","地上駅","1932年（昭和7年）10月30日[1]","1面1線[1]","駅員無配置駅[1]標高：380m[1]","","チヨ[1]","3人/日（降車客含まず）-2018年-","","","","","","","",""
"長安寺駅","長安寺駅（ちょうあんじえき）","https://ja.wikipedia.org/wiki/長安寺駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯39度06分25秒東経141度41分14秒","日頃市線","3.3 km（盛起点）","岩手開発鉄道","岩手県大船渡市日頃市町長安寺北緯39度06分25秒東経141度41分14秒座標:北緯39度06分25秒 東経141度41分14秒","地上駅","1950年（昭和25年）10月21日","","貨物駅","","","","","","","","","","",""
"長後駅","長後駅（ちょうごえき）","https://ja.wikipedia.org/wiki/長後駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度24分45秒東経139度27分56秒","江ノ島線","14.0 km（相模大野起点）新宿から46.3 km","小田急電鉄","神奈川県藤沢市下土棚472番地北緯35度24分45秒東経139度27分56秒﻿ / ﻿北緯35.41250度 東経139.46556度﻿ /35.41250; 139.46556座標:北緯35度24分45秒東経139度27分56秒﻿ / ﻿北緯35.41250度 東経139.46556度﻿ /35.41250; 139.46556","地上駅（橋上駅）","1929年（昭和4年）4月1日","2面4線","","OE08","","","34,294人/日-2019年-","","","","","","",""
"彫刻の森駅","彫刻の森駅（ちょうこくのもりえき）","https://ja.wikipedia.org/wiki/彫刻の森駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度14分47.3秒東経139度3分3.0秒","鉄道線（箱根登山電車）","14.3 km（小田原起点）","箱根登山鉄道","神奈川県足柄下郡箱根町二ノ平1204-6北緯35度14分47.3秒東経139度3分3.0秒﻿ / ﻿北緯35.246472度 東経139.050833度﻿ /35.246472; 139.050833座標:北緯35度14分47.3秒東経139度3分3.0秒﻿ / ﻿北緯35.246472度 東経139.050833度﻿ /35.246472; 139.050833","地上駅","1919年（大正8年）6月1日","2面2線","標高539m[2]","OH56","","420人/日（降車客含まず）-2018年[1]-","829人/日-2018年[1]-","","","","","","",""
