"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","面積","時代","文化財指定","分類","開園","運営者","公式サイト","管理者","駐車場","位置","形状","規模","出土品","築造時期","史跡","国","都道府県"
"身洗沢遺跡","[身洗沢遺跡（笛吹市）] 身洗沢遺跡 （みあらいざわいせき）は、 山梨県 笛吹市 （旧 東八代郡 八代町 南字身洗沢）にある 遺跡 。遺跡名は小字に由来する。","https://ja.wikipedia.org/wiki/身洗沢遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度37分22秒 東経138度38分09秒","","","","","","","","","","","","","","","","","","",""
"油田遺跡 (南アルプス市)","[油田遺跡（南アルプス市）] 油田遺跡 （あぶらだいせき）は、 山梨県 南アルプス市 田島字油田にある 遺跡 。 弥生時代 、 古墳時代 、 平安時代 の 集落遺跡 。","https://ja.wikipedia.org/wiki/油田遺跡_(南アルプス市)","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度35分48秒 東経138度28分36秒","","","","","","","","","","","","","","","","","","",""
"大師東丹保遺跡","[大師東丹保遺跡（南アルプス市大師）] 鎌倉時代の 集落遺跡 は県内では珍しく、木製品など膨大な有機遺物が出土していることから注目されている。","https://ja.wikipedia.org/wiki/大師東丹保遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度35分13.7秒 東経138度28分26.3秒","","","","","","","","","","","","","","","","","","",""
"二本柳遺跡 (存在しないページ)","[二本柳遺跡（南アルプス市十日市場）]","https://ja.wikipedia.org/w/index.php?title=二本柳遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長田口遺跡 (存在しないページ)","[長田口遺跡（南アルプス市）]","https://ja.wikipedia.org/w/index.php?title=長田口遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金の尾遺跡","[金の尾遺跡（甲斐市大下条）] 金の尾遺跡 （かねのおいせき）は、 山梨県 甲斐市 大下条（旧 中巨摩郡 敷島町 ）にある 遺跡 。 縄文時代 前期末から縄文中期と、 弥生時代 後期の集落と墓域を含む 集落遺跡 。","https://ja.wikipedia.org/wiki/金の尾遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度40分22.0秒 東経138度31分22.0秒","","","","","","","","","","","","","","","","","","",""
"宮ノ前遺跡 (存在しないページ)","[宮ノ前遺跡（韮崎市）]","https://ja.wikipedia.org/w/index.php?title=宮ノ前遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"周防畑B遺跡 (存在しないページ)","[周防畑B遺跡（佐久市）]","https://ja.wikipedia.org/w/index.php?title=周防畑B遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"後沢遺跡 (存在しないページ)","[後沢遺跡（佐久市）]","https://ja.wikipedia.org/w/index.php?title=後沢遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箱清水遺跡 (存在しないページ)","[箱清水遺跡（長野市）]","https://ja.wikipedia.org/w/index.php?title=箱清水遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西近津遺跡群 (存在しないページ)","[西近津遺跡群（佐久市）]","https://ja.wikipedia.org/w/index.php?title=西近津遺跡群&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒尾南遺跡","[荒尾南遺跡] 荒尾南遺跡 （あらおみなみいせき）は、 濃尾平野 北西部にある 弥生時代 から 古墳時代 にかけての 遺跡 。 東海地方 最大級。 大垣西IC 建設に伴い発掘調査された  。","https://ja.wikipedia.org/wiki/荒尾南遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"登呂遺跡","[登呂遺跡（静岡市）] 登呂遺跡 （とろいせき）は、 静岡県 静岡市 駿河区 登呂五丁目にある、 弥生時代 の集落・ 水田 遺跡 。国の 特別史跡 に指定されている。弥生時代後期に属し、 1世紀 ごろの集落と推定される。「登呂」はこの地域の 小字 （ 1973年 、 住居表示 実施により町名にも採用）。","https://ja.wikipedia.org/wiki/登呂遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度57分22秒東経138度24分29秒","静岡県静岡市駿河区登呂五丁目","遺跡","","弥生時代","国特別史跡(1952年指定)","","","","","静岡市","","","","","","","","",""
"西上免遺跡 (存在しないページ)","[西上免遺跡（一宮市、それほど大規模な拠点集落ではない。前方後方形墳丘墓、墳丘長約40メートル）]","https://ja.wikipedia.org/w/index.php?title=西上免遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"朝日遺跡","[朝日遺跡] 朝日遺跡 （あさひいせき）は、 愛知県 清須市 ・ 名古屋市 西区 にまたがる  弥生時代 の 東海地方 最大級の 環濠集落 遺跡で、範囲は東西1.4キロメートル、南北0.8キロメートル   。推定面積は80～100万㎡にも及び全国でも有数の規模である  。最盛期の人口は約1,000人であったと推定される  。","https://ja.wikipedia.org/wiki/朝日遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度13分17.4秒 東経136度51分18秒","","","","","","","","","","","","","","","","","","",""
"貝殻山貝塚","[貝殻山貝塚] 朝日遺跡 （あさひいせき）は、 愛知県 清須市 ・ 名古屋市 西区 にまたがる  弥生時代 の 東海地方 最大級の 環濠集落 遺跡で、範囲は東西1.4キロメートル、南北0.8キロメートル   。推定面積は80～100万㎡にも及び全国でも有数の規模である  。最盛期の人口は約1,000人であったと推定される  。","https://ja.wikipedia.org/wiki/貝殻山貝塚","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度13分17.4秒 東経136度51分18秒","","","","","","","","","","","","","","","","","","",""
"隠岡遺跡","[隠岡遺跡（伊勢市）] 隠岡遺跡 （かくれがおかいせき）は、 三重県 伊勢市 倭町にある、 弥生時代 および 平安時代 の 遺跡 。 宮川 以南、伊勢市内で初めて見つかった 3世紀 末の 住居 跡であり、 伊勢神宮 がこの頃に伊勢に鎮座したことを間接的に示す重要な遺跡である  。","https://ja.wikipedia.org/wiki/隠岡遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度29分14.7秒 東経136度43分11.1秒","","","","","","","","","","","","","","","","","","",""
"服部遺跡 (存在しないページ)","[服部遺跡（守山市）]","https://ja.wikipedia.org/w/index.php?title=服部遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下之郷遺跡","[下之郷遺跡（守山市）] 下之郷遺跡 （しものごういせき）は、 滋賀県 守山市 下之郷町にある 弥生時代 の遺跡。2002年3月19日に国の 史跡 に指定され、2016年10月6日に指定範囲が追加された。","https://ja.wikipedia.org/wiki/下之郷遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度03分59秒 東経135度59分23秒","","","","","","","","","","","","","","","","","","",""
"伊勢遺跡","[伊勢遺跡（守山市）] 伊勢遺跡 （いせいせき）は、 滋賀県 守山市 伊勢町・阿村町・ 栗東市 野尻にある 遺跡 。国の 史跡 に指定されている。 縄文時代 から 室町時代 にかけての 複合遺跡 であり  、特に 弥生時代 後期の国内最大級の大型建物群で知られる。","https://ja.wikipedia.org/wiki/伊勢遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度02分29秒 東経135度59分20秒","滋賀県守山市伊勢町・阿村町・栗東市野尻","集落","","","","","","","","","","","","","","","","",""
"大岩山古墳群","[大岩山古墳群（野洲市）] 大岩山古墳群 （おおいわやまこふんぐん）は、 滋賀県 野洲市 小篠原（こしのはら）にある 古墳群 。8基が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大岩山古墳群","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十里遺跡 (存在しないページ)","[十里遺跡（栗東市）]","https://ja.wikipedia.org/w/index.php?title=十里遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大中の湖南遺跡","[大中の湖南遺跡（近江八幡市）] 大中の湖南遺跡 （だいなかのこみなみいせき）は、 滋賀県 近江八幡市 （旧 蒲生郡 安土町 ）にある 弥生時代 の 遺跡 。 1973年 （昭和48年）4月14日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/大中の湖南遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度10分24秒 東経136度07分58秒","","","","","","","","","","","","","","","","","","",""
"扇谷遺跡","[扇谷遺跡（京丹後市）] 扇谷遺跡 (おうぎたにいせき)とは、現在の 京都府 京丹後市 峰山町 に、 弥生時代 前期末から中期初頭にかけての比較的短期間営まれた、日本最古とされる 高地性集落 跡地  。市指定史跡  。","https://ja.wikipedia.org/wiki/扇谷遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度37分29.7秒 東経135度4分15.7秒","","","","","","","","","","","","","","","","","","",""
"池上・曽根遺跡","[池上・曽根遺跡（和泉市・泉大津市）] 池上曽根弥生情報館","https://ja.wikipedia.org/wiki/池上・曽根遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度30分6.6秒 東経135度25分38.2秒","","","","","","","","","","","","","","","","","","",""
"東奈良遺跡","[東奈良遺跡（茨木市）] 東奈良遺跡 （ひがしならいせき）は、 大阪府 茨木市 の南部、 南茨木駅 から東側一帯にある、 弥生時代 の大規模 環濠集落 や 古墳時代 、 中世 の 遺構 を含む 複合遺跡  。 1973年 （ 昭和 48年）、 大阪万博 とともに新設された南茨木駅周囲一帯の大規模団地建設の際に発見された。南茨木駅の東300メートルに出土品を所蔵・展示した市立文化財資料館がある。","https://ja.wikipedia.org/wiki/東奈良遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度48分07.0秒東経135度34分11.8秒","大阪府茨木市東奈良一丁目・二丁目","複合遺跡（弥生時代の環濠集落、古墳時代集落、中世の水田）","","","","","","","","","","","","","","","","",""
"池島・福万寺遺跡","[池島・福万寺遺跡（東大阪市・八尾市）] 池島・福万寺遺跡 （いけしま・ふくまんじいせき）は、 大阪府 東大阪市 から大阪府 八尾市 域にまたがって所在する、 縄文時代 晩期から近代までの生産遺構を中心とする 遺跡 。","https://ja.wikipedia.org/wiki/池島・福万寺遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大中遺跡","[大中遺跡（播磨町）] 大中遺跡 （おおなかいせき）は、 兵庫県 加古郡 播磨町 に位置する、 弥生終末 （約1900年前）から 古墳時代 初頭（ 邪馬台国 卑弥呼 と同時期）の代表的な 遺跡 の一つで規模の大きな集落跡。 竪穴住居 跡の一部は復元されており、1967年6月22日（昭和42年）には国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大中遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度43分37.7秒東経134度52分38.2秒","日本兵庫県加古郡播磨町大中1丁目1番2号","","7.5ヘクタール","","","歴史公園","1974年（昭和49年）9月28日","兵庫県","大中遺跡播磨町","","有料駐車場あり（64台）","","","","","","","",""
"沖田遺跡 (存在しないページ)","[沖田遺跡（赤穂市）]","https://ja.wikipedia.org/w/index.php?title=沖田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五斗長垣内遺跡","[五斗長垣内遺跡（淡路市）] 五斗長垣内遺跡 （ごっさかいといせき）は、 兵庫県 淡路市 黒谷にある 弥生時代 の 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/五斗長垣内遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度30分18.4秒 東経134度54分30.3秒","","","","","","","","","","","","","","","","","","",""
"田能遺跡","[田能遺跡（尼崎市、伊丹市）] 1965年 （昭和40年）に、尼崎・伊丹・西宮三市共同による工業用水園田配水場の建設工事中に大量の弥生土器が発見されたことから、この場所に大規模な弥生時代の遺跡があることが判明、調査が開始された。特に注目されたのが、木棺の発見である。木は腐りやすいため、それまでは推測でしかなかった弥生時代の木棺埋葬の風習が、初めて具体的な形で証明された。第1次調査では、木棺墓から人骨も発見された。","https://ja.wikipedia.org/wiki/田能遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度46分11.5秒 東経135度26分25.8秒","","","","","","","","","","","","","","","","","","",""
"唐古・鍵遺跡","[唐古・鍵遺跡（田原本町）] 唐古・鍵遺跡 （からこ・かぎいせき）は、 奈良県 磯城郡 田原本町 唐古・鍵にある 弥生時代 の 環濠集落 の 遺跡 。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/唐古・鍵遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度34分09.8秒東経135度47分57.6秒","奈良県磯城郡田原本町唐古・鍵","弥生時代の環濠集落","","","","","","","","","","","","","","","","",""
"纏向遺跡","[纏向遺跡（桜井市）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/纏向遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度32分45.81秒 東経135度50分24.71秒","","","","","","","","","","","","","","","","","","",""
"坪井遺跡","[坪井遺跡（橿原市）] 坪井遺跡 （つぼいいせき）は、 奈良県 橿原市 常盤町 と奈良県 桜井市 大福 にまたがる 弥生時代 中期・後期の 遺跡 。","https://ja.wikipedia.org/wiki/坪井遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒田・太田遺跡 (存在しないページ)","[黒田・太田遺跡（和歌山市）]","https://ja.wikipedia.org/w/index.php?title=黒田・太田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青谷上寺地遺跡","[青谷上寺地遺跡（鳥取市）] 青谷上寺地遺跡 （あおやかみじちいせき）は、 鳥取県 鳥取市 青谷町青谷にある、 弥生時代 の集落 遺跡 。 国道 青谷羽合道路 及び 鳥取県道274号青谷停車場井手線 の建設にともない、 1998年 （ 平成 10年）度から3年3か月の期間をかけて、 遺構 面の面積で延べ約55,000平方メートルが 発掘調査 された。典型的な 低湿地遺跡 で、 弥生人の脳 をはじめとする多彩な 遺物 が出土したことから「 弥生の地下博物館 」とも呼ばれている  。","https://ja.wikipedia.org/wiki/青谷上寺地遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度30分48.0秒 東経133度59分30.0秒","","","","","","","","","","","","","","","","","","",""
"常松菅田遺跡 (存在しないページ)","[常松菅田遺跡（鳥取市） - 縄文から弥生、古墳時代の複合遺跡]","https://ja.wikipedia.org/w/index.php?title=常松菅田遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"智頭枕田遺跡","[智頭枕田遺跡（智頭町） - 縄文から奈良、平安時代の複合遺跡] 智頭枕田遺跡 （ちづまくらだいせき）は、 鳥取県 智頭町 に位置する、 縄文時代 から 平安時代 の九州を除いた西日本では最大級の 遺跡  。","https://ja.wikipedia.org/wiki/智頭枕田遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"妻木晩田遺跡","[妻木晩田遺跡（大山町・米子市）] 妻木晩田遺跡 （むきばんだいせき）は、 鳥取県 西伯郡 大山町 富岡・妻木・長田および 米子市 淀江町福岡にある 弥生時代 の集落 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/妻木晩田遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度27分54.3秒 東経133度26分46秒","","","","","","","","","","","","","","","","","","",""
"福市遺跡","[福市遺跡（米子市）] 福市遺跡 （ふくいちいせき）は、 鳥取県 米子市 福市、通称「長者原台地」上に所在する 弥生時代 後期から 古墳時代 中期を中心とする集落遺跡。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/福市遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度24分8.9秒 東経133度22分5.7秒","","","","","","","","","","","","","","","","","","",""
"青木遺跡 (米子市)","[青木遺跡（米子市）] 青木遺跡 （あおきいせき）は、 鳥取県 米子市 永江、通称「長者原台地」の北東部に広がる 弥生時代 中期から 奈良時代 を中心とする集落遺跡。国指定の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/青木遺跡_(米子市)","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度23分54.7秒 東経133度22分0.9秒","","","","","","","","","","","","","","","","","","",""
"古浦砂丘遺跡 (存在しないページ)","[古浦砂丘遺跡（松江市）]","https://ja.wikipedia.org/w/index.php?title=古浦砂丘遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒神谷遺跡","[荒神谷遺跡（出雲市）] 荒神谷遺跡 （こうじんだにいせき）は、 島根県 出雲市 斐川町 神庭の小さな谷間にある 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/荒神谷遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度22分35.4秒 東経132度51分8.7秒","","","","","","","","","","","","","","","","","","",""
"加茂岩倉遺跡","[加茂岩倉遺跡（雲南市）] 加茂岩倉遺跡 （かもいわくらいせき）は、 島根県 雲南市 加茂町岩倉にある 弥生時代 の 遺跡 。1999年（平成11年）1月14日に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/加茂岩倉遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度21分36.5秒 東経132度53分0.6秒","","","","","","","","","","","","","","","","","","",""
"西谷墳墓群","[西谷墳墓群（出雲市）] 西谷墳墓群 （にしだにふんぼぐん）は、 島根県 出雲市 大津町字西谷にある 弥生時代 後期から 古墳時代 前期の墳墓群。国の 史跡 。","https://ja.wikipedia.org/wiki/西谷墳墓群","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯35度21分31.01秒東経132度46分48.69秒","島根県出雲市大津町字西谷","","","","","","","","","","","北緯35度21分31.01秒東経132度46分48.69秒﻿ / ﻿北緯35.3586139度 東経132.7801917度﻿ /35.3586139; 132.7801917","四隅突出墓等","一辺60m（9号墓）","弥生土器、鉄剣、ガラス玉等","2世紀末～3世紀","国指定","",""
"津島遺跡","[津島遺跡（岡山市）] 津島遺跡 （つしまいせき）は、 岡山県 岡山市 北区 いずみ町の 岡山県総合グラウンド およびその周辺にひろがる、 弥生時代 を中心とした 集落 遺跡 。","https://ja.wikipedia.org/wiki/津島遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度40分45秒 東経133度54分59秒","","","","","","","","","","","","","","","","","","",""
"百間川","[百間川遺跡（岡山市）] 百間川 （ひゃっけんがわ）は、 岡山県 岡山市 南部にある人工 河川 。 旭川放水路 とも呼ばれる。2019年９月４日の国際かんがい排水委員会の国際執行理事会において、令和元年度に かんがい施設遺産 に県内で初めて登録された。","https://ja.wikipedia.org/wiki/百間川#遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"楯築遺跡","[楯築遺跡（倉敷市）] 楯築遺跡 （たてつきいせき）ないし 楯築墳丘墓 （たてつきふんきゅうぼ）は、 岡山県 倉敷市 矢部 にある 墳丘墓 。形状は 双方中円形墳丘墓 。国の 史跡 に指定され、旋帯文石は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/楯築遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度39分47秒東経133度49分31.75秒","岡山県倉敷市矢部","","","","","","","","","","","北緯34度39分47秒東経133度49分31.75秒﻿ / ﻿北緯34.66306度 東経133.8254861度﻿ /34.66306; 133.8254861","双方中円形墳丘墓","両端72m墳丘直径50m","鉄剣・首飾・ガラス玉・小管玉","2世紀後半-3世紀前半","国の史跡「楯築遺跡」","",""
"上東遺跡","[上東遺跡（倉敷市）] 上東遺跡 （じょうとういせき）は、 岡山県 倉敷市 上東 にある、 弥生時代 後期から 古墳時代 前期を中心とする 集落 遺跡  。","https://ja.wikipedia.org/wiki/上東遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"門田貝塚","[門田貝塚（瀬戸内市）] 本貝塚は、 吉井川 東岸に位置し、吉井川の形成した 自然堤防 上にある。 1933年 （ 昭和 8年）地元の郷土史家・長瀬薫により確認された。1950年（昭和25年）以来、研究者による 発掘調査 が行われていた。 1962年 （昭和37年）より 邑久町 教育委員会による調査が行われ、 1966年 （昭和41年）には岡山県教育委員会による発掘調査が行われた。","https://ja.wikipedia.org/wiki/門田貝塚","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度40分0.4秒 東経134度5分40.7秒","","","","","","","","","","","","","","","","","","",""
"小丸遺跡 (存在しないページ)","[小丸遺跡（三原市）]","https://ja.wikipedia.org/w/index.php?title=小丸遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松ヶ迫矢谷遺跡 (存在しないページ)","[松ヶ迫矢谷遺跡（三次市）]","https://ja.wikipedia.org/w/index.php?title=松ヶ迫矢谷遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土井ヶ浜遺跡","[土井ヶ浜遺跡（下関市）] 土井ヶ浜遺跡 （どいがはまいせき）は、 山口県 下関市 豊北町 土井ヶ浜にある 弥生時代 前期から中期の墓地遺跡である。「戦士の墓」あるいは「英雄の墓」などと呼ばれる。","https://ja.wikipedia.org/wiki/土井ヶ浜遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯34度17分36.7秒 東経130度53分10.4秒","","","","","","","","","","","","","","","","","","",""
"矢野遺跡","[矢野遺跡] 矢野遺跡 （やのいせき）は、 徳島県 徳島市 国府町矢野 にある 遺跡 である。","https://ja.wikipedia.org/wiki/矢野遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"紫雲出山遺跡","[紫雲出山遺跡（しうでやま、三豊市）] 紫雲出山遺跡 （しうでやまいせき）は、 香川県 三豊市 詫間町 に所在する 弥生時代 中期後半の 高地性集落 遺跡である。国の 史跡 に指定されている   。","https://ja.wikipedia.org/wiki/紫雲出山遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平原遺跡","[平原遺跡（糸島市）] 平原遺跡 （ひらばるいせき）は、 福岡県 糸島市 にある 弥生時代 の 遺跡 。 曽根遺跡群 の一つとして、1982年（昭和57年）10月、国の 史跡 に指定。2000年（平成12年）10月追加指定。","https://ja.wikipedia.org/wiki/平原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度32分32.3秒 東経130度13分42.3秒","","","","","","","","","","","","","","","","","","",""
"三雲南小路遺跡","[三雲南小路遺跡（糸島市）] 三雲南小路遺跡 （みくもみなみしょうじいせき）は、 福岡県 糸島市 にある遺跡。「 三雲・井原遺跡 」の一部として国の 史跡 に指定されており  、市内の 細石神社 の裏手に所在する。 周溝をもつ墳丘墓で、甕棺墓2基をもつ 弥生時代 の王墓である。","https://ja.wikipedia.org/wiki/三雲南小路遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
