"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","管理運営","事業主体","専門分野","公式サイト","正式名称","アクセス","面積","愛称","種数","館長","前身","頭数","主な飼育動物","水槽総容量","最大水槽容量","来園者数"
"ヨコハマおもしろ水族館","[ヨコハマおもしろ水族館（神奈川県横浜市、チャイナスクエアビル内）] ヨコハマおもしろ水族館 （ヨコハマおもしろすいぞくかん）とは、 神奈川県 横浜市 中区 の 横浜中華街 にある 水族館 。さまざまな種類の 魚 を展示している  。","https://ja.wikipedia.org/wiki/ヨコハマおもしろ水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度26分34.6秒東経139度38分40.5秒","〒231-0023神奈川県横浜市中区山下町144番地","北緯35度26分34.6秒東経139度38分40.5秒﻿ / ﻿北緯35.442944度 東経139.644583度﻿ /35.442944; 139.644583座標:北緯35度26分34.6秒東経139度38分40.5秒﻿ / ﻿北緯35.442944度 東経139.644583度﻿ /35.442944; 139.644583","2004年","","","","公式サイト","","","","","約400","","","","","","",""
"横浜市立間門小学校","[横浜市立間門小学校附属海水水族館 まかどシーマリンパーク（神奈川県横浜市、横浜市立間門小学校内）] 横浜市立間門小学校 （よこはましりつまかどしょうがっこう）は、 神奈川県 横浜市 中区 本牧間門 にある 公立 小学校 。","https://ja.wikipedia.org/wiki/横浜市立間門小学校","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度25分5.5秒 東経139度39分19秒","〒231-0825","","","","","","","","","","","","","","","","","",""
"観音崎自然博物館 (存在しないページ)","[観音崎自然博物館（神奈川県横須賀市）]","https://ja.wikipedia.org/w/index.php?title=観音崎自然博物館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"京急油壺マリンパーク","[京急油壺マリンパーク（神奈川県三浦市）] 京急油壺マリンパーク （けいきゅうあぶらつぼマリンパーク）は、 神奈川県 三浦市 油壺 にある、 京浜急行電鉄 100%出資による 京急グループ の 水族館 である。建物・設備の老朽化が進んだことなどから、 2021年 （令和3年）9月30日に閉館を予定している。","https://ja.wikipedia.org/wiki/京急油壺マリンパーク","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度9分41.3秒東経139度36分45.2秒","〒238-0225神奈川県三浦市三崎町小網代1082番地","北緯35度9分41.3秒東経139度36分45.2秒﻿ / ﻿北緯35.161472度 東経139.612556度﻿ /35.161472; 139.612556座標:北緯35度9分41.3秒東経139度36分45.2秒﻿ / ﻿北緯35.161472度 東経139.612556度﻿ /35.161472; 139.612556","1968年4月27日","株式会社京急油壺マリンパーク","民間","","","京急油壺マリンパーク","","","","400（海の生き物）","","","","","","",""
"新江ノ島水族館","[新江ノ島水族館（神奈川県藤沢市、湘南海岸公園内）] 新江ノ島水族館 （しんえのしますいぞくかん）は、 神奈川県 藤沢市 片瀬海岸 の 湘南海岸公園 にある 水族館 。","https://ja.wikipedia.org/wiki/新江ノ島水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度18分34.8秒東経139度28分47.6秒","〒251-0035神奈川県藤沢市片瀬海岸二丁目19-1","北緯35度18分34.8秒東経139度28分47.6秒﻿ / ﻿北緯35.309667度 東経139.479889度﻿ /35.309667; 139.479889座標:北緯35度18分34.8秒東経139度28分47.6秒﻿ / ﻿北緯35.309667度 東経139.479889度﻿ /35.309667; 139.479889","2004年4月16日","江の島ピーエフアイ株式会社（特別目的会社）","神奈川県立湘南海岸公園海洋総合文化ゾーン施設整備等事業（BOO）","総合","http://www.enosui.com/","新江ノ島水族館","","","えのすい","","","江の島水族館","","","3,000t","1,000t(相模湾大水槽)",""
"カワスイ 川崎水族館","[カワスイ 川崎水族館（神奈川県川崎市、川崎ルフロン内）★] カワスイ 川崎水族館 （カワスイ かわさきすいぞくかん）は、 神奈川県 川崎市 川崎区 ・ 川崎ルフロン の9-10階にある 水族館 。 2020年 7月17日 開館。","https://ja.wikipedia.org/wiki/カワスイ_川崎水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度31分46.6秒東経139度41分46.7秒","〒210-0024神奈川県川崎市川崎区日進町1-11川崎ルフロン9-10階","北緯35度31分46.6秒東経139度41分46.7秒﻿ / ﻿北緯35.529611度 東経139.696306度﻿ /35.529611; 139.696306座標:北緯35度31分46.6秒東経139度41分46.7秒﻿ / ﻿北緯35.529611度 東経139.696306度﻿ /35.529611; 139.696306","2020年7月17日","株式会社アクア・ライブ・ネイチャー(法人番号：3010001206261)","株式会社アクア・ライブ・インベストメント(法人番号：6010001199437)","","https://kawa-sui.com/","","JR川崎駅東口より徒歩1分、京浜急行川崎駅より徒歩5分","6500㎡","","230種","鈴木正孝","","","","250t","",""
"相模川ふれあい科学館","[相模川ふれあい科学館 アクアリウムさがみはら（神奈川県相模原市）] 相模川ふれあい科学館 （さがみがわふれあいかがくかん）は、 神奈川県 相模原市 中央区 水郷田名 にある 相模川 の 魚 を飼育・展示する相模原市立の 科学館 である。 かながわの博物館50選 、 かながわの建築物100選 に選ばれている施設でもある。","https://ja.wikipedia.org/wiki/相模川ふれあい科学館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度32分50.7秒東経139度19分44秒","〒252-0246神奈川県相模原市中央区水郷田名1-5-1","北緯35度32分50.7秒東経139度19分44秒﻿ / ﻿北緯35.547417度 東経139.32889度﻿ /35.547417; 139.32889座標:北緯35度32分50.7秒東経139度19分44秒﻿ / ﻿北緯35.547417度 東経139.32889度﻿ /35.547417; 139.32889","1987年11月15日","株式会社江ノ島マリンコーポレーション","","淡水魚","相模川ふれあい科学館　アクアリウムさがみはら","相模原市立相模川ふれあい科学館","","","アクアリウムさがみはら","","","","","","","",""
"箱根園","[箱根園水族館（神奈川県足柄下郡箱根町、箱根園内）] 箱根園 （はこねえん）は、 神奈川県 足柄下郡 箱根町 元箱根 の 芦ノ湖 湖畔東側と 神奈川県道75号線 沿いにある、 プリンスホテル （ 2006年3月の再編 までは コクド ・ 西武鉄道 ）が経営する コテージ ・ 植物園 ・ 水族館 ・ ショッピングモール などの複合 リゾート 施設である。","https://ja.wikipedia.org/wiki/箱根園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度12分50秒 東経139度0分30秒","","","","","","","","","","","","","","","","","","",""
"新潟市水族館 マリンピア日本海","[新潟市水族館 マリンピア日本海（旧・新潟市立新潟水族館、新潟県新潟市）★] 新潟市水族館 （にいがたしすいぞくかん）は、 新潟県 新潟市 中央区 西船見町にある 水族館 。愛称は マリンピア日本海 （マリンピアにほんかい）。施設は新潟市が所有し、新潟市開発公社が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/新潟市水族館_マリンピア日本海","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度55分25秒東経139度1分40.7秒","〒951-8101新潟県新潟市中央区西船見町5932番地445","北緯37度55分25秒東経139度1分40.7秒﻿ / ﻿北緯37.92361度 東経139.027972度﻿ /37.92361; 139.027972座標:北緯37度55分25秒東経139度1分40.7秒﻿ / ﻿北緯37.92361度 東経139.027972度﻿ /37.92361; 139.027972","1990年7月27日（移転）","公益財団法人新潟市開発公社（指定管理者）","新潟市","総合","","新潟市水族館","","","マリンピア日本海","","","新潟市立新潟水族館","","","3,000t","800t(日本海大水槽)",""
"アクアデザインアマノ","[ネイチャーアクアリウムギャラリー（新潟県新潟市、アクアデザインアマノ本社敷地内）] アクアデザインアマノ は、 観賞魚 用器具を製造する企業およびそのブランド名称。創業者および初代社長は写真家の 天野尚 。その逝去後、夫人の天野しのぶが社長を引き継いだ。","https://ja.wikipedia.org/wiki/アクアデザインアマノ","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"イヨボヤ会館","[イヨボヤ会館（新潟県村上市）] イヨボヤ会館 （イヨボヤかいかん）は、 新潟県 村上市 に所在する 鮭 をテーマとした市営  博物館 である。","https://ja.wikipedia.org/wiki/イヨボヤ会館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","〒958-0876新潟県村上市塩町13-34","","1987年（昭和62年）4月","公益財団法人イヨボヤの里開発公社","村上市","サケ","","","","","","","","","","","","",""
"寺泊水族博物館","[寺泊水族博物館（新潟県長岡市）★] 寺泊水族博物館 （てらどまりすいぞくはくぶつかん）は、 新潟県 長岡市 寺泊花立に所在する 水族館 。","https://ja.wikipedia.org/wiki/寺泊水族博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度38分2秒東経138度45分37秒","〒940-2502新潟県長岡市寺泊花立9353-158","北緯37度38分2秒東経138度45分37秒﻿ / ﻿北緯37.63389度 東経138.76028度﻿ /37.63389; 138.76028座標:北緯37度38分2秒東経138度45分37秒﻿ / ﻿北緯37.63389度 東経138.76028度﻿ /37.63389; 138.76028","1983年7月","","","","寺泊水族博物館","長岡市寺泊水族博物館","","","","約400種","","","約10,000点","","","",""
"上越市立水族博物館","[上越市立水族博物館うみがたり（新潟県上越市）★] 上越市立水族博物館 （じょうえつしりつすいぞくはくぶつかん）は、 新潟県 上越市 五智 にある上越市営の 水族館 である。起源は 1934年 に遡るが、 2018年 6月に「 うみがたり 」という 愛称 でリニューアルオープンした。","https://ja.wikipedia.org/wiki/上越市立水族博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度10分24.6秒東経138度13分58.7秒","〒942-0081新潟県上越市五智2丁目15-15","北緯37度10分24.6秒東経138度13分58.7秒﻿ / ﻿北緯37.173500度 東経138.232972度﻿ /37.173500; 138.232972座標:北緯37度10分24.6秒東経138度13分58.7秒﻿ / ﻿北緯37.173500度 東経138.232972度﻿ /37.173500; 138.232972","2018年6月26日","株式会社横浜八景島","上越市","","http://www.umigatari.jp/joetsu/","上越市立水族博物館","#アクセスを参照。","8,439.61平方メートル","うみがたり","約300種","","直江津水族博物館、直江津立水族博物館、上越市立水族博物館","約45,000点","マゼランペンギンハンドウイルカシロイルカなど","3,117t","1,100t","50万人（2018年10月時点）"
"尖閣湾揚島遊園 (存在しないページ)","[あげしま水族館（新潟県佐渡市、尖閣湾揚島遊園内）]","https://ja.wikipedia.org/w/index.php?title=尖閣湾揚島遊園&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"破間川ダム","[信濃川水系フィッシュハウス（新潟県魚沼市）] 破間川ダム （あぶるまがわダム）は、 新潟県 魚沼市 、 信濃川 水系 破間川 （あぶるまがわ）に建設された ダム 。高さ93.5メートルの 重力式コンクリートダム で、 洪水調節 ・ 不特定利水 ・ 水力発電 を目的とする、 新潟県営 の 多目的ダム である。このうち水力発電に関しては 電源開発 が事業主体を務め、ダム直下に建設された 破間川発電所 にて最大5,100キロワットの電力を発生する。","https://ja.wikipedia.org/wiki/破間川ダム#周辺","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度20分36.00秒東経139度09分49.00秒","","北緯37度20分36.00秒東経139度09分49.00秒﻿ / ﻿北緯37.3433333度 東経139.1636111度﻿ /37.3433333; 139.1636111","","","新潟県","","","","","","","","","","","","","",""
"魚津水族館","[魚津水族館（富山県魚津市）] 「 北アルプス の 渓流 から 日本海 の深海まで」「日本海を科学する」「泳ぐ百科事典」をテーマに、地元の水生生物の飼育に重点を置いた特徴ある展示をしている。初代が 1913年 （ 大正 2年）に創立され、日本海側では初めて開館し  現存する日本の水族館としては最も歴史が長い  。外壁には数多くの 魚 やペンギンが描かれている（こちらは 1996年 の3代目水族館開園から15周年の節目に合わせた外壁塗り替えの際に描かれたものである）  。","https://ja.wikipedia.org/wiki/魚津水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度47分54.2秒東経137度23分17.34秒","〒937-0857富山県魚津市三ケ1390","北緯36度47分54.2秒東経137度23分17.34秒﻿ / ﻿北緯36.798389度 東経137.3881500度﻿ /36.798389; 137.3881500座標:北緯36度47分54.2秒東経137度23分17.34秒﻿ / ﻿北緯36.798389度 東経137.3881500度﻿ /36.798389; 137.3881500","1981年4月10日","魚津市","魚津市","総合","","魚津総合公園 魚津水族博物館","","","","","","富山産業博覧会魚津会場","","","450t","240t(富山湾大水槽)",""
"のとじま臨海公園水族館","[のとじま臨海公園水族館（石川県七尾市）★] のとじま臨海公園水族館 （のとじまりんかいこうえんすいぞくかん）は、 石川県 七尾市 の 能登島 北岸にある 水族館 である。 愛称 ならびに 通称 は のとじま水族館 で、公式の ウェブサイト や施設案内などではこの名称が使用される。","https://ja.wikipedia.org/wiki/のとじま臨海公園水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯37度08分57秒東経136度58分56秒","〒926-0216石川県七尾市能登島曲町15部40","北緯37度08分57秒東経136度58分56秒﻿ / ﻿北緯37.14917度 東経136.98222度﻿ /37.14917; 136.98222座標:北緯37度08分57秒東経136度58分56秒﻿ / ﻿北緯37.14917度 東経136.98222度﻿ /37.14917; 136.98222","1982年7月3日","石川県県民ふれあい公社（指定管理者）","石川県","総合","https://www.notoaqua.jp/","のとじま臨海公園水族館","本文参照","","のとじま水族館","","","","","","","",""
"越前松島水族館","[越前松島水族館（福井県坂井市）★] 越前松島水族館 （えちぜんまつしますいぞくかん、 ECHIZEN MATSUSHIMA AQUARIUM ）は、 福井県 坂井市 三国町 崎にある 水族館 。 1959年 開館。景勝地 東尋坊 にほど近く、施設全体が 越前加賀海岸国定公園 の内部にある  。","https://ja.wikipedia.org/wiki/越前松島水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度15分10秒東経136度8分50秒","〒913-0065福井県坂井市三国町崎第74号2番地3","北緯36度15分10秒東経136度8分50秒﻿ / ﻿北緯36.25278度 東経136.14722度﻿ /36.25278; 136.14722","1959年（昭和34年）5月16日","三国観光産業（京福グループ）","坂井市","総合","https://www.echizen-aquarium.com/","","","","","","","","","","","",""
"山梨県立富士湧水の里水族館","[山梨県立富士湧水の里水族館（山梨県南都留郡忍野村）★] 山梨県立富士湧水の里水族館 （やまなしけんりつふじゆうすいのさとすいぞくかん）は 山梨県 南都留郡 忍野村 にある淡水魚の 水族館 。森の中の水族館とも呼称される。","https://ja.wikipedia.org/wiki/山梨県立富士湧水の里水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度27分19.96秒 東経138度49分26.14秒","〒401-0511山梨県南都留郡忍野村忍草3098-1","","2001年4月25日","株式会社桔梗屋（指定管理者）","山梨県","淡水魚","森の中の水族館。http://www.morinonakano-suizokukan.com/","山梨県立富士湧水の里水族館","","延べ床面積1,446㎡","","","中丸　輝江","","5,147点","淡水魚(ニジマス、イトウ、ヤマメ、アマゴ、ニッコウイワナ、ヤマトイワナ等)、甲殻類、両生類(アカイシサンショウウオ、アズマヒキガエル等)、爬虫類(ニホンイシガメ等)、マミズクラゲ","約590ｔ","","2016年度年間入館者数14万4868人"
"国営アルプスあづみの公園","[国営アルプスあづみの公園 理科教育（長野県安曇野市）] 国営アルプスあづみの公園 （こくえいあるぷすあづみのこうえん）は、 長野県 安曇野市 、 大町市 、 北安曇郡 松川村 にある総面積353 ヘクタール の 国営公園 。","https://ja.wikipedia.org/wiki/国営アルプスあづみの公園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度19分15.1秒東経137度50分42.4秒","日本長野県安曇野市・長野県大町市・北安曇郡松川村","","","","","","国営アルプスあづみの公園","","","約353ha","","","","","","","","",""
"蓼科アミューズメント水族館","[蓼科アミューズメント水族館（長野県茅野市）] 蓼科アミューズメント水族館 （たてしなアミューズメントすいぞくかん）は、 長野県 茅野市 にある日本一標高の高い 水族館 。","https://ja.wikipedia.org/wiki/蓼科アミューズメント水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯36度03分59.66秒東経138度18分09.95秒","〒391-0301長野県茅野市北山4035-2409","北緯36度03分59.66秒東経138度18分09.95秒﻿ / ﻿北緯36.0665722度 東経138.3027639度﻿ /36.0665722; 138.3027639座標:北緯36度03分59.66秒東経138度18分09.95秒﻿ / ﻿北緯36.0665722度 東経138.3027639度﻿ /36.0665722; 138.3027639","1993年","株式会社蓼科水族館","株式会社蓼科水族館","淡水域生物","http://www.tateshina-aquarium.jp/","蓼科アミューズメント水族館","JR中央本線茅野駅からバスで60分中央道諏訪ICから車で25km","","","","","","","","","",""
"アクア・トトぎふ","[岐阜県世界淡水魚園水族館 アクア・トトぎふ（岐阜県各務原市、河川環境楽園・オアシスパーク内）] アクア・トト ぎふ （ 欧字 表記：Aqua Totto Gifu）は、 岐阜県 各務原市 川島笠田町にある 水族館 である。正式名称は 世界淡水魚園水族館 （せかいたんすいぎょえんすいぞくかん、 英称 ：World Fresh Water Aquarium）。","https://ja.wikipedia.org/wiki/アクア・トトぎふ","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度22分18.2秒東経136度48分37.7秒","〒501-6021日本岐阜県各務原市川島笠田町1453","北緯35度22分18.2秒東経136度48分37.7秒﻿ / ﻿北緯35.371722度 東経136.810472度﻿ /35.371722; 136.810472座標:北緯35度22分18.2秒東経136度48分37.7秒﻿ / ﻿北緯35.371722度 東経136.810472度﻿ /35.371722; 136.810472","2004年（平成16年）7月14日","株式会社江ノ島マリンコーポレーション","岐阜県","淡水魚","アクア・トトぎふ","世界淡水魚園水族館World Fresh Water Aquarium","","延べ床面積8,411.1m2","アクア・トト ぎふ","動物約220種、植物約40種","池谷 幸樹","","動物約25,000匹、植物約3,500株","甲殻類、淡水魚（ピラルクー等アロワナ目、コイ目、メコンオオナマズ等ナマズ目、サケ目など）、両生類（オオサンショウウオ等サンショウウオ類、カエル類）、爬虫類（アルダブラゾウガメなど）、哺乳類（カピバラ、コツメカワウソ、カリフォルニアアシカなど）","約470t","","2014年度年間入館者数50万44人"
"森の水族館 (存在しないページ)","[森の水族館（岐阜県高山市）]","https://ja.wikipedia.org/w/index.php?title=森の水族館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"淡島 (沼津市)","[あわしまマリンパーク（旧・淡島海洋交園、静岡県沼津市）] 淡島 （あわしま）は、 静岡県 沼津市 にある 島 。 駿河湾 の湾奥にある内浦湾と江浦湾の境となっている。淡島は 海底火山 の地下にあった 火道 が隆起し 侵食 されて現れたもの（火山 岩頸 ）で  、これは至近の 静浦山地 の山々と同じ成因である。「ぬまづの宝100選」の一つに選定されている  。","https://ja.wikipedia.org/wiki/淡島_(沼津市)#あわしまマリンパーク","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度1分58.6秒東経138度53分17.9秒","日本・静岡県沼津市","","","","","","","","","0.165km²","","","","","","","","",""
"伊豆・三津シーパラダイス","[伊豆・三津シーパラダイス（旧・中之島水族館→三津天然水族館、静岡県沼津市）★] 伊豆・三津シーパラダイス （いず・みとシーパラダイス）は、 静岡県 沼津市 にある 水族館 。 西武グループ の 伊豆箱根鉄道 が運営している。 1930年 に中之島水族館として開業した    。1941年に三津天然水族館に改称  。1977年に現在の伊豆・三津シーパラダイスとなった  。","https://ja.wikipedia.org/wiki/伊豆・三津シーパラダイス","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度1分10秒東経138度53分45.4秒","〒410-0295日本静岡県沼津市内浦長浜3-1伊豆・三津シーパラダイス伊豆・三津シーパラダイス (静岡県)","北緯35度1分10秒東経138度53分45.4秒﻿ / ﻿北緯35.01944度 東経138.895944度﻿ /35.01944; 138.895944座標:北緯35度1分10秒東経138度53分45.4秒﻿ / ﻿北緯35.01944度 東経138.895944度﻿ /35.01944; 138.895944","1930年（昭和5年）","伊豆箱根鉄道株式会社","民間","","www.izuhakone.co.jp/seapara","","","","みとシー/シーパラ/シーパラダイス/三津水族館など","","","中之島水族館、三津天然水族館","","","","",""
"沼津港深海水族館","[沼津港深海水族館（静岡県沼津市、沼津港内）] 沼津港深海水族館 （ぬまづこう しんかい すいぞくかん）は、 日本 の 東海地方 東部、 静岡県 沼津市 の 沼津港 近隣にある複合観光施設「港八十三番地」内に所在する 民営 の 水族館 である。 深海魚 を主とする 深海生物をテーマにした世界初の水族館 で  、世界で唯一 シーラカンス の 冷凍 標本 を展示している シーラカンス・ミュージアム でもある  。","https://ja.wikipedia.org/wiki/沼津港深海水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度5分2.3秒東経138度51分29.4秒","〒410-0845日本静岡県沼津市千本港町83沼津港深海水族館沼津港深海水族館 (日本)日本の地図を表示沼津港深海水族館沼津港深海水族館 (静岡県)静岡県の地図を表示","北緯35度5分2.3秒東経138度51分29.4秒﻿ / ﻿北緯35.083972度 東経138.858167度﻿ /35.083972; 138.858167座標:北緯35度5分2.3秒東経138度51分29.4秒﻿ / ﻿北緯35.083972度 東経138.858167度﻿ /35.083972; 138.858167","2011年12月10日","佐政水産","佐政水産","水族館","http://www.numazu-deepsea.com/","沼津港深海水族館シーラカンス・ミュージアム","JR沼津駅よりバス沼津港下車","約1,000平方m（展示スペース）約150坪（敷地面積）","","約300種（オープン時）","佐藤伸一郎","","約3,000匹（オープン時）","","","","2012年9月にのべ20万人"
"下田海中水族館","[下田海中水族館（静岡県下田市）] 下田海中水族館 （しもだかいちゅうすいぞくかん）は、 静岡県 下田市 にある 水族館 で、 藤田観光 の100%子会社である 下田アクアサービス が経営している。","https://ja.wikipedia.org/wiki/下田海中水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度39分57.8秒東経138度56分45.5秒","〒415-8502静岡県下田市3-22-31下田海中水族館下田海中水族館 (日本)日本の地図を表示下田海中水族館下田海中水族館 (静岡県)静岡県の地図を表示","北緯34度39分57.8秒東経138度56分45.5秒﻿ / ﻿北緯34.666056度 東経138.945972度﻿ /34.666056; 138.945972座標:北緯34度39分57.8秒東経138度56分45.5秒﻿ / ﻿北緯34.666056度 東経138.945972度﻿ /34.666056; 138.945972","1967年（昭和42年）","下田アクアサービス（藤田観光子会社）","","","公式ウェブサイト","","","","","","","","","","","600t",""
"IZoo","[iZoo（旧伊豆アンディランド、静岡県賀茂郡河津町）（爬虫類）] iZoo （イズー）は、 静岡県 賀茂郡 河津町 南部の浜地区、菖蒲沢（しょうぶざわ）エリアにある 動物園 （ 爬虫類 館）。 2012年 （平成24年） 12月15日 に開館  。前身は 伊豆アンディランド （ 後節 参照）。","https://ja.wikipedia.org/wiki/IZoo","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度43分51.1秒東経138度59分41.0秒","〒413-0513静岡県賀茂郡河津町浜406-2","北緯34度43分51.1秒東経138度59分41.0秒﻿ / ﻿北緯34.730861度 東経138.994722度﻿ /34.730861; 138.994722座標:北緯34度43分51.1秒東経138度59分41.0秒﻿ / ﻿北緯34.730861度 東経138.994722度﻿ /34.730861; 138.994722","","","","動物園（爬虫類館）","izoo.co.jp","","伊豆急行線河津駅より車3-5分","約2万m2","イズー","300種（オープン時）","","伊豆アンディランド(1986 - 2012)","1500匹（オープン時）","世界の爬虫類","","",""
"東海大学海洋科学博物館","[東海大学海洋科学博物館（静岡県静岡市）★] 東海大学海洋科学博物館 （とうかいだいがくかいようかがくはくぶつかん、英称：Marine Science Museum, Social Education Center TOKAI University）は、東海大学社会教育センターが社会教育活動の一環として活動する施設の一つである。1998年、 日本動物園水族館協会 第12回『 古賀賞 』を受賞。","https://ja.wikipedia.org/wiki/東海大学海洋科学博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度1分8.8秒東経138度31分5.6秒","〒424-8620静岡県静岡市清水区三保2389","北緯35度1分8.8秒東経138度31分5.6秒﻿ / ﻿北緯35.019111度 東経138.518222度﻿ /35.019111; 138.518222座標:北緯35度1分8.8秒東経138度31分5.6秒﻿ / ﻿北緯35.019111度 東経138.518222度﻿ /35.019111; 138.518222","1970年（昭和45年）5月","","東海大学社会教育センター","","","","","","","","","","","","","",""
"浜名湖体験学習施設 ウォット (存在しないページ)","[浜名湖体験学習施設 ウォット（静岡県浜松市、静岡県水産技術研究所浜名湖分場）]","https://ja.wikipedia.org/w/index.php?title=浜名湖体験学習施設_ウォット&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"名古屋港水族館","[名古屋港水族館（愛知県名古屋市）★] 名古屋港水族館 （なごやこうすいぞくかん）は、 愛知県 名古屋市 港区 の 名古屋港ガーデン埠頭 にある公立の 水族館 。 一部事務組合 の 名古屋港管理組合 が設置し、指定管理者として 公益財団法人 名古屋みなと振興財団 が管理・運営を行っている  。また、名古屋みなと振興財団の事務局も同水族館内に設置されている。2017年現在、 日本最大の水量と延床面積を誇る水族館 でもある。","https://ja.wikipedia.org/wiki/名古屋港水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度5分26.48秒東経136度52分41.67秒","〒455-0033愛知県名古屋市港区港町1-3","北緯35度5分26.48秒東経136度52分41.67秒﻿ / ﻿北緯35.0906889度 東経136.8782417度﻿ /35.0906889; 136.8782417座標:北緯35度5分26.48秒東経136度52分41.67秒﻿ / ﻿北緯35.0906889度 東経136.8782417度﻿ /35.0906889; 136.8782417","1992年10月","公益財団法人名古屋みなと振興財団（指定管理者）","名古屋港管理組合","総合","名古屋港水族館","名古屋港水族館","名古屋市営地下鉄名港線名古屋港駅から徒歩約10分","41,529 m2","","約500種","栗田正徳","","","","約24,600 t","",""
"東山動植物園","[世界のメダカ館（愛知県名古屋市、東山動物園内）（動物園）] 東山動植物園 （ひがしやまどうしょくぶつえん）は、 愛知県 名古屋市 千種区 東山元町 の 東山公園 内にある市営動植物園。 1937年 （ 昭和 12年）に開園した。","https://ja.wikipedia.org/wiki/東山動植物園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度9分16.28秒東経136度58分52.97秒","〒464-0804愛知県名古屋市千種区東山元町3-70東山動植物園 (愛知県)愛知県の地図を表示東山動植物園 (名古屋市)名古屋市の地図を表示","北緯35度9分16.28秒東経136度58分52.97秒﻿ / ﻿北緯35.1545222度 東経136.9813806度﻿ /35.1545222; 136.9813806座標:北緯35度9分16.28秒東経136度58分52.97秒﻿ / ﻿北緯35.1545222度 東経136.9813806度﻿ /35.1545222; 136.9813806","","名古屋市緑政土木局東山総合公園","","総合","公式ウェブサイト（日本語）","名古屋市東山公園 動植物園","名古屋市営地下鉄東山線東山公園駅・星ヶ丘駅","","","","","名古屋市立鶴舞公園付属動物園","","","","",""
