"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","時代","面積","文化財指定","外部リンク","国","都道府県","標高","分類","運営者","公式サイト","一般公開","地方","市町村コード","法人番号","総人口","人口密度","隣接自治体"
"南中野遺跡 (存在しないページ)","[南中野遺跡（さいたま市見沼区）]","https://ja.wikipedia.org/w/index.php?title=南中野遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"真福寺貝塚","[真福寺貝塚（さいたま市岩槻区）] 真福寺貝塚 （しんぷくじかいづか）は、 埼玉県 さいたま市 岩槻区 城南 3丁目に所在する 縄文時代 後期から晩期の 集落 跡で、 貝塚 と 泥炭 層からなる。泥炭層は 真福寺泥炭層遺跡 とも呼ばれている。","https://ja.wikipedia.org/wiki/真福寺貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度56分26.5秒 東経139度42分26.9秒","","","","","","","","","","","","","","","","","","",""
"安行猿貝貝塚 (存在しないページ)","[安行猿貝貝塚（川口市）]","https://ja.wikipedia.org/w/index.php?title=安行猿貝貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新郷貝塚","[新郷貝塚（川口市）] 新郷貝塚 （しんごうかいづか）は、 埼玉県 川口市 東貝塚にある 縄文時代 後期の 貝塚 で、埼玉県指定 史跡 （大正12年3月31日）である。","https://ja.wikipedia.org/wiki/新郷貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度50分06.8秒 東経139度45分47.8秒","","","","","","","","","","","","","","","","","","",""
"関山貝塚","[関山貝塚（蓮田市）] 関山貝塚 （せきやまかいづか）は、 埼玉県 蓮田市 関山 一丁目周辺に所在する 縄文時代 前期、約6500年前の 貝塚 で、 関東地方 の縄文前期の土器 型式 関山式 の 標式遺跡 である。","https://ja.wikipedia.org/wiki/関山貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度59分23.9秒 東経139度38分47.3秒","","","","","","","","","","","","","","","","","","",""
"黒浜貝塚","[黒浜貝塚（蓮田市）] 黒浜貝塚 （くろはまかいづか）は、 埼玉県 蓮田市 黒浜にある 貝塚 群および 環状集落 遺跡 。 元荒川 の左岸、同川と 綾瀬川 に囲まれた標高16メートル、現在の水田面との比高差7メートルないし8メートルの 北足立台地 （大宮台地）の縁辺に立地する 縄文時代 前期から中期に相当する時期の13か所の群小貝塚の総称である。","https://ja.wikipedia.org/wiki/黒浜貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度59分32.3秒 東経139度39分44.5秒","","","","","","","","","","","","","","","","","","",""
"市場坂遺跡 (存在しないページ)","[市場坂遺跡（新座市）]","https://ja.wikipedia.org/w/index.php?title=市場坂遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水子貝塚","[水子貝塚（富士見市）] 水子貝塚 （みずこかいづか）は、 埼玉県 富士見市 にある 貝塚 および 環状集落 の 遺跡 。国の 史跡 に指定されており、 水子貝塚公園 として整備されている。","https://ja.wikipedia.org/wiki/水子貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度50分43.8秒 東経139度33分40.3秒","","","","","","","","","","","","","","","","","","",""
"上福岡貝塚 (存在しないページ)","[上福岡貝塚（ふじみ野市）]","https://ja.wikipedia.org/w/index.php?title=上福岡貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花積貝塚 (存在しないページ)","[花積貝塚（春日部市）]","https://ja.wikipedia.org/w/index.php?title=花積貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神明貝塚","[神明貝塚（春日部市）] 春日部市 最北部に位置する。 埋蔵文化財包蔵地 としては 北葛飾郡 杉戸町 まで伸びる。貝塚部分は東西約180m、南北約120mに広がる。貝塚はヤマトシジミを主体とする。堀之内式〜加曾利B式の土器が主体的に出土する。","https://ja.wikipedia.org/wiki/神明貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯36度2分16.1秒 東経139度48分22.5秒","","","","","","","","","","","","","","","","","","",""
"打越遺跡 (存在しないページ)","[打越遺跡（富士見市）]","https://ja.wikipedia.org/w/index.php?title=打越遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吹上貝塚 (存在しないページ)","[吹上貝塚（和光市）]","https://ja.wikipedia.org/w/index.php?title=吹上貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮林遺跡 (存在しないページ)","[宮林遺跡（深谷市）]","https://ja.wikipedia.org/w/index.php?title=宮林遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小岩井渡場遺跡 (存在しないページ)","[小岩井渡場遺跡（飯能市）]","https://ja.wikipedia.org/w/index.php?title=小岩井渡場遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雅楽谷遺跡 (存在しないページ)","[雅楽谷遺跡（蓮田市）]","https://ja.wikipedia.org/w/index.php?title=雅楽谷遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平松台遺跡 (存在しないページ)","[平松台遺跡（小川町）]","https://ja.wikipedia.org/w/index.php?title=平松台遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"将監塚古井戸遺跡 (存在しないページ)","[将監塚古井戸遺跡（本庄市）]","https://ja.wikipedia.org/w/index.php?title=将監塚古井戸遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"橋立岩陰遺跡 (存在しないページ)","[橋立岩陰遺跡（秩父市）]","https://ja.wikipedia.org/w/index.php?title=橋立岩陰遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高麗村石器時代住居跡","[高麗村石器時代住居跡（日高市）] 高麗村石器時代住居跡 （こまむらせっきじだいじゅうきょあと）は、 埼玉県 日高市 にある 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高麗村石器時代住居跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度52分58.9秒 東経139度18分14.6秒","","","","","","","","","","","","","","","","","","",""
"地蔵院遺跡 (存在しないページ)","[地蔵院遺跡（宮代町）]","https://ja.wikipedia.org/w/index.php?title=地蔵院遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"取掛西貝塚 (存在しないページ)","[取掛西貝塚（船橋市）]","https://ja.wikipedia.org/w/index.php?title=取掛西貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿島前遺跡 (存在しないページ)","[鹿島前遺跡（我孫子市）]","https://ja.wikipedia.org/w/index.php?title=鹿島前遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加曾利貝塚","[加曾利貝塚（千葉市）] 加曽利貝塚 （かそりかいづか）は、 千葉県 千葉市 若葉区 桜木8丁目にある 縄文時代 の 貝塚 および 環状集落 の 遺跡 である。日本最大級の貝塚であり、学史上でも著名な 標式遺跡 としても知られる。 1971年 （ 昭和 46年）に北貝塚が、 1977年 （昭和52年）に南貝塚が国の 史跡 に指定され、 2017年 （ 平成 29年）に国の 特別史跡 に指定された。北貝塚のE地点の 土器 は、縄文中期後半の 加曽利E式 、南貝塚のB地点の土器は、縄文後期後半の 加曽利B式 として 編年 の指標となる土器と位置づけられている。","https://ja.wikipedia.org/wiki/加曾利貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度37分24秒東経140度9分53秒","千葉県千葉市若葉区桜木8丁目","環状集落・貝塚","","","","","","","30.2 m","","","","","","","","","",""
"園生貝塚","[園生貝塚（千葉市）] 園生貝塚 （そんのうかいづか）は、 千葉県 千葉市 稲毛区 の 園生町 内にある 縄文時代 の 貝塚 遺跡 。","https://ja.wikipedia.org/wiki/園生貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度38分23.3秒 東経140度06分42.5秒","","","","","","","","","","","","","","","","","","",""
"阿玉台貝塚","[阿玉台貝塚（香取市）] 阿玉台貝塚 （あたまだいかいづか、おたまだいかいづか）は、 千葉県 香取市 阿玉台にある 縄文時代 の貝塚  。 1968年 5月2日、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/阿玉台貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度49分02秒 東経140度37分40秒","","","","","","","","","","","","","","","","","","",""
"堀之内貝塚","[堀之内貝塚（市川市）] 堀之内貝塚 （ほりのうちかいづか）は、 千葉県 市川市 堀之内 にある 縄文時代 後期から晩期の 貝塚 および 環状集落 の 遺跡 。国の 史跡 に指定されている  。縄文時代後期前葉の標式土器型式である「堀之内式」の 標式遺跡 として知られている  。","https://ja.wikipedia.org/wiki/堀之内貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度45分33.6秒 東経139度54分37.9秒","","","","","","","","","","","","","","","","","","",""
"曾谷貝塚","[曾谷貝塚(市川市)] 曾谷貝塚 （そやかいづか）は、 千葉県 市川市 曽谷 二丁目にある 縄文時代 中期末から後期末にかけての 貝塚 および 環状集落 の 遺跡 。縄文時代後期末の土器型式である 曾谷式 の 標式遺跡 で、国の 史跡 に指定されている   。貝塚形成以前の縄文前期にあたる 土層 からも 遺構 が検出されており、集落としてはその時期からの歴史を有する。","https://ja.wikipedia.org/wiki/曾谷貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度44分49.45秒 東経139度56分6.91秒","","","","","","","","","","","","","","","","","","",""
"姥山貝塚","[姥山貝塚（市川市）] 姥山貝塚 （うばやまかいづか）は、 千葉県 市川市 柏井町 一丁目にある 縄文時代 中期から後期にかけての 貝塚 を伴う 環状集落 の 遺跡 。 大柏川 左岸の標高約24メートルの台地上に広がった東西130メートル・南北120メートルの南に開口した 馬蹄形 の貝塚である。現在は、 姥山貝塚公園 として整備され、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/姥山貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度44分14.7秒 東経139度57分54.1秒","","","","","","","","","","","","","","","","","","",""
"加茂遺跡 (南房総市)","[加茂遺跡（南房総市）] 丸山川 下流の渓谷にそびえる標高20mの 丘陵 の裾にある 扇状地 に形成された 沖積低地 に存在する。ただし、居住地域は丘陵部にあったと推定されている。","https://ja.wikipedia.org/wiki/加茂遺跡_(南房総市)","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度0分57秒 東経139度57分7.24秒","","","","","","","","","","","","","","","","","","",""
"山武姥山貝塚","[山武姥山貝塚（横芝光町）] 山武姥山貝塚 （さんぶうばやまかいづか）は、 千葉県 山武郡 横芝光町 姥山にある 縄文時代 中期から晩期にかけての 貝塚 で、縄文晩期の姥山式（姥山 α' β' γ' δ' 式） 土器 の 標式遺跡 である。 市川市 の 姥山貝塚 と区別するため、「山武姥山貝塚」と呼ばれる。","https://ja.wikipedia.org/wiki/山武姥山貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度40分08.4秒 東経140度26分39.9秒","","","","","","","","","","","","","","","","","","",""
"大森貝塚","[大森貝塚（大田区・品川区）] 大森貝塚 （おおもりかいづか）は、 東京都 品川区 ・ 大田区 にある 縄文時代 後期-末期の 貝塚 。「モース貝塚」とも。","https://ja.wikipedia.org/wiki/大森貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度35分26.8秒 東経139度43分45.0秒","","","","","","","","","","","","","","","","","","",""
"代々木八幡遺跡","[代々木八幡遺跡（渋谷区）] 代々木八幡宮 （よよぎはちまんぐう）は、 東京都 渋谷区 代々木 にある 神社 である。旧 社格 は 村社 。 八幡神 として 応神天皇 を主座に祀り、天祖社・ 天照大神 、白山社・白山大神を配祀する。","https://ja.wikipedia.org/wiki/代々木八幡遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","東京都渋谷区代々木5丁目1-1","","","","","","","","","","","","","","","","","",""
"井草遺跡","[井草遺跡（杉並区）] 井草遺跡 (いぐさいせき) は、 東京都 杉並区 上井草 の、 井草川 （ 暗渠化 ）流域の台地上にある、 旧石器時代 から 江戸時代 までの 複合遺跡   。","https://ja.wikipedia.org/wiki/井草遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度43分05.7秒 東経139度35分52.4秒","","","","","","","","","","","","","","","","","","",""
"塚山遺跡","[塚山遺跡（杉並区）] 塚山遺跡 （つかやまいせき）は、 東京都 杉並区 下高井戸 、現在の 塚山公園 およびその周辺にある 縄文時代 中期の 遺跡 。 下高井戸塚山遺跡 （しもたかいどつかやまいせき）とも。 1932年 （ 昭和 7年）から 1938年 （昭和13年）にわたって 発掘調査 が行われており、 竪穴住居 跡その他の 遺物 が検出された。塚山公園に遺跡のミニチュアおよび竪穴住居（復元）が展示されている。","https://ja.wikipedia.org/wiki/塚山遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度40分30.2秒 東経139度37分29.8秒","","","","","","","","","","","","","","","","","","",""
"伊皿子貝塚","[伊皿子貝塚（港区）] 貝層の下からは貝塚より古い時代の 土器 、貝層の上からも縄文時代晩期の土器、さらに 弥生時代 以降の 遺構 も見つかり、この地には貝塚を形成した時期だけでなく長い期間、人の営みがあったことがわかる。貝塚の上下から違う時代の 遺物 も発見されていることからそれらも合わせて伊皿子貝塚遺跡ともいう。貝塚遺跡そのものは 日本電信電話公社 （現・NTT）のビル建設に伴い完全に破壊されたが、ビル建設前の1978年から1979年にかけて1年半に及ぶ本格的な 発掘調査 が行われ、剥離保存された貝層断面が近くの三田台公園に伊皿子貝塚遺跡として復元・展示されているほか港区立港郷土資料館には伊皿子貝塚の貝層断面や出土品が展示されている。","https://ja.wikipedia.org/wiki/伊皿子貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度38分30秒 東経139度44分24秒","","","","","","","","","","","","","","","","","","",""
"亀塚公園","[亀塚公園（港区）] 亀塚公園 （かめづかこうえん）は、 東京都 港区 三田四丁目16番20号にある 児童公園 。隣に 済海寺 が、また敷地内に亀塚公園前交番（ 三田警察署 管内）がある。　","https://ja.wikipedia.org/wiki/亀塚公園","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本村町貝塚 (存在しないページ)","[本村町貝塚（港区）]","https://ja.wikipedia.org/w/index.php?title=本村町貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三田台公園","[三田台公園（港区）] 三田台公園 （みただいこうえん）とは 東京都 港区 三田 4-17-28に位置する都市公園（近隣公園）  である。近隣には 港区立御田小学校 がある。","https://ja.wikipedia.org/wiki/三田台公園","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","日本東京都港区三田3丁目、4丁目","","","5427.45 m2","","","","","","都市公園（近隣公園）","港区","三田台公園（港区HP）","","","","","","",""
"お茶の水貝塚","[お茶の水貝塚（文京区）] お茶の水貝塚 （おちゃのみずかいづか）は、 東京都 文京区 湯島 、現在の 東京医科歯科大学 キャンパスおよびその周辺にある 縄文 前期から晩期までの 縄文土器 がみつかる 貝塚 。","https://ja.wikipedia.org/wiki/お茶の水貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度42分05.3秒 東経139度45分50.0秒","","","","","","","","","","","","","","","","","","",""
"伊興遺跡","[伊興遺跡（足立区）] 伊興遺跡 （いこういせき）は、 東京都 足立区 伊興 周辺に広がる 複合遺跡 。 古墳時代 の 集落 跡を中心とした 遺跡 で、一部が伊興遺跡公園として整備されている。","https://ja.wikipedia.org/wiki/伊興遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度48分16.0秒 東経139度47分13.0秒","","","","","","","","","","","","","","","","","","",""
"久ヶ原遺跡","[久ヶ原遺跡（大田区）] 久が原 （くがはら）は、 東京都 大田区 の 町名 。現行行政地名は久が原一丁目から久が原六丁目。 郵便番号 は146-0085  。","https://ja.wikipedia.org/wiki/久ヶ原遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度34分48.19秒 東経139度41分22.52秒","","","","","","","日本","東京都","","","","","","","","","","",""
"桜木遺跡 (世田谷区)","[桜木遺跡（世田谷区）] 桜木遺跡 （さくらぎいせき）は、 東京都 世田谷区 桜 一丁目に所在する 旧石器時代 から近現代に至る 複合遺跡 である   。世田谷区のほぼ中央部にあたる台地上に位置し、その範囲は東西に約400 メートル 、南北に約220メートル、面積は約80,000 平方メートル と推定されている    。2005年（ 平成 17年）に初めて 発掘調査 （第0次調査）が行われ、同年の第1次調査で350軒以上にのぼる 縄文時代 の住居跡が発見された   。世田谷区内の大規模縄文遺跡の1つで、東京都下でも最大級の 環状集落 と評価される    。","https://ja.wikipedia.org/wiki/桜木遺跡_(世田谷区)","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度38分40.3秒 東経139度38分33.2秒","","","","","","","","","","","","","","","","","","",""
"下野谷遺跡","[下野谷遺跡（西東京市）] 下野谷遺跡公園 （したのやいせきこうえん）とは 東京都 西東京市 にある 公園 である。本項では下野谷遺跡についても記述する。","https://ja.wikipedia.org/wiki/下野谷遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度43分30秒東経139度33分39秒","日本東京都西東京市","","","3,173m2","","","","","","","西東京市","下野谷遺跡公園","","","","","","",""
"下宅部遺跡 (存在しないページ)","[下宅部遺跡（東村山市）]","https://ja.wikipedia.org/w/index.php?title=下宅部遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"椚田遺跡","[椚田遺跡(八王子市)] 椚田遺跡 （くぬぎたいせき）は、 東京都 八王子市 椚田町 にある 縄文時代 の 遺跡  。1978年5月1日、国の史跡に指定された。","https://ja.wikipedia.org/wiki/椚田遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度38分11秒 東経139度18分31秒","","","","","","","","","","","","","","","","","","",""
"中田遺跡 (存在しないページ)","[中田遺跡（八王子市）]","https://ja.wikipedia.org/w/index.php?title=中田遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本町田遺跡 (存在しないページ)","[本町田遺跡（町田市） - 縄文から弥生時代の複合遺跡]","https://ja.wikipedia.org/w/index.php?title=本町田遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"なすな原遺跡 (存在しないページ)","[なすな原遺跡(町田市)]","https://ja.wikipedia.org/w/index.php?title=なすな原遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東京都埋蔵文化財センター","[多摩ニュータウンNo.57遺跡（多摩市） -多摩ニュータウン開発中に発掘された遺跡] 東京都埋蔵文化財センター （とうきょうとまいぞうぶんかざいせんたー）は、 東京都 多摩市 にあり、都内の 埋蔵文化財 の調査、研究、収蔵を行うために設立され、その展示も行う施設である。竪穴住居を復原し展示をしている。いわゆる 埋蔵文化財センター の１つ。","https://ja.wikipedia.org/wiki/東京都埋蔵文化財センター","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度37分33.8秒東経139度25分39.8秒","〒206 - 0033東京都多摩市落合1丁目14番2","","","","","東京都埋蔵文化財センター","","","","","","","","","","","","",""
"諸磯貝塚","[諸磯貝塚（三浦市）] 諸磯貝塚 （もろいそかいづか）、または 諸磯遺跡 （もろいそいせき）は、 神奈川県 三浦市 三崎町 諸磯字新堀にある 縄文時代 の遺跡。縄文時代前期の 土器 型式 諸磯a,b,c式 の 標式遺跡 である。三崎海食台地から浜諸磯へ至る道路の両脇、標高約30メートルの台地上から北斜面の一部にかけてが 遺跡の範囲 になっている。 1967年 （昭和42年）3月28日付、三浦市指定 史跡 （指定名称は「諸磯遺跡」）  。","https://ja.wikipedia.org/wiki/諸磯貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度09分01.0秒 東経139度37分13.5秒","","","","","","","","","","","","","","","","","","",""
"勝坂遺跡","[勝坂遺跡（相模原市）] 勝坂遺跡 （かつさかいせき/かっさかいせき  ）は、 神奈川県 相模原市 南区 磯部で発見された 縄文時代 中期前半頃（約5000年前）の大集落跡で関東地方の 標式遺跡 である。 勝坂式土器 の名前の由来となった遺跡で、国の 史跡 に指定されている。また、都市公園（歴史公園）  として、整備されている。","https://ja.wikipedia.org/wiki/勝坂遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度30分30秒 東経139度23分18秒","日本神奈川県相模原市南区磯部","","","1.99 ha","","","","","","都市公園（歴史公園）","相模原市","相模原市HP","","","","","","",""
"川尻石器時代遺跡","[川尻石器時代遺跡（相模原市）] 川尻石器時代遺跡 （ かわじりせっきじだいいせき  ）は、 神奈川県 相模原市 緑区 谷ヶ原にある 縄文時代 中期～後期（約5500～3500年前）の集落跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/川尻石器時代遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度35分29.9秒 東経139度18分0.3秒","","","","","","","","","","","","","","","","","","",""
"寸沢嵐石器時代遺跡","[寸沢嵐石器時代遺跡（相模原市）] 寸沢嵐石器時代遺跡 （すわらしせっきじだいいせき  ）は、 神奈川県 相模原市 緑区 寸沢嵐 にある 縄文時代 中期末（約4500～4000年前）の住居跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/寸沢嵐石器時代遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度35分58.6秒 東経139度13分27.8秒","","","","","","","","","","","","","","","","","","",""
"鵜ヶ島台遺跡 (存在しないページ)","[鵜ヶ島台遺跡（三浦市）]","https://ja.wikipedia.org/w/index.php?title=鵜ヶ島台遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五領ヶ台貝塚","[五領ヶ台貝塚（平塚市）] 五領ヶ台貝塚 （ごりょうがだいかいづか）は、 神奈川県 平塚市 広川にある 貝塚 の 遺跡 。 1972年 （昭和47年）7月29日に、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/五領ヶ台貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度21分15.5秒 東経139度18分02.5秒","","","","","","","","","","","","","","","","","","",""
"夏島貝塚","[夏島貝塚（横須賀市）] 夏島貝塚 （なつしまかいづか）は、 神奈川県 横須賀市 夏島町 に所在する 縄文時代 早期・初期に属する最古級の 貝塚 である。第一貝塚と第二貝塚に分かれ、 1972年 （ 昭和 47年） 1月27日 、島全体が国の 史跡 に指定された。また、出土品についても 1998年 （ 平成 10年）に国の 重要文化財 に指定された。","https://ja.wikipedia.org/wiki/夏島貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度19分22秒 東経139度38分58.4秒","","","","","","","","","","","","","","","","","","",""
"茅山貝塚","[茅山貝塚（横須賀市）] 茅山貝塚 （かやまかいづか）は、 神奈川県 横須賀市 にある 縄文時代 早期の 貝塚 。 1954年 （昭和29年）12月3日、神奈川県指定 史跡 に指定された  。広さは、東西20メートル・南北10メートル前後。","https://ja.wikipedia.org/wiki/茅山貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度14分02.2秒 東経139度41分35.9秒","","","","","","","","","","","","","","","","","","",""
