"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"菅島","[菅島- 4.41km2[11] 菅島 （すがしま）は、 三重県 鳥羽市 沖 、 伊勢湾 口に位置する東西に長い 島 である。一島の住所表記は「鳥羽市菅島町」であり、 郵便番号 は517-0004。","https://ja.wikipedia.org/wiki/菅島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度29分56.4秒東経136度54分1.8秒","日本（三重県鳥羽市菅島町）","4.52km²","236m","伊勢湾","13.0km","志摩諸島","大山","","","","","","","","","","","",""
"神島 (三重県)","[神島 (三重県)] 神島 （かみしま）は 伊勢湾口 に位置する、 周囲 3.9km、 面積 0.76km 2 の 島 で、 三重県 鳥羽市 に属する。 三島由紀夫 の 小説 『 潮騒 』の舞台になったことで有名。 人口 は300人あまりで過疎化が進んでいる。","https://ja.wikipedia.org/wiki/神島_(三重県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度32分54秒東経136度59分5秒","日本（三重県）","0.76km²","171m","伊勢湾（伊良湖水道）","約3.9km","","","","","","","","","","","","","",""
"坂手島","[坂手島] 坂手島 （さかてじま）は、 三重県 鳥羽市 の 沖 600mの 伊勢湾 口に位置する 島 である  。地元では坂手を「さかで」とも呼ぶ  。一島の住所表記は「鳥羽市坂手町」である。","https://ja.wikipedia.org/wiki/坂手島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度29分5.3秒東経136度51分34.1秒","日本三重県鳥羽市坂手町","0.51km²","","伊勢湾（鳥羽湾）","3.8km","志摩諸島","浅間山","","","","","","","","","","","",""
"渡鹿野島","[渡鹿野島] 渡鹿野島 （わたかのじま）は、 三重県 志摩市 にある 島 で、 伊勢志摩国立公園 内に位置する。","https://ja.wikipedia.org/wiki/渡鹿野島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度21分46秒東経136度52分27秒","日本（三重県志摩市）","0.69km²","29.1m","","6.0km","志摩諸島","","","","","","","","","","","","",""
"賢島","[賢島] 賢島 （かしこじま）は、 三重県 志摩市 の 英虞湾 内にある有人島。 奥志摩 観光 の拠点である。 2016年 （平成28年）1月末現在の人口は98人  。","https://ja.wikipedia.org/wiki/賢島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度18分30秒東経136度49分7秒","日本（三重県志摩市阿児町神明）","0.6814km²","","英虞湾","7.3km","志摩諸島","","","","","","","","","","","","",""
"間崎島","[間崎島] 間崎島 （まさきじま）は 三重県 志摩市 志摩町和具 にある、 英虞湾 に浮かぶ 島 。島名は、 志摩方言 で暗礁と暗礁の間にある 砂浜 を「マ」ということから、 地形 にちなんだ名称であると考えられる  。島は東西約2 km 、南北約0.5kmと東西に長く   、最高 標高 は18.5m  、 リアス式海岸 特有の複雑な 海岸線 をなす。湾内では 賢島 に次いで 面積 が大きい。和具から4.1km、賢島から3.0kmの位置にある  。","https://ja.wikipedia.org/wiki/間崎島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度17分25秒東経136度48分57秒","日本（三重県志摩市）","0.36km²","18.5m","英虞湾","7.4km","志摩諸島","","","","","","","","","","","","",""
"横山島","[横山島] 横山島 （よこやまじま）は、 三重県 志摩市 阿児町神明 にある 島 。","https://ja.wikipedia.org/wiki/横山島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度18分3.9秒東経136度49分12.83秒","日本（三重県）","約0.06km²","21m","英虞湾","約1.4km","","","","","","","","","","","","","",""
"紀伊大島","[紀伊大島- 9.47km2[11] 紀伊大島 （きいおおしま）は 和歌山県 東牟婁郡 串本町 の沖合い約1.8 kmの海上に浮かぶ面積およそ9.68 km 2  、周囲28km  を誇る和歌山県下最大の 島 である。元来より大島と呼ばれてきたが、全国的に大島の名を持つ土地は数多く、それらとの区別のため「紀伊」を冠し「紀伊大島」と呼ばれる。また、串本大島とも呼ばれる。人口はおよそ2,000人で、和歌山県で唯一の 離島振興対策実施地域 ともなっていた。 台風 銀座でもあり 1890年 には、日本とトルコの友好関係のきっかけとなった エルトゥールル号遭難事件 が当島の沖で発生した。","https://ja.wikipedia.org/wiki/紀伊大島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度28分05秒東経135度49分41秒","日本・和歌山県","9.68km²","171.2m","太平洋","28.0km","","","","","","","","","","","","","",""
"沖ノ島 (和歌山県和歌山市)","[沖ノ島- 1.33km2[11] 沖ノ島 （おきのしま）は 和歌山県 和歌山市 にある島である。","https://ja.wikipedia.org/wiki/沖ノ島_(和歌山県和歌山市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度16分56秒東経135度00分43秒","日本和歌山県和歌山市","1.47km²","","紀淡海峡","","友ヶ島群島","","","","","","","","","","","","",""
"地ノ島 (和歌山県和歌山市)","[地ノ島- 1.08km2[11] 地ノ島 （じのしま）は 和歌山県 和歌山市 にある島である。 有田市 にある同名の島と混同しないこと。","https://ja.wikipedia.org/wiki/地ノ島_(和歌山県和歌山市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度17分44秒東経135度02分43秒","日本和歌山県和歌山市","1.12km²","","紀淡海峡","","友ヶ島群島","","","","","","","","","","","","",""
"友ヶ島","[友ヶ島-沖ノ島、地ノ島などの総称] 友ヶ島 （ともがしま）は、 和歌山県 和歌山市 加太に属し、 紀淡海峡 （友ヶ島水道）に浮かぶ 無人島 群。 瀬戸内海国立公園 の一部。","https://ja.wikipedia.org/wiki/友ヶ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度17分14秒東経135度1分36秒","日本（和歌山県）","","119.71m","紀淡海峡","","","","","","","","","","","","","","",""
"沖島","[沖島- 1.51km2[11] 沖島 （おきしま）または 沖ノ島 （おきのしま）は、 琵琶湖 の沖合約1.5 kmに浮かぶ 小島 。琵琶湖最大の島である。 琵琶湖国定公園 第2種特別地域。","https://ja.wikipedia.org/wiki/沖島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度12分28秒東経136度3分58秒","日本滋賀県","1.51km²","225m","琵琶湖","6.8km","","蓬莱山","","","","","","","","","","","",""
"竹生島","[竹生島-琵琶湖にある湖中島。] 竹生島 （ちくぶしま）は、 琵琶湖 の北部に浮かぶ 島 。全域が 滋賀県長浜市 の早崎町に属する琵琶湖では2番目に大きい島。 琵琶湖国定公園 特別保護地区 、国の 名勝 および 史跡 に指定されている。 2015年 （平成27年） 4月24日 、「琵琶湖とその水辺景観－ 祈りと暮らしの水遺産 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/竹生島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度25分23.8415秒東経136度08分37.8616秒","日本・滋賀県","0.14km²","197.27m","琵琶湖","2km","","","","","","","","","","","","","",""
"多景島","[多景島-琵琶湖にある湖中島。] 多景島 （たけしま・たけいしま）は、 琵琶湖 の 島 （無人島）。 竹島  ・ 武島 （たけしま）とも。 琵琶湖国定公園 第1種特別地域。所属住所は 滋賀県 彦根市 八坂町 である。 ","https://ja.wikipedia.org/wiki/多景島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度17分47秒東経136度10分41秒","日本（滋賀県）","---km²","101.3m","琵琶湖","0.6km","","","","","","","","","","","","","",""
"ツバキ島","[ツバキ島-池原貯水池の中の島。貯水量が減ると陸繋島となる。] ツバキ島 （ツバキじま）は、 日本 の 人造湖 ・ 池原貯水池 （ 奈良県 吉野郡 下北山村 ）にある 無人島 。","https://ja.wikipedia.org/wiki/ツバキ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度3分5秒東経135度58分36秒","日本（奈良県）吉野郡下北山村","","","池原貯水池","","","","","","","","","","","","","","",""
"毛島","[毛島] 毛島 （けしま）は、 京都府 舞鶴市 に存在する 島 である。","https://ja.wikipedia.org/wiki/毛島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度35分45秒東経135度28分43.24秒","日本（京都府舞鶴市成生）","","187m","日本海","約 4km","","","","","","","","","","","","","",""
"冠島","[冠島（大島）] 冠島 （かんむりじま）は、 京都府 舞鶴市 の 若狭湾 内に存在する 島 である。","https://ja.wikipedia.org/wiki/冠島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度40分52秒東経135度25分28秒","","0.22 km2(0.085 sq mi)","169.7 m (556.8 ft)","","","","","0","京都府","若狭湾","","","日本標準時（UTC+9）","","","","0 /km2(0 /sq mi)","",""
"沓島","[沓島（小島）] 沓島 （くつじま）は、 京都府 舞鶴市 に存在する 島 である。","https://ja.wikipedia.org/wiki/沓島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度42分38秒東経135度26分15秒","","9,700 m2(104,000 sq ft)","89 m (292 ft)","","","","","0","京都府","若狭湾","","棒島、釣鐘島","日本標準時（UTC+9）","","","2","0 /km2(0 /sq mi)","",""
"戸島 (京都府)","[戸島 (京都府)] 戸島 （としま）は、 京都府 舞鶴市 の 舞鶴湾内 に位置する 島 である。","https://ja.wikipedia.org/wiki/戸島_(京都府)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度29分45秒東経135度20分35秒","日本京都府舞鶴市","0.2586km²","102.7m","舞鶴湾","2.7km","","","","","","","","","","","","","",""
"青島 (京都府)","[青島 (京都府)] 青島 （あおしま）は、 日本海 の 伊根湾 に浮かぶ 無人島 。 京都府 与謝郡 伊根町 に属している。","https://ja.wikipedia.org/wiki/青島_(京都府)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯35度39分59秒東経135度17分1秒","日本・京都府","","48.3m","伊根湾","","","","","","","","","","","","","","",""
"淡路島","[淡路島- 592.51km2[11] 淡路島 （あわじしま）は、 瀬戸内海 東部に位置する 島 。瀬戸内海では最大面積の島で  、人口は離島の中では最も多い約13万人  。 令制国 の 淡路国 の主要国域を占める。 近畿地方 の 兵庫県 に属し、現在は北から 淡路市 ・ 洲本市 ・ 南あわじ市 の3市で区分される。国生みの島としても有名である。","https://ja.wikipedia.org/wiki/淡路島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度09分 - 34度36分東経134度39分","日本","592.55km²","608m","瀬戸内海","203km","","諭鶴羽山","","","","","","","","","","","",""
"西島 (兵庫県)","[西島- 6.52km2[11] 西島 （にしじま）は、 兵庫県 姫路市 にある有人島。 家島諸島 の中で最も大きな面積を持つ。 男鹿島 と同じく採石の島で、作業場の周辺に採石業者の家屋が点在している。県の自然体験施設（ 兵庫県立いえしま自然体験センター ）がある  。","https://ja.wikipedia.org/wiki/西島_(兵庫県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度39分16秒東経134度28分40.41秒","日本（兵庫県姫路市）","6.59km²","276m","播磨灘","21.0km","家島諸島","","","","","","","","","","","","",""
"家島","[家島- 5.40km2[11] 家島 （いえしま、えじま、えしま）は、 瀬戸内海 東部（ 播磨灘 ）、 家島諸島 中部に位置する 島 。","https://ja.wikipedia.org/wiki/家島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度40分17.1秒東経134度31分41.4秒","日本兵庫県姫路市","5.45km²","","瀬戸内海（播磨灘）","15.4km","","","2693","","","","","","","","","","",""
"男鹿島","[男鹿島- 4.53km2[11] 男鹿島 （たんがしま、たんがじま、だんがじま）は、 瀬戸内海 東部、 播磨灘 の 家島諸島 東部に位置する 島 。","https://ja.wikipedia.org/wiki/男鹿島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度39分53.4秒東経134度34分29.8秒","日本、兵庫県","4.57km²","220m","瀬戸内海（播磨灘）","10km","","","","","","","","","","","","","",""
"沼島","[沼島- 2.67km2[11] 沼島 （ぬしま）は、 淡路島 の南4.6 km、 紀伊水道 北西部に浮かぶ 島 。 兵庫県 南あわじ市 に属する。面積2.71 km 2 、周囲9.53 km  、 最高地点は117.2m。 瀬戸内海国立公園 の一部。人口473人（ 2017年 4月末現在）  。本項ではかつて同区域に所在した 三原郡 沼島村 （ぬしまむら）についても述べる。","https://ja.wikipedia.org/wiki/沼島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度10分5秒東経134度49分33秒","日本（兵庫県）","2.67km²","117.2m","紀伊水道","9.53km","","","","","","","","","","","","","",""
"坊勢島","[坊勢島- 1.92km2[11] 坊勢島 （ぼうぜじま）は、 瀬戸内海 東部（ 播磨灘 ）、 家島諸島 中部に位置する 島 。家島本島の次に人口が多く、 漁業 を主要産業とし、兵庫県下で1、2位を争うほどの漁獲高を誇る  。","https://ja.wikipedia.org/wiki/坊勢島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度38分45.5秒東経134度30分26.3秒","日本兵庫県姫路市","1.87km²","","瀬戸内海（播磨灘）","11.9km","","","","","","","","","","","","","",""
"家島諸島","[家島諸島] 家島諸島 （いえしましょとう）は、 瀬戸内海 東部の 播磨灘  （姫路市から沖合い約18km）にあり、東西26.7km、南北18.5kmにわたり大小40余りの島嶼で構成される 諸島 。2006年、諸島全域が 兵庫県 姫路市 に編入される。兵庫県の 淡路島 ・ 香川県 の 小豆島 ・ 本州 に囲まれている。面積は19.7平方km、人口は約8000人で約60％を 家島 本島が占め、主島は 坊勢島 、 男鹿島 、 西島 、 太島 、 鞍掛島 の6島。家島本島の真浦、宮が中心集落で、古くから天然の良港として瀬戸内海航路の要地、避難港であった。 花崗岩 の切り出しと 漁業 、 海運業 が主な産業だが、 第二次世界大戦 後の乱獲と水質汚染による漁獲減少で現在は観光漁業と 養殖 が中心。一部は 瀬戸内海国立公園 に属する。地元では「いえしま」ではなく「 えじま 」と呼ばれる  。","https://ja.wikipedia.org/wiki/家島諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度40分05.3秒東経134度31分45.0秒","","19.7 km2(7.6 sq mi)","187 m (614 ft)","","","","頂ノ岩（西島）","約8,000人","兵庫県","播磨灘","","家島、男鹿島、坊勢島、西島","日本標準時（UTC+9）","姫路市","","40余り","","日本語",""
"鹿久居島","[鹿久居島- 10.14km2[11] 鹿久居島 （かくいじま）は、 日本 の 瀬戸内海 にある有人島のひとつで、 岡山県 備前市 に属す 日生諸島 の 島 である。","https://ja.wikipedia.org/wiki/鹿久居島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度43分9.5秒東経134度18分17.1秒","日本（岡山県）","10.17km²","245m","瀬戸内海","28km","","","","","","","","","","","","","",""
"北木島","[北木島- 7.48km2[11] 北木島 （きたぎしま）は 岡山県 笠岡市 の 笠岡諸島 に属する、 瀬戸内海 の有人 島 。2019年、笠岡諸島は日本遺産に指定され た 。北木島は、 笠岡港 から南に約15kmの地点にある。","https://ja.wikipedia.org/wiki/北木島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度22分55秒東経133度32分11秒","日本岡山県笠岡市","7.49km²","226m","瀬戸内海","18.3km","笠岡諸島","バックリ山","","","","","","","","","","","",""
"長島 (岡山県)","[長島- 3.51km2[11] 中央部の船越は、 屋島の戦い の後に 源義経 の船が長島に吹き寄せられ、 武蔵坊弁慶 が船を引き越した地であるという伝説がある  。 大正時代 は島内のほとんどが山林で、中部より西側に 水田 が点在し、20世帯余りが住んでいた。 ボラ 敷網が有名だったが 1960年 頃から衰退し、代わって鴻島との間では カキ の 養殖 が盛んになった。","https://ja.wikipedia.org/wiki/長島_(岡山県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度40分31.3969秒東経134度14分31.9022秒","日本（岡山県）","3.51km²","99m","瀬戸内海","18km","","","","","","","","","","","","","",""
"白石島","[白石島- 2.95km2[11] 白石島 （しらいしじま）は、 岡山県 笠岡市 にある 笠岡諸島 に属する、面積2.86km 2 、最高点169m（立石山）、人口750人（2001年）の島で全島が国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/白石島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度24分5.7秒東経133度31分2.1秒","日本(岡山県)","2.86km²","169m","瀬戸内海","","","立石山","","","","","","","","","","","",""
"井島","[井島- 2.63km2[11] 井島 （いしま）は、 瀬戸内海 の 直島諸島 に位置する 島 のひとつである。島内には 岡山県 ・ 香川県 の 県境 が引かれており、岡山県側の地域は 石島 と表記される  。行政上は岡山県 玉野市 および香川県 香川郡 直島町 に属する  。 郵便番号 は706-0306  。2015年1月時点で人口92人  、2011年時点で38世帯  は全て岡山県側に居住する。","https://ja.wikipedia.org/wiki/井島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度29分40秒東経134度0分58秒","日本 岡山県玉野市 香川県香川郡直島町","2.72km²","156.7m","瀬戸内海","9.3km","直島諸島","石島山","","","","","","","","","","","",""
"前島 (岡山県)","[前島- 2.41km2[11] 前島 （まえじま）は 岡山県 瀬戸内市 牛窓町 のすぐ沖合に位置し東西に細長い面積約2.42k㎡の離島である  。「緑島」とも呼ばれ、美しい松林などの自然林が残り、島全体が 国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/前島_(岡山県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度36分31秒東経134度11分0秒","日本岡山県瀬戸内市","2.4km²","136.5m","瀬戸内海","","","","","","","","","","","","","","",""
"鴻島","[鴻島- 2.07km2[11] 鴻島 （こうじま）は 岡山県 備前市 の 日生諸島 に属する 島 。かつては 甲島 、 香島 とも書かれた。 日生港 の南、約4kmに位置する。 2010年 国勢調査によると人口は42名。","https://ja.wikipedia.org/wiki/鴻島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度41分57.4秒東経134度15分27.2秒","日本（岡山県）","2.09km²","148m","瀬戸内海","12km","","","","","","","","","","","","","",""
"真鍋島","[真鍋島- 1.48km2[11] 真鍋島 （まなべしま）は、 岡山県 笠岡市 にある 笠岡諸島 に属する 島 である。古い漁村の面影を残した家並みがあり、 1977年 （昭和52年）の映画『 獄門島 』や 1984年 （昭和59年）の映画『 瀬戸内少年野球団 』のロケ地となった。中四国沿岸部に多い 真鍋 姓の発祥地でもある。","https://ja.wikipedia.org/wiki/真鍋島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度21分14秒東経133度34分40秒","日本(岡山県)","1.49km²","127m","","7.6km","","","","","","","","","","","","","",""
"高島 (岡山県笠岡市)","[高島- 1.05km2[11] 高島 （たかしま）は、 岡山県 笠岡市 にある 笠岡諸島 に属する島。面積1.21km 2 、最高点海抜77m、人口129人（2005年）  。","https://ja.wikipedia.org/wiki/高島_(岡山県笠岡市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度25分44.1秒東経133度30分29.1秒","日本（岡山県笠岡市笠岡諸島）","1.21km²","77.0m","瀬戸内海","","","","","","","","","","","","","","",""
"六口島","[六口島- 1.03km2[11] 六口島 （むぐちじま）は 岡山県 倉敷市 にある島である。","https://ja.wikipedia.org/wiki/六口島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度25分24秒東経133度46分02秒","日本（岡山県）","1.09km²","140m","瀬戸内海","5.9km","水島諸島","","","","","","","","","","","","",""
"飛島 (岡山県)","[飛島 (岡山県)] 飛島 （ひしま）は、 岡山県 笠岡市 にある島の総称、島嶼群である。","https://ja.wikipedia.org/wiki/飛島_(岡山県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"六島 (岡山県)","[六島 (岡山県)] 六島 （むしま）は、 日本 の 瀬戸内海 にある 笠岡諸島 の有人島のひとつ。 岡山県 の最南端になっている   。","https://ja.wikipedia.org/wiki/六島_(岡山県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度18分13.2秒東経133度31分55.6秒","日本（岡山県）","1.02km²","185m","水島灘・備後灘（瀬戸内海）","4.6km","笠岡諸島","大石山","","","","","","","","","","","",""
"頭島","[頭島] 頭島 （かしらじま）は、 日本 の 瀬戸内海 にある有人島のひとつで、 岡山県 備前市 に属す 日生諸島 の 島 である。人口319人149世帯  と、日生諸島で最も人口が多く、多数の民宿・ペンションがあることでも知られる。 2004年 に頭島と 鹿久居島 を結ぶ頭島大橋、 2015年 に鹿久居島と本土を結ぶ 備前♡日生大橋 が開通したことにより、現在は本土と陸路で繋がっている。","https://ja.wikipedia.org/wiki/頭島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度42分4.5秒東経134度17分11秒","日本（岡山県備前市）","0.60km²","55m","瀬戸内海（備讃瀬戸）","4km","","","","","","","","","","","","","",""
"大多府島","[大多府島] 大多府島 （おおたぶじま）は 岡山県 備前市 にある島。 日生諸島 の一つで同諸島の最南部、 日生港 から南に6kmに位置する。古くは 大漂 （おおたぶ）とも書かれた。","https://ja.wikipedia.org/wiki/大多府島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度40分57.7秒東経134度17分47.8秒","日本岡山県備前市","0.4km²","41m","瀬戸内海","5.0km","日生諸島","","","","","","","","","","","","",""
"犬島","[犬島] 犬島 （いぬじま）は 瀬戸内海 に位置する島のひとつである。 犬島諸島 最大の島であり、行政上は岡山県岡山市東区犬島に属する。 犬島本島 とも呼ばれる  。岡山市内唯一の有人 離島 でもある  。郵便番号は704-8153（ 西大寺郵便局 管区）  。2016年9月30日現在で人口49人  。2010年10月1日時点で35世帯  。","https://ja.wikipedia.org/wiki/犬島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度33分45.7秒東経134度6分6.4秒","日本・岡山県岡山市東区","0.54km²","36m","瀬戸内海","3.6km","","","","","","","","","","","","","",""
"水島諸島","[水島諸島] 水島諸島 （みずしましょとう）は、 岡山県 倉敷市 沖の 瀬戸内海 ・ 水島灘 にある島嶼群である。 備讃諸島 （びさんしょとう）の一部にあたる。南に 塩飽諸島 、西に 笠岡諸島 がある。","https://ja.wikipedia.org/wiki/水島諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度26分31秒東経133度43分48秒","","","140 m (460 ft)","","","","","12人（2015年4月年時点）","","瀬戸内海（水島灘）","","上水島、下水島、六口島、釜島、松島","","","備讃諸島","","","",""
"大槌島","[大槌島] 大槌島 （おおづちじま）は 瀬戸内海 に浮かぶ 無人島 。島の中心に県境が通っており、北側は 岡山県 、南側は 香川県 である。","https://ja.wikipedia.org/wiki/大槌島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度25分08.0637秒東経133度55分21.5744秒","日本（香川県・岡山県）","0.12km²","170.8m","瀬戸内海","1.67km","","","","","","","","","","","","","",""
"江田島","[江田島・能美島- 91.32km2[11] 江田島 （えたじま）は、 広島県 江田島市 に属する 広島湾 の島である。隣接する 能美島 （東能美島・西能美島）とは陸続きでY字型の一つの島となっている。","https://ja.wikipedia.org/wiki/江田島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度14分47秒東経132度28分40秒","日本広島県","（能美島との合算）91.32km²","399.8m","広島湾","","","クマン岳","","","","","","","","","","","",""
"倉橋島","[倉橋島- 69.46km2[11] 倉橋島 （くらはしじま）は、 広島県 呉市 に属する 島 。かつて島内には 倉橋町 と 音戸町 とがあったが、合併により呉市に併合され消滅した。","https://ja.wikipedia.org/wiki/倉橋島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度8分0秒東経132度31分30秒","日本（広島県）","69.47km²","491m","瀬戸内海","","","","","","","","","","","","","","",""
"大崎上島","[大崎上島- 38.27km2[11] 大崎上島 （おおさきかみじま）は、 瀬戸内海 芸予諸島 の 島 。 広島県 豊田郡 大崎上島町 に属する。","https://ja.wikipedia.org/wiki/大崎上島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度14分43秒東経132度53分41秒","日本（広島県）","38.27km²","452.6m","瀬戸内海","","芸予諸島（上大崎群島）","神峰山","","","","","","","","","","","",""
"因島","[因島- 35.04km2[11] 因島 （いんのしま）は、 広島県 尾道市 に属する 島 である。","https://ja.wikipedia.org/wiki/因島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度19分0秒東経133度10分0秒","広島県尾道市","35.03km²","390m","瀬戸内海","","芸予諸島","奥山","","","","","","","","","","","",""
"生口島","[生口島- 31.21km2[11] 生口島 （いくちじま  、いくちしま  ）は、 瀬戸内海 にある 島 。 広島県 尾道市 に属する  。","https://ja.wikipedia.org/wiki/生口島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度17分15.2秒東経133度6分28.6秒","日本広島県尾道市","31.21km²","472.3m","瀬戸内海","","芸予諸島","観音山","","","","瀬戸田","","","","","","","",""
"厳島","[厳島- 30.33 km2[11] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","日本（広島県廿日市市）","30.39km²","535.0m","瀬戸内海安芸灘","28.9km","","弥山","","","","","","","","","","","",""
"向島 (広島県)","[向島- 22.31km2[11] 向島 （むかいしま）は、 広島県 尾道市 に属する 島 。","https://ja.wikipedia.org/wiki/向島_(広島県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度23分0秒東経133度12分0秒","日本広島県尾道市","","283m","瀬戸内海","","芸予諸島","高見山","","","","","","","","","","","",""
"上蒲刈島","[上蒲刈島- 18.79km2[11] 上蒲刈島 （かみかまがりじま）は、 瀬戸内海 の中部にある 蒲刈群島 の島。 蜜柑 などの果樹栽培が盛ん。","https://ja.wikipedia.org/wiki/上蒲刈島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度10分53秒東経132度43分39秒","広島県呉市","18.81km²","456.7m","瀬戸内海","27.9km","蒲刈群島","七国見山","","","","","","","","","","","",""
