"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","  市域","国","標高","等時帯","人口","市長","  都市圏","市外局番"," 市","ナンバープレート","    ,人口密度","郵便番号"," ,州","簡体字","繁体字","拼音","カタカナ,転写","国家","行政級別"
"ハイデラバード","[37ハイデラバード  インド共和国7,903,0008819,900] インド陸軍 、 空軍 の駐屯地である、近接する双子都市 シカンダラーバード を併せた州都領域は、259 km 2 にわたって広がっている。両都市は、 フセイン・サガール （湖）を挟んで隣り合わせるように位置する。また、ハイデラバードは ムーシー川 によって大まかに、オールドシティーと呼ばれる南部と比較的現代的な北部に分けることができる。南部は総じて ムスリム の住民が多く、定時には アザーン も聞こえてくるムスリム文化が色濃く残る地域で、 チャール・ミナール や メッカ・マスジド などといった歴史的建造物も多い。北部では特にフセイン・サーガル北東岸の開発は目覚ましい。","https://ja.wikipedia.org/wiki/ハイデラバード_(インド)","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯17度22分12秒 東経78度28分48秒","260km2","インド","489m","IST(UTC+5:30)","（2011年現在）","","7,749,334人","91-40","ハイデラバード","AP9, AP10, AP11, AP12, AP13, AP28, AP29","","","テランガーナ州","","","","","",""
"成都","[38成都  中華人民共和国7,895,0009718,100] 成都平原 の中央にあり、 岷江 支流の 錦水 に沿う。西部には 龍門山脈 が屹立する。中国西南部の要衝である。","https://ja.wikipedia.org/wiki/成都市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯30度39分49秒 東経104度04分00秒","","","","","","羅強","","","","川A、川G","","610000","","成都","成都","Chéngdū","チェンドゥ","中華人民共和国","副省級市"
"ジャカルタ","[39ジャカルタ  インドネシア共和国7.894.3442,7849,400] 人口は950万人を超えており、 2016年 の近郊を含む 都市圏人口 は3,120万人と、 東京都市圏 に次いで世界第2位  。世界屈指の メガシティ であり、 東南アジア 有数の 世界都市 でもある。 東南アジア諸国連合 ( ASEAN ) の事務局が置かれる  。","https://ja.wikipedia.org/wiki/ジャカルタ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯6度12分 東経106度48分","","インドネシア","7 m","UTC+7(WIB)","","","","+62 21","","","","","","","","","","",""
"ラホール","[40ラホール  パキスタン・イスラム共和国7,743,00058313,300] ムガル帝国の首都など豊かな歴史を誇り、ムガル帝国時代や植民地時代の建築物が保存されている。ムガル帝国時代の建築物には、 バードシャーヒー・モスク や ラホール城 、 シャーラマール庭園 、 ジャハーンギール とその妃 ヌール・ジャハーン の廟などがあり、観光地となっている。英国によって建設された植民地時代の建築物であるラホール高等裁判所、中央郵便局 (GPO)、またそれ以前から残る多くの大学もムガル・ゴシックスタイルを残している。インドのプールナ・スワラージ（完全な独立）やパキスタンの分離独立が決定された重要な場所でもある。","https://ja.wikipedia.org/wiki/ラホール","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯31度32分59秒 東経70度24分37秒","1,772km2(684mi2)","パキスタン","217m(712ft)","","（2017年現在）","","","042","ラホール","","  6,279人/km2（16,266人/mi2）","","パンジャーブ州","","","","","",""
"ヨハネスブルグ","[41ヨハネスブルグ-イーストランド  南アフリカ共和国7,618,0002,5253,000] ヨハネスブルグは周辺地域からの人口流入などによって南アフリカ共和国最大の都市に成長し、人口は 2019年 で約563万人を数える  。2019年の近郊を含む 都市圏人口 は1,050万人を擁する メガシティ で、同国内では第1位、 アフリカ 内でも第4位である  。","https://ja.wikipedia.org/wiki/ヨハネスブルグ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯26度12分16秒 東経28度02分44秒","","南アフリカ共和国","1753m","南アフリカ標準時(UTC+2)","（2019年現在）","ユーニス・ムシナ(Eunice Mgcina)（職務代理）","10,500,500人","011","","","  2696人/km2","","ハウテン州","","","","","",""
"テヘラン","[42テヘラン  イラン・イスラム共和国7,419,0007779,500] 人口869万人、 都市圏人口 は1,367万人であり、世界有数の 大都市圏 を形成している  。","https://ja.wikipedia.org/wiki/テヘラン","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯35度41分 東経51度25分","730km2(281.9mi2)","イラン","1,200m(3,900ft)","イラン標準時  (UTC+3:30)","（2016年現在）","モハンマドアリー・アフシャーニー","18,814 km2(7,264 mi2)","021","テヘラン","","  11,906人/km2（30,840人/mi2）","","テヘラン州","","","","","",""
"バンコク","[43バンコク  タイ王国7,326,0002,2023,200] 人口8,249,117人（2010年）、面積1568.737 km 2 。 都市圏人口 は 2018年 時点で1600万人を超えており、世界有数の 大都市圏 を形成している  。 ASEAN 経済の中心地で、 東南アジア 屈指の 世界都市 でもある。","https://ja.wikipedia.org/wiki/バンコク","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯13度45分8秒 東経100度29分38秒","","タイ","","UTC+7(タイ標準時)","","","","","","","","","","","","","","",""
"エッセン","[41エッセン-デュッセルドルフ  ドイツ連邦共和国7,304,0002,6422,800] 582,415人（2020年12月31日現在） ","https://ja.wikipedia.org/wiki/エッセン","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯51度27分29.05秒 東経7度0分53.14秒","","","","","","","","","","","","","","","","","","",""
"香港","[45香港  香港（中国）7,106,00027525,900] 1,104 km 2 (426 sq mi)の面積に700万人を超す人口を有する世界有数の 人口密集地域 である  。広大な スカイライン と天然の深い港湾を抱える 自由貿易 地域であり、 アジア四小龍 の内の1地域。 2016年 の「中期人口統計」によると、香港の人口は、92%が 華人 、8%はその他の民族である  。","https://ja.wikipedia.org/wiki/香港","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯22度16分01秒 東経114度11分17秒","","","","","","","","","","","","","","","","","","",""
"武漢","[46武漢  中華人民共和国6,995,0009587,300] 武漢市は湖北省に位置する。湖北省は直轄市である 重慶市 に隣接する。重慶・湖北区域は極めて人口の多い地区である。武漢市は 華中 地域ないし長江中流域の中心都市  であり、 華中 地方唯一の「 副省級市 」  であり中国の「国家中心都市」  の一つでもある。 長江 とその支流である 漢江 の合流点にある 武昌 ・ 漢陽 ・ 漢口 の三鎮からなり、「江城」という異称もある。武漢は「百湖の市」とも呼ばれ、市内で数多くの湖があり、水域面積は全市面積の約4分の1を占める  。","https://ja.wikipedia.org/wiki/武漢市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯30度34分21秒 東経114度16分45秒","","","","","","","","","","鄂A","","430000 –430400","","武汉","武漢","Wǔhàn 聞く","ウーハン","中華人民共和国","副省級市"
"杭州","[47杭州  中華人民共和国6,500,0003,8672,897] 中国八大古都の一であり、 国家歴史文化名城 に指定されている。隋代以降、 江南運河 の終着点として経済文化が発達し、「上に天国あり、下に 蘇州 ・杭州あり（上有天堂、下有蘇杭）」とたたえられた。また、五代十国の時代、 呉越 国の都となり、 南宋 時代には 行在 、事実上の都（1138年-1276年）、臨安府が置かれた。市中心部の西には 世界遺産 の 西湖 という湖があり、国の内外より多くの観光客が訪れる。","https://ja.wikipedia.org/wiki/杭州市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯30度15分0秒 東経120度10分0秒","","","","","","張鴻銘","","","","浙A","","310000","","杭州","杭州"," Hángzhōu","ハンチョウ","中華人民共和国","副省級市"
"アフマダーバード","[48アフマダーバード  インド共和国6,482,00029821,900] 2011年 の 都市的地域 の人口は635万人であり、世界第47位、同国では第7位である   。農業、綿織物業が盛ん。 イスラーム教徒 が比較的多く（住民の2割程度）、多くの モスク が建てられている。 ジャイナ教 の寺院も多い。近代的な都市で郊外に工場が多く、経済的には恵まれている。2017年に 世界遺産 リストに登録された  。","https://ja.wikipedia.org/wiki/アフマダーバード","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯23度1分48秒 東経72度34分48秒","464.16km2","インド","53m","IST(UTC+5:30)","（2011年現在）","","6,357,693人","079","アフマダーバード","","  12,000人/km2","","グジャラート州","","","","","",""
"重慶","[49重慶  中華人民共和国6,321,0007778,100] 人口は約3,100万人。 2017年 の 都市圏人口 は1962.66万人の メガシティ である  。","https://ja.wikipedia.org/wiki/重慶","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯29度33分00秒 東経106度30分00秒","","","","","","唐良智","","","","渝 A, B, C, D, F, G, H","","400000 - 409912","","重庆","重慶","Chóngqìng","チョンチン","中華人民共和国","直轄市"
"バグダード","[50バグダード  イラク共和国6,204,00098710,400] バグダードは、 2003年 3月の イラク戦争 で アメリカ合衆国 ・ イギリス 両国を主力とする軍の攻撃を受け、同年4月に制圧されたのち、 連合国暫定当局 （CPA）本部が置かれた  。その後、 2004年 6月には イラク暫定政権 への主権移譲がなされ、 イラク移行政府 を経て 2006年 には イラク正式政府 が成立し、現在に至っている。","https://ja.wikipedia.org/wiki/バグダード","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯33度20分00秒 東経44度26分00秒","","イラク","34 m","UTC＋3(アラビア標準時)","","","","","","","","","","","","","","",""
