"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","山号","宗旨","宗派","本尊","創建年","開山","中興","正式名","札所等","法人番号","Hidden","Hidden","Hidden"
"宝仏山","[34ほうぶつさん宝仏山鳥取県1,005地理院地図Googleマップ北緯35度13分53秒東経133度28分06秒﻿ / ﻿北緯35.231505度 東経133.468371度﻿ /35.231505; 133.468371﻿ (宝仏山)] 宝仏山 （ほうぶつせん）は 鳥取県 日野町 ・ 江府町 に跨る 標高 1,005 m の 山 。 中国百名山 に選定されている。山体のおおよそ西半分が 大山隠岐国立公園 の普通地域、東半分が特別地域に指定されている  。","https://ja.wikipedia.org/wiki/宝仏山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度13分48秒東経133度28分12秒","鳥取県日野町・江府町","1,005m","北緯35度13分48秒東経133度28分12秒﻿ / ﻿北緯35.23000度 東経133.47000度﻿ /35.23000; 133.47000座標:北緯35度13分48秒東経133度28分12秒﻿ / ﻿北緯35.23000度 東経133.47000度﻿ /35.23000; 133.47000","中国山地","","","","","","","","","","","","","","",""
"花見山 (鳥取県・岡山県) (存在しないページ)","[35画 像 募 集 中はなみやま花見山鳥取県岡山県1,188.1地理院地図Googleマップ北緯35度09分09秒東経133度24分04秒﻿ / ﻿北緯35.152385度 東経133.401220度﻿ /35.152385; 133.401220﻿ (花見山)]","https://ja.wikipedia.org/w/index.php?title=花見山_(鳥取県・岡山県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鎌倉山 (鳥取県) (存在しないページ)","[36画 像 募 集 中かまくらやま鎌倉山鳥取県730.4地理院地図Googleマップ北緯35度15分48秒東経133度21分37秒﻿ / ﻿北緯35.263298度 東経133.360156度﻿ /35.263298; 133.360156﻿ (鎌倉山)]","https://ja.wikipedia.org/w/index.php?title=鎌倉山_(鳥取県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"熊山 (赤磐市) (存在しないページ)","[37画 像 募 集 中くまやま熊山岡山県507.8地理院地図Googleマップ北緯34度45分29秒東経134度07分31秒﻿ / ﻿北緯34.758042度 東経134.125252度﻿ /34.758042; 134.125252﻿ (熊山)]","https://ja.wikipedia.org/w/index.php?title=熊山_(赤磐市)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鬼ノ城山 (存在しないページ)","[38画 像 募 集 中きのじょうやま鬼ノ城山岡山県397地理院地図Googleマップ北緯34度43分35秒東経133度45分46秒﻿ / ﻿北緯34.726475度 東経133.762908度﻿ /34.726475; 133.762908﻿ (鬼ノ城山)]","https://ja.wikipedia.org/w/index.php?title=鬼ノ城山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"荒戸山 (存在しないページ)","[39画 像 募 集 中あらとやま荒戸山岡山県761.8地理院地図Googleマップ北緯34度55分59秒東経133度22分21秒﻿ / ﻿北緯34.933008度 東経133.372475度﻿ /34.933008; 133.372475﻿ (荒戸山)]","https://ja.wikipedia.org/w/index.php?title=荒戸山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天神山 (高梁市) (存在しないページ)","[40画 像 募 集 中てんじんやま天神山岡山県777.3地理院地図Googleマップ北緯34度51分27秒東経133度25分44秒﻿ / ﻿北緯34.857474度 東経133.428894度﻿ /34.857474; 133.428894﻿ (天神山)]","https://ja.wikipedia.org/w/index.php?title=天神山_(高梁市)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"嵩山 (島根県) (存在しないページ)","[41画 像 募 集 中だけさん嵩山島根県331地理院地図Googleマップ北緯35度29分12秒東経133度06分27秒﻿ / ﻿北緯35.486600度 東経133.107611度﻿ /35.486600; 133.107611﻿ (嵩山)]","https://ja.wikipedia.org/w/index.php?title=嵩山_(島根県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"朝日山 (島根県) (存在しないページ)","[42画 像 募 集 中あさひさん朝日山島根県344地理院地図Googleマップ北緯35度30分34秒東経132度58分51秒﻿ / ﻿北緯35.509426度 東経132.980763度﻿ /35.509426; 132.980763﻿ (朝日山)]","https://ja.wikipedia.org/w/index.php?title=朝日山_(島根県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"道後山","[43どうごやま道後山鳥取県広島県1,268.4地理院地図Googleマップ北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.069958度 東経133.235742度﻿ /35.069958; 133.235742﻿ (道後山)日本三百名山新・花の百名山最高峰は岩桶山 1,271m] 道後山 （どうごやま）は、 中国山地 中部に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/道後山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度04分12秒東経133度14分09秒","日本鳥取県日野郡日南町・広島県庄原市","1,268m","北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.07000度 東経133.23583度﻿ /35.07000; 133.23583座標:北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.07000度 東経133.23583度﻿ /35.07000; 133.23583","中国山地","","","","","","","","","","","","","","",""
"船通山","[44せんつうざん船通山鳥取県島根県1,142.4地理院地図Googleマップ北緯35度09分21秒東経133度10分43秒﻿ / ﻿北緯35.155909度 東経133.178625度﻿ /35.155909; 133.178625﻿ (船通山)斐伊川源流] 船通山 （せんつうざん）は、 鳥取県 日南町 と 島根県 奥出雲町 との県境にある 標高 1,142mの 山 である。 出雲地方 では古来「鳥上山（鳥髪山）」あるいは「鳥上峰（鳥髪峰）」とも呼ばれる。『 古事記 』によれば船通山の麓へ降った スサノオ は 八岐大蛇 を退治し、八岐大蛇の尾から得た 天叢雲剣 を 天照大神 に献上したという。 比婆道後帝釈国定公園 の一部。","https://ja.wikipedia.org/wiki/船通山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度09分21秒東経133度10分43秒","日本鳥取県日野郡日南町・島根県仁多郡奥出雲町","1,142.4m","北緯35度09分21秒東経133度10分43秒﻿ / ﻿北緯35.15583度 東経133.17861度﻿ /35.15583; 133.17861座標:北緯35度09分21秒東経133度10分43秒﻿ / ﻿北緯35.15583度 東経133.17861度﻿ /35.15583; 133.17861","","","","","","","","","","","","","","","",""
"比婆山","[45画 像 募 集 中ひばやま比婆山広島県1,264地理院地図Googleマップ北緯35度03分59秒東経133度03分19秒﻿ / ﻿北緯35.066283度 東経133.055383度﻿ /35.066283; 133.055383﻿ (比婆山)新・花の百名山最高峰は立烏帽子山 1,299m] 比婆山 （ひばやま）は、 広島県 庄原市 にある標高1264  m の山。 中国山地 中部にあり、 比婆道後帝釈国定公園 に属している。","https://ja.wikipedia.org/wiki/比婆山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度03分06秒東経133度03分56秒","広島県庄原市","1,299m","北緯35度03分06秒東経133度03分56秒﻿ / ﻿北緯35.05167度 東経133.06556度﻿ /35.05167; 133.06556","比婆山地","","","","","","","","","","","","","","",""
"吾妻山 (広島県・島根県)","[46あづまやま吾妻山島根県広島県1,238.4地理院地図Googleマップ北緯35度04分06秒東経133度01分59秒﻿ / ﻿北緯35.068283度 東経133.033096度﻿ /35.068283; 133.033096﻿ (吾妻山)日本三百名山] 吾妻山 （あづまやま）は 広島県 庄原市 と 島根県 仁多郡 奥出雲町 との境にある 標高 1,239mの山。 比婆道後帝釈国定公園 に属している。","https://ja.wikipedia.org/wiki/吾妻山_(広島県・島根県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度04分05秒東経133度01分59秒","日本広島県庄原市・島根県仁多郡奥出雲町","1,238.4m","北緯35度04分05秒東経133度01分59秒﻿ / ﻿北緯35.06806度 東経133.03306度﻿ /35.06806; 133.03306座標:北緯35度04分05秒東経133度01分59秒﻿ / ﻿北緯35.06806度 東経133.03306度﻿ /35.06806; 133.03306","比婆山地","","","","","","","","","","","","","","",""
"天狗山 (島根県) (存在しないページ)","[47画 像 募 集 中てんぐやま天狗山島根県610.4地理院地図Googleマップ北緯35度20分23秒東経133度04分58秒﻿ / ﻿北緯35.339653度 東経133.082849度﻿ /35.339653; 133.082849﻿ (天狗山)]","https://ja.wikipedia.org/w/index.php?title=天狗山_(島根県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"玉峰山 (存在しないページ)","[48画 像 募 集 中たまみねさん玉峰山島根県820.4地理院地図Googleマップ北緯35度12分56秒東経133度06分17秒﻿ / ﻿北緯35.215610度 東経133.104679度﻿ /35.215610; 133.104679﻿ (玉峰山)]","https://ja.wikipedia.org/w/index.php?title=玉峰山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"猿政山 (存在しないページ)","[49さるまさやま猿政山島根県広島県1,267.7地理院地図Googleマップ北緯35度04分53秒東経132度58分04秒﻿ / ﻿北緯35.081313度 東経132.967776度﻿ /35.081313; 132.967776﻿ (猿政山)]","https://ja.wikipedia.org/w/index.php?title=猿政山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鯛ノ巣山 (存在しないページ)","[50画 像 募 集 中たいのすやま鯛ノ巣山島根県1,026.4地理院地図Googleマップ北緯35度06分50秒東経132度55分04秒﻿ / ﻿北緯35.113914度 東経132.917715度﻿ /35.113914; 132.917715﻿ (鯛ノ巣山)]","https://ja.wikipedia.org/w/index.php?title=鯛ノ巣山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"琴引山 (存在しないページ)","[51画 像 募 集 中ことびきさん琴引山島根県1,013.4地理院地図Googleマップ北緯35度02分53秒東経132度46分57秒﻿ / ﻿北緯35.048183度 東経132.782490度﻿ /35.048183; 132.782490﻿ (琴引山)]","https://ja.wikipedia.org/w/index.php?title=琴引山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大万木山","[52おおよろぎさん大万木山島根県広島県1,218.0地理院地図Googleマップ北緯35度05分15秒東経132度51分16秒﻿ / ﻿北緯35.087547度 東経132.854546度﻿ /35.087547; 132.854546﻿ (大万木山)] 大万木山 （おおよろぎさん）は、 島根県 飯石郡 飯南町 と 広島県 庄原市 との境にある 標高 1,218mの 山 である。","https://ja.wikipedia.org/wiki/大万木山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度05分15秒東経132度51分16秒","日本島根県飯石郡飯南町・広島県庄原市","1,218.0m","北緯35度05分15秒東経132度51分16秒﻿ / ﻿北緯35.08750度 東経132.85444度﻿ /35.08750; 132.85444座標:北緯35度05分15秒東経132度51分16秒﻿ / ﻿北緯35.08750度 東経132.85444度﻿ /35.08750; 132.85444","中国山地","","","","","","","","","","","","","","",""
"鼻高山 (存在しないページ)","[53画 像 募 集 中はなたかせん鼻高山島根県536.3地理院地図Googleマップ北緯35度24分45秒東経132度45分10秒﻿ / ﻿北緯35.412608度 東経132.752640度﻿ /35.412608; 132.752640﻿ (鼻高山)]","https://ja.wikipedia.org/w/index.php?title=鼻高山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大満寺山","[54画 像 募 集 中だいまんじさん大満寺山島根県607.7地理院地図Googleマップ北緯36度15分24秒東経133度19分50秒﻿ / ﻿北緯36.256773度 東経133.330531度﻿ /36.256773; 133.330531﻿ (大満寺山)隠岐諸島隠岐富士] 大満寺山 （だいまんじさん）は、 島根県 隠岐郡 隠岐の島町 にある 標高 607.7 メートル の山である。","https://ja.wikipedia.org/wiki/大満寺山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯36度15分24.3秒東経133度19分49.9秒","日本島根県隠岐郡隠岐の島町","607.7m","北緯36度15分24.3秒東経133度19分49.9秒﻿ / ﻿北緯36.256750度 東経133.330528度﻿ /36.256750; 133.330528座標:北緯36度15分24.3秒東経133度19分49.9秒﻿ / ﻿北緯36.256750度 東経133.330528度﻿ /36.256750; 133.330528","","","","","","","","","","","","","","","",""
"三瓶山","[55さんべさん三瓶山島根県1,125.9地理院地図Googleマップ北緯35度08分26秒東経132度37分18秒﻿ / ﻿北緯35.140558度 東経132.621536度﻿ /35.140558; 132.621536﻿ (三瓶山)日本二百名山新日本百名山男三瓶山] 三瓶山 （さんべさん : Mt.sanbe）は、 島根県 のほぼ中央部、 大田市 と 飯石郡 飯南町 にまたがりそびえる 大山火山帯 に属する 火山 。 大山隠岐国立公園 の一部でもある。 2003年 （ 平成 15年）の 活火山 の定義見直しで活火山に指定された。","https://ja.wikipedia.org/wiki/三瓶山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度07分55秒東経132度37分36秒","日本島根県大田市・飯南町","1,126m","北緯35度07分55秒東経132度37分36秒﻿ / ﻿北緯35.13194度 東経132.62667度﻿ /35.13194; 132.62667座標:北緯35度07分55秒東経132度37分36秒﻿ / ﻿北緯35.13194度 東経132.62667度﻿ /35.13194; 132.62667","独立峰","成層火山（活火山ランクC）","","","","","","","","","","","","","",""
"大江高山 (存在しないページ)","[56画 像 募 集 中おおえたかやま大江高山島根県808.0地理院地図Googleマップ北緯35度03分50秒東経132度25分43秒﻿ / ﻿北緯35.063907度 東経132.428679度﻿ /35.063907; 132.428679﻿ (大江高山)石見銀山]","https://ja.wikipedia.org/w/index.php?title=大江高山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"冠山 (邑南町) (存在しないページ)","[57画 像 募 集 中かんざん冠山 (石見)島根県859.3地理院地図Googleマップ北緯34度55分09秒東経132度30分10秒﻿ / ﻿北緯34.919042度 東経132.502731度﻿ /34.919042; 132.502731﻿ (冠山 (石見))]","https://ja.wikipedia.org/w/index.php?title=冠山_(邑南町)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"龍頭山 (存在しないページ)","[58画 像 募 集 中りゅうずやま龍頭山広島県928.4地理院地図Googleマップ北緯34度39分55秒東経132度25分58秒﻿ / ﻿北緯34.665271度 東経132.432756度﻿ /34.665271; 132.432756﻿ (龍頭山)]","https://ja.wikipedia.org/w/index.php?title=龍頭山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"阿佐山","[59あさやま阿佐山島根県広島県1,218.2地理院地図Googleマップ北緯34度47分09秒東経132度22分53秒﻿ / ﻿北緯34.785932度 東経132.381411度﻿ /34.785932; 132.381411﻿ (阿佐山)] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度47分10秒 東経132度22分53秒 ﻿ / ﻿ 北緯34.7860597676347度 東経132.381281度 ﻿ / 34.7860597676347; 132.381281","https://ja.wikipedia.org/wiki/阿佐山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"雲月山 (存在しないページ)","[60画 像 募 集 中うんげつざん雲月山島根県広島県911.2地理院地図Googleマップ北緯34度48分08秒東経132度14分20秒﻿ / ﻿北緯34.802109度 東経132.238760度﻿ /34.802109; 132.238760﻿ (雲月山)]","https://ja.wikipedia.org/w/index.php?title=雲月山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"金木山 (存在しないページ)","[61画 像 募 集 中かなぎやま金木山島根県719.8地理院地図Googleマップ北緯34度49分56秒東経132度11分27秒﻿ / ﻿北緯34.832142度 東経132.190964度﻿ /34.832142; 132.190964﻿ (金木山)]","https://ja.wikipedia.org/w/index.php?title=金木山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"臥龍山","[62がりゅうざん臥龍山広島県1,223.4地理院地図Googleマップ北緯34度41分24秒東経132度11分48秒﻿ / ﻿北緯34.690121度 東経132.196763度﻿ /34.690121; 132.196763﻿ (臥龍山)刈尾山] 恵林寺 （えりんじ）は 兵庫県 神戸市 兵庫区 兵庫町にある 臨済宗南禅寺派 の仏教 寺院 。","https://ja.wikipedia.org/wiki/臥龍山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度40分19.2秒東経135度10分23.8秒","兵庫県神戸市兵庫区兵庫町2-2-1北緯34度40分19.2秒東経135度10分23.8秒﻿ / ﻿北緯34.672000度 東経135.173278度﻿ /34.672000; 135.173278","","","","","","臥龍山","禅宗","南禅寺派","十一面観世音菩薩","貞和2年（1346年）","錦江省文禅師","梅蔭芳禅師","臥龍山恵林寺","福原西国三十三ヶ所第28番札所清盛七辨天","1140005000360","","",""
"深入山 (存在しないページ)","[63しんにゅうざん深入山広島県1,152.7地理院地図Googleマップ北緯34度39分00秒東経132度12分24秒﻿ / ﻿北緯34.649929度 東経132.206797度﻿ /34.649929; 132.206797﻿ (深入山)三段峡]","https://ja.wikipedia.org/w/index.php?title=深入山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"恐羅漢山","[64おそらかんざん恐羅漢山島根県広島県1,346.4地理院地図Googleマップ北緯34度35分44秒東経132度07分47秒﻿ / ﻿北緯34.595463度 東経132.129674度﻿ /34.595463; 132.129674﻿ (恐羅漢山)島根県最高峰広島県最高峰] 恐羅漢山 （おそらかんざん）は、 広島県 山県郡 安芸太田町 と 島根県 益田市 との境にある 標高 1,346.4mの山で、広島県と島根県の 最高峰 である。 西中国山地国定公園 に指定されている。","https://ja.wikipedia.org/wiki/恐羅漢山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度35分44秒東経132度07分47秒","日本広島県山県郡安芸太田町・島根県益田市","1,346.4m","北緯34度35分44秒東経132度07分47秒﻿ / ﻿北緯34.59556度 東経132.12972度﻿ /34.59556; 132.12972座標:北緯34度35分44秒東経132度07分47秒﻿ / ﻿北緯34.59556度 東経132.12972度﻿ /34.59556; 132.12972","中国山地","","","","","","","","","","","","","","",""
"春日山 (島根県) (存在しないページ)","[65画 像 募 集 中かすがやま春日山島根県989.2地理院地図Googleマップ北緯34度37分20秒東経132度03分17秒﻿ / ﻿北緯34.622287度 東経132.054736度﻿ /34.622287; 132.054736﻿ (春日山)]","https://ja.wikipedia.org/w/index.php?title=春日山_(島根県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"十方山","[66じっぽうざん十方山広島県1,318.9地理院地図Googleマップ北緯34度33分41秒東経132度08分36秒﻿ / ﻿北緯34.561520度 東経132.143267度﻿ /34.561520; 132.143267﻿ (十方山)] 十方山 （じっぽうざん）は、 広島県 廿日市市 と同 山県郡 安芸太田町 の市町境より少し廿日市市側に入ったところに 山頂 がある、標高1318.9mの 山 である。広島県内では 恐羅漢山 、 吉和冠山 に続く、第3位の標高を誇っている。その名の通り十方全てが見渡せ、天気が良ければ、 瀬戸内海 や 四国 の 石鎚連山 、 日本海 が望める    。","https://ja.wikipedia.org/wiki/十方山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度33分41秒東経132度8分36秒","広島県廿日市市・山県郡安芸太田町","1,318.9m","北緯34度33分41秒東経132度8分36秒﻿ / ﻿北緯34.56139度 東経132.14333度﻿ /34.56139; 132.14333","中国山地","","","","","","","","","","","","","","",""
"大神ヶ岳 (存在しないページ)","[67画 像 募 集 中だいじんがたき大神ヶ岳島根県1,177地理院地図Googleマップ北緯34度30分54秒東経132度02分21秒﻿ / ﻿北緯34.515053度 東経132.039267度﻿ /34.515053; 132.039267﻿ (大神ヶ岳)]","https://ja.wikipedia.org/w/index.php?title=大神ヶ岳&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"小五郎山","[68画 像 募 集 中こごろうやま小五郎山山口県1,161.7地理院地図Googleマップ北緯34度25分01秒東経132度00分31秒﻿ / ﻿北緯34.416817度 東経132.008580度﻿ /34.416817; 132.008580﻿ (小五郎山)] 小五郎山 （こごろうさん）は、 山口県 岩国市 錦町 宇佐郷にある 標高 1,161.7mの 山 である  。 中国山地 西部の冠山山地に属しているこの山は西中国山地の雄として、その名を知られ、 中国百名山 にも指定されている  。","https://ja.wikipedia.org/wiki/小五郎山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度25分00.5秒東経132度00分30.8秒","日本山口県岩国市錦町宇佐郷","1,161.7m","北緯34度25分00.5秒東経132度00分30.8秒﻿ / ﻿北緯34.416806度 東経132.008556度﻿ /34.416806; 132.008556座標:北緯34度25分00.5秒東経132度00分30.8秒﻿ / ﻿北緯34.416806度 東経132.008556度﻿ /34.416806; 132.008556","寂地山系＜冠山山地＜中国山地","","","","","","","","","","","","","","",""
"冠山 (廿日市市)","[69かんむりやま冠山 (吉和)広島県1,339.0地理院地図Googleマップ北緯34度28分07秒東経132度04分34秒﻿ / ﻿北緯34.468731度 東経132.076098度﻿ /34.468731; 132.076098﻿ (冠山 (吉和))] 冠山 （かんむりやま）は、 広島県 廿日市市 にある 山 である。標高は1338.98mで、広島県内で2番目の高さである。なお、 山頂 には 一等三角点 (区分は本点)  が設置されている","https://ja.wikipedia.org/wiki/冠山_(廿日市市)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度28分05秒東経132度04分33秒","日本広島県廿日市市","1,338.98m","北緯34度28分05秒東経132度04分33秒﻿ / ﻿北緯34.46806度 東経132.07583度﻿ /34.46806; 132.07583座標:北緯34度28分05秒東経132度04分33秒﻿ / ﻿北緯34.46806度 東経132.07583度﻿ /34.46806; 132.07583","中国山地","","","","","","","","","","","","","","",""
"寂地山","[70じゃくちさん寂地山島根県山口県1,337地理院地図Googleマップ北緯34度28分02秒東経132度03分16秒﻿ / ﻿北緯34.467228度 東経132.054461度﻿ /34.467228; 132.054461﻿ (寂地山)山口県最高峰寂地峡] 寂地山 （じゃくちさん）は、 山口県 岩国市 と 島根県 吉賀町 との境界にある 標高 1,337mの 山 である。山口県の 最高峰 である。 中国百名山 に選定されている。","https://ja.wikipedia.org/wiki/寂地山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度28分0秒東経132度03分20秒","山口県岩国市・島根県吉賀町","1,337m","北緯34度28分0秒東経132度03分20秒﻿ / ﻿北緯34.46667度 東経132.05556度﻿ /34.46667; 132.05556座標:北緯34度28分0秒東経132度03分20秒﻿ / ﻿北緯34.46667度 東経132.05556度﻿ /34.46667; 132.05556","中国山地","","","","","","","","","","","","","","",""
"安蔵寺山","[71あぞうじさん安蔵寺山島根県1,263.2地理院地図Googleマップ北緯34度28分38秒東経131度58分02秒﻿ / ﻿北緯34.477126度 東経131.967229度﻿ /34.477126; 131.967229﻿ (安蔵寺山)] 安蔵寺山 （あぞうじさん・あぞうじやま）は、 島根県 益田市 、 鹿足郡 津和野町 および同郡 吉賀町 の境に位置する 標高 1,263.2メートルの 山 である。","https://ja.wikipedia.org/wiki/安蔵寺山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度28分40秒東経131度58分0秒","島根県益田市・鹿足郡津和野町・同郡吉賀町","1,263.2m","北緯34度28分40秒東経131度58分0秒﻿ / ﻿北緯34.47778度 東経131.96667度﻿ /34.47778; 131.96667座標:北緯34度28分40秒東経131度58分0秒﻿ / ﻿北緯34.47778度 東経131.96667度﻿ /34.47778; 131.96667","中国山地","","","","","","","","","","","","","","",""
"鬼ヶ城山 (広島県・山口県)","[72画 像 募 集 中おにがじょうやま鬼ヶ城山広島県山口県1,030.9地理院地図Googleマップ北緯34度24分35秒東経132度04分17秒﻿ / ﻿北緯34.409830度 東経132.071465度﻿ /34.409830; 132.071465﻿ (鬼ヶ城山)] 鬼ヶ城山 （おにがじょうやま）は 広島県 廿日市市 と 山口県 岩国市 に跨る山。標高1031.0メートル  。 中国百名山 のひとつ。","https://ja.wikipedia.org/wiki/鬼ヶ城山_(広島県・山口県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度24分35.7秒東経132度04分14.8秒","広島県廿日市市飯山山口県岩国市錦町","1,031.0m","北緯34度24分35.7秒東経132度04分14.8秒﻿ / ﻿北緯34.409917度 東経132.070778度﻿ /34.409917; 132.070778座標:北緯34度24分35.7秒東経132度04分14.8秒﻿ / ﻿北緯34.409917度 東経132.070778度﻿ /34.409917; 132.070778","中国山地","","","","","","","","","","","","","","",""
"羅漢山","[73らかんざん羅漢山広島県山口県1,108.9地理院地図Googleマップ北緯34度21分20秒東経132度04分02秒﻿ / ﻿北緯34.355584度 東経132.067231度﻿ /34.355584; 132.067231﻿ (羅漢山)] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度21分20秒 東経132度04分02秒 ﻿ / ﻿ 北緯34.3555987693148度 東経132.067242度 ﻿ / 34.3555987693148; 132.067242","https://ja.wikipedia.org/wiki/羅漢山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鷹ノ巣山 (東広島市・安芸高田市) (存在しないページ)","[74画 像 募 集 中たかのすやま鷹ノ巣山広島県922.1地理院地図Googleマップ北緯34度33分58秒東経132度44分46秒﻿ / ﻿北緯34.565994度 東経132.746014度﻿ /34.565994; 132.746014﻿ (鷹ノ巣山)]","https://ja.wikipedia.org/w/index.php?title=鷹ノ巣山_(東広島市・安芸高田市)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鎌倉寺山 (存在しないページ)","[75画 像 募 集 中かまくらじやま鎌倉寺山広島県610地理院地図Googleマップ北緯34度32分48秒東経132度41分18秒﻿ / ﻿北緯34.546761度 東経132.688242度﻿ /34.546761; 132.688242﻿ (鎌倉寺山)]","https://ja.wikipedia.org/w/index.php?title=鎌倉寺山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
