"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"八森スキー場","[八森スキー場（2009年廃止）] 八森スキー場 （やつもりスキーじょう）は、 昭和 初期から 1970年 （ 昭和 45年）まで、 日本 の 宮城県 宮城郡 宮城町 新川、現在の同県 仙台市 青葉区 新川にあった スキー場 である。かつては 仙台市都心部 にもっとも近いスキー場として賑わった。","https://ja.wikipedia.org/wiki/八森スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒989-3434宮城県仙台市青葉区新川（当時）宮城県宮城郡宮城町新川","","","","2本","","","","","","","","","","","","","",""
"みやぎ蔵王えぼしスキー場","[みやぎ蔵王えぼしスキー場] みやぎ蔵王えぼしリゾート （みやぎざおうえぼしリゾート、 英語 : EBOSHI Resort ）は、 宮城県 刈田郡 蔵王町 にある スキー場 。運営会社は宮城蔵王観光株式会社。","https://ja.wikipedia.org/wiki/みやぎ蔵王えぼしスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度7分33.74秒東経140度31分43.025秒","〒989-0998宮城県刈田郡蔵王町遠刈田温泉倉石岳国有林内","10本","1,350 m - 650 m","700 m","8本","http://www.eboshi.co.jp/","35度","4,300 m","","","","","","","","","","",""
"みやぎ蔵王七ヶ宿スキー場 (存在しないページ)","[みやぎ蔵王七ヶ宿スキー場]","https://ja.wikipedia.org/w/index.php?title=みやぎ蔵王七ヶ宿スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"みやぎ蔵王白石スキー場","[みやぎ蔵王白石スキー場] みやぎ蔵王白石スキー場 （みやぎざおうしろいしスキーじょう）は、 宮城県 白石市 にある スキー場 。","https://ja.wikipedia.org/wiki/みやぎ蔵王白石スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度4分6秒東経140度30分50秒","宮城県白石市福岡八宮字不忘山","7本","1,146 m - 846 m","300 m","4本","nposki.com","38度","","","","1969年","NPO法人アザレア2019年時点","不忘山","","","","","",""
"みやぎ蔵王スキー場すみかわスノーパーク","[みやぎ蔵王スキー場すみかわスノーパーク] みやぎ蔵王すみかわスノーパーク （みやぎざおうすみかわスノーパーク、 英語 : SUMIKAWA SNOW PARK ）は、 宮城県 刈田郡 蔵王町 にある スキー場 。","https://ja.wikipedia.org/wiki/みやぎ蔵王スキー場すみかわスノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度8分6.314秒東経140度29分41.889秒","〒989-0916宮城県刈田郡蔵王町遠刈田温泉字倉石岳国有林内ゲレンデハウス","8本","1,400 m - 1,100 m","300 m","3本","http://www.zao-sumikawa.jp/","35度","3,000 m","","","","","","","","","","",""
"やくらいファミリースキー場 (存在しないページ)","[やくらいファミリースキー場]","https://ja.wikipedia.org/w/index.php?title=やくらいファミリースキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋田八幡平スキー場 (存在しないページ)","[秋田八幡平スキー場]","https://ja.wikipedia.org/w/index.php?title=秋田八幡平スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿仁スキー場","[阿仁スキー場] 北秋田市営阿仁スキー場 （あにスキーじょう）は、 秋田県 北秋田市 阿仁に位置する スキー場 である。","https://ja.wikipedia.org/wiki/阿仁スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度57分18秒東経140度29分31秒","秋田県北秋田市阿仁鍵ノ滝79","5本","1,200 m - 537 m","663 m","3本","http://www.aniski.jp/ski/","28度","4400 m","20 ha","","","","","","","","","",""
"大曲ファミリースキー場","[大曲ファミリースキー場] 大曲ファミリースキー場 は、 秋田県 大仙市 にある スキー場 である。正式名称は 大仙市営大曲スキー場 ","https://ja.wikipedia.org/wiki/大曲ファミリースキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度26分25.36秒東経140度25分59.62秒","〒014-0073秋田県大仙市内小友字中沢171-12","1本","304 m - 200 m","104 m","1本","familyski.omagari-sc.com","25度","500 m","","","","","","","","大仙市営大曲スキー場","","有",""
"大湯温泉 黒森ユースホステル","[大湯温泉スキー場（2001年廃止）] 大湯温泉 黒森ユースホステル （おおゆおんせん くろもりユースホステル）は 日本ユースホステル協会 に加盟していた 秋田県 の ユースホステル 。","https://ja.wikipedia.org/wiki/大湯温泉_黒森ユースホステル","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒018-5421","","","","","","","","","","","","","","","","","",""
"神岡スキー場 (存在しないページ)","[神岡スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=神岡スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"休暇村・乳頭スキー場 (存在しないページ)","[休暇村・乳頭スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=休暇村・乳頭スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五城目町営恋地スキー場（現オフロードコース） (存在しないページ)","[五城目町営恋地スキー場（現オフロードコース）（2006年休止）]","https://ja.wikipedia.org/w/index.php?title=五城目町営恋地スキー場（現オフロードコース）&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"後三年スキー場","[後三年スキー場] 後三年スキー場 （ごさんねんスキーじょう）は、 秋田県 仙北郡 美郷町 飯詰 字 東西法寺にある スキー場 。 利用料金は無料である   。","https://ja.wikipedia.org/wiki/後三年スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度21分39.83秒東経140度32分50.06秒","〒019-1234秋田県仙北郡美郷町飯詰字東西法寺181-2","1本","","","","http://akita-misato.com/stay/yutopia/about/activity/snowpark/","","200 m","","","","","","","","","","",""
"ジュネス栗駒スキー場","[ジュネス栗駒スキー場] ジュネス栗駒スキー場 は、 秋田県 雄勝郡 東成瀬村 にある スキー場 である。","https://ja.wikipedia.org/wiki/ジュネス栗駒スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度9分33.4秒東経140度43分35.3秒","〒019-0803秋田県雄勝郡東成瀬村椿川字柳沢39-7","11本","770 m - 395 m","375 m","4本","www.jeunesse-ski.com","40度","2,500 m","","1","","","","","","","","有",""
"水晶山スキー場","[水晶山スキー場] 水晶山スキー場 （すいしょうやまスキーじょう）は、 秋田県 鹿角市 尾去沢 字 尾去山 国有林 にある スキー場 である。","https://ja.wikipedia.org/wiki/水晶山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯40度10分38.51秒東経140度45分49.9秒","〒018-5202秋田県鹿角市尾去沢字尾去山国有林","3本","476 m - 257 m","211 m","1本","www.ink.or.jp/~mineland/ski/newpage3.htm","23度","700 m","","","","","","","","","","有",""
"スノーワールドタザワ (存在しないページ)","[スノーワールドタザワ（廃止）]","https://ja.wikipedia.org/w/index.php?title=スノーワールドタザワ&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千畑スキー場 (存在しないページ)","[千畑スキー場（2007年廃止）]","https://ja.wikipedia.org/w/index.php?title=千畑スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"協和スキー場","[協和スキー場] 協和スキー場 （きょうわスキーじょう）は、 秋田県 大仙市 にある スキー場 である。正式名称は 大仙市営協和スキー場 ","https://ja.wikipedia.org/wiki/協和スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度40分51.04秒東経140度23分34.99秒","〒019-0803秋田県大仙市協和船岡字上庄内71-1","9本","439 m - 170 m","375 m","2本","kyowasnow.net/ski","30度","","","","","","","","","","","有",""
"大台スキー場","[大台スキー場] 大台スキー場 （おおだいスキーじょう）は、 秋田県 大仙市 にある スキー場 である。正式名称は 大仙市営太田スキー場 ","https://ja.wikipedia.org/wiki/大台スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度31分8.99秒東経140度39分18.7秒","〒014-1413秋田県大仙市太田町川口字大台地内1-2","6本","473 m - 183 m","290 m","2本","ohdai.omagari-sc.com/inquiry.html","35度","","","有","","","","","","大仙市営太田スキー場","","有",""
"太平山スキー場オーパス","[太平山スキー場オーパス] 太平山スキー場オーパス （たいへいざんスキーじょうオーパス）は、 秋田県 秋田市 仁別の 太平山リゾート公園 内にある秋田市立の スキー場 である  。 指定管理者制度 に基づき、太平山観光開発株式会社が、管理・運営している  。","https://ja.wikipedia.org/wiki/太平山スキー場オーパス","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度47分15秒東経140度13分10.7秒","秋田県秋田市仁別字蛇馬目沢111","6本","330 m - 135 m","195 m","3本","秋田市 太平山リゾート公園 - 太平山スキー場オーパス","25度","2,000 m","118 ha","","","","","","","","","",""
"たざわ湖スキー場","[たざわ湖スキー場] たざわ湖スキー場 （たざわこスキーじょう）は、 秋田県 仙北市 の水沢温泉郷にある秋田県立の スキー場 である。 指定管理者制度 により、 第三セクター の田沢湖高原リフト株式会社が管理・運営している  。 秋田駒ケ岳 の中腹にゲレンデがあり、すべてのコースから眼下に 田沢湖 を望むことができる。正式名称は、 秋田県田沢湖スキー場  。","https://ja.wikipedia.org/wiki/たざわ湖スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度45分40秒東経140度46分0秒","〒014-1201秋田県仙北市田沢湖生保内字下高野73-2","13本","1,186 m - 578 m","608 m","6本","tazawako-ski.com","38度","3,000 m","100 ha","1","1969年","田沢湖高原リフト株式会社","秋田駒ヶ岳","","","秋田県田沢湖スキー場","","",""
"田沢湖高原アッスルスキー場 (存在しないページ)","[田沢湖高原アッスルスキー場（営業休止中）]","https://ja.wikipedia.org/w/index.php?title=田沢湖高原アッスルスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥海オコジョランドスキー場 (存在しないページ)","[鳥海オコジョランドスキー場]","https://ja.wikipedia.org/w/index.php?title=鳥海オコジョランドスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥海高原矢島スキー場","[鳥海高原矢島スキー場] 鳥海高原矢島スキー場 （ちょうかいこうげんやしまスキーじょう）は、 秋田県 由利本荘市 矢島町荒沢にある由利本荘市営の スキー場 である。 鳥海山 の秋田県側の山麓に位置する。","https://ja.wikipedia.org/wiki/鳥海高原矢島スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度11分23秒東経140度5分15秒","〒015-0418秋田県由利本荘市矢島町荒沢字長保田6","7本","700 m - 480 m","220 m","2本","鳥海高原矢島スキー場","25度","1,300 m","","10","","","","","","","","有",""
"花輪スキー場","[花輪スキー場] 花輪スキー場 （はなわスキーじょう）は、 1954年 （昭和29年） 秋田県 鹿角市 花輪 で開業した スキー場 である。","https://ja.wikipedia.org/wiki/花輪スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯40度11分16秒東経140度49分23秒","秋田県鹿角市花輪字百合沢81-1","3本","744 m - 257 m","487 m","3本","スポーツアミューズメントALPAS","30度","1,985 m","- ha","-","","","","","","","","",""
"藤里町営スキー場","[藤里町営スキー場] 藤里町営スキー場 （ふじさとちょうえいスキーじょう）は、 秋田県 山本郡 藤里町 にある スキー場 である。 正式名称は 藤里町営板清水スキー場  。","https://ja.wikipedia.org/wiki/藤里町営スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯40度19分16.74秒東経140度17分33.6秒","〒018-3201秋田県山本郡藤里町藤琴字板清水149-1","2本","172 m - 67 m","105 m","1本","藤里町営スキー場","35度","400 m","6.5 ha","","","","","","","藤里町営板清水スキー場","","",""
"保呂羽山スキー場 (存在しないページ)","[保呂羽山スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=保呂羽山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"真山スキー場 (存在しないページ)","[真山スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=真山スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"森吉スキー場 (存在しないページ)","[森吉スキー場（2007年廃止）]","https://ja.wikipedia.org/w/index.php?title=森吉スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横手公園スキー場","[横手公園スキー場（2018年廃止）] 横手公園 （よこてこうえん）は、 秋田県 横手市 にある 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/横手公園スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度19分15.82秒東経140度34分9.22秒","日本秋田県横手市城山町","","","","","","","","","","","横手市","","","","","","","38.90ha"
"横手市天下森スキー場","[横手市天下森スキー場] 天下森スキー場 （てんがもりスキーじょう）は、 秋田県 横手市 増田町 狙半内夏虫沢にある スキー場 である。正式名称は 横手市天下森スキー場  。","https://ja.wikipedia.org/wiki/横手市天下森スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯39度9分43.84秒東経140度37分17.43秒","〒019-0705秋田県横手市増田町狙半内夏虫沢188","2本","465 m - 275 m","190 m","","www.tengamori.jp/ski","24度","830 m","","","","","","","","","","有",""
"湯沢市秋ノ宮スキー場 (存在しないページ)","[湯沢市秋ノ宮スキー場（2008年休止）]","https://ja.wikipedia.org/w/index.php?title=湯沢市秋ノ宮スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯沢市稲川スキー場 (存在しないページ)","[湯沢市稲川スキー場]","https://ja.wikipedia.org/w/index.php?title=湯沢市稲川スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯沢市小安温泉スキー場 (存在しないページ)","[湯沢市小安温泉スキー場]","https://ja.wikipedia.org/w/index.php?title=湯沢市小安温泉スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯沢市湯沢スキー場 (存在しないページ)","[湯沢市湯沢スキー場（2017年廃止）]","https://ja.wikipedia.org/w/index.php?title=湯沢市湯沢スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Asahi自然観スノーパーク","[Asahi自然観スノーパーク] Asahi自然観スノーパーク （アサヒしぜんかんスノーパーク、 Asahi自然観SNOW PARK ）は、 山形県 西村山郡 朝日町 にある スキー場 。開場期間は、例年12月下旬 - 3月上旬の8:30 - 16:30（天候により変更あり）。 ナイター は営業していない。ペアリフト4基を所持。 初心者も上級者も楽しめるスノーパラダイス をキャッチコピーとし、自然の地形を生かしたコースが特徴である。 スキー の他 スノーボード も滑走可能で、ファンタジーゲレンデ内には ハーフパイプ (長さ100ｍ、幅20ｍ、斜度18度)も存在する。","https://ja.wikipedia.org/wiki/Asahi自然観スノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県西村山郡朝日町白倉745-1","8本","760 m - 440 m","320 m","","http://www.shizenkan.jp/winter/index.htm","34度","1500 m","約100 ha","","","","","","","","","",""
"秋山スキー場","[秋山スキー場] 秋山スキー場 （あきやまスキーじょう）は、 山形県 最上郡 真室川町 にある スキー場 。","https://ja.wikipedia.org/wiki/秋山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度51分57.8秒東経140度14分30.6秒","山形県最上郡真室川町大字新町127-5","1本","","60 m","1本","","20度","200m m","約5 ha","","","","","","","","","",""
"あつみ温泉一本木 (存在しないページ)","[あつみ温泉一本木]","https://ja.wikipedia.org/w/index.php?title=あつみ温泉一本木&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月山スキー場","[月山スキー場] 月山スキー場 （がっさんスキーじょう）は、 山形県 の 西村山郡 西川町 の 月山 の副峰姥ヶ岳に位置する スキー場 。 ヤマコー と西川町、 寒河江市 が出資する 月山観光開発株式会社 が運営している。","https://ja.wikipedia.org/wiki/月山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度32分0秒東経140度0分25秒","山形県西村山郡西川町","4本","1600 m - 700 m","900 m","4本","gassankanko.jp","35度","5000 m","","","","","姥ヶ岳南南麓","","","","","",""
"神室スキー場","[神室スキー場] グリーンバレー神室スキー場 （グリーンバレーかむろスキーじょう）は、 山形県 最上郡 金山町 にある スキー場 。","https://ja.wikipedia.org/wiki/神室スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県最上郡金山町有屋1400","4本","479 m - 323 m","156 m","1本","https://web.archive.org/web/20081218191939/http://www.geocities.jp/kamuroski/kamuro-top.html","23度","1200 m","","","","","","","","","","",""
"栗子国際スキー場","[栗子国際スキー場（休止）] 栗子国際スキー場 （くりここくさいスキーじょう）は、 山形県 米沢市 板谷に位置する スキー場 である。","https://ja.wikipedia.org/wiki/栗子国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度49分40秒東経140度15分40秒","山形県米沢市板谷529-24","6本","950 m - 600 m","350 m","3本","kurikokokusai.jp","33度","2,000 m","30 ha","ボックス、テーブル、レールキッカー、ウェーブ","1967年","","","","","","","",""
"黒伏高原スノーパークジャングル・ジャングル","[黒伏高原スノーパークジャングル・ジャングル] 黒伏高原スノーパーク ジャングル・ジャングル （くろぶしこうげんスノーパーク ジャングル・ジャングル）は、 山形県 東根市 にある スキー場 である。","https://ja.wikipedia.org/wiki/黒伏高原スノーパークジャングル・ジャングル","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度26分10秒東経140度32分37秒","山形県東根市大字観音寺字水無山3170-164","5本","1,030 m - 700 m","330 m","3本","snow park JANGLE JUNGLE","36度","","186 ha","ボックス、レールキッカー、パイプ","","","","","","","","",""
"蔵王猿倉スキー場","[蔵王猿倉スキー場] 蔵王猿倉スキー場 （ざおうさるくらスキーじょう）は、蔵王猿倉内にある スキー場 である。冬季期間中営業しており、あらゆるレベルのゲレンデが存在する。","https://ja.wikipedia.org/wiki/蔵王猿倉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県上山市蔵王字蔵王山2843-1","5本","880 m - 700 m","180 m","","http://www.zao-sarukura.co.jp/","37度","700 m","9 ha","ウェーブ","","","","","","","","",""
"蔵王ライザスキーワールド","[蔵王ライザスキーワールド] 蔵王坊平ライザワールドスキー場 （ざおうぼうだいらライザワールドスキーじょう、 ZAO LIZA ）は、 山形県 上山市 にあるスキー場。","https://ja.wikipedia.org/wiki/蔵王ライザスキーワールド","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県上山市蔵王坊平高原","6本","1446 m - 1060 m","386 m","3本","http://www.zaoliza.co.jp/","26度","1950 m","","キッカー、レール、ボックス","","","","","","","","",""
"里山スキー場","[里山スキー場（廃止）] 大石田町営里山スキー場 （おおいしだちょうえいさとやまスキーじょう）は、 山形県 北村山郡 大石田町 にかつて存在した スキー場 。","https://ja.wikipedia.org/wiki/里山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度34分37秒東経140度21分30秒","山形県北村山郡大石田町大字横山44176-1","","約150 m - 約70 m","約80 m","1本","","","350 m","3.8 ha","","1994年","","","","","","","",""
"白鷹町営スキー場","[白鷹町営スキー場] 白鷹町営スキー場 （しらたかちょうえいスキーじょう）は、 山形県 西置賜郡 白鷹町 にある スキー場 。","https://ja.wikipedia.org/wiki/白鷹町営スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度13分48.3秒東経140度8分25.2秒","山形県西置賜郡白鷹町大字中山2801","2本","","","1本","http://www.town.shirataka.lg.jp/1260.html","22度","","","","","","","","","","","",""
"スノーパーク面白山","[スノーパーク面白山（休止）] スノーパーク面白山 （スノーパークおもしろやま）は、 山形県 山形市 の 奥羽山脈 南面白山の北斜面にある スキー場 。旧名は「 面白山高原スキー場 」。 蔵王国定公園 の第二種特別地域内にある  。面白山オーシャンスキー場が運営している。","https://ja.wikipedia.org/wiki/スノーパーク面白山","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度19分50秒 東経140度29分53秒","〒999-3301山形県山形市大字山寺字面白山","6本","900 m - 460 m","440 m","4本","","34度","2,000 m","- ha","キッカー","","","","","","","","",""
"天元台高原スキー場","[天元台高原スキー場] 山形県随一の積雪量を誇る「 天元台高原スキー場 」がある。最も高い北望台で標高1,820mにあり、ここから最長6kmのコースを滑り降りる。リフト数は少ないが3本すべてが縦に連なっているため長いコースになっている。スキー場山頂から下りのロープウェイを使用せずに白布湯元駅までを滑り下りるのが最長コースとなっている。","https://ja.wikipedia.org/wiki/天元台高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度46分29.7秒 東経140度8分5.9秒","山形県米沢市大字李山12118-6","7本","1,820 m - 920 m","900 m","4本","天元台高原","32度","6,000 m","49 ha","","1963年（昭和38年）12月","","西吾妻山","天元台スキー場","","","","",""
"天童高原スキー場","[天童高原スキー場] 天童高原スキー場 （てんどうこうげんスキーじょう）は、 山形県 天童市 にある スキー場 。開場期間は、例年12月中旬～ 3月30日 の9:00～16:30で、以前は ナイター を17:00～21：00で行なっていたが、現在は行なっていない。3月上旬にはスキー大会やスノーボード大会も開催される。また、スキー学校もある。","https://ja.wikipedia.org/wiki/天童高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県天童市大字田麦野","6本","690 m - 600 m","90 m","","","22度","600 m","54 ha","ウェーブ","","","","","","","","",""
"西川町民スキー場","[西川町民スキー場] 西川町民スキー場 （にしかわちょうみんスキーじょう）は、 山形県 西村山郡 西川町 にある スキー場 。","https://ja.wikipedia.org/wiki/西川町民スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県西村山郡西川町大字間沢782－8","3本","320 m - 260 m","60 m","1本","","","","","","","","","","","","","",""
"羽黒山スキー場","[羽黒山スキー場] 羽黒山スキー場 （はぐろやまスキーじょう）は、 山形県 鶴岡市 にある スキー場 。","https://ja.wikipedia.org/wiki/羽黒山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度41分33.9秒東経139度59分5.2秒","山形県鶴岡市羽黒町手向羽黒山8","7本","","","2本","www.qkamura.or.jp/haguro/ski/","","","","","","","羽黒山","","","","","",""
"花笠高原スキー場","[花笠高原スキー場] 花笠高原スキー場 （はながさこうげんスキーじょう）は、 山形県 尾花沢市 にある スキー場 。","https://ja.wikipedia.org/wiki/花笠高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度32分10秒東経140度30分31秒","山形県尾花沢市大字鶴子858","3本","450 m - 300 m","150 m","1本","","30度","1,500 m","","","","","","","","","","",""
"松山スキー場","[松山スキー場] 眺海の森 （ちょうかいのもり）は、 山形県 酒田市 にある 森林公園 。","https://ja.wikipedia.org/wiki/松山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度51分29.3秒東経139度58分49.8秒","日本山形県酒田市土渕","","","","","","","","","","","","","","","","","",""
"やまがた赤倉温泉スキー場","[やまがた赤倉温泉スキー場] やまがた赤倉温泉スキー場 （やまがたあかくらおんせんスキーじょう）は、 山形県 最上郡 最上町 にある スキー場 。最上町運営。","https://ja.wikipedia.org/wiki/やまがた赤倉温泉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県最上郡最上町大字富沢3480-1","5本","602 m - 300 m","302 m","","https://mogami-portal.net/ski/","32度","","","","","","","","","","","",""
