"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開館","位置","外部リンク","専門分野","正式名称","管理運営","事業主体","延床面積","館長","建物設計","収蔵作品数","来館者数","アクセス","愛称","前身","閉館","学芸員","公式サイト"
"豊田市美術館","[豊田市美術館] 豊田市美術館 （とよたしびじゅつかん、英語：Toyota Municipal Museum of Art）は、 愛知県 豊田市 にある 公立 美術館 。 1995年 （ 平成 7年）に開館した。市街地の中心部に近く、かつて 挙母城 （七州城）のあった高台の一角に建設され、建築家・ 谷口吉生 の設計による。","https://ja.wikipedia.org/wiki/豊田市美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度4分49秒東経137度9分6秒","〒471-0034愛知県豊田市小坂本町8-5-1","1995年","北緯35度4分49秒東経137度9分6秒﻿ / ﻿北緯35.08028度 東経137.15167度﻿ /35.08028; 137.15167座標:北緯35度4分49秒東経137度9分6秒﻿ / ﻿北緯35.08028度 東経137.15167度﻿ /35.08028; 137.15167","www.museum.toyota.aichi.jp","現代美術、近代美術、デザイン","豊田市美術館","豊田市","","11,120.75m2","村田眞宏","谷口建築設計研究所","約3000点","","","","","","",""
"岡崎市美術博物館","[岡崎市美術博物館] 岡崎市美術博物館 （おかざきしびじゅつはくぶつかん）は、 愛知県 岡崎市 の 岡崎中央総合公園 内にある 美術館 ・ 博物館 である。愛称は「 マインドスケープ・ミュージアム 」  。","https://ja.wikipedia.org/wiki/岡崎市美術博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度56分51秒東経137度13分2秒","〒444-0002愛知県岡崎市高隆寺町峠1番地","1996年（平成8年）7月6日","北緯34度56分51秒東経137度13分2秒﻿ / ﻿北緯34.94750度 東経137.21722度﻿ /34.94750; 137.21722座標:北緯34度56分51秒東経137度13分2秒﻿ / ﻿北緯34.94750度 東経137.21722度﻿ /34.94750; 137.21722","岡崎市美術博物館 公式サイト（日本語）","","岡崎市美術博物館","岡崎市","","6,468m2","榊原悟","株式会社栗生総合計画事務所","","","","マインドスケープ・ミュージアム","","","",""
"岡崎市美術館","[岡崎市美術館] 岡崎市美術館 （おかざきしびじゅつかん）は、 愛知県 岡崎市 明大寺町 にある公立 美術館 である。","https://ja.wikipedia.org/wiki/岡崎市美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度56分31.04秒東経137度9分50.30秒","〒444-0864愛知県岡崎市明大寺町字茶園11番地3","1972年（昭和47年）8月11日","北緯34度56分31.04秒東経137度9分50.30秒﻿ / ﻿北緯34.9419556度 東経137.1639722度﻿ /34.9419556; 137.1639722座標:北緯34度56分31.04秒東経137度9分50.30秒﻿ / ﻿北緯34.9419556度 東経137.1639722度﻿ /34.9419556; 137.1639722","岡崎市美術館","","","岡崎市","","1,542m2（本館）","堀江登志実","","","","","","","","",""
"豊橋市美術博物館","[豊橋市美術博物館] 豊橋市美術博物館 （とよはししびじゅつはくぶつかん）は、 愛知県 豊橋市 今橋町3-1にある 市立 の 美術館 ・ 博物館 である。 豊橋公園 （ 城跡公園 ）にある。","https://ja.wikipedia.org/wiki/豊橋市美術博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度46分9秒東経137度23分41秒","〒440-0801愛知県豊橋市今橋町3-1","1979年（昭和54年）6月1日","北緯34度46分9秒東経137度23分41秒﻿ / ﻿北緯34.76917度 東経137.39472度﻿ /34.76917; 137.39472座標:北緯34度46分9秒東経137度23分41秒﻿ / ﻿北緯34.76917度 東経137.39472度﻿ /34.76917; 137.39472","豊橋市美術博物館 公式サイト（日本語）","郷土の美術品","豊橋市美術博物館","豊橋市","","3781.41m2","金原宏行","株式会社河合松永建築事務所","","","","","","","",""
"刈谷市美術館","[刈谷市美術館] 刈谷市美術館 （かりやしびじゅつかん）は、 愛知県 刈谷市 住吉町 にある市立の 美術館 である。","https://ja.wikipedia.org/wiki/刈谷市美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度59分8秒東経137度0分20秒","〒448-0852愛知県刈谷市住吉町4丁目5番地","1983年（昭和58年）6月11日","北緯34度59分8秒東経137度0分20秒﻿ / ﻿北緯34.98556度 東経137.00556度﻿ /34.98556; 137.00556座標:北緯34度59分8秒東経137度0分20秒﻿ / ﻿北緯34.98556度 東経137.00556度﻿ /34.98556; 137.00556","刈谷市美術館 公式サイト（日本語）","","刈谷市美術館","刈谷市","","2346.92m2","","株式会社大建設計名古屋事務所","2,977点","","","","","","",""
"高浜市やきものの里かわら美術館","[高浜市やきものの里かわら美術館] 高浜市やきものの里かわら美術館 （たかはましやきもののさとかわらびじゅつかん）は、 愛知県 高浜市 青木町 9丁目6番地18にある公立 美術館 。高浜市は 三州瓦 などの 窯業 が盛んであり、 瓦 をテーマとしている。瓦を主題とする日本唯一の美術館であり、国際的にも珍しいとされる。1995年（平成7年）10月7日に開館した。通称は かわら美術館 。","https://ja.wikipedia.org/wiki/高浜市やきものの里かわら美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度55分23.54秒東経136度58分54.17秒","〒444-1325愛知県高浜市青木町9丁目6番地18","1995年（平成7年）10月7日","北緯34度55分23.54秒東経136度58分54.17秒﻿ / ﻿北緯34.9232056度 東経136.9817139度﻿ /34.9232056; 136.9817139座標:北緯34度55分23.54秒東経136度58分54.17秒﻿ / ﻿北緯34.9232056度 東経136.9817139度﻿ /34.9232056; 136.9817139","公式ウェブサイト（日本語）","瓦","","乃村工藝社・NTTファシリティーズ美術館運営共同事業体（指定管理者）","高浜市","4,669.48m2","","内井昭蔵建築設計事務所","","","","","","","",""
"碧南市藤井達吉現代美術館","[碧南市藤井達吉現代美術館] 碧南市藤井達吉現代美術館 （へきなんしふじいたつきちげんだいびじゅつかん）は、 愛知県 碧南市 にある 公立 の 美術館 である。","https://ja.wikipedia.org/wiki/碧南市藤井達吉現代美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度52分24.14秒東経136度58分54.45秒","〒447-0847愛知県碧南市音羽町1-1","2008年（平成20年）4月5日","北緯34度52分24.14秒東経136度58分54.45秒﻿ / ﻿北緯34.8733722度 東経136.9817917度﻿ /34.8733722; 136.9817917座標:北緯34度52分24.14秒東経136度58分54.45秒﻿ / ﻿北緯34.8733722度 東経136.9817917度﻿ /34.8733722; 136.9817917","碧南市藤井達吉現代美術館 公式サイト（日本語）","藤井達吉の作品","碧南市藤井達吉現代美術館","碧南市","","2,425.77m2","木本文平","日本設計中部支社","約800点","","","","","","",""
"三重県立美術館","[三重県立美術館] 1982年(昭和57年）に開館  。初代館長は、 美術史家 で後に 横浜美術館 の館長を務めた 陰里鐵郎  。開館当初は半年間で想定より多い約23万人が来館したが、以降の入館者数は年間10万人～20万人で安定している  。","https://ja.wikipedia.org/wiki/三重県立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度44分5.4秒東経136度30分6.8秒","〒514-0007三重県津市大谷町11番地","1982年（昭和57年）9月25日","北緯34度44分5.4秒東経136度30分6.8秒﻿ / ﻿北緯34.734833度 東経136.501889度﻿ /34.734833; 136.501889座標:北緯34度44分5.4秒東経136度30分6.8秒﻿ / ﻿北緯34.734833度 東経136.501889度﻿ /34.734833; 136.501889","www.bunka.pref.mie.lg.jp/art-museum/","日本近代洋画・三重県出身者の作品","三重県立美術館","三重県教育委員会／三重県生活・文化部","三重県","8,035m2","速水豊","富家建築事務所","約６,000点","158,852人（2018年度）","津駅より徒歩約10分","県立美術館","","","5名",""
"滋賀県立美術館","[滋賀県立美術館] 滋賀県立美術館 （しがけんりつびじゅつかん、英：Shiga Museum of Art、英略称：SMoA）は 滋賀県 大津市 にある 美術館 。","https://ja.wikipedia.org/wiki/滋賀県立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度58分13.6秒東経135度56分31.7秒","〒520-2122滋賀県大津市瀬田南大萱町1740-1","1984年","北緯34度58分13.6秒東経135度56分31.7秒﻿ / ﻿北緯34.970444度 東経135.942139度﻿ /34.970444; 135.942139座標:北緯34度58分13.6秒東経135度56分31.7秒﻿ / ﻿北緯34.970444度 東経135.942139度﻿ /34.970444; 135.942139","滋賀県立美術館","","","","滋賀県","8,544.43m2","(ディレクター)保坂健二朗","滋賀県土木部建築課、日建設計","","","","","","","",""
"滋賀県立陶芸の森","[滋賀県立陶芸の森] 滋賀県立 陶芸の森 （しがけんりつ とうげいのもり、英文名称：The Shigaraki Ceramic Cultural Park）は、 滋賀県 甲賀市 の 信楽高原 にある 美術館 と コンベンション施設 と研修施設を備えた 都市公園 。 信楽焼 の情報発信と文化・産業の振興、人材育成、文化創造の環境提供、そして県民のレクリエーションを目的として1990年6月に開設された。 公益財団法人 滋賀県陶芸の森が 指定管理者 として管理運営を行う。","https://ja.wikipedia.org/wiki/滋賀県立陶芸の森","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度53分10.4秒 東経136度3分30.9秒","","","","","","","","","","","","","","","","","","",""
"京都市美術館","[京都市美術館] 京都市内にある国公立の博物館・美術館4館  で構成する「 京都ミュージアムズ・フォー 」の1つである。","https://ja.wikipedia.org/wiki/京都市美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度0分46.1秒東経135度47分1.1秒","〒606-8344京都府京都市左京区岡崎円勝寺町124","1933年11月","北緯35度0分46.1秒東経135度47分1.1秒﻿ / ﻿北緯35.012806度 東経135.783639度﻿ /35.012806; 135.783639座標:北緯35度0分46.1秒東経135度47分1.1秒﻿ / ﻿北緯35.012806度 東経135.783639度﻿ /35.012806; 135.783639","https://kyotocity-kyocera.museum/","美術館","京都市美術館","","京都市","9,349m2（本館）1,967m2（別館）","青木淳","","","","","","大礼記念京都美術館","","",""
"京都府立堂本印象美術館","[京都府立堂本印象美術館] 京都府立堂本印象美術館 （きょうとふりつどうもといんしょうびじゅつかん）は、 京都府 京都市 北区 にある 美術館 。","https://ja.wikipedia.org/wiki/京都府立堂本印象美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度2分6.5秒東経135度43分33.8秒","〒603-8355京都府京都市北区平野上柳町26-3","1966年（昭和41年）","北緯35度2分6.5秒東経135度43分33.8秒﻿ / ﻿北緯35.035139度 東経135.726056度﻿ /35.035139; 135.726056","","美術館","","公益財団法人京都文化財団","京都府","","","","","","","","堂本印象美術館","","",""
"京都府立陶板名画の庭","[京都府立陶板名画の庭] 京都府立陶板名画の庭 （きょうとふりつとうばんめいがのにわ）は、 京都市 左京区 下鴨にあり、古今の名画を 陶器 の板に転写して展示している、屋外 美術館 である。","https://ja.wikipedia.org/wiki/京都府立陶板名画の庭","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度3分4秒 東経135度45分55.1秒","","","","","","","","","","","","","","","","","","",""
"福知山市佐藤太清記念美術館","[福知山市佐藤太清記念美術館] 福知山市佐藤太清記念美術館 （ふくちやましさとうたいせいきねんびじゅつかん）は 京都府 福知山市 にある 美術館 。","https://ja.wikipedia.org/wiki/福知山市佐藤太清記念美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度17分51秒東経135度7分49.2秒","〒620-0035京都府福知山市字岡ノ（内記一丁目）32-64","1990年（平成2年）","北緯35度17分51秒東経135度7分49.2秒﻿ / ﻿北緯35.29750度 東経135.130333度﻿ /35.29750; 135.130333座標:北緯35度17分51秒東経135度7分49.2秒﻿ / ﻿北緯35.29750度 東経135.130333度﻿ /35.29750; 135.130333","","佐藤太清作品や資料の収蔵・管理","","","京都府福知山市","約797平方メートル","","","","","","","福知山市美術館","","",""
"奈良県立美術館","[奈良県立美術館] 奈良県立美術館 （ならけんりつびじゅつかん）は、 奈良県 奈良市 にある 美術館 。","https://ja.wikipedia.org/wiki/奈良県立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分9.1秒東経135度49分57.3秒","〒630-8213奈良県奈良市登大路町10-6","1973年","北緯34度41分9.1秒東経135度49分57.3秒﻿ / ﻿北緯34.685861度 東経135.832583度﻿ /34.685861; 135.832583","奈良県立美術館","近世日本画、浮世絵","","","奈良県","","","","","","","","","","",""
"奈良市杉岡華邨書道美術館 (存在しないページ)","[奈良市杉岡華邨書道美術館]","https://ja.wikipedia.org/w/index.php?title=奈良市杉岡華邨書道美術館&amp;action=edit&amp;redlink=1","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"入江泰吉記念奈良市写真美術館","[入江泰吉記念奈良市写真美術館] 入江泰吉記念奈良市写真美術館 （いりえたいきちきねん ならししゃしんびじゅつかん）は、 奈良県 奈良市 高畑町 にある西日本初の 写真 専門の 美術館 。 奈良 大和路 の 風景 や 文化財 を撮りつづけた 写真家 である 入江泰吉 の作品を中心に、展示と保存・研究活動を行っている。","https://ja.wikipedia.org/wiki/入江泰吉記念奈良市写真美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度40分32.1秒東経135度50分43.5秒","〒630-8301奈良市高畑町600-1","1992年4月","北緯34度40分32.1秒東経135度50分43.5秒﻿ / ﻿北緯34.675583度 東経135.845417度﻿ /34.675583; 135.845417","入江泰吉記念奈良市写真美術館","写真","","","奈良市","","","","","","","","奈良市写真美術館","","",""
"奈良市美術館","[奈良市美術館] 奈良市 美術館 （ならし びじゅつかん）は、奈良市の ミ・ナーラ 内にある 市立 美術館 。","https://ja.wikipedia.org/wiki/奈良市美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分6.6秒東経135度48分7.8秒","〒630-8012奈良県奈良市二条大路南一丁目3番1号（ミ・ナーラ 5階）","2003年10月2日","北緯34度41分6.6秒東経135度48分7.8秒﻿ / ﻿北緯34.685167度 東経135.802167度﻿ /34.685167; 135.802167座標:北緯34度41分6.6秒東経135度48分7.8秒﻿ / ﻿北緯34.685167度 東経135.802167度﻿ /34.685167; 135.802167","https://ncmoa.art/","","","一般財団法人 奈良市総合財団（指定管理者）","奈良市","","","","","","","","奈良そごう美術館（財団法人 奈良そごう美術館）","","",""
"大阪府立江之子島文化芸術創造センター (存在しないページ)","[大阪府立江之子島文化芸術創造センター]","https://ja.wikipedia.org/w/index.php?title=大阪府立江之子島文化芸術創造センター&amp;action=edit&amp;redlink=1","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大阪市立美術館","[大阪市立美術館] 大阪市立美術館 （おおさかしりつびじゅつかん）は、 大阪市 天王寺区 の 天王寺公園 内にある 美術館 。当地には 1914年 （大正3年）に 住友家 本邸が建てられたが、後に住友家から美術館建設を目的に 日本庭園 「 慶沢園 」とともに敷地を寄贈され、 1936年 （昭和11年）に旧本邸跡地に開館した。2019年より 大阪市博物館機構 が運営している。 ","https://ja.wikipedia.org/wiki/大阪市立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度39分0.4秒東経135度30分37.9秒","〒543-0063大阪府大阪市天王寺区茶臼山町1-82","1936年5月1日","北緯34度39分0.4秒東経135度30分37.9秒﻿ / ﻿北緯34.650111度 東経135.510528度﻿ /34.650111; 135.510528﻿ (大阪市立美術館)座標:北緯34度39分0.4秒東経135度30分37.9秒﻿ / ﻿北緯34.650111度 東経135.510528度﻿ /34.650111; 135.510528﻿ (大阪市立美術館)","大阪市立美術館","日本美術、東洋美術","","","大阪市","7,006平方メートル","","","","","","","","","",""
"大阪市立東洋陶磁美術館","[大阪市立東洋陶磁美術館] 大阪市立東洋陶磁美術館 （おおさかしりつとうようとうじびじゅつかん）は、 大阪市 北区 中之島 一丁目にある 美術館 。 住友グループ から寄贈された 安宅コレクション （あたかコレクション）と呼ばれる東洋 陶磁 コレクションを核として 1982年 （昭和57年）に設立。","https://ja.wikipedia.org/wiki/大阪市立東洋陶磁美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分36.4秒東経135度30分19.7秒","〒530-0005大阪府大阪市北区中之島1丁目1番26号","1982年（昭和57年）11月7日","北緯34度41分36.4秒東経135度30分19.7秒﻿ / ﻿北緯34.693444度 東経135.505472度﻿ /34.693444; 135.505472座標:北緯34度41分36.4秒東経135度30分19.7秒﻿ / ﻿北緯34.693444度 東経135.505472度﻿ /34.693444; 135.505472","","東洋陶磁器","","地方独立行政法人 大阪市博物館機構","大阪市","3,922m2","出川哲朗","日建設計（担当：横川隆一）","","","","","","","",""
"堺市立文化館 (存在しないページ)","[堺市立文化館]","https://ja.wikipedia.org/w/index.php?title=堺市立文化館&amp;action=edit&amp;redlink=1","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"和泉市久保惣記念美術館","[和泉市久保惣記念美術館] 和泉市久保惣記念美術館 （いずみしくぼそうきねんびじゅつかん） は、 大阪府 和泉市 内田町にある、東洋古美術を中心とした市立 美術館 である。","https://ja.wikipedia.org/wiki/和泉市久保惣記念美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度26分42.2秒東経135度27分12.2秒","〒594-1156大阪府和泉市内田町三丁目6番12号","1982年（昭和57年）10月","北緯34度26分42.2秒東経135度27分12.2秒﻿ / ﻿北緯34.445056度 東経135.453389度﻿ /34.445056; 135.453389座標:北緯34度26分42.2秒東経135度27分12.2秒﻿ / ﻿北緯34.445056度 東経135.453389度﻿ /34.445056; 135.453389","和泉市久保惣記念美術館","","","","和泉市","","","株式会社竹中工務店","約11,000点","","","","","","",""
"尼崎市総合文化センター","[尼崎市総合文化センター] 尼崎市総合文化センター （あまがさきしそうごうぶんかせんたー）は、 兵庫県 尼崎市 にある複合文化施設。","https://ja.wikipedia.org/wiki/尼崎市総合文化センター","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度43分16秒東経135度25分13.2秒","〒660-0881兵庫県尼崎市昭和通2-7-16","1982年7月10日","北緯34度43分16秒東経135度25分13.2秒﻿ / ﻿北緯34.72111度 東経135.420333度﻿ /34.72111; 135.420333座標:北緯34度43分16秒東経135度25分13.2秒﻿ / ﻿北緯34.72111度 東経135.420333度﻿ /34.72111; 135.420333","公式ウェブサイト","","","","","","","","","","#アクセスを参照。","","","","",""
"伊丹市立美術館","[伊丹市立美術館] 伊丹市立美術館 （いたみしりつびじゅつかん）は 兵庫県 伊丹市 にある 美術館 。 1987年 開館した。 旧石橋家住宅 ・ 旧岡田家住宅 （国の 重要文化財 ）や 柿衞文庫 などがある一角「 みやのまえ文化の郷 」内に建つ。 19世紀 フランス を代表する作家 オノレ・ドーミエ の2000点を越えるコレクションを核として諷刺や笑いをテーマにしたヨーロッパの絵画や版画のほか、近現代の画家の作品の収集・研究・展示を行っている。また明治初期に日本で活躍した ジョルジュ・ビゴー の諷刺版画等も多く所蔵する。","https://ja.wikipedia.org/wiki/伊丹市立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度46分57.2秒東経135度25分1.9秒","〒664-0895兵庫県伊丹市宮ノ前2丁目5番20号","1987年11月3日","北緯34度46分57.2秒東経135度25分1.9秒﻿ / ﻿北緯34.782556度 東経135.417194度﻿ /34.782556; 135.417194","伊丹市立美術館","オノレ・ドーミエ","","公益財団法人伊丹市文化振興財団","兵庫県伊丹市","","佐藤由紀子","伊丹市建設部建築課、坂倉建築研究所大阪事務所","","","","","","","",""
"柿衞文庫","[柿衞文庫] 柿衞文庫 （かきもりぶんこ）は、 兵庫県 伊丹市 にある 俳諧 コレクションを所蔵・展示する兵庫県の登録 博物館 で、 1984年 開館した。運営は、 公益財団法人 柿衞文庫。","https://ja.wikipedia.org/wiki/柿衞文庫","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度46分57.2秒 東経135度25分1.9秒","","","","","","","","","","","","","","","","","","",""
"西宮市大谷記念美術館","[西宮市大谷記念美術館] 西宮市大谷記念美術館 （にしのみやしおおたにきねんびじゅつかん）は 兵庫県 西宮市 にある 美術館 である。 1972年 、 実業家 昭和電極 創業者の大谷竹次郎（ 大谷米太郎 弟、 松竹 創業者の 大谷竹次郎 とは別人）から寄贈された フランス および 日本 の近代 絵画 を中心とするコレクションと邸宅を展示室として開館した。 1977年 に新館とアトリエが完成、 1991年 には大規模な増改築がなされ、現在の近代的な美術館になった。玄関正面の広いロビー一面の窓から 日本庭園 を眺めることができ、旧邸宅のエッセンスを残している。","https://ja.wikipedia.org/wiki/西宮市大谷記念美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度43分55.6秒東経135度19分28.3秒","〒662-0952兵庫県西宮市中浜町4-38","1972年11月3日","北緯34度43分55.6秒東経135度19分28.3秒﻿ / ﻿北緯34.732111度 東経135.324528度﻿ /34.732111; 135.324528座標:北緯34度43分55.6秒東経135度19分28.3秒﻿ / ﻿北緯34.732111度 東経135.324528度﻿ /34.732111; 135.324528","","ヨーロッパ及び日本の近代絵画","公益財団法人西宮市大谷記念美術館","","西宮市","4,740m2*敷地面積 7,977m2*建築面積 2,947m2","","","","","","","大谷竹次郎邸","","",""
"芦屋市立美術博物館","[芦屋市立美術博物館] 芦屋市立美術博物館 （あしやしりつびじゅつはくぶつかん）は、 兵庫県 芦屋市 にある 美術館 と歴史 博物館 の設備を併せ持つ複合施設で、 1991年 （ 平成 3年）に開館した。","https://ja.wikipedia.org/wiki/芦屋市立美術博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度43分18.9秒東経135度18分36.9秒","兵庫県芦屋市伊勢町12-25","1990年","北緯34度43分18.9秒東経135度18分36.9秒﻿ / ﻿北緯34.721917度 東経135.310250度﻿ /34.721917; 135.310250座標:北緯34度43分18.9秒東経135度18分36.9秒﻿ / ﻿北緯34.721917度 東経135.310250度﻿ /34.721917; 135.310250","","","","芦屋市","","","","","","","","","","","",""
"兵庫県公館","[兵庫県公館] 兵庫県公館 （ひょうごけんこうかん）は 1902年 （明治35年）に建てられた庁舎建築。当初の用途は 兵庫県庁本庁舎 。 1985年 （昭和60年）からは県の 迎賓館 および 県政資料館 として活用されている。","https://ja.wikipedia.org/wiki/兵庫県公館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分27秒東経135度11分04秒","〒650-0011兵庫県神戸市中央区下山手通4丁目4番1号","","","","","","","","9,498.7 m²","","","","","","","","","",""
"兵庫県立美術館","[兵庫県立美術館「芸術の館」] 兵庫県立美術館 （ひょうごけんりつびじゅつかん）は、2002年に開館した 兵庫県 神戸市 「 HAT神戸 」にある 美術館 である。愛称は「 芸術の館 」。現 館長 は 蓑豊 。","https://ja.wikipedia.org/wiki/兵庫県立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分58秒東経135度13分6秒","〒651-0073兵庫県神戸市中央区脇浜海岸通1丁目1番1号","2002年","北緯34度41分58秒東経135度13分6秒﻿ / ﻿北緯34.69944度 東経135.21833度﻿ /34.69944; 135.21833座標:北緯34度41分58秒東経135度13分6秒﻿ / ﻿北緯34.69944度 東経135.21833度﻿ /34.69944; 135.21833","","美術館","","","兵庫県","27,461.41m²(分館含まず)","","","","","","芸術の館","兵庫県立近代美術館","","",""
"神戸市立小磯記念美術館","[神戸市立小磯記念美術館] 神戸市立小磯記念美術館 （こうべしりつこいそきねんびじゅつかん）は、 神戸市 東灘区 の 六甲アイランド にある 美術館 である。","https://ja.wikipedia.org/wiki/神戸市立小磯記念美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分34.1秒東経135度16分1.9秒","〒658-0032兵庫県神戸市東灘区向洋町中5丁目7","1992年","北緯34度41分34.1秒東経135度16分1.9秒﻿ / ﻿北緯34.692806度 東経135.267194度﻿ /34.692806; 135.267194座標:北緯34度41分34.1秒東経135度16分1.9秒﻿ / ﻿北緯34.692806度 東経135.267194度﻿ /34.692806; 135.267194","","小磯良平","","神戸市","","3971.1m2","","","","","","","","","",""
"神戸ファッション美術館","[神戸ファッション美術館] 神戸ファッション美術館 （こうべファッションびじゅつかん）は、 ファッション をテーマにした日本初の 美術館 。 兵庫県 神戸市 東灘区 にある海上都市「 六甲アイランド 」に 1997年 開館した。","https://ja.wikipedia.org/wiki/神戸ファッション美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分18秒東経135度16分14.3秒","〒658-0032兵庫県神戸市東灘区向洋町中2-9-1","10：00","北緯34度41分18秒東経135度16分14.3秒﻿ / ﻿北緯34.68833度 東経135.270639度﻿ /34.68833; 135.270639座標:北緯34度41分18秒東経135度16分14.3秒﻿ / ﻿北緯34.68833度 東経135.270639度﻿ /34.68833; 135.270639","","ファッション美術館","神戸ファッション美術館","神戸新聞地域創造・神戸新聞事業社共同事業体","","","","","","","","","","18：00（入館は17：30）","",""
"神戸ゆかりの美術館","[神戸ゆかりの美術館] 神戸ゆかりの美術館 （こうべゆかりのびじゅつかん）は、 兵庫県 神戸市 東灘区 にある 美術館 。","https://ja.wikipedia.org/wiki/神戸ゆかりの美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分18秒 東経135度16分14.3秒","〒658-0032兵庫県神戸市東灘区向洋町中2-9-1","2007年3月23日","","神戸ゆかりの美術館","","","公益財団法人神戸市産業振興財団","神戸市","","","","","","","","","","",""
"姫路市立美術館","[姫路市立美術館] 姫路市立美術館 （ひめじしりつびじゅつかん）は、 兵庫県 姫路市 の 姫路公園 にある 美術館 。館長は 永田萌 。","https://ja.wikipedia.org/wiki/姫路市立美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度50分23秒東経134度41分48秒","〒670-0012日本兵庫県姫路市本町68-25","明治38年（陸軍施設）、昭和58年（美術館）","北緯34度50分23秒東経134度41分48秒﻿ / ﻿北緯34.83972度 東経134.69667度﻿ /34.83972; 134.69667","姫路市立美術館","","姫路市立美術館","姫路市","姫路市","3,841.00m2","","宮本平治、井田熊吉（陸軍省技官）","3400点あまり（2009年時）","","","","陸軍姫路兵器支廠・被服倉庫、姫路市役所","","",""
"姫路市書写の里・美術工芸館","[姫路市書写の里・美術工芸館] 姫路市書写の里 美術工芸館 （ひめじししょしゃのさと びじゅつこうげいかん）は 兵庫県 姫路市 書写山 の麓、夢前川の畔にある 美術館 。","https://ja.wikipedia.org/wiki/姫路市書写の里・美術工芸館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度52分50.2秒 東経134度39分59.1秒","〒671-2201兵庫県姫路市書写1223番地","1994年","","","姫路・播磨の伝統工芸の紹介と実演","","","兵庫県姫路市","","","","","","","","","","",""
