"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"大谷漁港 (存在しないページ)","[大谷漁港（おおや - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=大谷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前浜漁港 (存在しないページ)","[前浜漁港（まえはま - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=前浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤牛漁港 (存在しないページ)","[赤牛漁港（あかうし - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=赤牛漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大沢漁港 (存在しないページ)","[大沢(津谷)漁港（おおさわ（つや） - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=大沢漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土台磯漁港 (存在しないページ)","[土台磯漁港（どだいいそ - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=土台磯漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二十一浜漁港","[二十一浜漁港（にじゅういちはま - ）気仙沼市] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/二十一浜漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今朝磯漁港 (存在しないページ)","[今朝磯漁港（けさいそ - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=今朝磯漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蔵内漁港 (存在しないページ)","[蔵内漁港（くらうち - ）気仙沼市]","https://ja.wikipedia.org/w/index.php?title=蔵内漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"港漁港 (存在しないページ)","[港漁港（みなと - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=港漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田浦漁港 (存在しないページ)","[田浦漁港（たのうら - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=田浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石浜漁港 (存在しないページ)","[石浜(歌津)漁港（いしはま（うたつ） - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=石浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ばなな漁港 (存在しないページ)","[ばなな漁港（ばなな - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=ばなな漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"稲淵漁港 (存在しないページ)","[稲淵漁港（いなぶち - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=稲淵漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"館浜漁港 (存在しないページ)","[館浜漁港（たてはま - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=館浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寄木漁港 (存在しないページ)","[寄木漁港（よりき - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=寄木漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"韮浜漁港 (存在しないページ)","[韮浜漁港（にらのはま - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=韮浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"細浦漁港 (存在しないページ)","[細浦漁港（ほそうら - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=細浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水漁港 (存在しないページ)","[清水漁港（しず - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=清水漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒砥漁港 (存在しないページ)","[荒砥漁港（あらと - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=荒砥漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平磯漁港 (存在しないページ)","[平磯漁港（ひらいそ - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=平磯漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"折立漁港 (存在しないページ)","[折立漁港（おりたて - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=折立漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水戸辺漁港 (存在しないページ)","[水戸辺漁港（みとべ - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=水戸辺漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津ノ宮漁港 (存在しないページ)","[津ノ宮漁港（つのみや - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=津ノ宮漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"滝浜漁港 (存在しないページ)","[滝浜(戸倉)漁港（たきはま（とくら） - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=滝浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藤浜漁港 (存在しないページ)","[藤浜漁港（ふじはま - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=藤浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長清水漁港 (存在しないページ)","[長清水漁港（ながしず - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=長清水漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺浜漁港 (存在しないページ)","[寺浜漁港（てらはま - ）本吉郡南三陸町]","https://ja.wikipedia.org/w/index.php?title=寺浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北上漁港 (存在しないページ)","[北上漁港（きたかみ - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=北上漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"白浜漁港 (存在しないページ)","[白浜漁港（しらはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=白浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長面漁港 (存在しないページ)","[長面漁港（ながつら - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=長面漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"名振漁港 (存在しないページ)","[名振漁港（なぶり - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=名振漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船越漁港 (存在しないページ)","[船越漁港（ふなこし - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=船越漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒漁港 (存在しないページ)","[荒漁港（あら - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=荒漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大須漁港 (存在しないページ)","[大須漁港（おおす - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=大須漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇島漁港 (存在しないページ)","[宇島漁港（うじま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=宇島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"熊沢漁港 (存在しないページ)","[熊沢漁港（くまざわ - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=熊沢漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽坂漁港 (存在しないページ)","[羽坂漁港（はざか - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=羽坂漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桑の浜漁港 (存在しないページ)","[桑の浜漁港（くわのはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=桑の浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小島漁港 (宮城県) (存在しないページ)","[小島漁港（おじま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=小島漁港_(宮城県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"明神漁港 (存在しないページ)","[明神漁港（みょうじん - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=明神漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水浜分浜漁港 (存在しないページ)","[水浜分浜漁港（みずはまわけはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=水浜分浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"指ヶ浜漁港 (存在しないページ)","[指ヶ浜漁港（さしがはま - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=指ヶ浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御前漁港 (存在しないページ)","[御前漁港（おんまえ - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=御前漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾浦漁港 (存在しないページ)","[尾浦漁港（おうら - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=尾浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"竹浦漁港 (存在しないページ)","[竹浦漁港（たけのうら - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=竹浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桐ヶ崎漁港 (存在しないページ)","[桐ヶ崎漁港（きりがさき - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=桐ヶ崎漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野々浜漁港 (存在しないページ)","[野々浜漁港（ののはま - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=野々浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飯子浜漁港 (存在しないページ)","[飯子浜漁港（いいごはま - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=飯子浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塚浜漁港 (存在しないページ)","[塚浜漁港（つかはま - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=塚浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小屋取漁港 (存在しないページ)","[小屋取漁港（こやどり - ）牡鹿郡女川町]","https://ja.wikipedia.org/w/index.php?title=小屋取漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"出島漁港 (存在しないページ)","[出島漁港（いずしま - ）牡鹿郡女川町（出島）]","https://ja.wikipedia.org/w/index.php?title=出島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺間漁港 (存在しないページ)","[寺間漁港（てらま - ）牡鹿郡女川町（出島）]","https://ja.wikipedia.org/w/index.php?title=寺間漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"江島漁港 (存在しないページ)","[江島漁港（えのしま - ）牡鹿郡女川町（江島）]","https://ja.wikipedia.org/w/index.php?title=江島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前網漁港 (存在しないページ)","[前網漁港（まえあみ - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=前網漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鮫ノ浦漁港 (存在しないページ)","[鮫ノ浦(大原)漁港（さめのうら（おおはら） - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=鮫ノ浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"谷川漁港 (存在しないページ)","[谷川漁港（やがわ - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=谷川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泊漁港","[泊(大原)漁港（とまり（おおはら） - ）石巻市] 泊漁港 （とまりぎょこう）","https://ja.wikipedia.org/wiki/泊漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新山漁港 (存在しないページ)","[新山漁港（にいやま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=新山漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十八成浜漁港 (存在しないページ)","[十八成浜漁港（くぐなりはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=十八成浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小淵漁港 (存在しないページ)","[小淵漁港（こぶち - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=小淵漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"給分漁港 (存在しないページ)","[給分漁港（きゅうぶん - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=給分漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大原漁港 (宮城県) (存在しないページ)","[大原漁港（おおはら - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=大原漁港_(宮城県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小網倉漁港 (存在しないページ)","[小網倉漁港（こあみくら - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=小網倉漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"池ノ浜漁港 (存在しないページ)","[池ノ浜漁港（いけのはま - ）石巻市（網地島）]","https://ja.wikipedia.org/w/index.php?title=池ノ浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長渡漁港 (存在しないページ)","[長渡漁港（ふたわたし - ）石巻市（網地島）]","https://ja.wikipedia.org/w/index.php?title=長渡漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"竹ノ浜漁港 (存在しないページ)","[竹ノ浜漁港（たけのはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=竹ノ浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牧ノ浜漁港 (存在しないページ)","[牧ノ浜漁港（まきのはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=牧ノ浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"侍浜漁港 (存在しないページ)","[侍浜漁港（さむらいはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=侍浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月浦漁港 (存在しないページ)","[月浦漁港（つきのうら - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=月浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蛤浜漁港 (存在しないページ)","[蛤浜漁港（はまぐりはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=蛤浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"折ノ浜漁港 (存在しないページ)","[折ノ浜漁港（おりのはま - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=折ノ浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小竹漁港 (存在しないページ)","[小竹漁港（こたけ - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=小竹漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大泊漁港 (存在しないページ)","[大泊漁港（おおどまり - ）石巻市（田代島）]","https://ja.wikipedia.org/w/index.php?title=大泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜市漁港 (存在しないページ)","[浜市漁港（はまいち - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=浜市漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野蒜漁港 (存在しないページ)","[野蒜漁港（のびる - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=野蒜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室浜漁港 (存在しないページ)","[室浜漁港（むろはま - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=室浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大浜漁港 (存在しないページ)","[大浜漁港（おおはま - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=大浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月浜漁港 (存在しないページ)","[月浜漁港（つきはま - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=月浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"里浜漁港 (存在しないページ)","[里浜漁港（さとはま - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=里浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東名漁港 (存在しないページ)","[東名漁港（とうな - ）東松島市]","https://ja.wikipedia.org/w/index.php?title=東名漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古浦漁港 (存在しないページ)","[古浦漁港（ふるうら - ）宮城郡松島町]","https://ja.wikipedia.org/w/index.php?title=古浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"名籠漁港 (存在しないページ)","[名籠漁港（なごめ - ）宮城郡松島町]","https://ja.wikipedia.org/w/index.php?title=名籠漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"銭神漁港 (存在しないページ)","[銭神漁港（ぜにがみ - ）宮城郡松島町]","https://ja.wikipedia.org/w/index.php?title=銭神漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高城漁港 (存在しないページ)","[高城漁港（たかぎ - ）宮城郡松島町]","https://ja.wikipedia.org/w/index.php?title=高城漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜田漁港 (宮城県) (存在しないページ)","[浜田漁港（はまだ - ）宮城郡利府町]","https://ja.wikipedia.org/w/index.php?title=浜田漁港_(宮城県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須賀漁港 (存在しないページ)","[須賀漁港（すか - ）宮城郡利府町]","https://ja.wikipedia.org/w/index.php?title=須賀漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野々島漁港 (存在しないページ)","[野々島漁港（ののしま - ）塩竈市（野々島）]","https://ja.wikipedia.org/w/index.php?title=野々島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
