"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"三浦市","[三崎（自然・建造物） -三浦海岸、城ヶ島、剱埼灯台など。] 三浦市 （みうらし）は、 神奈川県 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/三浦市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度8分39.1秒東経139度37分14.6秒","日本","〒238-0298神奈川県三浦市城山町1番1号北緯35度8分39.1秒東経139度37分14.6秒﻿ / ﻿北緯35.144194度 東経139.620722度﻿ /35.144194; 139.620722座標:北緯35度8分39.1秒東経139度37分14.6秒﻿ / ﻿北緯35.144194度 東経139.620722度﻿ /35.144194; 139.620722市庁舎位置","32.05km2","関東地方","41,687人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","5000020142107","1,301人/km2","14210-7","横須賀市","吉田英男","ハマユウ","クロマツ","","","","","ウミウ"
"藤沢市","[藤沢・茅ヶ崎（文化・保養） -江の島、湘南海岸、片瀬西浜・鵠沼海水浴場、片瀬東浜海水浴場、サザンビーチちがさき、東洋のマイアミビーチ。] 藤沢市 （ふじさわし）は、 神奈川県 の 湘南地方 に位置する 市 。湘南地域の中では最大の人口（約44万人）を有し、 相模湾 に接する。","https://ja.wikipedia.org/wiki/藤沢市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度20分19.8秒東経139度29分28秒","日本","〒251-8601神奈川県藤沢市朝日町1番地1北緯35度20分19.8秒東経139度29分28秒﻿ / ﻿北緯35.338833度 東経139.49111度﻿ /35.338833; 139.49111座標:北緯35度20分19.8秒東経139度29分28秒﻿ / ﻿北緯35.338833度 東経139.49111度﻿ /35.338833; 139.49111市庁舎位置","69.57km2","関東地方","440,051人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","2000020142051","6,325人/km2","14205-1","横浜市、綾瀬市、海老名市、鎌倉市、茅ヶ崎市、大和市、高座郡寒川町","鈴木恒夫","フジ","クロマツ","","","","","カワセミ"
"伊勢原市","[伊勢原・秦野（自然・建造物） -大山、大山阿夫利神社、鶴巻温泉など。] 伊勢原市 （いせはらし）は、 神奈川県 のほぼ中央に位置する 市 。","https://ja.wikipedia.org/wiki/伊勢原市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度24分10.6秒東経139度18分53.9秒","日本","〒259-1188神奈川県伊勢原市田中348番地北緯35度24分10.6秒東経139度18分53.9秒﻿ / ﻿北緯35.402944度 東経139.314972度﻿ /35.402944; 139.314972座標:北緯35度24分10.6秒東経139度18分53.9秒﻿ / ﻿北緯35.402944度 東経139.314972度﻿ /35.402944; 139.314972","55.56km2","関東地方","101,421人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","4000020142140","1,825人/km2","14214-0","厚木市、秦野市、平塚市","高山松太郎","キキョウ","シイ","","","","","ヤマドリ"
"相模湖町","[相模湖（自然・建造物） -相模湖、さがみ湖リゾート プレジャーフォレストなど。] 相模湖町 （さがみこまち）は、 神奈川県 の北西に位置した 津久井郡 にかつてあった 町 である。","https://ja.wikipedia.org/wiki/相模湖町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度36分52秒東経139度11分20秒","日本","〒199-0192神奈川県津久井郡相模湖町与瀬896","31.59km2.","関東地方","10,404人（2006年3月1日）","神奈川県","","","","14423-1","津久井郡津久井町、藤野町、東京都八王子市","","","","津久井郡","","カツラ","ヤマユリ",""
"小田原市","[小田原（自然・建造物） -小田原城など。] 小田原市 （おだわらし）は、 神奈川県 の西部に位置する 市 。 施行時特例市 に指定されている。","https://ja.wikipedia.org/wiki/小田原市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度15分52.6秒東経139度9分8秒","日本","〒250-8555神奈川県小田原市荻窪300番地北緯35度15分52.6秒東経139度9分8秒﻿ / ﻿北緯35.264611度 東経139.15222度﻿ /35.264611; 139.15222﻿ (小田原市)座標:北緯35度15分52.6秒東経139度9分8秒﻿ / ﻿北緯35.264611度 東経139.15222度﻿ /35.264611; 139.15222﻿ (小田原市)市庁舎位置","113.81km2","関東地方","188,454人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","1000020142069","1,656人/km2","14206-9","南足柄市、中郡二宮町、足柄上郡大井町、開成町、中井町、足柄下郡箱根町、真鶴町、湯河原町","守屋輝彦","ウメ","クロマツ","","","","",""
"大磯町","[大磯（文化・保養） -海水浴場など] 大磯町 （おおいそまち）は、 神奈川県 の南部に位置し、 中郡 に属する 町 。","https://ja.wikipedia.org/wiki/大磯町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度18分24.8秒東経139度18分40.7秒","日本","〒255-8555神奈川県中郡大磯町東小磯183番地北緯35度18分24.8秒東経139度18分40.7秒﻿ / ﻿北緯35.306889度 東経139.311306度﻿ /35.306889; 139.311306座標:北緯35度18分24.8秒東経139度18分40.7秒﻿ / ﻿北緯35.306889度 東経139.311306度﻿ /35.306889; 139.311306町役場位置","17.18km2（境界未定部分あり）","関東地方","31,649人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","2000020143413","1,842人/km2","14341-3","平塚市、中郡二宮町","","","","中郡","中崎久雄","クロマツ・サザンカ","ハマヒルガオ",""
"湯河原町","[湯河原（保養） -湯河原温泉、海水浴場など。] 湯河原町 （ゆがわらまち）は、 神奈川県 の南西部に位置し、 足柄下郡 に属する 町 。","https://ja.wikipedia.org/wiki/湯河原町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度8分52.4秒東経139度6分29.9秒","日本","〒259-0392神奈川県足柄下郡湯河原町中央二丁目2番地1北緯35度8分52.4秒東経139度6分29.9秒﻿ / ﻿北緯35.147889度 東経139.108306度﻿ /35.147889; 139.108306座標:北緯35度8分52.4秒東経139度6分29.9秒﻿ / ﻿北緯35.147889度 東経139.108306度﻿ /35.147889; 139.108306","40.97km2","関東地方","23,221人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","6000020143847","567人/km2","14384-7","小田原市、足柄下郡箱根町、真鶴町静岡県：熱海市、田方郡函南町","","","","足柄下郡","冨田幸宏","桜・椿","みかん",""
"箱根町","[箱根（保養） -箱根温泉、芦ノ湖、箱根神社、箱根関所、大涌谷、仙石原、箱根駅伝。] 箱根町 （はこねまち）は、 神奈川県 の西部に位置し、 足柄下郡 に属する 町 。","https://ja.wikipedia.org/wiki/箱根町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度13分56.5秒東経139度6分25秒","日本","〒250-0398神奈川県足柄下郡箱根町湯本256番地北緯35度13分56.5秒東経139度6分25秒﻿ / ﻿北緯35.232361度 東経139.10694度﻿ /35.232361; 139.10694座標:北緯35度13分56.5秒東経139度6分25秒﻿ / ﻿北緯35.232361度 東経139.10694度﻿ /35.232361; 139.10694町庁舎位置","92.86km2","関東地方","11,317人（推計人口、2021年6月1日）","神奈川県","公式ウェブサイト","7000020143821","122人/km2","14382-1","小田原市、南足柄市、足柄下郡湯河原町静岡県：御殿場市、裾野市、三島市、駿東郡小山町、田方郡函南町","","","","足柄下郡","勝俣浩行","ヤマザクラ","ハコネバラ",""
"十日町市","[十日町・津南（自然・温泉・レジャー） -大地の芸術祭 越後妻有アートトリエンナーレ、松之山温泉、美人林、越後松代棚田群。] 十日町市 （とおかまちし）は、 新潟県 の南部（ 中越地方 ）に位置する 市 である。","https://ja.wikipedia.org/wiki/十日町市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯37度7分39.1秒東経138度45分20.6秒","日本","〒948-8501新潟県十日町市千歳町三丁目3番地北緯37度7分39.1秒東経138度45分20.6秒﻿ / ﻿北緯37.127528度 東経138.755722度﻿ /37.127528; 138.755722座標:北緯37度7分39.1秒東経138度45分20.6秒﻿ / ﻿北緯37.127528度 東経138.755722度﻿ /37.127528; 138.755722","590.39km2（境界未定部分あり）","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","49,163人（推計人口、2021年6月1日）","新潟県","公式ウェブサイト","9000020152102","83.3人/km2","15210-2","長岡市、上越市、柏崎市、小千谷市、魚沼市、南魚沼市、中魚沼郡津南町、南魚沼郡湯沢町、長野県下水内郡栄村","関口芳史","ユリ","ブナ","","","","",""
"妙高市","[妙高赤倉（保養地） - スキー場、赤倉温泉・関温泉などの温泉。] 妙高市 （みょうこうし）は、 新潟県 上越地方 にある 市 である。","https://ja.wikipedia.org/wiki/妙高市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯37度1分30.7秒東経138度15分12.7秒","日本","〒944-8686新潟県妙高市栄町5番1号北緯37度1分30.7秒東経138度15分12.7秒﻿ / ﻿北緯37.025194度 東経138.253528度﻿ /37.025194; 138.253528座標:北緯37度1分30.7秒東経138度15分12.7秒﻿ / ﻿北緯37.025194度 東経138.253528度﻿ /37.025194; 138.253528","445.63km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","29,942人（推計人口、2021年6月1日）","新潟県","公式ウェブサイト","6000020152170","67.2人/km2","15217-0","上越市、糸魚川市長野県：長野市、飯山市、上水内郡信濃町、北安曇郡小谷村","入村明","シラネアオイ","ブナ","","","","","オオルリ"
"湯沢町","[越後湯沢（保養地） -温泉、スキー。] 湯沢町 （ゆざわまち）は、 新潟県 南魚沼郡 に属する 町 である。","https://ja.wikipedia.org/wiki/湯沢町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度56分2.4秒東経138度49分2.8秒","日本","〒949-6192新潟県南魚沼郡湯沢町神立300北緯36度56分2.4秒東経138度49分2.8秒﻿ / ﻿北緯36.934000度 東経138.817444度﻿ /36.934000; 138.817444座標:北緯36度56分2.4秒東経138度49分2.8秒﻿ / ﻿北緯36.934000度 東経138.817444度﻿ /36.934000; 138.817444","357.29km2（境界未定部分あり）","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","7,751人（推計人口、2021年6月1日）","新潟県","公式ウェブサイト","9000020154610","21.7人/km2","15461-0","南魚沼市、十日町市、中魚沼郡津南町群馬県：吾妻郡中之条町、利根郡みなかみ町長野県下水内郡栄村","","","","南魚沼郡","田村正幸","ベニヤマザクラ","コスモス",""
"佐渡市","[佐渡（自然・文化・歴史遺産など） - 外海府海岸、小木海岸、佐渡おけさ、史跡佐渡金山] 佐渡市 （さどし）は、 新潟県 の 佐渡島 全域を市域とする 市 。 2004年 （ 平成 16年）に島内の旧10市町村が合併し誕生した。","https://ja.wikipedia.org/wiki/佐渡市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯38度1分6.1秒東経138度22分5.4秒","日本","〒952-1292新潟県佐渡市千種232番地北緯38度1分6.1秒東経138度22分5.4秒﻿ / ﻿北緯38.018361度 東経138.368167度﻿ /38.018361; 138.368167座標:北緯38度1分6.1秒東経138度22分5.4秒﻿ / ﻿北緯38.018361度 東経138.368167度﻿ /38.018361; 138.368167","855.69km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","50,683人（推計人口、2021年6月1日）","新潟県","公式ウェブサイト","9000020152242","59.2人/km2","15224-2","新潟市、長岡市、上越市","渡辺竜五","カンゾウ","アテビ","","","","",""
"村上市","[村上（自然・温泉） -瀬波温泉、笹川流れ] 村上市 （むらかみし）は、 新潟県 北部、 日本海 に面した 市 である。","https://ja.wikipedia.org/wiki/村上市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯38度13分26.4秒東経139度28分48秒","日本","〒958-8501新潟県村上市三之町1番1号北緯38度13分26.4秒東経139度28分48秒﻿ / ﻿北緯38.224000度 東経139.48000度﻿ /38.224000; 139.48000座標:北緯38度13分26.4秒東経139度28分48秒﻿ / ﻿北緯38.224000度 東経139.48000度﻿ /38.224000; 139.48000","1,174.26km2（境界未定部分あり）","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","56,599人（推計人口、2021年6月1日）","新潟県","公式ウェブサイト","7000020152129","48.2人/km2","15212-9","胎内市、岩船郡関川村、粟島浦村（海を隔てて隣接）山形県：鶴岡市、西村山郡西川町、西置賜郡小国町","高橋邦芳","ハマナス","ブナ","","","","",""
"弥彦村","[弥彦村(歴史遺産•文化) - 弥彦神社、弥彦温泉] 弥彦村 （やひこむら）は、 新潟県 西蒲原郡 にある 村 である。 燕市 への通勤率は34.1%・ 新潟市 への通勤率は14.6%（いずれも平成22年国勢調査）。","https://ja.wikipedia.org/wiki/弥彦村","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯37度41分27.9秒東経138度51分18.8秒","日本","〒959-0392新潟県西蒲原郡弥彦村大字矢作402北緯37度41分27.9秒東経138度51分18.8秒﻿ / ﻿北緯37.691083度 東経138.855222度﻿ /37.691083; 138.855222座標:北緯37度41分27.9秒東経138度51分18.8秒﻿ / ﻿北緯37.691083度 東経138.855222度﻿ /37.691083; 138.855222","25.17km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","7,599人（推計人口、2021年6月1日）","新潟県","公式ウェブサイト","4000020153427","302人/km2","15342-7","新潟市、燕市、長岡市","","","","西蒲原郡","","","",""
"富士吉田市","[富士吉田-富士急ハイランド、富士登山基地。] 富士吉田市 （ふじよしだし）は、 山梨県 東南部の 郡内地方 にある 市 。郡内地方の中心都市である。 国際会議観光都市 に指定されている。","https://ja.wikipedia.org/wiki/富士吉田市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度29分15.1秒東経138度48分27.9秒","日本","〒403-8601山梨県富士吉田市下吉田六丁目1番1号北緯35度29分15.1秒東経138度48分27.9秒﻿ / ﻿北緯35.487528度 東経138.807750度﻿ /35.487528; 138.807750﻿ (富士吉田市)座標:北緯35度29分15.1秒東経138度48分27.9秒﻿ / ﻿北緯35.487528度 東経138.807750度﻿ /35.487528; 138.807750﻿ (富士吉田市)","121.74km2（境界未定部分あり）","中部地方、甲信越地方","46,493人（推計人口、2021年6月1日）","山梨県","公式ウェブサイト","1000020192023","382人/km2","19202-3","都留市、南都留郡西桂町、富士河口湖町、忍野村、鳴沢村、山中湖村静岡県：富士宮市、駿東郡小山町","堀内茂","ふじざくら","しらかば","","","","",""
"河口湖","[河口湖・山中湖（保養・自然） - 避暑地、別荘地、富士五湖の観光。] 河口湖 （かわぐちこ）は、 本州 の中部山梨県、 富士山 の近くに存在する、 富士五湖 の1つに数えられる 相模川 水系の 湖 である。 富士箱根伊豆国立公園 に指定されている。富士五湖の中で最も長い湖岸線を持ち、最も低い標高地点にある。面積は富士五湖では2番目の大きさで、最大水深は 精進湖 とほぼ同じで 14.6m の深さ。","https://ja.wikipedia.org/wiki/河口湖","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度31分4秒東経138度45分22秒","","山梨県南都留郡富士河口湖町","5.48km2","","","","","","","","","","","","","","","",""
"北杜市","[北杜市（保養・自然・文化） -清里（避暑地、別荘地）、八ヶ岳、甲斐駒ヶ岳、各種美術館。] 北杜市 （ほくとし）は、 山梨県 北西部の国中地方に位置する 市 である。山梨県内の自治体として最も大きく、最北端にあたる。","https://ja.wikipedia.org/wiki/北杜市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度46分35.3秒東経138度25分25.1秒","日本","〒408-0188山梨県北杜市須玉町大豆生田961番地1北緯35度46分35.3秒東経138度25分25.1秒﻿ / ﻿北緯35.776472度 東経138.423639度﻿ /35.776472; 138.423639﻿ (北杜市)座標:北緯35度46分35.3秒東経138度25分25.1秒﻿ / ﻿北緯35.776472度 東経138.423639度﻿ /35.776472; 138.423639﻿ (北杜市)","602.48km2","中部地方、甲信越地方","43,406人（推計人口、2021年6月1日）","山梨県","北杜市","7000020192091","72人/km2","19209-1","甲府市、韮崎市、南アルプス市、甲斐市長野県：茅野市、伊那市、南佐久郡川上村、南牧村、諏訪郡富士見町、原村","上村英司","ヒマワリ","アカマツ","","","","",""
"甲府市","[甲府市（保養・自然・文化） -昇仙峡や信玄の湯 湯村温泉、武田神社や甲府城址などの遺構や山梨県立美術館や山梨県立文学館などの文化施設。信玄公祭りなどの各種イベント。] 甲府市 （こうふし）は、 山梨県 の 国中地方 に位置する 市 。山梨県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/甲府市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度39分43.7秒東経138度34分5.6秒","日本","〒400-8585山梨県甲府市丸の内1丁目18番1号北緯35度39分43.7秒東経138度34分5.6秒﻿ / ﻿北緯35.662139度 東経138.568222度﻿ /35.662139; 138.568222﻿ (甲府市)座標:北緯35度39分43.7秒東経138度34分5.6秒﻿ / ﻿北緯35.662139度 東経138.568222度﻿ /35.662139; 138.568222﻿ (甲府市)","212.47km2","中部地方、甲信越地方","186,959人（推計人口、2021年6月1日）","山梨県","公式ウェブサイト","1000020192015","880人/km2","19201-5","甲斐市、山梨市、笛吹市、北杜市、中央市、中巨摩郡昭和町、南都留郡富士河口湖町、西八代郡市川三郷町、南巨摩郡身延町長野県南佐久郡川上村","樋口雄一","ナデシコ","カシ","","","","","カワセミ"
"笛吹市","[笛吹市（保養・文化） -石和温泉をはじめとする温泉街や山梨県立博物館、ブドウやモモなどのフルーツ狩り場が多くある。] 笛吹市 （ふえふきし）は、 山梨県 にある 市 。 国中地方 に含まれ、 甲府盆地 の東寄りに位置する  。2006年度のモモ収穫量は22,900トン、ぶどう収穫量は14,400トンであり、いずれも自治体別では全国1位だった。このことから、2005年（平成17年）10月12日には「 桃 ・ ぶどう 日本一の郷」を  、2013年（平成25年）4月には「日本一 桃源郷 」を宣言している  。","https://ja.wikipedia.org/wiki/笛吹市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度38分50.3秒東経138度38分23秒","日本","〒406-8510山梨県笛吹市石和町市部777番地北緯35度38分50.3秒東経138度38分23秒﻿ / ﻿北緯35.647306度 東経138.63972度﻿ /35.647306; 138.63972﻿ (笛吹市)座標:北緯35度38分50.3秒東経138度38分23秒﻿ / ﻿北緯35.647306度 東経138.63972度﻿ /35.647306; 138.63972﻿ (笛吹市)笛吹市役所本庁舎（2014年3月撮影）","201.92km2","中部地方、甲信越地方","67,326人（推計人口、2021年6月1日）","山梨県","公式ウェブサイト","3000020192112","333人/km2","19211-2","甲府市、山梨市、大月市、甲州市、南都留郡富士河口湖町","山下政樹","バラ","モモ","","","","","オオルリ"
"身延町","[身延（保養・文化） -身延山久遠寺（日蓮宗総本山で宿坊や門前町がある）、下部温泉、ゆばや身延饅頭、西嶋和紙などの民芸品が多くある。] 身延町 （みのぶちょう）は、 山梨県 南巨摩郡 の 町 。 国中地方 に含まれる。","https://ja.wikipedia.org/wiki/身延町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度28分2.9秒東経138度26分32.8秒","日本","〒409-3392山梨県南巨摩郡身延町切石350北緯35度28分2.9秒東経138度26分32.8秒﻿ / ﻿北緯35.467472度 東経138.442444度﻿ /35.467472; 138.442444","301.98km2","中部地方、甲信越地方","10,331人（推計人口、2021年6月1日）","山梨県","公式ウェブサイト","9000020193658","34.2人/km2","19365-8","甲府市、西八代郡市川三郷町、南巨摩郡南部町、富士川町、早川町、南都留郡富士河口湖町静岡県：静岡市、富士宮市","","","","南巨摩郡","望月幹也","","",""
"南牧村 (長野県)","[野辺山（自然・保養） -野辺山高原の避暑地。] 南牧村 （みなみまきむら）は、 長野県 南佐久郡 の 村 の一つ。村の集落は 佐久海ノ口駅 周辺の海ノ口地区と、 野辺山高原 の野辺山地区がある。前者は 千曲川 のほとりにあり、後者は 八ヶ岳 の裾野に位置しているため、300m近い標高差がある。村の 幹線 道路である 国道141号線 は、両地区を「市場坂」と呼ばれるカーブの連続する勾配のきつい坂で結んでいる。隣の 川上村 と同様に、 高原野菜 の産地である。","https://ja.wikipedia.org/wiki/南牧村_(長野県)","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度1分15秒東経138度29分31.7秒","日本","〒384-1302長野県南佐久郡南牧村海ノ口1051北緯36度1分15秒東経138度29分31.7秒﻿ / ﻿北緯36.02083度 東経138.492139度﻿ /36.02083; 138.492139座標:北緯36度1分15秒東経138度29分31.7秒﻿ / ﻿北緯36.02083度 東経138.492139度﻿ /36.02083; 138.492139","133.09km2","中部地方、甲信越地方、信越地方","3,190人（推計人口、2021年6月1日）","長野県","南牧村ホームページ","3000020203050","24人/km2","20305-0","茅野市、南佐久郡小海町、川上村、南相木村山梨県北杜市","","","","南佐久郡","","","",""
"小諸市","[小諸（歴史遺産・文化） -小諸城（懐古園）、島崎藤村関係。] 小諸市 （こもろし）は、 長野県 東部に位置する 市 。 江戸時代 は 小諸藩 の 城下町 であった。","https://ja.wikipedia.org/wiki/小諸市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度19分39秒東経138度25分33秒","日本","〒384-8501長野県小諸市相生町三丁目3番3号北緯36度19分39秒東経138度25分33秒﻿ / ﻿北緯36.32750度 東経138.42583度﻿ /36.32750; 138.42583座標:北緯36度19分39秒東経138度25分33秒﻿ / ﻿北緯36.32750度 東経138.42583度﻿ /36.32750; 138.42583小諸市庁舎","98.55km2","中部地方、甲信越地方、信越地方","41,049人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","9000020202088","417人/km2","20208-8","佐久市、東御市、北佐久郡御代田町群馬県吾妻郡嬬恋村","小泉俊博","コモロスミレ","ウメ","","","","",""
"長野市","[長野（歴史遺産・文化・自然・保養地） -善光寺と門前町、戸隠神社、飯縄高原、松代城址、戸隠スキー場] 長野市 （ながのし）は、 長野県 の 北信地方 に位置する 市 である。長野県の 県庁所在地 でもあり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/長野市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度38分54.9秒東経138度11分39.1秒","日本","〒380-8512長野県長野市大字鶴賀緑町1613番地北緯36度38分54.9秒東経138度11分39.1秒﻿ / ﻿北緯36.648583度 東経138.194194度﻿ /36.648583; 138.194194座標:北緯36度38分54.9秒東経138度11分39.1秒﻿ / ﻿北緯36.648583度 東経138.194194度﻿ /36.648583; 138.194194長野市役所","834.81km2","中部地方、甲信越地方、信越地方","366,603人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","3000020202011","439人/km2","20201-1","須坂市、中野市、千曲市、上田市、大町市、東筑摩郡筑北村、麻績村、生坂村、上水内郡信濃町、飯綱町、小川村、北安曇郡白馬村、小谷村、上高井郡小布施町新潟県妙高市","加藤久雄","リンゴ","シナノキ","","","","",""
"小布施町","[小布施（町並・文化） -葛飾北斎関係、栗菓子。] 小布施町 （おぶせまち）は、 長野県 の北東に位置する 町 。長野県内で最も面積の小さい 自治体 である。","https://ja.wikipedia.org/wiki/小布施町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度41分51秒東経138度18分43.6秒","日本","〒381-0297長野県上高井郡小布施町大字小布施1491番地2北緯36度41分51秒東経138度18分43.6秒﻿ / ﻿北緯36.69750度 東経138.312111度﻿ /36.69750; 138.312111座標:北緯36度41分51秒東経138度18分43.6秒﻿ / ﻿北緯36.69750度 東経138.312111度﻿ /36.69750; 138.312111","19.12km2","中部地方、甲信越地方、信越地方","10,482人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","3000020205419","548人/km2","20541-9","長野市、須坂市、中野市、上高井郡高山村","","","","上高井郡","桜井昌季","クリ","リンゴ",""
"山ノ内町","[山ノ内（自然・レジャー・保養地） -湯田中温泉、志賀高原。] 山ノ内町 （やまのうちまち）は、 長野県 の北東に位置する 町 である。町内の 志賀高原 や 湯田中渋温泉郷 などは 観光地 として有名である。","https://ja.wikipedia.org/wiki/山ノ内町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度44分40.5秒東経138度24分45.7秒","日本","〒381-0498長野県下高井郡山ノ内町平穏3352-1北緯36度44分40.5秒東経138度24分45.7秒﻿ / ﻿北緯36.744583度 東経138.412694度﻿ /36.744583; 138.412694座標:北緯36度44分40.5秒東経138度24分45.7秒﻿ / ﻿北緯36.744583度 東経138.412694度﻿ /36.744583; 138.412694","265.90km2","中部地方、甲信越地方、信越地方","10,959人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","7000020205613","41.2人/km2","20561-3","中野市、上高井郡高山村、下高井郡木島平村、下水内郡栄村群馬県吾妻郡中之条町","","","","下高井郡","竹節義孝","ツガ","リンゴ",""
"飯山市","[飯山・木島平・野沢温泉（町並・文化・農村風景・自然・保養地） -雁木のある町並と寺院群、棚田などの農村風景、映画のロケ地、斑尾高原などのスキー場と避暑地。野沢温泉などの温泉。] 飯山市 （いいやまし）は、 長野県 の北東部にある 市 。","https://ja.wikipedia.org/wiki/飯山市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度51分5.9秒東経138度21分55.9秒","日本","〒389-2292長野県飯山市大字飯山1110-1北緯36度51分5.9秒東経138度21分55.9秒﻿ / ﻿北緯36.851639度 東経138.365528度﻿ /36.851639; 138.365528座標:北緯36度51分5.9秒東経138度21分55.9秒﻿ / ﻿北緯36.851639度 東経138.365528度﻿ /36.851639; 138.365528","202.43km2（境界未定部分あり）","中部地方、甲信越地方、信越地方","19,197人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","4000020202134","94.8人/km2","20213-4","中野市、下高井郡木島平村、野沢温泉村、上水内郡信濃町、下水内郡栄村新潟県：妙高市、上越市","足立正則","ユキツバキ","ブナ","","","","",""
"信濃町 (代表的なトピック)","[信濃町（自然・保養・文化） -野尻湖、黒姫高原、小林一茶関係。] 信濃町 （しなのまち）は、 長野県 上水内郡 の 町 。 新潟県 に接する。 野尻湖 や 黒姫高原 、 小林一茶 生誕地として知られる。","https://ja.wikipedia.org/wiki/信濃町_(代表的なトピック)","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度48分22.7秒東経138度12分25.3秒","日本","〒389-1305長野県上水内郡信濃町大字柏原428-2北緯36度48分22.7秒東経138度12分25.3秒﻿ / ﻿北緯36.806306度 東経138.207028度﻿ /36.806306; 138.207028座標:北緯36度48分22.7秒東経138度12分25.3秒﻿ / ﻿北緯36.806306度 東経138.207028度﻿ /36.806306; 138.207028","149.30km2","中部地方、甲信越地方、信越地方","7,464人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","9000020205834","50人/km2","20583-4","飯山市、長野市、上水内郡飯綱町新潟県：妙高市","","","","上水内郡","横川正知","オオヤマザクラ","コスモス",""
