"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"大堤権現塚古墳","[大堤権現塚古墳（山武市、県史跡）] 本古墳は前方部を南側に向け後円部を北側に向けた墳丘長115 メートル の 前方後円墳 である。前方部最大幅53メートル、くびれ幅約47メートル、後円部径60メートルの規模を持ち、墳丘の高さは前方部約10メートル、後円部は約12メートルで、前方部と後円部の比高差は2メートルほどある。墳丘の周りを盾形に巡る三重の周溝を持ち、周溝を含めた規模は全長174メートルで、前方部側最大幅104メートル、後円部側最大幅113メートルを測る。","https://ja.wikipedia.org/wiki/大堤権現塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度38分03秒東経140度26分56秒","千葉県山武市松尾町大堤482","北緯35度38分03秒東経140度26分56秒﻿ / ﻿北緯35.63417度 東経140.44889度﻿ /35.63417; 140.44889","6世紀末～7世紀初頭","全長174m（周溝を含む）","前方後円墳","1990年（平成2年）3月16日・千葉県指定","頭椎大刀、圭頭大刀等","大堤権現塚古墳","横穴式石室","大堤古墳群","","","","","","","","",""
"山室姫塚古墳","[山室姫塚古墳（山武市、県史跡）] 九十九里平野 中央を流れる 木戸川 中流西岸標高33メートルの 台地 上に立地し、他に16基の古墳があり大塚古墳群と呼ばれる。本古墳は台地先端に位置する大塚古墳群の1号墳であり、墳丘径64～66メートル、高さ9メートルを測る千葉県では最大の 円墳 である。木戸川上流東岸に位置する 小池 ・ 芝山古墳群 や、下流東岸に位置する 大堤 ・ 蕪木古墳群 が 前方後円墳 を主とする 古墳群 であるのに対し、この大塚古墳群はすべて円墳で構成されており、本古墳と墳丘径29メートルの2号墳以外は径20メートル前後の小型円墳である。","https://ja.wikipedia.org/wiki/山室姫塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度40分5秒東経140度25分13秒","千葉県山武市松尾町山室914-2","北緯35度40分5秒東経140度25分13秒﻿ / ﻿北緯35.66806度 東経140.42028度﻿ /35.66806; 140.42028座標:北緯35度40分5秒東経140度25分13秒﻿ / ﻿北緯35.66806度 東経140.42028度﻿ /35.66806; 140.42028","7世紀","墳丘径64～66m","円墳","1992年（平成4年）千葉県指定","","山室姫塚古墳千葉県内の位置","","大塚古墳群","","","","","","","","",""
"蕪木古墳群","[蕪木古墳群（山武市松尾町）] 蕪木古墳群は、南 房総 から続く 房総台地 の東端にあたる山武市松尾町蕪木の 標高 40 メートル の 台地 上に築かれた古墳群であり、 前方後円墳 4基と 円墳 15基で構成されている。このうちの2個の前方後円墳、1号墳と5号墳の発掘調査が、 1952年 （ 昭和 27年）と 1953年 （昭和28年）に 日本大学 によって行われた。なお、5号墳については日本大学の調査後にも、 1989年 （ 平成 元年）に山武考古学研究所によって墳丘測量と 横穴式石室 の再調査が行われた。また、17号墳と18号墳は 1984年 （昭和59年）土砂採取事業に伴い、調査が行われ後消滅した。","https://ja.wikipedia.org/wiki/蕪木古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度38分30秒東経140度27分6秒","千葉県山武市松尾町蕪木819他","北緯35度38分30秒東経140度27分6秒﻿ / ﻿北緯35.64167度 東経140.45167度﻿ /35.64167; 140.45167","6世紀後半～末","全長76m,47m","前方後円墳,円墳","","須恵器,鉄製直刀,銅製馬具,金銅製巾着形容器,金銅製刀子鞘など（5号墳）","蕪木古墳群","横穴式石室（5号墳）","","","","","","","","","",""
"山武郡","[小池古墳群（山武郡芝山町）小池大塚古墳（山武郡芝山町小池）] 山武郡 （さんぶぐん  ）は、 千葉県 の 郡 。","https://ja.wikipedia.org/wiki/山武郡","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小池大塚古墳","[小池大塚古墳（山武郡芝山町小池）] 本古墳は、 九十九里平野 中央を流れる 木戸川 上流部東岸の 台地 上に存在する 前方後円墳 で、墳丘全長72メートル、後円部径46.5メートル、前方部長35メートル、前方部幅51メートル、くびれ部幅43メートル、後円部高5.2メートル、前方部高5.7メートルを測り、盾形周溝を含めた全長は約90メートルある。 1966年 （ 昭和 41年）に 早稲田大学 考古学研究室によって発掘調査され、 1988年 （昭和63年）には 千葉県教育委員会 による墳丘測量が行われている。","https://ja.wikipedia.org/wiki/小池大塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度41分00秒東経140度25分00秒","千葉県山武郡芝山町小池","北緯35度41分00秒東経140度25分00秒﻿ / ﻿北緯35.68333度 東経140.41667度﻿ /35.68333; 140.41667座標:北緯35度41分00秒東経140度25分00秒﻿ / ﻿北緯35.68333度 東経140.41667度﻿ /35.68333; 140.41667","6世紀末","墳丘全長72m","前方後円墳","","直刀、鉄鏃、鉄釘、ガラス小玉、須恵器、土師器","小池大塚古墳","","","","","","","","","","",""
"山田・宝馬古墳群","[山田・宝馬古墳群（山武郡芝山町山田・宝馬）] 山田・宝馬古墳群は、芝山町の山田・宝馬地区の 栗山川 の支流高谷川と 木戸川 に挟まれた標高40～45メートルの 台地 上に分布する 古墳群 である。","https://ja.wikipedia.org/wiki/山田・宝馬古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度42分32秒東経140度22分58秒","千葉県山武郡芝山町山田・宝馬","北緯35度42分32秒東経140度22分58秒﻿ / ﻿北緯35.70889度 東経140.38278度﻿ /35.70889; 140.38278座標:北緯35度42分32秒東経140度22分58秒﻿ / ﻿北緯35.70889度 東経140.38278度﻿ /35.70889; 140.38278","6世紀","墳丘全長30-40m","前方後円墳","","埴輪","山田・宝馬古墳群","","","","","","","","","","",""
"長柄横穴群","[長柄横穴群（長生郡長柄町、国史跡）] 一宮川上流の丘陵谷地に位置し、 羨道 と 玄室 の間に段差を持つ「高壇式」と呼ばれる形態の横穴墓である  。 副葬品 が発見されていない為、築造年式ははっきりしていないが、7世紀末から8世紀初めと推定されている  。13号墓では鳥などを描いた 線刻壁面 が見つかっている   。","https://ja.wikipedia.org/wiki/長柄横穴群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度25分58.7秒東経140度14分24.9秒","千葉県長生郡長柄町徳増字源六839ほか","北緯35度25分58.7秒東経140度14分24.9秒﻿ / ﻿北緯35.432972度 東経140.240250度﻿ /35.432972; 140.240250座標:北緯35度25分58.7秒東経140度14分24.9秒﻿ / ﻿北緯35.432972度 東経140.240250度﻿ /35.432972; 140.240250","7世紀末から8世紀初め","横穴墓36基","","1995年（平成7年）3月20日国指定","","長柄横穴群千葉県内の位置","","","","","","","","","","",""
"能満寺古墳","[能満寺古墳（長生郡長南町、県史跡）] 標高60メートルの丘陵上、 能満寺 境内に前方部を西に向けて立地する。前方部の未発達な墳形を呈し、周溝は墳丘の周囲を全周せず、後円部前面のごく一部にのみ掘り込まれている  。 埴輪 は見つかっていない。","https://ja.wikipedia.org/wiki/能満寺古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度21分42.7秒東経140度18分16.1秒","千葉県長生郡長南町芝原","北緯35度21分42.7秒東経140度18分16.1秒﻿ / ﻿北緯35.361861度 東経140.304472度﻿ /35.361861; 140.304472座標:北緯35度21分42.7秒東経140度18分16.1秒﻿ / ﻿北緯35.361861度 東経140.304472度﻿ /35.361861; 140.304472","4世紀後半","全長74メートル、高さ7メートル","前方後円墳","1958年（昭和33年）県指定","鏡、武器、装身具、土師器など","能満寺古墳","木炭槨","","","","","","","","","",""
"油殿古墳群","[油殿古墳群（長生郡長南町、県史跡）] 一宮川 の支流・埴生川中流域北岸の独立丘陵上に所在し、 前方後円墳 2基、 円墳 2基から構成される。 1974年 （昭和49年）から翌年に 早稲田大学 による調査が行われた  。","https://ja.wikipedia.org/wiki/油殿古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度22分28.0秒東経140度17分35.5秒","千葉県長生郡長南町豊原","北緯35度22分28.0秒東経140度17分35.5秒﻿ / ﻿北緯35.374444度 東経140.293194度﻿ /35.374444; 140.293194座標:北緯35度22分28.0秒東経140度17分35.5秒﻿ / ﻿北緯35.374444度 東経140.293194度﻿ /35.374444; 140.293194","4世紀末から5世紀","前方後円墳2基、円墳2基","","1977年（昭和52年）3月8日県指定史跡","","油殿古墳群","","","","","","","","","","",""
"祇園・長須賀古墳群","[祇園・長須賀古墳群（木更津市）金鈴塚古墳（木更津市、95メートル、前方後円墳、多種類の副葬品を持った最後の古墳、県史跡）] 祇園・長須賀古墳群は木更津市の小櫃川下流域の 沖積平野 上にある、かつて砂丘であった微高地上を中心に築造された。小櫃川下流域には南北方向に4列の砂丘跡が確認されており、海岸から数えて2列目、3列目、4列目の砂丘跡に古墳が造営された。また4列目の砂丘跡が丘陵部に接続する付近や、 太田山公園 がある丘陵地帯にも古墳が確認されている。古墳群は5世紀半ばから7世紀にかけて造られ、小櫃川流域の首長であった 馬来田国造 が造営したものと考えられている  。","https://ja.wikipedia.org/wiki/祇園・長須賀古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度23分13.5秒東経139度55分58.2秒","千葉県木更津市長須賀、祇園ほか","北緯35度23分13.5秒東経139度55分58.2秒﻿ / ﻿北緯35.387083度 東経139.932833度﻿ /35.387083; 139.932833座標:北緯35度23分13.5秒東経139度55分58.2秒﻿ / ﻿北緯35.387083度 東経139.932833度﻿ /35.387083; 139.932833","5世紀半ばから7世紀","","前方後円墳ほか","","","祇園・長須賀古墳群","","","","","祇園古墳群・木更津古墳群","","","","","",""
"金鈴塚古墳","[金鈴塚古墳（木更津市、95メートル、前方後円墳、多種類の副葬品を持った最後の古墳、県史跡）] 金鈴塚古墳は墳丘の全長約100メートルの前方後円墳である。かつては二子塚古墳と呼ばれていたが、 1950年 に行われた発掘の結果、未盗掘であった横穴式石室内から金製の鈴5つを始めとする多くの貴重な遺物が出土し、金鈴にちなみ金鈴塚古墳と改名された。","https://ja.wikipedia.org/wiki/金鈴塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度23分14秒東経139度55分58秒","千葉県木更津市長須賀","北緯35度23分14秒東経139度55分58秒﻿ / ﻿北緯35.38722度 東経139.93278度﻿ /35.38722; 139.93278","6世紀末 - 7世紀初頭","墳長約100メートル、二重の周濠を含めると全長約140メートル","前方後円墳","県史跡","純金製鈴5、飾大刀17、金銅製馬具、金銅製飾履、金銅製耳輪、琥珀製棗玉、メノウ製勾玉、水晶製切子玉、ガラス玉、鏡、銅鋺、鉄矛、鉄鏃、土師器、須恵器","金鈴塚古墳","無袖式横穴式石室、緑泥片岩製石棺 木棺","","馬来田国造？","","","出土品、石棺は重要文化財に指定","","","","",""
"白旗塚古墳","[白旗塚古墳（足立区、円墳、都史跡）] 江戸時代 後半の『日光道中分間延絵図』  には、甲塚、摺鉢塚とともに二本松塚として示され、名称未記載のものを含むと合計8基の古墳が並ぶ姿が描かれている。このことより、相当数の古墳からなる 伊興古墳群 （または 白旗塚古墳群 とも  ）を構成していたことが推定できる  。その後、土地の開墾や都市開発などに伴って消滅が進み、1964年（昭和39年）の 土地改良事業 による都市開発の過程で他の古墳は全て取り壊され、現存するのは白旗塚古墳のみとなっている。","https://ja.wikipedia.org/wiki/白旗塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度48分4.46秒東経139度47分33.64秒","東京都足立区東伊興","北緯35度48分4.46秒東経139度47分33.64秒﻿ / ﻿北緯35.8012389度 東経139.7926778度﻿ /35.8012389; 139.7926778座標:北緯35度48分4.46秒東経139度47分33.64秒﻿ / ﻿北緯35.8012389度 東経139.7926778度﻿ /35.8012389; 139.7926778","6世紀前半","直径12メートル、高さ2.5メートル","円墳","東京都指定史跡","不明（未調査）","白旗塚古墳都内の所在地","不明","伊興古墳群（白旗塚古墳群）","不明","","","","","","","",""
"摺鉢山古墳","[摺鉢山古墳（台東区、前方後円墳、上野恩賜公園内にある）] 東京都区部 中心部、 武蔵野台地 突端部の上野台地に築造された古墳である。「摺鉢山」の名称は、墳丘の形状がすり鉢を伏せたように見えることによる  。かつては墳丘上に五条天神（ 文明 19年（ 1487年 ）には鎮座）・清水観音堂（ 寛永 8年（ 1631年 ）建立、 元禄 年間（ 1688 - 1703年 ）移転）が所在し  、墳丘は破壊を受けている  。これまでに発掘調査は実施されていない。","https://ja.wikipedia.org/wiki/摺鉢山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度42分49.80秒東経139度46分25.85秒","東京都台東区上野公園（上野恩賜公園内）","北緯35度42分49.80秒東経139度46分25.85秒﻿ / ﻿北緯35.7138333度 東経139.7738472度﻿ /35.7138333; 139.7738472座標:北緯35度42分49.80秒東経139度46分25.85秒﻿ / ﻿北緯35.7138333度 東経139.7738472度﻿ /35.7138333; 139.7738472","","墳丘長70m高さ5m","前方後円墳","なし","埴輪片","摺鉢山古墳","不明","","","","","","","","","",""
"柴又八幡神社古墳","[柴又八幡神社古墳（葛飾区、前方後円墳）] 東京都東部、 江戸川 右岸の微高地上に築造された古墳である。現在は古墳域の大部分が 柴又八幡神社 境内に所在し、墳丘がほぼ失われた埋没古墳であるが、石室が社殿下に復元保存されているほか、 1990年 度（ 平成 2年度）以降の境内の発掘調査で周溝・埴輪等が検出されている  。","https://ja.wikipedia.org/wiki/柴又八幡神社古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度45分29.80秒東経139度52分30.17秒","東京都葛飾区柴又3丁目30-24（柴又八幡神社境内）","北緯35度45分29.80秒東経139度52分30.17秒﻿ / ﻿北緯35.7582778度 東経139.8750472度﻿ /35.7582778; 139.8750472座標:北緯35度45分29.80秒東経139度52分30.17秒﻿ / ﻿北緯35.7582778度 東経139.8750472度﻿ /35.7582778; 139.8750472","6世紀末-7世紀初頭","（推定）墳丘長30m","前方後円墳","葛飾区指定史跡「柴又八幡神社の古墳石室」","人骨・刀子・馬具・埴輪・須恵器・土師器","柴又八幡神社古墳","横穴式石室","","","墳丘は非現存","","出土埴輪（東京都指定文化財）","","","","",""
"稲荷塚古墳","[稲荷塚古墳（多摩市、八角墳、都史跡）] 東京都 指定文化財 （ 史跡 ）に指定されている。","https://ja.wikipedia.org/wiki/稲荷塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度38分18.96秒東経139度26分5秒","東京都多摩市百草1140","北緯35度38分18.96秒東経139度26分5秒﻿ / ﻿北緯35.6386000度 東経139.43472度﻿ /35.6386000; 139.43472","7世紀前半","全長約38m、高さ約4m、周溝幅約2m","八角墳","東京都指定文化財（史跡）","","","","","","","","","","","","",""
"谷沢川","[等々力渓谷横穴群（世田谷区、横穴墓、3号横穴は都史跡）] 水源は東京都世田谷区桜丘四丁目・五丁目付近の 武蔵野台地 上の 湧水 と桜丘三丁目の旧品川用水のかつての吐水跡とされる。ここから南下して上用賀地内の複数の湧水を合わせ、世田谷区中町を経由する。この周辺では水を浸透させにくい粘土質の土壌の上部を流れるため、河川による開析が進んでいない。中町より上流の流路は、 大正 〜 昭和 初期の 玉川全円耕地整理 により直線化されている。途中の 首都高速3号渋谷線 下の田中橋付近から多摩川への合流口までが開渠となっている（上流の世田谷区桜丘三丁目付近にはわずかだが開渠が残っている）。","https://ja.wikipedia.org/wiki/谷沢川#名所・旧跡・施設","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御岳山古墳","[御岳山古墳（世田谷区、帆立貝形古墳、全長54メートル、都史跡）] 御岳山古墳 （みたけさんこふん）は、 東京都 世田谷区 等々力 1丁目にある前方後円墳(帆立貝形古墳)である。 葺石 や 埴輪 などを備えている。都史跡。","https://ja.wikipedia.org/wiki/御岳山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荏原台古墳群","[荏原台古墳群（大田区田園調布から世田谷区野毛にかけて点在する）野毛大塚古墳（世田谷区野毛、玉川野毛公園 帆立貝式古墳、全長82メートル、都史跡）宝莱山古墳（大田区田園調布、多摩川台公園、前方後円墳、全長97メートル、都史跡）亀甲山古墳（大田区田園調布、多摩川台公園、前方後円墳、全長107メートル、国史跡）多摩川台古墳群（大田区田園調布、多摩川台公園、古墳時代後期、 前方後円墳1基と円墳7基とからなる古墳群）浅間神社古墳（大田区田園調布、浅間神社、前方後円墳、社殿が後円部上にある）観音塚古墳（大田区田園調布、東京都最後の前方後円墳、奈良県メスリ山古墳と同じ紡錘車形碧玉製品出土）鵜木大塚古墳（大田区雪谷大塚町、円墳、町名の起源、都旧跡）] 荏原台古墳群 （えばらだいこふんぐん）は、 東京都 にある 古墳 群で、 田園調布 古墳群と野毛古墳群の総称である。","https://ja.wikipedia.org/wiki/荏原台古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野毛大塚古墳","[野毛大塚古墳（世田谷区野毛、玉川野毛公園 帆立貝式古墳、全長82メートル、都史跡）] 世田谷区野毛1丁目の玉川野毛町公園内、 武蔵野台地 上の標高約30-33メートルのところにある  。存在は 江戸時代 後期から知られていて、 東大塚 の名で呼ばれていた  。その後、 上野毛古墳 あるいは 等々力ゴルフリンクス古墳 と呼称された。 丸子川 沿いの 荏原台古墳群 を代表する 古墳 。周辺には多くの古墳が分布している。","https://ja.wikipedia.org/wiki/野毛大塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度36分18.1秒東経139度38分35.1秒","東京都世田谷区野毛1丁目","北緯35度36分18.1秒東経139度38分35.1秒﻿ / ﻿北緯35.605028度 東経139.643083度﻿ /35.605028; 139.643083","5世紀初頭","全長82メートル、後円部直径67メートル、高さ11メートル","帆立貝形古墳","東京都指定史跡「野毛大塚古墳」","短甲、冑、頸甲、肩甲、鉄剣、直刀19振鉄鏃25本以上、鉄製刀子、鉄鎌、内向花文鏡、銅釧、石製模造品19点、竪櫛30点以上、玉類2000点以上、靫ないし矢筒","野毛大塚古墳都内の位置","第1～第3主体部:割竹形木棺を納めた粘土槨第4主体部:箱式石棺","荏原台古墳群","不明","","東大塚、上野毛古墳など","出土品（国の重要文化財）","","","","",""
"宝莱山古墳","[宝莱山古墳（大田区田園調布、多摩川台公園、前方後円墳、全長97メートル、都史跡）] 東京都南部、 武蔵野台地 南西部の 多摩川 左岸の台地縁辺部に築造された大型前方後円墳である。台地上では 荏原台古墳群 （荏原古墳群）の営造が認められており、本古墳は 亀甲山古墳 （国の 史跡 ）とともに荏原台古墳群を代表する。古墳名の「宝萊」は古くから見られる名称になる  。これまでに 1934年 （ 昭和 9年）に土取りで後円部の3分の2が失われ、その際に埋葬施設が露出して副葬品が出土している   。その他の墳丘残存部は良好に遺存しており  、 1995年 （ 平成 7年）には確認調査が実施されている   。","https://ja.wikipedia.org/wiki/宝莱山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度35分35.35秒東経139度39分48.09秒","東京都大田区田園調布4丁目4-1（多摩川台公園内）","北緯35度35分35.35秒東経139度39分48.09秒﻿ / ﻿北緯35.5931528度 東経139.6633583度﻿ /35.5931528; 139.6633583座標:北緯35度35分35.35秒東経139度39分48.09秒﻿ / ﻿北緯35.5931528度 東経139.6633583度﻿ /35.5931528; 139.6633583","4世紀末","墳丘長97.5m高さ11m（後円部）","前方後円墳","東京都指定史跡「宝萊山古墳」","副葬品多数","宝萊山古墳","後円部：粘土槨（前方部にも存在推定）","荏原台古墳群","","","西岡第37号古墳/蓬萊塚/将軍塚/松平氏邸前方後円墳","","","","","",""
"亀甲山古墳","[亀甲山古墳（大田区田園調布、多摩川台公園、前方後円墳、全長107メートル、国史跡）] 東京都南部、 武蔵野台地 南西部の 多摩川 下流域左岸の台地縁辺部に築造された大型前方後円墳である  。台地上では 荏原台古墳群 （荏原古墳群）の営造が認められており、古墳群中最大規模の本古墳は 宝萊山古墳 （東京都指定史跡）とともに荏原台古墳群を代表する。「亀甲山」の古墳名は、横から見た墳形が カメ に擬されたことに由来する  。これまでに後円部墳丘の南端が浄水場建設に伴い削平されているほかには墳丘は良好に遺存し   、考古学的には大田区教育委員会による測量調査が実施されているが、発掘調査は実施されていない。","https://ja.wikipedia.org/wiki/亀甲山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度35分21.40秒東経139度40分1.59秒","東京都大田区田園調布1丁目（多摩川台公園内）","北緯35度35分21.40秒東経139度40分1.59秒﻿ / ﻿北緯35.5892778度 東経139.6671083度﻿ /35.5892778; 139.6671083座標:北緯35度35分21.40秒東経139度40分1.59秒﻿ / ﻿北緯35.5892778度 東経139.6671083度﻿ /35.5892778; 139.6671083","4世紀末-5世紀初頭","墳丘長107.25m高さ10m（後円部）","前方後円墳","国の史跡「亀甲山古墳」","","亀甲山古墳都内の位置","不明","荏原台古墳群","","","西岡第46号古墳","","","","","",""
"荏原台古墳群","[多摩川台古墳群（大田区田園調布、多摩川台公園、古墳時代後期、 前方後円墳1基と円墳7基とからなる古墳群）] 荏原台古墳群 （えばらだいこふんぐん）は、 東京都 にある 古墳 群で、 田園調布 古墳群と野毛古墳群の総称である。","https://ja.wikipedia.org/wiki/荏原台古墳群#多摩川台古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩川浅間神社","[浅間神社古墳（大田区田園調布、浅間神社、前方後円墳、社殿が後円部上にある）] 全国にある 浅間神社 の一社。本殿の建築様式は 浅間造 であり、これは東京都内では唯一  。社殿は浅間神社古墳の上に建てられており、間に 東急東横線 を挟んで 多摩川台公園 の 舌状台地 に連なる。社殿までの参道は多数の溶岩が置かれ、 富士塚 のように富士登山を模している。","https://ja.wikipedia.org/wiki/多摩川浅間神社","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度35分14.5秒東経139度40分7.1秒","東京都大田区田園調布1-55-12","北緯35度35分14.5秒東経139度40分7.1秒﻿ / ﻿北緯35.587361度 東経139.668639度﻿ /35.587361; 139.668639﻿ (多摩川浅間神社)座標:北緯35度35分14.5秒東経139度40分7.1秒﻿ / ﻿北緯35.587361度 東経139.668639度﻿ /35.587361; 139.668639﻿ (多摩川浅間神社)","","","","","","浅間神社","","","","","多摩川浅間神社","","","","","",""
"荏原台古墳群","[観音塚古墳（大田区田園調布、東京都最後の前方後円墳、奈良県メスリ山古墳と同じ紡錘車形碧玉製品出土）] 荏原台古墳群 （えばらだいこふんぐん）は、 東京都 にある 古墳 群で、 田園調布 古墳群と野毛古墳群の総称である。","https://ja.wikipedia.org/wiki/荏原台古墳群#田園調布古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雪谷大塚町","[鵜木大塚古墳（大田区雪谷大塚町、円墳、町名の起源、都旧跡）] 大田区の北西部に位置する。北部は 世田谷区 東玉川 ・大田区 石川町 に接する。東部から南部は 中原街道 に接し、これを境に大田区 南雪谷 に接する。西部は環八通り（ 東京都道311号環状八号線 ）に接しこれを境に、大田区 田園調布 に接する。町域内を中原街道を始点として 自由通り が南北に通っている。","https://ja.wikipedia.org/wiki/雪谷大塚町#史跡","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度35分28.85秒 東経139度40分45.08秒","","","","","","","","","","","","","","","","日本","東京都","",""
"芝丸山古墳","[芝丸山古墳（港区、全長125メートルの前方後円墳、都史跡）] 芝公園が所在する標高約16メートルの 台地 先端部に位置し、前方部を南南西に向ける前方後円墳である。","https://ja.wikipedia.org/wiki/芝丸山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度39分16.65秒東経139度44分53.07秒","東京都港区芝公園4-8","北緯35度39分16.65秒東経139度44分53.07秒﻿ / ﻿北緯35.6546250度 東経139.7480750度﻿ /35.6546250; 139.7480750","5世紀","墳丘長125メートル、または106メートル","前方後円墳","東京都指定史跡「芝丸山古墳」","埴輪?・須恵器?","芝丸山古墳都内の位置","不明","","","","","","","","","",""
"武蔵府中熊野神社古墳","[武蔵府中熊野神社古墳（府中市、上円下方墳、国史跡）] 武蔵府中熊野神社古墳はその名の通り、府中市（旧名：車戸村）にある熊野神社の本殿北側にある。 神社 の境内にある小山が 古墳 であるという説自体は以前から存在し、地元では 関東大震災 の時に墳丘の一部が崩壊するまで 石室 の中に入れたとの言い伝えがある。穴に入ることができたことから、神社の敷地内にある小山のことを洞穴（ほらあな）と呼んでいたが  、最近まで古墳であるかどうかの確証がつかめなかった。","https://ja.wikipedia.org/wiki/武蔵府中熊野神社古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度40分30秒東経139度27分25秒","東京都府中市西府町","北緯35度40分30秒東経139度27分25秒﻿ / ﻿北緯35.67500度 東経139.45694度﻿ /35.67500; 139.45694座標:北緯35度40分30秒東経139度27分25秒﻿ / ﻿北緯35.67500度 東経139.45694度﻿ /35.67500; 139.45694","7世紀中頃～後半","第一段一辺32m　高さ0.5m、第二段一辺23m　高さ2.2m、第三段直径16m、高さ2.1m","上円下方墳","国の史跡（2005年7月14日）","鉄地銀象嵌鞘尻金具1点、刀子4点、鉄釘多数、ガラス玉6点","武蔵府中熊野神社古墳","複室構造横穴式石室、絹布で覆った木棺","","","","","","","","","",""
"北大谷古墳","[北大谷古墳（八王子市、墳形不明、都旧跡）] 北大谷古墳は、JR 八王子駅 の北北東約2キロメートル、 中央自動車道 八王子インターチェンジ の南約440メートルの、 多摩丘陵 の丘陵地南側の緩斜面にある。 標高 は約140メートル。","https://ja.wikipedia.org/wiki/北大谷古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度40分21.4秒東経139度20分54.7秒","東京都八王子市大谷町","北緯35度40分21.4秒東経139度20分54.7秒﻿ / ﻿北緯35.672611度 東経139.348528度﻿ /35.672611; 139.348528","7世紀前半","直径ないし一辺39m、高さ2.1m","円墳ないし方墳","東京都旧跡","土師器","北大谷古墳","複室構造横穴式石室","","","","","","","","","",""
