"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"大島空港","[大島空港〔東京都大島町〕] 伊豆大島北部の元町に位置する。滑走路は ジェット機 （小型）の離着陸にも対応している。","https://ja.wikipedia.org/wiki/大島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度46分55秒東経139度21分37秒","東京都大島町元町字北の山270番地","商業","日本","東京都港湾局","37.8m(124ft)","03/21","","大島空港","","","","","","大島町","","","","",""
"新島空港","[新島空港〔東京都新島村〕] 新島空港 （にいじまくうこう、Niijima Airport）は、 東京都 新島村 （ 新島 ）にある 空港 。東京都営空港の一つ。 空港法 の分類では 地方管理空港 （旧 空港整備法 の分類では 第三種空港 ）。","https://ja.wikipedia.org/wiki/新島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度22分10秒東経139度16分06秒","東京都新島村","商業","日本","東京都港湾局","28.6m(93.8ft)","11/29","","新島空港","","","","","","","","","","",""
"神津島空港","[神津島空港〔東京都神津島村〕] 神津島空港 （こうづしまくうこう、Kouzushima Airport）は、 東京都 神津島村 （ 神津島 ）に所在する 地方管理空港 である。","https://ja.wikipedia.org/wiki/神津島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度11分10秒東経139度08分12秒","東京都神津島村","商業","日本","東京都港湾局","138.4m(454.1ft)","11/29","","神津島空港","","","","","","","","","","",""
"三宅島空港","[三宅島空港〔東京都三宅村〕] 三宅島空港 （みやけじまくうこう Miyakejima Airport ）は、 東京都 三宅村 （ 三宅島 ）にあり、東京都港湾局が運営する 地方管理空港 。","https://ja.wikipedia.org/wiki/三宅島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度04分25秒東経139度33分37秒","東京都三宅村","商業","日本","東京都港湾局","19.9m(65.3ft)","02/20","","三宅島空港","","","","","","","","","","",""
"八丈島空港","[八丈島空港〔東京都八丈町〕] 1927年（昭和2年）に旧海軍飛行場として誕生。戦後、八丈島三根出身の実業家、小宮山源一が、旧海軍の飛行場に更に400mを増強、1954年（昭和29年）に運営は村営とした。1962年（昭和37年）、滑走路1,200ｍで供用開始  。 《1972年（昭和47年）、1500mに延長　1982年（昭和57年）、1800mに延長　2004年（平成16年）、2000mに延長》","https://ja.wikipedia.org/wiki/八丈島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度06分54秒東経139度47分09秒","東京都八丈町","商業","日本","東京都港湾局","92m(303ft)","08/26","8:00 - 18:00","八丈島空港ビル","","","","","","","","","","",""
"新潟空港","[新潟空港〔新潟県新潟市東区〕] 新潟空港 （にいがたくうこう）は、 新潟県 新潟市 東区 にある 国管理空港  。","https://ja.wikipedia.org/wiki/新潟空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度57分21秒東経139度07分14秒","新潟県新潟市東区","商業","日本","国土交通大臣","9m(29ft)","04/22","7:30 - 21:30 (JST)","新潟空港","","","993,980人","454t","","","13,372","","","",""
"佐渡空港","[佐渡空港〔新潟県佐渡市〕※定期便は設定されていない。] 佐渡島北東部の 国仲平野 に位置し、佐渡市の中心部からは南西約4kmの地点にある。北方には標高1,172mの北金山を頂点とする大佐渡連峰、南方には標高645m級の小佐渡連山を眺望することができる。","https://ja.wikipedia.org/wiki/佐渡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度03分36秒東経138度24分50秒","新潟県佐渡市","商業","日本","新潟県","27m(88ft)","10/28","8:45 - 17:15","","","","","","","","","","","",""
"富山空港","[富山空港（富山きときと空港）〔富山県富山市〕] 富山県富山市中心部の南約7 キロメートル に位置する  。 立山黒部アルペンルート 、世界遺産 五箇山 に最も近い国際空港。富山市街地や 富山IC 、 国道41号 から近くアクセスの利便性が高いため、富山県民のみならず、近隣の 新潟県 上越地方  、 岐阜県 飛騨地方 などからも利用しやすい空港である。 制限表面 は外側水平表面（ 航空法 ：半径24km以下、高さ295m）や円錐表面（半径16.5km以下）が設定されておらず、水平表面（半径4km以下、高さ45m）が半径3kmで設定されている  。このため、近接しながらも市街地でのビル建設には影響を与えていない。","https://ja.wikipedia.org/wiki/富山空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度38分54秒東経137度11分15秒","富山県富山市","商業","日本","","23.6m(77ft)","02/20","7:00 - 21:30","富山きときと空港","","","","","","","","","","",""
"小松飛行場","[小松飛行場（小松空港）〔石川県小松市〕] この節には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/小松飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度23分38秒東経136度24分27秒","石川県小松市","軍民共用","日本","航空自衛隊","6m(18ft)","06/24","","小松空港公式サイト航空自衛隊 小松基地","","","","","防衛省","金沢市・福井市","","第6航空団飛行教導群小松救難隊石川県消防防災航空隊","","",""
"能登空港","[能登空港（のと里山空港）〔石川県輪島市・鳳珠郡穴水町・鳳珠郡能登町〕] また、 空港ターミナルビル や駐車場などの施設を共用している 道の駅のと里山空港 についても本項で述べる。","https://ja.wikipedia.org/wiki/能登空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度17分36秒東経136度57分44秒","石川県輪島市","商業","日本","石川県","219m(720ft)","07/25","8:00 - 19:30","https://www.noto-airport.jp/","","","","","","","","","","",""
"福井空港","[福井空港〔福井県坂井市〕 ※定期便は設定されていない。] 福井空港 （ふくいくうこう、 英語 :Fukui Airport）は、 福井県 坂井市 春江町 江留中にある 地方管理空港 である。","https://ja.wikipedia.org/wiki/福井空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度8分34秒東経136度13分26秒","福井県坂井市","商業","日本","福井県","5.4m(18ft)","18/36","9:00 - 17:00","福井空港事務所","","1966年","","","","","","","","",""
"松本空港","[松本空港（信州まつもと空港）〔長野県松本市・塩尻市〕] 長野県のほぼ中央、松本市中心部から南西約9キロメートル、塩尻市中心部から北西約6キロメートルに位置する。 空港法 第5条第1項に基づく地方管理空港で、長野県が設置・管理している   。定期便は国内線のみで、国際線は就航していない。日本の空港の中で最も 標高 の高い場所（657.5m）にある   ため、平地の空港よりも、就航できる機材や就航先が制約される状況にある。また、高い山岳に囲まれていることにより 計器着陸装置 （ILS）の効果がないため、日本の1,500m以上の 滑走路 を持つ ジェット 化空港としては唯一設置されていない。 パイロット は目視のみで着陸するため「日本一着陸の難しい空港」とも言われる  。日本の空港では唯一の、 内陸 県に位置する空港である  。","https://ja.wikipedia.org/wiki/松本空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度10分0秒東経137度55分22秒","長野県松本市・塩尻市","商業","日本","長野県","657.5m(2157.2ft)","18/36","8:30 - 17:00","http://www.matsumoto-airport.co.jp/","59ha","1965年7月16日","","","","","","","","",""
"静岡空港","[静岡空港（富士山静岡空港）〔静岡県島田市・牧之原市〕] 静岡県を代表する名所である「 富士山 」からとり、 富士山静岡空港 という愛称がつけられている。","https://ja.wikipedia.org/wiki/静岡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度47分46秒東経138度11分22秒","静岡県牧之原市・島田市","商業","日本","静岡県","132m(433ft)","12/30","7:30 - 22:00","富士山静岡空港","","","","","","","","","","",""
"名古屋飛行場","[名古屋飛行場（名古屋空港、小牧空港、県営名古屋空港）〔愛知県春日井市・小牧市・西春日井郡豊山町・名古屋市北区〕] 名古屋市 の中心から北へおよそ15 kmの 濃尾平野 北東部に位置しており、行政区分上では 西春日井郡 豊山町 、 小牧市 、 春日井市 、 名古屋市 （ 北区 ）の3市1町にまたがっている。 航空自衛隊 小牧基地 に隣接しており、滑走路を共有しているが、防衛省設置管理の共用飛行場ではなく 愛知県 が管理する。 管制 業務は、 飛行場管制 業務と 着陸誘導管制 業務を 航空自衛隊 小牧管制隊が実施しており、 進入管制業務とターミナルレーダー管制業務 については、 中部国際空港 （常滑市）にある 国土交通省 大阪航空局 中部空港事務所が広域管制によって実施している。","https://ja.wikipedia.org/wiki/名古屋飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度15分18秒東経136度55分28秒","愛知県西春日井郡豊山町、小牧市、春日井市、名古屋市","公共","日本","愛知県","14m(45.9ft)","16/34","7:00 - 22:00","県営名古屋空港","","","","","","名古屋市","","","","",""
"中部国際空港","[中部国際空港（セントレア）〔愛知県常滑市〕] 愛知県 名古屋市 の中心部から南へ約35km、 知多半島 の愛知県常滑市の沖合約1.5kmの 伊勢湾 海上の人工島に位置し、24時間運用可能な長さ3,500mの滑走路を有する、 関西国際空港 に次ぐ国内第2の海上 国際空港 として 2005年 2月17日 に開港した。 成田国際空港 、 東京国際空港 、関西国際空港とともに国際航空路線に必要な国際 拠点空港 としてその航空需要を担うことを国の航空政策上位置づけられている    。","https://ja.wikipedia.org/wiki/中部国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度51分30秒東経136度48分19秒","愛知県常滑市","商業","日本","中部国際空港株式会社","3.7m(12.1ft)","18/36","24時間","中部国際空港 セントレア","471.3ha","2005年2月17日","12,257,342人","176,722t","","名古屋市","106,008回","","","",""
"大阪国際空港","[大阪国際空港（伊丹空港）〔兵庫県伊丹市・大阪府池田市・豊中市〕] 大阪国際空港 （おおさかこくさいくうこう、 英 ：Osaka International Airport）は、 大阪府 豊中市 、同府 池田市 、 兵庫県 伊丹市 にまたがる 会社管理空港 である。 大阪空港 （おおさかくうこう）あるいは 伊丹空港 （いたみくうこう、 英 ：Itami Airport）の通称でも知られる。かつては名実ともに 国際空港 であったが、現在は日本の国内線の 拠点空港 （基幹空港）として運用されている。近隣の 関西国際空港 、 神戸空港 とともに 関西三空港 のひとつである。空港運営は 関西エアポート が実施している。","https://ja.wikipedia.org/wiki/大阪国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度47分04秒東経135度26分21秒","大阪府豊中市大阪府池田市兵庫県伊丹市","商業","日本","関西エアポート株式会社","12m(39ft)","14L/32R","7:00 - 21:00","大阪国際空港（伊丹空港）","311.9ha","","","","","大阪市","","","","",""
"関西国際空港","[関西国際空港（関西空港、関空）〔大阪府泉佐野市・泉南郡田尻町・泉南市〕] 1994年 9月4日 開港。 大阪湾 内 泉州 沖5kmの埋立地（ 泉南郡 田尻町 ・ 泉佐野市 ・ 泉南市 にまたがる  ）にある世界で初めての完全人工島からなる 海上空港 である（ #空港島 を参照）。通称・略称は、 関西空港 （かんさいくうこう）あるいは 関空 （かんくう）、 空港コード KIXから「キックス」と呼ばれることもある    。 空港法 上の 拠点空港 であり、 成田国際空港 、 東京国際空港 （羽田空港）、 中部国際空港 （セントレア）とともに日本を代表する国際空港として 国際拠点空港   のひとつと位置づけられている。 成田国際空港 とともに大都市圏にある国際線専用空港という傾向が強い。「西日本を中心とする国際拠点空港であり、近畿圏の国内線の基幹空港  」と位置づけられており、関西地方の空港で唯一、定期国際線が就航している。また、成田国際空港などと並んで Peach Aviation などの 格安航空会社 （LCC）の拠点空港であり、国内やアジア各都市を結んでいる。 航空法 上の 混雑空港 に指定されており、 国際航空運送協会 （IATA）が混雑度レベル2に指定している  。本空港建造事業は 内閣総理大臣顕彰 を授与されており、また、日本国外からも様々な評価を受けている（ #日本国外からの評価 を参照）。","https://ja.wikipedia.org/wiki/関西国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度26分03秒東経135度13分58秒","大阪府泉南郡田尻町泉佐野市泉南市","商業","日本","関西エアポート株式会社","5.30m(17.4ft)","06R/24L","24時間","関西国際空港公式サイト","1,067.7ha","1994年9月4日","28,762,999人","756,771t","","大阪市","196,022回","","","",""
"神戸空港","[神戸空港（マリンエア）〔兵庫県神戸市中央区〕] 大阪市 の西約26キロメートル  、神戸市の中心部、 三宮 の南約8キロメートルに位置する 地方管理空港 。 関西国際空港 ・ 大阪国際空港 （伊丹空港）とともに、 関西三空港 のひとつに数えられる。海上都市 ポートアイランド の沖合約1キロメートルに造成された 人工島 の神戸空港島に建設され、 2006年 2月16日 に開港  。神戸市が設置・管理し、市営空港としては 旭川空港 ・ 帯広空港 に次いで国内3番目、旧 第三種空港 の中では、市が初めて建設から運営までを手がけた空港である。","https://ja.wikipedia.org/wiki/神戸空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度37分58秒東経135度13分26秒","兵庫県神戸市中央区神戸空港","商業","日本","関西エアポート神戸","5.486m(18ft)","09/27","7:00 - 23:00","www.kairport.co.jpwww.kairport.co.jp/eng/index.html（英語）","156.5ha","2006年2月16日","","","","大阪市","","","","",""
"但馬飛行場","[但馬飛行場（コウノトリ但馬空港）〔兵庫県豊岡市〕] 但馬飛行場 （たじまひこうじょう、英語 : Tajima Airfield ）は、 兵庫県 豊岡市 にある 飛行場 。 1994年 （ 平成 6年）5月18日に開港した ","https://ja.wikipedia.org/wiki/但馬飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度30分46秒東経134度47分13秒","兵庫県豊岡市","その他","日本","但馬空港ターミナル株式会社","178m(584ft)","01/19","8:30 - 18:30","但馬空港","","","","","","","","","","",""
"南紀白浜空港","[南紀白浜空港〔和歌山県西牟婁郡白浜町〕] 南紀白浜温泉 の温泉街を含む 白浜町 中心部から、南東に約1.5キロメートルの丘陵地に位置する地方管理空港で、和歌山県が設置・管理する。和歌山県唯一の空港で、 本州 最南端の空港である  。","https://ja.wikipedia.org/wiki/南紀白浜空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度39分44秒東経135度21分52秒","和歌山県西牟婁郡白浜町2926番地","商業","日本","和歌山県","89.4m","15/33","8:30 - 20:00","南紀白浜空港","74.1ha","1968年4月","","","","","","","","",""
"八尾空港","[八尾空港〔大阪府八尾市〕] 大阪市 の 南東 約14km  にある 空港 。定期便の就航はなく、主として航空宣伝・写真測量・操縦訓練などの事業用や自家用の 小型航空機 や ヘリコプター の発着に利用されているほか、 陸上自衛隊 や 消防 ・ 警察 の航空隊が利用している。","https://ja.wikipedia.org/wiki/八尾空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度35分46秒東経135度36分10秒","大阪府八尾市","その他","日本","国土交通大臣","10m","09/27","8:00 - 19:30","八尾空港","69.7ha","","","","","","","","","",""
"鳥取空港","[鳥取空港（鳥取砂丘コナン空港）〔鳥取県鳥取市〕] 鳥取市中心部から北西約7kmの 日本海 、 千代川 、 湖山池 に囲まれた 砂丘 地帯に位置し  、主に鳥取県の東部の空運を担っている。空港法に基づく地方管理空港に区分され、鳥取県が設置・管理。定期旅客便は、国内線のみが発着する。","https://ja.wikipedia.org/wiki/鳥取空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度31分48秒東経134度9分59秒","鳥取県鳥取市","商業","日本","鳥取県","14.7m","10/28","7:00 - 21:30","鳥取砂丘コナン空港","104.9ha","1967年7月31日","","","鳥取県","","","","","",""
"美保飛行場","[美保飛行場（米子空港、米子鬼太郎空港）〔鳥取県境港市〕] 美保飛行場 （みほひこうじょう）は、 鳥取県 境港市 （敷地の一部は 米子市 ）にある 飛行場 （ 空港 ）である。","https://ja.wikipedia.org/wiki/美保飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度29分32秒東経133度14分11秒","鳥取県境港市、米子市","軍民共用","日本","航空自衛隊","6m(20ft)","07/25","7:00 - 22:00","米子鬼太郎空港","","","","","防衛省","","","","1943年","",""
"出雲空港","[出雲空港（出雲縁結び空港）〔島根県出雲市〕] 出雲空港 （いずもくうこう、Izumo Airport）は、 島根県 の 出雲市 にある 地方管理空港 。近くにある 出雲大社 が縁結びの神様であることから「 出雲縁結び空港 」（いずもえんむすびくうこう、Izumo Enmusubi Airport）の愛称がつけられている   。","https://ja.wikipedia.org/wiki/出雲空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度24分53秒東経132度53分10秒","島根県出雲市斐川町沖洲2636番1","商業","日本","島根県","5m(15ft)","07/25","7:30 - 20:30","出雲縁結び空港","57ha","1966年（昭和41年）6月30日","","","","","","","","",""
"石見空港","[石見空港（萩・石見空港）〔島根県益田市〕] 石見空港 （いわみくうこう、英称：Iwami Airport）は、 島根県 益田市 にある 地方管理空港 である。 愛称は 萩・石見空港 （はぎ・いわみくうこう、英称：Hagi-Iwami Airport）。","https://ja.wikipedia.org/wiki/石見空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度40分23秒東経131度47分34秒","島根県益田市","商業","日本","島根県","54m(177ft)","11/29","8:00 - 19:30","萩・石見空港","","1993年7月2日","","","","","","","","",""
"隠岐空港","[隠岐空港（隠岐世界ジオパーク空港）〔島根県隠岐郡隠岐の島町〕] 隠岐空港 （おきくうこう, Oki Airport ）は、 島根県 隠岐郡 隠岐の島町 （ 島後島 ）にある 地方管理空港 。 島前 地域を含めた 隠岐諸島 における唯一の空港である。「 隠岐世界ジオパーク空港 」の愛称がつけられている。","https://ja.wikipedia.org/wiki/隠岐空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度10分52秒東経133度19分29秒","島根県隠岐郡隠岐の島町","商業","日本","島根県","79.9m(262ft)","08/26","9:00 - 17:00","","","","","","","","","","","",""
"岡山空港","[岡山空港（岡山桃太郎空港）〔岡山県岡山市北区〕] 旧岡山空港は岡山市南部にあり、1,200mの滑走路を有していたが、地形的に 滑走路 の延長が困難であった。このため 1988年 に、2,000mの滑走路を有する新空港が北西部の山林を切り開いて建設された  。その後、滑走路は二度に渡って延長され、3,000mの滑走路を有する空港となった。旧岡山空港は 岡南飛行場 へと名前を変更し、 セスナ 機など小型機専用の空港として存続している。","https://ja.wikipedia.org/wiki/岡山空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度45分25秒東経133度51分19秒","岡山県岡山市北区日応寺1277","商業","日本","岡山県","246m(807ft)","07/25","7:00 - 22:00","岡山空港","162ha","1988年3月11日","1,354,510人","4,433t","","","","","","",""
"岡南飛行場","[岡南飛行場〔岡山県岡山市南区〕※定期便は設定されていない。] 岡南飛行場 （こうなんひこうじょう、 Kounan Airport ）は、 岡山県 岡山市 南区 にある、岡山県が設置・管理する 飛行場 である。 旧岡山空港 。","https://ja.wikipedia.org/wiki/岡南飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度35分29秒東経133度56分00秒","岡山県岡山市南区浦安南町640","商業","日本","岡南飛行場管理運用共同事業体","0m(0ft)","09/27","8:30 - 19:30","岡南飛行場管理事務所","","","","","","","","","","",""
"広島空港","[広島空港〔広島県三原市〕] 1993年 （ 平成 5年）10月に開港   。 広島市 中心部から東方50 ㎞ 、三原市 本郷町 善入寺 字 平岩64-31に位置している（ 地図 ）。年間利用客数は、2014年度で国内2,437,574人、国際283,630人  。 中国地方 最大であり、2番目に多い 岡山空港 の約2倍である（→ 中国地方#空港 ）。2006年には ターミナル の旅客処理能力を500万人程度まで高める事業の一環として、 搭乗橋 が新たに追加増設された。","https://ja.wikipedia.org/wiki/広島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度26分10秒東経132度55分10秒","広島県三原市","商業","日本","広島国際空港株式会社","331m(1,086ft)","10/28","7:30 - 22:30","広島空港","197.7ha","1993年10月29日","2,885,054人","20,486t","","","","","","",""
"山口宇部空港","[山口宇部空港〔山口県宇部市〕] 山口宇部空港 （やまぐちうべくうこう Yamaguchi-Ube Airport ）は、 山口県 宇部市 に所在する 特定地方管理空港 である。本州の空港としては最西端に位置する。","https://ja.wikipedia.org/wiki/山口宇部空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度55分48秒東経131度16分43秒","山口県宇部市沖宇部字八王子625-17","商業","日本","山口県","7m(23ft)","07/25","7:30 - 21:30","http://www.yamaguchiube-airport.jp/","155ha","1966年（昭和41年）7月1日","","","","","","","","",""
"岩国飛行場","[岩国飛行場（岩国錦帯橋空港）〔山口県岩国市〕] 本飛行場に関係する周辺対策事業は他の自衛隊・在日米軍施設同様「 防衛施設周辺の生活環境の整備等に関する法律 」を根拠法とし（以下本節で同法と呼ぶ）、旧 防衛施設庁 の主導により下記が実施されてきた  。","https://ja.wikipedia.org/wiki/岩国飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度08分42秒東経132度14分49秒","山口県岩国市","軍民共用","日本","アメリカ海兵隊","3m(10ft)","02/20","","","","","","","","","","","","",""
"徳島飛行場","[徳島飛行場（徳島空港、徳島阿波おどり空港）〔徳島県板野郡松茂町〕] 徳島市 中心部から北東に約9キロメートル  の 紀伊水道 に面した海岸部に位置する。 防衛大臣 が設置管理する 飛行場 で  、 海上自衛隊 が 教育航空集団 の基地を併設して使用する。また、 空港法 に基づく 共用空港 に指定されており、主に国内線の民間航空に使用されている。","https://ja.wikipedia.org/wiki/徳島飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度07分58秒東経134度36分23秒","徳島県板野郡松茂町","軍民共用","日本","海上自衛隊","11.4m(37.4ft)","11/29","7:00 - 21:30","徳島阿波おどり空港","191.1ha","1941年","","","防衛省","徳島市","","","","",""
"高松空港","[高松空港〔香川県高松市〕] 高松市の中心部から南へ約15kmの香南台地に、 1989年 12月 開港  （ #空港移転の経緯 を参照）。標高185mの高台にあるため、 霧 が発生しやすく  、霧による視界不良を原因とした到着便の出発地への引き返しや降着地の変更、およびそれに伴う折り返し便の欠航が年に数回起きる  。","https://ja.wikipedia.org/wiki/高松空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度12分51秒東経134度00分56秒","香川県高松市","商業","日本","高松空港株式会社","185m(607ft)","08/26","7:00 - 22:00","高松空港","153.9ha","","1,761,608人","11.6t","","","","","","",""
"松山空港","[松山空港〔愛媛県松山市〕] 松山市 中心部の西約6キロメートルの 伊予灘 に面した海岸線に位置する。 空港法 に基づく 国管理空港 で、 国土交通大臣 が設置管理する。主に民間航空に利用されており、 中国・四国地方 の空港で旅客数は最多である。","https://ja.wikipedia.org/wiki/松山空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度49分38秒東経132度41分59秒","愛媛県松山市","商業","日本","国土交通大臣","4m","14/32","7:00 - 22:00","松山空港","134.9ha","","","","","","","","","",""
"高知空港","[高知空港（高知龍馬空港）〔高知県南国市〕] 高知市 東方約18kmの 香長平野 の 田園 地帯に位置する空港。空港法に基づき、国土交通大臣が設置・管理する国管理空港に区分される。定期便は国内線のみで、国際線はチャーター便などに限られる。","https://ja.wikipedia.org/wiki/高知空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度32分46秒東経133度40分10秒","高知県南国市","商業","日本","国土交通大臣","8.7m","14/32","7:00 - 21:00","高知龍馬空港","140.7ha","","","","","","","","","",""
"福岡空港","[福岡空港〔福岡県福岡市博多区〕] 福岡市街地から5km以内という至近距離に位置しており、アクセスの良い空港として知られる。1993年に 福岡市地下鉄空港線 が国内線ターミナル直下に乗り入れ、 博多駅 まで約5分、 天神駅 ・ 西鉄福岡（天神）駅 ・まで約11分で結んでいるほか、 福岡都市高速 の ランプ も至近に所在し、 九州自動車道 太宰府インターチェンジ への所要時間は15分から20分程度となっている。新幹線が発着する博多駅に近いため広域のアクセスがよく、九州北部から山口県に渡る広範囲から利用客を集めている。","https://ja.wikipedia.org/wiki/福岡空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度35分04秒東経130度27分06秒","福岡県福岡市博多区","商業","日本","福岡国際空港","9.1m(30ft)","16/34","24時間(但し定期便の運用は通常7:00 - 22:00迄に制限)","福岡空港公式サイト","353ha","1945年","23,979,222人","258,559t","","","89,261回（着陸回数）","","","",""
"北九州空港","[北九州空港〔福岡県北九州市小倉南区・京都郡苅田町〕] 2006年 （平成18年） 3月16日 に開港  。開港時の名称は「新北九州空港」で、 小倉南区 曽根 にあった （旧）北九州空港 （ 1944年 開港）の実質的な移転である（旧空港は開港前日の 3月15日 に運用終了）が、名実ともに「北九州空港」となるのは 2008年 の空港法改正時のことである。空港島は北側が北九州市小倉南区、南側が 京都郡 苅田町 に跨るが、空港施設の大半は北九州市側に位置している。本土とは 地域高規格道路 である 新北九州空港道路 （ 福岡県道245号新北九州空港線 ）で結ばれており、苅田町側からアプローチすることになる。","https://ja.wikipedia.org/wiki/北九州空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度50分44秒東経131度02分06秒","福岡県北九州市小倉南区空港北町","商業","日本","国土交通大臣","6.1m(20ft)","18/36","24時間","北九州空港","","2006年3月16日","","","","","","","","",""
"佐賀空港","[佐賀空港（九州佐賀国際空港）〔佐賀県佐賀市〕] 佐賀県南部の 有明海 に面した干拓地に、 1998年 7月28日 に開港  。 旅客ターミナルビル の住所は佐賀県佐賀市川副町大字犬井道9476番地187。","https://ja.wikipedia.org/wiki/佐賀空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度08分59秒東経130度18分08秒","佐賀県佐賀市川副町大字犬井道","商業","日本","佐賀県","2m(6ft)","11/29","06:30 - 22:0000:30 - 04:30","","","","","","","","","","","",""
"長崎空港","[長崎空港〔長崎県大村市〕] 大村湾 のほぼ中程、海岸から約2kmに浮かぶ箕島（みしま）全域を開発することで、 1975年 5月1日 に世界初の本格的な 海上空港 として開業した  。空港自体が大村湾の沖合に位置するため、対岸への 騒音 による公害は皆無に等しく（ただし、曇天時はやや大きく対岸へ響く事がある）、環境面でも有効な位置関係である。 国土交通省 が設置管理し、ターミナルビルの運営は長崎空港ビルディング株式会社（コーポレートブランド:NABIC（ナビック）、Nagasaki Airport Building International Corporationの略）が行っている。","https://ja.wikipedia.org/wiki/長崎空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯32度55分01秒東経129度54分49秒","長崎県大村市箕島町","商業","日本","国土交通大臣","2.4m(8ft)","14/32","7:00 - 22:00","長崎空港","173.6ha","1975年5月1日","3,269,487人","13,493t","","","","","","",""
"壱岐空港","[壱岐空港〔長崎県壱岐市〕] 福岡市の西北西約70Kmに位置する、 壱岐島 南東部の海岸、筒城浜（つつきはま）近隣に 1966年 開港  。","https://ja.wikipedia.org/wiki/壱岐空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度44分56秒東経129度47分07秒","長崎県壱岐市石田町筒城東触1725","商業","日本","長崎県","16m(53ft)","02/20","8:00 - 18:00","","","","","","","","","","","",""
