"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"上江橋","[上江橋（さいたま市、川越市）- 一般国道にある河川の橋として日本最長。] 上江橋 （かみごうはし）は、 埼玉県 川越市 と さいたま市 西区 に架かり、 荒川 と 入間川 を渡る 国道16号 の密接する2本の道路 橋 。外回り（ 春日部 方面行き）車線が1977年竣工の橋、内回り（川越方面行き）車線が1997年竣工の橋である。「かみえばし」と読むのは誤りである。","https://ja.wikipedia.org/wiki/上江橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度55分01秒 東経139度31分58秒","埼玉県さいたま市・川越市","日本","荒川","1,609.9m","桁橋","10.5 m","1987年 - 1997年","83.0 m","鋼","","","","","","","","","",""
"戸田橋","[戸田橋（戸田市、東京都板橋区）-中山道に架かり長い歴史を持つ。] 戸田橋 （とだばし）は、 東京都 板橋区 舟渡 と 埼玉県 戸田市 堤外の間で 荒川 に架かる 国道17号 （ 中山道 ）の道路 橋 である。橋長519.0メートル、幅員21.0メートル。","https://ja.wikipedia.org/wiki/戸田橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度47分56秒 東経139度41分05秒","","","","","","","","","","","","","","","","","","",""
"幸魂大橋","[幸魂大橋（戸田市、和光市）-荒川に架かる埼玉県を代表する橋の一つ。] 幸魂大橋 （さきたまおおはし）は、 埼玉県 戸田市 美女木 と 和光市 新倉の間で 荒川 ・ 新河岸川 および 荒川第一調節池 （彩湖）に架かる 国道298号 および 東京外環自動車道 の道路 橋 である。 幸魂橋 とも呼ばれる  。","https://ja.wikipedia.org/wiki/幸魂大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度48分30秒 東経139度37分33秒","埼玉県戸田市・和光市","日本","荒川","1,485.9 m","斜張橋","55.4 m","-1992","190.0 m","鋼","","","80.0 m","","","","","","",""
"荒川橋梁 (武蔵野線)","[荒川橋梁（さいたま市、朝霞市） - 河川に架かる橋梁としては在来線最長。] 荒川橋梁 （あらかわきょうりょう）は、 埼玉県 朝霞市 上内間木 を流れる 荒川 と、 荒川第一調節池 に架かる 東日本旅客鉄道 （JR東日本） 武蔵野線 の 鉄道橋 である。 荒川鉄橋 （あらかわてっきょう）とも呼ばれる  。左岸側の河川改修される前の 鴨川 が流れていた旧流路より東側は さいたま市 桜区 大字 田島 の区域に掛かる。","https://ja.wikipedia.org/wiki/荒川橋梁_(武蔵野線)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度49分51.1秒 東経139度36分46.8秒","埼玉県さいたま市-朝霞市間","日本","荒川","1,292 m","ワーレントラス橋","","1968年-1970年","70 m","鋼","","","","","","","","","",""
"荒川橋","[荒川橋（秩父市） - 全国で数少ないブレースドリブ・バランスド構造を持つ。] 荒川橋 （あらかわはし、あらかわばし  ）は 埼玉県 秩父市 荒川日野と同市荒川小野原の間に架かり、 荒川 を渡る 国道140号 の密接する2本の 橋梁 。上り線（熊谷方面）が 1929年 （ 昭和 4年）竣工の2代目の旧橋、下り線（甲府方面）が 1986年 （昭和61年）竣工の3代目の新橋である。","https://ja.wikipedia.org/wiki/荒川橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度57分26.3秒東経139度0分38.6秒","埼玉県秩父市","日本","荒川","159.6 m（3代目）","アーチ橋","","1929年（2代目）1986年（3代目）","99 m（3代目）","鋼","国道140号","道路橋","","","","","","","",""
"雷電廿六木橋","[雷電廿六木橋（秩父市） - 土木学会田中賞を受賞。ループ橋。] 雷電廿六木橋 （らいでんとどろきばし）は、 埼玉県 秩父市 の 国道140号 および 埼玉県道210号中津川三峰口停車場線 にある ループ線 である。 1996年 起工、 1998年 竣工。 1999年 5月に 土木学会田中賞 （作品部門）、 プレストレストコンクリート技術協会 作品賞、同年10月に平成11年度 グッドデザイン賞 を受賞している。また、橋梁工事発注後に意匠設計（外観の検討）をした、当時類を見ない橋梁であり、意匠設計を担当した 大成建設 の技術者が、 日本コンクリート工学協会 賞（作品賞）を当橋梁により受賞している。","https://ja.wikipedia.org/wiki/雷電廿六木橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度57分22秒 東経138度54分12秒","埼玉県秩父市","日本","中津川","345m（大滝大橋）270m（廿六木大橋）","5径間連続ラーメン箱桁橋","","1996年-1998年","125m（大滝大橋）75m（廿六木大橋）","PC","","","","","","","","","",""
"秩父橋","[秩父橋（秩父市） - 同上。旧橋は埼玉県指定有形文化財に指定。] 秩父橋 （ちちぶばし）は、 埼玉県 秩父市 阿保町と同寺尾の間に架かり、 荒川 を渡る 国道299号 および 埼玉県道44号秩父児玉線 の道路 橋 である。現在国道299号が通っている橋は、 1985年 に竣工した3代目で、その下流にある2代目の橋も旧秩父橋として現存している。","https://ja.wikipedia.org/wiki/秩父橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度1分5.2秒東経139度5分9.5秒","埼玉県秩父市","日本","荒川","153.153 m","斜張橋","10.0 m","1980-1985","152.0 m","鋼","","","40 m","","","","","","",""
"秩父公園橋","[秩父公園橋（秩父市） - 同上。2径間の斜張橋としては国内最大級の径間長を持つ。] 埼玉県道208号秩父停車場秩父公園線 （さいたまけんどう208ごう ちちぶていしゃじょうちちぶこうえんせん）は、 埼玉県 秩父市 内に設定されている 県道 である。起点から「秩父駅入口」交差点までの区間は秩父市唯一の4車線の道路となっている。","https://ja.wikipedia.org/wiki/秩父公園橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新都心大橋","[新都心大橋（さいたま市） - 同上。東北本線に架かる跨線橋（陸橋）。] 新都心大橋 （しんとしんおおはし）は、 埼玉県 さいたま市 中央区 新都心 と同市 浦和区 上木崎 の間で 東日本旅客鉄道 （ JR 東日本 ） 東北本線 に架かる、 埼玉県道159号さいたま北袋線 （赤山東通り）の 跨線橋 （ 陸橋 ）である。","https://ja.wikipedia.org/wiki/新都心大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度53分15.2秒 東経139度38分14.4秒","","","","","","","","","","","","","","","","","","",""
"滝岡橋","[滝岡橋（深谷市） - 国登録有形文化財に登録。] 滝岡橋 （たきおかばし）は、 埼玉県 深谷市 岡と同県 本庄市 堀田の間で 小山川 に架かる 橋   。国の 登録有形文化財 。日本の 近代土木遺産 のひとつでもある。","https://ja.wikipedia.org/wiki/滝岡橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度13分28.2秒 東経139度14分4.3秒","","","","","","","","","","","","","","","","","","",""
"寺坂橋","[寺坂橋（本庄市） - 同上。石造充腹式上路単アーチ橋。] 寺坂橋 （てらさかばし）は、 埼玉県 本庄市 中央と同市若泉の間を流れる 元小山川 の旧流路に架かる 橋 。国の 登録有形文化財 。","https://ja.wikipedia.org/wiki/寺坂橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度14分37.3秒 東経139度11分8.3秒","","","","","","","","","","","","","","","","","","",""
"堀切橋 (忍川) (存在しないページ)","[堀切橋（鴻巣市、行田市） - 土木学会選奨土木遺産に認定。]","https://ja.wikipedia.org/w/index.php?title=堀切橋_(忍川)&amp;action=edit&amp;redlink=1","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"倉松落大口逆除","[倉松落大口逆除（春日部市） - 同上。煉瓦造樋管。通称めがね橋。] 倉松落大口逆除 （くらまつおとしおおぐちさかよけ）は 埼玉県 を流れる 旧倉松落 に設けられた 樋門 。 1891年 （ 明治 24年）に水害を防ぐ目的で建設されたが、現在ではその役目を終えて 春日部市 市道の 橋 として利用されており、その形状から「めがね橋」と呼ばれている  。","https://ja.wikipedia.org/wiki/倉松落大口逆除","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度59分15.35秒東経139度45分40.29秒","〒344－0006埼玉県春日部市八丁目","","","","","","","","","","橋梁","","","","1891年6月","1891年3月","","",""
"鴨川 (埼玉県)","[千貫樋（さいたま市） - 同上。煉瓦造樋管。県道の橋梁として供用。] 鴨川 （かもがわ  ）は、 埼玉県 桶川市 および 上尾市 、 さいたま市 、 朝霞市 を流れる 荒川 水系 の 一級河川 である。荒川支流である。","https://ja.wikipedia.org/wiki/鴨川_(埼玉県)#治水","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"玉川橋 (都幾川)","[玉川橋（ときがわ町） - 同上。RC造開腹式上路単アーチ橋。] 玉川橋 （たまがわばし）は、 埼玉県 比企郡 ときがわ町 大字玉川を流れる 都幾川 に架かる 埼玉県道171号ときがわ坂戸線 、および 埼玉県道173号ときがわ熊谷線 の道路 橋 。","https://ja.wikipedia.org/wiki/玉川橋_(都幾川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度0分35秒 東経139度17分41.8秒","","","","","","","","","","","","","","","","","","",""
"飯能市","[名栗川橋（飯能市） - 同上。RC造開腹式上路単アーチ橋。] 飯能市 （はんのうし）は、 埼玉県 の南西部に位置する 市 。","https://ja.wikipedia.org/wiki/飯能市","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度51分20.4秒東経139度19分39.8秒","〒357-8501埼玉県飯能市大字双柳1番地1北緯35度51分20.4秒東経139度19分39.8秒﻿ / ﻿北緯35.855667度 東経139.327722度﻿ /35.855667; 139.327722","日本","","","","","","","","","","","","","","","","",""
"東京ディズニーリゾートの橋","[東京ディズニーリゾートの橋（浦安市）] 東京ディズニーリゾートの橋の一覧 （とうきょうディズニーリゾートのはしのいちらん）は、 東京ディズニーランド(TDL) および 東京ディズニーシー(TDS) にある橋の一覧である。リゾート外にある橋（ 舞浜大橋 など）は除く。","https://ja.wikipedia.org/wiki/東京ディズニーリゾートの橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"美浜大橋","[美浜大橋（千葉市美浜区）] 美浜大橋 （みはまおおはし）は、 千葉県 千葉市 美浜区 の 花見川 河口に架かる 道路橋 である。海浜大通り（市道千葉臨海線）を通す  。","https://ja.wikipedia.org/wiki/美浜大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度37分53秒東経140度2分42秒","美浜区","日本","花見川","","","","","","","","道路橋","","","","","","","",""
"市川橋 (江戸川)","[市川橋（市川市、東京都江戸川区）] 市川橋 （いちかわばし）は、 東京都 江戸川区 北小岩 一丁目と 千葉県 市川市 市川 三丁目の境界線上の 江戸川 に架かる、 国道14号 と 千葉県道・東京都道60号市川四ツ木線 （ 千葉街道 ）の 橋 である。","https://ja.wikipedia.org/wiki/市川橋_(江戸川)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度44分03.1秒 東経139度53分58.2秒","東京都江戸川区-千葉県市川市間","日本","江戸川","399m","連続鋼桁複合橋","上り:17.5m／下り:12.45m","1905年-1927年1963年-1967年","","","","","","","","","","","",""
"大利根橋","[大利根橋（我孫子市） - 利根川に架かる道路橋では最長橋梁。] 大利根橋 （おおとねばし）は、 国道6号 （ 水戸街道 ）の 利根川 に架かる橋である。 千葉県 我孫子市 青山 と 茨城県 取手市 新町 を結ぶ。","https://ja.wikipedia.org/wiki/大利根橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度53分26秒 東経140度03分21秒","","","","","","","","","","","","","","","","","","",""
"小見川大橋","[小見川大橋（香取市、茨城県稲敷市）] 小見川大橋 （おみがわおおはし）は、 千葉県道成田小見川鹿島港線 の 利根川 に架かる ランガー橋 である。","https://ja.wikipedia.org/wiki/小見川大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度51分56秒 東経140度36分51秒","","","","","","","","","","","","","","","","","","",""
"忠敬橋","[忠敬橋（香取市）] 忠敬橋 （ちゅうけいばし）は、 千葉県 香取市 の 小野川 に架かる 千葉県道55号佐原山田線 （香取街道）の 橋 である。","https://ja.wikipedia.org/wiki/忠敬橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度53分20.1秒 東経140度29分52.7秒","","","","","","","","","","","","","","","","","","",""
"手賀大橋","[手賀大橋（我孫子市） -手賀沼を跨いで結ぶ橋。] 手賀大橋 （てがおおはし）は、 千葉県 柏市 箕輪新田 と千葉県 我孫子市 若松 を 手賀沼 を跨いで結ぶ橋である。 千葉県道8号船橋我孫子線 が通る。","https://ja.wikipedia.org/wiki/手賀大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度51分35.7秒 東経140度01分30.3秒","","","","","","","","","","","","","","","","","","",""
"利根かもめ大橋","[利根かもめ大橋（銚子市、茨城県神栖市）] 利根かもめ大橋 （とねかもめおおはし）は、 利根川 に架かる 橋 で、 千葉県 と 茨城県 を結んでいる。橋上は 利根かもめ大橋有料道路 として、 千葉県道路公社 が管理する 有料道路 となっている。","https://ja.wikipedia.org/wiki/利根かもめ大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度46分38秒 東経140度45分21秒","","","","","","","","","","","","","","","","","","",""
"利根川橋梁 (首都圏新都市鉄道つくばエクスプレス)","[利根川橋梁（柏市、茨城県守谷市）-つくばエクスプレスでの最長橋梁。構造は7径間の複線下路式ワーレントラス橋。] 利根川橋梁 （とねがわきょうりょう）は、 首都圏新都市鉄道 つくばエクスプレス の 利根川 に架かる 鉄道橋 で、全長897mの トラス橋 である  。 千葉県 柏市 大青田と 茨城県 守谷市 野木崎 を結ぶ。","https://ja.wikipedia.org/wiki/利根川橋梁_(首都圏新都市鉄道つくばエクスプレス)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度55分41.9秒 東経139度57分51.6秒","","","","","","","","","","","","","","","","","","",""
"成田橋","[成田橋（成田市） - 当時としては世界で4番目の鋼単弦ローゼ橋。] 成田橋 （なりたばし）とは、 千葉県 成田市 にある橋である。 国道51号 の 根木名川 に架かる橋。","https://ja.wikipedia.org/wiki/成田橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度46分51.4秒東経140度19分28.9秒","千葉県成田市東町 - 東和田","日本","根木名川","98.5m","鋼単弦ローゼ橋","25.05m","","","","国道51号","道路橋","","国土交通省関東地方整備局千葉国道事務所","1981年2月","","1979年6月","","",""
"舞浜大橋","[舞浜大橋（浦安市）] 舞浜大橋 （まいはまおおはし）とは、 一級河川 旧江戸川 の下流に架かる 首都高速湾岸線 と 東京湾岸道路 （ 国道357号 ）の 橋 。","https://ja.wikipedia.org/wiki/舞浜大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度38分24.3秒 東経139度52分30.1秒","東京都江戸川区千葉県浦安市","日本","旧江戸川","","","","","","","首都高速湾岸線東京湾岸道路（国道357号）","","","","","","","","",""
"若草大橋","[若草大橋（利根町、千葉県栄町）] 若草大橋有料道路 （わかくさおおはしゆうりょうどうろ）は、 千葉県 印旛郡 栄町 と 茨城県 北相馬郡 利根町 を 利根川 を跨いで結ぶ、 茨城県道路公社 管理の 有料道路 である。","https://ja.wikipedia.org/wiki/若草大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度51分43秒 東経140度12分28秒","","","","","","","","","","","","","","","","","","",""
"水郷大橋","[水郷大橋（香取市、茨城県稲敷市） - 建設省の橋梁で初めて土木学会田中賞を受賞。日本百名橋。] 水郷大橋 （すいごうおおはし）は、 国道51号 の 利根川 に架かる橋長535.25 メートル の 斜張橋 である。 千葉県 香取市 と 茨城県 稲敷市 を結ぶ。","https://ja.wikipedia.org/wiki/水郷大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度54分29秒 東経140度29分27秒","","","","","","","","","","","","","","","","","","",""
"真間の継橋","[真間の継橋（市川市） - 日本百名橋の番外。] 真間の継橋 （ままのつぎはし）は、 千葉県 市川市 にかつて存在した 橋 で、 日本百名橋 （番外）に選定されている。現在は川自体が存在せず、当地には石碑と説明板、橋の欄干を模した記念物が建てられている。","https://ja.wikipedia.org/wiki/真間の継橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度44分16.9秒東経139度54分28.7秒","千葉県市川市","日本","水域なし","","橋に模した記念物","","","","","","","","","","","","","",""
"樋橋","[樋橋（香取市） -日本の音風景100選。] 樋橋 （とよはし）は、 千葉県 香取市 の 小野川 に架かる橋である。 ジャージャー橋 とも呼ばれ、 日本の音風景100選 に選定されている。","https://ja.wikipedia.org/wiki/樋橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"木更津市","[アクアブリッジ（木更津市） -土木学会田中賞を受賞。東京湾アクアラインの橋梁構造。] 木更津市 （きさらづし）は、 千葉県 の中西部に位置する 市 。","https://ja.wikipedia.org/wiki/木更津市","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度22分33.5秒東経139度55分0.6秒","〒292-8501千葉県木更津市富士見一丁目2番1号北緯35度22分33.5秒東経139度55分0.6秒﻿ / ﻿北緯35.375972度 東経139.916833度﻿ /35.375972; 139.916833","日本","","","","","","","","","","","","","","","","",""
"松戸市","[都計道3.4.20架道橋（松戸市） - 同上。北総線の2径間連続鋼鉄道橋。] 松戸市 （まつどし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/松戸市","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度47分15.5秒東経139度54分11.4秒","〒271-8588千葉県松戸市根本387番地5北緯35度47分15.5秒東経139度54分11.4秒﻿ / ﻿北緯35.787639度 東経139.903167度﻿ /35.787639; 139.903167","日本","","","","","","","","","","","","","","","","",""
"21世紀の森と広場","[森の橋・広場の橋（松戸市） - 同上。21世紀の森と広場の中央部を南北に縦断する2つの橋。] 21世紀の森と広場 （にじゅういっせいきのもりとひろば）は、 千葉県 松戸市 にある 公園 。 湿地 帯や 森林 といった、昔からある自然を生かした自然尊重型の「 都市公園 」を理念としてつくられた。オープンは 1993年 4月29日（旧 みどりの日 ）。","https://ja.wikipedia.org/wiki/21世紀の森と広場","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度48分8秒東経139度56分22秒","","","","","","","","","","","","","","","","","","",""
"鋸南町","[汐止橋（鋸南町） -土木学会選奨土木遺産に認定。石積み上路アーチ橋。] 鋸南町 （きょなんまち）は、 千葉県 の南部に位置し、 安房郡 に属する 町 。","https://ja.wikipedia.org/wiki/鋸南町","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度6分40秒東経139度50分8.8秒","〒299-2115千葉県安房郡鋸南町下佐久間3458北緯35度6分40秒東経139度50分8.8秒﻿ / ﻿北緯35.11111度 東経139.835778度﻿ /35.11111; 139.835778座標:北緯35度6分40秒東経139度50分8.8秒﻿ / ﻿北緯35.11111度 東経139.835778度﻿ /35.11111; 139.835778","日本","","","","","","","","","","","","","","","","",""
"眺尾橋","[眺尾橋（南房総市） - 同上。関東地方唯一の3連眼鏡橋。千葉県有形文化財。房総の魅力500選。] 眺尾橋 （ながおばし）は、 千葉県 南房総市 白浜町滝口にある、長尾川に架かる石造アーチ橋である。「 長尾橋 」とも表記され、「 めがね橋 」の名でも呼ばれる。3連の 眼鏡橋 は全国的に見ても数は少なく、 関東地方 ではこの橋だけである。","https://ja.wikipedia.org/wiki/眺尾橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度54分42秒東経139度52分18秒","南房総市白浜町滝口地先","日本","長尾川","28.34m","3連石積み上路アーチ橋（眼鏡橋）","3.94m","1888年","6.95m","石","","","","","","","","","",""
"鴨川市","[山生橋梁（鴨川市） - 同上。鉄道橋では日本初の鉄筋コンクリートＴ型梁形式の橋梁。形式もアーチから桁・梁構造へと進化する記念碑的な意義を持つ。] 鴨川市 （かもがわし）は、 千葉県 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/鴨川市","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度6分50.6秒東経140度5分56.1秒","〒296-8601千葉県鴨川市横渚1450北緯35度6分50.6秒東経140度5分56.1秒﻿ / ﻿北緯35.114056度 東経140.098917度﻿ /35.114056; 140.098917","日本","","","","","","","","","","","","","","","","",""
"八街市","[榎戸新田橋りょう（八街市） - 同上。煉瓦造アーチ橋。] 八街市 （やちまたし）は、 千葉県 の北部に位置する 市 。","https://ja.wikipedia.org/wiki/八街市","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度39分57.2秒東経140度19分4.6秒","〒289-1192千葉県八街市八街ほ35-29北緯35度39分57.2秒東経140度19分4.6秒﻿ / ﻿北緯35.665889度 東経140.317944度﻿ /35.665889; 140.317944","日本","","","","","","","","","","","","","","","","",""
"村田川","[村田川橋りょう（千葉市中央区・市原市） - 同上。] 村田川 （むらたがわ）は、 千葉県 市原市 の北部を流れる 二級河川 である。","https://ja.wikipedia.org/wiki/村田川","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十二橋","[加藤洲十二橋（香取市） -房総の魅力500選（塔・橋・ダム）。水郷十二橋とも。] 十二橋 （じゅうにきょう）は、千葉県と茨城県にまたがる 水郷 エリアにある2つの 十二橋 のことである。近接しているため混同されることもあるが、総称としても使用される。","https://ja.wikipedia.org/wiki/十二橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"銚子大橋","[銚子大橋（銚子市） - 同上。] 銚子大橋 （ちょうしおおはし）は、 一級河川 利根川 の 河口 付近を渡河し 千葉県 銚子市 と 茨城県 神栖市 を結ぶ、 国道124号 の橋梁である。","https://ja.wikipedia.org/wiki/銚子大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度44分17秒東経140度49分27秒","銚子市-神栖市間","日本","利根川","1,209.1 m","斜張橋および箱桁橋","11.0 m（2車線、歩道部を含む）","2005年-2013年","","鋼","","","","","","","","","",""
"中の島 (千葉県)","[中の島大橋（木更津市） - 同上。日本で一番高い歩道橋。] 中の島 （なかのしま）は、 千葉県 木更津市 の 木更津港 に浮かぶ人工島である。","https://ja.wikipedia.org/wiki/中の島_(千葉県)#中の島大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度23分6.2秒東経139度54分41.7秒","日本","","","","","","","","","","","","","","","","","",""
"八千代市","[村上橋・なかよし橋（八千代市） - 同上。] 八千代市 （やちよし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/八千代市","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度43分20.7秒東経140度5分59.6秒","〒276-8501千葉県八千代市大和田新田312番地5北緯35度43分20.7秒東経140度5分59.6秒﻿ / ﻿北緯35.722417度 東経140.099889度﻿ /35.722417; 140.099889","日本","","","","","","","","","","","","","","","","",""
"二重橋","[二重橋（二重橋濠）（千代田区）] 二重橋 （にじゅうばし）は、 東京都 千代田区 千代田 の 皇居 内にある 橋 の 通称 である。正確には皇居正門から長和殿へ向かう途上、二重橋濠に架かる鉄橋のことで、本来の名称は 正門鉄橋 （せいもんてつばし）である。ただし正門鉄橋と正門石橋の二つの総称としても用いられている   。","https://ja.wikipedia.org/wiki/二重橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度40分48秒東経139度45分12秒","千代田区","日本","二重橋濠","","","","","","","","道路橋","","","","1964年6月","","","",""
"日本橋 (東京都中央区の橋)","[日本橋（日本橋川）（中央区）] 日本橋 （にほんばし）は、 東京都 中央区 の 日本橋川 に架かる アーチ橋 。","https://ja.wikipedia.org/wiki/日本橋_(東京都中央区の橋)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度41分1.4秒東経139度46分27.7秒","東京都中央区","日本","日本橋川","49 m","アーチ橋","27.3 m","","","石","国道1号","道路橋","","国土交通省関東地方整備局東京国道事務所","1911年（明治44年）4月3日","1911年（明治44年）","","","",""
"レインボーブリッジ","[レインボーブリッジ（東京湾）（港区）] 「レインボーブリッジ」の名前は「 虹の橋 」という意味で、一般公募により決められた愛称であり、正式名称は「 東京港連絡橋 」である  。","https://ja.wikipedia.org/wiki/レインボーブリッジ","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度38分11秒東経139度45分49秒","東京都港区海岸三丁目 -港区台場一丁目・江東区有明二丁目間","日本","東京港第一航路（東京湾）","798m","吊橋","49m","1987年-1993年","570m","","","","塔高126m、橋げた52m（いずれも海面より）","","","","","","",""
"東京ゲートブリッジ","[東京ゲートブリッジ（東京湾）（江東区）] 建設時は仮称として 東京港臨海大橋 と呼ばれていたが、一般公募の中から「 東京ゲートブリッジ 」の名称が付けられた  。また、 恐竜 が向かい合っているような特異な形状をしている事から 恐竜橋 とも呼ばれる    。","https://ja.wikipedia.org/wiki/東京ゲートブリッジ","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度36分41秒東経139度49分38秒","東京都江東区若洲-中央防波堤外側埋立地","日本","東京港","2,618m","トラス橋","24m（往復4車線・都心側に歩道設置）","2004年 - 2012年","440m","","","","橋梁最上部 87.8m","","","","","","",""
"葛西橋","[葛西橋（荒川）（江東区、江戸川区） 世界初の突桁吊補剛桁式を採用] 葛西橋 （かさいばし）は、 東京都 江東区 東砂 と 江戸川区 西葛西 の間の 荒川 （荒川放水路）および 中川 にかかる 東京都道10号東京浦安線 および 東京都道475号永代葛西橋線 （葛西橋通り）の 橋 である。かつては、葛西地区から江東区に出る手段として利用されて交通渋滞が頻発する橋であったが、 荒川河口橋 の開通後は混雑が緩和してきている  。","https://ja.wikipedia.org/wiki/葛西橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度40分17秒 東経139度50分49秒","","","","","","","","","","","","","","","","","","",""
