"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"西大塚駅","西大塚駅（にしおおつかえき）","https://ja.wikipedia.org/wiki/西大塚駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯38度3分19.5秒東経140度3分52.6秒","フラワー長井線","10.3 km（赤湯起点）","山形鉄道","地上駅","1914年（大正3年）11月15日","山形県東置賜郡川西町大字西大塚北緯38度3分19.5秒東経140度3分52.6秒座標:北緯38度3分19.5秒 東経140度3分52.6秒","1面1線","無人駅","","ニオ←ニヲ","18人/日（降車客含まず）-2017年-","","","","","","","",""
"西大手駅","西大手駅（にしおおてえき）","https://ja.wikipedia.org/wiki/西大手駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度46分0.94秒東経136度7分25.19秒","伊賀線","3.3 km（伊賀上野起点）","伊賀鉄道","地上駅","1916年（大正5年）8月8日","三重県伊賀市上野西大手町北緯34度46分0.94秒東経136度7分25.19秒﻿ / ﻿北緯34.7669278度 東経136.1236639度﻿ /34.7669278; 136.1236639座標:北緯34度46分0.94秒東経136度7分25.19秒﻿ / ﻿北緯34.7669278度 東経136.1236639度﻿ /34.7669278; 136.1236639","1面1線","無人駅","","","107人/日（降車客含まず）-2019年-","","","","","","","",""
"西大橋駅","西大橋駅（にしおおはしえき）","https://ja.wikipedia.org/wiki/西大橋駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度40分31.59秒東経135度29分36.87秒","●長堀鶴見緑地線","2.2 km（大正起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1997年（平成9年）8月29日","大阪市西区新町一丁目28-11北緯34度40分31.59秒東経135度29分36.87秒﻿ / ﻿北緯34.6754417度 東経135.4935750度﻿ /34.6754417; 135.4935750﻿ (西大橋駅)","島式1面2線",""," N14 ","","6,212人/日（降車客含まず）-2020年-","12,880人/日-2020年-","","","","","","",""
"西大原駅","西大原駅（にしおおはらえき）","https://ja.wikipedia.org/wiki/西大原駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度15分37.7秒東経140度22分40.3秒","■いすみ線","1.7 km（大原起点）","いすみ鉄道","地上駅","1960年（昭和35年）6月20日","千葉県いすみ市新田3559北緯35度15分37.7秒東経140度22分40.3秒座標:北緯35度15分37.7秒 東経140度22分40.3秒","1面1線","無人駅","","ニオ","13人/日（降車客含まず）-2018年-","","","","","","","",""
"西大宮駅","西大宮駅（にしおおみやえき）","https://ja.wikipedia.org/wiki/西大宮駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度55分20.27秒東経139度34分47.46秒","■川越線","6.3 km（大宮起点）大崎から武蔵浦和経由で43.2 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","2009年（平成21年）3月14日[2]","さいたま市西区西大宮一丁目21北緯35度55分20.27秒東経139度34分47.46秒﻿ / ﻿北緯35.9222972度 東経139.5798500度﻿ /35.9222972; 139.5798500﻿ (西大宮駅)","2面2線[1]","業務委託駅","","ニミ","11,158人/日（降車客含まず）-2019年-","","","","","","","",""
"西大家駅","西大家駅（にしおおやえき）","https://ja.wikipedia.org/wiki/西大家駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度55分54.28秒東経139度21分23.01秒","■越生線","4.4 km（坂戸起点）","東武鉄道","地上駅","1936年（昭和11年）2月28日","埼玉県坂戸市大字森戸623-7北緯35度55分54.28秒東経139度21分23.01秒﻿ / ﻿北緯35.9317444度 東経139.3563917度﻿ /35.9317444; 139.3563917﻿ (西大家駅)座標:北緯35度55分54.28秒東経139度21分23.01秒﻿ / ﻿北緯35.9317444度 東経139.3563917度﻿ /35.9317444; 139.3563917﻿ (西大家駅)","1面1線","","TJ42","ニオ","","3,981人/日-2019年-","","","","","","",""
"西大山駅","西大山駅（にしおおやまえき）","https://ja.wikipedia.org/wiki/西大山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯31度11分25.05秒東経130度34分35.30秒","指宿枕崎線[1]","56.7 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","地上駅","1960年（昭和35年）3月22日","鹿児島県指宿市山川大山602北緯31度11分25.05秒東経130度34分35.30秒","1面1線","無人駅[1]","","ニオ","44人/日（降車客含まず）-2015年-","99人/日-2015年-","","","","","","",""
"西岡崎駅","西岡崎駅（にしおかざきえき）","https://ja.wikipedia.org/wiki/西岡崎駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度56分48.080秒東経137度7分21.363秒","CA東海道本線（名古屋地区）","330.1 km（東京起点）","東海旅客鉄道（JR東海）","地上駅（橋上駅）","1988年（昭和63年）3月13日","愛知県岡崎市昭和町字北浦48北緯34度56分48.080秒東経137度7分21.363秒","2面2線","駅員無配置駅（自動券売機 有）[1]集中旅客サービスシステム導入駅","CA  53 ","ニオ","1,898人/日（降車客含まず）-2019年-","","","","","","","",""
"西荻窪駅","西荻窪駅（にしおぎくぼえき）","https://ja.wikipedia.org/wiki/西荻窪駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度42分13.8秒東経139度35分57.7秒","■中央線（快速）**（正式には中央本線）","10.3 km（新宿起点）東京から20.6 km","東日本旅客鉄道（JR東日本）","高架駅","1922年（大正11年）7月15日","東京都杉並区西荻南三丁目25-1北緯35度42分13.8秒東経139度35分57.7秒﻿ / ﻿北緯35.703833度 東経139.599361度﻿ /35.703833; 139.599361﻿ (西荻窪駅)","2面4線","みどりの窓口有東京都区内駅","JC10","ニオ←ニヲ","45,712人/日（降車客含まず）-2019年-","","","","","","","",""
"西尾口駅","西尾口駅（にしおぐちえき）","https://ja.wikipedia.org/wiki/西尾口駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度52分14秒東経137度3分45.35秒","西尾線","14.2 km（新安城起点）","名古屋鉄道","高架駅","1930年（昭和5年）4月3日","愛知県西尾市寄住町柴草7 - 3北緯34度52分14秒東経137度3分45.35秒﻿ / ﻿北緯34.87056度 東経137.0625972度﻿ /34.87056; 137.0625972座標:北緯34度52分14秒東経137度3分45.35秒﻿ / ﻿北緯34.87056度 東経137.0625972度﻿ /34.87056; 137.0625972","1面1線","無人駅（駅集中管理システム導入駅）* 1944年碧海西尾口から改称* 1989年高架化","GN  09 ","","","615人/日-2019年-","","","","","","",""
"西帯広駅","西帯広駅（にしおびひろえき）","https://ja.wikipedia.org/wiki/西帯広駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯42度55分26.82秒東経143度7分31.53秒","■根室本線","173.4 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1907年（明治40年）9月8日","北海道帯広市西23条南1丁目北緯42度55分26.82秒東経143度7分31.53秒﻿ / ﻿北緯42.9241167度 東経143.1254250度﻿ /42.9241167; 143.1254250﻿ (西帯広駅)","2面3線","無人駅","○K29","ニヒフシ（改称前）","","588人/日-2014年-","","","","","","",""
"西神楽駅","西神楽駅（にしかぐらえき）","https://ja.wikipedia.org/wiki/西神楽駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度40分55.64秒東経142度23分36.54秒","■富良野線","9.9 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1899年（明治32年）9月1日","北海道旭川市西神楽南1条1丁目北緯43度40分55.64秒東経142度23分36.54秒﻿ / ﻿北緯43.6821222度 東経142.3934833度﻿ /43.6821222; 142.3934833﻿ (西神楽駅)","2面2線","無人駅","○F33","ニカ","","154人/日-2014年-","","","","","","",""
"西掛川駅","西掛川駅（にしかけがわえき）","https://ja.wikipedia.org/wiki/西掛川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度46分19.10秒東経137度59分41.79秒","天竜浜名湖線*","1.8 km（掛川起点）","天竜浜名湖鉄道","地上駅","1954年（昭和29年）10月10日","静岡県掛川市大池934-3北緯34度46分19.10秒東経137度59分41.79秒﻿ / ﻿北緯34.7719722度 東経137.9949417度﻿ /34.7719722; 137.9949417座標:北緯34度46分19.10秒東経137度59分41.79秒﻿ / ﻿北緯34.7719722度 東経137.9949417度﻿ /34.7719722; 137.9949417","1面1線","*1987年まで国鉄二俣線。","","","94人/日（降車客含まず）-2018年-","","","","","","","",""
"西葛西駅","西葛西駅（にしかさいえき）","https://ja.wikipedia.org/wiki/西葛西駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度39分52.5秒東経139度51分33.7秒","●[1]東西線","19.7 km（中野起点）","東京地下鉄（東京メトロ）","高架駅","1979年（昭和54年）10月1日","東京都江戸川区西葛西六丁目14-1北緯35度39分52.5秒東経139度51分33.7秒﻿ / ﻿北緯35.664583度 東経139.859361度﻿ /35.664583; 139.859361﻿ (西葛西駅)座標:北緯35度39分52.5秒東経139度51分33.7秒﻿ / ﻿北緯35.664583度 東経139.859361度﻿ /35.664583; 139.859361﻿ (西葛西駅)","2面2線","","T16[1]","ニカ","","105,321人/日-2019年-","","","","","","",""
"西笠松駅","西笠松駅（にしかさまつえき）","https://ja.wikipedia.org/wiki/西笠松駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度22分8.5秒東経136度45分28.3秒","竹鼻線","0.9 km（笠松起点）","名古屋鉄道","地上駅","1914年（大正3年）6月2日","岐阜県羽島郡笠松町天王町45北緯35度22分8.5秒東経136度45分28.3秒﻿ / ﻿北緯35.369028度 東経136.757861度﻿ /35.369028; 136.757861座標:北緯35度22分8.5秒東経136度45分28.3秒﻿ / ﻿北緯35.369028度 東経136.757861度﻿ /35.369028; 136.757861","2面2線","無人駅（駅集中管理システム導入駅）","TH  01 ","","","1,136人/日-2018年-","","","","","","",""
"西鹿島駅","西鹿島駅（にしかじまえき）","https://ja.wikipedia.org/wiki/西鹿島駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度50分48.12秒東経137度48分28.70秒","■遠州鉄道鉄道線","17.8 km（新浜松起点）","■遠州鉄道■天竜浜名湖鉄道","地上駅","1940年（昭和15年）6月1日（天竜浜名湖鉄道）1909年（明治42年）12月6日（遠州鉄道）","静岡県浜松市天竜区二俣町南鹿島北緯34度50分48.12秒東経137度48分28.70秒﻿ / ﻿北緯34.8467000度 東経137.8079722度﻿ /34.8467000; 137.8079722座標:北緯34度50分48.12秒東経137度48分28.70秒﻿ / ﻿北緯34.8467000度 東経137.8079722度﻿ /34.8467000; 137.8079722","1面1線（天竜浜名湖鉄道）2面2線（遠州鉄道）","共同使用駅（遠州鉄道の管轄駅）"," 18 ","ニシ","","天竜浜名湖鉄道：544人/日遠州鉄道：2,872人/日-2019年-","","","","","","",""
"西笠田駅","西笠田駅（にしかせだえき）","https://ja.wikipedia.org/wiki/西笠田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度16分48.56秒東経135度27分10.87秒","T和歌山線","61.3 km（王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1952年（昭和27年）10月1日[1]","和歌山県伊都郡かつらぎ町高田121-5北緯34度16分48.56秒東経135度27分10.87秒﻿ / ﻿北緯34.2801556度 東経135.4530194度﻿ /34.2801556; 135.4530194座標:北緯34度16分48.56秒東経135度27分10.87秒﻿ / ﻿北緯34.2801556度 東経135.4530194度﻿ /34.2801556; 135.4530194","1面1線","無人駅（自動券売機 有）","","ニカ","50人/日（降車客含まず）-2019年-","","","","","","","",""
"西方駅","西方駅（にしかたえき）","https://ja.wikipedia.org/wiki/西方駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯31度54分58.53秒東経130度13分25.63秒","肥薩おれんじ鉄道線","99.6km（八代起点）331.9 km（門司港起点）","肥薩おれんじ鉄道","地上駅","1922年（大正11年）7月1日","鹿児島県薩摩川内市西方町3223番地北緯31度54分58.53秒東経130度13分25.63秒﻿ / ﻿北緯31.9162583度 東経130.2237861度﻿ /31.9162583; 130.2237861座標:北緯31度54分58.53秒東経130度13分25.63秒﻿ / ﻿北緯31.9162583度 東経130.2237861度﻿ /31.9162583; 130.2237861","相対式 2面2線","無人駅","OR24","オレニカ","6人/日（降車客含まず）-2018年-","17人/日-2018年-","","","","","","",""
"西片上駅","西片上駅（にしかたかみえき）","https://ja.wikipedia.org/wiki/西片上駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度44分42.7秒東経134度11分0.8秒","N赤穂線","32.3km（相生起点）播州赤穂から21.8 km","西日本旅客鉄道（JR西日本）","地上駅（盛土上）","1963年（昭和38年）5月1日","岡山県備前市西片上87-3北緯34度44分42.7秒東経134度11分0.8秒﻿ / ﻿北緯34.745194度 東経134.183556度﻿ /34.745194; 134.183556座標:北緯34度44分42.7秒東経134度11分0.8秒﻿ / ﻿北緯34.745194度 東経134.183556度﻿ /34.745194; 134.183556","1面1線","無人駅（自動券売機 有）","JR-N12","ニカ","589人/日（降車客含まず）-2019年-","","","","","","","",""
"西勝間田駅","西勝間田駅（にしかつまだえき）","https://ja.wikipedia.org/wiki/西勝間田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度2分36.79秒東経134度5分21.53秒","K姫新線","77.3 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅","1963年（昭和38年）10月1日","岡山県勝田郡勝央町黒坂北緯35度2分36.79秒東経134度5分21.53秒﻿ / ﻿北緯35.0435528度 東経134.0893139度﻿ /35.0435528; 134.0893139﻿ (西勝間田駅)","1面1線","無人駅","","ニマ","11人/日（降車客含まず）-2019年-","","","","","","","",""
"西加積駅","西加積駅（にしかづみえき）","https://ja.wikipedia.org/wiki/西加積駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度44分47.81秒東経137度20分24.1秒","■本線","18.7 km（電鉄富山起点）","富山地方鉄道","地上駅","1913年（大正2年）6月25日","富山県滑川市下梅沢621北緯36度44分47.81秒東経137度20分24.1秒﻿ / ﻿北緯36.7466139度 東経137.340028度﻿ /36.7466139; 137.340028﻿ (西加積駅)座標:北緯36度44分47.81秒東経137度20分24.1秒﻿ / ﻿北緯36.7466139度 東経137.340028度﻿ /36.7466139; 137.340028﻿ (西加積駅)","単式1面1線","","T15","","","54人/日-2018年-","","","","","","",""
"西金沢駅","西金沢駅（にしかなざわえき）","https://ja.wikipedia.org/wiki/西金沢駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）北陸鉄道（駅詳細）","","","石川県金沢市","","","","","","","","","","","","",""
"西可児駅","西可児駅（にしかにえき）","https://ja.wikipedia.org/wiki/西可児駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度24分16.8秒東経137度0分38.7秒","広見線","7.7 km（犬山起点）","名古屋鉄道","地上駅","1925年（大正14年）4月24日（春里駅[1]）","岐阜県可児市帷子新町二丁目26北緯35度24分16.8秒東経137度0分38.7秒﻿ / ﻿北緯35.404667度 東経137.010750度﻿ /35.404667; 137.010750座標:北緯35度24分16.8秒東経137度0分38.7秒﻿ / ﻿北緯35.404667度 東経137.010750度﻿ /35.404667; 137.010750","2面2線","終日駅員配置駅","HM  03 ","","1,985人/日（降車客含まず）-2019年-","3,981人/日-2019年-","","","","","","",""
"西ケ原駅","西ケ原駅（にしがはらえき）","https://ja.wikipedia.org/wiki/西ケ原駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度44分45秒東経139度44分32秒","●[1]南北線","16.4 km（目黒起点）","東京地下鉄（東京メトロ）","地下駅","1991年（平成3年）11月29日","東京都北区西ケ原二丁目3-8北緯35度44分45秒東経139度44分32秒﻿ / ﻿北緯35.74583度 東経139.74222度﻿ /35.74583; 139.74222﻿ (西ケ原駅)座標:北緯35度44分45秒東経139度44分32秒﻿ / ﻿北緯35.74583度 東経139.74222度﻿ /35.74583; 139.74222﻿ (西ケ原駅)","1面2線","業務委託駅（メトロコマース）","N15[1]","ニラ","","8,845人/日-2019年-","","","","","","",""
"西ヶ原四丁目停留場","西ヶ原四丁目停留場（にしがはらよんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/西ヶ原四丁目停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度44分40秒東経139度43分58秒","都電荒川線（東京さくらトラム）","7.2 km（三ノ輪橋起点）","東京都交通局","地上駅","1911年（明治44年）8月20日","東京都北区西ケ原四丁目北緯35度44分40秒東経139度43分58秒﻿ / ﻿北緯35.74444度 東経139.73278度﻿ /35.74444; 139.73278座標:北緯35度44分40秒東経139度43分58秒﻿ / ﻿北緯35.74444度 東経139.73278度﻿ /35.74444; 139.73278","2面2線","","SA19","","","2,515[1]人/日-2019年-","","","","","","",""
"西ケ方駅","西ケ方駅（にしがほうえき）","https://ja.wikipedia.org/wiki/西ケ方駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度11分13.9秒東経132度46分1.9秒","■予土線","45.4 km（若井起点）","四国旅客鉄道（JR四国）","地上駅","1953年（昭和28年）3月26日","高知県四万十市西土佐西ヶ方馬引田478北緯33度11分13.9秒東経132度46分1.9秒﻿ / ﻿北緯33.187194度 東経132.767194度﻿ /33.187194; 132.767194座標:北緯33度11分13.9秒東経132度46分1.9秒﻿ / ﻿北緯33.187194度 東経132.767194度﻿ /33.187194; 132.767194","1面1線","無人駅","○G35","ニホ","","10人/日-2018年-","","","","","","",""
"西鎌倉駅","西鎌倉駅（にしかまくらえき）","https://ja.wikipedia.org/wiki/西鎌倉駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度19分9.5秒東経139度30分15秒","■江の島線","4.7 km（大船起点）","湘南モノレール","高架駅","1970年（昭和45年）3月7日[1]","神奈川県鎌倉市西鎌倉北緯35度19分9.5秒東経139度30分15秒﻿ / ﻿北緯35.319306度 東経139.50417度﻿ /35.319306; 139.50417﻿ (西鎌倉駅)座標:北緯35度19分9.5秒東経139度30分15秒﻿ / ﻿北緯35.319306度 東経139.50417度﻿ /35.319306; 139.50417﻿ (西鎌倉駅)","1面2線","無人駅","SMR5","","2,763人/日（降車客含まず）-2018年-","","","","","","","",""
"西辛島町停留場","西辛島町停留場（にしからしまちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西辛島町停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯32度47分55.10秒東経130度42分5.20秒","上熊本線（■B系統）","0.3km（辛島町起点）健軍町から7.2 km","熊本市交通局","地上駅","1929年（昭和4年）6月20日","熊本県熊本市中央区辛島町北緯32度47分55.10秒東経130度42分5.20秒﻿ / ﻿北緯32.7986389度 東経130.7014444度﻿ /32.7986389; 130.7014444座標:北緯32度47分55.10秒東経130度42分5.20秒﻿ / ﻿北緯32.7986389度 東経130.7014444度﻿ /32.7986389; 130.7014444","2面2線","","□B9","","","394[1]人/日-2015年-","","","","","","",""
"西唐津駅","西唐津駅（にしからつえき）","https://ja.wikipedia.org/wiki/西唐津駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度27分42.44秒東経129度57分26.05秒","■唐津線（JK筑肥線直通含む）","42.5 km（久保田起点）","九州旅客鉄道（JR九州）","地上駅","1898年（明治31年）12月1日","佐賀県唐津市二タ子二丁目1-15北緯33度27分42.44秒東経129度57分26.05秒","1面1線","業務委託駅*1905年に妙見駅から改称。","JK  21 （筑肥線直通）","ニシ","503人/日（降車客含まず）-2019年-","","","","","","","",""
"西川口駅","西川口駅（にしかわぐちえき）","https://ja.wikipedia.org/wiki/西川口駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度48分56.61秒東経139度42分15.71秒","■京浜東北線（正式には東北本線）","17.8 km（東京起点）大宮から12.5 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1954年（昭和29年）9月1日","埼玉県川口市並木二丁目20-1北緯35度48分56.61秒東経139度42分15.71秒﻿ / ﻿北緯35.8157250度 東経139.7043639度﻿ /35.8157250; 139.7043639﻿ (西川口駅)座標:北緯35度48分56.61秒東経139度42分15.71秒﻿ / ﻿北緯35.8157250度 東経139.7043639度﻿ /35.8157250; 139.7043639﻿ (西川口駅)","1面2線","業務委託駅","JK40","ニチ","59,062人/日（降車客含まず）-2019年-","","","","","","","",""
"西川越駅","西川越駅（にしかわごええき）","https://ja.wikipedia.org/wiki/西川越駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度55分9秒東経139度27分34.16秒","■川越線","18.7 km（大宮起点）八王子から43.0 km","東日本旅客鉄道（JR東日本）","地上駅","1940年（昭和15年）7月22日[1]","埼玉県川越市大字小ケ谷601北緯35度55分9秒東経139度27分34.16秒﻿ / ﻿北緯35.91917度 東経139.4594889度﻿ /35.91917; 139.4594889﻿ (西川越駅)","1面1線[1]","業務委託駅","","ニカ","1,337人/日（降車客含まず）-2019年-","","","","","","","",""
"西川田駅","西川田駅（にしかわだえき）","https://ja.wikipedia.org/wiki/西川田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度30分53.18秒東経139度51分2.65秒","■宇都宮線","18.3 km（新栃木起点）","東武鉄道","地上駅","1931年（昭和6年）8月11日","栃木県宇都宮市西川田五丁目1-17北緯36度30分53.18秒東経139度51分2.65秒﻿ / ﻿北緯36.5147722度 東経139.8507361度﻿ /36.5147722; 139.8507361﻿ (西川田駅)座標:北緯36度30分53.18秒東経139度51分2.65秒﻿ / ﻿北緯36.5147722度 東経139.8507361度﻿ /36.5147722; 139.8507361﻿ (西川田駅)","1面2線","","TN37","ニタ","","2,410人/日-2019年-","","","","","","",""
"西川原駅","西川原駅（にしがわらえき）","https://ja.wikipedia.org/wiki/西川原駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度40分44.25秒東経133度56分15.80秒","S山陽本線（N赤穂線直通含む）","140.8km（神戸起点）播州赤穂から51.6 km","西日本旅客鉄道（JR西日本）","高架駅","2008年（平成20年）3月15日","岡山市中区西川原一丁目203-17北緯34度40分44.25秒東経133度56分15.80秒﻿ / ﻿北緯34.6789583度 東経133.9377222度﻿ /34.6789583; 133.9377222座標:北緯34度40分44.25秒東経133度56分15.80秒﻿ / ﻿北緯34.6789583度 東経133.9377222度﻿ /34.6789583; 133.9377222","2面2線","業務委託駅","JR-S02（山陽本線）JR-N02（赤穂線）","シワ","3,873人/日（降車客含まず）-2019年-","","","","","","","",""
"西川緑道公園停留場","西川緑道公園停留場（にしがわりょくどうこうえんていりゅうじょう）","https://ja.wikipedia.org/wiki/西川緑道公園停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度39分55.87秒東経133度55分23.22秒","■東山本線（1系統）（■清輝橋線直通（2系統）含む）","0.3 km（岡山駅前起点）","岡山電気軌道","地上駅","1912年（明治45年）5月5日","岡山市北区野田屋町一丁目・平和町北緯34度39分55.87秒東経133度55分23.22秒﻿ / ﻿北緯34.6655194度 東経133.9231167度﻿ /34.6655194; 133.9231167﻿ (西川緑道公園停留場 *)","1面2線","","○H02,○S02","","","","","","","","","",""
"西観音町停留場","西観音町停留場（にしかんおんまちていりゅうじょう）","https://ja.wikipedia.org/wiki/西観音町停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度23分38.62秒東経132度26分12.02秒","■本線","4.5 km（広島駅起点）","広島電鉄","地上駅","1964年（昭和39年）9月1日","広島市西区西観音町北緯34度23分38.62秒東経132度26分12.02秒﻿ / ﻿北緯34.3940611度 東経132.4366722度﻿ /34.3940611; 132.4366722﻿ (西観音町停留場)座標:北緯34度23分38.62秒東経132度26分12.02秒﻿ / ﻿北緯34.3940611度 東経132.4366722度﻿ /34.3940611; 132.4366722﻿ (西観音町停留場)","2面2線","","●M17","","","1,304[1]人/日-2019年-","","","","","","",""
"錦駅","錦駅（にしきえき）","https://ja.wikipedia.org/wiki/錦駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度59分50.99秒東経135度53分9.23秒","▼石山坂本線","4.2 km（石山寺起点）","京阪電気鉄道","地上駅","1913年（大正2年）3月1日","滋賀県大津市昭和町2-8北緯34度59分50.99秒東経135度53分9.23秒﻿ / ﻿北緯34.9974972度 東経135.8858972度﻿ /34.9974972; 135.8858972座標:北緯34度59分50.99秒東経135度53分9.23秒﻿ / ﻿北緯34.9974972度 東経135.8858972度﻿ /34.9974972; 135.8858972","2面2線","","OT  08","","975人/日（降車客含まず）-2019年-","1,891人/日-2019年-","","","","","","",""
"錦岡駅","錦岡駅（にしきおかえき）","https://ja.wikipedia.org/wiki/錦岡駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯42度36分9.38秒東経141度29分12.86秒","■室蘭本線","125.4 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅","1898年（明治31年）2月1日","北海道苫小牧市宮前町2丁目北緯42度36分9.38秒東経141度29分12.86秒﻿ / ﻿北緯42.6026056度 東経141.4869056度﻿ /42.6026056; 141.4869056﻿ (錦岡駅)","2面2線","無人駅","○H21","ニオニタ（改称前）","","580人/日-2014年-","","","","","","",""
