"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","事業主体","位置","専門分野","管理運営","学校種別","設置者","本部所在地","学部","ウェブサイト","面積","研究科","正式名称","前身","キャンパス","分類","運営者"
"星薬科大学薬用植物園","[星薬科大学薬用植物園（東京都品川区）] ","https://ja.wikipedia.org/wiki/星薬科大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","私立","学校法人星薬科大学","東京都品川区荏原2-4-41","薬学部","http://www.hoshi.ac.jp/","","薬学研究科","","","東京都品川区","",""
"東京薬科大学薬用植物園","[東京薬科大学薬用植物園（東京都八王子市）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/東京薬科大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"明治薬科大学薬用植物園","[明治薬科大学薬用植物園（東京都清瀬市）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度46分54.5秒 東経139度30分20.3秒 ﻿ / ﻿ 北緯35.781806度 東経139.505639度 ﻿ / 35.781806; 139.505639","https://ja.wikipedia.org/wiki/明治薬科大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度46分54.5秒 東経139度30分20.3秒","","","","","","","","私立","学校法人明治薬科大学","東京都清瀬市野塩2-522-1","薬学部","https://www.my-pharm.ac.jp/","","薬学研究科","","","清瀬（東京都清瀬市）","",""
"昭和薬科大学薬用植物園","[昭和薬科大学薬用植物園（東京都町田市）] 昭和薬科大学は、 1930年 （昭和5年） 東京府 東京市 目黒区 に設立された 昭和女子薬学専門学校 （ 旧制薬学専門学校 ）を起源とする 薬科大学 である。本学は創立する際、いわゆるオーナーが存在せず、長年に亘り、在学生、卒業生、教職員、父母たちが一致協力して学びの場を築き上げてきたことから、民主的な運営を伝統としており、今もなお、家庭的で自由闊達な校風を育んでいる。多くの緑に囲まれたキャンパスは、総面積17万3千平方メートルと広大なスケールを誇り、その中でも 薬用植物園 は、全国の薬科系大学の中でも屈指の規模を有する。 旧制医学専門学校 を起源とする 昭和大学 、また、 旧制女子専門学校 を起源とする 昭和女子大学 とは別法人の運営。また、北海道にはキャンパスはないが 札幌市 南区 澄川 に同大学の所有地がある。","https://ja.wikipedia.org/wiki/昭和薬科大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","私立","学校法人昭和薬科大学","東京都町田市東玉川学園","薬学部","https://www.shoyaku.ac.jp/","","薬学研究科","","","町田（東京都町田市）","",""
"北里大学薬学部附属薬用植物園","[北里大学薬学部附属薬用植物園（神奈川県相模原市南区)] 1893年 に設置された 土筆ヶ岡養生園 を源流とする。 1962年 の 北里研究所 創立50周年記念事業で設立された。 薬学部 、 獣医学部 、 医学部 、 海洋生命科学部 、 看護学部 、 理学部 、 医療衛生学部 、 一般教育部 がある。大学の設置者は 北里研究所 。 首都圏西部大学単位互換協定会 協定校。","https://ja.wikipedia.org/wiki/北里大学薬学部附属薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度38分44.1秒東経139度43分31.6秒","","","","","","","","私立","学校法人北里研究所","東京都港区白金5-9-1北緯35度38分44.1秒東経139度43分31.6秒﻿ / ﻿北緯35.645583度 東経139.725444度﻿ /35.645583; 139.725444座標:北緯35度38分44.1秒東経139度43分31.6秒﻿ / ﻿北緯35.645583度 東経139.725444度﻿ /35.645583; 139.725444","薬学部獣医学部医学部海洋生命科学部看護学部理学部医療衛生学部","https://www.kitasato-u.ac.jp/jp/index.html","","薬学研究科獣医畜産学研究科海洋生命科学研究科看護学研究科理学研究科医療系研究科感染制御科学府","","","白金（東京都港区白金）相模原（神奈川県相模原市南区）十和田（青森県十和田市）","",""
"帝京大学薬用植物園","[帝京大学薬用植物園（神奈川県相模原市緑区）] 帝京大学は 1931年 （ 昭和 6年）に 冲永荘兵衛 が 東京府 渋谷町 （現・ 東京都 渋谷区 ）に創立した財団法人帝京商業学校を起源とする。 1966年 （昭和41年）に 産婦人科学 の 博士（医学） である 冲永荘一 により帝京大学が創設された。","https://ja.wikipedia.org/wiki/帝京大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度45分34.2秒東経139度42分56.8秒","","","","","","","","私立","学校法人帝京大学","東京都板橋区加賀2-11-1北緯35度45分34.2秒東経139度42分56.8秒﻿ / ﻿北緯35.759500度 東経139.715778度﻿ /35.759500; 139.715778座標:北緯35度45分34.2秒東経139度42分56.8秒﻿ / ﻿北緯35.759500度 東経139.715778度﻿ /35.759500; 139.715778","医学部薬学部経済学部法学部文学部外国語学部教育学部理工学部医療技術学部福岡医療技術学部","https://www.teikyo-u.ac.jp/","","医学研究科薬学研究科経済学研究科法学研究科文学研究科外国語研究科理工学研究科医療技術学研究科公衆衛生学研究科（公衆衛生大学院）教職研究科（教職大学院）","","","板橋（東京都板橋区）八王子（東京都八王子市）宇都宮（栃木県宇都宮市）福岡（福岡県大牟田市）霞ヶ関（東京都千代田区）","",""
"昭和大学","[昭和大学薬学部薬用植物園（山梨県富士吉田市、東京都品川区）] 1928年 （昭和3年）に 上條秀介 や 鏑木忠正（ 品川区 長（初代） ）、石井吉五郎（ 日本病院会 初代の会長）らによって昭和医学専門学校（現在の 昭和大学 の前身 ）が設置された。 1965年 （昭和40年）より 山梨県 富士吉田市 にキャンパスが設置され、1年次は4人部屋での全寮制を実施している。 2006年 度（平成18年度）より保健医療学部も1年次全寮制が導入されたため、新たな寮が建設されている。","https://ja.wikipedia.org/wiki/昭和大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度36分34.6秒東経139度42分7.2秒","","","","","","","","私立","学校法人昭和大学","東京都品川区旗の台1-5-8北緯35度36分34.6秒東経139度42分7.2秒﻿ / ﻿北緯35.609611度 東経139.702000度﻿ /35.609611; 139.702000座標:北緯35度36分34.6秒東経139度42分7.2秒﻿ / ﻿北緯35.609611度 東経139.702000度﻿ /35.609611; 139.702000","医学部歯学部薬学部保健医療学部","http://www.showa-u.ac.jp/","","医学研究科歯学研究科薬学研究科保健医療学研究科","","","旗の台(東京都品川区)洗足(東京都大田区)横浜(神奈川県横浜市緑区)富士吉田(山梨県富士吉田市)","",""
"北陸大学","[北陸大学薬学部薬用植物園（石川県金沢市）] 1975年 に開学。金沢市郊外に位置する4学部（薬学部、経済経営学部、国際コミュニケーション学部、医療保健学部）よりなる。","https://ja.wikipedia.org/wiki/北陸大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度31分31.5秒 東経136度42分27秒","","","","","","","","私立","学校法人北陸大学(創立時は学校法人松雲学園)","石川県金沢市太陽が丘1-1","薬学部経済経営学部国際コミュニケーション学部医療保健学部","https://www.hokuriku-u.ac.jp/","","薬学研究科","","","太陽が丘キャンパス（本部・経済経営学部・国際コミュニケーション学部・医療保健学部・留学生別科）薬学キャンパス（薬学部）","",""
"金沢大学薬用植物園","[金沢大学薬学部附属薬用植物園（石川県金沢市）] 金沢大学薬用植物園 （かなざわだいがくやくようしょくぶつえん）は、 石川県 金沢市 角間町にある国立大学法人 金沢大学 角間(かくま)キャンパスにある薬学部付属の薬用 植物園 。敷地面積は3.8 ヘクタール 。正式な名称は「 金沢大学医薬保健学域薬学類・創薬科学類附属薬用植物園 」。","https://ja.wikipedia.org/wiki/金沢大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度32分46秒東経136度42分31秒","〒920-1192石川県金沢市角間町","1971年2004年（現在地）","金沢大学薬用植物園","金沢大学","北緯36度32分46秒東経136度42分31秒﻿ / ﻿北緯36.54611度 東経136.70861度﻿ /36.54611; 136.70861座標:北緯36度32分46秒東経136度42分31秒﻿ / ﻿北緯36.54611度 東経136.70861度﻿ /36.54611; 136.70861","薬用植物","金沢大学","","","","","","","","金沢大学医薬保健学域薬学類・創薬科学類附属薬用植物園","","","",""
"岐阜薬科大学薬草園","[岐阜薬科大学薬草園（岐阜県岐阜市）] 1932年 に建設費を 渡辺甚吉 からの全額寄附  により賄い設置された岐阜薬学専門学校を母体とし、 1949年 （昭和24年）に岐阜市が設置した。岐阜県立ではなく、岐阜市立の大学である。 学部は 薬学部 のみではあるが、製造薬学科・厚生薬学科の2学科（入学定員120名）があり、大学院博士前期・後期課程が併設されている。 2006年 度入学生からは、薬学部6年制導入によりこれまでの2学科を改め、卒業すれば 薬剤師国家試験 受験資格を得られる6年制の薬学科（入学定員100名）と、研究者育成のための4年制の薬科学科（入学定員40名）に再編成された。薬科学科は卒業しただけでは 薬剤師国家試験 受験資格は得られないが、当面の間は経過措置として、薬学研究科 修士 課程修了と1年間の実習を経ることで受験資格を得ることができる。この経過措置は薬剤師法により2017年度入学者までと定められている。これに伴い、本学では4年制の募集を廃止して6年制のみの募集となった。募集定員は120人。 中期日程入学試験を採用しており、地方公立大学には珍しく岐阜県出身の学生は10%程度で北海道～沖縄まで幅広い県から学生が集まる。2004年卒業生の薬剤師国家試験合格率90.3%、2016年卒業生は83.64%であった。大学院在籍者を含む学生総数、約640名。専任教官65名（内博士号取得者52名）。","https://ja.wikipedia.org/wiki/岐阜薬科大学薬草園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度28分35.98秒東経136度47分26.03秒","","","","","","","","公立","岐阜市","岐阜県岐阜市大学西1-25-4北緯35度28分35.98秒東経136度47分26.03秒﻿ / ﻿北緯35.4766611度 東経136.7905639度﻿ /35.4766611; 136.7905639座標:北緯35度28分35.98秒東経136度47分26.03秒﻿ / ﻿北緯35.4766611度 東経136.7905639度﻿ /35.4766611; 136.7905639","薬学部","http://www.gifu-pu.ac.jp/","","薬学研究科","","","本部キャンパス三田洞キャンパス","",""
"富山大学薬学部附属薬用植物園","[富山大学薬学部附属薬用植物園（富山県富山市）] 富山大学薬学部附属薬用植物園 （とやまだいがくやくがくぶふぞくやくようしょくぶつえん）は、 富山大学 が管理運営する 薬用植物園 である。","https://ja.wikipedia.org/wiki/富山大学薬学部附属薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度40分43秒東経137度8分52秒","〒930-0194富山県富山市杉谷2630","1923年","www.pha.u-toyama.ac.jp/plant/garden_3.html","富山大学","北緯36度40分43秒東経137度8分52秒﻿ / ﻿北緯36.67861度 東経137.14778度﻿ /36.67861; 137.14778座標:北緯36度40分43秒東経137度8分52秒﻿ / ﻿北緯36.67861度 東経137.14778度﻿ /36.67861; 137.14778","薬用植物","","","","","","","","","","","","",""
"富山県薬用植物指導センター","[富山県薬用植物指導センター（富山県中新川郡上市町）] 富山県薬用植物指導センター （とやまけんやくようしょくぶつしどうセンター、西称：Centro de Plantas Medicinales de la Prefectura de Toyama）は、 富山県 中新川郡 上市町 にある 植物園 と 園芸 トレーニングセンター。 1967年 に開設。","https://ja.wikipedia.org/wiki/富山県薬用植物指導センター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"静岡県立大学","[静岡県立大学薬草園（静岡県静岡市駿河区）] 静岡県立大学は、静岡県内に設置されていた県立大学を統合し、 1987年 に発足した大学である。 1916年 に設立された 静岡女子薬学校 を源流とする 静岡薬科大学 、および、 静岡女子大学 、 静岡女子短期大学 の3大学が統合された。また、静岡市駿河区には 静岡大学 も所在しているが、静岡大学の英称は「Shizuoka University」であり、本学の英称「University of Shizuoka」と混同しないよう注意を要する。さらに、一部の 案内標識 等では、「Shizuoka Prefectural University」との表記も散見される。設置本部は、 静岡県公立大学法人 。なお、同法人は、小鹿キャンパスに 静岡県立大学短期大学部 も設置している。","https://ja.wikipedia.org/wiki/静岡県立大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度59分45.7秒東経138度26分43.5秒","","","","","","","","公立","（静岡県→）静岡県公立大学法人","静岡県静岡市駿河区谷田52番1号北緯34度59分45.7秒東経138度26分43.5秒﻿ / ﻿北緯34.996028度 東経138.445417度﻿ /34.996028; 138.445417座標:北緯34度59分45.7秒東経138度26分43.5秒﻿ / ﻿北緯34.996028度 東経138.445417度﻿ /34.996028; 138.445417","薬学部食品栄養科学部国際関係学部経営情報学部看護学部","https://www.u-shizuoka-ken.ac.jp/","","薬学研究院食品栄養環境科学研究院薬食生命科学総合学府国際関係学研究科経営情報イノベーション研究科看護学研究科","","","草薙キャンパス（静岡県静岡市）小鹿キャンパス（静岡県静岡市）","",""
"内藤記念くすり博物館","[内藤記念くすり博物館附属薬用植物園（岐阜県各務原市）] 内藤記念くすり博物館 （ないとうきねんくすりはくぶつかん）は、 岐阜県 各務原市 川島竹早町1にある、医学、薬専門の 博物館 である。","https://ja.wikipedia.org/wiki/内藤記念くすり博物館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度21分52.19秒東経136度50分40.31秒","〒501-6195岐阜県各務原市川島竹早町1","","","エーザイ株式会社","北緯35度21分52.19秒東経136度50分40.31秒﻿ / ﻿北緯35.3644972度 東経136.8445306度﻿ /35.3644972; 136.8445306座標:北緯35度21分52.19秒東経136度50分40.31秒﻿ / ﻿北緯35.3644972度 東経136.8445306度﻿ /35.3644972; 136.8445306","医学、薬専門","","","","","","","","","","内藤記念くすり資料館","","",""
"名城大学","[名城大学薬学部薬草園（愛知県名古屋市天白区）] 9 学部 11 研究科 を擁する 中部 圏最大の 総合大学 である。学生数1万5000人を超える文理融合型総合大学。大学院独立研究科として 総合学術研究科 、 大学・学校づくり研究科 、 法務研究科 を設置している。 愛知県 名古屋市 中村区 に 附属高校 を有する。 2014年に名城大学の 赤﨑勇 教授および 天野浩 元教授が ノーベル物理学賞 を受賞、2019年に名城大学の 吉野彰 教授が ノーベル化学賞 を受賞した。これらの受賞により、2015年度の名城大学の入学志望者が急増して、入試難易度も上昇した  。(在籍教員から) ノーベル賞 受賞者を輩出する 私立大学 は 中部地方 を含めた 東日本 では名城大学が初めてである。 ","https://ja.wikipedia.org/wiki/名城大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度8分9.6秒東経136度58分33.6秒","","","","","","","","私立","学校法人名城大学","愛知県名古屋市天白区塩釜口一丁目501番地北緯35度8分9.6秒東経136度58分33.6秒﻿ / ﻿北緯35.136000度 東経136.976000度﻿ /35.136000; 136.976000座標:北緯35度8分9.6秒東経136度58分33.6秒﻿ / ﻿北緯35.136000度 東経136.976000度﻿ /35.136000; 136.976000","法学部経営学部経済学部外国語学部人間学部都市情報学部理工学部農学部薬学部","https://www.meijo-u.ac.jp/","","法学研究科経営学研究科経済学研究科人間学研究科都市情報学研究科理工学研究科農学研究科薬学研究科総合学術研究科大学・学校づくり研究科法務研究科","","","天白 (名古屋市天白区)八事（名古屋市天白区）ナゴヤドーム（名古屋市東区）日進（日進市）春日井（鷹来）（春日井市）","",""
"名古屋市立大学薬学部薬用植物園","[名古屋市立大学薬学部薬用植物園（愛知県名古屋市瑞穂区）] 名古屋市を設立団体とし、 公立大学法人名古屋市立大学 が管理運営している  。 1950年 に 旧制 の 名古屋女子医科大学 と、 新制 の 名古屋薬科大学 を統合して設立された。","https://ja.wikipedia.org/wiki/名古屋市立大学薬学部薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度8分20.2秒東経136度56分3.85秒","","","","","","","","公立","公立大学法人名古屋市立大学","愛知県名古屋市瑞穂区瑞穂町字川澄1番地北緯35度8分20.2秒東経136度56分3.85秒﻿ / ﻿北緯35.138944度 東経136.9344028度﻿ /35.138944; 136.9344028座標:北緯35度8分20.2秒東経136度56分3.85秒﻿ / ﻿北緯35.138944度 東経136.9344028度﻿ /35.138944; 136.9344028","医学部薬学部経済学部人文社会学部芸術工学部看護学部総合生命理学部","https://www.nagoya-cu.ac.jp/","","医学研究科薬学研究科経済学研究科人間文化研究科芸術工学研究科看護学研究科理学研究科","","","桜山（名古屋市瑞穂区）田辺通（名古屋市瑞穂区）滝子（名古屋市瑞穂区）北千種（名古屋市千種区）","",""
"塩野義製薬","[塩野義製薬油日ラボラトリーズ（滋賀県甲賀市）] 社名の由来は、創業者の 塩野義三郎 の名に因むもの  。ロゴマークは、天秤で薬量を正確に計量するために用いられた 分銅 に由来している  。","https://ja.wikipedia.org/wiki/塩野義製薬","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"武田薬品工業","[武田薬品工業京都薬用植物園（京都府京都市左京区）] 武田薬品工業 （たけだやくひんこうぎょう、 英文 : Takeda Pharmaceutical Company Limited ）は、 大阪府 大阪市 中央区 と 東京都 中央区 に本社を置く 日本 の 製薬会社 である。 タケダ 、 Takeda 、 武田薬品 とも略称される。 日経平均株価 及び TOPIX Core30 の構成銘柄の一つ。","https://ja.wikipedia.org/wiki/武田薬品工業","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日本新薬","[日本新薬山科植物資料館（京都府京都市山科区）] など","https://ja.wikipedia.org/wiki/日本新薬","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"京都薬科大学薬用植物園","[京都薬科大学薬用植物園（京都府京都市伏見区）] 1884年（明治17年）ドイツ人教師 ルドルフ・レーマン によって創立された京都私立独逸学校に始まる、薬学系私立大学では日本で２番目の歴史と伝統を持つ。","https://ja.wikipedia.org/wiki/京都薬科大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度59分26.09秒 東経135度48分34.4秒","","","","","","","","私立","学校法人京都薬科大学","京都市山科区御陵中内町5","薬学部","https://www.kyoto-phu.ac.jp/","","薬学研究科","","","山科（京都市山科区）","",""
"同志社女子大学","[同志社女子大学薬用植物園（京都府京田辺市）] 1876年 に設立された 女子塾 を起源とする。 1949年 に、それまでの 専門学校 を母体に設置された プロテスタント 系の 女子大学 で、6学部11学科5研究科の構成である  。","https://ja.wikipedia.org/wiki/同志社女子大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度48分13.5秒東経135度46分18.6秒","","","","","","","","私立","学校法人同志社","京都府京田辺市興戸北緯34度48分13.5秒東経135度46分18.6秒﻿ / ﻿北緯34.803750度 東経135.771833度﻿ /34.803750; 135.771833座標:北緯34度48分13.5秒東経135度46分18.6秒﻿ / ﻿北緯34.803750度 東経135.771833度﻿ /34.803750; 135.771833","学芸学部現代社会学部薬学部表象文化学部生活科学部看護学部","https://www.dwc.doshisha.ac.jp/","","文学研究科国際社会システム研究科薬学研究科生活科学研究科","","","京田辺（京都府京田辺市）今出川（京都市上京区）","",""
"大阪薬科大学","[大阪薬科大学薬用植物園（大阪府高槻市）] 大阪医科薬科大学","https://ja.wikipedia.org/wiki/大阪薬科大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","私立","学校法人大阪医科薬科大学","大阪府高槻市奈佐原4-20-1","薬学部","","","薬学研究科","","","高槻キャンパス","",""
"摂南大学薬学部附属薬用植物園","[摂南大学薬学部附属薬用植物園（大阪府枚方市）] 摂南大学は、1922年に創設された関西工学専修学校を母体とする 学校法人常翔学園 によって運営されている大学である。1962年に設立された 大阪工業高等専門学校 （現存する公立の 大阪府立大学工業高等専門学校 とは別）を改組する形で開設された。","https://ja.wikipedia.org/wiki/摂南大学薬学部附属薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","私立","学校法人常翔学園","大阪府寝屋川市池田中町17番8号","理工学部外国語学部経営学部薬学部法学部経済学部看護学部農学部","https://www.setsunan.ac.jp/","","薬学研究科理工学研究科経済経営学研究科経営情報学研究科法学研究科国際言語文化研究科看護学研究科","","","寝屋川（大阪府寝屋川市）枚方（大阪府枚方市）","",""
"神戸薬科大学薬用植物園","[神戸薬科大学薬用植物園（兵庫県神戸市東灘区）] 開校当初は女性が社会で自立できることを目的とし、 専門学校令 に基づく女子薬学校として開校した。戦後に新制女子薬科大学となった後、 1994年 （平成6年）に共学となった。","https://ja.wikipedia.org/wiki/神戸薬科大学薬用植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度43分59.2秒 東経135度16分59.7秒","","","","","","","","私立","学校法人神戸薬科大学","兵庫県神戸市東灘区本山北町4丁目19番1号","薬学部","https://www.kobepharma-u.ac.jp/","","薬学研究科","","","","",""
"湧永満之記念庭園","[湧永満之記念庭園併設薬用植物園（広島県安芸高田市）] 湧永満之記念庭園 （わくながまんじきねんていえん）は、 広島県 安芸高田市 にある 植物園 。面積は137,000  m 2  。","https://ja.wikipedia.org/wiki/湧永満之記念庭園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度43分20秒東経132度44分44秒","〒739-1107広島県安芸高田市甲田町糘地","1993年","湧永満之記念庭園","湧永製薬","北緯34度43分20秒東経132度44分44秒﻿ / ﻿北緯34.72222度 東経132.74556度﻿ /34.72222; 132.74556座標:北緯34度43分20秒東経132度44分44秒﻿ / ﻿北緯34.72222度 東経132.74556度﻿ /34.72222; 132.74556","薬用植物","","","","","","","","","","","","",""
"徳島文理大学","[徳島文理大学香川薬学部薬用植物園（香川県さぬき市）] 特に記載がない場合は博士課程（博士前期課程・博士後期課程）","https://ja.wikipedia.org/wiki/徳島文理大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度3分14.63秒東経134度33分27.63秒","","","","","","","","私立","学校法人村崎学園","徳島県徳島市山城町字西浜傍示180番地北緯34度3分14.63秒東経134度33分27.63秒﻿ / ﻿北緯34.0540639度 東経134.5576750度﻿ /34.0540639; 134.5576750座標:北緯34度3分14.63秒東経134度33分27.63秒﻿ / ﻿北緯34.0540639度 東経134.5576750度﻿ /34.0540639; 134.5576750","薬学部人間生活学部保健福祉学部総合政策学部音楽学部香川薬学部理工学部文学部短期大学部","https://www.bunri-u.ac.jp/","","文学研究科薬学研究科人間生活研究科工学研究科総合政策学研究科","","","徳島キャンパス香川キャンパス","",""
"熊本大学薬学部附属薬用資源エコフロンティアセンター","[熊本大学薬学部附属薬用資源エコフロンティアセンター（熊本県熊本市中央区）] 熊本大学薬学部附属薬用資源エコフロンティアセンター （くまもとだいがくやくがくぶふぞくやくようしげんエコフロンティアセンター）は、 熊本大学 薬学部が管理運営する 薬用植物園 である。","https://ja.wikipedia.org/wiki/熊本大学薬学部附属薬用資源エコフロンティアセンター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯32度47分42.6秒東経130度43分21.1秒","〒862-0973熊本県熊本市中央区大江本町5番1号","1927年","http://www.pharm.kumamoto-u.ac.jp/Labs/eco-frontier/","熊本大学","北緯32度47分42.6秒東経130度43分21.1秒﻿ / ﻿北緯32.795167度 東経130.722528度﻿ /32.795167; 130.722528座標:北緯32度47分42.6秒東経130度43分21.1秒﻿ / ﻿北緯32.795167度 東経130.722528度﻿ /32.795167; 130.722528","薬用植物","","","","","","","","","","官立熊本薬学専門学校薬草園","","",""
"崇城大学","[崇城大学薬学部附属薬用植物園（熊本市西区）] 元は 工学部 のみを有する 単科大学 であったが、2000年の大学名改称以降は 薬学部 、 生物生命学部 、 工学部 、 情報学部 、 芸術学部 の5学部10学科、さらに全学科に対応する専攻を 大学院 を備えた 総合大学 である。 キャンパス は「池田キャンパス」と、 熊本空港 に直結する「空港キャンパス」  がある。","https://ja.wikipedia.org/wiki/崇城大学","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯32度49分51.4秒 東経130度41分47.3秒","","","","","","","","私立","学校法人君が淵学園","熊本県熊本市西区池田4-22-1","薬学部生物生命学部工学部情報学部芸術学部","https://www.sojo-u.ac.jp/","","工学研究科芸術研究科","","","池田キャンパス（熊本県熊本市西区）空港キャンパス（熊本県菊陽町）","",""
"あやめ公園 (岩見沢市)","[あやめ公園（北海道岩見沢市）] あやめ公園 （あやめこうえん）は 北海道 岩見沢市 にある 都市公園 （地区公園）。","https://ja.wikipedia.org/wiki/あやめ公園_(岩見沢市)","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯43度10分57秒東経141度46分31秒","日本北海道岩見沢市緑が丘3丁目","1970年3月","岩見沢市のサイト","","","","","","","","","","約44,000m2","","","","","都市公園（地区公園）","岩見沢市（指定管理者：財団法人岩見沢振興公社）"
"釧路フィッシャーマンズワーフMOO","[釧路フィッシャーマンズワーフMOO全天候型屋内植物園EGG（北海道釧路市）] 釧路フィッシャーマンズワーフMOO （くしろフィッシャーマンズワーフ・ムー）は、 北海道 釧路市 にある複合商業施設。名前は サンフランシスコ の フィッシャーマンズワーフ に由来し、MOOは M arine O ur O asisの略。","https://ja.wikipedia.org/wiki/釧路フィッシャーマンズワーフMOO","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯42度58分54.3秒 東経144度23分0.6秒","","","","","","","","","","","","","","","","","","",""
"いわみざわ公園室内公園","[いわみざわ公園室内公園] いわみざわ公園 （いわみざわこうえん）は、 北海道 岩見沢市 にある 公園 。","https://ja.wikipedia.org/wiki/いわみざわ公園室内公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯43度09分53秒東経141度47分08秒","日本北海道岩見沢市志文町","1981年","www.iwamizawa-park.com","","","","","","","","","","162.6ヘクタール","","","","","総合公園","空知リゾートシティ（指定管理者）"
"上野ファーム","[上野ファーム] 上野ファーム （うえのファーム）は、 北海道 旭川市 にある観光庭園。 ガーデニング の聖地とされ、日本全国から観光客・愛好家が訪れる。","https://ja.wikipedia.org/wiki/上野ファーム","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯43度48分30秒 東経142度29分8.7秒","","","","","","","","","","","","","","","","","","",""
"釧路フィッシャーマンズワーフMOO","[釧路フィッシャーマンズワーフMOO] 釧路フィッシャーマンズワーフMOO （くしろフィッシャーマンズワーフ・ムー）は、 北海道 釧路市 にある複合商業施設。名前は サンフランシスコ の フィッシャーマンズワーフ に由来し、MOOは M arine O ur O asisの略。","https://ja.wikipedia.org/wiki/釧路フィッシャーマンズワーフMOO","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯42度58分54.3秒 東経144度23分0.6秒","","","","","","","","","","","","","","","","","","",""
