"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","初登頂","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"安達太良山","[33安達太良山あだたらやま1,699m福島県ツリガネツツジ[[Image:画像募集中|128px] 安達太良山 （あだたらやま）は 福島県 中部にある 活火山 である。 日本百名山 、 新日本百名山 、 花の百名山 および うつくしま百名山 に選定されている。山頂には二等三角点「大関平」1699.6m が設置されている。別名は、岳山（だけやま）、安達太郎山。","https://ja.wikipedia.org/wiki/安達太良山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯37度38分50秒東経140度16分51秒","日本福島県福島市・二本松市・郡山市安達郡大玉村・耶麻郡猪苗代町","最高峰箕輪山 1,728m","北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083座標:北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083","奥羽山脈南部","成層火山(活火山ランクB)","1900年","","","","","","","","","","","","",""
"五葉山","[34五葉山ごようざん1,351m岩手県ミネザクラ地理院地図Google Map北上山地日本三百名山] 五葉山 （ごようざん）は、 東北地方 太平洋 側にある 北上山地 南部の 山 。 標高 は1,351mで、 三陸 沿岸の最高峰である。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/五葉山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯39度12分14秒東経141度43分44秒","日本岩手県：住田町、大船渡市、釜石市","1,351m","北緯39度12分14秒東経141度43分44秒﻿ / ﻿北緯39.20389度 東経141.72889度﻿ /39.20389; 141.72889","北上山地","","","","","","","","","","","","","","",""
"利尻山","[35利尻山りしりざん1,721m北海道シコタンハコベ地理院地図Google Mapリシリヒナゲシ、リシリリンドウ利尻富士新・花の百名山日本百名山、新日本百名山] 利尻山 （りしりざん）は、 北海道 の 利尻島 に位置する 独立峰 で 標高 1,721m。 利尻町 、 利尻富士町 の2町にまたがる 成層火山 で、 利尻礼文サロベツ国立公園 内の山域は特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/利尻岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯45度10分43秒東経141度14分31秒","日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町","1,721m","北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194座標:北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194","独立峰","成層火山","","","","","","","","","","","","","",""
"礼文岳","[36礼文岳れぶんだけ490m北海道レブンソウ地理院地図Google Mapレブンアツモリソウ、レブンコザクラレブンウスユキソウ新・花の百名山、新日本百名山] 礼文岳 （れぶんだけ）は 北海道 礼文郡 礼文町 にある標高490mの山である。 花の百名山 、 新花の百名山 、 北海道百名山 、 新日本百名山 。","https://ja.wikipedia.org/wiki/礼文岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯45度22分21秒東経141度00分57秒","北海道礼文郡礼文町","490m","北緯45度22分21秒東経141度00分57秒﻿ / ﻿北緯45.37250度 東経141.01583度﻿ /45.37250; 141.01583","島","","","","","","","","","","","","","","",""
"余市岳","[37余市岳よいちだけ1,488m北海道エゾカンゾウ地理院地図Google Map日本三百名山] 余市岳 （よいちだけ）は、 北海道 余市郡 赤井川村 と 札幌市 南区 とにまたがる 標高 1,488mの山である。","https://ja.wikipedia.org/wiki/余市岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度1分58秒東経141度1分10秒","日本北海道札幌市南区・余市郡赤井川村","1,488m","北緯43度1分58秒東経141度1分10秒﻿ / ﻿北緯43.03278度 東経141.01944度﻿ /43.03278; 141.01944座標:北緯43度1分58秒東経141度1分10秒﻿ / ﻿北緯43.03278度 東経141.01944度﻿ /43.03278; 141.01944","","","","","","","","","","","","","","","",""
"夕張岳","[38夕張岳ゆうばりだけ1,668m北海道ユウバリソウ[[Image:画像募集中|128px] 夕張岳 （ゆうばりだけ）は、 北海道 の中央部を南北に走る 夕張山地 の南端に位置する 標高 1,668 m の 山 。 夕張市 と 空知郡 南富良野町 にまたがり、山域は北側の 芦別岳 と共に「 富良野芦別道立自然公園 」に指定されている  。","https://ja.wikipedia.org/wiki/夕張岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度05分59秒東経142度15分04秒","日本北海道夕張市・空知郡南富良野町","1,667.72m","北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111座標:北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111","夕張山地","","","","","","","","","","","","","","",""
"大千軒岳","[39大千軒岳だいせんげんだけ1,072m北海道サルメンエビネ地理院地図Google Map日本三百名山] 大千軒岳 （だいせんげんだけ）は、 北海道 渡島半島 の南西部、 松前郡 松前町 と 上ノ国町 との境にある 山 である。 標高 1,072m。 1896年 （明治29年）、北海道で最初に 一等三角点 が設置された山である。","https://ja.wikipedia.org/wiki/大千軒岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯41度34分46秒東経140度9分39秒","北海道松前郡松前町・上ノ国町","1,071.87m","北緯41度34分46秒東経140度9分39秒﻿ / ﻿北緯41.57944度 東経140.16083度﻿ /41.57944; 140.16083座標:北緯41度34分46秒東経140度9分39秒﻿ / ﻿北緯41.57944度 東経140.16083度﻿ /41.57944; 140.16083","","","","","","","","","","","","","","","",""
"斜里岳","[40斜里岳しゃりだけ1,547m北海道タカネナデシコ地理院地図Google Map新・花の百名山日本百名山] 斜里岳 （しゃりだけ）は 北海道 の 知床半島 にある 火山 。 標高 は1,547m。 斜里岳道立自然公園 に属し、 日本百名山 に選定されている  。 清里町 の観光スポットの一つである。","https://ja.wikipedia.org/wiki/斜里岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度45分56秒東経144度43分04秒","北海道斜里郡斜里町・清里町、標津郡標津町","1,547m","北緯43度45分56秒東経144度43分04秒﻿ / ﻿北緯43.76556度 東経144.71778度﻿ /43.76556; 144.71778","知床半島","成層火山","25万年前","","","","","","","","","","","","",""
"大雪山","[41大雪山たいせつざん2,291m北海道イワウメ地理院地図Google Mapエゾコザクラ、エゾノツガザクラエゾツツジ大雪山国立公園新・花の百名山日本百名山、新日本百名山各都道府県の最高峰] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/大雪山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","旭岳：2,290.93m","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","石狩山地","複成火山","","","","","","","","","","","","","",""
"アポイ岳","[42アポイ岳アポイだけ811m北海道アポイマンテマ[[Image:画像募集中|128px] アポイ岳 （アポイだけ）は、 北海道 様似郡 様似町 かつ 日高山脈 支稜線西南端に位置し、 一等三角点 （点名「冬島」）で標高810.5mの 山 である。","https://ja.wikipedia.org/wiki/アポイ岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯42度06分28秒東経143度01分32秒","日本北海道様似郡様似町","810.5m","北緯42度06分28秒東経143度01分32秒﻿ / ﻿北緯42.10778度 東経143.02556度﻿ /42.10778; 143.02556座標:北緯42度06分28秒東経143度01分32秒﻿ / ﻿北緯42.10778度 東経143.02556度﻿ /42.10778; 143.02556","日高山脈","","","","","","","","","","","","","","",""
"富良野岳","[43富良野岳ふらのだけ1,912m北海道ハクサンイチゲ地理院地図Google Mapエゾノハクサンイチゲ十勝連峰の最南端大雪山国立公園] 富良野岳 （ふらのだけ）は、 石狩山地 の十勝岳連峰の南西部に位置し、 富良野市 と 上富良野町 にまたがる 標高 1,912 m の 山 である。山域は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/富良野岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度23分37秒東経142度38分06秒","日本北海道上川総合振興局富良野市上川総合振興局上富良野町","1,911.90m","北緯43度23分37秒東経142度38分06秒﻿ / ﻿北緯43.39361度 東経142.63500度﻿ /43.39361; 142.63500座標:北緯43度23分37秒東経142度38分06秒﻿ / ﻿北緯43.39361度 東経142.63500度﻿ /43.39361; 142.63500","石狩山地（十勝岳連峰）","成層火山","","","","","","","","","","","","","",""
"十勝岳","[44十勝岳とかちだけ2,077m北海道イワブクロ地理院地図Google Map大雪山国立公園活火山日本百名山] 十勝岳 （とかちだけ）は、 北海道 の中央部の 上川管内 の 美瑛町 ・ 上富良野町 、 十勝管内 の 新得町 にまたがる 標高 2,077 m の 活火山 。 大雪山国立公園  内の 十勝岳連峰 （十勝火山群）の主峰である。 日本百名山  及び 花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/十勝岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度25分05秒東経142度41分11秒","日本北海道上川総合振興局美瑛町・上富良野町、十勝総合振興局新得町","2,077m","北緯43度25分05秒東経142度41分11秒﻿ / ﻿北緯43.41806度 東経142.68639度﻿ /43.41806; 142.68639座標:北緯43度25分05秒東経142度41分11秒﻿ / ﻿北緯43.41806度 東経142.68639度﻿ /43.41806; 142.68639","石狩山地（十勝岳連峰）","成層火山・活火山（ランクＡ）・火山群","","","","","","","","","","","","","",""
"沼ノ平","[45[[Image:画像募集中|128px] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/大雪山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","旭岳：2,290.93m","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","石狩山地","複成火山","","","","","","","","","","","","","",""
"羅臼岳","[46羅臼岳らうすだけ1,660m北海道チシマツガザクラ地理院地図Google Mapシレトコスミレ世界遺産、知床国立公園新花の百名山日本百名山] 羅臼岳 （らうすだけ）は、 北海道 ・ 知床半島 にある 火山 群の主峰及び最高峰で 標高 1,661m   。古くは アイヌ語 で チャチャヌプリ 、また 良牛岳 と記されたこともある。1964年（昭和39年）6月1日に 知床国立公園 に指定され  、 2005年 7月にこの山域を含む知床半島が 知床 (世界遺産) に正式登録された。 日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている山である。","https://ja.wikipedia.org/wiki/羅臼岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯44度04分33秒東経145度07分20秒","日本北海道目梨郡羅臼町・斜里郡斜里町","1,661m","北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222座標:北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222","知床半島","成層火山","","","","","","","","","","","","","",""
"樽前山","[47樽前山たるまえさん1,041m北海道ウラジロタデ地理院地図Google Map日本二百名山] 樽前山 （たるまえさん、たるまえざん、たるまいさん、たるまいざん）は、 北海道 南西部にある 支笏湖 の南側、 苫小牧市 の北西部に位置する 活火山 。 標高 は最高点の樽前ドームで1,041m、 一等三角点 （点名「樽前岳」）の東山で1,022m、 三等三角点 （点名「樽前山」）の西山で994m。 支笏洞爺国立公園 に属する。 風不死岳 、 恵庭岳 とともに支笏三山の一つに数えられる。","https://ja.wikipedia.org/wiki/樽前山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯42度41分26秒東経141度22分36秒","北海道苫小牧市・千歳市","1,041m","北緯42度41分26秒東経141度22分36秒﻿ / ﻿北緯42.69056度 東経141.37667度﻿ /42.69056; 141.37667座標:北緯42度41分26秒東経141度22分36秒﻿ / ﻿北緯42.69056度 東経141.37667度﻿ /42.69056; 141.37667","支笏カルデラ","火砕丘、溶岩ドーム(活火山ランクA)","","","","","","","","","","","","","",""
"雌阿寒岳","[48雌阿寒岳めあかんだけ1,499m北海道メアカンフスマ[[Image:画像募集中|128px] 雌阿寒岳 （めあかんだけ）は、 北海道 東部にある阿寒カルデラの南西部にある8つの火山で構成される成層火山群の総称  。主峰はポンマチネシリ（標高1,499m）  。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/雌阿寒岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度23分12秒東経144度00分32秒","日本北海道釧路総合振興局釧路市、十勝総合振興局足寄町","1,499m","北緯43度23分12秒東経144度00分32秒﻿ / ﻿北緯43.38667度 東経144.00889度﻿ /43.38667; 144.00889座標:北緯43度23分12秒東経144度00分32秒﻿ / ﻿北緯43.38667度 東経144.00889度﻿ /43.38667; 144.00889","","成層火山","","","","","","","","","","","","","",""
"空沼岳","[49空沼岳そらぬまだけ1,251m北海道オクトリカブト地理院地図Google Map支笏洞爺国立公園] 空沼岳 （そらぬまだけ）は、 北海道 石狩管内 の 札幌市 にある 標高 約1,251mの 山 である。山頂付近は 支笏洞爺国立公園 の第1種特別地域に指定されている。","https://ja.wikipedia.org/wiki/空沼岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯42度51分54秒東経141度15分13秒","日本北海道札幌市南区簾舞","1,250.8m","北緯42度51分54秒東経141度15分13秒﻿ / ﻿北緯42.86500度 東経141.25361度﻿ /42.86500; 141.25361座標:北緯42度51分54秒東経141度15分13秒﻿ / ﻿北緯42.86500度 東経141.25361度﻿ /42.86500; 141.25361","","","","","","","","","","","","","","","",""
"雨竜沼","[50雨竜沼うりゅうぬま840m北海道ヒオウギアヤメ地理院地図Google Map暑寒別岳新・花の百名山日本二百名山] 雨竜沼湿原 （うりゅうぬましつげん）は、 北海道 空知管内 の 雨竜郡 雨竜町 にある山岳型 高層湿原 。 暑寒別天売焼尻国定公園 の一部をなし  、 暑寒別岳 東中腹 標高 の約850 - 900メートルの高地にある。 台地 上に東西4キロメートル、南北2キロメートルにわたって広がり、 面積 は101.5 ヘクタール  。","https://ja.wikipedia.org/wiki/雨竜沼湿原","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯43度42分 東経141度36分","","","","","","","","","","","","","","","","","","",""
"国師岳","[51国師岳こくしだけ2,592m長野県山梨県クモイコザクラ地理院地図Google Map秩父多摩甲斐国立公園] 国師岳 （こくしだけ）は 山梨県 山梨市 と 長野県 南佐久郡 川上村 の境界にある 標高 2,592 m の 山 である。 国師ヶ岳 （こくしがたけ）とも呼ばれる。","https://ja.wikipedia.org/wiki/国師岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度52分15秒東経138度40分23秒","日本山梨県山梨市長野県南佐久郡川上村","2,592m","北緯35度52分15秒東経138度40分23秒﻿ / ﻿北緯35.87083度 東経138.67306度﻿ /35.87083; 138.67306座標:北緯35度52分15秒東経138度40分23秒﻿ / ﻿北緯35.87083度 東経138.67306度﻿ /35.87083; 138.67306","奥秩父山塊","","","","","","","","","","","","","","",""
"葦毛湿原","[52葦毛湿原いもうしつげん63m愛知県シラタマホシクサ地理院地図Google Map東海のミニ尾瀬新・花の百名山] 葦毛湿原 （いもう しつげん、Imou bog）は、 愛知県 豊橋市 岩崎町にある 湿原 。愛知県指定の 天然記念物 （ 1992年 2月28日 指定）  。別名「 東海のミニ 尾瀬 」とも言われ、 花の百名山  及び 新・花の百名山  に選定されている。湿原の入り口は、そのまま赤岩山へつながる豊橋自然歩道の一部になっている。","https://ja.wikipedia.org/wiki/葦毛湿原","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯34度44分54.71秒 東経137度27分1.64秒","","","","","","","","","","","","","","","","","","",""
"金峰山","[53金峰山きんぷさん2,599m長野県山梨県シャクナゲ地理院地図Google Map秩父多摩甲斐国立公園日本百名山] 金峰山 （きんぷさん/きんぽうざん）は、 山梨県 甲府市 と 長野県 南佐久郡 川上村 の境界にある標高2,599 m の 山 である。別名「 甲州御岳山 」  。","https://ja.wikipedia.org/wiki/金峰山_(山梨県・長野県)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度52分17秒東経138度37分31秒","山梨県甲府市長野県南佐久郡川上村","2,599m","北緯35度52分17秒東経138度37分31秒﻿ / ﻿北緯35.87139度 東経138.62528度﻿ /35.87139; 138.62528座標:北緯35度52分17秒東経138度37分31秒﻿ / ﻿北緯35.87139度 東経138.62528度﻿ /35.87139; 138.62528","奥秩父山塊","","","","","","","","","","","","","","",""
"白山","[54白山はくさん2,702m石川県岐阜県ミネズオウ地理院地図Google Mapハクサンフウロ、ハクサンチドリハクサンシャクナゲ白山国立公園新・花の百名山日本百名山、新日本百名山日本の山一覧 (高さ順)(第90位)] 白山 （はくさん）は、 日本 の 北陸地方 、 白山国立公園 内  の 石川県 白山市 と 岐阜県 大野郡 白川村 にまたがる 標高 2,702 m の 活火山 である。","https://ja.wikipedia.org/wiki/白山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度09分18秒東経136度46分17秒","日本石川県白山市岐阜県大野郡白川村","2,702.14m","北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139座標:北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139","両白山地","成層火山（活火山ランクC）","","717年 （泰澄上人）","","","","","","","","","","","",""
"立山","[55立山たてやま3,015m富山県イワイチョウ地理院地図Google Mapタテヤマリンドウ中部山岳国立公園日本百名山日本の山一覧 (高さ順)(第20位)] 立山 （たてやま）は、 日本 の 飛騨山脈 （北アルプス）北部、 中部山岳国立公園 を代表する雄大な群峰・連峰群である  。 立山連峰 と 後立山連峰 からなる複列連峰である。特に、立山連峰では、雄峰立山七十二峰八千八谷と謳われ、古来より信仰  の対象として神々が宿る精神的な山々の空間を 立山 と称した。仏教観の 須弥山 。古くは多知夜麻（たちやま）とも立山（りゅうさん・りゅうせん）とも称された。国文学表現の植(う)うる剣とも太刀の峯とも謳われる。","https://ja.wikipedia.org/wiki/立山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度34分33秒東経137度37分11秒","富山県中新川郡立山町芦峅寺","3,015m","北緯36度34分33秒東経137度37分11秒﻿ / ﻿北緯36.57583度 東経137.61972度﻿ /36.57583; 137.61972","飛騨山脈、立山連峰","","","","","","","","","","","","","","",""
"薬師岳","[56薬師岳やくしだけ2,926m富山県キバナシャクナゲ地理院地図Google Map中部山岳国立公園圏谷（カール）新・花の百名山日本百名山日本の山一覧 (高さ順)(第27位)] 薬師岳 （やくしだけ）は 富山県 富山市 南東部に位置する 標高 2,926 m の 山 。 剱岳 ・ 立山 と並ぶ 飛騨山脈 （北アルプス） 立山連峰 の主要峰である。山域は 中部山岳国立公園 に指定されている  。山頂には 二等三角点 が設定されている。点名は「薬師ヶ岳」。所在地は、富山県富山市大字有峰字直川谷割39・黒部谷割国有林  。","https://ja.wikipedia.org/wiki/薬師岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度28分08秒東経137度32分41秒","日本富山県富山市","2,926.01m","北緯36度28分08秒東経137度32分41秒﻿ / ﻿北緯36.46889度 東経137.54472度﻿ /36.46889; 137.54472座標:北緯36度28分08秒東経137度32分41秒﻿ / ﻿北緯36.46889度 東経137.54472度﻿ /36.46889; 137.54472","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"黒部五郎岳","[57黒部五郎岳くろべごろうだけ2,840m富山県岐阜県チングルマ地理院地図Google Map中部山岳国立公園圏谷（カール）日本百名山日本の山一覧 (高さ順)(第51位)] 黒部五郎岳 （くろべごろうだけ）は、 富山県 富山市 、 岐阜県 飛騨市 及び 高山市 にまたがる 飛騨山脈 の 標高 2,840 m の 山 である。別名、 中ノ俣岳 （なかのまただけ）、鍋岳。黒部五郎岳は 富山県 側、中ノ俣岳は 岐阜県 側の古来の名称。 日本百名山  及び 花の百名山  に選定されている。山域は 中部山岳国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/黒部五郎岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度23分33秒東経137度32分24秒","日本富山県富山市岐阜県高山市・飛騨市","2,839.58m","北緯36度23分33秒東経137度32分24秒﻿ / ﻿北緯36.39250度 東経137.54000度﻿ /36.39250; 137.54000座標:北緯36度23分33秒東経137度32分24秒﻿ / ﻿北緯36.39250度 東経137.54000度﻿ /36.39250; 137.54000","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"五色ヶ原","[58五色ヶ原ごしきがはら2,490m富山県クロユリ地理院地図Google Map中部山岳国立公園] 五色ヶ原 （ごしきがはら）は、 立山 から 薬師岳 に続く 立山連峰 の途中にある 台地 。 富山県 富山市 に属する。","https://ja.wikipedia.org/wiki/五色ヶ原_(立山連峰)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度32分20秒 東経137度35分40秒","","","","","","","","","","","","","","","","","","",""
"弓折岳","[59弓折岳ゆみおりだけ2,592m岐阜県ムシトリスミレ地理院地図Google Map中部山岳国立公園鏡平山荘] 弓折岳 （ゆみおりだけ、ゆみおれだけ   ）は、 岐阜県 高山市 にある 飛騨山脈 南部の 標高 2,592 m の 山 。弓折岳を含む飛騨山脈の主な山域は 1934年 （ 昭和 9年）12月4日に 中部山岳国立公園 の指定を受けている  。山頂は台地状  。 花の百名山  、 続ぎふ百山  の一つに選定されている。東山腹にある鏡平が、新高山市100景の一つに選定されている  。","https://ja.wikipedia.org/wiki/弓折岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度20分58秒東経137度35分48秒","日本岐阜県高山市","2,592m","北緯36度20分58秒東経137度35分48秒﻿ / ﻿北緯36.34944度 東経137.59667度﻿ /36.34944; 137.59667座標:北緯36度20分58秒東経137度35分48秒﻿ / ﻿北緯36.34944度 東経137.59667度﻿ /36.34944; 137.59667","飛騨山脈（北アルプス）","","","","","","","","","","","","","","",""
"双六岳","[60双六岳すごろくだけ2,860m岐阜県富山県コバイケイソウ地理院地図Google Map中部山岳国立公園日本の山一覧 (高さ順)(第44位)双六小屋] 双六岳 （すごろくだけ）は、 長野県 大町市 と 岐阜県 高山市 にまたがる 飛騨山脈 の 裏銀座 の主稜線に位置する 標高 2,860 m の 山 である。双六岳を含む飛騨山脈の主な山域は 1934年 （ 昭和 9年）12月4日に 中部山岳国立公園 の指定を受けている   。 花の百名山  、 ぎふ百山  、新高山市100景  の一つに選定されている。","https://ja.wikipedia.org/wiki/双六岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度22分19秒東経137度35分14秒","日本長野県大町市、岐阜県高山市","2,860.29m","北緯36度22分19秒東経137度35分14秒﻿ / ﻿北緯36.37194度 東経137.58722度﻿ /36.37194; 137.58722座標:北緯36度22分19秒東経137度35分14秒﻿ / ﻿北緯36.37194度 東経137.58722度﻿ /36.37194; 137.58722","飛騨山脈","","","","","","","","","","","","","","",""
"仙丈ヶ岳","[61仙丈ヶ岳せんじょうがたけ3,033m長野県山梨県シナノナデシコ地理院地図Google Map南アルプス国立公園圏谷（カール）新・花の百名山日本百名山、新日本百名山日本の山一覧 (高さ順)(第17位)] 仙丈ヶ岳 または 仙丈岳 （せんじょうがたけ・せんじょうだけ）は、 長野県 伊那市 と 山梨県 南アルプス市 にまたがる 南アルプス国立公園 内の 赤石山脈 の北部にある 標高 3,033 m の 山 である。","https://ja.wikipedia.org/wiki/仙丈ヶ岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度43分12秒東経138度11分1秒","日本山梨県南アルプス市長野県伊那市","3,032.88m","北緯35度43分12秒東経138度11分1秒﻿ / ﻿北緯35.72000度 東経138.18361度﻿ /35.72000; 138.18361座標:北緯35度43分12秒東経138度11分1秒﻿ / ﻿北緯35.72000度 東経138.18361度﻿ /35.72000; 138.18361","赤石山脈","氷食尖峰、褶曲隆起","","","","","","","","","","","","","",""
"根子岳","[62根子岳ねこだけ2,207m長野県ウメバチソウ地理院地図Google Map菅平高原] 根子岳 （ねこだけ）は、 長野県 上田市 菅平高原 と 須坂市 の境にある山。 標高 は2,207m。 ウメバチソウ が有名で、 花の百名山 の一つ。","https://ja.wikipedia.org/wiki/根子岳_(長野県)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度32分57秒東経138度23分43秒","日本長野県上田市・須坂市","2,207m","北緯36度32分57秒東経138度23分43秒﻿ / ﻿北緯36.54917度 東経138.39528度﻿ /36.54917; 138.39528座標:北緯36度32分57秒東経138度23分43秒﻿ / ﻿北緯36.54917度 東経138.39528度﻿ /36.54917; 138.39528","四阿山（四阿火山）","","","","","","","","","","","","","","",""
"苗場山","[63苗場山なえばさん2,145m新潟県長野県ツルコケモモ地理院地図Google Mapスキーリゾート日本百名山] 苗場山 （なえばさん）は 新潟県 南部、 長野県 北東部の県境に位置する 標高 2,145mの火山。","https://ja.wikipedia.org/wiki/苗場山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度50分45秒東経138度41分25秒","日本新潟県湯沢町・津南町長野県栄村","2,145m","北緯36度50分45秒東経138度41分25秒﻿ / ﻿北緯36.84583度 東経138.69028度﻿ /36.84583; 138.69028座標:北緯36度50分45秒東経138度41分25秒﻿ / ﻿北緯36.84583度 東経138.69028度﻿ /36.84583; 138.69028","三国山脈","第四紀火山","","","","","","","","","","","","","",""
"霧ノ塔","[64[[Image:画像募集中|128px]]霧ノ塔きりのとう1,994m新潟県長野県トキソウ地理院地図Google Map苗場山の北]","https://ja.wikipedia.org/w/index.php?title=霧ノ塔&amp;action=edit&amp;redlink=1","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"守屋山","[65守屋山もりやさん1,650m長野県ザゼンソウ地理院地図Google Map伊那山地北部] 守屋山 （もりやさん）は、 長野県 諏訪市 と 伊那市 との境にある 標高 1,651mの山である   。","https://ja.wikipedia.org/wiki/守屋山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度58分03秒東経138度05分36秒","日本長野県諏訪市・伊那市","1,650.3m","北緯35度58分03秒東経138度05分36秒﻿ / ﻿北緯35.96750度 東経138.09333度﻿ /35.96750; 138.09333座標:北緯35度58分03秒東経138度05分36秒﻿ / ﻿北緯35.96750度 東経138.09333度﻿ /35.96750; 138.09333","伊那山地","","","","","","","","","","","","","","",""
