"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"土師ノ里駅","土師ノ里駅（はじのさとえき）","https://ja.wikipedia.org/wiki/土師ノ里駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度34分18.27秒東経135度36分55.43秒","F南大阪線","15.6 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","地上駅（掘割駅）","1924年（大正13年）6月1日","2面2線","大阪府藤井寺市道明寺一丁目1-28北緯34度34分18.27秒東経135度36分55.43秒﻿ / ﻿北緯34.5717417度 東経135.6153972度﻿ /34.5717417; 135.6153972座標:北緯34度34分18.27秒東経135度36分55.43秒﻿ / ﻿北緯34.5717417度 東経135.6153972度﻿ /34.5717417; 135.6153972",""," F14 ","ハシノ","","（特定日）7,284人/日-2018年-","","","","","","",""
"波止浜駅","波止浜駅（はしはまえき）","https://ja.wikipedia.org/wiki/波止浜駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度5分52.99秒東経132度58分7.55秒","■予讃線","149.6 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1924年（大正13年）12月1日","2面2線","愛媛県今治市高部北緯34度5分52.99秒東経132度58分7.55秒﻿ / ﻿北緯34.0980528度 東経132.9687639度﻿ /34.0980528; 132.9687639座標:北緯34度5分52.99秒東経132度58分7.55秒﻿ / ﻿北緯34.0980528度 東経132.9687639度﻿ /34.0980528; 132.9687639","無人駅","○Y41","ハハ","","234[1]人/日-2019年-","","","","","","",""
"羽島市役所前駅","羽島市役所前駅（はしましやくしょまええき）","https://ja.wikipedia.org/wiki/羽島市役所前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度19分19秒東経136度42分0秒","竹鼻線","9.6 km（笠松起点）","名古屋鉄道","地上駅","1929年（昭和4年）4月1日","1面2線","岐阜県羽島市竹鼻町宮町761北緯35度19分19秒東経136度42分0秒﻿ / ﻿北緯35.32194度 東経136.70000度﻿ /35.32194; 136.70000座標:北緯35度19分19秒東経136度42分0秒﻿ / ﻿北緯35.32194度 東経136.70000度﻿ /35.32194; 136.70000","有人駅","TH  07 ","","","1,820人/日-2019年-","なし","","","","","",""
"橋本駅 (神奈川県)","橋本駅 (神奈川県)（はしもとえき・東日本旅客鉄道横浜線・相模線・京王相模原線）","https://ja.wikipedia.org/wiki/橋本駅_(神奈川県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京王電鉄（駅詳細）","","","","神奈川県相模原市緑区橋本","","","","","","","","","","","",""
"橋本駅 (京都府)","橋本駅 (京都府)（はしもとえき・京阪本線）","https://ja.wikipedia.org/wiki/橋本駅_(京都府)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度52分54.01秒東経135度41分2.76秒","■京阪本線","30.1 km（淀屋橋起点）","京阪電気鉄道","地上駅","1910年（明治43年）4月15日","2面2線","京都府八幡市橋本中ノ町37番地北緯34度52分54.01秒東経135度41分2.76秒﻿ / ﻿北緯34.8816694度 東経135.6841000度﻿ /34.8816694; 135.6841000﻿ (橋本駅)","無人駅（自動券売機有）","KH  25","橋（駅名略称方式）","","5,932人/日-2019年-","","","","","","",""
"橋本駅 (和歌山県)","橋本駅 (和歌山県)（はしもとえき・西日本旅客鉄道和歌山線・南海高野線）","https://ja.wikipedia.org/wiki/橋本駅_(和歌山県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）南海電気鉄道（南海・駅詳細）","","","","和歌山県橋本市","","","","","","","","","","","",""
"橋本駅 (福岡県)","橋本駅 (福岡県)（はしもとえき・福岡市地下鉄七隈線）","https://ja.wikipedia.org/wiki/橋本駅_(福岡県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度33分18.74秒東経130度19分15.83秒","地下鉄七隈線","0.0 km（橋本起点）","福岡市交通局","地下駅","2005年（平成17年）2月3日","2面3線","福岡市西区橋本二丁目北緯33度33分18.74秒東経130度19分15.83秒﻿ / ﻿北緯33.5552056度 東経130.3210639度﻿ /33.5552056; 130.3210639﻿ (橋本駅)座標:北緯33度33分18.74秒東経130度19分15.83秒﻿ / ﻿北緯33.5552056度 東経130.3210639度﻿ /33.5552056; 130.3210639﻿ (橋本駅)","業務委託駅","○N01","","4,320人/日（降車客含まず）-2017年-","","","","","","","",""
"馬車道駅","馬車道駅（ばしゃみちえき）","https://ja.wikipedia.org/wiki/馬車道駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度27分0.5秒東経139度38分10.2秒","■みなとみらい線","2.6 km（横浜起点）","横浜高速鉄道","地下駅","2004年（平成16年）2月1日[1]","1面2線","横浜市中区本町五丁目49北緯35度27分0.5秒東経139度38分10.2秒﻿ / ﻿北緯35.450139度 東経139.636167度﻿ /35.450139; 139.636167﻿ (馬車道駅)座標:北緯35度27分0.5秒東経139度38分10.2秒﻿ / ﻿北緯35.450139度 東経139.636167度﻿ /35.450139; 139.636167﻿ (馬車道駅)","","MM04","","","41,627人/日-2019年-","","","","","","",""
"柱野駅","柱野駅（はしらのえき）","https://ja.wikipedia.org/wiki/柱野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度8分36.23秒東経132度9分15.71秒","■岩徳線","8.5 km（岩国起点）","西日本旅客鉄道（JR西日本）","地上駅（盛土上）","1934年（昭和9年）12月1日","1面2線","山口県岩国市大字柱野610-2北緯34度8分36.23秒東経132度9分15.71秒﻿ / ﻿北緯34.1433972度 東経132.1543639度﻿ /34.1433972; 132.1543639座標:北緯34度8分36.23秒東経132度9分15.71秒﻿ / ﻿北緯34.1433972度 東経132.1543639度﻿ /34.1433972; 132.1543639","無人駅（自動券売機 有）","","ラノ","33人/日（降車客含まず）-2019年-","","","","","","","",""
"蓮池町通停留場","蓮池町通停留場（はすいけまちどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/蓮池町通停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度33分42.73秒東経133度32分35.55秒","桟橋線（駅前線）","0.5 km（高知駅前起点）","とさでん交通","地上駅","1928年（昭和3年）2月16日","2面2線","高知県高知市はりまや町北緯33度33分42.73秒東経133度32分35.55秒﻿ / ﻿北緯33.5618694度 東経133.5432083度﻿ /33.5618694; 133.5432083﻿ (蓮池町通停留場*)","* 1938年に蓮池町停留場から改称","","","","","","","","","","",""
"蓮ケ池駅","蓮ケ池駅（はすがいけえき）","https://ja.wikipedia.org/wiki/蓮ケ池駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯31度57分36.50秒東経131度26分34.14秒","日豊本線","334.7 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1986年（昭和61年）12月1日[1]","1面1線[1]","宮崎県宮崎市村角町[1]北緯31度57分36.50秒東経131度26分34.14秒","無人駅[1]","","ハス","196人/日（降車客含まず）-2015年-","","","","","","","",""
"バスセンター前駅","バスセンター前駅（バスセンターまええき）","https://ja.wikipedia.org/wiki/バスセンター前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯43度3分40.57秒東経141度21分37.7秒","札幌市営地下鉄東西線","9.3 km（宮の沢起点）","札幌市交通局","地下駅","1976年（昭和51年）6月10日","1面2線","札幌市中央区南1条東4丁目北緯43度3分40.57秒東経141度21分37.7秒﻿ / ﻿北緯43.0612694度 東経141.360472度﻿ /43.0612694; 141.360472﻿ (バスセンター前駅)座標:北緯43度3分40.57秒東経141度21分37.7秒﻿ / ﻿北緯43.0612694度 東経141.360472度﻿ /43.0612694; 141.360472﻿ (バスセンター前駅)","","○T10","","9,752人/日（降車客含まず）-2019年-","","","","","","","",""
"蓮田駅","蓮田駅（はすだえき）","https://ja.wikipedia.org/wiki/蓮田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度58分52.90秒東経139度39分10.45秒","■東北本線（宇都宮線）","39.2 km（東京起点）東京から尾久経由で39.4 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1885年（明治18年）7月16日","2面3線","埼玉県蓮田市本町1-2北緯35度58分52.90秒東経139度39分10.45秒","直営駅（管理駅）みどりの窓口有","","ハス","20,804人/日（降車客含まず）-2019年-","","","","","","","",""
"蓮沼駅","蓮沼駅（はすぬまえき）","https://ja.wikipedia.org/wiki/蓮沼駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度33分51.7秒東経139度42分30.7秒","■池上線","10.1 km（五反田起点）","東急電鉄","地上駅","1922年（大正11年）10月6日","2面2線","東京都大田区西蒲田七丁目17番1号北緯35度33分51.7秒東経139度42分30.7秒﻿ / ﻿北緯35.564361度 東経139.708528度﻿ /35.564361; 139.708528座標:北緯35度33分51.7秒東経139度42分30.7秒﻿ / ﻿北緯35.564361度 東経139.708528度﻿ /35.564361; 139.708528","","IK14","","","6,568人/日-2020年-","","","","","","",""
"蓮根駅","蓮根駅（はすねえき）","https://ja.wikipedia.org/wiki/蓮根駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度47分3秒東経139度40分44.5秒","●[1]三田線","23.2 km（目黒起点）","東京都交通局（都営地下鉄）","高架駅","1968年（昭和43年）12月27日","1面2線","東京都板橋区蓮根二丁目31-30北緯35度47分3秒東経139度40分44.5秒﻿ / ﻿北緯35.78417度 東経139.679028度﻿ /35.78417; 139.679028﻿ (蓮根駅)座標:北緯35度47分3秒東経139度40分44.5秒﻿ / ﻿北緯35.78417度 東経139.679028度﻿ /35.78417; 139.679028﻿ (蓮根駅)","","I23[1]","蓮[2]（駅名略称）","","19,459人/日-2019年-","","","","","","",""
"蓮町（馬場記念公園前）駅","蓮町（馬場記念公園前）駅（はすまち（ばばきねんこうえんまえ）えき）","https://ja.wikipedia.org/wiki/蓮町（馬場記念公園前）駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度44分33.3秒東経137度13分38.9秒","■富山港線","5.5 km（富山駅起点）","富山地方鉄道","地上駅","2006年4月29日","2面1線","富山県富山市蓮町北緯36度44分33.3秒東経137度13分38.9秒﻿ / ﻿北緯36.742583度 東経137.227472度﻿ /36.742583; 137.227472﻿ (蓮町（馬場記念公園前）駅*)座標:北緯36度44分33.3秒東経137度13分38.9秒﻿ / ﻿北緯36.742583度 東経137.227472度﻿ /36.742583; 137.227472﻿ (蓮町（馬場記念公園前）駅*)","旧駅は1924年7月23日開業、2006年3月1日廃止","C35","ハス（転換前）","","523[1]人/日-2019年-","","","","","","",""
"長谷駅 (神奈川県)","長谷駅 (神奈川県)（はせえき・江ノ島電鉄線）","https://ja.wikipedia.org/wiki/長谷駅_(神奈川県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度18分40.7秒東経139度32分9.7秒","江ノ島電鉄線","8.3 km（藤沢起点）","江ノ島電鉄","地上駅","1907年（明治40年）8月16日","2面2線","神奈川県鎌倉市長谷二丁目14-10北緯35度18分40.7秒東経139度32分9.7秒﻿ / ﻿北緯35.311306度 東経139.536028度﻿ /35.311306; 139.536028﻿ (長谷駅)座標:北緯35度18分40.7秒東経139度32分9.7秒﻿ / ﻿北緯35.311306度 東経139.536028度﻿ /35.311306; 139.536028﻿ (長谷駅)","","EN12","","","9,276人/日-2019年-","","","","","","",""
"長谷駅 (兵庫県)","長谷駅 (兵庫県)（はせえき・西日本旅客鉄道播但線）","https://ja.wikipedia.org/wiki/長谷駅_(兵庫県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","J播但線","35.9 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅（盛土上）[1]","1895年（明治28年）1月15日[1]","1面2線[1]","","無人駅[1]","","ハセ","19人/日（降車客含まず）-2016年-","","","","","","","",""
"波瀬駅","波瀬駅（はぜえき）","https://ja.wikipedia.org/wiki/波瀬駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度19分23.05秒東経129度48分26.09秒","■西九州線","22.8 km（有田起点）","松浦鉄道","地上駅","1991年（平成3年）3月16日","1面1線","佐賀県伊万里市山代町久原北緯33度19分23.05秒東経129度48分26.09秒","","","","7人/日（降車客含まず）-2017年-","13人/日-2017年-","","","","","","",""
"長谷寺駅","長谷寺駅（はせでらえき）","https://ja.wikipedia.org/wiki/長谷寺駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度31分37.31秒東経135度54分22.53秒","D大阪線","45.6 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅（盛土上）","1929年（昭和4年）10月27日","2面2線","奈良県桜井市大字初瀬2499北緯34度31分37.31秒東経135度54分22.53秒﻿ / ﻿北緯34.5270306度 東経135.9062583度﻿ /34.5270306; 135.9062583座標:北緯34度31分37.31秒東経135度54分22.53秒﻿ / ﻿北緯34.5270306度 東経135.9062583度﻿ /34.5270306; 135.9062583",""," D44 ","ハセ","532人/日（降車客含まず）-2018年-","","","","","","","",""
"波田駅","波田駅（はたえき・アルピコ交通上高地線）","https://ja.wikipedia.org/wiki/波田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度12分1.28秒東経137度51分23.05秒","上高地線","11.1 km（松本起点）","アルピコ交通","地上駅","1922年（大正11年）5月10日[1]","1面2線[1]","長野県松本市波田鍋割4417-28北緯36度12分1.28秒東経137度51分23.05秒﻿ / ﻿北緯36.2003556度 東経137.8564028度﻿ /36.2003556; 137.8564028座標:北緯36度12分1.28秒東経137度51分23.05秒﻿ / ﻿北緯36.2003556度 東経137.8564028度﻿ /36.2003556; 137.8564028","","AK-12","","548人/日（降車客含まず）-2017年-","1,082人/日-2017年-","","","","","","",""
"葉多駅","葉多駅（はたえき・神戸電鉄粟生線）","https://ja.wikipedia.org/wiki/葉多駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","粟生線","27.7km（鈴蘭台起点）湊川から35.2km新開地から35.6 km","神戸電鉄","地上駅[1]","1952年（昭和27年）4月10日[1]","1面1線[1]","","無人駅[1]","○KB58","","103人/日（降車客含まず）-2019年-","113[2]人/日-2019年-","","","","","","",""
"波多浦駅","波多浦駅（はたうらえき）","https://ja.wikipedia.org/wiki/波多浦駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯32度36分57.02秒東経130度29分18.32秒","三角線（あまくさみすみ線）","23.5 km（宇土起点）","九州旅客鉄道（JR九州）","地上駅","1959年（昭和34年）12月25日[1]","1面1線[1]","熊本県宇城市三角町波多[1]北緯32度36分57.02秒東経130度29分18.32秒","無人駅[1]（自動券売機 有）","","ハタ","","404人/日-2009年-","","","","","","",""
"波多江駅","波多江駅（はたええき）","https://ja.wikipedia.org/wiki/波多江駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度33分50.67秒東経130度13分36.53秒","JK筑肥線","10.1 km（姪浜起点）","九州旅客鉄道（JR九州）","地上駅","1928年（昭和3年）7月1日","1面2線","福岡県糸島市波多江駅北四丁目3-13北緯33度33分50.67秒東経130度13分36.53秒﻿ / ﻿北緯33.5640750度 東経130.2268139度﻿ /33.5640750; 130.2268139座標:北緯33度33分50.67秒東経130度13分36.53秒﻿ / ﻿北緯33.5640750度 東経130.2268139度﻿ /33.5640750; 130.2268139","業務委託駅みどりの窓口有","JK  06 ","タエ←ハタヱ","2,522人/日（降車客含まず）-2019年-","","","","","","","",""
"波高島駅","波高島駅（はだかじまえき）","https://ja.wikipedia.org/wiki/波高島駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度25分6.75秒東経138度27分34.65秒","CC身延線","50.2 km（富士起点）","東海旅客鉄道（JR東海）","地上駅","1927年（昭和2年）12月17日[1]","1面2線","山梨県南巨摩郡身延町波高島608北緯35度25分6.75秒東経138度27分34.65秒﻿ / ﻿北緯35.4185417度 東経138.4596250度﻿ /35.4185417; 138.4596250座標:北緯35度25分6.75秒東経138度27分34.65秒﻿ / ﻿北緯35.4185417度 東経138.4596250度﻿ /35.4185417; 138.4596250","無人駅","","タシ","30人/日（降車客含まず）-2018年-","","","","","","","",""
"幡ヶ谷駅","幡ヶ谷駅（はたがやえき）","https://ja.wikipedia.org/wiki/幡ヶ谷駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度40分37.4秒東経139度40分34.3秒","■京王新線","2.7 km（新宿起点）","京王電鉄","地下駅","1913年（大正2年）11月11日","2面2線","東京都渋谷区幡ヶ谷一丁目2番1号北緯35度40分37.4秒東経139度40分34.3秒﻿ / ﻿北緯35.677056度 東経139.676194度﻿ /35.677056; 139.676194﻿ (幡ヶ谷駅)座標:北緯35度40分37.4秒東経139度40分34.3秒﻿ / ﻿北緯35.677056度 東経139.676194度﻿ /35.677056; 139.676194﻿ (幡ヶ谷駅)","1978年10月、新宿 ｰ 笹塚間複々線化。線増部となる京王新線側へホームを移設","KO03","","","32,604人/日-2019年-","","","","","","",""
"八多喜駅","八多喜駅（はたきえき）","https://ja.wikipedia.org/wiki/八多喜駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度33分44.85秒東経132度32分27.28秒","■予讃線（愛ある伊予灘線）","241.7 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1918年（大正7年）2月14日","1面1線","愛媛県大洲市八多喜町北緯33度33分44.85秒東経132度32分27.28秒﻿ / ﻿北緯33.5624583度 東経132.5409111度﻿ /33.5624583; 132.5409111座標:北緯33度33分44.85秒東経132度32分27.28秒﻿ / ﻿北緯33.5624583度 東経132.5409111度﻿ /33.5624583; 132.5409111","無人駅","○S15","ハキ","","64[1]人/日-2019年-","","","","","","",""
"畠田駅","畠田駅（はたけだえき）","https://ja.wikipedia.org/wiki/畠田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","T和歌山線","2.6 km（王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1955年（昭和30年）12月27日","1面1線","","業務委託駅みどりの窓口有","","ハケ","1,722人/日（降車客含まず）-2018年-","","","","","","","",""
"波田須駅","波田須駅（はだすえき）","https://ja.wikipedia.org/wiki/波田須駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度54分36.97秒東経136度8分18.11秒","紀勢本線","153.2 km（亀山起点）","東海旅客鉄道（JR東海）","地上駅","1961年（昭和36年）12月11日[1][2]","1面1線[1]","三重県熊野市波田須町713北緯33度54分36.97秒東経136度8分18.11秒","駅員無配置駅[1][3]","","ハス","19人/日（降車客含まず）-2019年-","","","","","","","",""
"畑田駅","畑田駅（はただえき）","https://ja.wikipedia.org/wiki/畑田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度15分33.3秒東経133度58分19.7秒","■琴平線","15.8 km（高松築港起点）","高松琴平電気鉄道","地上駅","1926年（大正15年）12月21日","単式ホーム1面1線","香川県綾歌郡綾川町畑田1091北緯34度15分33.3秒東経133度58分19.7秒﻿ / ﻿北緯34.259250度 東経133.972139度﻿ /34.259250; 133.972139座標:北緯34度15分33.3秒東経133度58分19.7秒﻿ / ﻿北緯34.259250度 東経133.972139度﻿ /34.259250; 133.972139","無人駅"," K12 ","","","255人/日-2018年-","","","","","","",""
"羽立駅","羽立駅（はだちえき）","https://ja.wikipedia.org/wiki/羽立駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度54分17秒東経139度51分45秒","■男鹿線","23.7km（追分起点）秋田から36.7 km","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）12月1日[1]","1面1線","秋田県男鹿市船川港比詰字大巻103北緯39度54分17秒東経139度51分45秒﻿ / ﻿北緯39.90472度 東経139.86250度﻿ /39.90472; 139.86250座標:北緯39度54分17秒東経139度51分45秒﻿ / ﻿北緯39.90472度 東経139.86250度﻿ /39.90472; 139.86250","無人駅","","ハチ","370人/日（降車客含まず）-2002年-","","","","","","","",""
"秦野駅","秦野駅（はだのえき）","https://ja.wikipedia.org/wiki/秦野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度22分13秒東経139度13分33秒","小田原線","61.7 km（新宿起点）","小田急電鉄","地上駅（橋上駅）","1927年（昭和2年）4月1日","2面4線","神奈川県秦野市大秦町1番1北緯35度22分13秒東経139度13分33秒﻿ / ﻿北緯35.37028度 東経139.22583度﻿ /35.37028; 139.22583座標:北緯35度22分13秒東経139度13分33秒﻿ / ﻿北緯35.37028度 東経139.22583度﻿ /35.37028; 139.22583","駅名改称:1987年3月9日 大秦野駅→秦野駅","OH39","","","42,011人/日-2019年-","","","","","","",""
"旗の台駅","旗の台駅（はたのだいえき）","https://ja.wikipedia.org/wiki/旗の台駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度36分17.4秒東経139度42分10.1秒","■大井町線","3.2 km（大井町起点）","東急電鉄","高架駅（大井町線）地上駅（池上線）","1927年（昭和2年）7月6日（大井町線）[2]1927年（昭和2年）8月28日（池上線）[3]","2面4線（大井町線）2面2線（池上線）","東京都品川区旗の台二丁目13番1号北緯35度36分17.4秒東経139度42分10.1秒﻿ / ﻿北緯35.604833度 東経139.702806度﻿ /35.604833; 139.702806座標:北緯35度36分17.4秒東経139度42分10.1秒﻿ / ﻿北緯35.604833度 東経139.702806度﻿ /35.604833; 139.702806","東急電鉄直営駅","OM06","","","（大井町線）18,192人/日（池上線）10,257人/日（合計）28,449人/日-2020年-","","","","","","",""
"幡生駅","幡生駅（はたぶえき）","https://ja.wikipedia.org/wiki/幡生駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度58分49.01秒東経130度55分37.01秒","■山陽本線","524.6 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1901年（明治34年）5月27日","2面4線","山口県下関市幡生宮の下町1-1北緯33度58分49.01秒東経130度55分37.01秒﻿ / ﻿北緯33.9802806度 東経130.9269472度﻿ /33.9802806; 130.9269472座標:北緯33度58分49.01秒東経130度55分37.01秒﻿ / ﻿北緯33.9802806度 東経130.9269472度﻿ /33.9802806; 130.9269472","業務委託駅（運転業務は直営）みどりの窓口有","","ハタ","2,555人/日（降車客含まず）-2019年-","","","","","","","",""
"端間駅","端間駅（はたまえき）","https://ja.wikipedia.org/wiki/端間駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度22分41.02秒東経130度33分2.63秒","■天神大牟田線","30.7 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1924年（大正13年）4月12日","2面2線","福岡県小郡市福童北緯33度22分41.02秒東経130度33分2.63秒﻿ / ﻿北緯33.3780611度 東経130.5507306度﻿ /33.3780611; 130.5507306座標:北緯33度22分41.02秒東経130度33分2.63秒﻿ / ﻿北緯33.3780611度 東経130.5507306度﻿ /33.3780611; 130.5507306","","T  23 ","","","1,735人/日-2019年-","","","","","","",""
"幡屋駅","幡屋駅（はたやえき）","https://ja.wikipedia.org/wiki/幡屋駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度20分5.4秒東経132度56分21.72秒","E木次線","11.8 km（宍道起点）","西日本旅客鉄道（JR西日本）","地上駅","1918年（大正7年）2月11日*","1面1線","島根県雲南市大東町仁和寺1886北緯35度20分5.4秒東経132度56分21.72秒﻿ / ﻿北緯35.334833度 東経132.9393667度﻿ /35.334833; 132.9393667座標:北緯35度20分5.4秒東経132度56分21.72秒﻿ / ﻿北緯35.334833度 東経132.9393667度﻿ /35.334833; 132.9393667","無人駅","","ハヤ","41人/日（降車客含まず）-2018年-","","","","","","","",""
"八王子駅","八王子駅（はちおうじえき）","https://ja.wikipedia.org/wiki/八王子駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度39分20秒東経139度20分20秒","■■中央本線（中央線）","37.1km（新宿起点）東京から47.4 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅（橋上駅）","1889年（明治22年）8月11日[1]","3面6線[1]","東京都八王子市旭町1-1北緯35度39分20秒東経139度20分20秒﻿ / ﻿北緯35.65556度 東経139.33889度﻿ /35.65556; 139.33889﻿ (八王子駅)座標:北緯35度39分20秒東経139度20分20秒﻿ / ﻿北緯35.65556度 東経139.33889度﻿ /35.65556; 139.33889﻿ (八王子駅)","直営駅（管理駅）みどりの窓口有","JC22[報道 1]","ハチ","83,565人/日（降車客含まず）-2019年-","","京王八王子駅（京王線）","","","","","",""
"八王子みなみ野駅","八王子みなみ野駅（はちおうじみなみのえき）","https://ja.wikipedia.org/wiki/八王子みなみ野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度37分53秒東経139度19分51.5秒","■横浜線*","38.6 km（東神奈川起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[新聞 1]","1997年（平成9年）4月1日[新聞 1]","1面2線[新聞 1]","東京都八王子市みなみ野一丁目1-1北緯35度37分53秒東経139度19分51.5秒﻿ / ﻿北緯35.63139度 東経139.330972度﻿ /35.63139; 139.330972﻿ (八王子みなみ野駅)座標:北緯35度37分53秒東経139度19分51.5秒﻿ / ﻿北緯35.63139度 東経139.330972度﻿ /35.63139; 139.330972﻿ (八王子みなみ野駅)","業務委託駅みどりの窓口有","JH30","ハミ","18,695人/日（降車客含まず）-2019年-","","","","","","","",""
