"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","正式名称","愛称","専門分野"
"牧之郷駅","牧之郷駅（まきのこうえき）","https://ja.wikipedia.org/wiki/牧之郷駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度59分19.15秒東経138度57分15.68秒","■駿豆線","18.6 km（三島起点）","伊豆箱根鉄道","静岡県伊豆市牧之郷535番地の2北緯34度59分19.15秒東経138度57分15.68秒﻿ / ﻿北緯34.9886528度 東経138.9543556度﻿ /34.9886528; 138.9543556座標:北緯34度59分19.15秒東経138度57分15.68秒﻿ / ﻿北緯34.9886528度 東経138.9543556度﻿ /34.9886528; 138.9543556","地上駅","1924年（大正13年）8月1日","2面2線","無人駅","","IS12","212人/日（降車客含まず）-2019年-","","","","","","","",""
"巻向駅","巻向駅（まきむくえき）","https://ja.wikipedia.org/wiki/巻向駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度32分41.52秒東経135度50分27.94秒","U桜井線（万葉まほろば線）","15.9 km（奈良起点）","西日本旅客鉄道（JR西日本）","奈良県桜井市大字辻36北緯34度32分41.52秒東経135度50分27.94秒","地上駅","1955年（昭和30年）8月1日[1]","1面1線","無人駅（自動券売機 有）","マキ","","360人/日（降車客含まず）-2018年-","","","","","","","",""
"牧山駅","牧山駅（まきやまえき）","https://ja.wikipedia.org/wiki/牧山駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度44分27.38秒東経133度57分38.70秒","T津山線","11.4 km（岡山起点）","西日本旅客鉄道（JR西日本）","岡山市北区下牧北緯34度44分27.38秒東経133度57分38.70秒","地上駅","1912年（大正元年）10月10日","2面2線","無人駅（乗車駅証明書発行機 有）","キマ","","29人/日（降車客含まず）-2019年-","","","","","","","",""
"馬来田駅","馬来田駅（まくたえき）","https://ja.wikipedia.org/wiki/馬来田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度22分0.5秒東経140度3分31秒","■久留里線","13.9 km（木更津起点）","東日本旅客鉄道（JR東日本）","千葉県木更津市真里107北緯35度22分0.5秒東経140度3分31秒座標:北緯35度22分0.5秒 東経140度3分31秒","地上駅","1912年（大正元年）12月28日[2]","1面1線[1]","簡易委託駅","マク","","191人/日（降車客含まず）-2019年-","","","","","","","",""
"幕張駅","幕張駅（まくはりえき）","https://ja.wikipedia.org/wiki/幕張駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度39分34秒東経140度3分28.5秒","■総武線（各駅停車）（正式には総武本線）","31.6 km（東京起点）千葉から7.6 km","東日本旅客鉄道（JR東日本）","千葉市花見川区幕張町五丁目121北緯35度39分34秒東経140度3分28.5秒﻿ / ﻿北緯35.65944度 東経140.057917度﻿ /35.65944; 140.057917座標:北緯35度39分34秒東経140度3分28.5秒﻿ / ﻿北緯35.65944度 東経140.057917度﻿ /35.65944; 140.057917","地上駅（橋上駅）","1894年（明治27年）12月9日[1]","2面3線","直営駅","マリ","JB35","15,944人/日（降車客含まず）-2019年-","","","","","","","",""
"幕張本郷駅","幕張本郷駅（まくはりほんごうえき）","https://ja.wikipedia.org/wiki/幕張本郷駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京成電鉄（駅詳細）","千葉市花見川区幕張本郷一丁目[1]","","","","","","","","","","","","","","",""
"幕別駅","幕別駅（まくべつえき）","https://ja.wikipedia.org/wiki/幕別駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯42度54分28.24秒東経143度21分33.11秒","■根室本線","194.3 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道中川郡幕別町錦町北緯42度54分28.24秒東経143度21分33.11秒﻿ / ﻿北緯42.9078444度 東経143.3591972度﻿ /42.9078444; 143.3591972﻿ (幕別駅)","地上駅","1905年（明治38年）10月21日","2面3線","業務委託駅みどりの窓口 有","マクヤム（改称前）","○K34","","386人/日-2018年-","","","","","","",""
"真倉駅","真倉駅（まぐらえき）","https://ja.wikipedia.org/wiki/真倉駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度24分25.03秒東経135度19分33.66秒","L舞鶴線","15.5 km（綾部起点）","西日本旅客鉄道（JR西日本）","京都府舞鶴市真倉178-1北緯35度24分25.03秒東経135度19分33.66秒﻿ / ﻿北緯35.4069528度 東経135.3260167度﻿ /35.4069528; 135.3260167座標:北緯35度24分25.03秒東経135度19分33.66秒﻿ / ﻿北緯35.4069528度 東経135.3260167度﻿ /35.4069528; 135.3260167","地上駅","1951年（昭和26年）9月1日","2面2線","無人駅","マクナス（中筋信号場時代）","","25人/日（降車客含まず）-2016年-","","","","","","","",""
"枕崎駅","枕崎駅（まくらざきえき）","https://ja.wikipedia.org/wiki/枕崎駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯31度16分19.64秒東経130度17分58.14秒","指宿枕崎線","87.8 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県枕崎市東本町6北緯31度16分19.64秒東経130度17分58.14秒﻿ / ﻿北緯31.2721222度 東経130.2994833度﻿ /31.2721222; 130.2994833﻿ (枕崎駅)","地上駅","1963年（昭和38年）10月31日","1面1線","無人駅","マク","","25人/日（降車客含まず）-2015年-","53人/日-2015年-","","","","","","",""
"真駒内駅","真駒内駅（まこまないえき）","https://ja.wikipedia.org/wiki/真駒内駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯42度59分28.3秒東経141度21分30.4秒","札幌市営地下鉄南北線","14.3 km（麻生起点）","札幌市交通局","札幌市南区真駒内17番地[1]北緯42度59分28.3秒東経141度21分30.4秒﻿ / ﻿北緯42.991194度 東経141.358444度﻿ /42.991194; 141.358444座標:北緯42度59分28.3秒東経141度21分30.4秒﻿ / ﻿北緯42.991194度 東経141.358444度﻿ /42.991194; 141.358444","高架駅","1971年（昭和46年）12月16日","1面2線","","","○N16[2]","12,553人/日（降車客含まず）-2019年-","","","","","","","",""
"馬込駅","馬込駅（まごめえき）","https://ja.wikipedia.org/wiki/馬込駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度35分47.1秒東経139度42分42.5秒","●[1]浅草線","1.2 km（西馬込起点）","東京都交通局（都営地下鉄）","東京都大田区北馬込二丁目31-9[2]北緯35度35分47.1秒東経139度42分42.5秒﻿ / ﻿北緯35.596417度 東経139.711806度﻿ /35.596417; 139.711806座標:北緯35度35分47.1秒東経139度42分42.5秒﻿ / ﻿北緯35.596417度 東経139.711806度﻿ /35.596417; 139.711806","地下駅","1968年（昭和43年）11月15日[4]","1面2線[3]","","馬（駅名略称）","A02[1][2]","","29,491人/日-2019年-","","","","","","",""
"馬込沢駅","馬込沢駅（まごめざわえき）","https://ja.wikipedia.org/wiki/馬込沢駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度44分30秒東経139度59分32.4秒","■野田線（東武アーバンパークライン）","57.7 km（大宮起点）","東武鉄道","千葉県船橋市藤原七丁目2番1号北緯35度44分30秒東経139度59分32.4秒﻿ / ﻿北緯35.74167度 東経139.992333度﻿ /35.74167; 139.992333座標:北緯35度44分30秒東経139度59分32.4秒﻿ / ﻿北緯35.74167度 東経139.992333度﻿ /35.74167; 139.992333","地上駅","1923年（大正12年）12月27日","2面2線","1924年に法典駅より改称","マコ","TD32","","26,529人/日-2019年-","","","","","","",""
"真幸駅","真幸駅（まさきえき・九州旅客鉄道肥薩線）","https://ja.wikipedia.org/wiki/真幸駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯32度4分28.37秒東経130度43分44.83秒","肥薩線","79.0 km（八代起点）","九州旅客鉄道（JR九州）","宮崎県えびの市大字内堅947北緯32度4分28.37秒東経130度43分44.83秒﻿ / ﻿北緯32.0745472度 東経130.7291194度﻿ /32.0745472; 130.7291194座標:北緯32度4分28.37秒東経130度43分44.83秒﻿ / ﻿北緯32.0745472度 東経130.7291194度﻿ /32.0745472; 130.7291194","地上駅","1911年（明治44年）3月11日[1]","1面2線","無人駅スイッチバック駅","マサ","","2人/日（降車客含まず）-2015年-","","","","","","","",""
"松前駅","松前駅（まさきえき・伊予鉄道郡中線）","https://ja.wikipedia.org/wiki/松前駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度47分9.88秒東経132度42分17.98秒","郡中線","7.9 km（松山市起点）","伊予鉄道","愛媛県伊予郡松前町浜北緯33度47分9.88秒東経132度42分17.98秒﻿ / ﻿北緯33.7860778度 東経132.7049944度﻿ /33.7860778; 132.7049944﻿ (松前駅)","地上駅","1896年7月4日","2面3線","","","●IY31","","1,039人/日-2019年-","","","","","","",""
"真申駅","真申駅（まさるえき）","https://ja.wikipedia.org/wiki/真申駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度12分24.15秒東経129度39分4.58秒","■西九州線","77.7 km（有田起点）","松浦鉄道","長崎県佐世保市光町北緯33度12分24.15秒東経129度39分4.58秒","地上駅","1931年（昭和6年）8月29日1988年（昭和63年）4月1日（転換）","1面2線","","マサ","","","69人/日-2018年-","","","","","","",""
"馬路駅","馬路駅（まじえき）","https://ja.wikipedia.org/wiki/馬路駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度7分40.93秒東経132度23分14.69秒","D山陰本線","431.9 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県大田市仁摩町馬路495北緯35度7分40.93秒東経132度23分14.69秒﻿ / ﻿北緯35.1280361度 東経132.3874139度﻿ /35.1280361; 132.3874139﻿ (馬路駅)","地上駅","1918年（大正7年）11月25日","1面2線","無人駅","マシ","","11人/日（降車客含まず）-2018年-","","","","","","","",""
"益子駅","益子駅（ましこえき）","https://ja.wikipedia.org/wiki/益子駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度27分47.96秒東経140度5分20.15秒","■真岡線","25.1 km（下館起点）","真岡鐵道","栃木県芳賀郡益子町大字益子1591-2北緯36度27分47.96秒東経140度5分20.15秒﻿ / ﻿北緯36.4633222度 東経140.0889306度﻿ /36.4633222; 140.0889306﻿ (益子駅)座標:北緯36度27分47.96秒東経140度5分20.15秒﻿ / ﻿北緯36.4633222度 東経140.0889306度﻿ /36.4633222; 140.0889306﻿ (益子駅)","地上駅","1913年（大正2年）7月11日[1]","1面1線","","シコ","","100人/日（降車客含まず）-2019年-","","","","","","","",""
"間島駅","間島駅（まじまえき）","https://ja.wikipedia.org/wiki/間島駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度16分22.53秒東経139度26分59.87秒","■羽越本線","66.5 km（新津起点）","東日本旅客鉄道（JR東日本）","新潟県村上市間島北緯38度16分22.53秒東経139度26分59.87秒座標:北緯38度16分22.53秒 東経139度26分59.87秒","地上駅","1924年（大正13年）7月31日","2面3線","無人駅（自動券売機 有）","ママ","","","","","","","","","",""
"摩周駅","摩周駅（ましゅうえき）","https://ja.wikipedia.org/wiki/摩周駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯43度29分14.46秒東経144度27分50.57秒","■釧網本線","95.7 km（網走起点）","北海道旅客鉄道（JR北海道）","北海道川上郡弟子屈町朝日1丁目7-26北緯43度29分14.46秒東経144度27分50.57秒","地上駅","1929年（昭和4年）8月15日","2面3線","直営駅（管理駅）みどりの窓口 有","テカ*","○B64","","102人/日-2018年-","","","","","","",""
"鱒浦駅","鱒浦駅（ますうらえき）","https://ja.wikipedia.org/wiki/鱒浦駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯43度58分57.93秒東経144度17分47.88秒","■釧網本線","6.2 km（網走起点）","北海道旅客鉄道（JR北海道）","北海道網走市字鱒浦104-1北緯43度58分57.93秒東経144度17分47.88秒","地上駅","1924年（大正13年）11月15日","1面1線","無人駅","スマ","○B78","","16人/日-2014年-","","","","","","",""
"増尾駅","増尾駅（ますおえき・東武野田線）","https://ja.wikipedia.org/wiki/増尾駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度49分46.4秒東経139度58分36.1秒","■野田線（東武アーバンパークライン）","47.1 km（大宮起点）","東武鉄道","千葉県柏市増尾一丁目1-1北緯35度49分46.4秒東経139度58分36.1秒﻿ / ﻿北緯35.829556度 東経139.976694度﻿ /35.829556; 139.976694座標:北緯35度49分46.4秒東経139度58分36.1秒﻿ / ﻿北緯35.829556度 東経139.976694度﻿ /35.829556; 139.976694","地上駅（橋上駅）","1923年（大正12年）12月27日","相対式 2面2線","","マス","TD26","","13,089人/日-2019年-","","","","","","",""
"益生駅","益生駅（ますおえき・近鉄名古屋線）","https://ja.wikipedia.org/wiki/益生駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度3分32.2秒東経136度40分44.2秒","E名古屋線","54.0 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県桑名市大字矢田771北緯35度3分32.2秒東経136度40分44.2秒﻿ / ﻿北緯35.058944度 東経136.678944度﻿ /35.058944; 136.678944座標:北緯35度3分32.2秒東経136度40分44.2秒﻿ / ﻿北緯35.058944度 東経136.678944度﻿ /35.058944; 136.678944","地上駅","1929年（昭和4年）1月30日","1面2線","*1930年に西桑名駅から改称。","マスオ"," E14 ","1,430人/日（降車客含まず）-2019年-","","","","","","","",""
"真菅駅","真菅駅（ますがえき）","https://ja.wikipedia.org/wiki/真菅駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度31分10.26秒東経135度46分21.5秒","D大阪線","32.8 km（大阪上本町起点）","近畿日本鉄道（近鉄）","奈良県橿原市曽我町1070北緯34度31分10.26秒東経135度46分21.5秒﻿ / ﻿北緯34.5195167度 東経135.772639度﻿ /34.5195167; 135.772639座標:北緯34度31分10.26秒東経135度46分21.5秒﻿ / ﻿北緯34.5195167度 東経135.772639度﻿ /34.5195167; 135.772639","地上駅（地下駅舎）","1925年（大正14年）3月21日[1]","2面2線","","マスカ"," D27 ","2,505人/日（降車客含まず）-2018年-","","","","","","","",""
"升形駅","升形駅（ますかたえき）","https://ja.wikipedia.org/wiki/升形駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度45分6.12秒東経140度14分36.40秒","■陸羽西線","7.5 km（新庄起点）","東日本旅客鉄道（JR東日本）","山形県新庄市大字升形字下夕野620北緯38度45分6.12秒東経140度14分36.40秒座標:北緯38度45分6.12秒 東経140度14分36.40秒","地上駅","1913年（大正2年）12月7日","1面1線","無人駅","スタ","","11人/日（降車客含まず）-2004年-","","","","","","","",""
"枡形停留場","枡形停留場（ますがたていりゅうじょう）","https://ja.wikipedia.org/wiki/枡形停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度33分26.85秒東経133度31分39.36秒","伊野線","1.5 km（はりまや橋起点）","とさでん交通","高知県高知市上町一丁目、升形北緯33度33分26.85秒東経133度31分39.36秒﻿ / ﻿北緯33.5574583度 東経133.5276000度﻿ /33.5574583; 133.5276000﻿ (枡形停留場)","地上駅","1906年（明治39年）10月9日","2面2線","","","","","","","","","","","",""
"鱒沢駅","鱒沢駅（ますざわえき）","https://ja.wikipedia.org/wiki/鱒沢駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度18分0.62秒東経141度23分57.39秒","■釜石線","33.6 km（花巻起点）","東日本旅客鉄道（JR東日本）","岩手県遠野市宮守町下鱒沢北緯39度18分0.62秒東経141度23分57.39秒座標:北緯39度18分0.62秒 東経141度23分57.39秒","地上駅","1915年（大正4年）7月30日[1]","1面2線","無人駅[2]*1924年に宇洞駅から改称。","スサ","","","","","","","","","",""
"益田駅","益田駅（ますだえき）","https://ja.wikipedia.org/wiki/益田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度40分41.87秒東経131度50分20.2秒","D山陰本線","514.5 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県益田市駅前町105-2北緯34度40分41.87秒東経131度50分20.2秒﻿ / ﻿北緯34.6782972度 東経131.838944度﻿ /34.6782972; 131.838944座標:北緯34度40分41.87秒東経131度50分20.2秒﻿ / ﻿北緯34.6782972度 東経131.838944度﻿ /34.6782972; 131.838944","地上駅","1923年（大正12年）4月1日","2面3線","直営駅みどりの窓口有（臨時窓口）みどりの券売機プラス設置駅*1966年に石見益田駅から改称。","マス","","475人/日（降車客含まず）-2018年-","","","","","","","",""
"馬田駅","馬田駅（まだえき）","https://ja.wikipedia.org/wiki/馬田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度24分28秒東経130度38分26.95秒","■甘木線","16.1 km（宮の陣起点）","西日本鉄道","福岡県朝倉市馬田北緯33度24分28秒東経130度38分26.95秒﻿ / ﻿北緯33.40778度 東経130.6408194度﻿ /33.40778; 130.6408194座標:北緯33度24分28秒東経130度38分26.95秒﻿ / ﻿北緯33.40778度 東経130.6408194度﻿ /33.40778; 130.6408194","地上駅","1921年（大正10年）12月8日","1面1線","","","A  02 ","","110人/日-2019年-","","","","","","",""
"真滝駅","真滝駅（またきえき）","https://ja.wikipedia.org/wiki/真滝駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度54分30.42秒東経141度10分40.30秒","■大船渡線","5.7 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","岩手県一関市滝沢字館下1北緯38度54分30.42秒東経141度10分40.30秒座標:北緯38度54分30.42秒 東経141度10分40.30秒","地上駅","1925年（大正14年）7月26日","2面2線","無人駅","マタ","","","","","","","","","",""
"町方駅","町方駅（まちかたえき）","https://ja.wikipedia.org/wiki/町方駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度11分20.6秒東経136度43分39.2秒","尾西線","9.6 km（弥富起点）","名古屋鉄道","愛知県愛西市町方町南堤外1番地北緯35度11分20.6秒東経136度43分39.2秒﻿ / ﻿北緯35.189056度 東経136.727556度﻿ /35.189056; 136.727556座標:北緯35度11分20.6秒東経136度43分39.2秒﻿ / ﻿北緯35.189056度 東経136.727556度﻿ /35.189056; 136.727556","地上駅","1924年（大正13年）10月1日","2面2線","無人駅（駅集中管理システム導入駅）*1959年復活に伴い兼平駅から改称","","BS  01 ","","1,301人/日-2019年-","","","","","","",""
"町田駅","町田駅（まちだえき）","https://ja.wikipedia.org/wiki/町田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）小田急電鉄（駅詳細）","東京都町田市原町田","","","","","","","","","","","","","","",""
"町屋駅","町屋駅（まちやえき）","https://ja.wikipedia.org/wiki/町屋駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","京成電鉄（駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）","東京都荒川区","","","","","","","","","","","","","","",""
"町屋駅","町屋駅前停留場（まちやえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/町屋駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","京成電鉄（駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）","東京都荒川区","","","","","","","","","","","","","","",""
"町屋二丁目停留場","町屋二丁目停留場（まちやにちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/町屋二丁目停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度44分37.3秒東経139度46分37秒","都電荒川線（東京さくらトラム）","2.2 km（三ノ輪橋起点）","東京都交通局","東京都荒川区荒川六丁目北緯35度44分37.3秒東経139度46分37秒﻿ / ﻿北緯35.743694度 東経139.77694度﻿ /35.743694; 139.77694座標:北緯35度44分37.3秒東経139度46分37秒﻿ / ﻿北緯35.743694度 東経139.77694度﻿ /35.743694; 139.77694","地上駅","1913年（大正2年）4月1日","2面2線","","","SA07","","775[1]人/日-2019年-","","","","","","",""
"松井田駅","松井田駅（まついだえき）","https://ja.wikipedia.org/wiki/松井田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度18分34.38秒東経138度47分50.51秒","■信越本線","22.7 km（高崎起点）","東日本旅客鉄道（JR東日本）","群馬県安中市松井田町八城94-1北緯36度18分34.38秒東経138度47分50.51秒座標:北緯36度18分34.38秒 東経138度47分50.51秒","地上駅[1]","1885年（明治18年）10月15日[1]","2面2線[1]","無人駅（自動券売機 有）","マイ←マヰ","","543人/日（降車客含まず）-2017年-","","","","","","","",""
"松井山手駅","松井山手駅（まついやまてえき）","https://ja.wikipedia.org/wiki/松井山手駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度49分59.07秒東経135度43分39.13秒","H片町線（学研都市線）","17.0 km（木津起点）","西日本旅客鉄道（JR西日本）","京都府京田辺市山手中央70[1]北緯34度49分59.07秒東経135度43分39.13秒﻿ / ﻿北緯34.8330750度 東経135.7275361度﻿ /34.8330750; 135.7275361座標:北緯34度49分59.07秒東経135度43分39.13秒﻿ / ﻿北緯34.8330750度 東経135.7275361度﻿ /34.8330750; 135.7275361","地上駅（橋上駅、掘割構造）[1]","1989年（平成元年）3月11日[1][2]","2面2線","直営駅みどりの窓口有","マヤ","JR-H26","7,117人/日（降車客含まず）-2019年-","","","","","","","",""
"松岩駅","松岩駅（まついわえき）","https://ja.wikipedia.org/wiki/松岩駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度52分26.0秒東経141度35分01.0秒","■気仙沼線BRT","65.6 km（前谷地起点）","東日本旅客鉄道（JR東日本）","宮城県気仙沼市松崎片浜10北緯38度52分26.0秒東経141度35分01.0秒座標:北緯38度52分26.0秒 東経141度35分01.0秒","地上駅","2012年（平成24年）8月20日*","","無人駅","マツ","","58人/日（降車客含まず）-2019年-","","","","","","","",""
"松浦駅","松浦駅（まつうらえき）","https://ja.wikipedia.org/wiki/松浦駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度20分38.20秒東経129度42分27.67秒","■西九州線","35.6 km（有田起点）","松浦鉄道","長崎県松浦市志佐町浦免北緯33度20分38.20秒東経129度42分27.67秒","地上駅","1933年（昭和8年）6月25日1988年（昭和63年）4月1日（転換）","2面3線","窓口・自動券売機は昼間のみ","マウマシサ（志佐駅時代）","","","538人/日-2017年-","","","","","","",""
"松浦発電所前駅","松浦発電所前駅（まつうらはつでんしょまええき）","https://ja.wikipedia.org/wiki/松浦発電所前駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度20分49.23秒東経129度41分8.21秒","■西九州線","38.2 km（有田起点）","松浦鉄道","長崎県松浦市志佐町白浜免北緯33度20分49.23秒東経129度41分8.21秒","地上駅","1989年（平成元年）3月11日","1面1線","","","","","28人/日-2017年-","","","","","","",""
"松江駅","松江駅（まつええき）","https://ja.wikipedia.org/wiki/松江駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度27分50.59秒東経133度3分49.25秒","D山陰本線","351.9 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県松江市朝日町472-2北緯35度27分50.59秒東経133度3分49.25秒﻿ / ﻿北緯35.4640528度 東経133.0636806度﻿ /35.4640528; 133.0636806﻿ (松江駅)","高架駅","1908年（明治41年）11月8日","2面4線","直営駅（管理駅）みどりの窓口有","マツ","","4,288人/日（降車客含まず）-2018年-","","","","","","","",""
"松江イングリッシュガーデン前駅","松江イングリッシュガーデン前駅（まつえイングリッシュガーデンまええき）","https://ja.wikipedia.org/wiki/松江イングリッシュガーデン前駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度28分38.78秒東経133度0分13.83秒","北松江線","29.6 km（電鉄出雲市起点）","一畑電車","島根県松江市西浜佐陀町264-6北緯35度28分38.78秒東経133度0分13.83秒座標:北緯35度28分38.78秒 東経133度0分13.83秒","地上駅","1928年（昭和3年）4月5日","1面2線","無人駅","","21","50人/日（降車客含まず）-2018年-","103人/日-2018年-","","","","","","",""
"松江しんじ湖温泉駅","松江しんじ湖温泉駅（まつえしんじこおんせんえき）","https://ja.wikipedia.org/wiki/松江しんじ湖温泉駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度28分2.38秒東経133度2分45.75秒","北松江線","33.9 km（電鉄出雲市起点）","一畑電車","島根県松江市中原町30-2北緯35度28分2.38秒東経133度2分45.75秒座標:北緯35度28分2.38秒 東経133度2分45.75秒","地上駅","1928年4月5日","頭端式2面2線","有人駅(一畑電車WebSt@tionより)","","22","981人/日（降車客含まず）-2018年-","1,815人/日-2018年-","","","","","","",""
"松江フォーゲルパーク駅","松江フォーゲルパーク駅（まつえフォーゲルパークえき）","https://ja.wikipedia.org/wiki/松江フォーゲルパーク駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度28分29.89秒東経132度56分37.38秒","北松江線","23.8 km（電鉄出雲市起点）","一畑電車","島根県松江市大垣町北緯35度28分29.89秒東経132度56分37.38秒座標:北緯35度28分29.89秒 東経132度56分37.38秒","地上駅","2001年7月23日","1面1線","","","17","34人/日（降車客含まず）-2018年-","68人/日-2018年-","","","","","","",""
