"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗車人員,-統計年次-","乗降人員,-統計年次-","住所","公式サイト","所有者","総支配人"
"東長沢駅","東長沢駅（ひがしながさわえき）","https://ja.wikipedia.org/wiki/東長沢駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯38度43分8.36秒東経140度22分56.29秒","■陸羽東線","81.0 km（小牛田起点）","東日本旅客鉄道（JR東日本）","1959年（昭和34年）7月10日","地上駅","1面1線","山形県最上郡舟形町長沢北緯38度43分8.36秒東経140度22分56.29秒座標:北緯38度43分8.36秒 東経140度22分56.29秒","無人駅","ヒサ","11人/日（降車客含まず）-2004年-","","","","","","","","",""
"東中津駅","東中津駅（ひがしなかつえき）","https://ja.wikipedia.org/wiki/東中津駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯33度35分14.83秒東経131度14分20.67秒","■日豊本線","56.7 km（小倉起点）","九州旅客鉄道（JR九州）","1897年（明治30年）9月25日[1]","地上駅","2面2線[1]","大分県中津市大字是則[1]字古開960北緯33度35分14.83秒東経131度14分20.67秒","簡易委託駅POS端末設置[2]*1952年に大貞駅から改称[1]。","ヒナヲサ（大貞駅時代）","314人/日（降車客含まず）-2017年-","","","","","","","","",""
"東中野駅","東中野駅（ひがしなかのえき）","https://ja.wikipedia.org/wiki/東中野駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京都交通局（駅詳細）","","","","東京都中野区東中野","","","","","","","","","","","",""
"東長原駅","東長原駅（ひがしながはらえき）","https://ja.wikipedia.org/wiki/東長原駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","■磐越西線","57.2 km（郡山起点）","東日本旅客鉄道（JR東日本）","1940年（昭和15年）12月20日[1]","地上駅","2面2線[2]","","無人駅[2]","ヒカ","101人/日（降車客含まず）-2004年-","","","","","","","","",""
"東中間駅","東中間駅（ひがしなかまえき）","https://ja.wikipedia.org/wiki/東中間駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯33度49分12.06秒東経130度43分16.48秒","筑豊電気鉄道線","7.2 km（黒崎駅前起点）","筑豊電気鉄道","1956年（昭和31年）10月15日","地上駅","2面2線","福岡県中間市東中間二丁目2609-1北緯33度49分12.06秒東経130度43分16.48秒","無人駅","","","CK 12","637人/日-2019年-","","","","","","",""
"東中山駅","東中山駅（ひがしなかやまえき）","https://ja.wikipedia.org/wiki/東中山駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度42分51.89秒東経139度57分10.33秒","■本線","21.6 km（京成上野起点）","京成電鉄","1953年（昭和28年）9月1日","地上駅（橋上駅）","2面4線","千葉県船橋市東中山二丁目2番22号北緯35度42分51.89秒東経139度57分10.33秒座標:北緯35度42分51.89秒 東経139度57分10.33秒","","","","KS19","6,807人/日-2019年-","","","","","","",""
"東名古屋港駅","東名古屋港駅（ひがしなごやこうえき）","https://ja.wikipedia.org/wiki/東名古屋港駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度5分21秒東経136度53分56秒","築港線","1.5 km（大江起点）","名古屋鉄道","1924年（大正13年）1月15日","地上駅","単式 1面1線","名古屋市港区大江町1-6北緯35度5分21秒東経136度53分56秒﻿ / ﻿北緯35.08917度 東経136.89889度﻿ /35.08917; 136.89889座標:北緯35度5分21秒東経136度53分56秒﻿ / ﻿北緯35.08917度 東経136.89889度﻿ /35.08917; 136.89889","*1932年西六号駅から改称","","","CH  01 ","5,386人/日-2019年[1]-","","","","","","",""
"東滑川駅","東滑川駅（ひがしなめりかわえき）","https://ja.wikipedia.org/wiki/東滑川駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯36度47分18.36秒東経137度22分43.15秒","■あいの風とやま鉄道線","62.1 km（倶利伽羅起点）金沢から79.9 km米原から256.5 km","あいの風とやま鉄道","1964年（昭和39年）11月20日","地上駅","2面2線","富山県滑川市中村字亀割1512北緯36度47分18.36秒東経137度22分43.15秒﻿ / ﻿北緯36.7884333度 東経137.3786528度﻿ /36.7884333; 137.3786528座標:北緯36度47分18.36秒東経137度22分43.15秒﻿ / ﻿北緯36.7884333度 東経137.3786528度﻿ /36.7884333; 137.3786528","無人駅（自動券売機 有）","ヒナ","187人/日（降車客含まず）-2019年-","","","","","","","","",""
"東成岩駅","東成岩駅（ひがしならわえき）","https://ja.wikipedia.org/wiki/東成岩駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度52分26秒東経136度55分23.3秒","CE武豊線（JR東海）","16.3 km（大府起点）","東海旅客鉄道（JR東海）衣浦臨海鉄道","1933年（昭和8年）12月7日","地上駅","1面2線","愛知県半田市旭町三丁目68北緯34度52分26秒東経136度55分23.3秒﻿ / ﻿北緯34.87389度 東経136.923139度﻿ /34.87389; 136.923139座標:北緯34度52分26秒東経136度55分23.3秒﻿ / ﻿北緯34.87389度 東経136.923139度﻿ /34.87389; 136.923139","無人駅（集中旅客サービスシステム導入駅）","ラワ","594人/日（降車客含まず）-2019年-","CE  08 ","","","","","","","",""
"東成田駅","東成田駅（ひがしなりたえき）","https://ja.wikipedia.org/wiki/東成田駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度46分12.3秒東経140度23分14秒","■京成東成田線**","7.1 km（京成成田起点）京成上野から68.3 km","京成電鉄（京成）芝山鉄道","1978年（昭和53年）5月21日","地下駅","2面4線（うち2線閉鎖）","千葉県成田市古込字込前124北緯35度46分12.3秒東経140度23分14秒﻿ / ﻿北緯35.770083度 東経140.38722度﻿ /35.770083; 140.38722座標:北緯35度46分12.3秒東経140度23分14秒﻿ / ﻿北緯35.770083度 東経140.38722度﻿ /35.770083; 140.38722","共同使用駅（京成電鉄の管轄駅）","","（京成）776人/日（降車客含まず）（芝山）372人/日（降車客含まず）（合計）1,148人/日（降車客含まず）-2017年-","KS44","（京成）1,723人/日-2017年-","空港第2ビル駅-JR成田線-京成本線-京成成田空港線（成田スカイアクセス）","","","","","",""
"東鳴尾駅","東鳴尾駅（ひがしなるおえき）","https://ja.wikipedia.org/wiki/東鳴尾駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度42分45.22秒東経135度22分44.83秒","武庫川線","0.7 km（武庫川起点）","阪神電気鉄道","1943年（昭和18年）11月21日[1]","地上駅[1]","1面2線[1]","兵庫県西宮市東鳴尾町一丁目7-12北緯34度42分45.22秒東経135度22分44.83秒﻿ / ﻿北緯34.7125611度 東経135.3791194度﻿ /34.7125611; 135.3791194﻿ (東鳴尾駅)座標:北緯34度42分45.22秒東経135度22分44.83秒﻿ / ﻿北緯34.7125611度 東経135.3791194度﻿ /34.7125611; 135.3791194﻿ (東鳴尾駅)","無人駅[1]","","","HS53","","","1,066人/日（降車客含まず）-2019年-","","","","",""
"東新潟駅","東新潟駅（ひがしにいがたえき）","https://ja.wikipedia.org/wiki/東新潟駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯37度54分31.3秒東経139度6分31.7秒","■白新線","5.0 km（新潟起点）","東日本旅客鉄道（JR東日本）","1978年（昭和53年）10月2日[1]","地上駅","2面2線[1]","新潟市東区中島[1]字浦沢509北緯37度54分31.3秒東経139度6分31.7秒座標:北緯37度54分31.3秒 東経139度6分31.7秒","業務委託駅","ヒイ","1,752人/日（降車客含まず）-2019年-","","","","","","","","",""
"東新潟港駅","東新潟港駅（ひがしにいがたこうえき・休止中）","https://ja.wikipedia.org/wiki/東新潟港駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯37度56分38秒東経139度4分26秒","信越本線貨物支線","3.8 km（上沼垂信号場起点）","日本貨物鉄道（JR貨物）","1924年（大正13年）12月1日","地上駅","","新潟市東区臨港町2丁目北緯37度56分38秒東経139度4分26秒﻿ / ﻿北緯37.94389度 東経139.07389度﻿ /37.94389; 139.07389座標:北緯37度56分38秒東経139度4分26秒﻿ / ﻿北緯37.94389度 東経139.07389度﻿ /37.94389; 139.07389","貨物専用駅2002年6月1日より休止中","ヒニ","","","","","","","","","",""
"東新津駅","東新津駅（ひがしにいつえき）","https://ja.wikipedia.org/wiki/東新津駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯37度47分15.78秒東経139度8分36.81秒","■磐越西線","172.8 km（郡山起点）","東日本旅客鉄道（JR東日本）","1952年（昭和27年）2月20日[1]","地上駅","1面1線[2]","新潟市秋葉区滝谷町[1]北緯37度47分15.78秒東経139度8分36.81秒座標:北緯37度47分15.78秒 東経139度8分36.81秒","無人駅（自動券売機 有）[2]","ヒツ","","","","","","","","","",""
"東新川駅 (群馬県)","東新川駅 (群馬県)（ひがしにっかわえき・上毛電気鉄道上毛線）","https://ja.wikipedia.org/wiki/東新川駅_(群馬県)","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯36度25分19.21秒東経139度16分3.34秒","■上毛線","18.7 km（中央前橋起点）","上毛電気鉄道","1993年（平成5年）10月19日","地上駅","1面1線","群馬県桐生市新里町新川3906北緯36度25分19.21秒東経139度16分3.34秒﻿ / ﻿北緯36.4220028度 東経139.2675944度﻿ /36.4220028; 139.2675944﻿ (東新川駅)座標:北緯36度25分19.21秒東経139度16分3.34秒﻿ / ﻿北緯36.4220028度 東経139.2675944度﻿ /36.4220028; 139.2675944﻿ (東新川駅)","","","","","51人/日-2019年（令和元年）-","","","","","","",""
"東日本橋駅","東日本橋駅（ひがしにほんばしえき）","https://ja.wikipedia.org/wiki/東日本橋駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","●[1]浅草線","14.5 km（西馬込起点）","東京都交通局（都営地下鉄）","1962年（昭和37年）5月31日[2]","地下駅","2面2線","","","東（駅名略称）","","A15[1]","84,888人/日-2019年-","S09[1]馬喰横山駅（都営地下鉄新宿線）馬喰町駅（JR総武快速線）[3]","","","","","",""
"東根駅","東根駅（ひがしねえき）","https://ja.wikipedia.org/wiki/東根駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯38度27分4.01秒東経140度23分2.90秒","■奥羽本線（山形線）","110.6 km（福島起点）","東日本旅客鉄道（JR東日本）","1911年（明治44年）12月5日","地上駅","1面1線","山形県東根市宮崎三丁目8-1北緯38度27分4.01秒東経140度23分2.90秒座標:北緯38度27分4.01秒 東経140度23分2.90秒","無人駅","ヒネ","275人/日（降車客含まず）-2004年-","","","","","","","","",""
"東根室駅","東根室駅（ひがしねむろえき）","https://ja.wikipedia.org/wiki/東根室駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯43度19分25.2秒東経145度35分50秒","根室本線（花咲線）","442.3 km（滝川起点）","北海道旅客鉄道（JR北海道）","1961年（昭和36年）9月1日","地上駅","1面1線","北海道（根室振興局）根室市光洋町2丁目15番地北緯43度19分25.2秒東経145度35分50秒座標:北緯43度19分25.2秒 東経145度35分50秒","日本の駅では最東端[報道 1]無人駅","ヒネ","","","","","","","","","",""
"東野駅 (岐阜県)","東野駅 (岐阜県)（ひがしのえき・明知鉄道明知線）","https://ja.wikipedia.org/wiki/東野駅_(岐阜県)","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度26分46.73秒東経137度25分43.64秒","明知線","2.6 km（恵那起点）","明知鉄道","1933年（昭和8年）5月24日[1]","地上駅","1面1線","岐阜県恵那市東野北緯35度26分46.73秒東経137度25分43.64秒﻿ / ﻿北緯35.4463139度 東経137.4287889度﻿ /35.4463139; 137.4287889座標:北緯35度26分46.73秒東経137度25分43.64秒﻿ / ﻿北緯35.4463139度 東経137.4287889度﻿ /35.4463139; 137.4287889","","ヒシ","27人/日（降車客含まず）-2016年-","10","","","","","","","",""
"東野駅 (京都府)","東野駅 (京都府)（ひがしのえき・京都市営地下鉄東西線）","https://ja.wikipedia.org/wiki/東野駅_(京都府)","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度58分55.95秒東経135度49分0.34秒","東西線","5.9 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","1997年（平成9年）10月12日","地下駅","1面2線","京都市山科区東野片下リ町北緯34度58分55.95秒東経135度49分0.34秒﻿ / ﻿北緯34.9822083度 東経135.8167611度﻿ /34.9822083; 135.8167611座標:北緯34度58分55.95秒東経135度49分0.34秒﻿ / ﻿北緯34.9822083度 東経135.8167611度﻿ /34.9822083; 135.8167611","","","","●T06","12,259人/日-2019年-","","","","","","",""
"東野尻駅","東野尻駅（ひがしのじりえき）","https://ja.wikipedia.org/wiki/東野尻駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯36度37分7.46秒東経136度56分37.14秒","■城端線","15.5 km（高岡起点）","西日本旅客鉄道（JR西日本）","1951年（昭和26年）8月10日","地上駅","1面1線","富山県砺波市苗加4162北緯36度37分7.46秒東経136度56分37.14秒﻿ / ﻿北緯36.6187389度 東経136.9436500度﻿ /36.6187389; 136.9436500座標:北緯36度37分7.46秒東経136度56分37.14秒﻿ / ﻿北緯36.6187389度 東経136.9436500度﻿ /36.6187389; 136.9436500","無人駅","ヒノ","140人/日（降車客含まず）-2018年-","","","","","","","","",""
"東能代駅","東能代駅（ひがしのしろえき）","https://ja.wikipedia.org/wiki/東能代駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯40度11分29.05秒東経140度3分57.33秒","■奥羽本線","355.4 km（福島起点）","東日本旅客鉄道（JR東日本）[1]日本貨物鉄道（JR貨物）[1]**","1901年（明治34年）11月1日[1]","地上駅","2面3線[1]","秋田県能代市鰄渕字下悪戸[1]北緯40度11分29.05秒東経140度3分57.33秒座標:北緯40度11分29.05秒 東経140度3分57.33秒","直営駅（管理駅）話せる指定席券売機設置駅[2][3]","ヒノ","488人/日（降車客含まず）-2019年-","","","","","","","","",""
"東萩駅","東萩駅（ひがしはぎえき）","https://ja.wikipedia.org/wiki/東萩駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度25分1.99秒東経131度24分37.11秒","■山陰本線","572.0 km（京都起点）","西日本旅客鉄道（JR西日本）","1925年（大正14年）11月1日","地上駅","2面3線","山口県萩市大字椿東字大広津2997-3北緯34度25分1.99秒東経131度24分37.11秒﻿ / ﻿北緯34.4172194度 東経131.4103083度﻿ /34.4172194; 131.4103083座標:北緯34度25分1.99秒東経131度24分37.11秒﻿ / ﻿北緯34.4172194度 東経131.4103083度﻿ /34.4172194; 131.4103083","業務委託駅みどりの窓口有","ヒハ","217人/日（降車客含まず）-2019年-","","","","","","","","",""
"東白楽駅","東白楽駅（ひがしはくらくえき）","https://ja.wikipedia.org/wiki/東白楽駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度29分0.2秒東経139度37分45.7秒","■東横線","22.1 km（渋谷起点）","東急電鉄","1927年（昭和2年）3月10日","高架駅","2面2線","横浜市神奈川区白楽12-1北緯35度29分0.2秒東経139度37分45.7秒﻿ / ﻿北緯35.483389度 東経139.629361度﻿ /35.483389; 139.629361﻿ (東白楽駅)座標:北緯35度29分0.2秒東経139度37分45.7秒﻿ / ﻿北緯35.483389度 東経139.629361度﻿ /35.483389; 139.629361﻿ (東白楽駅)","東急電鉄直営駅","","","TY19","15,031人/日-2019年-","","","","","","",""
"東羽衣駅","東羽衣駅（ひがしはごろもえき）","https://ja.wikipedia.org/wiki/東羽衣駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度32分6.73秒東経135度26分33.64秒","■阪和線支線（羽衣線）","1.7 km（鳳起点）","西日本旅客鉄道（JR西日本）","1929年（昭和4年）7月18日[1]","高架駅","1面1線","大阪府高石市東羽衣一丁目18-49北緯34度32分6.73秒東経135度26分33.64秒﻿ / ﻿北緯34.5352028度 東経135.4426778度﻿ /34.5352028; 135.4426778﻿ (東羽衣駅*)座標:北緯34度32分6.73秒東経135度26分33.64秒﻿ / ﻿北緯34.5352028度 東経135.4426778度﻿ /34.5352028; 135.4426778﻿ (東羽衣駅*)","直営駅みどりの券売機プラス設置駅","ヒハ","5,281人/日（降車客含まず）-2019年-","","","羽衣駅（南海本線・高師浜線）","","","","","",""
"東觜崎駅","東觜崎駅（ひがしはしさきえき）","https://ja.wikipedia.org/wiki/東觜崎駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度53分16.60秒東経134度33分28.29秒","K姫新線","17.8 km（姫路起点）","西日本旅客鉄道（JR西日本）","1931年（昭和6年）12月23日","地上駅","2面2線","兵庫県たつの市神岡町大住寺507北緯34度53分16.60秒東経134度33分28.29秒﻿ / ﻿北緯34.8879444度 東経134.5578583度﻿ /34.8879444; 134.5578583﻿ (東觜崎駅)","無人駅（自動券売機有）","ヒハ","423人/日（降車客含まず）-2019年-","","","","","","","","",""
"東幡豆駅","東幡豆駅（ひがしはずえき）","https://ja.wikipedia.org/wiki/東幡豆駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度47分22.6秒東経137度8分45秒","蒲郡線","7.0 km（吉良吉田起点）","名古屋鉄道","1936年（昭和11年）7月24日","地上駅","1面2線","愛知県西尾市東幡豆町小見行田7-5北緯34度47分22.6秒東経137度8分45秒﻿ / ﻿北緯34.789611度 東経137.14583度﻿ /34.789611; 137.14583座標:北緯34度47分22.6秒東経137度8分45秒﻿ / ﻿北緯34.789611度 東経137.14583度﻿ /34.789611; 137.14583","駅員無配置駅","","","GN  16 ","382人/日-2019年-","","","","","","",""
"東八森駅","東八森駅（ひがしはちもりえき）","https://ja.wikipedia.org/wiki/東八森駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","■五能線","18.0 km（東能代起点）","東日本旅客鉄道（JR東日本）","1926年（大正15年）4月26日[1]","地上駅","1面1線[1]","","無人駅[1]*1959年に八森駅から改称[1]。","ヒハ","","","","","","","","","",""
"東八町停留場","東八町停留場（ひがしはっちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/東八町停留場","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度45分57.26秒東経137度24分1.8秒","東田本線","2.1 km（駅前起点）","豊橋鉄道","1925年（大正14年）12月25日","地上駅","2面2線","愛知県豊橋市旭町・西新町北緯34度45分57.26秒東経137度24分1.8秒﻿ / ﻿北緯34.7659056度 東経137.400500度﻿ /34.7659056; 137.400500座標:北緯34度45分57.26秒東経137度24分1.8秒﻿ / ﻿北緯34.7659056度 東経137.400500度﻿ /34.7659056; 137.400500","","",""," 7 ","","","","","","","",""
"東花園駅","東花園駅（ひがしはなぞのえき）","https://ja.wikipedia.org/wiki/東花園駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度39分45.31秒東経135度37分35.49秒","A奈良線","5.8km（布施起点）大阪難波から11.9 km","近畿日本鉄道（近鉄）","1929年（昭和4年）11月22日*","高架駅","2面4線","大阪府東大阪市吉田六丁目9-18北緯34度39分45.31秒東経135度37分35.49秒﻿ / ﻿北緯34.6625861度 東経135.6265250度﻿ /34.6625861; 135.6265250﻿ (東花園駅*)座標:北緯34度39分45.31秒東経135度37分35.49秒﻿ / ﻿北緯34.6625861度 東経135.6265250度﻿ /34.6625861; 135.6265250﻿ (東花園駅*)","","ヒハ",""," A12 ","19,107人/日-2018年-","","","","","","",""
"東花輪駅","東花輪駅（ひがしはなわえき）","https://ja.wikipedia.org/wiki/東花輪駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度35分39.88秒東経138度31分35.89秒","CC身延線","76.3 km（富士起点）","東海旅客鉄道（JR東海）","1928年（昭和3年）3月30日[1]","地上駅","1面2線","山梨県中央市東花輪888北緯35度35分39.88秒東経138度31分35.89秒﻿ / ﻿北緯35.5944111度 東経138.5266361度﻿ /35.5944111; 138.5266361座標:北緯35度35分39.88秒東経138度31分35.89秒﻿ / ﻿北緯35.5944111度 東経138.5266361度﻿ /35.5944111; 138.5266361","業務委託駅（早朝・夜間無人駅、南甲府駅管轄）JR全線きっぷうりば有","ハワ","697人/日（降車客含まず）-2018年-","","","","","","","","",""
"東浜駅","東浜駅（ひがしはまえき）","https://ja.wikipedia.org/wiki/東浜駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度35分58.99秒東経134度21分45.61秒","A山陰本線","207.5 km（京都起点）","西日本旅客鉄道（JR西日本）","1950年（昭和25年）1月1日[1]","地上駅","2面2線[1]","鳥取県岩美郡岩美町大字陸上[1]字下塚畑50北緯35度35分58.99秒東経134度21分45.61秒﻿ / ﻿北緯35.5997194度 東経134.3626694度﻿ /35.5997194; 134.3626694﻿ (東浜駅)","無人駅","ヒマ","","","58人/日-2018年-","","","","","","",""
"東飯能駅","東飯能駅（ひがしはんのうえき）","https://ja.wikipedia.org/wiki/東飯能駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）西武鉄道（駅詳細）","","","","埼玉県飯能市東町","","","","","","","","","","","",""
"東比恵駅","東比恵駅（ひがしひええき）","https://ja.wikipedia.org/wiki/東比恵駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯33度35分23.62秒東経130度25分52.60秒","空港線","11.0 km（姪浜起点）","福岡市交通局","1993年（平成5年）3月3日","地下駅","1面2線","福岡市博多区東比恵二丁目北緯33度35分23.62秒東経130度25分52.60秒﻿ / ﻿北緯33.5898944度 東経130.4312778度﻿ /33.5898944; 130.4312778座標:北緯33度35分23.62秒東経130度25分52.60秒﻿ / ﻿北緯33.5898944度 東経130.4312778度﻿ /33.5898944; 130.4312778","業務委託駅","","11,743人/日（降車客含まず）-2018年-","○K12","","","","","","","",""
"東姫路駅","東姫路駅（ひがしひめじえき）","https://ja.wikipedia.org/wiki/東姫路駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度49分27.7秒東経134度42分38.9秒","A山陽本線（JR神戸線）","52.9km（神戸起点）大阪から86.0 km","西日本旅客鉄道（JR西日本）","2016年（平成28年）3月26日","地上駅","2面2線","兵庫県姫路市市之郷字高田1046-26北緯34度49分27.7秒東経134度42分38.9秒﻿ / ﻿北緯34.824361度 東経134.710806度﻿ /34.824361; 134.710806座標:北緯34度49分27.7秒東経134度42分38.9秒﻿ / ﻿北緯34.824361度 東経134.710806度﻿ /34.824361; 134.710806","業務委託駅みどりの券売機プラス設置駅","ヒヒ","1,413人/日（降車客含まず）-2019年-","JR-A84","","","","","","","",""
"東広島駅","東広島駅（ひがしひろしまえき）","https://ja.wikipedia.org/wiki/東広島駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度23分21.7秒東経132度45分35.2秒","山陽新幹線","309.8km（新大阪起点）東京から862.4 km","西日本旅客鉄道（JR西日本）","1988年（昭和63年）3月13日[1]","高架駅","2面2線","広島県東広島市三永一丁目4-24北緯34度23分21.7秒東経132度45分35.2秒﻿ / ﻿北緯34.389361度 東経132.759778度﻿ /34.389361; 132.759778座標:北緯34度23分21.7秒東経132度45分35.2秒﻿ / ﻿北緯34.389361度 東経132.759778度﻿ /34.389361; 132.759778","直営駅みどりの窓口有","ヒヒ","1,766人/日（降車客含まず）-2018年-","","","","","","","","",""
"東枇杷島駅","東枇杷島駅（ひがしびわじまえき）","https://ja.wikipedia.org/wiki/東枇杷島駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度11分23秒東経136度52分13秒","名古屋本線","70.7 km（豊橋起点）","名古屋鉄道","1912年（明治45年）3月29日","高架駅","相対式 2面2線","名古屋市西区枇杷島二丁目14-1北緯35度11分23秒東経136度52分13秒﻿ / ﻿北緯35.18972度 東経136.87028度﻿ /35.18972; 136.87028座標:北緯35度11分23秒東経136度52分13秒﻿ / ﻿北緯35.18972度 東経136.87028度﻿ /35.18972; 136.87028","無人駅（駅集中管理システム導入駅）","","","NH  38 ","5,815人/日-2019年[1]-","","","","","","",""
"東風連駅","東風連駅（ひがしふうれんえき）","https://ja.wikipedia.org/wiki/東風連駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯44度19分2秒東経142度27分48.3秒","■宗谷本線","72.6 km（旭川起点）","北海道旅客鉄道（JR北海道）","1956年（昭和31年）9月20日","地上駅","1面1線","北海道名寄市風連町21線東10号[1]北緯44度19分2秒東経142度27分48.3秒","無人駅","ヒレ","","○W47","2人/日-2014年-","","","","","","",""
"東福島駅","東福島駅（ひがしふくしまえき）","https://ja.wikipedia.org/wiki/東福島駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯37度48分1.71秒東経140度28分41.12秒","■東北本線","278.8 km（東京起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）**","1923年（大正12年）10月15日","地上駅","1面2線","福島県福島市宮代字段ノ腰20（JR東日本）福島県福島市北矢野目字田中22（JR貨物）北緯37度48分1.71秒東経140度28分41.12秒﻿ / ﻿北緯37.8004750度 東経140.4780889度﻿ /37.8004750; 140.4780889座標:北緯37度48分1.71秒東経140度28分41.12秒﻿ / ﻿北緯37.8004750度 東経140.4780889度﻿ /37.8004750; 140.4780889","業務委託駅","ヒフノヱ（改称前）","693人/日（降車客含まず）-2019年-","","","","","","","","",""
