"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"滋野駅","滋野駅（しげのえき）","https://ja.wikipedia.org/wiki/滋野駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度20分33.28秒東経138度21分48.69秒","■しなの鉄道線","27.9 km（軽井沢起点）","しなの鉄道","1923年（大正12年）10月1日[1]","地上駅","長野県東御市滋野乙[1]977北緯36度20分33.28秒東経138度21分48.69秒﻿ / ﻿北緯36.3425778度 東経138.3635250度﻿ /36.3425778; 138.3635250座標:北緯36度20分33.28秒東経138度21分48.69秒﻿ / ﻿北緯36.3425778度 東経138.3635250度﻿ /36.3425778; 138.3635250","1面2線[1]","簡易委託駅[1]標高：563m[1]","シケ[1]","382人/日（降車客含まず）-2019年-","","766人/日-2019年-","","","","","","",""
"重原駅","重原駅（しげはらえき）","https://ja.wikipedia.org/wiki/重原駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度59分42秒東経137度1分26.8秒","三河線","23.5km（猿投起点）知立から2.2 km","名古屋鉄道","1923年（大正12年）4月6日","地上駅","愛知県知立市上重原町本郷4-4北緯34度59分42秒東経137度1分26.8秒﻿ / ﻿北緯34.99500度 東経137.024111度﻿ /34.99500; 137.024111座標:北緯34度59分42秒東経137度1分26.8秒﻿ / ﻿北緯34.99500度 東経137.024111度﻿ /34.99500; 137.024111","2面2線","無人駅（駅集中管理システム導入駅）","","","MU  01 ","1,821人/日-2018年-","","","","","","",""
"重安駅","重安駅（しげやすえき）","https://ja.wikipedia.org/wiki/重安駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度11分39.46秒東経131度12分30.61秒","■美祢線","22.3 km（厚狭起点）","西日本旅客鉄道（JR西日本）","1916年（大正5年）9月15日","地上駅","山口県美祢市大嶺町北分字山崎656北緯34度11分39.46秒東経131度12分30.61秒﻿ / ﻿北緯34.1942944度 東経131.2085028度﻿ /34.1942944; 131.2085028﻿ (重安駅)座標:北緯34度11分39.46秒東経131度12分30.61秒﻿ / ﻿北緯34.1942944度 東経131.2085028度﻿ /34.1942944; 131.2085028﻿ (重安駅)","1面2線","無人駅","シケ","5人/日（降車客含まず）-2019年-","","","","","","","","",""
"慈眼寺駅","慈眼寺駅（じげんじえき）","https://ja.wikipedia.org/wiki/慈眼寺駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯31度31分2.15秒東経130度30分22.42秒","指宿枕崎線","9.2 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1988年（昭和63年）3月13日[2]","高架駅[1]","鹿児島県鹿児島市慈眼寺町1-13北緯31度31分2.15秒東経130度30分22.42秒","1面2線[1]","無人駅[注釈 1]駅集中管理システム（Smart Support Station）採用[3]","シカ","1,527人/日（降車客含まず）-2019年-","","","","","","","","",""
"試験場前駅","試験場前駅（しけんじょうまええき）","https://ja.wikipedia.org/wiki/試験場前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度18分7.43秒東経130度30分36.59秒","■天神大牟田線","40.1 km（西鉄福岡（天神）起点）","西日本鉄道","1932年（昭和7年）12月28日","高架駅","福岡県久留米市津福本町北緯33度18分7.43秒東経130度30分36.59秒﻿ / ﻿北緯33.3020639度 東経130.5101639度﻿ /33.3020639; 130.5101639座標:北緯33度18分7.43秒東経130度30分36.59秒﻿ / ﻿北緯33.3020639度 東経130.5101639度﻿ /33.3020639; 130.5101639","2面2線","","","","T  29 ","3115人/日-2019年-","","","","","","",""
"四郷駅","四郷駅（しごうえき）","https://ja.wikipedia.org/wiki/四郷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度7分19秒東経137度9分45.7秒","■愛知環状鉄道線","23.5 km（岡崎起点）","愛知環状鉄道","1988年（昭和63年）1月31日","","愛知県豊田市四郷町森前243-1北緯35度7分19秒東経137度9分45.7秒﻿ / ﻿北緯35.12194度 東経137.162694度﻿ /35.12194; 137.162694座標:北緯35度7分19秒東経137度9分45.7秒﻿ / ﻿北緯35.12194度 東経137.162694度﻿ /35.12194; 137.162694","1面2線","駅員時間配置駅","シコ","","○14","1,454人/日-2019年-","","","","","","",""
"地御前駅","地御前駅（じごぜんえき）","https://ja.wikipedia.org/wiki/地御前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度20分26.63秒東経132度19分11.73秒","■宮島線","12.4 km（広電西広島起点）","広島電鉄","1925年（大正14年）7月15日","地上駅","広島県廿日市市地御前五丁目6-23[1]北緯34度20分26.63秒東経132度19分11.73秒﻿ / ﻿北緯34.3407306度 東経132.3199250度﻿ /34.3407306; 132.3199250﻿ (地御前駅)座標:北緯34度20分26.63秒東経132度19分11.73秒﻿ / ﻿北緯34.3407306度 東経132.3199250度﻿ /34.3407306; 132.3199250﻿ (地御前駅)","2面2線","","","","●M36","1,021人/日-2018年-","","","","","","",""
"広島観光開発","獅子岩駅（ししいわえき）","https://ja.wikipedia.org/wiki/広島観光開発#宮島ロープウエー","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿折唐桑駅","鹿折唐桑駅（ししおりからくわえき）","https://ja.wikipedia.org/wiki/鹿折唐桑駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯38度54分57.07秒東経141度34分47.10秒","■大船渡線BRT","2.2km（気仙沼起点）一ノ関から64.2 km","東日本旅客鉄道（JR東日本）","2013年（平成25年）3月2日*","地上駅","宮城県気仙沼市新浜町一丁目8-3北緯38度54分57.07秒東経141度34分47.10秒座標:北緯38度54分57.07秒 東経141度34分47.10秒","","無人駅","","8人/日（降車客含まず）-2019年-","","","","","","","","",""
"宍喰駅","宍喰駅（ししくいえき）","https://ja.wikipedia.org/wiki/宍喰駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度34分0.50秒東経134度18分2.48秒","■阿佐東線","7.6 km（阿波海南起点）","阿佐海岸鉄道","1992年（平成4年）3月26日","高架駅","徳島県海部郡海陽町久保字松本34-2[1]北緯33度34分0.50秒東経134度18分2.48秒﻿ / ﻿北緯33.5668056度 東経134.3006889度﻿ /33.5668056; 134.3006889座標:北緯33度34分0.50秒東経134度18分2.48秒﻿ / ﻿北緯33.5668056度 東経134.3006889度﻿ /33.5668056; 134.3006889","1面1線","","シシ","","○AK29","26[2]人/日-2019年-","","","","","","",""
"宍戸駅","宍戸駅（ししどえき）","https://ja.wikipedia.org/wiki/宍戸駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度20分40.52秒東経140度17分21.62秒","■水戸線","48.5 km（小山起点）","東日本旅客鉄道（JR東日本）","1889年（明治22年）1月16日","地上駅","茨城県笠間市大田町北緯36度20分40.52秒東経140度17分21.62秒座標:北緯36度20分40.52秒 東経140度17分21.62秒","1面1線","簡易委託駅* 開業4ヶ月後に太田町駅から改称。","シシ","336人/日（降車客含まず）-2019年-","","","","","","","","",""
"ししぶ駅","ししぶ駅","https://ja.wikipedia.org/wiki/ししぶ駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度43分18.28秒東経130度27分29.87秒","JA鹿児島本線","62.0 km（門司港起点）","九州旅客鉄道（JR九州）","2009年（平成21年）3月14日","地上駅（橋上駅）","福岡県古賀市美明二丁目28-1北緯33度43分18.28秒東経130度27分29.87秒﻿ / ﻿北緯33.7217444度 東経130.4582972度﻿ /33.7217444; 130.4582972﻿ (ししぶ駅)","2面2線","業務委託駅みどりの窓口有","シフ","1,617人/日（降車客含まず）-2019年-","JA  08 ","","","","","","","",""
"四十万駅","四十万駅（しじまえき）","https://ja.wikipedia.org/wiki/四十万駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度29分56.01秒東経136度36分56.59秒","■石川線","8.2 km（野町起点）","北陸鉄道","1915年（大正4年）6月22日","地上駅","石川県金沢市四十万4丁目286北緯36度29分56.01秒東経136度36分56.59秒﻿ / ﻿北緯36.4988917度 東経136.6157194度﻿ /36.4988917; 136.6157194座標:北緯36度29分56.01秒東経136度36分56.59秒﻿ / ﻿北緯36.4988917度 東経136.6157194度﻿ /36.4988917; 136.6157194","単式 1面1線","","","","○I10","253人/日-2017年-","","","","","","",""
"志染駅","志染駅（しじみえき）","https://ja.wikipedia.org/wiki/志染駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","粟生線","15.6km（鈴蘭台起点）湊川から23.1km新開地から23.5 km","神戸電鉄","1937年（昭和12年）12月28日[1][2]","地上駅[1]","","2面3線[1]","","","","○KB50","","","","","","","",""
"関西電力黒部専用鉄道","蜆谷駅（しじみたにえき）","https://ja.wikipedia.org/wiki/関西電力黒部専用鉄道","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"四十九駅","四十九駅（しじゅくえき）","https://ja.wikipedia.org/wiki/四十九駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度44分53.5秒東経136度8分13.2秒","■伊賀線（忍者線）","6.5 km（伊賀上野起点）","伊賀鉄道","2018年（平成30年）3月17日","地上駅","三重県伊賀市四十九町北緯34度44分53.5秒東経136度8分13.2秒﻿ / ﻿北緯34.748194度 東経136.137000度﻿ /34.748194; 136.137000﻿ (四十九駅)座標:北緯34度44分53.5秒東経136度8分13.2秒﻿ / ﻿北緯34.748194度 東経136.137000度﻿ /34.748194; 136.137000﻿ (四十九駅)","1面1線","無人駅","","87人/日（降車客含まず）-2019年-","","","","","","","","",""
"四所駅","四所駅（ししょえき）","https://ja.wikipedia.org/wiki/四所駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度26分47.09秒東経135度17分24.97秒","宮津線（宮舞線）*","5.4 km（西舞鶴起点）","WILLER TRAINS（京都丹後鉄道）","1924年（大正13年）4月12日[1]","地上駅","京都府舞鶴市上福井1222-2北緯35度26分47.09秒東経135度17分24.97秒﻿ / ﻿北緯35.4464139度 東経135.2902694度﻿ /35.4464139; 135.2902694﻿ (四所駅)座標:北緯35度26分47.09秒東経135度17分24.97秒﻿ / ﻿北緯35.4464139度 東経135.2902694度﻿ /35.4464139; 135.2902694﻿ (四所駅)","2面2線","無人駅*1990年西日本旅客鉄道から移管[1]","シヨ←シシヨ","19人/日（降車客含まず）-2019年-","M9","","","","","","","",""
"四条駅","四条駅（しじょうえき）","https://ja.wikipedia.org/wiki/四条駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度0分8.6秒東経135度45分34.8秒","烏丸線","8.5 km（国際会館起点）","京都市交通局（京都市営地下鉄）","1981年（昭和56年）5月29日","地下駅","京都市下京区二帖半敷町北緯35度0分8.6秒東経135度45分34.8秒﻿ / ﻿北緯35.002389度 東経135.759667度﻿ /35.002389; 135.759667﻿ (四条駅)座標:北緯35度0分8.6秒東経135度45分34.8秒﻿ / ﻿北緯35.002389度 東経135.759667度﻿ /35.002389; 135.759667﻿ (四条駅)","1面2線","","","","●K09","103,411人/日-2019年-","阪急京都本線（烏丸駅）","","","","","",""
"四条大宮駅","四条大宮駅（しじょうおおみやえき）","https://ja.wikipedia.org/wiki/四条大宮駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度0分12.07秒東経135度44分54.27秒","■嵐山本線","0.0 km（四条大宮起点）","京福電気鉄道","1910年（明治43年）3月25日","地上駅","京都市下京区四条大宮町北緯35度0分12.07秒東経135度44分54.27秒﻿ / ﻿北緯35.0033528度 東経135.7484083度﻿ /35.0033528; 135.7484083座標:北緯35度0分12.07秒東経135度44分54.27秒﻿ / ﻿北緯35.0033528度 東経135.7484083度﻿ /35.0033528; 135.7484083","櫛形3面2線","","","","●A1","5,896人/日-2019年-","阪急京都本線（大宮駅）","","","","","",""
"四条畷駅","四条畷駅（しじょうなわてえき）","https://ja.wikipedia.org/wiki/四条畷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度43分49.57秒東経135度38分21.64秒","H片町線（学研都市線）","32.0 km（木津起点）","西日本旅客鉄道（JR西日本）","1895年（明治28年）8月22日","地上駅（橋上駅）","大阪府大東市学園町1-50北緯34度43分49.57秒東経135度38分21.64秒﻿ / ﻿北緯34.7304361度 東経135.6393444度﻿ /34.7304361; 135.6393444座標:北緯34度43分49.57秒東経135度38分21.64秒﻿ / ﻿北緯34.7304361度 東経135.6393444度﻿ /34.7304361; 135.6393444","2面4線","直営駅（管理駅）みどりの窓口有","シワ","18,488人/日（降車客含まず）-2019年-","JR-H34","","","","","","","",""
"市場前駅","市場前駅（しじょうまええき）","https://ja.wikipedia.org/wiki/市場前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度38分44.4秒東経139度47分8.3秒","東京臨海新交通臨海線","13.5 km（新橋起点）","ゆりかもめ","2006年（平成18年）3月27日[1]","高架駅","東京都江東区豊洲六丁目北緯35度38分44.4秒東経139度47分8.3秒﻿ / ﻿北緯35.645667度 東経139.785639度﻿ /35.645667; 139.785639﻿ (市場前駅)座標:北緯35度38分44.4秒東経139度47分8.3秒﻿ / ﻿北緯35.645667度 東経139.785639度﻿ /35.645667; 139.785639﻿ (市場前駅)","1面2線","無人駅","","4,036人/日（降車客含まず）-2018年-","U14","7,855人/日-2018年-","","","","","","",""
"静駅","静駅（しずえき）","https://ja.wikipedia.org/wiki/静駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度30分21.6秒東経140度26分17.2秒","■水郡線","18.1 km（水戸起点）","東日本旅客鉄道（JR東日本）","1919年（大正8年）2月1日","地上駅","茨城県那珂市下大賀北緯36度30分21.6秒東経140度26分17.2秒","1面1線","無人駅","シツ","","","","","","","","","",""
"酒々井駅","酒々井駅（しすいえき）","https://ja.wikipedia.org/wiki/酒々井駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度43分54.3秒東経140度16分31秒","■成田線","6.4 km（佐倉起点）東京から61.7 km","東日本旅客鉄道（JR東日本）","1897年（明治30年）1月19日[2]","地上駅（橋上駅）","千葉県印旛郡酒々井町酒々井921北緯35度43分54.3秒東経140度16分31秒座標:北緯35度43分54.3秒 東経140度16分31秒","2面2線","業務委託駅みどりの窓口有","スイ←シスイ","3,689人/日（降車客含まず）-2019年-","JO34[1]","","","","","","","",""
"静岡駅","静岡駅（しずおかえき）","https://ja.wikipedia.org/wiki/静岡駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度58分17.8秒東経138度23分18.8秒","■東海道新幹線","180.2 km（東京起点）","東海旅客鉄道（JR東海）","1889年（明治22年）2月1日","高架駅","静岡市葵区黒金町50北緯34度58分17.8秒東経138度23分18.8秒﻿ / ﻿北緯34.971611度 東経138.388556度﻿ /34.971611; 138.388556座標:北緯34度58分17.8秒東経138度23分18.8秒﻿ / ﻿北緯34.971611度 東経138.388556度﻿ /34.971611; 138.388556","2面2線（新幹線）2面4線（在来線）","駅長配置駅（管理駅）JR全線きっぷうりば有","シツ","59,396人/日（降車客含まず）-2019年-","CA  17 ","","S 01新静岡駅-静岡鉄道静岡清水線徒歩7分","","","","","",""
"静岡貨物駅","静岡貨物駅（しずおかかもつえき）","https://ja.wikipedia.org/wiki/静岡貨物駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度59分18.56秒東経138度25分18.37秒","東海道本線","176.7 km（東京起点）","日本貨物鉄道（JR貨物）","1967年（昭和42年）10月1日*","地上駅","静岡市駿河区池田字大黒坪346北緯34度59分18.56秒東経138度25分18.37秒﻿ / ﻿北緯34.9884889度 東経138.4217694度﻿ /34.9884889; 138.4217694座標:北緯34度59分18.56秒東経138度25分18.37秒﻿ / ﻿北緯34.9884889度 東経138.4217694度﻿ /34.9884889; 138.4217694","","貨物専用駅","セイ","","","","","","","","","",""
"静狩駅","静狩駅（しずかりえき）","https://ja.wikipedia.org/wiki/静狩駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯42度35分2.63秒東経140度27分36.09秒","■室蘭本線","10.6 km（長万部起点）","北海道旅客鉄道（JR北海道）","1923年（大正12年）12月10日","地上駅","北海道山越郡長万部町字静狩北緯42度35分2.63秒東経140度27分36.09秒﻿ / ﻿北緯42.5840639度 東経140.4600250度﻿ /42.5840639; 140.4600250﻿ (静狩駅)","2面3線","無人駅","シツ","","○H46","4人/日-2014年-","","","","","","",""
"雫石駅","雫石駅（しずくいしえき）","https://ja.wikipedia.org/wiki/雫石駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯39度41分21.7秒東経140度58分29.5秒","■秋田新幹線","16.0km（盛岡起点）東京から551.3 km","東日本旅客鉄道（JR東日本）","1921年（大正10年）6月25日","地上駅（橋上駅）","岩手県岩手郡雫石町寺の下46-3北緯39度41分21.7秒東経140度58分29.5秒﻿ / ﻿北緯39.689361度 東経140.974861度﻿ /39.689361; 140.974861座標:北緯39度41分21.7秒東経140度58分29.5秒﻿ / ﻿北緯39.689361度 東経140.974861度﻿ /39.689361; 140.974861","2面3線","業務委託駅みどりの窓口有","クイ","528人/日（降車客含まず）-2019年-","","","","","","","","",""
"清水浜駅","清水浜駅（しずはまえき）","https://ja.wikipedia.org/wiki/清水浜駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","■気仙沼線BRT","38.2 km（前谷地起点）","東日本旅客鉄道（JR東日本）","2012年（平成24年）8月20日*","地上駅","","","無人駅","","5人/日（降車客含まず）-2019年-","","","","","","","","",""
"静間駅","静間駅（しずまえき）","https://ja.wikipedia.org/wiki/静間駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度11分43.74秒東経132度28分5秒","D山陰本線","420.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1926年（大正15年）9月16日","地上駅","島根県大田市静間町1046北緯35度11分43.74秒東経132度28分5秒﻿ / ﻿北緯35.1954833度 東経132.46806度﻿ /35.1954833; 132.46806﻿ (静間駅)","1面1線","無人駅（乗車駅証明書発行機 有）","シツ","35人/日（降車客含まず）-2018年-","","","","","","","","",""
"志都美駅","志都美駅（しずみえき）","https://ja.wikipedia.org/wiki/志都美駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度33分41.45秒東経135度42分7.19秒","T和歌山線","4.5 km（王寺起点）","西日本旅客鉄道（JR西日本）","1955年（昭和30年）12月27日","地上駅（橋上駅）","奈良県香芝市上中188北緯34度33分41.45秒東経135度42分7.19秒﻿ / ﻿北緯34.5615139度 東経135.7019972度﻿ /34.5615139; 135.7019972座標:北緯34度33分41.45秒東経135度42分7.19秒﻿ / ﻿北緯34.5615139度 東経135.7019972度﻿ /34.5615139; 135.7019972","2面2線","業務委託駅みどりの窓口有","シス","1,992人/日（降車客含まず）-2018年-","","","","","","","","",""
"静和駅","静和駅（しずわえき）","https://ja.wikipedia.org/wiki/静和駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度19分1.19秒東経139度41分6.48秒","■日光線","37.3 km（東武動物公園起点）","東武鉄道","1929年（昭和4年）4月1日","地上駅","栃木県栃木市岩舟町静和2143北緯36度19分1.19秒東経139度41分6.48秒﻿ / ﻿北緯36.3169972度 東経139.6851333度﻿ /36.3169972; 139.6851333﻿ (静和駅)座標:北緯36度19分1.19秒東経139度41分6.48秒﻿ / ﻿北緯36.3169972度 東経139.6851333度﻿ /36.3169972; 139.6851333﻿ (静和駅)","1面2線","","シワ","","TN09","1,196人/日-2019年-","","","","","","",""
"資生館小学校前停留場","資生館小学校前停留場（しせいかんしょうがっこうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/資生館小学校前停留場","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度3分18.2秒東経141度20分56.8秒","山鼻線","3.592 km（中央図書館前起点）","札幌市交通事業振興公社（札幌市電）","1923年（大正12年）8月","地上駅（停留場）","札幌市中央区南4条西6丁目北緯43度3分18.2秒東経141度20分56.8秒﻿ / ﻿北緯43.055056度 東経141.349111度﻿ /43.055056; 141.349111座標:北緯43度3分18.2秒東経141度20分56.8秒﻿ / ﻿北緯43.055056度 東経141.349111度﻿ /43.055056; 141.349111","2面2線","運行系統上の起点となる西4丁目より8.182 km","","","○SC22","687[1]人/日-2019年-","","","","","","",""
"自然園前駅","自然園前駅（しぜんえんまええき）","https://ja.wikipedia.org/wiki/自然園前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度46分12.92秒東経136度55分52.6秒","越美南線","50.9 km（美濃太田起点）","長良川鉄道","1986年12月11日[1]","地上駅","岐阜県郡上市八幡町瀬取北緯35度46分12.92秒東経136度55分52.6秒﻿ / ﻿北緯35.7702556度 東経136.931278度﻿ /35.7702556; 136.931278座標:北緯35度46分12.92秒東経136度55分52.6秒﻿ / ﻿北緯35.7702556度 東経136.931278度﻿ /35.7702556; 136.931278","1面1線","無人駅","エン","4人/日（降車客含まず）-2015年-","26","","","","","","","",""
"地蔵橋駅","地蔵橋駅（じぞうばしえき）","https://ja.wikipedia.org/wiki/地蔵橋駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度1分37.14秒東経134度32分49.30秒","■牟岐線","6.0 km（徳島起点）","四国旅客鉄道（JR四国）","1913年（大正2年）4月20日","地上駅","徳島県徳島市西須賀町西開26北緯34度1分37.14秒東経134度32分49.30秒﻿ / ﻿北緯34.0269833度 東経134.5470278度﻿ /34.0269833; 134.5470278座標:北緯34度1分37.14秒東経134度32分49.30秒﻿ / ﻿北緯34.0269833度 東経134.5470278度﻿ /34.0269833; 134.5470278","1面1線","無人駅（自動券売機 有）","チソ","","○M04","612[1]人/日-2019年-","","","","","","",""
"地蔵町駅","地蔵町駅（じぞうまちえき）","https://ja.wikipedia.org/wiki/地蔵町駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度46分46.39秒東経132度42分15.06秒","郡中線","8.6 km（松山市起点）","伊予鉄道","1901年2月21日","地上駅","愛媛県伊予郡松前町大字北黒田北緯33度46分46.39秒東経132度42分15.06秒﻿ / ﻿北緯33.7795528度 東経132.7041833度﻿ /33.7795528; 132.7041833﻿ (地蔵町駅)","2面2線","","","","●IY32","559[1]人/日-2019年-","","","","","","",""
"市大医学部駅","市大医学部駅（しだいいがくぶえき）","https://ja.wikipedia.org/wiki/市大医学部駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度20分39秒東経139度39分0.5秒","■金沢シーサイドライン","6.3 km（新杉田起点）","横浜シーサイドライン","1989年（平成元年）7月5日[1]","高架駅","横浜市金沢区福浦三丁目北緯35度20分39秒東経139度39分0.5秒﻿ / ﻿北緯35.34417度 東経139.650139度﻿ /35.34417; 139.650139﻿ (市大医学部駅)座標:北緯35度20分39秒東経139度39分0.5秒﻿ / ﻿北緯35.34417度 東経139.650139度﻿ /35.34417; 139.650139﻿ (市大医学部駅)","島式 1面2線","","","5,673人/日（降車客含まず）-2019年-","9","11,429人/日-2019年-","","","","","","",""
"下段駅","下段駅（しただんえき）","https://ja.wikipedia.org/wiki/下段駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度38分52.42秒東経137度19分3.97秒","■立山線","5.7 km（寺田起点）","富山地方鉄道","1936年（昭和11年）12月26日","地上駅","富山県中新川郡立山町榎42-2北緯36度38分52.42秒東経137度19分3.97秒﻿ / ﻿北緯36.6478944度 東経137.3177694度﻿ /36.6478944; 137.3177694﻿ (下段駅)座標:北緯36度38分52.42秒東経137度19分3.97秒﻿ / ﻿北緯36.6478944度 東経137.3177694度﻿ /36.6478944; 137.3177694﻿ (下段駅)","単式1面1線","","","","T48","90人/日-2019年-","","","","","","",""
"下ノ江駅","下ノ江駅（したのええき）","https://ja.wikipedia.org/wiki/下ノ江駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度9分30.56秒東経131度48分40.71秒","■日豊本線","161.1 km（小倉起点）","九州旅客鉄道（JR九州）","1915年（大正4年）8月15日[1]","地上駅","大分県臼杵市大字田井[1]北緯33度9分30.56秒東経131度48分40.71秒","1面2線[1]","無人駅[1]","シノ","53人/日（降車客含まず）-2015年-","","","","","","","","",""
"舌山駅","舌山駅（したやまえき）","https://ja.wikipedia.org/wiki/舌山駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度52分20.38秒東経137度29分7.81秒","■本線","41.0 km（電鉄富山起点）","富山地方鉄道","1922年（大正11年）11月5日","地上駅","富山県黒部市若栗4229北緯36度52分20.38秒東経137度29分7.81秒﻿ / ﻿北緯36.8723278度 東経137.4855028度﻿ /36.8723278; 137.4855028﻿ (舌山駅)座標:北緯36度52分20.38秒東経137度29分7.81秒﻿ / ﻿北緯36.8723278度 東経137.4855028度﻿ /36.8723278; 137.4855028﻿ (舌山駅)","相対式2面2線","","","","T32","69人/日-2019年-","","","","","","",""
