"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","最高峰","位置","所在海域","海岸線長","標高","都道府県","山系","人口密度","国","外部リンク","地方","郡","市町村コード","総人口","隣接自治体","種類"
"八尾町","[053八尾の里富山県] 八尾町 （やつおまち）は、かつて 富山県 婦負郡 にあった 町 。現在は 富山市 の地域の一つである。","https://ja.wikipedia.org/wiki/八尾町","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯36度35分08秒東経137度08分24秒","〒939-2398富山県婦負郡八尾町福島151番地","236.86km2","","","","","","","富山県","","","日本","八尾町（Internet Archive）","中部地方、北陸地方","婦負郡","16361-9","21,810人（国勢調査速報値、2005年10月1日）","富山市、南砺市、婦中町、大沢野町、山田村、細入村、飛騨市",""
"木ノ芽峠","[054旧板取宿・木ノ芽峠福井県] 木ノ芽峠 （きのめとうげ）は、 福井県 の 嶺北 （越前地方）と 嶺南 （若狭地方）を隔てる 峠 である。 木嶺 （もくれい）とも言い、「嶺北」「嶺南」の語源となっている。","https://ja.wikipedia.org/wiki/木ノ芽峠","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度43分1秒東経136度8分26秒","福井県南条郡南越前町・敦賀市","","","","","","","628m","","","","","","","","","","",""
"中伊豆 (存在しないページ)","[055中伊豆/猫越峠静岡県]","https://ja.wikipedia.org/w/index.php?title=中伊豆&amp;action=edit&amp;redlink=1","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"桶ヶ谷沼","[056桶ヶ谷沼静岡県] 桶ヶ谷沼 （おけがやぬま）とは、 静岡県 磐田市 の北東部に位置する 沼 。沼の周囲は豊かな 自然 が残されており、日本全国でも有数の『 トンボ の楽園』として知られる。 日本の秘境100選 の1つ。","https://ja.wikipedia.org/wiki/桶ヶ谷沼","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯34度44分30秒東経137度53分00秒","日本静岡県磐田市","0.074km2","","","北緯34度44分30秒東経137度53分00秒﻿ / ﻿北緯34.74167度 東経137.88333度﻿ /34.74167; 137.88333座標:北緯34度44分30秒東経137度53分00秒﻿ / ﻿北緯34.74167度 東経137.88333度﻿ /34.74167; 137.88333","","","","","","","","","","","","","",""
"野麦峠","[057野麦峠岐阜県・長野県] 野麦峠 （のむぎとうげ）は、 岐阜県 高山市 と 長野県 松本市 の県境に位置し、 飛騨国 と 信濃国 を結ぶ鎌倉街道・江戸街道と呼ばれる街道の 峠 。 乗鞍岳 と 鎌ヶ峰 の間にあり、標高1,672 m。 長野県道・岐阜県道39号奈川野麦高根線 が通っている。","https://ja.wikipedia.org/wiki/野麦峠","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯36度3分7秒東経137度36分19秒","岐阜県高山市・長野県松本市","","","","","","","1,672m","","飛騨山脈","","","","","","","","",""
"十津川村","[058十津川郷奈良県] ","https://ja.wikipedia.org/wiki/十津川村","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯33度59分18.4秒東経135度47分33.2秒","〒637-1333奈良県吉野郡十津川村大字小原225番地の1北緯33度59分18.4秒東経135度47分33.2秒﻿ / ﻿北緯33.988444度 東経135.792556度﻿ /33.988444; 135.792556座標:北緯33度59分18.4秒東経135度47分33.2秒﻿ / ﻿北緯33.988444度 東経135.792556度﻿ /33.988444; 135.792556","672.38km2","","","","","","","奈良県","","4.49人/km2","日本","公式ウェブサイト","近畿地方","吉野郡","29449-7","3,017人（推計人口、2021年6月1日）","五條市、吉野郡上北山村、下北山村、野迫川村三重県熊野市和歌山県：新宮市、田辺市、東牟婁郡北山村",""
"琵琶湖","[059琵琶湖/竹生島滋賀県] 琵琶湖 （びわこ）は、 滋賀県 にある 日本 最大 の 面積 と貯水量を持つ 湖 。 一級水系 「 淀川 水系」に属する 一級河川 である。 国土交通大臣 から委託を受けて滋賀県知事が管理を担う。 湖沼水質保全特別措置法 指定湖沼で、 ラムサール条約 登録 湿地 でもある。","https://ja.wikipedia.org/wiki/琵琶湖","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度20分0秒東経136度10分0秒","日本滋賀県","669.26km2","","","北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667座標:北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667","","","","","","","","","","","","","",""
"大台ヶ原山","[060大台ケ原/大杉谷奈良県・三重県] 大台ヶ原山 （おおだいがはらやま）は 奈良県 と 三重県 の 県境 にある 標高 1695.1m  の 山 である。 深田久弥 によって「 日本百名山 」に選ばれたほか、 日本百景 、 日本の秘境100選 にも選ばれている。 1980年 （昭和55年）に 国際連合教育科学文化機関 の 生物圏保護区 （ユネスコエコパーク）に登録された（登録名：大台ケ原・ 大峯山 ・ 大杉谷 ）  。","https://ja.wikipedia.org/wiki/大台ヶ原山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯34度11分7秒東経136度6分33秒","奈良県吉野郡上北山村、川上村、三重県多気郡大台町","","","","北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917座標:北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917","","","1,695.1m","","台高山脈","","","","","","","","","隆起準平原"
"熊野古道","[061熊野古道和歌山県] 熊野古道 （くまのこどう）は、 熊野三山 （ 熊野本宮大社 、 熊野速玉大社 、 熊野那智大社 ）へと通じる 参詣道 の総称。 熊野参詣道 ともよばれる。 紀伊半島 に位置し、道は 三重県 、 奈良県 、 和歌山県 、 大阪府 に跨る。2004年に 世界文化遺産 に登録。","https://ja.wikipedia.org/wiki/熊野古道","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"蛭子山古墳","[062蛭子山・作山古墳京都府] 蛭子山古墳 （えびすやまこふん）または 蛭子山1号墳 は、 京都府 与謝郡 与謝野町 字加悦・明石にある 古墳 。形状は 前方後円墳 。蛭子山古墳群を構成する古墳の1つ。国の 史跡 に指定され、舟形石棺は京都府指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/蛭子山古墳","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度30分25.76秒東経135度6分16.25秒","京都府与謝郡与謝野町字加悦・明石（与謝野町立古墳公園内）","","","","北緯35度30分25.76秒東経135度6分16.25秒﻿ / ﻿北緯35.5071556度 東経135.1045139度﻿ /35.5071556; 135.1045139﻿ (蛭子山古墳（蛭子山1号墳）)座標:北緯35度30分25.76秒東経135度6分16.25秒﻿ / ﻿北緯35.5071556度 東経135.1045139度﻿ /35.5071556; 135.1045139﻿ (蛭子山古墳（蛭子山1号墳）)","","","","","","","","","","","","","",""
"京都大学フィールド科学教育研究センター森林ステーション芦生研究林","[063芦生原生林京都府] 京都大学フィールド科学教育研究センター森林ステーション芦生研究林 （ きょうとだいがく フィールドかがくきょういくけんきゅうセンターしんりんステーション あしうけんきゅうりん 、略称： 京都大学芦生研究林 ）は、 京都府 南丹市 美山町芦生にある 京都大学 の研究施設である。 1921年 に当時の京都帝国大学初の国内 演習林 として 北桑田郡 知井村  九ヶ字共有林約4,200haに 地上権 を設定し、同地を 芦生演習林 と称したことから始まり、その後 1923年 の 農学部 設置に伴い学生や研究者向けの学術研究および実地研究の場として活用されたほか、大学の財産形成の場として、 伐採 に伴う用材収入や製炭事業などでの収入が用いられた。 近畿地方 に残る数少ない大規模 天然林 であり、中には 原生林 もあることから、 芦生原生林 や 芦生の森 とも呼ばれることがあるほか、現在でも旧称の芦生演習林で広く通じている。","https://ja.wikipedia.org/wiki/京都大学フィールド科学教育研究センター森林ステーション芦生研究林","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"瀞川渓谷","[064瀞川渓谷兵庫県] 瀞川渓谷 （とろかわけいこく）は 兵庫県 美方郡 香美町 村岡区にある 渓谷 。","https://ja.wikipedia.org/wiki/瀞川渓谷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"石楠花渓 (存在しないページ)","[065石楠花渓滋賀県]","https://ja.wikipedia.org/w/index.php?title=石楠花渓&amp;action=edit&amp;redlink=1","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"神島 (三重県)","[066神島三重県] 神島 （かみしま）は 伊勢湾口 に位置する、 周囲 3.9km、 面積 0.76km 2 の 島 で、 三重県 鳥羽市 に属する。 三島由紀夫 の 小説 『 潮騒 』の舞台になったことで有名。 人口 は300人あまりで過疎化が進んでいる。","https://ja.wikipedia.org/wiki/神島_(三重県)","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯34度32分54秒東経136度59分5秒","日本（三重県）","0.76km²","171m","","","伊勢湾（伊良湖水道）","約3.9km","","","","","","","","","","","",""
"古座川","[067古座川和歌山県] 古座川 （こざがわ）は、 和歌山県 南部を流れる 二級水系 の 本流 。","https://ja.wikipedia.org/wiki/古座川","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"富貴村","[068裏高野和歌山県] 富貴村 （ふきむら）","https://ja.wikipedia.org/wiki/富貴村","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"祖谷","[069祖谷徳島県] 祖谷山 （いややま）とは、 徳島県 西部の 祖谷川 ・ 松尾川 流域の山間部地域のこと。かつての 美馬郡 （後に 三好郡 ） 東祖谷山村 ・ 西祖谷山村 の地域に相当し、現在の 三好市 の一部にあたる。また、登山者の観点から見た、祖谷山を下に記述する。","https://ja.wikipedia.org/wiki/祖谷","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"佐田岬","[070佐田岬愛媛県] 佐田岬 （さだみさき）は、 愛媛県 の 佐田岬半島 先端にある、 四国 最西端の 岬 。","https://ja.wikipedia.org/wiki/佐田岬","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"四万十川","[071四万十川高知県] 四万十川 （しまんとがわ）は、 高知県 の西部を流れる 一級河川 で渡川水系の本流である  。全長196km、 流域 面積2186km 2   。 四国 内で最長の川である。本流に大規模なダムが建設されていないことから「日本最後の 清流 」、また 柿田川 ・ 長良川 とともに「 日本三大清流 の一つ」と呼ばれる。 名水百選  、 日本の秘境100選 にも選ばれている。","https://ja.wikipedia.org/wiki/四万十川","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"隠岐諸島","[072隠岐/国賀海岸島根県] 隠岐諸島 （おきしょとう）は、 島根半島 の北方約50 kmに位置する島々である。 隠岐群島 （おきぐんとう）、 隠岐島 （おきのしま）とも呼ばれる  。 現在は 島根県 隠岐郡 に所属している。 山陰地方 では今  でも隠岐諸島を指して 隠岐国 （おきのくに）と呼ぶ場合がある。","https://ja.wikipedia.org/wiki/隠岐諸島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯36度12分00秒東経133度10分00秒","","345.92 km2(133.56 sq mi)","608 m (1,995 ft)","大満寺山","","","","","島根県","","58.2 /km2(150.7 /sq mi)","","","","隠岐郡","","","",""
"島根半島","[073島根半島北岸島根県] 島根半島 （しまねはんとう）は、 島根県 の北東に位置し、北側を 日本海 、東側を 美保湾 、南側を 中海 、 宍道湖 に囲まれた 半島 である。 出雲市 大社の 日御碕 から 松江市 美保関の地蔵崎に至る東西65km、南北15 - 20kmの半島で、一帯は200 - 500mの丘陵地となっている。 境水道 、 大橋川 に加え、宍道湖と日本海（恵曇港）を直接結ぶ、人工運河の佐陀川が 天明 時代に掘削されたので、半島東部は本土と切り離されている。北岸は日本海の荒波によって浸食された 海食崖 や 沈水海岸 が連続し、その中に小湾が続き、恵曇（えとも）や 七類 、片江、御津、 十六島 （うっぷるい）などの 漁港 がある。","https://ja.wikipedia.org/wiki/島根半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"比婆山","[074比婆山広島県] 比婆山 （ひばやま）は、 広島県 庄原市 にある標高1264  m の山。 中国山地 中部にあり、 比婆道後帝釈国定公園 に属している。","https://ja.wikipedia.org/wiki/比婆山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度03分06秒東経133度03分56秒","広島県庄原市","","","","北緯35度03分06秒東経133度03分56秒﻿ / ﻿北緯35.05167度 東経133.06556度﻿ /35.05167; 133.06556","","","1,299m","","比婆山地","","","","","","","","",""
"氷ノ山","[075氷ノ山西麓鳥取県] 氷ノ山 （ひょうのせん）は、 兵庫県 養父市 と 鳥取県 八頭郡 若桜町 との県境にある 標高 1,510 m の 山 である。 須賀ノ山 とも呼ばれる。 日本二百名山 や ふるさと兵庫50山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/氷ノ山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯35度21分14秒東経134度30分49秒","日本兵庫県養父市鳥取県八頭郡若桜町","","","","北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361座標:北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361","","","1,509.6m","","中国山地氷ノ山山系","","","","","","","","",""
"別子銅山","[076別子銅山跡愛媛県] 別子銅山 （べっしどうざん）は、 愛媛県 新居浜市 の山麓部にあった 銅山 。 1690年 （ 元禄 3年）に発見され、翌年から 1973年 （ 昭和 48年）までの282年間に約70万トンの銅を産出し、日本の貿易や近代化に寄与した。一貫して 住友家 が経営し（閉山時は 住友金属鉱山 ）、関連事業を興すことで発展を続け、住友が日本を代表する巨大 財閥 となる礎となった。","https://ja.wikipedia.org/wiki/別子銅山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"馬路村","[077千本山高知県] ","https://ja.wikipedia.org/wiki/馬路村","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯33度33分18.8秒東経134度2分53.1秒","〒781-6201高知県安芸郡馬路村馬路443番地北緯33度33分18.8秒東経134度2分53.1秒﻿ / ﻿北緯33.555222度 東経134.048083度﻿ /33.555222; 134.048083座標:北緯33度33分18.8秒東経134度2分53.1秒﻿ / ﻿北緯33.555222度 東経134.048083度﻿ /33.555222; 134.048083","165.48km2","","","","","","","高知県","","4.34人/km2","日本","公式ウェブサイト","四国地方中国・四国地方","安芸郡","39306-1","719人（推計人口、2021年6月1日）","安芸市、安芸郡安田町、北川村徳島県：那賀郡那賀町、海部郡海陽町",""
"野根山街道","[078野根山街道高知県] 野根山街道 （のねやまかいどう）は、 高知県 東部の 奈半利町 と 東洋町 を結んでいる 尾根 伝いの 街道 である。四国百名山に選定されているので、山としての核心部分である最高地点の装束山（標高1,083.0m）と野根山（標高983.5m）も記述する。 ","https://ja.wikipedia.org/wiki/野根山街道","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯33度28分18.93秒東経134度8分14.85秒","高知県安芸郡奈半利町・室戸市・安芸郡北川村・東洋町","","","","北緯33度28分18.93秒東経134度8分14.85秒﻿ / ﻿北緯33.4719250度 東経134.1374583度﻿ /33.4719250; 134.1374583座標:北緯33度28分18.93秒東経134度8分14.85秒﻿ / ﻿北緯33.4719250度 東経134.1374583度﻿ /33.4719250; 134.1374583","","","1,083.0m","","四国山地","","","","","","","","",""
"大堂海岸","[079大堂海岸高知県] 大堂海岸 （おおどうかいがん）は、 高知県 幡多郡 大月町 にある海岸である。 足摺宇和海国立公園 に指定されている。","https://ja.wikipedia.org/wiki/大堂海岸","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"物部川","[080奥物部高知県] 物部川 （ものべがわ）は、 高知県 香美市 の 白髪山 を水源とし、大小の支流34の河川を合わせつつ 土佐湾 に注ぐ 一級河川 。高知県中部を流域として、南国市、香南市、香美市をまたぐ流域面積508平方キロメートルの河川であり、山地が流域の約88%を占める  。流域内では高知龍馬空港や高知市への国道等が整備されており、交通の要衝となっているほか、高知県最大の穀倉地帯である香長平野を含むため、野菜を中心とする施設園芸や稲作も盛んに行われている  。河川延長は幹河71km、支河219kmの290km、流域内人口は約4万人  。","https://ja.wikipedia.org/wiki/物部川","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"小豆島","[081小豆島香川県] 小豆島 （しょうどしま）は、 瀬戸内海 ・ 播磨灘 にある 島 。行政区分は 香川県 小豆郡 に属し  、 小豆島町 、 土庄町 の2町からなり、人口は2万8,764人（2016年度推計）。近年、人口が減少の一途をたどっており、2013年6月24日に隣接する 沖之島 とあわせて、 国土交通省 より「 離島振興法 」の指定を受けた。離島振興法の活用で、今後10年間の人口減少率を10%以内に抑えることを目指す  。","https://ja.wikipedia.org/wiki/小豆島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯34度30分49秒東経134度17分8秒","日本（香川県小豆郡）","153.30km²","816.7m","","","瀬戸内海（播磨灘）","126km","","","","","","","","","","","",""
"鯉ヶ窪湿原","[082鯉ヶ窪湿原岡山県] 鯉ヶ窪湿原 （こいがくぼしつげん）は 岡山県 新見市 にある 湿原 。 オグラセンノウ 、 ビッチュウフクロ 、 ミコシギク など300種を超える 植物 が自生する地域で、「 鯉ヶ窪湿性植物群落 」として 1980年 3月6日 に日本の 天然記念物 に指定されている。「西の 尾瀬沼 」とも形容される。","https://ja.wikipedia.org/wiki/鯉ヶ窪湿原","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"引き明けの森","[083引き明けの森広島県] 引き明けの森 （ひきあけのもり）は、 広島県 山県郡 安芸太田町 天上山 にある、 原生林 の茂る森。 日本の秘境100選 のひとつ。","https://ja.wikipedia.org/wiki/引き明けの森","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"厳島","[084宮島広島県] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯34度16分0秒東経132度18分0秒","日本（広島県廿日市市）","30.39km²","535.0m","弥山","","瀬戸内海安芸灘","28.9km","","","","","","","","","","","",""
"高千穂町","[085高千穂の里宮崎県] ","https://ja.wikipedia.org/wiki/高千穂町","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯32度42分42秒東経131度18分27.9秒","〒882-1192宮崎県西臼杵郡高千穂町大字三田井13番地北緯32度42分42秒東経131度18分27.9秒﻿ / ﻿北緯32.71167度 東経131.307750度﻿ /32.71167; 131.307750﻿ (高千穂町)座標:北緯32度42分42秒東経131度18分27.9秒﻿ / ﻿北緯32.71167度 東経131.307750度﻿ /32.71167; 131.307750﻿ (高千穂町)町役場位置","237.54km2","","","","","","","宮崎県","","48.4人/km2","日本","公式ウェブサイト","九州地方","西臼杵郡","45441-9","11,490人（推計人口、2021年6月1日）","西臼杵郡日之影町、五ヶ瀬町、東臼杵郡諸塚村熊本県：阿蘇郡高森町、上益城郡山都町大分県：竹田市、豊後大野市",""
"吐噶喇列島","[086吐噶喇列島鹿児島県] 吐噶喇列島 （ とかられっとう ） は、 南西諸島 のうち、 鹿児島県 側の 薩南諸島 に属する 島嶼 群。行政区域は全島が 鹿児島県 鹿児島郡 十島村 である。 天気予報 など、気象の地域区分としては南側にある 奄美群島 と共に 奄美地方 の一部（北部）として扱われる。","https://ja.wikipedia.org/wiki/吐噶喇列島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","101.35 km2(39.13 sq mi)","979 m (3,212 ft)","御岳（中之島）","","","","","鹿児島県","","6.75 /km2(17.48 /sq mi)","","","","鹿児島郡","","","",""
"吉野ヶ里遺跡","[087吉野ヶ里遺跡佐賀県] 吉野ヶ里遺跡 （ よしのがりいせき ） は、 佐賀県 神埼郡 吉野ヶ里町 と 神埼市 にまたがる吉野ヶ里丘陵にある遺跡。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/吉野ヶ里遺跡","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯33度19分25秒東経130度23分26.5秒","日本佐賀県吉野ヶ里町、神埼市","36ha（埋蔵文化財包蔵地）","","","","","","","","","","","","","","","","","遺跡"
"坊がつる","[088坊がつる大分県] 坊ガツル （ぼうガツル）は、 大分県 竹田市 にある標高約1,200  m の高さに広がる 盆地 ・ 湿原 。 九重連山 の主峰 久住山 と 大船山 等に囲まれており、 阿蘇くじゅう国立公園 に含まれる。 坊がつる 、 坊ヶつる 、 坊 ガ ツル 、 坊がツル 、 坊ヶツル などとも表記する。名称の「坊」とは寺院（久住山信仰の中核である法華院。現在の 法華院温泉 ）、「ツル」は「水流」で川のある平らな土地の意で、つまり法華院近辺の湿地帯といった意味の地名である。","https://ja.wikipedia.org/wiki/坊がつる","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"五島列島","[089五島列島/嵯峨ノ島長崎県] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯32度41分43.8秒 東経128度50分26.9秒 ﻿ / ﻿ 北緯32.695500度 東経128.840806度 ﻿ / 32.695500; 128.840806 ﻿ ( 福江島 )","https://ja.wikipedia.org/wiki/五島列島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"阿蘇山","[090阿蘇熊本県] 阿蘇山 （あそさん）は、 日本 の 九州 中央部、 熊本県 阿蘇地方に位置する 火山 。 カルデラ を伴う大型の 複成火山 であり、 活火山 である。","https://ja.wikipedia.org/wiki/阿蘇山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯32度53分3秒東経131度6分14秒","日本熊本県","","","高岳（1,592m）","北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389座標:北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389","","","","","","","","","","","","","","複成火山(活火山ランクA)"
"椎葉村","[091椎葉の里宮崎県] ","https://ja.wikipedia.org/wiki/椎葉村","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯32度28分2秒東経131度9分30秒","〒883-1601宮崎県東臼杵郡椎葉村大字下福良1762番地1北緯32度28分2秒東経131度9分30秒﻿ / ﻿北緯32.46722度 東経131.15833度﻿ /32.46722; 131.15833座標:北緯32度28分2秒東経131度9分30秒﻿ / ﻿北緯32.46722度 東経131.15833度﻿ /32.46722; 131.15833村庁舎位置","537.29km2","","","","","","","宮崎県","","4.58人/km2","日本","公式ウェブサイト","九州地方","東臼杵郡","45430-3","2,459人（推計人口、2021年6月1日）","西都市、東臼杵郡美郷町、諸塚村、西臼杵郡五ヶ瀬町、児湯郡西米良村熊本県：八代市、上益城郡山都町、球磨郡水上村",""
"屋久島","[092屋久島原生林鹿児島県] 屋久島 （やくしま）は、 鹿児島県 の 大隅半島 佐多岬 南南西約60 km の海上に位置する 島 。 熊毛郡 屋久島町 に属し、近隣の 種子島 や 口永良部島 などと共に 大隅諸島 を形成する。南方に位置する トカラ列島 や 奄美群島 などとともに 南西諸島 を構成する。","https://ja.wikipedia.org/wiki/屋久島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","日本鹿児島県熊毛郡屋久島町","504.88km²","1,936m","宮之浦岳","","東シナ海","","","","","","","","","","","","",""
"西表島","[093西表島沖縄県] 西表島 （いりおもてじま）は、 沖縄県 八重山郡 竹富町 に属する 八重山列島 の 島 である。同列島で最大の面積を持つ。人口は2,379人  （2021年3月末現在  ）である。","https://ja.wikipedia.org/wiki/西表島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯24度17分33秒東経123度51分43秒","日本（沖縄県八重山郡竹富町）","289.61km²","469.5m","古見岳","","東シナ海","130.0km","","","","","","","","","","","",""
"鷹島海底遺跡","[094鷹島海底遺跡長崎県] 鷹島神崎遺跡 （たかしまこうざきいせき）は、日本の 長崎県 松浦市 鷹島 東岸（神崎免   ）沖にある 水中遺跡  。2012年3月27日に、水中遺跡として初めて国の 史跡 に指定された   。広さは38万4000 平方メートル  。","https://ja.wikipedia.org/wiki/鷹島海底遺跡","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯33度25分37秒東経129度46分20秒","長崎県松浦市鷹島町","","","","","","","","","","","","","","","","","","水中遺跡"
"国東半島","[095国東半島/六郷満山大分県] 国東半島 （くにさきはんとう）は、 大分県 の北東部に位置する 半島 である。","https://ja.wikipedia.org/wiki/国東半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"五家荘","[096五家荘熊本県] 五家荘 、 五家庄 （ごかのしょう）は、 熊本県 八代市 （かつての 肥後国 八代郡 ）東部の 久連子 （くれこ）・ 椎原 （しいばる）・ 仁田尾 ・ 葉木 ・ 樅木  の5地域の総称。","https://ja.wikipedia.org/wiki/五家荘","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"西都市","[097銀鏡宮崎県] ","https://ja.wikipedia.org/wiki/西都市","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯32度6分30.7秒東経131度24分4.9秒","〒881-0015宮崎県西都市聖陵町二丁目1番地北緯32度6分30.7秒東経131度24分4.9秒﻿ / ﻿北緯32.108528度 東経131.401361度﻿ /32.108528; 131.401361﻿ (西都市)座標:北緯32度6分30.7秒東経131度24分4.9秒﻿ / ﻿北緯32.108528度 東経131.401361度﻿ /32.108528; 131.401361﻿ (西都市)","438.79km2","","","","","","","宮崎県","","64.3人/km2","日本","公式ウェブサイト","九州地方","","45208-4","28,220人（推計人口、2021年6月1日）","宮崎市、児湯郡高鍋町、木城町、新富町、西米良村、東臼杵郡美郷町、椎葉村、東諸県郡国富町",""
