"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"動物公園駅","動物公園駅（どうぶつこうえんえき）","https://ja.wikipedia.org/wiki/動物公園駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度38分33.2秒東経140度7分32秒","■2号線","5.2 km（千葉起点）","千葉都市モノレール","千葉市若葉区源町407-7北緯35度38分33.2秒東経140度7分32秒座標:北緯35度38分33.2秒 東経140度7分32秒","高架駅","1988年（昭和63年）3月28日[1]","島式、2面3線","無人駅","","CM09","","710人/日（降車客含まず）-2018年-","","","","","","",""
"東武動物公園駅","東武動物公園駅（とうぶどうぶつこうえんえき）","https://ja.wikipedia.org/wiki/東武動物公園駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度1分29.54秒東経139度43分36.43秒","■伊勢崎線（当駅より姫宮側は■東武スカイツリーライン）","41.0 km（浅草起点）","東武鉄道","埼玉県南埼玉郡宮代町百間二丁目3-24北緯36度1分29.54秒東経139度43分36.43秒﻿ / ﻿北緯36.0248722度 東経139.7267861度﻿ /36.0248722; 139.7267861﻿ (東武動物公園駅*)座標:北緯36度1分29.54秒東経139度43分36.43秒﻿ / ﻿北緯36.0248722度 東経139.7267861度﻿ /36.0248722; 139.7267861﻿ (東武動物公園駅*)","地上駅（橋上駅舎）","1899年（明治32年）8月27日","2面4線","*1981年3月15日までは杉戸駅","トブコ","TS30","31,354人/日-2019年-","","","","","","","",""
"東武日光駅","東武日光駅（とうぶにっこうえき）","https://ja.wikipedia.org/wiki/東武日光駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度44分52.5秒東経139度37分10.2秒","■日光線","94.5 km（東武動物公園起点）","東武鉄道","栃木県日光市松原町4-3北緯36度44分52.5秒東経139度37分10.2秒﻿ / ﻿北緯36.747917度 東経139.619500度﻿ /36.747917; 139.619500座標:北緯36度44分52.5秒東経139度37分10.2秒﻿ / ﻿北緯36.747917度 東経139.619500度﻿ /36.747917; 139.619500","地上駅","1929年（昭和4年）10月1日","3面5線","駅務管区所在駅標高543m","トニコ","TN25","3,104人/日-2019年-","","","","","","","",""
"東武練馬駅","東武練馬駅（とうぶねりまえき）","https://ja.wikipedia.org/wiki/東武練馬駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度46分7.1秒東経139度39分43.2秒","■東上本線","7.4 km（池袋起点）","東武鉄道","東京都板橋区徳丸二丁目2-14北緯35度46分7.1秒東経139度39分43.2秒﻿ / ﻿北緯35.768639度 東経139.662000度﻿ /35.768639; 139.662000﻿ (東武練馬駅)座標:北緯35度46分7.1秒東経139度39分43.2秒﻿ / ﻿北緯35.768639度 東経139.662000度﻿ /35.768639; 139.662000﻿ (東武練馬駅)","地上駅","1931年（昭和6年）12月29日","2面2線","業務委託駅","ネリ","TJ08","60,574人/日-2019年-","","","","","","","",""
"東武ワールドスクウェア駅","東武ワールドスクウェア駅（とうぶワールドスクウェアえき）","https://ja.wikipedia.org/wiki/東武ワールドスクウェア駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度48分30秒東経139度42分32.7秒","■鬼怒川線","10.6 km（下今市起点）","東武鉄道","栃木県日光市鬼怒川温泉大原334-10[1]北緯36度48分30秒東経139度42分32.7秒﻿ / ﻿北緯36.80833度 東経139.709083度﻿ /36.80833; 139.709083﻿ (東武ワールドスクウェア駅)座標:北緯36度48分30秒東経139度42分32.7秒﻿ / ﻿北緯36.80833度 東経139.709083度﻿ /36.80833; 139.709083﻿ (東武ワールドスクウェア駅)","地上駅","2017年（平成29年）7月22日[2]","1面1線[1]","","スク","TN55","298人/日-2019年-","","","","","","","",""
"道法寺駅","道法寺駅（どうほうじえき）","https://ja.wikipedia.org/wiki/道法寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度29分3.53秒東経136度36分48.33秒","■石川線","9.9 km（野町起点）","北陸鉄道","石川県白山市道法寺町ホ70-2北緯36度29分3.53秒東経136度36分48.33秒﻿ / ﻿北緯36.4843139度 東経136.6134250度﻿ /36.4843139; 136.6134250座標:北緯36度29分3.53秒東経136度36分48.33秒﻿ / ﻿北緯36.4843139度 東経136.6134250度﻿ /36.4843139; 136.6134250","地上駅","1915年（大正4年）6月22日","島式 1面2線","","","○I13","330人/日-2018年-","","","","","","","",""
"東北福祉大前駅","東北福祉大前駅（とうほくふくしだいまええき）","https://ja.wikipedia.org/wiki/東北福祉大前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯38度16分49.42秒東経140度50分34.32秒","■仙山線","7.5 km（仙台起点）","東日本旅客鉄道（JR東日本）","仙台市青葉区国見一丁目222番地5[注釈 1]北緯38度16分49.42秒東経140度50分34.32秒座標:北緯38度16分49.42秒 東経140度50分34.32秒","地上駅、高架駅","2007年（平成19年）3月18日[2]","1面1線[1]","業務委託駅みどりの窓口有仙台市内駅","トフ","","","3,579人/日（降車客含まず）-2019年-","","","","","","",""
"当麻駅","当麻駅（とうまえき）","https://ja.wikipedia.org/wiki/当麻駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度49分32秒東経142度31分1.2秒","■石北本線","13.9 km（新旭川起点）","北海道旅客鉄道（JR北海道）","北海道上川郡当麻町4条東3丁目北緯43度49分32秒東経142度31分1.2秒","地上駅","1922年（大正11年）11月4日","2面2線","無人駅","トウ","○A35","272人/日-2014年-","","","","","","","",""
"道明寺駅","道明寺駅（どうみょうじえき）","https://ja.wikipedia.org/wiki/道明寺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度34分4.5秒東経135度37分12.3秒","F南大阪線","16.3 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","大阪府藤井寺市道明寺三丁目1-55北緯34度34分4.5秒東経135度37分12.3秒﻿ / ﻿北緯34.567917度 東経135.620083度﻿ /34.567917; 135.620083座標:北緯34度34分4.5秒東経135度37分12.3秒﻿ / ﻿北緯34.567917度 東経135.620083度﻿ /34.567917; 135.620083","地上駅","1898年（明治31年）3月24日","2面3線","","トウ"," F15 ","（特定日）6,643人/日-2018年-","","","","","","","",""
"洞爺駅","洞爺駅（とうやえき）","https://ja.wikipedia.org/wiki/洞爺駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯42度33分2.83秒東経140度45分49.36秒","■室蘭本線","41.5 km（長万部起点）","北海道旅客鉄道（JR北海道）","北海道虻田郡洞爺湖町旭町19-1北緯42度33分2.83秒東経140度45分49.36秒﻿ / ﻿北緯42.5507861度 東経140.7637111度﻿ /42.5507861; 140.7637111﻿ (洞爺駅*)","地上駅","1928年（昭和3年）9月10日","2面3線","直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1]*1962年（昭和37年）11月1日虻田駅より改称","アフ（改称前：虻田駅）トオ（改称後：洞爺駅）","○H41","582人/日-2018年-","","","","","","","",""
"東葉勝田台駅","東葉勝田台駅（とうようかつただいえき）","https://ja.wikipedia.org/wiki/東葉勝田台駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度42分57秒東経140度7分34.4秒","■東葉高速線","16.2 km（西船橋起点）","東葉高速鉄道","千葉県八千代市勝田台北三丁目2-5北緯35度42分57秒東経140度7分34.4秒﻿ / ﻿北緯35.71583度 東経140.126222度﻿ /35.71583; 140.126222座標:北緯35度42分57秒東経140度7分34.4秒﻿ / ﻿北緯35.71583度 東経140.126222度﻿ /35.71583; 140.126222","地下駅","1996年（平成8年）4月27日[2]","1面2線","","","TR09","31,927[1]人/日-2018年-","16,208人/日（降車客含まず）-2018年-","KS31勝田台駅（京成本線）","","","","","",""
"東陽町駅","東陽町駅（とうようちょうえき）","https://ja.wikipedia.org/wiki/東陽町駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度40分10.5秒東経139度49分3秒","●[1]東西線","15.8 km（中野起点）","東京地下鉄（東京メトロ）","東京都江東区東陽四丁目2-1北緯35度40分10.5秒東経139度49分3秒﻿ / ﻿北緯35.669583度 東経139.81750度﻿ /35.669583; 139.81750﻿ (東陽町駅)座標:北緯35度40分10.5秒東経139度49分3秒﻿ / ﻿北緯35.669583度 東経139.81750度﻿ /35.669583; 139.81750﻿ (東陽町駅)","地下駅","1967年（昭和42年）9月14日","2面2線","","トヨ","T14[1]","122,629人/日-2019年-","","","","","","","",""
"塘路駅","塘路駅（とうろえき）","https://ja.wikipedia.org/wiki/塘路駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度9分6.19秒東経144度29分48.52秒","■釧網本線","141.9 km（網走起点）","北海道旅客鉄道（JR北海道）","北海道川上郡標茶町字塘路4番地11北緯43度9分6.19秒東経144度29分48.52秒","地上駅","1927年（昭和2年）9月15日","2面2線","無人駅","トロ","○B58","","","","","","","","",""
"十日市場駅 (神奈川県)","十日市場駅 (神奈川県)（とおかいちばえき・東日本旅客鉄道横浜線）","https://ja.wikipedia.org/wiki/十日市場駅_(神奈川県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度31分34.5秒東経139度31分0秒","■横浜線","15.9 km（東神奈川起点）","東日本旅客鉄道（JR東日本）","横浜市緑区十日市場町北緯35度31分34.5秒東経139度31分0秒﻿ / ﻿北緯35.526250度 東経139.51667度﻿ /35.526250; 139.51667座標:北緯35度31分34.5秒東経139度31分0秒﻿ / ﻿北緯35.526250度 東経139.51667度﻿ /35.526250; 139.51667","地上駅（橋上駅）","1979年（昭和54年）4月1日","1面2線","業務委託駅横浜市内駅","トイ","JH20","","20,598人/日（降車客含まず）-2019年-","","","","","","",""
"十日市場駅 (山梨県)","十日市場駅 (山梨県)（とおかいちばえき・富士急行大月線）","https://ja.wikipedia.org/wiki/十日市場駅_(山梨県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度32分20.14秒東経138度53分15.01秒","■大月線","11.5 km（大月起点）","富士急行","山梨県都留市十日市場769-3北緯35度32分20.14秒東経138度53分15.01秒﻿ / ﻿北緯35.5389278度 東経138.8875028度﻿ /35.5389278; 138.8875028座標:北緯35度32分20.14秒東経138度53分15.01秒﻿ / ﻿北緯35.5389278度 東経138.8875028度﻿ /35.5389278; 138.8875028","地上駅","1929年（昭和4年）6月19日","1面1線","標高：520m無人駅","","FJ09","123人/日-2013年-","","","","","","","",""
"十日町駅","十日町駅（とおかまちえき）","https://ja.wikipedia.org/wiki/十日町駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）北越急行（駅詳細）","新潟県十日町市丑[1]","","","","","","","","","","","","","","",""
"十川駅 (高知県)","十川駅 (高知県)（とおかわえき・四国旅客鉄道予土線）","https://ja.wikipedia.org/wiki/十川駅_(高知県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度14分5.30秒東経132度51分20.65秒","■予土線","31.0 km（若井起点）","四国旅客鉄道（JR四国）","高知県高岡郡四万十町十川86北緯33度14分5.30秒東経132度51分20.65秒﻿ / ﻿北緯33.2348056度 東経132.8557361度﻿ /33.2348056; 132.8557361座標:北緯33度14分5.30秒東経132度51分20.65秒﻿ / ﻿北緯33.2348056度 東経132.8557361度﻿ /33.2348056; 132.8557361","地上駅","1974年（昭和49年）3月1日","1面1線","無人駅","トカ","○G32","20人/日-2018年-","","","","","","","",""
"十島駅","十島駅（とおしまえき）","https://ja.wikipedia.org/wiki/十島駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度13分48.71秒東経138度30分56.58秒","CC身延線","26.3 km（富士起点）","東海旅客鉄道（JR東海）","山梨県南巨摩郡南部町十島北緯35度13分48.71秒東経138度30分56.58秒﻿ / ﻿北緯35.2301972度 東経138.5157167度﻿ /35.2301972; 138.5157167座標:北緯35度13分48.71秒東経138度30分56.58秒﻿ / ﻿北緯35.2301972度 東経138.5157167度﻿ /35.2301972; 138.5157167","地上駅","1918年（大正7年）8月10日[1]","1面2線","無人駅","トウ←トヲ","","","32人/日（降車客含まず）-2018年-","","","","","","",""
"遠江一宮駅","遠江一宮駅（とおとうみいちのみやえき）","https://ja.wikipedia.org/wiki/遠江一宮駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度49分5秒東経137度53分19.8秒","天竜浜名湖線*","16.4 km（掛川起点）","天竜浜名湖鉄道","静岡県周智郡森町一宮2431-2北緯34度49分5秒東経137度53分19.8秒﻿ / ﻿北緯34.81806度 東経137.888833度﻿ /34.81806; 137.888833座標:北緯34度49分5秒東経137度53分19.8秒﻿ / ﻿北緯34.81806度 東経137.888833度﻿ /34.81806; 137.888833","地上駅","1940年（昭和15年）6月1日","2面2線","*1987年まで国鉄二俣線。","イミ","","","69人/日（降車客含まず）-2018年-","","","","","","",""
"遠野駅","遠野駅（とおのえき）","https://ja.wikipedia.org/wiki/遠野駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯39度19分56.64秒東経141度31分51.79秒","■釜石線","46.0 km（花巻起点）","東日本旅客鉄道（JR東日本）","岩手県遠野市新穀町5-7北緯39度19分56.64秒東経141度31分51.79秒座標:北緯39度19分56.64秒 東経141度31分51.79秒","地上駅","1914年（大正3年）4月18日[1]","2面3線","業務委託駅みどりの窓口有","トノ","","","314人/日（降車客含まず）-2019年-","","","","","","",""
"十弗駅","十弗駅（とおふつえき）","https://ja.wikipedia.org/wiki/十弗駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯42度51分20.66秒東経143度30分2.91秒","■根室本線","212.8 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道中川郡豊頃町十弗宝町北緯42度51分20.66秒東経143度30分2.91秒﻿ / ﻿北緯42.8557389度 東経143.5008083度﻿ /42.8557389; 143.5008083﻿ (十弗駅)","地上駅","1911年（明治44年）12月15日","1面1線","無人駅","トフ","○K37","4人/日-2014年-","","","","","","","",""
"ドーム前千代崎駅","ドーム前駅（ドームまええき）","https://ja.wikipedia.org/wiki/ドーム前千代崎駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","大阪市高速電気軌道（Osaka Metro駅詳細）阪神電気鉄道（駅詳細）","大阪市西区","","","","","","","","","","","","","","",""
"ドーム前千代崎駅","ドーム前千代崎駅（ドームまえちよざきえき）","https://ja.wikipedia.org/wiki/ドーム前千代崎駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","大阪市高速電気軌道（Osaka Metro駅詳細）阪神電気鉄道（駅詳細）","大阪市西区","","","","","","","","","","","","","","",""
"遠矢駅","遠矢駅（とおやえき）","https://ja.wikipedia.org/wiki/遠矢駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度2分52.39秒東経144度27分30.19秒","■釧網本線","158.8 km（網走起点）","北海道旅客鉄道（JR北海道）","北海道釧路郡釧路町遠矢2丁目23-1北緯43度2分52.39秒東経144度27分30.19秒","地上駅","1927年（昭和2年）9月15日","1面1線","無人駅","トヤ","○B55","40人/日-2014年-","","","","","","","",""
"通谷駅","通谷駅（とおりたにえき）","https://ja.wikipedia.org/wiki/通谷駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度49分22.44秒東経130度43分36.14秒","筑豊電気鉄道線","6.7 km（黒崎駅前起点）","筑豊電気鉄道","福岡県中間市太賀一丁目380北緯33度49分22.44秒東経130度43分36.14秒","地上駅","1964年（昭和39年）12月27日","2面2線","無人駅","","CK 11","1,677人/日-2019年-","","","","","","","",""
"通町筋停留場","通町筋停留場（とおりちょうすじていりゅうじょう）","https://ja.wikipedia.org/wiki/通町筋停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯32度48分11.90秒東経130度42分35.05秒","幹線（■A系統・■B系統）","3.0km（熊本駅前起点）田崎橋から3.5 km","熊本市交通局","熊本市中央区手取本町4北緯32度48分11.90秒東経130度42分35.05秒﻿ / ﻿北緯32.8033056度 東経130.7097361度﻿ /32.8033056; 130.7097361座標:北緯32度48分11.90秒東経130度42分35.05秒﻿ / ﻿北緯32.8033056度 東経130.7097361度﻿ /32.8033056; 130.7097361","地上駅","1924年（大正13年）8月1日","2面2線","","","□11","7,755人/日-2015年度-","3,850人/日（降車客含まず）-2015年度-","","","","","","",""
"戸頭駅","戸頭駅（とがしらえき）","https://ja.wikipedia.org/wiki/戸頭駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度55分45.57秒東経140度0分50.73秒","常総線","6.3 km（取手起点）","関東鉄道","茨城県取手市戸頭五丁目3-1北緯35度55分45.57秒東経140度0分50.73秒﻿ / ﻿北緯35.9293250度 東経140.0140917度﻿ /35.9293250; 140.0140917﻿ (戸頭駅)座標:北緯35度55分45.57秒東経140度0分50.73秒﻿ / ﻿北緯35.9293250度 東経140.0140917度﻿ /35.9293250; 140.0140917﻿ (戸頭駅)","地上駅","1975年(昭和50年)3月26日[2]","2面2線","","","","4,249[1]人/日-2019年-","","","","","","","",""
"十勝清水駅","十勝清水駅（とかちしみずえき）","https://ja.wikipedia.org/wiki/十勝清水駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯43度0分49.67秒東経142度52分47.24秒","■根室本線","145.4 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道上川郡清水町本通1丁目北緯43度0分49.67秒東経142度52分47.24秒﻿ / ﻿北緯43.0137972度 東経142.8797889度﻿ /43.0137972; 142.8797889﻿ (十勝清水駅)","地上駅","1907年（明治40年）9月8日","1面2線","業務委託駅みどりの窓口有","ミス","○K24","570人/日-2018年-","","","","","","","",""
"斗賀野駅","斗賀野駅（とがのえき）","https://ja.wikipedia.org/wiki/斗賀野駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度28分31.96秒東経133度17分11.04秒","■土讃線","158.0 km（多度津起点）","四国旅客鉄道（JR四国）","高知県高岡郡佐川町東組北緯33度28分31.96秒東経133度17分11.04秒","地上駅","1924年（大正13年）3月30日","2面2線","無人駅","トノ","○K15","278[1]人/日-2019年-","","","","","","","",""
"栂・美木多駅","栂・美木多駅（とが・みきたえき）","https://ja.wikipedia.org/wiki/栂・美木多駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度29分5.7秒東経135度29分24.2秒","■泉北高速鉄道線","10.2 km（中百舌鳥起点）難波から23.6 km","泉北高速鉄道","堺市南区桃山台二丁1番1号北緯34度29分5.7秒東経135度29分24.2秒﻿ / ﻿北緯34.484917度 東経135.490056度﻿ /34.484917; 135.490056座標:北緯34度29分5.7秒東経135度29分24.2秒﻿ / ﻿北緯34.484917度 東経135.490056度﻿ /34.484917; 135.490056","橋上駅","1973年（昭和48年）12月7日","島式 1面2線","","トカ゛","SB 04","","","","19,582人/日","","","","",""
"戸狩野沢温泉駅","戸狩野沢温泉駅（とがりのざわおんせんえき）","https://ja.wikipedia.org/wiki/戸狩野沢温泉駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度55分0.74秒東経138度23分36.18秒","■飯山線","27.5 km（豊野起点）","東日本旅客鉄道（JR東日本）","長野県飯山市大字照里[1]北緯36度55分0.74秒東経138度23分36.18秒﻿ / ﻿北緯36.9168722度 東経138.3933833度﻿ /36.9168722; 138.3933833﻿ (戸狩野沢温泉駅*)座標:北緯36度55分0.74秒東経138度23分36.18秒﻿ / ﻿北緯36.9168722度 東経138.3933833度﻿ /36.9168722; 138.3933833﻿ (戸狩野沢温泉駅*)","地上駅","1923年（大正12年）7月6日[1]","1面2線[1]","直営駅みどりの窓口有[1]標高：313.5m[2]","トリ[2]","","","141人/日（降車客含まず）-2019年-","","","","","","",""
"外川駅","外川駅（とかわえき）","https://ja.wikipedia.org/wiki/外川駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度41分57.3秒東経140度51分25.3秒","■銚子電気鉄道線","6.4 km（銚子起点）","銚子電気鉄道","千葉県銚子市外川町二丁目10636北緯35度41分57.3秒東経140度51分25.3秒座標:北緯35度41分57.3秒 東経140度51分25.3秒","地上駅","1923年（大正12年）7月5日","1面1線","駅員配置駅","","CD10","","140人/日（降車客含まず）-2018年-","","","","","","",""
"十川駅 (青森県)","十川駅 (青森県)（とがわえき・津軽鉄道線）","https://ja.wikipedia.org/wiki/十川駅_(青森県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯40度49分2.99秒東経140度27分24.02秒","津軽鉄道線","1.3 km（津軽五所川原起点）","津軽鉄道","青森県五所川原市大字漆川字鍋懸85-3北緯40度49分2.99秒東経140度27分24.02秒﻿ / ﻿北緯40.8174972度 東経140.4566722度﻿ /40.8174972; 140.4566722座標:北緯40度49分2.99秒東経140度27分24.02秒﻿ / ﻿北緯40.8174972度 東経140.4566722度﻿ /40.8174972; 140.4566722","地上駅","1961年（昭和36年）4月25日","1面1線","","","","10人/日-2019年-","","","","","","","",""
"土岐市駅","土岐市駅（ときしえき）","https://ja.wikipedia.org/wiki/土岐市駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度21分35.517秒東経137度10分57.547秒","CF中央本線（名古屋地区）","353.7km（東京起点）名古屋から43.2 km","東海旅客鉄道（JR東海）","岐阜県土岐市泉町久尻[1]572-3[2]北緯35度21分35.517秒東経137度10分57.547秒","地上駅","1902年（明治35年）12月21日[1]","2面3線[1]","駅員配置駅JR全線きっぷうりば有[1]*1965年に土岐津駅から改称[1]。","トシトツ（改称前）","CF  13 ","","5,034人/日（降車客含まず）-2019年-","","","","","","",""
"外城田駅","外城田駅（ときだえき）","https://ja.wikipedia.org/wiki/外城田駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度29分51.51秒東経136度35分49.18秒","参宮線","3.3 km（多気起点）","東海旅客鉄道（JR東海）","三重県多気郡多気町土羽2235北緯34度29分51.51秒東経136度35分49.18秒﻿ / ﻿北緯34.4976417度 東経136.5969944度﻿ /34.4976417; 136.5969944座標:北緯34度29分51.51秒東経136度35分49.18秒﻿ / ﻿北緯34.4976417度 東経136.5969944度﻿ /34.4976417; 136.5969944","地上駅","1963年（昭和38年）4月1日[1]","1面1線","駅員無配置駅","トキ","","","109人/日（降車客含まず）-2019年-","","","","","","",""
"時庭駅","時庭駅（ときにわえき）","https://ja.wikipedia.org/wiki/時庭駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯38度4分36.7秒東経140度1分47.7秒","フラワー長井線","14.9 km（赤湯起点）","山形鉄道","山形県長井市時庭北緯38度4分36.7秒東経140度1分47.7秒座標:北緯38度4分36.7秒 東経140度1分47.7秒","地上駅","1914年（大正3年）11月15日","1面1線","無人駅","トニ","","","12人/日（降車客含まず）-2017年-","","","","","","",""
"時又駅","時又駅（ときまたえき）","https://ja.wikipedia.org/wiki/時又駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度27分50.09秒東経137度49分40.11秒","CD飯田線","119.3 km（豊橋起点）","東海旅客鉄道（JR東海）","長野県飯田市時又[1]935北緯35度27分50.09秒東経137度49分40.11秒﻿ / ﻿北緯35.4639139度 東経137.8278083度﻿ /35.4639139; 137.8278083座標:北緯35度27分50.09秒東経137度49分40.11秒﻿ / ﻿北緯35.4639139度 東経137.8278083度﻿ /35.4639139; 137.8278083","地上駅","1927年（昭和2年）12月26日[1]","2面2線[1]","駅員無配置駅[1]標高：383m[1]","キマ[1]","","","96人/日（降車客含まず）-2018年-","","","","","","",""
"常盤駅 (山口県)","常盤駅 (山口県)（ときわえき・西日本旅客鉄道宇部線）","https://ja.wikipedia.org/wiki/常盤駅_(山口県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度56分26.91秒東経131度17分31.74秒","■宇部線","20.7 km（新山口起点）","西日本旅客鉄道（JR西日本）","山口県宇部市大字西岐波字大沢1393北緯33度56分26.91秒東経131度17分31.74秒﻿ / ﻿北緯33.9408083度 東経131.2921500度﻿ /33.9408083; 131.2921500座標:北緯33度56分26.91秒東経131度17分31.74秒﻿ / ﻿北緯33.9408083度 東経131.2921500度﻿ /33.9408083; 131.2921500","地上駅","1925年（大正14年）6月1日","1面1線","無人駅（簡易委託駅）","トキ","","","126人/日（降車客含まず）-2019年-","","","","","","",""
"常盤駅 (京都府)","常盤駅 (京都府)（ときわえき・京福電気鉄道北野線）","https://ja.wikipedia.org/wiki/常盤駅_(京都府)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度1分14.26秒東経135度42分17.46秒","■北野線","2.9 km（北野白梅町起点）","京福電気鉄道","京都市右京区常盤馬塚町北緯35度1分14.26秒東経135度42分17.46秒﻿ / ﻿北緯35.0206278度 東経135.7048500度﻿ /35.0206278; 135.7048500座標:北緯35度1分14.26秒東経135度42分17.46秒﻿ / ﻿北緯35.0206278度 東経135.7048500度﻿ /35.0206278; 135.7048500","地上駅","1926年（大正15年）3月10日","相対式2面2線","","","●B2","1,530人/日-2019年-","","","","","","","",""
