"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"国師岳","61こくしがたけ国師ガ岳国師岳2,591.8地理院地図Googleマップ北緯35度52分15秒東経138度40分23秒﻿ / ﻿北緯35.870835度 東経138.672964度﻿ /35.870835; 138.672964﻿ (国師ガ岳)日本三百名山花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt.Kokushidake_from_Mt.Tokusa_01.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大菩薩連嶺","62くろだけ黒岳小金沢山1,987.5地理院地図Googleマップ北緯35度41分19秒東経138度51分35秒﻿ / ﻿北緯35.688518度 東経138.859792度﻿ /35.688518; 138.859792﻿ (黒岳)大菩薩連峰","https://ja.wikipedia.org/wiki/ファイル:Mt._Kurodake_(Daibosatsu).JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"毛無山 (山梨県・静岡県)","63けなしやま毛無山毛無山1,945.5地理院地図Googleマップ北緯35度24分50秒東経138度32分18秒﻿ / ﻿北緯35.413965度 東経138.538275度﻿ /35.413965; 138.538275﻿ (毛無山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Mount_Kenashi_from_view_Shizuoka.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天城山","64ばんざぶろう万三郎岳万城岳1,405.3地理院地図Googleマップ北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.862844度 東経139.001803度﻿ /34.862844; 139.001803﻿ (万三郎岳)日本百名山新日本百名山花の百名山天城山","https://ja.wikipedia.org/wiki/ファイル:Mt.-Omuro-and-Mt.-Amagi.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"赤石岳","65あかいしだけ赤石岳赤石岳3,120.1地理院地図Googleマップ北緯35度27分40秒東経138度09分26秒﻿ / ﻿北緯35.461207度 東経138.157358度﻿ /35.461207; 138.157358﻿ (赤石岳)日本百名山新日本百名山一等三角点最高峰","https://ja.wikipedia.org/wiki/ファイル:Akaishidake_from_senmaidake_07_1994_7_31.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大無間山","66だいむげんざん大無間山大無間山2,329.3地理院地図Googleマップ北緯35度15分22秒東経138度09分42秒﻿ / ﻿北緯35.255979度 東経138.161548度﻿ /35.255979; 138.161548﻿ (大無間山)日本二百名山奥大井県立自然公園","https://ja.wikipedia.org/wiki/ファイル:Mount_Daimugen_from_Mount_Hijiri_(zoom).JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒法師岳","67くろぼうしがたけ黒法師岳黒法師岳2,067.4地理院地図Googleマップ北緯35度11分46秒東経138度01分46秒﻿ / ﻿北緯35.196168度 東経138.029391度﻿ /35.196168; 138.029391﻿ (黒法師岳)日本三百名山変種の一等三角点","https://ja.wikipedia.org/wiki/ファイル:Mountains_from_Shizuoka_Airport.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"摺古木山","68すりこぎやま摺古木山摺小木山2,168.5地理院地図Googleマップ北緯35度36分46秒東経137度44分15秒﻿ / ﻿北緯35.612898度 東経137.737593度﻿ /35.612898; 137.737593﻿ (摺古木山)","https://ja.wikipedia.org/wiki/ファイル:Surikogiyama_from_Nagisodake_2001-12-9.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"恵那山","69えなさん恵那山恵那山2,189.8地理院地図Googleマップ北緯35度26分25秒東経137度36分02秒﻿ / ﻿北緯35.440374度 東経137.600493度﻿ /35.440374; 137.600493﻿ (恵那山)日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Enasan_from_north_2010-9-17.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大台ヶ原山","70おおだいがはらざん大台ガ原山大台ケ原山1,695.1地理院地図Googleマップ北緯34度11分07秒東経136度06分33秒﻿ / ﻿北緯34.185227度 東経136.109199度﻿ /34.185227; 136.109199﻿ (大台ガ原山)日本百名山新日本百名山花の百名山新・花の百名山日出ヶ岳","https://ja.wikipedia.org/wiki/ファイル:Mount_Odaigahara_from_Mount_Tengura.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"高峰山 (三重県)","71たかみねやま高峰山高小屋山1,045.0地理院地図Googleマップ北緯34度01分55秒東経136度08分50秒﻿ / ﻿北緯34.032003度 東経136.147211度﻿ /34.032003; 136.147211﻿ (高峰山)","https://ja.wikipedia.org/wiki/ファイル:Owase,_Mie.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"伊吹山","72いぶきやま伊吹山伊吹山1,377.3地理院地図Googleマップ北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.417836度 東経136.406346度﻿ /35.417836; 136.406346﻿ (伊吹山)日本百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mount_Ibuki_and_N700_Series_Shinkansen.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"金剛山 (金剛山地)","73こんごうざん金剛山金剛山1,111.9地理院地図Googleマップ北緯34度25分01秒東経135度40分38秒﻿ / ﻿北緯34.416995度 東経135.677316度﻿ /34.416995; 135.677316﻿ (金剛山)日本二百名山湧出岳","https://ja.wikipedia.org/wiki/ファイル:Mount_Kongo(Kongosanchi)7.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大峰山","74さんじょうがだけ山上ガ岳大峰山上1,719.3地理院地図Googleマップ北緯34度15分09秒東経135度56分28秒﻿ / ﻿北緯34.252390度 東経135.941058度﻿ /34.252390; 135.941058﻿ (山上ガ岳)日本三百名山大峯山寺","https://ja.wikipedia.org/wiki/ファイル:Mount_Sanjo_in_the_rainy_season.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"釈迦ヶ岳 (奈良県)","75しゃかだたけ釈迦ガ岳釈迦ケ岳1,799.6地理院地図Googleマップ北緯34度06分52秒東経135度54分11秒﻿ / ﻿北緯34.114308度 東経135.903125度﻿ /34.114308; 135.903125﻿ (釈迦ガ岳)日本二百名山新日本百名山大峰山脈","https://ja.wikipedia.org/wiki/ファイル:Narasyakagadake.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"冷水山 (奈良県) (存在しないページ)","76画 像 募 集 中ひやみずやま冷水山果無山1,262.3地理院地図Googleマップ北緯33度53分57秒東経135度39分10秒﻿ / ﻿北緯33.899102度 東経135.652818度﻿ /33.899102; 135.652818﻿ (冷水山)新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"氷ノ山","77ひょうのせん氷ノ山氷ノ山1,509.6地理院地図Googleマップ北緯35度21分14秒東経134度30分50秒﻿ / ﻿北緯35.353959度 東経134.513842度﻿ /35.353959; 134.513842﻿ (氷ノ山)日本二百名山新日本百名山新・花の百名山須賀ノ山","https://ja.wikipedia.org/wiki/ファイル:Hyonosen01s1600.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"矢筈ヶ山","78画 像 募 集 中やはずがせん矢筈ガ山二子山1,358.4地理院地図Googleマップ北緯35度23分12秒東経133度34分51秒﻿ / ﻿北緯35.386725度 東経133.580902度﻿ /35.386725; 133.580902﻿ (矢筈ガ山)","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"道後山","79どうごやま道後山道後山1,268.4地理院地図Googleマップ北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.069958度 東経133.235742度﻿ /35.069958; 133.235742﻿ (道後山)日本三百名山新・花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt.Dogo.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三瓶山","80さんべさん三瓶山三瓶山1,125.9地理院地図Googleマップ北緯35度08分26秒東経132度37分18秒﻿ / ﻿北緯35.140558度 東経132.621536度﻿ /35.140558; 132.621536﻿ (三瓶山)日本二百名山新日本百名山男三瓶山","https://ja.wikipedia.org/wiki/ファイル:Mt._Sanbe_and_Ukinuno_pond.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"冠山 (廿日市市)","81かんむりやま冠山冠山1,339.0地理院地図Googleマップ北緯34度28分07秒東経132度04分34秒﻿ / ﻿北緯34.468731度 東経132.076098度﻿ /34.468731; 132.076098﻿ (冠山)","https://ja.wikipedia.org/wiki/ファイル:Mt.Kanmuriyama.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"十種ヶ峰","82画 像 募 集 中とくさがみね十種ガ峰徳佐ケ峰988.8地理院地図Googleマップ北緯34度26分18秒東経131度41分43秒﻿ / ﻿北緯34.438334度 東経131.695282度﻿ /34.438334; 131.695282﻿ (十種ガ峰)","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"剣山","83つるぎさん剣山剣山1,954.7地理院地図Googleマップ北緯33度51分13秒東経134度05分39秒﻿ / ﻿北緯33.853576度 東経134.094281度﻿ /33.853576; 134.094281﻿ (剣山)日本百名山新日本百名山花の百名山平家の馬場","https://ja.wikipedia.org/wiki/ファイル:Mt.Tsurugisan.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"笹ヶ峰","84ささがみね笹ガ峰笹ケ峰1,859.5地理院地図Googleマップ北緯33度49分41秒東経133度16分29秒﻿ / ﻿北緯33.828111度 東経133.274591度﻿ /33.828111; 133.274591﻿ (笹ガ峰)日本二百名山イブキザサとコメツツジ","https://ja.wikipedia.org/wiki/ファイル:Mt.Sasagamine2.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"二ノ森","85にのもり二ノ森面河山1,929.2地理院地図Googleマップ北緯33度45分31秒東経133度05分38秒﻿ / ﻿北緯33.758541度 東経133.093777度﻿ /33.758541; 133.093777﻿ (二ノ森)石鎚山系亜高山帯、シラビソ南限","https://ja.wikipedia.org/wiki/ファイル:Mt.Ninomori.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"奥工石山","86画 像 募 集 中くいしやま工石山仁尾ケ内山1,515.9地理院地図Googleマップ北緯33度51分20秒東経133度34分48秒﻿ / ﻿北緯33.855616度 東経133.579965度﻿ /33.855616; 133.579965﻿ (工石山)奥工石山","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"不入山","87いらずやま不入山不入山1,336.1地理院地図Googleマップ北緯33度26分27秒東経133度03分47秒﻿ / ﻿北緯33.440779度 東経133.063174度﻿ /33.440779; 133.063174﻿ (不入山)","https://ja.wikipedia.org/wiki/ファイル:Mt.Irazuyama.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"英彦山","88画 像 募 集 中ひこさん英彦山英彦山1,199.6地理院地図Googleマップ北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.476247度 東経130.925973度﻿ /33.476247; 130.925973﻿ (英彦山)日本二百名山新日本百名山","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"由布岳","89ゆふだけ由布岳油布山1,583.3地理院地図Googleマップ北緯33度16分56秒東経131度23分25秒﻿ / ﻿北緯33.282267度 東経131.390233度﻿ /33.282267; 131.390233﻿ (由布岳)日本二百名山新日本百名山双耳峰（西峰）","https://ja.wikipedia.org/wiki/ファイル:Yufudake.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"久住山","90くじゅうさん久住山久住山1,786.5地理院地図Googleマップ北緯33度04分56秒東経131度14分27秒﻿ / ﻿北緯33.082187度 東経131.240871度﻿ /33.082187; 131.240871﻿ (久住山)日本百名山新日本百名山花の百名山九重山ミヤマキリシマ","https://ja.wikipedia.org/wiki/ファイル:Mount_Kuju.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"祖母山","91そぼさん祖母山祖母山1,756.4地理院地図Googleマップ北緯32度49分41秒東経131度20分49秒﻿ / ﻿北緯32.828131度 東経131.347046度﻿ /32.828131; 131.347046﻿ (祖母山)日本百名山新日本百名山花の百名山","https://ja.wikipedia.org/wiki/ファイル:Mt.Sobo.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大崩山","92おおくえやま大崩山祝子川山1,643.3地理院地図Googleマップ北緯32度44分16秒東経131度30分47秒﻿ / ﻿北緯32.737715度 東経131.513102度﻿ /32.737715; 131.513102﻿ (大崩山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:大崩山.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"烏帽子岳 (阿蘇山) (存在しないページ)","93えぼしだけ烏帽子岳西烏帽子岳1,337.2地理院地図Googleマップ北緯32度52分25秒東経131度03分29秒﻿ / ﻿北緯32.873677度 東経131.058019度﻿ /32.873677; 131.058019﻿ (烏帽子岳)阿蘇五岳草千里ヶ浜","https://ja.wikipedia.org/wiki/ファイル:Kusasenri_Winter.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天山 (佐賀県)","94てんざん天山天山1,046.2地理院地図Googleマップ北緯33度20分20秒東経130度08分34秒﻿ / ﻿北緯33.338886度 東経130.142897度﻿ /33.338886; 130.142897﻿ (天山)","https://ja.wikipedia.org/wiki/ファイル:Mount_Tenzan_from_Kiyomizu_Ogi.JPG","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"雲仙岳","95ふげんだけ普賢岳普賢岳1,359.3地理院地図Googleマップ北緯32度45分36秒東経130度17分32秒﻿ / ﻿北緯32.759908度 東経130.292146度﻿ /32.759908; 130.292146﻿ (普賢岳)日本二百名山新日本百名山雲仙岳","https://ja.wikipedia.org/wiki/ファイル:Unzen_pyroclastic_and_lahar_deposits.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"国見岳 (熊本県・宮崎県)","96画 像 募 集 中くにみだけ国見岳国見岳1,738.8地理院地図Googleマップ北緯32度32分50秒東経131度01分06秒﻿ / ﻿北緯32.547133度 東経131.018362度﻿ /32.547133; 131.018362﻿ (国見岳)日本三百名山","https://ja.wikipedia.org/wiki/ファイル:Gthumb.svg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"市房山","97いちふさやま市房山市房山1,720.8地理院地図Googleマップ北緯32度18分42秒東経131度06分04秒﻿ / ﻿北緯32.311682度 東経131.101036度﻿ /32.311682; 131.101036﻿ (市房山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Ichifusayama_from_Mizukami_Kumamoto_Japan.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"尾鈴山","98おすずやま尾鈴山尾鈴山1,405.2地理院地図Googleマップ北緯32度17分57秒東経131度25分36秒﻿ / ﻿北緯32.299301度 東経131.426587度﻿ /32.299301; 131.426587﻿ (尾鈴山)日本二百名山","https://ja.wikipedia.org/wiki/ファイル:Osuzuyama.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"韓国岳","99からくにだけ韓国岳西霧島山1,700.1地理院地図Googleマップ北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.934170度 東経130.861577度﻿ /31.934170; 130.861577﻿ (韓国岳)日本百名山花の百名山新・花の百名山霧島山","https://ja.wikipedia.org/wiki/ファイル:Kirishima_Karakunidake_2.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"宮之浦岳","100みやのうらだけ宮之浦岳宮之浦岳1,935.0地理院地図Googleマップ北緯30度20分10秒東経130度30分15秒﻿ / ﻿北緯30.336085度 東経130.504173度﻿ /30.336085; 130.504173﻿ (宮之浦岳)日本百名山屋久島九州最高峰","https://ja.wikipedia.org/wiki/ファイル:Miyanouradake.jpg","一等三角点百名山","https://ja.wikipedia.org/wiki/一等三角点百名山","表形式","","","","","","","","","","","","","","","","","","","",""
