"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","製造所","編成","電気方式","最高運転速度","車両定員"
"暁学園前駅","暁学園前駅（あかつきがくえんまええき）","https://ja.wikipedia.org/wiki/暁学園前駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度1分58.01秒東経136度36分21.27秒","三岐線","5.3 km（富田起点）","三岐鉄道","地上駅","1931年（昭和6年）7月23日[1]","1面1線","三重県四日市市中村町393-2.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度1分58.01秒東経136度36分21.27秒﻿ / ﻿北緯35.0327806度 東経136.6059083度﻿ /35.0327806; 136.6059083座標:北緯35度1分58.01秒東経136度36分21.27秒﻿ / ﻿北緯35.0327806度 東経136.6059083度﻿ /35.0327806; 136.6059083","*1965年に萱生駅から改称[1]。","ガク","","1,548人/日（降車客含まず）-2019年-","","","","","","","",""
"赤土小学校前駅","赤土小学校前駅（あかどしょうがっこうまええき）","https://ja.wikipedia.org/wiki/赤土小学校前駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度44分34.3秒東経139度46分8.4秒","日暮里・舎人ライナー","1.7 km（日暮里起点）","東京都交通局","高架駅","2008年（平成20年）3月30日[1]","1面2線","東京都荒川区東尾久四丁目7-7.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度44分34.3秒東経139度46分8.4秒﻿ / ﻿北緯35.742861度 東経139.769000度﻿ /35.742861; 139.769000﻿ (赤土小学校前駅)座標:北緯35度44分34.3秒東経139度46分8.4秒﻿ / ﻿北緯35.742861度 東経139.769000度﻿ /35.742861; 139.769000﻿ (赤土小学校前駅)","無人駅","赤（駅名略称）","NT03","","5,216人/日-2019年-","","","","","","",""
"赤野駅","赤野駅（あかのえき）","https://ja.wikipedia.org/wiki/赤野駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度30分57.69秒東経133度49分30.36秒","■ごめん・なはり線","19.6 km（後免起点）","土佐くろしお鉄道（TKT）","高架駅","2002年（平成14年）7月1日","単式 1面1線","高知県安芸市赤野乙2933北緯33度30分57.69秒東経133度49分30.36秒","無人駅","カノ","○GN30","","38[1]人/日-2019年-","","","","","","",""
"吾野駅","吾野駅（あがのえき）","https://ja.wikipedia.org/wiki/吾野駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度54分30.55秒東経139度13分36.19秒","■池袋線*","57.8 km（池袋起点）","西武鉄道","地上駅","1929年（昭和4年）9月10日","1面2線","埼玉県飯能市坂石町分326-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度54分30.55秒東経139度13分36.19秒﻿ / ﻿北緯35.9084861度 東経139.2267194度﻿ /35.9084861; 139.2267194﻿ (吾野駅)座標:北緯35度54分30.55秒東経139度13分36.19秒﻿ / ﻿北緯35.9084861度 東経139.2267194度﻿ /35.9084861; 139.2267194﻿ (吾野駅)","* 両線で直通運転実施","","SI31","","617人/日-2019年-","","","","","","",""
"赤羽駅","赤羽駅（あかばねえき）","https://ja.wikipedia.org/wiki/赤羽駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度46分40.9秒東経139度43分15秒","■宇都宮線（東北本線列車線）","7.7 km（日暮里起点）東京から尾久経由で13.4 km","東日本旅客鉄道（JR東日本）","高架駅","1885年（明治18年）3月1日","4面8線","東京都北区赤羽一丁目1-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度46分40.9秒東経139度43分15秒﻿ / ﻿北緯35.778028度 東経139.72083度﻿ /35.778028; 139.72083座標:北緯35度46分40.9秒東経139度43分15秒﻿ / ﻿北緯35.778028度 東経139.72083度﻿ /35.778028; 139.72083","直営駅（管理駅）みどりの窓口有東京都区内駅","アネ","JU04","98,370人/日（降車客含まず）-2019年-","","","","","","","",""
"赤羽岩淵駅","赤羽岩淵駅（あかばねいわぶちえき）","https://ja.wikipedia.org/wiki/赤羽岩淵駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度47分00秒東経139度43分20秒","●[1]東京メトロ南北線[* 2]","21.3 km（目黒起点）","東京地下鉄（東京メトロ）埼玉高速鉄道","地下駅","1991年（平成3年）11月29日","1面2線","東京都北区赤羽一丁目52-8.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度47分00秒東経139度43分20秒﻿ / ﻿北緯35.78333度 東経139.72222度﻿ /35.78333; 139.72222﻿ (赤羽岩淵駅)座標:北緯35度47分00秒東経139度43分20秒﻿ / ﻿北緯35.78333度 東経139.72222度﻿ /35.78333; 139.72222﻿ (赤羽岩淵駅)","共同使用駅（東京メトロの管轄駅）","アイ（東京メトロ）","N19[1]","（埼玉高速鉄道）-2019年-48,490[* 1]人/日（降車客含まず）","（東京メトロ）-2019年-100,337[* 1]人/日","","","","","","",""
"赤羽橋駅","赤羽橋駅（あかばねばしえき）","https://ja.wikipedia.org/wiki/赤羽橋駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度39分18秒東経139度44分37秒","●[1]大江戸線","21.3 km（都庁前起点）","東京都交通局（都営地下鉄）","地下駅","2000年（平成12年）12月12日","1面2線","東京都港区東麻布一丁目28-13.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度39分18秒東経139度44分37秒﻿ / ﻿北緯35.65500度 東経139.74361度﻿ /35.65500; 139.74361座標:北緯35度39分18秒東経139度44分37秒﻿ / ﻿北緯35.65500度 東経139.74361度﻿ /35.65500; 139.74361","","赤（駅名略称）","E21[1]","","42,784人/日-2019年-","","","","","","",""
"赤平駅","赤平駅（あかびらえき）","https://ja.wikipedia.org/wiki/赤平駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度33分18.57秒東経142度2分55.2秒","■根室本線","13.7 km（滝川起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*","地上駅","1913年（大正2年）11月10日","2面3線（2面4線）","北海道赤平市美園町1丁目.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度33分18.57秒東経142度2分55.2秒﻿ / ﻿北緯43.5551583度 東経142.048667度﻿ /43.5551583; 142.048667﻿ (赤平駅)","簡易委託駅","アラ","○T23","78人/日（降車客含まず）-2019年-","","","","","","","",""
"赤渕駅","赤渕駅（あかぶちえき）","https://ja.wikipedia.org/wiki/赤渕駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度41分6.5秒東経140度54分25.9秒","■田沢湖線","53.6 km（大曲起点）","東日本旅客鉄道（JR東日本）","地上駅","1964年（昭和39年）9月10日","1面2線","岩手県岩手郡雫石町御明神赤渕.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度41分6.5秒東経140度54分25.9秒﻿ / ﻿北緯39.685139度 東経140.907194度﻿ /39.685139; 140.907194座標:北緯39度41分6.5秒東経140度54分25.9秒﻿ / ﻿北緯39.685139度 東経140.907194度﻿ /39.685139; 140.907194","無人駅","アチ","","","","","","","","","",""
"英賀保駅","英賀保駅（あがほえき）","https://ja.wikipedia.org/wiki/英賀保駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度48分47.56秒東経134度38分41秒","A山陽本線","59.4km（神戸起点）大阪から92.5 km","西日本旅客鉄道（JR西日本）","地上駅[1]","1913年（大正2年）4月15日[1]","2面3線[1]","兵庫県姫路市飾磨区山崎132[1].mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度48分47.56秒東経134度38分41秒﻿ / ﻿北緯34.8132111度 東経134.64472度﻿ /34.8132111; 134.64472座標:北緯34度48分47.56秒東経134度38分41秒﻿ / ﻿北緯34.8132111度 東経134.64472度﻿ /34.8132111; 134.64472","直営駅[1]みどりの券売機プラス設置駅","アホ","","4,623人/日（降車客含まず）-2019年-","","","","","","","",""
"赤星駅","赤星駅（あかぼしえき）","https://ja.wikipedia.org/wiki/赤星駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度58分0.30秒東経133度27分22.82秒","■予讃線","85.9 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1960年（昭和35年）3月1日","1面1線","愛媛県四国中央市土居町津根.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度58分0.30秒東経133度27分22.82秒﻿ / ﻿北緯33.9667500度 東経133.4563389度﻿ /33.9667500; 133.4563389座標:北緯33度58分0.30秒東経133度27分22.82秒﻿ / ﻿北緯33.9667500度 東経133.4563389度﻿ /33.9667500; 133.4563389","無人駅","アカ","○Y25","","234[1]人/日-2019年-","","","","","","",""
"赤堀駅","赤堀駅（あかほりえき）","https://ja.wikipedia.org/wiki/赤堀駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度57分34.13秒東経136度36分38.67秒","内部線（八王子線直通含む）","1.0 km（あすなろう四日市起点）","四日市あすなろう鉄道","地上駅","1912年（大正元年）10月6日","1面1線","三重県四日市市赤堀二丁目13-20.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度57分34.13秒東経136度36分38.67秒﻿ / ﻿北緯34.9594806度 東経136.6107417度﻿ /34.9594806; 136.6107417座標:北緯34度57分34.13秒東経136度36分38.67秒﻿ / ﻿北緯34.9594806度 東経136.6107417度﻿ /34.9594806; 136.6107417","無人駅（自動券売機 有）","ホリ","","263人/日（降車客含まず）-2019年-","443[1]人/日-2019年-","","","","","","",""
"赤間駅","赤間駅（あかまえき）","https://ja.wikipedia.org/wiki/赤間駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度48分29.98秒東経130度34分10.54秒","JA鹿児島本線","46.5 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1890年（明治23年）9月28日[1]","2面4線","福岡県宗像市赤間駅前一丁目1番1号.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度48分29.98秒東経130度34分10.54秒﻿ / ﻿北緯33.8083278度 東経130.5695944度﻿ /33.8083278; 130.5695944座標:北緯33度48分29.98秒東経130度34分10.54秒﻿ / ﻿北緯33.8083278度 東経130.5695944度﻿ /33.8083278; 130.5695944","直営駅みどりの窓口有","アカ←アカマ","JA  14 ","8,659人/日（降車客含まず）-2019年-","","","","","","","",""
"赤水駅","赤水駅（あかみずえき）","https://ja.wikipedia.org/wiki/赤水駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯32度54分47.68秒東経130度59分34.56秒","■豊肥本線","107.6 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1918年（大正7年）1月25日[2]","1面2線[1]","熊本県阿蘇市赤水[1]北緯32度54分47.68秒東経130度59分34.56秒","無人駅","アカ","","105人/日（降車客含まず）-2005年-","","","","","","","",""
"赤嶺駅","赤嶺駅（あかみねえき）","https://ja.wikipedia.org/wiki/赤嶺駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯26度11分35.6秒東経127度39分37.7秒","■沖縄都市モノレール線（ゆいレール）","2.0 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日[1][2]","1面2線","沖縄県那覇市赤嶺二丁目1000-11.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯26度11分35.6秒東経127度39分37.7秒﻿ / ﻿北緯26.193222度 東経127.660472度﻿ /26.193222; 127.660472座標:北緯26度11分35.6秒東経127度39分37.7秒﻿ / ﻿北緯26.193222度 東経127.660472度﻿ /26.193222; 127.660472","日本最南端駅","","2","1,428人/日（降車客含まず）-2020年-","","","","","","","",""
"赤目口駅","赤目口駅（あかめぐちえき）","https://ja.wikipedia.org/wiki/赤目口駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度35分59.4秒東経136度4分28.56秒","D大阪線","64.0 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅","1930年（昭和5年）10月10日","2面2線","三重県名張市赤目町丈六257-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度35分59.4秒東経136度4分28.56秒﻿ / ﻿北緯34.599833度 東経136.0746000度﻿ /34.599833; 136.0746000座標:北緯34度35分59.4秒東経136度4分28.56秒﻿ / ﻿北緯34.599833度 東経136.0746000度﻿ /34.599833; 136.0746000","無人駅（自動券売機 有）","アカメ"," D48 ","569人/日（降車客含まず）-2019年-","","","","","","","",""
"赤湯駅","赤湯駅（あかゆえき）","https://ja.wikipedia.org/wiki/赤湯駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","","■山形新幹線（JR東日本）","56.1 km（福島起点）東京から328.9 km","東日本旅客鉄道（JR東日本）山形鉄道","地上駅","1900年（明治33年）4月21日","3面4線","","共同使用駅JR東日本：業務委託駅JR東日本：みどりの窓口有","アユ","","（JR東日本）-2019年-1,250人/日（降車客含まず）","","","","","","","",""
"上道駅 (鳥取県)","上道駅 (鳥取県)（あがりみちえき・西日本旅客鉄道境線）","https://ja.wikipedia.org/wiki/上道駅_(鳥取県)","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","","C境線","16.3 km（米子起点）","西日本旅客鉄道（JR西日本）","地上駅","1952年（昭和27年）7月1日","1面1線","","無人駅","アミ","","","356人/日-2018年-","","","","","","",""
"阿川駅","阿川駅（あがわえき）","https://ja.wikipedia.org/wiki/阿川駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度20分8.84秒東経130度55分33.09秒","■山陰本線","627.4 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）9月9日[1]","2面2線","山口県下関市豊北町大字阿川字水取3653-3.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度20分8.84秒東経130度55分33.09秒﻿ / ﻿北緯34.3357889度 東経130.9258583度﻿ /34.3357889; 130.9258583座標:北緯34度20分8.84秒東経130度55分33.09秒﻿ / ﻿北緯34.3357889度 東経130.9258583度﻿ /34.3357889; 130.9258583","無人駅[2]","アカ","","31人/日（降車客含まず）-2019年-","","","","","","","",""
"安芸駅","安芸駅（あきえき）","https://ja.wikipedia.org/wiki/安芸駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度30分16.05秒東経133度54分23.39秒","■ごめん・なはり線","27.7 km（後免起点）","土佐くろしお鉄道（TKT）","高架駅","2002年（平成14年）7月1日","1面2線","高知県安芸市東浜294北緯33度30分16.05秒東経133度54分23.39秒","有人駅みどりの窓口設置駅","アキ","○GN27","","950[1]人/日-2019年-","","","","","","",""
"阿木駅","阿木駅（あぎえき）","https://ja.wikipedia.org/wiki/阿木駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度23分58.68秒東経137度27分32.63秒","明知線","9.9 km（恵那起点）","明知鉄道","地上駅","1933年（昭和8年）5月24日[1]","1面1線","岐阜県中津川市阿木.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度23分58.68秒東経137度27分32.63秒﻿ / ﻿北緯35.3996333度 東経137.4590639度﻿ /35.3996333; 137.4590639座標:北緯35度23分58.68秒東経137度27分32.63秒﻿ / ﻿北緯35.3996333度 東経137.4590639度﻿ /35.3996333; 137.4590639","","アキ","8","126人/日（降車客含まず）-2016年-","","","","","","","",""
"安芸阿賀駅","安芸阿賀駅（あきあがえき）","https://ja.wikipedia.org/wiki/安芸阿賀駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度14分8.8秒東経132度36分0.3秒","Y呉線","62.9 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1935年（昭和10年）3月24日","2面2線","広島県呉市阿賀中央六丁目3-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度14分8.8秒東経132度36分0.3秒﻿ / ﻿北緯34.235778度 東経132.600083度﻿ /34.235778; 132.600083座標:北緯34度14分8.8秒東経132度36分0.3秒﻿ / ﻿北緯34.235778度 東経132.600083度﻿ /34.235778; 132.600083","業務委託駅みどりの窓口有","アア","JR-Y15","2,336人/日（降車客含まず）-2019年-","","","","","","","",""
"あき亀山駅","あき亀山駅（あきかめやまえき）","https://ja.wikipedia.org/wiki/あき亀山駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度31分02.15秒東経132度29分45.24秒","B可部線","15.6km（横川起点）広島から18.6 km","西日本旅客鉄道（JR西日本）","地上駅","2017年（平成29年）3月4日[2][広報 2]","1面2線[広報 1]","広島市安佐北区亀山南一丁目1-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度31分02.15秒東経132度29分45.24秒﻿ / ﻿北緯34.5172639度 東経132.4959000度﻿ /34.5172639; 132.4959000座標:北緯34度31分02.15秒東経132度29分45.24秒﻿ / ﻿北緯34.5172639度 東経132.4959000度﻿ /34.5172639; 132.4959000","無人駅（自動券売機 有）広島市内駅","カメ[1]","JR-B16","642人/日（降車客含まず）-2019年-","","","","","","","",""
"秋川駅","秋川駅（あきがわえき）","https://ja.wikipedia.org/wiki/秋川駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度43分41秒東経139度17分12秒","■五日市線","5.7 km（拝島起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1925年（大正14年）4月21日[2]","2面2線[1]","東京都あきる野市油平49.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度43分41秒東経139度17分12秒﻿ / ﻿北緯35.72806度 東経139.28667度﻿ /35.72806; 139.28667座標:北緯35度43分41秒東経139度17分12秒﻿ / ﻿北緯35.72806度 東経139.28667度﻿ /35.72806; 139.28667","業務委託駅*1987年に西秋留駅から改称[1]。","アワ←ニル（改称前）","JC83","6,499人/日（降車客含まず）-2019年-","","","","","","","",""
"安芸川尻駅","安芸川尻駅（あきかわじりえき）","https://ja.wikipedia.org/wiki/安芸川尻駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度13分58.29秒東経132度41分29.89秒","Y呉線","52.8 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）11月24日","1面2線","広島県呉市川尻町西二丁目19-5.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度13分58.29秒東経132度41分29.89秒﻿ / ﻿北緯34.2328583度 東経132.6916361度﻿ /34.2328583; 132.6916361座標:北緯34度13分58.29秒東経132度41分29.89秒﻿ / ﻿北緯34.2328583度 東経132.6916361度﻿ /34.2328583; 132.6916361","業務委託駅みどりの窓口有","シリ","JR-Y19","761人/日（降車客含まず）-2019年-","","","","","","","",""
"安芸幸崎駅","安芸幸崎駅（あきさいざきえき）","https://ja.wikipedia.org/wiki/安芸幸崎駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度20分17.41秒東経133度2分23.62秒","Y呉線","11.8 km（三原起点）","西日本旅客鉄道（JR西日本）","地上駅","1931年（昭和6年）4月28日","2面2線","広島県三原市幸崎能地三丁目4-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度20分17.41秒東経133度2分23.62秒﻿ / ﻿北緯34.3381694度 東経133.0398944度﻿ /34.3381694; 133.0398944座標:北緯34度20分17.41秒東経133度2分23.62秒﻿ / ﻿北緯34.3381694度 東経133.0398944度﻿ /34.3381694; 133.0398944","無人駅（自動券売機 有）","ササ","JR-Y29","178人/日（降車客含まず）-2018年-","","","","","","","",""
"昭島駅","昭島駅（あきしまえき）","https://ja.wikipedia.org/wiki/昭島駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度42分48.8秒東経139度21分39.3秒","■青梅線","5.0 km（立川起点）東京から42.5 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1938年（昭和13年）12月25日**","1面2線[1]","東京都昭島市昭和町二丁目1-10北緯35度42分48.8秒東経139度21分39.3秒座標:北緯35度42分48.8秒 東経139度21分39.3秒","業務委託駅","アマセマ（改称前）","JC54","26,016人/日（降車客含まず）-2019年-","","","","","","","",""
"あき総合病院前駅","あき総合病院前駅（あきそうごうびょういんまええき）","https://ja.wikipedia.org/wiki/あき総合病院前駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度30分15.8秒東経133度53分51.7秒","■ごめん・なはり線","26.8 km（後免起点）","土佐くろしお鉄道（TKT）","地上駅","2021年（令和3年）3月13日[1]","1面1線","高知県安芸市染井町.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度30分15.8秒東経133度53分51.7秒﻿ / ﻿北緯33.504389度 東経133.897694度﻿ /33.504389; 133.897694座標:北緯33度30分15.8秒東経133度53分51.7秒﻿ / ﻿北緯33.504389度 東経133.897694度﻿ /33.504389; 133.897694","","","○GN27-1","","","","","","","","",""
"秋田駅","秋田駅（あきたえき）","https://ja.wikipedia.org/wiki/秋田駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度43分0.63秒東経140度7分47.09秒","■秋田新幹線","127.3 km（盛岡起点）東京から662.6 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1902年（明治35年）10月21日[新聞 1]","4面10線","秋田県秋田市中通七丁目1-2北緯39度43分0.63秒東経140度7分47.09秒座標:北緯39度43分0.63秒 東経140度7分47.09秒","直営駅（管理駅）みどりの窓口有","アキ","","10,390人/日（降車客含まず）-2019年-","","","","","","","",""
