"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録回","登録日","外部リンク","開駅日","登録路線","営業時間","所属路線","起点からの距離","供用開始日","備考","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"ニセコビュープラザ","[にせこびゅーぷらざニセコビュープラザ道央虻田郡ニセコ町国道5号北海道-040] 道の駅ニセコビュープラザ （みちのえき ニセコビュープラザ）は、 北海道 虻田郡 ニセコ町 にある 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ニセコビュープラザ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度47分58秒東経140度42分08秒","〒048-1544北海道虻田郡ニセコ町字元町77-10","第12回（01040）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1997年4月11日","国道5号","9:00 - 19:00（7月から8月）9:00 - 18:00（上記以外）","","","","","","","","","","","",""
"しりうち","[しりうち道南上磯郡知内町国道228号北海道-041旧知内駅に併設] 道の駅しりうち （みちのえき しりうち）は、 北海道 上磯郡 知内町 字湯ノ里にある 国道228号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅しりうち","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度36分05秒東経140度20分11秒","〒049-1221北海道上磯郡知内町字湯ノ里48-13","第12回（01041）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1997年4月30日","国道228号","8:00 - 18:45","","","","","","","","","","","",""
"横綱の里ふくしま","[よこづなのさとふくしま横綱の里ふくしま（よこづなのさとふくしま）道南松前郡福島町国道228号北海道-042 ] 道の駅横綱の里ふくしま （みちのえき よこづなのさとふくしま）は、 北海道 松前郡 福島町 にある 国道228号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅横綱の里ふくしま","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度28分46秒東経140度15分20秒","〒049-1312北海道松前郡福島町字福島143-1","第12回（01042）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年4月11日","国道228号","9:00 - 17:00","","","","","","","","","","","",""
"サラブレッドロード新冠","[さらぶれっどろーどにいかっぷサラブレッドロード新冠（サラブレッドロードにいかっぷ）道央新冠郡新冠町国道235号北海道-043 ] 道の駅サラブレッドロード新冠 （みちのえき サラブレッドロードにいかっぷ）は、 北海道 新冠郡 新冠町 にある 国道235号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅サラブレッドロード新冠","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度21分35秒東経142度18分56秒","〒059-2402北海道新冠郡新冠町字中央町1-20","第12回（01043）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1997年4月11日","国道235号","9:00-18:00（GW、7-9月）10:00-17:00（11-2月）10:00-18:00（上記以外）","","","","","","","","","","","",""
"ピア21しほろ","[ぴあ21しほろピア21しほろ十勝河東郡士幌町国道241号国道274号北海道-044 ] 道の駅ピア21しほろ （みちのえき ピア21しほろ）は、 北海道 河東郡 士幌町 にある 国道241号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ピア21しほろ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度08分40秒東経143度14分22秒","〒080-1253北海道河東郡士幌町字士幌西2線134-1","第12回（01044）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年4月11日","国道241号","9:00 - 18:00（4 - 10月）9:00 - 17:00（11 - 3月）","","","","","","","","","","","",""
"香りの里たきのうえ","[かおりのさとたきのうえ香りの里たきのうえ（かおりのさとたきのうえ）オホーツク紋別郡滝上町国道273号北海道-045 ] 道の駅香りの里たきのうえ （みちのえき かおりのさとたきのうえ）は、 北海道 紋別郡 滝上町 にある 国道273号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅香りの里たきのうえ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度11分49秒東経143度05分27秒","〒099-5602北海道紋別郡滝上町旭町","第12回（01045）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1997年4月11日","国道273号","9:00 - 17:30","","","","","","","","","","","",""
"田園の里うりゅう","[でんえんのさとうりゅう田園の里うりゅう（でんえんのさとうりゅう）道央雨竜郡雨竜町国道275号北海道-046 ] 道の駅田園の里うりゅう （みちのえき でんえんのさとうりゅう）は、 北海道 雨竜郡 雨竜町 にある 国道275号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅田園の里うりゅう","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度39分45秒東経141度53分39秒","〒078-2600北海道雨竜郡雨竜町字満寿28-3","第12回（01046）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年4月11日","国道275号","9:00 - 17:00（5-10月）9:00 - 16:00（11-4月）","","","","","","","","","","","",""
"みたら室蘭","[みたら室蘭（みたらむろらん）道央室蘭市国道37号臨港道路祝津絵鞆線北海道-047 ] 道の駅みたら室蘭 （みちのえき みたらむろらん）は、 北海道 室蘭市 にある 国道37号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅みたら室蘭","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度20分31秒東経140度56分38秒","〒051-0036北海道室蘭市祝津町4丁目16-15","第14回（01047）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年6月13日","国道37号","9:30 - 21:00（4-10月）9:30 - 17:00（11-3月）","","","","","","","","","","","",""
"とうま","[とうま道北上川郡当麻町国道39号北海道-048 ] 道の駅とうま （みちのえき とうま）は、 北海道 上川郡 当麻町 にある 国道39号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅とうま","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度50分39秒東経142度29分22秒","〒078-1332北海道上川郡当麻町宇園別2区","第14回（01048）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","1998年4月17日","国道39号","9:00 - 18:00","","","","","","","","","","","",""
"スペース・アップルよいち","[すぺーすあっぷるよいちスペース・アップルよいち道央余市郡余市町国道229号北海道-049 ] 道の駅スペース・アップルよいち （みちのえき スペース・アップルよいち）は、 北海道 余市郡 余市町 にある 国道229号 の 道の駅 である。施設内には 余市宇宙記念館 （通称・スペース童夢）がある。","https://ja.wikipedia.org/wiki/道の駅スペース・アップルよいち","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度11分20.1秒東経140度47分20.3秒","〒046-0003北海道余市郡余市町黒川町6丁目4-1","第14回（01049）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","1998年4月17日","国道229号","9:00 - 18:00（4月中旬-10月）10:00 - 16:30（11月-4月中旬）","","","","","","","","","","","",""
"ほっと♡はぼろ","[ほっと♡はぼろ道北苫前郡羽幌町国道232号北海道-050 ] 道の駅ほっと♡はぼろ （みちのえき ほっとはぼろ）は、 北海道 苫前郡 羽幌町 にある 国道232号 の 道の駅 である。温泉宿泊施設「サンセットプラザ」が中心となる施設である。","https://ja.wikipedia.org/wiki/道の駅ほっと♡はぼろ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度22分02秒東経141度42分23秒","〒078-4113北海道苫前郡羽幌町北3条1丁目29","第14回（01050）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年4月17日","国道232号","7:00 - 22:00","","","","","","","","","","","",""
"サロマ湖","[さろまこサロマ湖（サロマこ）オホーツク常呂郡佐呂間町国道238号北海道-051 ] 道の駅サロマ湖 （みちのえき サロマこ）は、 北海道 常呂郡 佐呂間町 にある 国道238号 ・ 国道239号 ・ 国道242号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅サロマ湖","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度05分59秒東経143度49分25秒","〒093-0421北海道常呂郡佐呂間町字浪速121-3","第14回（01051）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年4月17日","国道238号","9:00 - 18:00（4月中旬 -10月中旬）9:00 - 17:00（10月中旬 - 4月中旬）","","","","","","","","","","","",""
"愛ランド湧別","[あいらんどゆうべつ愛ランド湧別（あいランドゆうべつ）オホーツク紋別郡湧別町国道238号北海道-052 ] 道の駅愛ランド湧別・ファミリー愛ランドYOU （みちのえき あいランドゆうべつ・ファミリーあいランドゆう）は、 北海道 紋別郡 湧別町 にある 国道238号 ・ 国道242号 の 道の駅 である。 遊園地 になっており、 観覧車 、 バイキング 、 回転ブランコ 、 ゴーカート などで遊ぶことができる  。","https://ja.wikipedia.org/wiki/道の駅愛ランド湧別","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度07分51秒東経143度43分09秒","〒093-0652北海道紋別郡湧別町志撫子6-2","第14回（01052）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","1998年4月17日","国道238号","9:30 - 17:00","","","","","","","","","","","",""
"おうむ","[おうむオホーツク紋別郡雄武町国道238号北海道-053旧雄武駅跡] 道の駅おうむ （みちのえき おうむ）は、 北海道 紋別郡 雄武町 にある 国道238号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅おうむ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度34分59秒東経142度57分35秒","〒098-1702北海道紋別郡雄武町字雄武1885-14","第14回（01053）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","1998年4月17日","国道238号","8:00 - 21:00（5-10月）8:00 - 20:00（11-4月）","","","","","","","","","","","",""
"さるふつ公園","[さるふつ公園（さるふるこうえん）道北宗谷郡猿払村国道238号北海道-054 ] 道の駅さるふつ公園 （みちのえき さるふつこうえん）は、 北海道 宗谷郡 猿払村 にある 国道238号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅さるふつ公園","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯45度19分45秒東経142度10分38秒","〒098-6222北海道宗谷郡猿払村浜鬼志別214-7","第14回（01054）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","1998年4月17日","国道238号","8:30 - 17:30（4-6月、9-10月）8:30 - 18:30（7-8月）","","","","","","","","","","","",""
"森と湖の里ほろかない","[もりとみずうみのさとほろかない森と湖の里ほろかない（もりとみずうみのさとほろかない）道北雨竜郡幌加内町国道275号北海道-055 ] 道の駅森と湖の里 ほろかない （みちのえき もりとみずうみのさと ほろかない）は、 北海道 雨竜郡 幌加内町 にある 国道275号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅森と湖の里ほろかない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度06分53秒東経142度08分22秒","〒074-0425北海道雨竜郡幌加内町字政和第一","第14回（01055）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年4月17日","国道275号","温泉 10:00 - 21:00物産館 8:00 - 17:00","","","","","","","","","","","",""
"うたしないチロルの湯","[うたしないチロルの湯（うたしないチロルのゆ）道央歌志内市道道114号赤平奈井江線北海道-056 ] 道の駅うたしないチロルの湯 （みちのえき うたしないチロルのゆ）は、 北海道 歌志内市 にある 道の駅 である。道の駅に隣接した所に 日帰り温泉 「チロルの湯」がある。","https://ja.wikipedia.org/wiki/道の駅うたしないチロルの湯","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度30分12秒東経142度00分21秒","〒073-0406北海道歌志内市字中村72-2","第14回（01056）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年4月17日","北海道道114号","9:00 - 19:00（4-10月）9:00 - 18:00（11-3月）","","","","","","","","","","","",""
"くろまつない","[くろまつない道央寿都郡黒松内町国道5号北海道-057 ] 道の駅くろまつない （みちのえき くろまつない）は、 北海道 寿都郡 黒松内町 にある 国道5号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅くろまつない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度40分22秒東経140度22分48秒","〒048-0134北海道寿都郡黒松内町字白井川8-10","第15回（01057）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年8月27日","国道5号","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"たきかわ","[たきかわ道央滝川市国道12号北海道-058 ] 道の駅たきかわ （みちのえき たきかわ）は、 北海道 滝川市 にある 国道12号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅たきかわ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度37分24秒東経141度56分29秒","〒079-0463北海道滝川市江部乙町東11丁目13-3","第15回（01058）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","1999年8月27日","国道12号","9:00 - 19:00（4月中旬-10月）9:00 - 18:00（11月-4月中旬）","","","","","","","","","","","",""
"スワン44ねむろ","[すわん44ねむろスワン44ねむろ釧路・根室根室市国道44号北海道-059 ] 道の駅スワン44ねむろ （みちのえき スワン44ねむろ）は、 北海道 根室市 にある 国道44号 の 道の駅 である。日本最東端の道の駅である。","https://ja.wikipedia.org/wiki/道の駅スワン44ねむろ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度15分42秒東経145度26分18秒","〒086-0073北海道根室市酪陽1","第15回（01059）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年4月1日","国道44号","9:00 - 17:00（4月 - 10月）9:00 - 16:00（11月）10:00 - 16:00（12月 - 3月）","","","","","","","","","","","",""
"つるぬま","[つるぬま道央樺戸郡浦臼町国道275号北海道-060 ] 道の駅つるぬま （みちのえき つるぬま）は、 北海道 樺戸郡 浦臼町 にある 国道275号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅つるぬま","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度27分06秒東経141度50分09秒","〒061-0600北海道樺戸郡浦臼町字キナウスナイ188","第15回（01060）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","1999年8月27日","国道275号","10:00 - 18:00（4月中旬-11月中旬）10:00 - 17:00（11月中旬-4月中旬）","","","","","","","","","","","",""
"なとわ・えさん","[なとわ・えさん道南函館市国道278号北海道-061 ] 道の駅なとわ・えさん （みちのえき なとわ・えさん）は、 北海道 函館市 にある 国道278号 の 道の駅 である。施設内にはキャンプ場を設置している。","https://ja.wikipedia.org/wiki/道の駅なとわ・えさん","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度46分46秒東経141度06分06秒","〒041-0525北海道函館市日ノ浜町31-2","第15回（01061）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年8月27日","国道278号","9:00 - 18:00（5-9月）9:00 - 17:00（10-4月）","","","","","","","","","","","",""
"つど〜る・プラザ・さわら","[つど〜る・プラザ・さわら道南茅部郡森町国道278号北海道-062 ] 道の駅つど〜る・プラザ・さわら （みちのえき つど〜るプラザさわら）は、 北海道 茅部郡 森町 砂原にある 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅つど〜る・プラザ・さわら","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度07分31秒東経140度40分02秒","〒049-2222北海道茅部郡森町砂原2丁目358-1","第15回（01062）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","1999年8月27日","国道278号","9:00 - 17:00","","","","","","","","","","","",""
"知床・らうす","[しれとこらうす知床・らうす（しれとこらうす）釧路・根室目梨郡羅臼町国道335号北海道-063 ] 道の駅知床・らうす （みちのえき しれとこらうす）は、 北海道 目梨郡 羅臼町 にある 道の駅 である。晴れた日には、この駅から 国後島 が見えることがある。","https://ja.wikipedia.org/wiki/道の駅知床・らうす","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度01分03秒東経145度11分31秒","〒086-1833北海道目梨郡羅臼町本町361-1","第15回（01063）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","1999年8月27日","国道335号","9:00 - 17:00（5-10月）10:00 - 16:00（11-4月）","","","","","","","","","","","",""
"さらべつ","[さらべつ十勝河西郡更別村道道238号更別幕別線北海道-064 ] 道の駅さらべつ （みちのえき さらべつ）は、 北海道 河西郡 更別村 にある 北海道道238号更別幕別線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅さらべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度38分00秒東経143度16分19秒","〒089-1573北海道河西郡更別村字弘和464-1","第15回（01064）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年8月27日","北海道道238号","9:00 - 18:00","","","","","","","","","","","",""
"だて歴史の杜","[だて歴史の杜（だてれきしのもり）道央伊達市国道37号北海道-065 ] 道の駅だて歴史の杜 （みちのえき だてれきしのもり）は、 北海道 伊達市 にある 国道37号 の 道の駅 。 総合公園だて歴史の杜 にある。","https://ja.wikipedia.org/wiki/道の駅だて歴史の杜","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度28分14秒東経140度52分32秒","〒052-0012北海道伊達市松ヶ枝町34-1","（01065）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ","2000年8月18日","","9:00 - 18:00","","","","","","","","","","","",""
"あさひかわ","[あさひかわ道北旭川市国道237号北海道-066 ] 道の駅あさひかわ （みちのえき あさひかわ）は、 北海道 旭川市 にある 道の駅 である。 財団法人 道北地域旭川地場産業振興センターが運営している  。","https://ja.wikipedia.org/wiki/道の駅あさひかわ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度45分36秒東経142度20分55秒","〒070-8004北海道旭川市神楽4条6丁目1-12","第16回（01066）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年8月18日","国道237号","9:00 - 21:00","","","","","","","","","","","",""
"自然体感しむかっぷ","[しぜんたいかんしむかっぷ自然体感しむかっぷ（しぜんたいかんしむかっぷ）道北勇払郡占冠村国道237号北海道-067 ] 道の駅自然体感しむかっぷ （みちのえき しぜんたいかんしむかっぷ）は、 北海道 勇払郡 占冠村 にある 国道237号 の 道の駅 である。占冠ICから約5分。","https://ja.wikipedia.org/wiki/道の駅自然体感しむかっぷ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度58分43秒東経142度23分51秒","〒079-2201北海道勇払郡占冠村字中央","第16回（01067）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ","2000年8月18日","国道237号","9:00 - 18:00","","","","","","","","","","","",""
"にしおこっぺ花夢","[にしおこっぺ花夢（にしおこっぺかむ）オホーツク紋別郡西興部村国道239号北海道-068 ] 道の駅にしおこっぺ花夢 （みちのえき にしおこっぺかむ）は、 北海道 紋別郡 西興部村 にある 国道239号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅にしおこっぺ花夢","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度20分09秒東経142度52分05秒","〒098-1421北海道紋別郡西興部村字上興部37","第16回（01068）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ","2000年8月18日","国道239号","9:00 - 17:00（4月 - 10月）9:00 - 16:00（11月 - 3月）","","","","","","","","","","","",""
"オーロラタウン93りくべつ","[おーろらたうん93りくべつオーロラタウン93りくべつ十勝足寄郡陸別町国道242号北海道-069旧陸別駅に併設] 道の駅オーロラタウン93りくべつ （みちのえき オーロラタウン93りくべつ）は、 北海道 足寄郡 陸別町 にある 国道242号 の 道の駅 である。この駅は、旧 ふるさと銀河線 陸別駅 舎内にある。","https://ja.wikipedia.org/wiki/道の駅オーロラタウン93りくべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度28分03秒東経143度44分33秒","〒089-4315北海道足寄郡陸別町大通","第16回（01069）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ","2000年8月18日","国道242号","8:00 - 18:00（4 - 10月）9:00 - 17:00（11 - 3月）","","","","","","","","","","","",""
"はなやか（葉菜野花）小清水","[はなやか（葉菜野花）小清水（はなやかこしみず）オホーツク斜里郡小清水町国道244号北海道-070浜小清水駅に併設] 道の駅はなやか（葉菜野花）小清水 （みちのえき はなやかこしみず）は、 北海道 斜里郡 小清水町 にある 国道244号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅はなやか（葉菜野花）小清水","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度56分02秒東経144度27分12秒","〒099-3452北海道斜里郡小清水町字浜小清水474-7","第16回（01070）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年8月18日","国道244号","9:00～19:00（4月～10月）9:00～17:30（11月～3月）","","","","","","","","","","","",""
"ライスランドふかがわ","[らいすらんどふかがわライスランドふかがわ道央深川市国道12号国道233号北海道-071 ] 道の駅ライスランドふかがわ （みちのえき ライスランドふかがわ）は、 北海道 深川市 にある 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅ライスランドふかがわ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度41分58秒東経142度04分14秒","〒074-1271北海道深川市音江町字広里59-7","第18回（01071）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年7月1日","国道12号・国道233号","9:00 - 19:00","","","","","","","","","","","",""
"なかがわ","[なかがわ道北中川郡中川町国道40号北海道-072 ] 道の駅なかがわ （みちのえき なかがわ）は、 北海道 中川郡 中川町 にある 国道40号 の 道の駅 。","https://ja.wikipedia.org/wiki/道の駅なかがわ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度48分06秒東経142度04分02秒","〒098-2805北海道中川郡中川町字誉498-1","第18回（01072）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年4月","国道40号","9:00 - 18:00（6月-8月）9:00 - 17:00（9月-5月）","","","","","","","","","","","",""
"230ルスツ","[にさんまるルスツ230ルスツ道央虻田郡留寿都村国道230号北海道-073] 道の駅230ルスツ （みちのえき にいさんまるルスツ）は、 北海道 虻田郡 留寿都村 にある 国道230号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅230ルスツ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度44分24秒東経140度53分04秒","〒048-1731北海道虻田郡留寿都村字留寿都127-191","第18回（01073）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","2002年8月13日","国道230号","9:00-18:00（4月-10月）9:00-17:00（11月-3月）","","","","","","","","","","","",""
"てしお","[てしお道北天塩郡天塩町国道232号北海道-074 ] 道の駅てしお （みちのえき てしお）は、 北海道 天塩郡 天塩町 にある 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅てしお","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度53分04秒東経141度44分52秒","〒098-3534北海道天塩郡天塩町新開通4丁目7227-2","第18回（01074）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","2003年6月20日","国道232号","9:00 - 19:00（5-10月）9:00 - 17:00（11-4月）","","","","","","","","","","","",""
"コスモール大樹","[こすもーるたいきコスモール大樹（コスモールたいき）十勝広尾郡大樹町国道236号北海道-075 ] 道の駅コスモール大樹 （みちのえき コスモールたいき）は、 北海道 広尾郡 大樹町 にある 国道236号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅コスモール大樹","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度29分23秒東経143度16分24秒","〒089-4315北海道広尾郡大樹町西本通98","第18回（01075）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","2003年6月","国道236号","9:30～18:00","","","","","","","","","","","",""
"ぐるっとパノラマ美幌峠","[ぐるっとパノラマ美幌峠（ぐるっとパノラマびほろとうげ）オホーツク網走郡美幌町国道243号北海道-076 ] 道の駅ぐるっとパノラマ美幌峠 （みちのえき ぐるっとパノラマびほろとうげ）は、 北海道 網走郡 美幌町 にある 国道243号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ぐるっとパノラマ美幌峠","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度38分54秒東経144度14分51秒","〒092-0022北海道網走郡美幌町字古梅","第18回（01076）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","2002年8月13日","国道243号","9:00 - 18:00（4月下旬-10月）9:00 - 17:00（11月-4月下旬）","","","","","","","","","","","",""
"らんこし・ふるさとの丘","[らんこし・ふるさとの丘（らんこしふるさとのおか）道央磯谷郡蘭越町国道5号北海道-077 ] 道の駅らんこし・ふるさとの丘 （みちのえき らんこしふるさとのおか）は、 北海道 磯谷郡 蘭越町 にある 国道5号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅らんこし・ふるさとの丘","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度45分43秒東経140度28分44秒","〒048-1251北海道磯谷郡蘭越町字相生969","第19回（01077）","2003年（平成15年）8月8日","国土交通省案内ページ全国道の駅連絡会ページ","2003年（平成15年）10月26日","国道5号","9:00 - 17:00","","","","","","","","","","","",""
"とようら","[とようら道央虻田郡豊浦町国道37号北海道-078] 道の駅とようら （みちのえき とようら）は、 北海道 虻田郡 豊浦町 にある 国道37号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅とようら","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度34分39秒東経140度43分21秒","〒049-5412北海道虻田郡豊浦町字旭町65-8","第19回（01078）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年7月9日","国道37号","9:00 - 18:00（5-10月）9:00 - 17:00（11-4月）","","","","","","","","","","","",""
