"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","城郭構造","築城年","廃城年","指定文化財","形状","規模","別名","築城主","遺構","史跡","主な城主","法人番号","天守構造","埋葬施設","出土品"
"上塩冶築山古墳","[上塩冶築山古墳（かみえんやつきやまこふん）〔出雲市〕] 上塩冶築山古墳 （かみえんやつきやまこふん）は、 島根県 出雲市 上塩冶町にある 古墳 。形状は 円墳 。築山古墳群を構成する古墳の1つ。国の 史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/上塩冶築山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度20分60.00秒東経132度45分38.77秒","北緯35度20分60.00秒東経132度45分38.77秒﻿ / ﻿北緯35.3500000度 東経132.7607694度﻿ /35.3500000; 132.7607694座標: 緯度の秒が60以上です座標:北緯35度20分60.00秒東経132度45分38.77秒﻿ / ﻿北緯35.3500000度 東経132.7607694度﻿ /35.3500000; 132.7607694座標: 緯度の秒が60以上です{{#coordinates:}}: 緯度 (lat) の値が無効です","島根県出雲市上塩冶町","上塩冶築山古墳","6世紀後半","","","","","円墳","直径46m高さ6m","","","","国の史跡「上塩冶築山古墳」","","","","両袖式横穴式石室（内部に家形石棺2基）","副葬品多数・埴輪・須恵器"
"国富中村古墳","[国富中村古墳（くにどみなかむらこふん）〔出雲市〕] 国富中村古墳 （くにどみなかむらこふん）は、 島根県 出雲市 国富町にある、 古墳時代 後期の 古墳 。2013年3月27日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/国富中村古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分39秒 東経132度48分03秒","","","","","","","","","","","","","","","","","","",""
"荒神谷遺跡","[荒神谷遺跡（こうじんだにいせき）〔出雲市〕1987年] 荒神谷遺跡 （こうじんだにいせき）は、 島根県 出雲市 斐川町 神庭の小さな谷間にある 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/荒神谷遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度22分35.4秒 東経132度51分8.7秒","","","","","","","","","","","","","","","","","","",""
"出西・伊波野一里塚 (存在しないページ)","[出西・伊波野一里塚（しゅっさい・いわのいちりづか）〔出雲市〕]","https://ja.wikipedia.org/w/index.php?title=出西・伊波野一里塚&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"菅田庵","[菅田庵（かんでんあん）〔松江市〕1928年] 菅田菴 （かんでんあん）は、 島根県 松江市 の旧 松江藩 家老 有沢家の山荘にある 松平不昧治郷 ゆかりの 茶室 。国の 史跡 および 名勝 。また山荘内の菅田菴及び向月亭、御風呂屋は国の 重要文化財 の指定を受けている  。","https://ja.wikipedia.org/wiki/菅田庵","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度29分16.53秒 東経133度3分43.02秒","","","","","","","","","","","","","","","","","","",""
"金崎古墳群 (松江市)","[金崎古墳群（きんざきこふんぐん）〔松江市〕] 金崎古墳群 （きんざきこふんぐん）は 島根県 松江市 にある複数の 古墳 の総称。","https://ja.wikipedia.org/wiki/金崎古墳群_(松江市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","島根県松江市西川津町","","5世紀頃","","","","","方墳・前方後方墳","","","","","国指定（1957年7月27日）","","","","","鉄剣・鏡・玉類"
"小泉八雲旧居","[小泉八雲旧居（こいずみやくもきゅうきょ）〔松江市〕1940年] 小泉八雲旧居 （こいずみやくもきゅうきょ）は、 島根県 松江市 の 塩見繩手 にある歴史的建造物を使用した 文学館 。 国の 史跡 に指定されている。 ヘルン旧居 とも呼ばれる。","https://ja.wikipedia.org/wiki/小泉八雲旧居","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度28分45.42秒東経133度2分57.94秒","北緯35度28分45.42秒東経133度2分57.94秒﻿ / ﻿北緯35.4792833度 東経133.0494278度﻿ /35.4792833; 133.0494278座標:北緯35度28分45.42秒東経133度2分57.94秒﻿ / ﻿北緯35.4792833度 東経133.0494278度﻿ /35.4792833; 133.0494278","島根県松江市北堀町315外","","","","","","","","","","","","","","","","",""
"田和山遺跡","[田和山遺跡（たわやまいせき）〔松江市〕] 田和山遺跡 （たわやまいせき）は、 島根県 松江市 にある 弥生時代 の 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/田和山遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度26分18.4秒 東経133度3分14.1秒","","","","","","","","","","","","","","","","","","",""
"丹花庵古墳","[丹花庵古墳（たんげあんこふん）〔松江市〕] 丹花庵古墳 （たんげあんこふん）は、 島根県 松江市 古曽志町にある 古墳 。 方墳 であるが、削平を受ける前は 上円下方墳 であったと思われている。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/丹花庵古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度28分57.7秒東経132度59分41.6秒","北緯35度28分57.7秒東経132度59分41.6秒﻿ / ﻿北緯35.482694度 東経132.994889度﻿ /35.482694; 132.994889座標:北緯35度28分57.7秒東経132度59分41.6秒﻿ / ﻿北緯35.482694度 東経132.994889度﻿ /35.482694; 132.994889","島根県松江市古曽志町橋南","丹花庵古墳","5世紀半ば","","","","","方墳","一辺47m　高さ3.5m","","","","国指定文化財","","","","長持型石棺","土師器、埴輪、甲冑"
"徳連場古墳 (存在しないページ)","[徳連場古墳（とくれんばこふん）〔松江市〕]","https://ja.wikipedia.org/w/index.php?title=徳連場古墳&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松江城","[松江城（まつえじょう）〔松江市〕1934年] 松江城 （まつえじょう）は、現在の 島根県 松江市 殿町に築かれた江戸時代の 日本の城 。別名・ 千鳥城 。 現存天守 は 国宝 、城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/松江城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度28分30.5秒東経133度3分2.5秒","北緯35度28分30.5秒東経133度3分2.5秒﻿ / ﻿北緯35.475139度 東経133.050694度﻿ /35.475139; 133.050694座標:北緯35度28分30.5秒東経133度3分2.5秒﻿ / ﻿北緯35.475139度 東経133.050694度﻿ /35.475139; 133.050694","","松江城","","輪郭連郭複合式平山城","1611年（慶長16年）","1871年（明治4年）","国宝（天守）国の史跡","","","千鳥城","堀尾忠氏","現存天守、石垣、堀","","堀尾氏、京極氏、松平氏","","複合式望楼型 4重5階地下1階（木造1607年築 現存）","",""
"松江藩","[松江藩主松平家墓所（まつえはんしゅまつだいらけぼしょ）〔松江市〕1996年] 松江藩 （まつえはん）は、 出雲 1国または 隠岐国 を加えた2国を領有した 藩 。藩庁は 松江城 （ 島根県 松江市 殿町 ）。藩主は 外様大名 の 堀尾家 、 京極家 と続き、 親藩 の 越前系松平家 が 廃藩置県 まで支配した。","https://ja.wikipedia.org/wiki/松江藩","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山代二子塚","[山代二子塚（やましろふたこづか）〔松江市〕] 山代二子塚 （やましろふたごづか）は、島根県 松江市 山代町 二子にある 前方後方墳 。国の 史跡 に指定  されている。","https://ja.wikipedia.org/wiki/山代二子塚","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度26分20.8秒 東経133度5分14.4秒","","","","","","","","","","","","","","","","","","",""
"山代方墳","[山代方墳（やましろほうふん）〔松江市〕] 山代方墳 （やましろほうふん）は、 島根県 松江市 山代町にある 古墳時代 後期（6世紀後半）の大型の 方墳 。 山代二子塚 の東隣にある。墳丘は、1辺約45m・高さ7mの2段築成。周囲には濠の跡があり、内部には複式構造の 横穴式石室 がある。1941年8月1日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/山代方墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度26分21秒 東経133度05分21秒","","","","","","","","","","","","","","","","","","",""
"加茂岩倉遺跡","[加茂岩倉遺跡（かもいわくらいせき）〔雲南市〕1999年1月14日] 加茂岩倉遺跡 （かもいわくらいせき）は、 島根県 雲南市 加茂町岩倉にある 弥生時代 の 遺跡 。1999年（平成11年）1月14日に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/加茂岩倉遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度21分36.5秒 東経132度53分0.6秒","","","","","","","","","","","","","","","","","","",""
"上島古墳","[上島古墳（あげしまこふん）〔出雲市〕] 上島古墳 （あげしまこふん）は、 島根県 出雲市 国富町にある 古墳 。1957年7月27日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/上島古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分24秒 東経132度48分00秒","","","","","","","","","","","","","","","","","","",""
"猪目洞窟遺物包含層","[猪目洞窟遺物包含層（いのめどうくついぶつほうがんそう）〔出雲市〕] 猪目洞窟 （いのめどうくつ）は、 島根県 出雲市 猪目町にある 洞窟 遺跡。1957年7月27日、「猪目洞窟 遺物包含層 (いのめどうくついぶつほうがんそう) 」の名で国史跡に指定された。また、2017年4月28日には、 日本遺産 「日が沈む聖地出雲～神が創り出した地の夕日を巡る～」の構成文化財にも選定されている。","https://ja.wikipedia.org/wiki/猪目洞窟遺物包含層","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度26分31秒 東経132度42分30秒","","","","","","","","","","","","","","","","","","",""
"今市大念寺古墳","[今市大念寺古墳（いまいちだいねんじこふん）〔出雲市〕] 今市大念寺古墳 （いまいちだいねんじこふん）は、 島根県 出雲市 今市町鷹の沢にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され、出土品は出雲市指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/今市大念寺古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度21分47.24秒東経132度45分53.15秒","北緯35度21分47.24秒東経132度45分53.15秒﻿ / ﻿北緯35.3631222度 東経132.7647639度﻿ /35.3631222; 132.7647639座標:北緯35度21分47.24秒東経132度45分53.15秒﻿ / ﻿北緯35.3631222度 東経132.7647639度﻿ /35.3631222; 132.7647639","島根県出雲市今市町鷹の沢","今市大念寺古墳","6世紀後半","","","","","前方後円墳","墳丘長92m高さ7m（後円部）","","","","国の史跡「今市大念寺古墳」","","","","両袖式複室横穴式石室（内部に家形石棺1基、組合式石棺1基）","金銅製履・鉄製武具・馬具・埴輪など"
"田儀櫻井家たたら製鉄遺跡 (存在しないページ)","[田儀櫻井家たたら製鉄遺跡（たぎさくらいけたたらせいてついせき）〔出雲市〕]","https://ja.wikipedia.org/w/index.php?title=田儀櫻井家たたら製鉄遺跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西谷墳墓群","[西谷墳墓群（にしだにふんぼぐん）〔出雲市〕1999年11月19日] 西谷墳墓群 （にしだにふんぼぐん）は、 島根県 出雲市 大津町字西谷にある 弥生時代 後期から 古墳時代 前期の墳墓群。国の 史跡 。","https://ja.wikipedia.org/wiki/西谷墳墓群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度21分31.01秒東経132度46分48.69秒","北緯35度21分31.01秒東経132度46分48.69秒﻿ / ﻿北緯35.3586139度 東経132.7801917度﻿ /35.3586139; 132.7801917","島根県出雲市大津町字西谷","","2世紀末～3世紀","","","","","四隅突出墓等","一辺60m（9号墓）","","","","国指定","","","","","弥生土器、鉄剣、ガラス玉等"
"鰐淵寺","[鰐淵寺境内（がくえんじけいだい）〔出雲市〕2016年3月1日] 鰐淵寺 （がくえんじ）は、 島根県 出雲市 別所町にある 天台宗 の 寺院 。山号は浮浪山。 中国観音霊場 第25番札所、 出雲観音霊場 第3番札所、 出雲國神仏霊場 第2番札所。開山は 智春上人 、 本尊 は 千手観世音菩薩 と 薬師如来 の二体。","https://ja.wikipedia.org/wiki/鰐淵寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度25分23.7秒東経132度44分57.8秒","北緯35度25分23.7秒東経132度44分57.8秒﻿ / ﻿北緯35.423250度 東経132.749389度﻿ /35.423250; 132.749389座標:北緯35度25分23.7秒東経132度44分57.8秒﻿ / ﻿北緯35.423250度 東経132.749389度﻿ /35.423250; 132.749389","島根県出雲市別所町148","","","","","","","","","","","","","","5280005003379","","",""
"羅漢寺 (大田市)","[羅漢寺五百羅漢〔大田市〕] 羅漢寺 （らかんじ）は 島根県 大田市 大森町 羅漢町にある 高野山真言宗 の寺院である。本尊は阿弥陀如来。 山号 は石室山。 1764年 （ 明和 元年）に 月海浄印 によって創建された。","https://ja.wikipedia.org/wiki/羅漢寺_(大田市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","島根県大田市大森町羅漢町イ804","","","","","","","","","","","","","","2280005003811","","",""
"浜田市","[石見国分寺跡（いわみこくぶんじあと）〔浜田市〕] 浜田市 （はまだし）は、 島根県 の西部、 日本海 に面した 市 。","https://ja.wikipedia.org/wiki/浜田市","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度53分57.2秒東経132度4分47.4秒","","〒697-8501島根県浜田市殿町1番地北緯34度53分57.2秒東経132度4分47.4秒﻿ / ﻿北緯34.899222度 東経132.079833度﻿ /34.899222; 132.079833市庁舎位置","","","","","","","","","","","","","","3000020322024","","",""
"周布古墳 (存在しないページ)","[周布古墳（すふこふん）〔浜田市〕]","https://ja.wikipedia.org/w/index.php?title=周布古墳&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"医光寺","[医光寺庭園（いこうじていえん）〔益田市〕] 医光寺 （いこうじ）は、 島根県 益田市 染羽町 にある 臨済宗東福寺派 の寺院。山号は滝蔵山。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/医光寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分48.0秒東経131度51分56.5秒","北緯34度40分48.0秒東経131度51分56.5秒﻿ / ﻿北緯34.680000度 東経131.865694度﻿ /34.680000; 131.865694","益田市染羽町4-29","","","","","","","","","","","","","","2280005005262","","",""
"スクモ塚古墳","[スクモ塚古墳（すくもづかこふん）〔益田市〕] スクモ塚古墳 （すくもづかこふん）は、 1939年 （ 昭和 14年）に発見された 島根県 益田市 久城町にある 古墳 。 須久茂塚古墳 とも。","https://ja.wikipedia.org/wiki/スクモ塚古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度42分4.09秒東経131度50分54.21秒","北緯34度42分4.09秒東経131度50分54.21秒﻿ / ﻿北緯34.7011361度 東経131.8483917度﻿ /34.7011361; 131.8483917","島根県益田市久城町字須久茂塚","","5世紀頃","","","","","前方後円墳または円墳","全長100m、高さ7m","","","","1941年（昭和16年）国指定","","","","",""
"益田氏城館跡 (存在しないページ)","[益田氏城館跡（ますだしじょうかんあと）〔益田市〕 -七尾城・三宅御土居]","https://ja.wikipedia.org/w/index.php?title=益田氏城館跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"萬福寺 (益田市)","[万福寺庭園（まんぷくじていえん） 〔益田市〕] 萬福寺 （まんぷくじ）は、 島根県 益田市 にある 時宗 の益田道場である寺院。山号は清瀧山。","https://ja.wikipedia.org/wiki/萬福寺_(益田市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分43.0秒東経131度51分36.1秒","北緯34度40分43.0秒東経131度51分36.1秒﻿ / ﻿北緯34.678611度 東経131.860028度﻿ /34.678611; 131.860028座標:北緯34度40分43.0秒東経131度51分36.1秒﻿ / ﻿北緯34.678611度 東経131.860028度﻿ /34.678611; 131.860028","島根県益田市東町25-33","","","","","","","","","","","","","","4280005005310","","",""
"津和野城","[津和野城跡（つわのじょうあと）〔鹿足郡津和野町〕1942年] 津和野城 （つわのじょう）は、 島根県 鹿足郡 津和野町 後田にある 日本の城 。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/津和野城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度27分37秒東経131度45分51秒","北緯34度27分37秒東経131度45分51秒﻿ / ﻿北緯34.46028度 東経131.76417度﻿ /34.46028; 131.76417","","津和野城","","連郭式山城","永仁3年（1295年）","明治4年（1871年）","国の史跡","","","一本松城、三本松城、石蕗城","吉見頼行","櫓2棟、石垣、空堀","","吉見氏、坂崎氏、亀井氏","","","",""
"西周 (啓蒙家)","[西周旧居（にしあまねきゅうきょ）〔鹿足郡津和野町〕1987年] 石見国 津和野藩 （現、 島根県 津和野町 ）の御 典医 の家柄。幼名、経太郎。父・ 西時義 （旧名・森覚馬）は 森高亮 の次男で、川向いには西周の従甥（森高亮の曾孫）にあたる 森鷗外 の生家がある。西の生家では、彼がこもって勉学に励んだという 蔵 が保存されている。","https://ja.wikipedia.org/wiki/西周_(啓蒙家)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"森鷗外","[森鷗外旧宅（もりおうがいきゅうたく）〔鹿足郡津和野町〕1969年] 森 鷗外 （もり おうがい、 文久 2年 1月19日  〈 1862年 2月17日   〉 - 1922年 〈 大正 11年〉 7月9日 ）は、 日本 の 明治 ・大正期の 小説家 、 評論家 、 翻訳家 、 陸軍 軍医 （ 軍医総監 ＝ 中将 相当）、 官僚 （ 高等官 一等）。 位階 勲等 は 従二位 ・ 勲一等 ・ 功三級 、 医学博士 、 文学博士 。本名は 森 林太郎 （もり りんたろう）。","https://ja.wikipedia.org/wiki/森鷗外","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蒲生峠","[蒲生峠越（がもうとうげごえ）] 蒲生峠 （がもうとうげ）は、 兵庫県 と 鳥取県 とを結ぶ 峠 。旧 山陰道 の途上にあり、「山陰道 蒲生峠越」として国の 史跡 に指定されている。いまは 国道9号 が峠下のトンネルで通過している  。","https://ja.wikipedia.org/wiki/蒲生峠","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度31分07秒東経134度24分50秒","","日本兵庫県美方郡新温泉町鳥取県岩美郡岩美町","","","","","","","","","","","","","","","","",""
"野坂峠","[野坂峠越（のさかとうげごえ）] 野坂峠 （のさかとうげ）とは、 島根県 津和野町 から 山口県 山口市 へ至る 峠 である。","https://ja.wikipedia.org/wiki/野坂峠","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度26分7.7秒東経131度45分58.6秒","","島根県津和野町・山口県山口市野坂峠-地理院地図野坂峠-Google マップ","","","","","","","","","","","","","","","","",""
"隠岐国分寺","[隠岐国分寺境内（おきこくぶんじけいだい）〔隠岐郡隠岐の島町〕] 隠岐国分寺 （おきこくぶんじ）は、 島根県 隠岐郡 隠岐の島町 池田にある 東寺真言宗 の 寺院 。 山号 は禅尾山。 本尊 は 釈迦如来 。","https://ja.wikipedia.org/wiki/隠岐国分寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯36度13分27.65秒東経133度18分26.52秒","北緯36度13分27.65秒東経133度18分26.52秒﻿ / ﻿北緯36.2243472度 東経133.3073667度﻿ /36.2243472; 133.3073667﻿ (隠岐国分寺)座標:北緯36度13分27.65秒東経133度18分26.52秒﻿ / ﻿北緯36.2243472度 東経133.3073667度﻿ /36.2243472; 133.3073667﻿ (隠岐国分寺)","島根県隠岐郡隠岐の島町池田風呂前5番地","","","","","","","","","","","","","","5280005005680","","",""
"閑谷学校","[旧閑谷学校附 椿山 石門津田永忠宅跡及び黄葉亭（きゅうしずたにがっこう つけたり つばきやま せきもん つだながただたくあと および こうようてい）〔備前市閑谷〕] 閑谷学校 （しずたにがっこう）は、 江戸時代 前期に 岡山藩 によって開かれた庶民のための学校。所在地は 岡山県 備前市 閑谷。「旧閑谷学校」として 特別史跡 に指定され、講堂は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/閑谷学校","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度47分47.0秒東経134度13分10.2秒","","岡山県備前市","","","","","","","","","","","","","","","","",""
"鶴山丸山古墳 (存在しないページ)","[鶴山丸山古墳（つるやままるやまこふん）〔備前市〕]","https://ja.wikipedia.org/w/index.php?title=鶴山丸山古墳&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"門田貝塚","[門田貝塚（かどたかいづか）〔瀬戸内市〕] 本貝塚は、 吉井川 東岸に位置し、吉井川の形成した 自然堤防 上にある。 1933年 （ 昭和 8年）地元の郷土史家・長瀬薫により確認された。1950年（昭和25年）以来、研究者による 発掘調査 が行われていた。 1962年 （昭和37年）より 邑久町 教育委員会による調査が行われ、 1966年 （昭和41年）には岡山県教育委員会による発掘調査が行われた。","https://ja.wikipedia.org/wiki/門田貝塚","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分0.4秒 東経134度5分40.7秒","","","","","","","","","","","","","","","","","","",""
"寒風古窯跡群","[寒風古窯跡群（さぶかぜこようせきぐん）〔瀬戸内市〕] 寒風古窯跡群 （さぶかぜこようせきぐん）は、 岡山県 瀬戸内市 牛窓町 長浜にある 須恵器 窯の遺跡。国の 史跡 。","https://ja.wikipedia.org/wiki/寒風古窯跡群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度39分16.4秒 東経134度8分14.0秒","","","","","","","","","","","","","","","","","","",""
"福禅寺 (福山市)","[鞆福禅寺境内（ともふくぜんじけいだい）〔広島県福山市〕] 福禅寺 （ふくぜんじ）は、 広島県 福山市 にある 真言宗大覚寺派 の 仏教 寺院 。山号は海岸山、院号は千手院。境内は「 朝鮮通信使遺跡 鞆福禅寺境内」として国の 史跡 に指定  されている。","https://ja.wikipedia.org/wiki/福禅寺_(福山市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度22分59.08秒東経133度23分0.1秒","北緯34度22分59.08秒東経133度23分0.1秒﻿ / ﻿北緯34.3830778度 東経133.383361度﻿ /34.3830778; 133.383361﻿ (福禅寺 (福山市))座標:北緯34度22分59.08秒東経133度23分0.1秒﻿ / ﻿北緯34.3830778度 東経133.383361度﻿ /34.3830778; 133.383361﻿ (福禅寺 (福山市))","広島県福山市鞆町鞆2","","","","","","","","","","","","","","8240005008486","","",""
"本蓮寺","[牛窓本蓮寺境内（うしまどほんれんじけいだい）〔岡山県瀬戸内市〕] 本蓮寺 （ほんれんじ）は、 岡山県 瀬戸内市 牛窓町 にある 仏教 寺院。山号は経王山、大本山本興寺末。宗派は 法華宗本門流 である。境内は 朝鮮通信使 遺跡として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/本蓮寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度37分0.23秒東経134度9分50.63秒","北緯34度37分0.23秒東経134度9分50.63秒﻿ / ﻿北緯34.6167306度 東経134.1640639度﻿ /34.6167306; 134.1640639","岡山県瀬戸内市牛窓町牛窓3194","","","","","","","","","","","","","","5260005007902","","",""
"清見寺","[興津清見寺境内（おきつせいけんじけいだい）〔静岡県静岡市〕] 清見寺 （せいけんじ）は、 静岡市 清水区 興津 にある 臨済宗 妙心寺派の 寺院 。 山号 は巨鼇山（こごうさん）、正式には「巨鼇山 清見興国禅寺」（こごうさん せいけんこうこくぜんじ）と称する。","https://ja.wikipedia.org/wiki/清見寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度2分51.45秒東経138度30分47.15秒","北緯35度2分51.45秒東経138度30分47.15秒﻿ / ﻿北緯35.0476250度 東経138.5130972度﻿ /35.0476250; 138.5130972座標:北緯35度2分51.45秒東経138度30分47.15秒﻿ / ﻿北緯35.0476250度 東経138.5130972度﻿ /35.0476250; 138.5130972","静岡市清水区興津清見寺町418-1","","","","","","","","","","","","","","7080005003422","","",""
"熊山遺跡","[熊山遺跡（くまやまいせき）〔赤磐市〕] 熊山遺跡 （くまやまいせき）は 岡山県 赤磐市 の熊山山上にある 仏教遺跡 。国の 史跡 。","https://ja.wikipedia.org/wiki/熊山遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度45分13.85秒 東経134度7分15.5秒","","","","","","","","","","","","","","","","","","",""
"備前国分寺跡","[備前国分寺跡（びぜんこくぶんじあと）〔赤磐市〕] 備前国分寺跡 （びぜんこくぶんじあと）は、 岡山県 赤磐市 馬屋（まや）にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/備前国分寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"両宮山古墳","[両宮山古墳（りょうぐうざんこふん）〔赤磐市〕] 両宮山古墳 （りょうぐうざんこふん）は、 岡山県 赤磐市 穂崎・和田にある 古墳 。形状は 前方後円墳 。 両宮山古墳群（西高月古墳群） を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/両宮山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度44分23.20秒東経134度0分9.36秒","北緯34度44分23.20秒東経134度0分9.36秒﻿ / ﻿北緯34.7397778度 東経134.0026000度﻿ /34.7397778; 134.0026000座標:北緯34度44分23.20秒東経134度0分9.36秒﻿ / ﻿北緯34.7397778度 東経134.0026000度﻿ /34.7397778; 134.0026000","岡山県赤磐市穂崎・和田","両宮山古墳作山古墳造山古墳　","5世紀後半","","","","","前方後円墳","墳丘長206m","","","","国の史跡「両宮山古墳」","","","","不明",""
