"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","文化財","法人番号","山号","創建年","宗派","本尊","開基","寺格","正式名","札所等","公式HP","面積","分類","開山","公式サイト","運営者","駐車場"
"玉泉園","[玉泉園庭園（石川県金沢市）] 玉泉園 （ぎょくせんえん）は、 石川県 金沢市 に所在する池泉 回遊式庭園 である。園内には金沢最古の茶室・灑雪亭（さいせつてい）や 裏千家 寒雲亭 の写しの茶室がある。","https://ja.wikipedia.org/wiki/玉泉園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯36度33分50.0秒 東経136度39分50.5秒","","","","","","","","","","","","","","","","","","",""
"養浩館庭園","[養浩館庭園（福井県福井市）] 養浩館庭園 （ようこうかんていえん）は、 福井県 福井市 宝永 3丁目にある 日本庭園 （ 大名庭園 ）。国の 名勝 に指定  されている。","https://ja.wikipedia.org/wiki/養浩館庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯36度4分6.6秒 東経136度13分27.9秒","日本福井県福井市宝永3丁目11-36","","","","","","","","","","","","","総面積 約9,500m2","回遊式林泉庭園","","","","普通乗用車、バス"
"西福寺 (敦賀市)","[西福寺庭園（福井県敦賀市）] 西福寺 （さいふくじ）は、 福井県 敦賀市 にある 浄土宗 の 寺院 。山号は大原山。本尊は 阿弥陀三尊 （ 阿弥陀如来 ・ 観音菩薩 ・ 勢至菩薩 ）。 名勝 の書院庭園が有名。","https://ja.wikipedia.org/wiki/西福寺_(敦賀市)","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度39分25秒東経136度1分55.6秒","〒914-0824 福井県敦賀市原13-7","北緯35度39分25秒東経136度1分55.6秒﻿ / ﻿北緯35.65694度 東経136.032111度﻿ /35.65694; 136.032111座標:北緯35度39分25秒東経136度1分55.6秒﻿ / ﻿北緯35.65694度 東経136.032111度﻿ /35.65694; 136.032111","書院庭園（国の名勝）御影堂、阿弥陀堂、書院及び庫裏、絹本著色観経変相曼荼羅図、西福寺一切経勧進経25巻ほか（重要文化財）","4210005006109","大原山","応安元年1368年","浄土宗鎮西派","阿弥陀三尊","後光厳天皇（勅願）、良如（開山）","中本山","","","","","","","","",""
"青岸寺","[青岸寺庭園（滋賀県米原市）] 青岸寺 （せいがんじ）は、 滋賀県 米原市 の太尾山西麓にある 曹洞宗 の 仏教 寺院 である。 山号は吸湖山、 近江湖北二十七名刹 第27番札所、 近江七福神 （福禄寿）。境内にある築山林泉式 枯山水 庭園「 青岸寺庭園 」で知られる。","https://ja.wikipedia.org/wiki/青岸寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度18分53秒東経136度17分43秒","滋賀県米原市米原669","北緯35度18分53秒東経136度17分43秒﻿ / ﻿北緯35.31461度 東経136.29536度﻿ /35.31461; 136.29536座標:北緯35度18分53秒東経136度17分43秒﻿ / ﻿北緯35.31461度 東経136.29536度﻿ /35.31461; 136.29536","庭園（名勝）、木造聖観音菩薩坐像（滋賀県指定文化財）、木造十一面観音菩薩立像（米原市指定文化財）","1160005003881","吸湖山","室町時代初期","曹洞宗","聖観音菩薩","佐々木道誉","","","近江湖北二十七名刹 第27番","","","","","","",""
"真宗大谷派長浜別院大通寺","[大通寺含山軒庭園、蘭亭庭園 （滋賀県長浜市）] 真宗大谷派長浜別院大通寺 （しんしゅうおおたにはながはまべついんだいつうじ）は、 滋賀県 長浜市 にある 真宗大谷派 の 寺院 である。同派の 別院 。 真宗本廟（東本願寺） を 本山 と仰ぐ。本尊は 阿弥陀如来 。山号は「 無礙智山 」（むげちざん）。別名は「 長浜御坊 」（ながはまごぼう）で、地元では「 御坊さん 」（ごぼうさん、またはごぼさん）と呼ばれる  。「 長浜別院 」、「 大通寺 」と略称される。","https://ja.wikipedia.org/wiki/真宗大谷派長浜別院大通寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度23分0.58秒東経136度16分8.89秒","滋賀県長浜市元浜町32-9","北緯35度23分0.58秒東経136度16分8.89秒﻿ / ﻿北緯35.3834944度 東経136.2691361度﻿ /35.3834944; 136.2691361座標:北緯35度23分0.58秒東経136度16分8.89秒﻿ / ﻿北緯35.3834944度 東経136.2691361度﻿ /35.3834944; 136.2691361","本堂、大広間、客殿（重要文化財）含山軒及び蘭亭庭園（名勝）","8160005003842","無礙智山","慶長7年（1602年）","真宗大谷派","阿弥陀如来","教如","別院","","","長浜別院 大通寺","","","","","",""
"玄宮園","[玄宮園（滋賀県彦根市）] 玄宮園 （げんきゅうえん）は、 滋賀県 彦根市 にある旧 大名庭園 。国の 特別史跡 「 彦根城跡 」の区域、および隣接する 楽々園 とともに「 玄宮楽々園 」として国の 名勝 に指定されている。 2015年 （平成27年） 4月24日 、「琵琶湖とその水辺景観－ 祈りと暮らしの水遺産 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/玄宮園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度16分43秒 東経136度15分12秒","","","","","","","","","","","","","","","","","","",""
"居初氏庭園","[居初氏庭園（滋賀県大津市）] 居初氏庭園 （いそめしていえん）は 滋賀県 大津市 堅田 の 琵琶湖 畔にある 日本庭園 。園内にある書院「 天然図画亭 」（てんねんずえてい）から、 天然図画亭庭園 とも呼ばれる。国指定の 名勝 。","https://ja.wikipedia.org/wiki/居初氏庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度6分50.2秒 東経135度55分21.2秒","","","","","","","","","","","","","","","","","","",""
"桂離宮","[桂離宮（京都府京都市西京区）] 桂離宮 （かつらりきゅう）は、 京都市 西京区 桂にある皇室関連施設  。江戸時代の17世紀に皇族の 八条宮 の別邸として創設された建築群と庭園からなる。総面積は付属地を含め約6万9千平方メートルで、うち庭園部分は約5万8千平方メートルである  。 離宮 とは 皇居 とは別に設けた 宮殿 の意であるが、「桂離宮」と称するのは明治16年（1883年）に宮内省所管となってからで、それ以前は「桂別業」などと呼ばれていた  。 江戸時代 初期の造営当初の 庭園 と 建築 物を遺しており、当時の朝廷文化の粋を今に伝えている。回遊式の庭園は 日本庭園 の傑作とされる。また、建築物のうち書院は 書院造 を基調に数寄屋風を採り入れている。庭園には茶屋が配されている。現在は 宮内庁 京都事務所により管理されている。創建以来火災に遭うこともなく、ほぼ完全に創建当時の姿を今日に伝えている。昭和39年（1964年）に農地7千平方メートルを買い上げ景観保持の備えにも万全を期している。","https://ja.wikipedia.org/wiki/桂離宮","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度59分2.4秒 東経135度42分34.4秒","日本京都府京都市西京区桂御園","","文化財保護法対象外※皇室財産であるため","","","","","","","","","","","","","","","",""
"修学院離宮","[修学院離宮（京都府京都市左京区）] 修学院離宮 （しゅがくいんりきゅう）は 京都市 左京区 修学院 の 比叡山 麓にある皇室関連施設。 17世紀 中頃（ 1653年 （ 承応 2年） - 1655年 （承応4年））に 後水尾上皇 の指示で造営された離宮（皇居以外に設けられた天皇や上皇の別邸）である。谷川を堰き止めた人工池を中心とした広大な庭園とその関連建物からなる。 桂離宮 ・ 仙洞御所 とならび、王朝文化の 美意識 の到達点を示すものとなっている。 宮内庁 京都事務所 が管理している。","https://ja.wikipedia.org/wiki/修学院離宮","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度03分13秒 東経135度48分06秒","","","","","","","","","","","","","","","","","","",""
"醍醐寺","[醍醐寺三宝院（京都府京都市伏見区）] 醍醐寺 （だいごじ）は、 京都市 伏見区 醍醐東大路町にある 真言宗醍醐派 総本山の寺院。 山号 を醍醐山（深雪山とも）と称し、 本尊 は 薬師如来 。上醍醐の准胝堂（じゅんていどう）は、 西国三十三所観音霊場 第11番札所で本尊は 准胝観世音菩薩 。京都市街の南東に広がる醍醐山（笠取山）に200万坪以上の広大な境内を持ち、 国宝 や 重要文化財 を含む約15万点の寺宝を所蔵する  。 豊臣秀吉 による「 醍醐の花見 」が行われた地としても知られている。 古都京都の文化財 として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/醍醐寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度57分5.4秒東経135度49分18.4秒","京都府京都市伏見区醍醐東大路町22","北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778座標:北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778","醍醐寺境内（史跡）金堂、五重塔、木造薬師如来及両脇侍像ほか（国宝）清滝宮本殿、絹本著色阿弥陀三尊像、木造薬師如来及両脇侍像ほか（重要文化財）三宝院庭園（特別史跡、特別名勝）世界遺産","6130005002163","醍醐山深雪山（上醍醐寺）","貞観16年（874年）","真言宗醍醐派","薬師如来（重要文化財）","","総本山","","西国三十三所第11番（上醍醐）真言宗十八本山第12番近畿三十六不動尊霊場第23番（上醍醐）西国薬師四十九霊場第39番役行者霊蹟札所神仏霊場巡拝の道第126番（京都第46番）","","","","聖宝","","",""
"西本願寺","[西本願寺書院 （京都府京都市下京区）] 西本願寺 （にしほんがんじ）は、 京都市 下京区 にある 仏教 寺院 。 浄土真宗本願寺派 の 本山 である。 山号 は龍谷山（りゅうこくざん）。正式名称は 龍谷山 本願寺 、 宗教法人 としての名称は 本願寺 である。本願寺 住職 が 浄土真宗本願寺派 の 門主 となる。 真宗大谷派 の本山である 「東本願寺」（正式名称「真宗本廟」） と区別するため、両派の本山は通称で呼ばれることが多い。京都市民からは お西さん の愛称でも親しまれている。","https://ja.wikipedia.org/wiki/西本願寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度59分31.37秒東経135度45分5.8秒","京都府京都市下京区堀川通花屋町下ル門前町60","北緯34度59分31.37秒東経135度45分5.8秒﻿ / ﻿北緯34.9920472度 東経135.751611度﻿ /34.9920472; 135.751611座標:北緯34度59分31.37秒東経135度45分5.8秒﻿ / ﻿北緯34.9920472度 東経135.751611度﻿ /34.9920472; 135.751611","書院、飛雲閣、他(国宝)絹本著色聖徳太子像、他(重要文化財)他","1130005000477","龍谷山豅山","大谷本願寺-元亨元年（1321年）西本願寺 -天正19年（1591年）","浄土真宗本願寺派","阿弥陀如来","大谷本願寺 -本願寺第3世・覚如西本願寺 -本願寺第11世・顕如","本山","龍谷山本願寺","","お西さん（西本願寺）ホームページ","","","","","",""
"二条城","[二条城二の丸御殿庭園 （京都府京都市中京区）] 二条城 （にじょうじょう）は、 京都市 中京区 二条通 堀川 西入二条城町（かつての 山城国 葛野郡 ）にある、 江戸時代 に造営された 日本の城 。正式名称は 元離宮二条城 （もとりきゅうにじょうじょう）。京都市街の中にある 平城 で、後述する足利氏・織田氏・豊臣氏・徳川氏によるものがあるが、現存する 城 は 徳川氏 によるものである。また、後の近代において二条城は京都府の府庁や 皇室 の 離宮 として使用された後、 1939年 （昭和14年） 京都市 に 恩賜 され現在に至る。 城内全体が国の 史跡 に指定されている他、二の丸御殿（6棟）が 国宝 に、22棟の建造物と二の丸御殿の障壁画計1016面が 重要文化財 に、二の丸御殿庭園が 特別名勝 に指定されている。さらに 1994年 （平成6年）には ユネスコ の 世界遺産 （ 世界文化遺産 ）に「 古都京都の文化財 」として登録されている。","https://ja.wikipedia.org/wiki/二条城","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分50.96秒東経135度44分51.0秒","","北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500座標:北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500","","","","","","","","","","","","","","","","",""
"南禅寺","[南禅寺方丈 （京都府京都市左京区）] 南禅寺 （なんぜんじ）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 大本山 の 寺院 。 山号 は瑞龍山、正式には 太平興国南禅禅寺 （たいへいこうこくなんぜんぜんじ）と号する。 開山 は 無関普門 （大明国師）。 開基 は 亀山法皇 。日本最初の 勅願禅寺 であり、 京都五山 および 鎌倉五山 の上に置かれる別格扱いの寺院で、日本の全ての 禅寺 の中で最も高い格式を持つ。","https://ja.wikipedia.org/wiki/南禅寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分43.14秒東経135度47分39.8秒","京都府京都市左京区南禅寺福地町86","北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389座標:北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389","方丈、亀山天皇宸翰禅林寺御祈願文案（国宝）三門、勅使門、絹本著色大明国師像ほか（重要文化財）境内（国の史跡）方丈庭園（国の名勝）","2130005001094","瑞龍山","正応4年（1291年）","臨済宗南禅寺派","釈迦如来","亀山法皇","大本山京都五山および鎌倉五山の別格上位","瑞龍山 太平興国南禅禅寺","","臨済宗大本山 南禅寺 公式サイト","","","無関普門（大明国師）","","",""
"南禅寺","[南禅寺金地院（京都府京都市左京区）] 南禅寺 （なんぜんじ）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 大本山 の 寺院 。 山号 は瑞龍山、正式には 太平興国南禅禅寺 （たいへいこうこくなんぜんぜんじ）と号する。 開山 は 無関普門 （大明国師）。 開基 は 亀山法皇 。日本最初の 勅願禅寺 であり、 京都五山 および 鎌倉五山 の上に置かれる別格扱いの寺院で、日本の全ての 禅寺 の中で最も高い格式を持つ。","https://ja.wikipedia.org/wiki/南禅寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分43.14秒東経135度47分39.8秒","京都府京都市左京区南禅寺福地町86","北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389座標:北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389","方丈、亀山天皇宸翰禅林寺御祈願文案（国宝）三門、勅使門、絹本著色大明国師像ほか（重要文化財）境内（国の史跡）方丈庭園（国の名勝）","2130005001094","瑞龍山","正応4年（1291年）","臨済宗南禅寺派","釈迦如来","亀山法皇","大本山京都五山および鎌倉五山の別格上位","瑞龍山 太平興国南禅禅寺","","臨済宗大本山 南禅寺 公式サイト","","","無関普門（大明国師）","","",""
"大徳寺","[大徳寺方丈 （京都府京都市北区）] 大徳寺 （だいとくじ、旧字体：大德寺）は、 京都府 京都市 北区 紫野大徳寺町にある 寺院 で、 臨済宗 大徳寺派の大本山である。山号は龍宝山（りゅうほうざん）。本尊は 釈迦如来 。開基（創立者）は大燈国師 宗峰妙超 で、 正中 2年（ 1325年 ）に正式に創立されている。","https://ja.wikipedia.org/wiki/大徳寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分38.10秒東経135度44分45.89秒","京都府京都市北区紫野大徳寺町53","北緯35度2分38.10秒東経135度44分45.89秒﻿ / ﻿北緯35.0439167度 東経135.7460806度﻿ /35.0439167; 135.7460806","方丈、唐門、絹本墨画淡彩観音猿鶴図ほか（国宝）勅使門、山門、仏殿、法堂、木造大燈国師坐像ほか（重要文化財）方丈庭園（非公開）（史跡・特別名勝）","3130005001234","龍宝山","正中2年（1325年）","臨済宗大徳寺派","釈迦如来","宗峰妙超","大本山京都五山→林下","龍宝山大徳寺","","","","","","","",""
"詩仙堂","[詩仙堂（京都府京都市左京区）] 詩仙堂 （しせんどう）は、 京都市 左京区 にある、江戸時代初期の文人 石川丈山 の山荘跡。国の 史跡 に指定されている。現在は 曹洞宗 の 寺院 でもあり 丈山寺 という。","https://ja.wikipedia.org/wiki/詩仙堂","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分37.39秒東経135度47分46.06秒","京都府京都市左京区一乗寺門口町27","北緯35度2分37.39秒東経135度47分46.06秒﻿ / ﻿北緯35.0437194度 東経135.7961278度﻿ /35.0437194; 135.7961278","","5130005002387","六六山","寛永18年（1641年）","曹洞宗","","石川丈山","","六六山 詩仙堂 丈山寺 凹凸窠","","","","","","","",""
"円通寺 (京都市左京区)","[円通寺（京都府京都市左京区）] 圓通寺 （えんつうじ）は 京都市 左京区 岩倉 幡枝町 にある 臨済宗妙心寺派 の仏教寺院。 山号 は大悲山。","https://ja.wikipedia.org/wiki/円通寺_(京都市左京区)","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度3分52.2秒東経135度46分8.2秒","京都府京都市左京区岩倉幡枝町389","北緯35度3分52.2秒東経135度46分8.2秒﻿ / ﻿北緯35.064500度 東経135.768944度﻿ /35.064500; 135.768944座標:北緯35度3分52.2秒東経135度46分8.2秒﻿ / ﻿北緯35.064500度 東経135.768944度﻿ /35.064500; 135.768944","庭園（国の名勝）、霊元天皇宸翰消息（重要文化財）","9130005001138","大悲山","","臨済宗妙心寺派","聖観音","圓光院殿瑞雲文英尼大師（文英尼）","","","","","","","","","",""
"松花堂","[松花堂庭園（京都府八幡市）] 松花堂 （しょうかどう）は、 江戸時代 初期の僧侶（ 石清水八幡宮 の 社僧 ）で文化人であった 松花堂昭乗 がその晩年の 寛永 14年（ 1637年 ）に構えた 草庵 の名称である。現在の 京都府 八幡市 、 石清水八幡宮 のある 男山 の東麓に泉坊という 宿坊 があり、その中にこの草庵があった。","https://ja.wikipedia.org/wiki/松花堂","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度52分46.5秒 東経135度42分6.4秒","","","","","","","","","","","","","","","","","","",""
"根来寺","[根来寺庭園（和歌山県岩出市）] 根来寺 （ 根來寺 ）（ねごろじ）は、 和歌山県 岩出市 にある 新義真言宗 の 総本山 の 寺院 。 山号 は一乗山。詳しくは一乗山大伝法院根来寺と称する。 本尊 は 大日如来 ・ 金剛薩埵 ・ 尊勝仏頂 の三尊  。 開山 は 覚鑁 （興教大師）である。","https://ja.wikipedia.org/wiki/根来寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度17分14秒東経135度19分0秒","和歌山県岩出市根来2286","北緯34度17分14秒東経135度19分0秒﻿ / ﻿北緯34.28722度 東経135.31667度﻿ /34.28722; 135.31667座標:北緯34度17分14秒東経135度19分0秒﻿ / ﻿北緯34.28722度 東経135.31667度﻿ /34.28722; 135.31667","大塔（国宝）大日如来坐像・金剛薩埵坐像・尊勝仏頂坐像、大師堂、大伝法堂ほか（重要文化財）根来寺庭園（国の名勝）根来寺境内（国の史跡）","4170005002962","一乗山","大治5年（1130年）","新義真言宗","大日如来・金剛薩埵・尊勝仏頂","","総本山","一乗山 大伝法院 根来寺","真言宗十八本山第17番近畿三十六不動尊霊場第34番紀伊之国十三仏霊場第1番神仏霊場巡拝の道第9番（和歌山第9番）役行者霊蹟札所","新義真言宗 総本山 根來寺(根来寺) 公式ホームページ","","","覚鑁（興教大師）","","",""
"和歌山城西之丸庭園","[和歌山城西之丸庭園（紅葉渓庭園） （和歌山県和歌山市）] 和歌山城西之丸庭園 （わかやまじょうにしのまるていえん）は 和歌山県 和歌山市 の国の 史跡 和歌山城 内にある 日本庭園 。通称は 紅葉渓庭園 （もみじだにていえん）で、その名の通り庭園内には 紅葉 が繁茂する。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/和歌山城西之丸庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度13分43.4秒 東経135度10分14.7秒","","","","","","","","","","","","","","","","","","",""
"養翠園","[養翠園（和歌山県和歌山市）] 養翠園 （ようすいえん）は、 和歌山県 和歌山市 にある 池泉回遊式 の 日本庭園 。 公家 の 三条公修 （ 三条実美 の祖父）が命名した。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/養翠園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度11分38秒 東経135度09分08秒","","","","","","","","","","","","","","","","","","",""
"観音院","[観音院庭園 （鳥取県鳥取市）] 観音院 （かんのんいん）は 鳥取県 鳥取市 にある 天台宗 の 寺 。詳しくは、補陀落山 慈眼寺 観音院（ふだらくさん じげんじ かんのんいん）と号する。本尊は 聖観世音菩薩 。境内にある 日本庭園 は 江戸時代 初期を代表する名園、 観音院庭園 として広く知られる。","https://ja.wikipedia.org/wiki/観音院","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度29分45.92秒東経134度14分29.58秒","鳥取県鳥取市上町162","北緯35度29分45.92秒東経134度14分29.58秒﻿ / ﻿北緯35.4960889度 東経134.2415500度﻿ /35.4960889; 134.2415500","庭園（国名勝）","1270005000587","補陀落山","江戸時代初期（1630年代前半）","天台宗","聖観音","宣伝","","補陀落山 慈眼寺 観音院","中国三十三観音32番因幡観音霊場1番鳥取藩主池田家祈願所八ケ寺","","","","","","",""
"徳島城","[徳島城旧徳島城表御殿庭園（千秋閣庭園） （徳島県徳島市）] 徳島城 （とくしまじょう）は、 徳島県 徳島市 徳島町 にあった 日本の城 。城跡は国指定の 史跡 、 名勝 （ 表御殿庭園 ）になっている。","https://ja.wikipedia.org/wiki/徳島城","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度4分30.69秒東経134度33分18.99秒","","北緯34度4分30.69秒東経134度33分18.99秒﻿ / ﻿北緯34.0751917度 東経134.5552750度﻿ /34.0751917; 134.5552750座標:北緯34度4分30.69秒東経134度33分18.99秒﻿ / ﻿北緯34.0751917度 東経134.5552750度﻿ /34.0751917; 134.5552750","","","","","","","","","","","","","","","","",""
"松花堂","[松花堂] 松花堂 （しょうかどう）は、 江戸時代 初期の僧侶（ 石清水八幡宮 の 社僧 ）で文化人であった 松花堂昭乗 がその晩年の 寛永 14年（ 1637年 ）に構えた 草庵 の名称である。現在の 京都府 八幡市 、 石清水八幡宮 のある 男山 の東麓に泉坊という 宿坊 があり、その中にこの草庵があった。","https://ja.wikipedia.org/wiki/松花堂","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度52分46.5秒 東経135度42分6.4秒","","","","","","","","","","","","","","","","","","",""
"玄宮園","[玄宮園] 玄宮園 （げんきゅうえん）は、 滋賀県 彦根市 にある旧 大名庭園 。国の 特別史跡 「 彦根城跡 」の区域、および隣接する 楽々園 とともに「 玄宮楽々園 」として国の 名勝 に指定されている。 2015年 （平成27年） 4月24日 、「琵琶湖とその水辺景観－ 祈りと暮らしの水遺産 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/玄宮園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度16分43秒 東経136度15分12秒","","","","","","","","","","","","","","","","","","",""
"栗林公園","[栗林公園] 栗林公園 （りつりんこうえん）は、 香川県 高松市 に所在し、国の 特別名勝 に指定された回遊式 大名庭園 （ 日本庭園 ）である   。県立の 都市公園 （ 歴史公園 ）として運営されている  。","https://ja.wikipedia.org/wiki/栗林公園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度19分49.2秒東経134度2分39.85秒","日本香川県高松市栗林町","","","","","","","","","","","","","75ha（紫雲山を含む）16ha（平庭部）","都市公園（歴史公園）、日本庭園","","栗林公園","香川県","43台（東門駐車場）32台（北門前駐車場）"
"二条城","[二条城] 二条城 （にじょうじょう）は、 京都市 中京区 二条通 堀川 西入二条城町（かつての 山城国 葛野郡 ）にある、 江戸時代 に造営された 日本の城 。正式名称は 元離宮二条城 （もとりきゅうにじょうじょう）。京都市街の中にある 平城 で、後述する足利氏・織田氏・豊臣氏・徳川氏によるものがあるが、現存する 城 は 徳川氏 によるものである。また、後の近代において二条城は京都府の府庁や 皇室 の 離宮 として使用された後、 1939年 （昭和14年） 京都市 に 恩賜 され現在に至る。 城内全体が国の 史跡 に指定されている他、二の丸御殿（6棟）が 国宝 に、22棟の建造物と二の丸御殿の障壁画計1016面が 重要文化財 に、二の丸御殿庭園が 特別名勝 に指定されている。さらに 1994年 （平成6年）には ユネスコ の 世界遺産 （ 世界文化遺産 ）に「 古都京都の文化財 」として登録されている。","https://ja.wikipedia.org/wiki/二条城","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分50.96秒東経135度44分51.0秒","","北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500座標:北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500","","","","","","","","","","","","","","","","",""
"六義園","[六義園] 六義園 （りくぎえん）は、 東京都 文京区 本駒込 六丁目にある 都立庭園 。","https://ja.wikipedia.org/wiki/六義園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度43分59.0秒東経139度44分48.0秒","東京都文京区本駒込六丁目","","","","","","","","","","","","","87,809.41m2","都立庭園・特別名勝","","公式ホームページ","東京都公園協会2011～2015年度指定管理者",""
"和歌山城西之丸庭園","[和歌山城西之丸庭園（紅葉渓庭園）] 和歌山城西之丸庭園 （わかやまじょうにしのまるていえん）は 和歌山県 和歌山市 の国の 史跡 和歌山城 内にある 日本庭園 。通称は 紅葉渓庭園 （もみじだにていえん）で、その名の通り庭園内には 紅葉 が繁茂する。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/和歌山城西之丸庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度13分43.4秒 東経135度10分14.7秒","","","","","","","","","","","","","","","","","","",""
"観音院","[観音院庭園] 観音院 （かんのんいん）は 鳥取県 鳥取市 にある 天台宗 の 寺 。詳しくは、補陀落山 慈眼寺 観音院（ふだらくさん じげんじ かんのんいん）と号する。本尊は 聖観世音菩薩 。境内にある 日本庭園 は 江戸時代 初期を代表する名園、 観音院庭園 として広く知られる。","https://ja.wikipedia.org/wiki/観音院","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度29分45.92秒東経134度14分29.58秒","鳥取県鳥取市上町162","北緯35度29分45.92秒東経134度14分29.58秒﻿ / ﻿北緯35.4960889度 東経134.2415500度﻿ /35.4960889; 134.2415500","庭園（国名勝）","1270005000587","補陀落山","江戸時代初期（1630年代前半）","天台宗","聖観音","宣伝","","補陀落山 慈眼寺 観音院","中国三十三観音32番因幡観音霊場1番鳥取藩主池田家祈願所八ケ寺","","","","","","",""
