"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","交差物件","全長","形式","幅","用途","建設","路線名","最大支間長","材料","管理者","竣工","開通","高さ","施工者","設計者,施工者","総延長","実延長"
"戸田平橋"," 戸田平橋 （とだひらばし）は 東京都 豊島区 高田3丁目にある 神田川 に架かる橋。","https://ja.wikipedia.org/wiki/戸田平橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中山道陸橋"," 中山道陸橋 （なかせんどうりっきょう）は、 東京都 板橋区 大和町 と同区 本町 の間で 国道17号 （ 中山道 ）に架かる 東京都道318号環状七号線 （環七通り）の 跨道橋 （ 陸橋 ）である。","https://ja.wikipedia.org/wiki/中山道陸橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泪橋"," 泪橋 （なみだばし）は 東京都 にあった 橋 の名称である。荒川区と品川区に一ヶ所ずつの計二ヶ所あった。いずれも近隣の刑場に深い関連があるとされる。","https://ja.wikipedia.org/wiki/泪橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽田可動橋"," 羽田可動橋 （はねだかどうきょう）は、 東京都 大田区 の 海老取川 河口に架かる、 首都高速道路 羽田線 の 橋梁 である。1998年以降使用停止中。","https://ja.wikipedia.org/wiki/羽田可動橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽田スカイアーチ"," 羽田スカイアーチ （はねだスカイアーチ）は、 東京国際空港 （以下、羽田空港とする）の第一ターミナルと第二ターミナルの間にある橋梁である。羽田空港のシンボル的存在とされている  。","https://ja.wikipedia.org/wiki/羽田スカイアーチ","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度32分58.7秒東経139度47分10.6秒","日本","東京都","","103.4m","主塔アーチ型鋼並列斜張橋","車道5.25m　歩道5.0m","","1993年9月完成","","101.4m","","","","","44.5m 主塔全高46.75m","","","",""
"羽田連絡道路"," 羽田連絡道路 （はねだれんらくどうろ）は、 羽田空港 跡地地区と 川崎市 殿町 地区を結ぶ橋及びその連絡道路のこと  。","https://ja.wikipedia.org/wiki/羽田連絡道路","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"聖橋"," 聖橋 （ひじりばし）は、 神田川 に架けられた 橋 の1つ。","https://ja.wikipedia.org/wiki/聖橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"兵庫橋"," 兵庫橋 （ひょうごはし）は 東京都 世田谷区 玉川の 野川 にかかる橋。 二子玉川駅 方向と 兵庫島公園 を結ぶ。","https://ja.wikipedia.org/wiki/兵庫橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度36分42秒東経139度37分29.3秒","日本","世田谷区","野川","","","","道路橋","","","","","","","","","","","",""
"二子橋梁"," 二子橋梁 （ふたごきょうりょう）は、 多摩川 下流およびその支流の 野川 に架かる 東急電鉄 の 鉄道橋 である。","https://ja.wikipedia.org/wiki/二子橋梁","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度36分35秒東経139度37分29.7秒","日本","東京都世田谷区-神奈川県川崎市高津区間","多摩川野川","440.4m","ボックス型プレートガーダー橋","","鉄道橋","","東急田園都市線","","","東急電鉄","1966年3月","","","","","",""
"二子橋"," 二子橋 （ふたごばし、ふたこばし）は、 多摩川 及び並行する支流の 野川 に架かる道路 橋 の一つ。 国道246号 （旧道）の橋で、野川と多摩川の合流部に近い場所に位置する。","https://ja.wikipedia.org/wiki/二子橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸子橋"," 丸子橋 （まるこばし）は、 多摩川 下流にかかる、 主要地方道 東京都道・神奈川県道2号東京丸子横浜線 （ 中原街道 ）の 橋梁 である。","https://ja.wikipedia.org/wiki/丸子橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度35分7.3秒東経139度40分7.8秒","日本","東京都大田区-神奈川県川崎市中原区間","多摩川","405.6 m","鋼ローゼ（2連）＋3径間連続PC箱桁橋","25 m","道路橋","","東京都道・神奈川県道2号東京丸子横浜線","","","","2000年5月","","","","","",""
"八ツ山橋"," 国道15号 （こくどう15ごう）は、 東京都 中央区 の 日本橋 から 神奈川県 川崎市 を経て、 神奈川県 横浜市 神奈川区 の青木通交差点へ至る 一般国道 である。旧一級国道のうち総延長距離が最も短い。 京浜 地区においては「第一京浜」あるいは「一国（いちこく）」などとよばれる  。なお、本稿においては 明治時代 の 明治1號國道 （めいじいちごうこくどう）についても併記する。","https://ja.wikipedia.org/wiki/八ツ山橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","29.6km","29.4 km"
"四谷見附橋"," 四谷見附橋 （よつやみつけばし）は、 東京都 の 新宿通り （ 国道20号 ）の橋梁である。南北に走るJR中央線の上に東西に架かり、東側が 千代田区 麹町 六丁目、西側は 新宿区 四谷 一丁目となる。現在の橋は、 1991年 に架け替えられた2代目である。","https://ja.wikipedia.org/wiki/四谷見附橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度41分8.3秒東経139度43分49.8秒","日本","東京都新宿区-千代田区","JR中央本線","44.4m","アーチ橋（初代）アーチ状方杖ラーメン橋（二代目）","39.0 m","道路橋、跨線橋","","新宿通り（国道20号）","41.0 m","","","1913年（初代）、1991年（二代目）","","","","","",""
"淀橋"," 淀橋 （よどばし）は、 東京都 新宿区 と 中野区 の境の 神田川 に架かる 青梅街道 上の橋。現在の 新宿駅 西口の一帯を指す地域の旧称でもある。","https://ja.wikipedia.org/wiki/淀橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度41分47.6秒東経139度41分12.5秒","日本","東京都新宿区-中野区間","神田川","","","","","","","","","","","","","","","",""
"六郷川橋梁 (東海道本線)"," 六郷川橋梁 （ろくごうがわきょうりょう）は、 東京都 大田区 西六郷から 神奈川県 川崎市 川崎区 堀川町にかけて 多摩川 に架かる 東日本旅客鉄道 （JR東日本） 東海道本線 の 鉄道橋 である。 多摩川橋梁 とも呼ばれる。","https://ja.wikipedia.org/wiki/六郷川橋梁_(東海道本線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度32分13秒東経139度42分12秒","日本","東京都大田区-神奈川県川崎市間","多摩川","519m","連続トラス橋","13m","","1971年","","","","","","","","","","",""
"六郷橋"," 六郷橋 （ろくごうばし）は、 東京都 大田区 東六郷 と 神奈川県 川崎市 川崎区 本町との境の 多摩川 に架かる、 国道15号 （第一京浜国道）の橋である。旧橋と対照して 新六郷橋 とも呼ばれる。長さ443.7m、幅34.4m。","https://ja.wikipedia.org/wiki/六郷橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度32分11秒東経139度42分30秒","日本","東京都大田区・神奈川県川崎市","多摩川","443.7m","3径間・4径間連続2主箱桁","34.4m","","1979-1997年","","","鋼","","","","","","","",""
"鮫河橋"," 鮫河橋 （さめがはし）は 東京都 新宿区 にあり、桜川支流鮫川に架けられていた橋、及びその周辺地名。現在の新宿区 若葉 二、三丁目、 南元町 一帯を指す。JR 中央本線 信濃町駅 東側の高架に沿う部分を特に千日谷といった。","https://ja.wikipedia.org/wiki/鮫河橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"潮風橋"," 潮風橋 （しおかぜばし）は、 東京都 品川区 東八潮 （ お台場 ）にあった歩行者用の 橋 。2012年11月に、東日本大震災の影響や経年劣化に伴い撤去された  。","https://ja.wikipedia.org/wiki/潮風橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
