"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"北習志野駅","北習志野駅（きたならしのえき）","https://ja.wikipedia.org/wiki/北習志野駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","","","新京成電鉄（駅詳細）東葉高速鉄道（駅詳細）","","","","千葉県船橋市習志野台3丁目1番1号","","","","","","","","","","","",""
"北新・松本大学前駅","北新・松本大学前駅（きたにい・まつもとだいがくまええき）","https://ja.wikipedia.org/wiki/北新・松本大学前駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度13分11.14秒東経137度54分50.06秒","上高地線","5.4 km（松本起点）","アルピコ交通","1921年（大正10年）10月2日[1]","地上駅","1面1線[1]","長野県松本市大字新村2088北緯36度13分11.14秒東経137度54分50.06秒﻿ / ﻿北緯36.2197611度 東経137.9139056度﻿ /36.2197611; 137.9139056座標:北緯36度13分11.14秒東経137度54分50.06秒﻿ / ﻿北緯36.2197611度 東経137.9139056度﻿ /36.2197611; 137.9139056","","","AK-07","586人/日（降車客含まず）-2017年-","1,173人/日-2017年-","","","","","","",""
"北24条駅","北24条駅（きたにじゅうよじょうえき）","https://ja.wikipedia.org/wiki/北24条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度5分23.8秒東経141度20分40.7秒","札幌市営地下鉄南北線","2.2 km（麻生起点）","札幌市交通局","1971年（昭和46年）12月16日","地下駅","1面2線","札幌市北区北23条西4丁目北緯43度5分23.8秒東経141度20分40.7秒﻿ / ﻿北緯43.089944度 東経141.344639度﻿ /43.089944; 141.344639座標:北緯43度5分23.8秒東経141度20分40.7秒﻿ / ﻿北緯43.089944度 東経141.344639度﻿ /43.089944; 141.344639","","","○N03","14,283人/日（降車客含まず）-2019年-","","","","","","","",""
"北沼駅","北沼駅（きたぬまえき）","https://ja.wikipedia.org/wiki/北沼駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯40度33分22.5秒東経141度28分59.6秒","八戸臨海鉄道線","8.5 km（八戸貨物起点）","八戸臨海鉄道","1966年（昭和41年）3月25日","地上駅","","青森県八戸市河原木北沼北緯40度33分22.5秒東経141度28分59.6秒﻿ / ﻿北緯40.556250度 東経141.483222度﻿ /40.556250; 141.483222﻿ (北沼駅)","貨物専用駅","","","","","","","","","","",""
"北野駅 (東京都)","北野駅 (東京都)（きたのえき・京王電鉄京王線・高尾線）","https://ja.wikipedia.org/wiki/北野駅_(東京都)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度38分40秒東経139度21分16.5秒","■京王線","36.1 km（新宿起点）","京王電鉄","1925年（大正14年）3月24日","高架駅","2面4線","東京都八王子市打越町335-1北緯35度38分40秒東経139度21分16.5秒﻿ / ﻿北緯35.64444度 東経139.354583度﻿ /35.64444; 139.354583﻿ (北野駅)座標:北緯35度38分40秒東経139度21分16.5秒﻿ / ﻿北緯35.64444度 東経139.354583度﻿ /35.64444; 139.354583﻿ (北野駅)","","","KO33","","23,006人/日-2019年-","","","","","","",""
"北野駅 (福岡県)","北野駅 (福岡県)（きたのえき・西鉄甘木線）","https://ja.wikipedia.org/wiki/北野駅_(福岡県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度20分43.53秒東経130度34分59.37秒","■甘木線","5.4 km（宮の陣起点）","西日本鉄道","1915年（大正4年）10月15日","地上駅","2面2線","福岡県久留米市北野町今山北緯33度20分43.53秒東経130度34分59.37秒﻿ / ﻿北緯33.3454250度 東経130.5831583度﻿ /33.3454250; 130.5831583座標:北緯33度20分43.53秒東経130度34分59.37秒﻿ / ﻿北緯33.3454250度 東経130.5831583度﻿ /33.3454250; 130.5831583","","","A  08 ","","1,524人/日-2019年-","","","","","","",""
"北能代駅","北能代駅（きたのしろえき）","https://ja.wikipedia.org/wiki/北能代駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯40度15分15秒東経140度2分0.9秒","■五能線","9.3 km（東能代起点）","東日本旅客鉄道（JR東日本）","1926年（大正15年）4月26日[1]","地上駅","1面1線[1]","秋田県能代市竹生字前田[1]20北緯40度15分15秒東経140度2分0.9秒座標:北緯40度15分15秒 東経140度2分0.9秒","無人駅[1]*1943年に羽後東雲駅から改称[1]。","キロ","","","","","","","","","",""
"北野田駅","北野田駅（きたのだえき）","https://ja.wikipedia.org/wiki/北野田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度31分22.8秒東経135度32分35.4秒","■高野線","19.3 km（汐見橋起点）難波から18.6 km","南海電気鉄道","1914年（大正3年）8月7日","地上駅（橋上駅）","2面4線","堺市東区北野田51番地4北緯34度31分22.8秒東経135度32分35.4秒﻿ / ﻿北緯34.523000度 東経135.543167度﻿ /34.523000; 135.543167座標:北緯34度31分22.8秒東経135度32分35.4秒﻿ / ﻿北緯34.523000度 東経135.543167度﻿ /34.523000; 135.543167","","キタ","NK 63","","","","33,659人/日-2019年-","","","","",""
"北野白梅町駅","北野白梅町駅（きたのはくばいちょうえき）","https://ja.wikipedia.org/wiki/北野白梅町駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度1分38.67秒東経135度43分51.05秒","■北野線","0.0 km（北野白梅町起点）","京福電気鉄道","1943年（昭和18年）10月1日","地上駅","2面1線","京都市北区北野下白梅町北緯35度1分38.67秒東経135度43分51.05秒﻿ / ﻿北緯35.0274083度 東経135.7308472度﻿ /35.0274083; 135.7308472座標:北緯35度1分38.67秒東経135度43分51.05秒﻿ / ﻿北緯35.0274083度 東経135.7308472度﻿ /35.0274083; 135.7308472","","","●B9","","3,536人/日-2019年-","","","","","","",""
"北延岡駅","北延岡駅（きたのべおかえき）","https://ja.wikipedia.org/wiki/北延岡駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯32度37分50.46秒東経131度41分24.35秒","■日豊本線","251.3 km（小倉起点）","九州旅客鉄道（JR九州）","1953年（昭和28年）2月11日[1]","地上駅","2面2線[1]","宮崎県延岡市差木野町[1]北緯32度37分50.46秒東経131度41分24.35秒","無人駅[1]","キノ","","4人/日（降車客含まず）-2015年-","","","","","","","",""
"北野辺地駅","北野辺地駅（きたのへじえき）","https://ja.wikipedia.org/wiki/北野辺地駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯40度52分16.23秒東経141度8分2.88秒","■大湊線","2.8 km（野辺地起点）","東日本旅客鉄道（JR東日本）","1958年（昭和33年）12月20日","地上駅","1面1線","青森県上北郡野辺地町字石神裏北緯40度52分16.23秒東経141度8分2.88秒座標:北緯40度52分16.23秒 東経141度8分2.88秒","無人駅","キタ","","","","","","","","","",""
"北野桝塚駅","北野桝塚駅（きたのますづかえき）","https://ja.wikipedia.org/wiki/北野桝塚駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度59分47秒東経137度8分22秒","■愛知環状鉄道線","8.7 km（岡崎起点）","愛知環状鉄道**","1970年（昭和45年）10月1日*","高架駅","2面4線","愛知県岡崎市北野町二番訳68-2北緯34度59分47秒東経137度8分22秒﻿ / ﻿北緯34.99639度 東経137.13944度﻿ /34.99639; 137.13944座標:北緯34度59分47秒東経137度8分22秒﻿ / ﻿北緯34.99639度 東経137.13944度﻿ /34.99639; 137.13944","駅員時間配置駅","マス","○06","","2,394人/日-2019年[1]-","","","","","","",""
"北畠停留場","北畠停留場（きたばたけていりゅうじょう）","https://ja.wikipedia.org/wiki/北畠停留場","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度37分37.94秒東経135度30分19.17秒","■上町線","2.3 km（天王寺駅前起点）","阪堺電気軌道","1910年（明治43年）10月1日","地上駅（併用軌道上）","単式 2面2線","大阪市阿倍野区北畠1丁目・2丁目北緯34度37分37.94秒東経135度30分19.17秒﻿ / ﻿北緯34.6272056度 東経135.5053250度﻿ /34.6272056; 135.5053250座標:北緯34度37分37.94秒東経135度30分19.17秒﻿ / ﻿北緯34.6272056度 東経135.5053250度﻿ /34.6272056; 135.5053250","",""," HN05 ","","","","","","","","",""
"北八王子駅","北八王子駅（きたはちおうじえき）","https://ja.wikipedia.org/wiki/北八王子駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度40分9.6秒東経139度21分48.2秒","■八高線","3.1 km（八王子起点）","東日本旅客鉄道（JR東日本）","1959年（昭和34年）6月10日[1]","地上駅（橋上駅）[1]","2面2線[1]","東京都八王子市石川町2953-1北緯35度40分9.6秒東経139度21分48.2秒座標:北緯35度40分9.6秒 東経139度21分48.2秒","業務委託駅","キオ","","9,649人/日（降車客含まず）-2019年-","","","","","","","",""
"北初富駅","北初富駅（きたはつとみえき）","https://ja.wikipedia.org/wiki/北初富駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度46分36.5秒東経139度59分25.4秒","■新京成線","11.4 km（松戸起点）","新京成電鉄","1955年（昭和30年）4月21日","高架駅","2面2線","千葉県鎌ケ谷市初富321番3号[1]北緯35度46分36.5秒東経139度59分25.4秒﻿ / ﻿北緯35.776806度 東経139.990389度﻿ /35.776806; 139.990389座標:北緯35度46分36.5秒東経139度59分25.4秒﻿ / ﻿北緯35.776806度 東経139.990389度﻿ /35.776806; 139.990389","","","SL10","","5,351人/日-2019年-","","","","","","",""
"北花田駅","北花田駅（きたはなだえき）","https://ja.wikipedia.org/wiki/北花田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度34分57秒東経135度30分59秒","●御堂筋線","21.4 km（江坂起点）千里中央から27.3 km","大阪市高速電気軌道(Osaka Metro)","1987年（昭和62年）4月18日[1]","地下駅","1面2線","堺市北区北花田町二丁14-3北緯34度34分57秒東経135度30分59秒﻿ / ﻿北緯34.58250度 東経135.51639度﻿ /34.58250; 135.51639﻿ (北花田駅)座標:北緯34度34分57秒東経135度30分59秒﻿ / ﻿北緯34.58250度 東経135.51639度﻿ /34.58250; 135.51639﻿ (北花田駅)","",""," M28 ","11,478人/日（降車客含まず）-2020年-","22,864人/日-2020年-","","","","","","",""
"北浜駅 (北海道)","北浜駅 (北海道)（きたはまえき・北海道旅客鉄道釧網本線）","https://ja.wikipedia.org/wiki/北浜駅_(北海道)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度57分30.26秒東経144度21分9.49秒","■釧網本線","11.5 km（網走起点）","北海道旅客鉄道（JR北海道）","1924年（大正13年）11月15日","地上駅","1面1線","北海道網走市字北浜無番地北緯43度57分30.26秒東経144度21分9.49秒","無人駅","キマ","○B76","","26人/日-2014年-","","","","","","",""
"北浜駅 (大阪府)","北浜駅 (大阪府)（きたはまえき・京阪本線・Osaka Metro堺筋線）","https://ja.wikipedia.org/wiki/北浜駅_(大阪府)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度41分29.71秒東経135度30分23.82秒","","","京阪電気鉄道大阪市高速電気軌道(Osaka Metro)","","","","大阪市中央区北浜一丁目8-16北緯34度41分29.71秒東経135度30分23.82秒﻿ / ﻿北緯34.6915861度 東経135.5066167度﻿ /34.6915861; 135.5066167﻿ (北浜駅)座標:北緯34度41分29.71秒東経135度30分23.82秒﻿ / ﻿北緯34.6915861度 東経135.5066167度﻿ /34.6915861; 135.5066167﻿ (北浜駅)","","","","","","なにわ橋駅（京阪中之島線）","","","","","",""
"北原駅","北原駅（きたはらえき）","https://ja.wikipedia.org/wiki/北原駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度24分49.2秒東経139度11分5.42秒","■上毛線","10.9 km（中央前橋起点）","上毛電気鉄道","1939年（昭和14年）7月11日","地上駅","1面1線","群馬県前橋市粕川町込皆戸38-3北緯36度24分49.2秒東経139度11分5.42秒﻿ / ﻿北緯36.413667度 東経139.1848389度﻿ /36.413667; 139.1848389﻿ (北原駅)座標:北緯36度24分49.2秒東経139度11分5.42秒﻿ / ﻿北緯36.413667度 東経139.1848389度﻿ /36.413667; 139.1848389﻿ (北原駅)","","","","","270人/日-2018年-","","","","","","",""
"北美瑛駅","北美瑛駅（きたびえいえき）","https://ja.wikipedia.org/wiki/北美瑛駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度37分4.36秒東経142度28分46.62秒","■富良野線","20.3 km（旭川起点）","北海道旅客鉄道（JR北海道）","1958年（昭和33年）3月25日","地上駅","1面1線","北海道上川郡美瑛町字下宇莫別北緯43度37分4.36秒東経142度28分46.62秒﻿ / ﻿北緯43.6178778度 東経142.4796167度﻿ /43.6178778; 142.4796167﻿ (北美瑛駅)","無人駅","キエ","○F36","","20人/日-2014年-","","","","","","",""
"木太東口駅","木太東口駅（きたひがしぐちえき）","https://ja.wikipedia.org/wiki/木太東口駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","■長尾線","3.4km（瓦町起点）高松築港から5.1 km","高松琴平電気鉄道","1912年4月30日","地上駅","1面2線","","無人駅",""," N05 ","","984人/日-2018年-","","","","","","",""
"北広島駅","北広島駅（きたひろしまえき）","https://ja.wikipedia.org/wiki/北広島駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯42度58分43.45秒東経141度33分47.48秒","■千歳線","40.6 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","1926年（大正15年）8月21日[1]","地上駅（橋上駅）","2面4線","北海道北広島市中央6丁目10番地北緯42度58分43.45秒東経141度33分47.48秒﻿ / ﻿北緯42.9787361度 東経141.5631889度﻿ /42.9787361; 141.5631889﻿ (北広島駅)座標:北緯42度58分43.45秒東経141度33分47.48秒﻿ / ﻿北緯42.9787361度 東経141.5631889度﻿ /42.9787361; 141.5631889﻿ (北広島駅)","社員配置駅みどりの窓口有話せる券売機設置駅[2]","キヒ","○H07","7,705人/日（降車客含まず）-2019年-","","","","","","","",""
"北藤岡駅","北藤岡駅（きたふじおかえき）","https://ja.wikipedia.org/wiki/北藤岡駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度16分57.12秒東経139度4分49.86秒","■八高線・（高崎線）","88.4km（八王子起点）高麗川から57.3 km","東日本旅客鉄道（JR東日本）","1931年（昭和6年）7月1日[1]","地上駅","1面1線[1]","群馬県藤岡市立石558-1北緯36度16分57.12秒東経139度4分49.86秒﻿ / ﻿北緯36.2825333度 東経139.0805167度﻿ /36.2825333; 139.0805167座標:北緯36度16分57.12秒東経139度4分49.86秒﻿ / ﻿北緯36.2825333度 東経139.0805167度﻿ /36.2825333; 139.0805167","無人駅[1]（乗車駅証明書発行機 有）","キフ","","343人/日（降車客含まず）-2013年-","","","","","","","",""
"北府中駅","北府中駅（きたふちゅうえき）","https://ja.wikipedia.org/wiki/北府中駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度40分50.8秒東経139度28分18.5秒","■武蔵野線","30.5 km（鶴見起点）府中本町から1.7 km","東日本旅客鉄道（JR東日本）","1973年（昭和48年）4月1日*","地上駅（橋上駅）","1面2線","東京都府中市晴見町二丁目27-2北緯35度40分50.8秒東経139度28分18.5秒座標:北緯35度40分50.8秒 東経139度28分18.5秒","業務委託駅*武蔵野線としての開業日","キフ","JM34","15,064人/日（降車客含まず）-2019年-","","","","","","","",""
"北埠頭駅","北埠頭駅（きたふとうえき）","https://ja.wikipedia.org/wiki/北埠頭駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度40分24.85秒東経135度12分52.81秒","ポートアイランド線（ポートライナー）","1.7km（市民広場起点）三宮から5.5 km","神戸新交通","1981年（昭和56年）2月5日[1]","高架駅[1]","1面1線[1]","神戸市中央区港島中町二丁目[1]北緯34度40分24.85秒東経135度12分52.81秒﻿ / ﻿北緯34.6735694度 東経135.2146694度﻿ /34.6735694; 135.2146694﻿ (北埠頭駅)座標:北緯34度40分24.85秒東経135度12分52.81秒﻿ / ﻿北緯34.6735694度 東経135.2146694度﻿ /34.6735694; 135.2146694﻿ (北埠頭駅)","",""," PL09 ","855人/日（降車客含まず）-2019年-","","","","","","","",""
"北舟岡駅","北舟岡駅（きたふなおかえき）","https://ja.wikipedia.org/wiki/北舟岡駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯42度27分1.14秒東経140度52分50.39秒","■室蘭本線","57.4 km（長万部起点）","北海道旅客鉄道（JR北海道）","1963年（昭和38年）9月30日","地上駅","2面2線","北海道伊達市舟岡町北緯42度27分1.14秒東経140度52分50.39秒﻿ / ﻿北緯42.4503167度 東経140.8806639度﻿ /42.4503167; 140.8806639﻿ (北舟岡駅)","無人駅","キフ","○H37","","192人/日-2014年-","","","","","","",""
"北細野駅","北細野駅（きたほそのえき）","https://ja.wikipedia.org/wiki/北細野駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度24分22.82秒東経137度51分45.89秒","■大糸線","23.8 km（松本起点）","東日本旅客鉄道（JR東日本）","1930年（昭和5年）10月28日[3]","地上駅","1面1線[1]","長野県北安曇郡松川村字赤芝[1]北緯36度24分22.82秒東経137度51分45.89秒﻿ / ﻿北緯36.4063389度 東経137.8627472度﻿ /36.4063389; 137.8627472座標:北緯36度24分22.82秒東経137度51分45.89秒﻿ / ﻿北緯36.4063389度 東経137.8627472度﻿ /36.4063389; 137.8627472","無人駅[1]*1937年におかめ前駅から改称[3]。標高：587.9m[1]","キホ[1]","□28[2]","130人/日（降車客含まず）-2011年-","","","","","","","",""
"北堀之内駅","北堀之内駅（きたほりのうちえき）","https://ja.wikipedia.org/wiki/北堀之内駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度15分20.92秒東経138度53分47.42秒","■上越線","138.1 km（高崎起点）","東日本旅客鉄道（JR東日本）","1950年（昭和25年）2月15日[1]","地上駅","2面2線","新潟県魚沼市下島北緯37度15分20.92秒東経138度53分47.42秒﻿ / ﻿北緯37.2558111度 東経138.8965056度﻿ /37.2558111; 138.8965056﻿ (北堀之内駅)座標:北緯37度15分20.92秒東経138度53分47.42秒﻿ / ﻿北緯37.2558111度 東経138.8965056度﻿ /37.2558111; 138.8965056﻿ (北堀之内駅)","無人駅（乗車駅証明書発行機 有）","キホ","","","","","","","","","",""
"北間駅","北間駅（きたまえき）","https://ja.wikipedia.org/wiki/北間駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度37分21.2秒東経136度38分28.34秒","■浅野川線","5.1 km（北鉄金沢起点）","北陸鉄道","1925年（大正14年）5月10日","地上駅","単式1面1線","石川県金沢市須崎町北緯36度37分21.2秒東経136度38分28.34秒﻿ / ﻿北緯36.622556度 東経136.6412056度﻿ /36.622556; 136.6412056座標:北緯36度37分21.2秒東経136度38分28.34秒﻿ / ﻿北緯36.622556度 東経136.6412056度﻿ /36.622556; 136.6412056","","","○A09","","68人/日-2017年-","","","","","","",""
"北俣駅","北俣駅（きたまたえき）","https://ja.wikipedia.org/wiki/北俣駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯31度44分42.13秒東経130度57分35.95秒","日豊本線","403.0 km（小倉起点）","九州旅客鉄道（JR九州）","1931年（昭和6年）11月1日","","2面2線","鹿児島県曽於市財部町北俣4070北緯31度44分42.13秒東経130度57分35.95秒","無人駅","キマ","","2人/日（降車客含まず）-2015年-","5人/日-2015年-","","","","","","",""
"北松戸駅","北松戸駅（きたまつどえき）","https://ja.wikipedia.org/wiki/北松戸駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度48分2.1秒東経139度54分42.4秒","■常磐線（各駅停車）（正式には常磐線）","17.8km（日暮里起点）綾瀬から10.1 km","東日本旅客鉄道（JR東日本）","1952年（昭和27年）5月1日**","地上駅（橋上駅）","1面2線","千葉県松戸市上本郷905北緯35度48分2.1秒東経139度54分42.4秒座標:北緯35度48分2.1秒 東経139度54分42.4秒","業務委託駅","キマ","JL23","21,606人/日（降車客含まず）-2019年-","","","","","","","",""
"北松本駅","北松本駅（きたまつもとえき）","https://ja.wikipedia.org/wiki/北松本駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度14分13.90秒東経137度57分38.97秒","■大糸線","0.7 km（松本起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）1月6日[2][3]","地上駅（橋上駅）[1]","1面2線[1]","長野県松本市白板一丁目[1]北緯36度14分13.90秒東経137度57分38.97秒﻿ / ﻿北緯36.2371944度 東経137.9608250度﻿ /36.2371944; 137.9608250座標:北緯36度14分13.90秒東経137度57分38.97秒﻿ / ﻿北緯36.2371944度 東経137.9608250度﻿ /36.2371944; 137.9608250","業務委託駅* 開業3ヶ月後に松本市駅から改称[1]。標高：583.2m[1]","キマ[1]","□41[報道 1]","687人/日（降車客含まず）-2019年-","","","","","","","",""
"北丸森駅","北丸森駅（きたまるもりえき）","https://ja.wikipedia.org/wiki/北丸森駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度56分34.70秒東経140度46分18.99秒","■阿武隈急行線","39.2 km（福島起点）","阿武隈急行","1986年（昭和61年）7月1日","地上駅","1面1線","宮城県伊具郡丸森町舘矢間木沼北緯37度56分34.70秒東経140度46分18.99秒﻿ / ﻿北緯37.9429722度 東経140.7719417度﻿ /37.9429722; 140.7719417座標:北緯37度56分34.70秒東経140度46分18.99秒﻿ / ﻿北緯37.9429722度 東経140.7719417度﻿ /37.9429722; 140.7719417","無人駅","","","","29人/日-2018年-","","","","","","",""
"北見駅","北見駅（きたみえき・北海道旅客鉄道石北本線）","https://ja.wikipedia.org/wiki/北見駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度48分18.06秒東経143度53分50.30秒","■石北本線","181.0 km（新旭川起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）","1911年（明治44年）9月25日","地上駅","2面3線","北海道北見市大通西1丁目北緯43度48分18.06秒東経143度53分50.30秒","直営駅（管理駅）みどりの窓口有","キミ","○A60","704人/日（降車客含まず）-2018年-","","","","","","","",""
"喜多見駅","喜多見駅（きたみえき・小田急小田原線）","https://ja.wikipedia.org/wiki/喜多見駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度38分12秒東経139度35分13.5秒","小田原線","12.7 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日","高架駅","2面4線*","東京都世田谷区喜多見九丁目2番26号北緯35度38分12秒東経139度35分13.5秒﻿ / ﻿北緯35.63667度 東経139.587083度﻿ /35.63667; 139.587083座標:北緯35度38分12秒東経139度35分13.5秒﻿ / ﻿北緯35.63667度 東経139.587083度﻿ /35.63667; 139.587083","*通過線2線含む","","OH15","","34,207人/日-2019年-","","","","","","",""
"北水海道駅","北水海道駅（きたみつかいどうえき）","https://ja.wikipedia.org/wiki/北水海道駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度1分55.51秒東経139度59分34.11秒","常総線","19.3 km（取手起点）","関東鉄道","1972年（昭和47年）3月15日[2]","地上駅","1面1線","茨城県常総市相野谷町43-3北緯36度1分55.51秒東経139度59分34.11秒﻿ / ﻿北緯36.0320861度 東経139.9928083度﻿ /36.0320861; 139.9928083﻿ (北水海道駅)座標:北緯36度1分55.51秒東経139度59分34.11秒﻿ / ﻿北緯36.0320861度 東経139.9928083度﻿ /36.0320861; 139.9928083﻿ (北水海道駅)","無人駅","","","","311人/日-2019年[1]-","","","","","","",""
"北真岡駅","北真岡駅（きたもおかえき）","https://ja.wikipedia.org/wiki/北真岡駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度26分56.57秒東経140度0分49.8秒","■真岡線","18.0 km（下館起点）","真岡鐵道","1955年（昭和30年）4月1日[1]","地上駅","1面1線","栃木県真岡市熊倉町908-10北緯36度26分56.57秒東経140度0分49.8秒﻿ / ﻿北緯36.4490472度 東経140.013833度﻿ /36.4490472; 140.013833﻿ (北真岡駅)座標:北緯36度26分56.57秒東経140度0分49.8秒﻿ / ﻿北緯36.4490472度 東経140.013833度﻿ /36.4490472; 140.013833﻿ (北真岡駅)","*1988年に「きたもうか」から呼称を変更","モウ","","85人/日（降車客含まず）-2019年-","","","","","","","",""
"北本駅","北本駅（きたもとえき）","https://ja.wikipedia.org/wiki/北本駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度1分53.83秒東経139度32分2.38秒","■高崎線","16.4 km（大宮起点）東京から尾久経由で46.9 km","東日本旅客鉄道（JR東日本）","1928年（昭和3年）8月1日[2]","地上駅（橋上駅）","2面3線[1]","埼玉県北本市北本一丁目12番北緯36度1分53.83秒東経139度32分2.38秒﻿ / ﻿北緯36.0316194度 東経139.5339944度﻿ /36.0316194; 139.5339944﻿ (北本駅*)","業務委託駅みどりの窓口有[1]*1961年に北本宿駅から改称。","キモ","","18,491人/日（降車客含まず）-2019年-","","","","","","","",""
"北森駅","北森駅（きたもりえき）","https://ja.wikipedia.org/wiki/北森駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯39度57分24.1秒東経141度4分18.8秒","■花輪線","15.0 km（好摩起点）","東日本旅客鉄道（JR東日本）","1961年（昭和36年）4月20日","地上駅","1面1線","岩手県八幡平市野駄北緯39度57分24.1秒東経141度4分18.8秒座標:北緯39度57分24.1秒 東経141度4分18.8秒","無人駅","キモ","","","","","","","","","",""
