"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城主","築城年","遺構","指定文化財","廃城年","天守構造","主な城主","別名","主な改修者","文化財","築造時期","史跡","創建年","再建造物","規模"
"醍醐寺三宝院庭園","[醍醐寺三宝院庭園] 醍醐寺三宝院庭園 （だいごじさんぽういんていえん、-さんぼういん-）は、 京都府 京都市 伏見区 にある 日本庭園 である。 醍醐寺 の 院家 である 三宝院 の庭園であり、 1952年 （昭和27年）に国の 特別史跡 および 特別名勝 に指定された。","https://ja.wikipedia.org/wiki/醍醐寺三宝院庭園","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度57分6.5秒 東経135度49分10.9秒","","","","","","","","","","","","","","","","","","",""
"多賀城","[多賀城] 多賀城 （たがじょう/たかのき、多賀柵）は、現在の 宮城県 多賀城市 にあった日本の古代 城柵 。国の 特別史跡 に指定されている（指定名称は「多賀城跡 附 寺跡」）。","https://ja.wikipedia.org/wiki/多賀城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯38度18分24秒東経140度59分18秒","北緯38度18分24秒東経140度59分18秒﻿ / ﻿北緯38.30667度 東経140.98833度﻿ /38.30667; 140.98833﻿ (多賀城)座標:北緯38度18分24秒東経140度59分18秒﻿ / ﻿北緯38.30667度 東経140.98833度﻿ /38.30667; 140.98833﻿ (多賀城)","","多賀城","古代城柵","大野東人","神亀元年（724年）","政庁跡など","国の特別史跡「多賀城跡 附 寺跡」","不明","","","","","","","","","",""
"高松塚古墳","[高松塚古墳] 高松塚古墳 （たかまつづかこふん）は、 奈良県 高市郡 明日香村 （ 国営飛鳥歴史公園 内）に存在する 古墳 。 藤原京期 （ 694年 - 710年 ）に築造された終末期古墳で、直径23m（下段）及び18m（上段）、高さ5mの二段式の 円墳 である。 1972年 に極彩色の 壁画 が発見されたことで一躍注目されるようになった。","https://ja.wikipedia.org/wiki/高松塚古墳","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度27分44.0秒東経135度48分23.3秒","北緯34度27分44.0秒東経135度48分23.3秒﻿ / ﻿北緯34.462222度 東経135.806472度﻿ /34.462222; 135.806472﻿ (高松塚古墳)座標:北緯34度27分44.0秒東経135度48分23.3秒﻿ / ﻿北緯34.462222度 東経135.806472度﻿ /34.462222; 135.806472﻿ (高松塚古墳)","奈良県高市郡明日香村平田","","","","","","","","","","","","","藤原京期（694年-710年）","1973年（昭和48年）特別史跡","","","直径23m、高さ5m"
"多胡碑","[多胡碑] 多胡碑 （たごひ）は、 群馬県 高崎市 吉井町 池字御門にある古碑（金石文）であり、国の 特別史跡 に指定されている。 山ノ上碑 、 金井沢碑 とともに「 上野三碑 」  と総称される。また、 書道史 の上から、 日本三古碑 の一つとされる。建碑は、その内容から8世紀後半とされる。","https://ja.wikipedia.org/wiki/多胡碑","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度15分54.0秒 東経138度59分46.8秒","","","","","","","","","","","","","","","","","","",""
"大宰府","[大宰府] 大宰府 （だざいふ）は、 7世紀 後半に、 九州 の 筑前国 に設置された地方行政機関。軍事・外交を主任務とし、九州地方の内政も担当した。和名は「おほ みこともち の つかさ」とされる。多くの史書では 太宰府 とも記され  、おもに8世紀の大和朝廷内部で作られた史書で「大宰府」と記されている。","https://ja.wikipedia.org/wiki/大宰府","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度30分52.35秒 東経130度30分54.52秒","","","","","","","","","","","","","","","","","","",""
"中尊寺","[中尊寺] 中尊寺 （ちゅうそんじ）は、 岩手県 西磐井郡 平泉町 にある 天台宗 東北大本山の寺院。 奥州三十三観音 番外札所。山号は関山（かんざん）、本尊は 釈迦如来  。寺伝では 円仁 の 開山 とされる。実質的な 開基 は 藤原清衡 。","https://ja.wikipedia.org/wiki/中尊寺","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯39度0分5.5秒東経141度6分9.8秒","北緯39度0分5.5秒東経141度6分9.8秒﻿ / ﻿北緯39.001528度 東経141.102722度﻿ /39.001528; 141.102722座標:北緯39度0分5.5秒東経141度6分9.8秒﻿ / ﻿北緯39.001528度 東経141.102722度﻿ /39.001528; 141.102722","岩手県西磐井郡平泉町平泉衣関202","","","","","","","","","","","","金色堂、金色堂堂内諸像及び天蓋他（国宝）金色堂旧覆堂他（重要文化財）特別史跡","","","（伝）嘉祥3年（850年）","",""
"遠江国分寺跡","[遠江国分寺跡] 遠江国分寺跡 （とおとうみこくぶんじあと）は、 静岡県 磐田市 にある 国分寺 の 遺跡 。国の 特別史跡 に指定されている。 1923年 3月7日に 国史跡 に指定され、 1952年 3月29日に国の特別史跡に指定された。また、 2012年 1月24日に追加指定が行われた  。","https://ja.wikipedia.org/wiki/遠江国分寺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度43分10秒東経137度51分05秒","","日本静岡県磐田市見付","","","","","","","","","","","","","","","","",""
"尖石・与助尾根遺跡","[尖石・与助尾根遺跡] 尖石・与助尾根遺跡 （とがりいし・よすけおねいせき）は、 長野県 茅野市 豊平にある 縄文時代 中期の集落遺跡。南側の 尖石遺跡 は戦前から発掘されてきた縄文時代を代表する遺跡の1つとして知られているが、現在では同遺跡と浅い沢1つ隔てた北側の台地上にある 与助尾根遺跡 と一括して扱われることが多い。「尖石」の名称は遺跡の南側にあった三角錐状の巨石の通称に由来する。","https://ja.wikipedia.org/wiki/尖石・与助尾根遺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度00分46.1秒 東経138度13分55.4秒","","","","","","","","","","","","","","","","","","",""
"登呂遺跡","[登呂遺跡] 登呂遺跡 （とろいせき）は、 静岡県 静岡市 駿河区 登呂五丁目にある、 弥生時代 の集落・ 水田 遺跡 。国の 特別史跡 に指定されている。弥生時代後期に属し、 1世紀 ごろの集落と推定される。「登呂」はこの地域の 小字 （ 1973年 、 住居表示 実施により町名にも採用）。","https://ja.wikipedia.org/wiki/登呂遺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度57分22秒東経138度24分29秒","","静岡県静岡市駿河区登呂五丁目","","","","","","","","","","","","","","","","",""
"名古屋城","[名古屋城] 名古屋城 （なごやじょう）は、 尾張国 愛知郡 名古屋（現在の 愛知県 名古屋市 中区 ・ 北区 ）にある 日本の城 。「名城（めいじょう）」、「金鯱城（きんこじょう、きんしゃちじょう）」、「金城（きんじょう）」の異名を持つ。 日本100名城 に選定されており、国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/名古屋城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度11分7.77秒東経136度53分56.71秒","北緯35度11分7.77秒東経136度53分56.71秒﻿ / ﻿北緯35.1854917度 東経136.8990861度﻿ /35.1854917; 136.8990861座標:北緯35度11分7.77秒東経136度53分56.71秒﻿ / ﻿北緯35.1854917度 東経136.8990861度﻿ /35.1854917; 136.8990861","","名古屋城","梯郭式平城","徳川家康","慶長14年（1609年）","櫓3棟・門3棟、庭園、石垣、堀","国の重要文化財（櫓3棟、門3棟）","1871年（明治4年）","連結式層塔型5層5階地下1階1612年築 （非現存）1959年再建（SRC造・外観復元）","尾張徳川家","金鯱城、金城、柳城、亀屋城、蓬左城","名古屋城再建委員会","","","","","大小天守、正門、本丸御殿",""
"名護屋城","[名護屋城] 名護屋城 （なごやじょう）は、 肥前国 松浦郡 名護屋（現在の 佐賀県 唐津市 （旧東松浦郡 鎮西町 ・ 呼子町 ）、 東松浦郡 玄海町 ）にあった 日本の城 。 太閤 豊臣秀吉 が 文禄の役 を始める前に築かせた。現在、国の 特別史跡 に指定されている。 平成 18年（ 2006年 ）には 日本100名城 （87番）に選定された。","https://ja.wikipedia.org/wiki/名護屋城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度31分48.12秒東経129度52分9.75秒","北緯33度31分48.12秒東経129度52分9.75秒﻿ / ﻿北緯33.5300333度 東経129.8693750度﻿ /33.5300333; 129.8693750座標:北緯33度31分48.12秒東経129度52分9.75秒﻿ / ﻿北緯33.5300333度 東経129.8693750度﻿ /33.5300333; 129.8693750","","名護屋城佐賀県の地図を表示名護屋城日本の地図を表示","梯郭式平山城","豊臣秀吉","天正19年（1591年）","石垣、空堀、井戸","国特別史跡","慶長3年（1598年）","望楼型5重7階（非現存）","豊臣秀吉","名護屋御旅館","なし","","","","","",""
"日光杉並木","[日光杉並木] 日光杉並木 （にっこうすぎなみき）は、 日光街道 、 日光例幣使街道 、 会津西街道 の3 街道 に跨がる スギ の 並木道 。 日光杉並木街道 （にっこうすぎなみきかいどう）とも呼ばれる。","https://ja.wikipedia.org/wiki/日光杉並木","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浜離宮恩賜庭園","[浜離宮恩賜庭園] 浜離宮恩賜庭園 （はまりきゅう おんし ていえん）は、 東京都 中央区 浜離宮庭園 にある 都立庭園 である。","https://ja.wikipedia.org/wiki/浜離宮恩賜庭園","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度39分36秒東経139度45分49秒","","東京都中央区浜離宮庭園","","","","","","","","","","","","","","","","",""
"原の辻遺跡","[原の辻遺跡] 原の辻遺跡 （はるのつじいせき）は、 長崎県 壱岐市 芦辺町 深江栄触・深江鶴亀触、 石田町 石田西触にある 遺跡 。国の 特別史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/原の辻遺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度45分34.0秒 東経129度45分11.6秒","","長崎県壱岐市芦辺町深江栄触・深江鶴亀触、石田町石田西触","","","","","","","","","","","","","","","","",""
"彦根城","[彦根城] 彦根城 （ひこね じょう）は、 滋賀県 彦根市 にある 城 。 江戸時代 には 彦根藩 の政庁が置かれた。 天守 、附櫓及び 多聞櫓 は 国宝 、城跡は 特別史跡 かつ 琵琶湖国定公園 第1種特別地域である。天守が国宝指定された5城のうちの一つである（他は 犬山城 、 松本城 、 姫路城 、 松江城 ）。","https://ja.wikipedia.org/wiki/彦根城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度16分35秒東経136度15分07秒","北緯35度16分35秒東経136度15分07秒﻿ / ﻿北緯35.276422度 東経136.251889度﻿ /35.276422; 136.251889﻿ (彦根城)座標:北緯35度16分35秒東経136度15分07秒﻿ / ﻿北緯35.276422度 東経136.251889度﻿ /35.276422; 136.251889﻿ (彦根城)彦根城彦根城 (滋賀県)","","","連郭式平山城","井伊直継","1622年　　（元和8年）","現存天守、 櫓、門、塀、馬屋石垣、土塁、堀","国宝（天守等2棟）重要文化財（櫓、門、馬屋等5棟）特別史跡","1874年（明治7年）","複合式望楼型 3重3階地下1階（1604年築）","井伊氏","金亀城","","","","","","御殿",""
"常陸国分寺跡","[常陸国分寺跡] 常陸国分寺 （ひたちこくぶんじ）は、 茨城県 石岡市 府中にある 真言宗智山派 の 寺院 。 山号 は浄瑠璃山。 院号 は東方院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/常陸国分寺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度11分46.34秒東経140度16分24.09秒","北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583座標:北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583","茨城県石岡市府中5-1-5","","","","","","","","","","","","常陸国分寺跡・常陸国分尼寺跡（国の特別史跡）旧千手院山門・都々一坊扇歌堂（市文化財）","","","（伝）天平勝宝4年（752年）","",""
"常陸国分尼寺跡","[常陸国分尼寺跡] 常陸国分寺 （ひたちこくぶんじ）は、 茨城県 石岡市 府中にある 真言宗智山派 の 寺院 。 山号 は浄瑠璃山。 院号 は東方院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/常陸国分尼寺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度11分46.34秒東経140度16分24.09秒","北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583座標:北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583","茨城県石岡市府中5-1-5","","","","","","","","","","","","常陸国分寺跡・常陸国分尼寺跡（国の特別史跡）旧千手院山門・都々一坊扇歌堂（市文化財）","","","（伝）天平勝宝4年（752年）","",""
"姫路城","[姫路城] 姫路城 （ひめじじょう）は 兵庫県 姫路市 にある 日本の城 。 江戸時代 初期に建てられた 天守 や 櫓 等の主要 建築物 が現存し、 国宝 や 重要文化財 に指定されている。また、主郭部を含む中堀の内側は「姫路城跡」として国の 特別史跡 に指定されている   。また、 ユネスコ の 世界遺産 リストにも登録され   、 日本100名城  などに選定されている。別名は 白鷺城 （はくろじょう・しらさぎじょう。詳細は 名称の由来と別名 を参照）という。","https://ja.wikipedia.org/wiki/姫路城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度50分21.76秒東経134度41分38.75秒","北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972座標:北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972","","姫路城","渦郭式平山城","赤松貞範","1346年（南朝：正平元年、北朝：貞和2年）","現存天守・櫓・門・塀石垣・堀・土塁・庭園","国宝（大小天守と渡櫓等8棟）重要文化財（櫓・渡櫓27棟、門15棟、塀32棟）特別史跡ユネスコ世界遺産","1871年（明治4年）","連立式望楼型5重6階地下1階","小寺氏・黒田氏・池田氏・本多氏・松平氏・榊原氏・酒井氏","白鷺城","黒田重隆・羽柴秀吉・池田輝政","","","","","",""
"藤原京","[藤原京] 藤原京 （ふじわらきょう）は、 飛鳥京 の西北部、 奈良県 橿原市 と 明日香村 にかかる地域にあった 飛鳥時代 の 都城  。 日本 史上で最初の 条坊制 を布いた本格的な唐風都城でもある。 平城京 に遷都されるまでの 日本の首都 とされた。","https://ja.wikipedia.org/wiki/藤原京","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度30分7秒 東経135度48分26秒","","","","","","","","","","","","","","","","","","",""
"藤原宮","[藤原宮] 藤原宮 （ふじわらのみや）は、古代の日本で 大和 の藤原の地（現在の 奈良県 橿原市 ）に営まれた 宮殿 である。5世紀のものと、7-8世紀（694年から710年まで）のものの2つがある。","https://ja.wikipedia.org/wiki/藤原宮","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平城宮","[平城宮] 平城宮 （へいじょうきゅう、へいぜいきゅう）は、 平城京 の 大内裏 。 1998年 （ 平成 10年）12月、「 古都奈良の文化財 」として 東大寺 などと共に 世界遺産 に登録された（考古遺跡としては日本初）。","https://ja.wikipedia.org/wiki/平城宮","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度41分26.5秒 東経135度47分39.5秒","","","","","","","","","","","","","","","","","","",""
"平城京左京三条二坊宮跡庭園","[平城京左京三条二坊宮跡庭園] 平城京左京三条二坊宮跡庭園 （へいじょうきょうさきょうさんじょうにぼうみやあとていえん）は、 奈良県 奈良市 三条大路にある庭園遺構。国の 特別史跡 ・ 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/平城京左京三条二坊宮跡庭園","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度41分02秒 東経135度48分09秒","","","","","","","","","","","","","","","","","","",""
"水城","[水城] 水城 （みずき）は、 福岡県 の 太宰府市 ・ 大野城市 ・ 春日市 にまたがり築かれた、 日本 の 古代 の 城 である。城跡は、1953年（昭和28年）3月31日、国の 特別史跡 「水城跡」に指定されている  。","https://ja.wikipedia.org/wiki/水城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度31分4.97秒東経130度29分33.56秒","北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ /33.5180472; 130.4926556座標:北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ /33.5180472; 130.4926556","","水城","古代の城","大和朝廷","天智天皇3年（664年）","土塁・城門跡・外濠跡","国の特別史跡「水城跡」","不明","","","","","","","","","",""
"無量光院跡","[無量光院跡] 無量光院跡 （むりょうこういんあと）は、 岩手県 平泉町 にある 史跡 である。","https://ja.wikipedia.org/wiki/無量光院跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯38度59分34秒 東経141度6分56.5秒","","","","","","","","","","","","","","","","","","",""
"毛越寺","[毛越寺] 毛越寺 （もうつうじ）は、 岩手県 西磐井郡 平泉町 （創建時は 陸奥国 磐井郡 平泉 ）に所在する、 天台宗 の寺院。現在の 本尊 は  薬師如来 立像（ 平安時代 後期の作。脇侍は 日光菩薩 ・ 月光菩薩 ）。建築は平安様式。","https://ja.wikipedia.org/wiki/毛越寺","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯38度59分14秒東経141度6分27秒","北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)座標:北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)","岩手県西磐井郡平泉町字大沢58","","","","","","","","","","","","特別史跡特別名勝","","","（伝）嘉祥3年（850年）","",""
"本居宣長旧宅","[本居宣長旧宅] 本居宣長旧宅の建物は 1691年 （元禄4年）に本居宣長の祖父小津三四右衛門定治が隠居所として建てたものである。最初建物は松坂職人町に建てられ、後に松坂魚町に移築された。本居宣長の先祖は代々 伊勢国 の 北畠家 の家臣であり、本居家初代の本居武秀は 蒲生氏郷 に仕えた武将であった。その子七右衛門の代から氏を小津と改めて松坂に住み、小津家は 木綿問屋 を営んで江戸店持ちの豪商として栄えていた。","https://ja.wikipedia.org/wiki/本居宣長旧宅","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度34分30.9秒 東経136度31分33.0秒","","","","","","","","","","","","","","","","","","",""
"本薬師寺","[本薬師寺] 本薬師寺 （もとやくしじ）は、 奈良県 橿原市 の東南に位置する 藤原京 の 薬師寺 と呼ばれた 寺院  。後に 持統天皇 となる皇后の病気平癒を祈って 天武天皇 が建立を誓願した官寺である。 平城京 遷都で 薬師寺 が 西ノ京 に移ると、西ノ京の「薬師寺」と区別するために「本薬師寺」と称されるようになった   。本薬師寺は 元薬師寺 とも記されるほか  、平城京に造営された薬師寺（平城京薬師寺  ）に対して、「藤原京薬師寺」などとも呼ばれる  。これまでの発掘調査により、およそ11世紀初頭まで存続していたことが認められている  。","https://ja.wikipedia.org/wiki/本薬師寺","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度29分34秒東経135度48分01秒","北緯34度29分34秒東経135度48分01秒﻿ / ﻿北緯34.49278度 東経135.80028度﻿ /34.49278; 135.80028座標:北緯34度29分34秒東経135度48分01秒﻿ / ﻿北緯34.49278度 東経135.80028度﻿ /34.49278; 135.80028","奈良県橿原市城殿町279","","","","","","","","","","","","特別史跡","","","天武天皇9年（680年）勅願","",""
"文殊院西古墳","[文殊院西古墳] 文殊院西古墳 （もんじゅいんにしこふん）は、 奈良県 桜井市 阿部にある 古墳 。形状は 円墳 と推定される。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/文殊院西古墳","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度30分12.77秒東経135度50分31.72秒","北緯34度30分12.77秒東経135度50分31.72秒﻿ / ﻿北緯34.5035472度 東経135.8421444度﻿ /34.5035472; 135.8421444座標:北緯34度30分12.77秒東経135度50分31.72秒﻿ / ﻿北緯34.5035472度 東経135.8421444度﻿ /34.5035472; 135.8421444","奈良県桜井市阿部645（安倍文殊院境内）","文殊院西古墳","","","","","","","","","","","","7世紀後半","国の特別史跡「文殊院西古墳」","","","直径25-30m高さ6m"
"山田寺","[山田寺] 山田寺 （やまだでら）は、 奈良県 桜井市 山田にあった古代寺院。法号を 浄土寺 または 華厳寺 と称する。 蘇我倉山田石川麻呂 の発願により 7世紀 半ばに建て始められ、石川麻呂の自害（ 649年 ）の後に完成した。中世以降は衰微して、 明治 時代初期の 廃仏毀釈 の際に廃寺となった。その後、明治25年（ 1892年 ）に小寺院として再興されている。本尊は十一面観音である。","https://ja.wikipedia.org/wiki/山田寺","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度29分2秒 東経135度49分48秒","","","","","","","","","","","","","","","","","","",""
"山ノ上碑","[山ノ上碑] 山ノ上碑   （やまのうえのひ/やまのうえひ、 山上碑   ）は、 群馬県 高崎市 山名町にある古碑。国の 特別史跡 に指定されている（指定名称は「山上碑及び古墳」）  。","https://ja.wikipedia.org/wiki/山ノ上碑","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯36度16分37.5秒 東経139度1分40.0秒","","","","","","","","","","","","","","","","","","",""
"吉野ヶ里遺跡","[吉野ヶ里遺跡] およそ117 ヘクタール にわたって残る 弥生時代 の大規模な 環濠集落 （環壕集落）跡で知られる。 1986年 （ 昭和 61年）からの 発掘調査 によって発見された。現在は 国営吉野ヶ里歴史公園 として一部を国が管理する公園である。","https://ja.wikipedia.org/wiki/吉野ヶ里遺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度19分25秒東経130度23分26.5秒","","日本佐賀県吉野ヶ里町、神埼市","","","","","","","","","","","","","","","","",""
"廉塾","[廉塾] 廉塾 （れんじゅく）は、 江戸時代 の 儒学者 ・ 菅茶山 によって 備後国 （現・広島県 福山市 神辺町 ）に開かれた 私塾 。「廉」という字には「倹約（けんやく）をする・贅沢（ぜいたく）をしない」という意味があり、茶山の教育方針に沿ったものと考えられている。","https://ja.wikipedia.org/wiki/廉塾","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度32分41.0秒 東経133度23分04.0秒","","","","","","","","","","","","","","","","","","",""
"鹿苑寺","[鹿苑寺] 鹿苑寺 （ろくおんじ）は、 京都市 北区 金閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。建物の内外に 金箔 が貼られた舎利殿から、 金閣寺 （きんかくじ）として知られている  。 山号 は北山。正式には、 北山鹿苑禅寺 （ほくざんろくおんぜんじ）と号する。","https://ja.wikipedia.org/wiki/鹿苑寺","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度2分21.85秒東経135度43分45.71秒","北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)座標:北緯35度2分21.85秒東経135度43分45.71秒﻿ / ﻿北緯35.0394028度 東経135.7293639度﻿ /35.0394028; 135.7293639﻿ (鹿苑寺)","京都府京都市北区金閣寺町1","","","","","","","","","","","","絹本著色足利義満像、大書院障壁画ほか（重要文化財）庭園（特別史跡、特別名勝）世界遺産","","","応永4年（1397年）","",""
